,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,DHmsT54N3BJn6SGjLCpftgoGtGqUU48SvjQHwFphS7dx,22.4,6Kdz4gPB3n7ytNyy6hRHj7F7rrADfwcke6mJNkZge6x8,3fsaKNy3vfNfVySEuh28dNgnaZD6F8iHwxMDVUfqmnke,888_anon_club,The Anon Club™,https://www.arweave.net/z4Y1i0AkMAHd0fjzrZrUyoljZ1FLbMx9MF6WRH6X2Zs?ext=png,888AC #624,888 Unique 2D Pixel Anons which represent membership into The 888 Anon Club™,image,"[{'address': '7JZbDVec4dViXTsMgYudpBppVdVAzZYjUuX985wZCK8B', 'verified': 1, 'share': 0}, {'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'verified': 0, 'share': 100}]",500,DZTrVWnficscZaZHVACCrsjS22dC2jT16KnaJSs9DKt2,"[{'trait_type': 'background', 'value': 'royal'}, {'trait_type': 'tshirt', 'value': 'skull-pink'}, {'trait_type': 'skin', 'value': 'grey'}, {'trait_type': 'mask', 'value': 'mauve'}, {'trait_type': 'accessory', 'value': 'black-eyes'}]","{'category': 'image', 'creators': [{'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/z4Y1i0AkMAHd0fjzrZrUyoljZ1FLbMx9MF6WRH6X2Zs?ext=png', 'type': 'image/png'}]}",1,prC6wjf6Qu3ZgBxMdpTcknReCberDnRitqkEHhG59yv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 758}, 'howrare': {'rank': 672}}"
1,ES6gJw4p24vVKuv2iBE7KJ4svjutBj6Jf2xYZGi2KBMg,24.88,BHFQqeWygHcC1rNvxMmroL6U8vPSGwHk93gS67Tfu6mf,4xAsTWmYTmjHHNtEd4rDdaWuF82au2PnjVHLAYHycsDf,888_anon_club,The Anon Club™,https://www.arweave.net/2do8O43_9WcnkmUzwqsWHZsurmmgPwFggzhiHjrVlmM?ext=png,888AC #655,888 Unique 2D Pixel Anons which represent membership into The 888 Anon Club™,image,"[{'address': '7JZbDVec4dViXTsMgYudpBppVdVAzZYjUuX985wZCK8B', 'verified': 1, 'share': 0}, {'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'verified': 0, 'share': 100}]",500,A4SXCdmVxkMRHvU1fssRPgJEDyxUazL8K1M66n6Ei6um,"[{'trait_type': 'background', 'value': 'hot-pink'}, {'trait_type': 'tshirt', 'value': 'logo-forest'}, {'trait_type': 'skin', 'value': 'black'}, {'trait_type': 'mask', 'value': 'lime'}, {'trait_type': 'accessory', 'value': 'green-eyes'}]","{'category': 'image', 'creators': [{'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/2do8O43_9WcnkmUzwqsWHZsurmmgPwFggzhiHjrVlmM?ext=png', 'type': 'image/png'}]}",1,prC6wjf6Qu3ZgBxMdpTcknReCberDnRitqkEHhG59yv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 737}, 'howrare': {'rank': 823}}"
2,6mkjUsSSX1dFL3gZPMxNpCHCEBkmCjVS3Ba8eatn2ASn,25.0,HRxJ6w6WJQTgvgsPNn6W7PjtkxP516p95K5soJqDG4dr,CN79AGwES1CF8vzwnr4iELNELA8JitsdFv7RhNZ3DGwn,888_anon_club,The Anon Club™,https://www.arweave.net/BOILe50naJlikk6sK_aYmIajwo_4B46C9Nu3Z5ykyMo?ext=png,888AC #114,888 Unique 2D Pixel Anons which represent membership into The 888 Anon Club™,image,"[{'address': '7JZbDVec4dViXTsMgYudpBppVdVAzZYjUuX985wZCK8B', 'verified': 1, 'share': 0}, {'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'verified': 0, 'share': 100}]",500,HFbNCf9Lzx5aLEXGLMm992X8bkNePnCAbNCTKLHpjLf,"[{'trait_type': 'background', 'value': 'blue'}, {'trait_type': 'tshirt', 'value': 'logo-coral'}, {'trait_type': 'skin', 'value': 'pink'}, {'trait_type': 'mask', 'value': 'dusk'}, {'trait_type': 'accessory', 'value': 'tears'}]","{'category': 'image', 'creators': [{'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/BOILe50naJlikk6sK_aYmIajwo_4B46C9Nu3Z5ykyMo?ext=png', 'type': 'image/png'}]}",1,prC6wjf6Qu3ZgBxMdpTcknReCberDnRitqkEHhG59yv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 343}, 'howrare': {'rank': 373}}"
3,AcQu15GeERxRyviyGtfVr5UGFadfbiAU1Y4xsdMga6jR,27.0,ESHaDdZ2VQJ9cdwimXCcWtBeiHcGzJjMdFKbkHfx8iSf,HT2SuCbePhjNZaar24uVwihYowCNvSjdvhJ8BRSVw9nX,888_anon_club,The Anon Club™,https://www.arweave.net/Psgn4EZMg_hbtjF9aQQSLfXigMrMwmbamrFSqcPSHi8?ext=png,888AC #700,888 Unique 2D Pixel Anons which represent membership into The 888 Anon Club™,image,"[{'address': '7JZbDVec4dViXTsMgYudpBppVdVAzZYjUuX985wZCK8B', 'verified': 1, 'share': 0}, {'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'verified': 0, 'share': 100}]",500,883nt9iVfYargvLcwfMtENAnb86Z65Dh6aTNSen4oAhh,"[{'trait_type': 'background', 'value': 'orange'}, {'trait_type': 'tshirt', 'value': 'logo-coral'}, {'trait_type': 'skin', 'value': 'black'}, {'trait_type': 'mask', 'value': 'orange'}, {'trait_type': 'accessory', 'value': 'bandana'}]","{'category': 'image', 'creators': [{'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/Psgn4EZMg_hbtjF9aQQSLfXigMrMwmbamrFSqcPSHi8?ext=png', 'type': 'image/png'}]}",1,prC6wjf6Qu3ZgBxMdpTcknReCberDnRitqkEHhG59yv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 340}, 'howrare': {'rank': 362}}"
4,9De94WH4JHFTr84xrPPrshvDFxteTbpZS2X89A3wnf2U,26.69,C2CujVWoztLuCdxLQypdutezY3twt3ReQxN1Dwd5NXmv,E2aC6gfCqSbQfsLUZ7EJefFbUQiaGgX3LNdHLHbHDL4E,888_anon_club,The Anon Club™,https://www.arweave.net/il908iWMeHhmjIphC4gg_9kK9aseROXNGupSJgmgH6M?ext=png,888AC #738,888 Unique 2D Pixel Anons which represent membership into The 888 Anon Club™,image,"[{'address': '7JZbDVec4dViXTsMgYudpBppVdVAzZYjUuX985wZCK8B', 'verified': 1, 'share': 0}, {'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'verified': 0, 'share': 100}]",500,12wLpX48pAnUSjXriNmSCxiURQxQUSWtNvGWjkepgK5C,"[{'trait_type': 'background', 'value': 'toy-blue'}, {'trait_type': 'tshirt', 'value': 'nurse-shirt'}, {'trait_type': 'skin', 'value': 'crimson'}, {'trait_type': 'mask', 'value': 'neon'}, {'trait_type': 'accessory', 'value': 'fangs'}]","{'category': 'image', 'creators': [{'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/il908iWMeHhmjIphC4gg_9kK9aseROXNGupSJgmgH6M?ext=png', 'type': 'image/png'}]}",1,prC6wjf6Qu3ZgBxMdpTcknReCberDnRitqkEHhG59yv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 450}, 'howrare': {'rank': 384}}"
5,4P5yo9fpdidkA5Rv3p48kUToeyQeuXy1koWVNN6vfJTa,28.0,81qoXWHcMeSsWGyKUV1qA7jNG6zNJKxmu4ARa5ALBiwR,ES71KmEtQVP2HTL51U3f5m81HVKh3aCfGPqSBsT52xnY,888_anon_club,The Anon Club™,https://www.arweave.net/7efXJOCAbeQHbYNFQr1ybK74SY5LVfxUMUzh-sQbqxE?ext=png,888AC #635,888 Unique 2D Pixel Anons which represent membership into The 888 Anon Club™,image,"[{'address': '7JZbDVec4dViXTsMgYudpBppVdVAzZYjUuX985wZCK8B', 'verified': 1, 'share': 0}, {'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'verified': 0, 'share': 100}]",500,J2RQKdKtBHqEbrjtBYj7NGZzeKoUiBAVkV6aDNUYP3Kz,"[{'trait_type': 'background', 'value': 'fuscia'}, {'trait_type': 'tshirt', 'value': 'plain-white'}, {'trait_type': 'skin', 'value': 'white'}, {'trait_type': 'mask', 'value': 'saloon'}, {'trait_type': 'accessory', 'value': 'sleeping-mask'}]","{'category': 'image', 'creators': [{'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/7efXJOCAbeQHbYNFQr1ybK74SY5LVfxUMUzh-sQbqxE?ext=png', 'type': 'image/png'}]}",1,prC6wjf6Qu3ZgBxMdpTcknReCberDnRitqkEHhG59yv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 36}, 'moonrank': {'rank': 40}}"
6,8moM7aYpNjFrwofQyLe8qVb3MiC7mPYLZMkrt9aM74vL,29.5,DzgrTpEjB7oK35Gk6HZsLLpRZ4mSdUUmaQdw7iKwF5Tx,36shXjGFrhmGhKroyBWU9XU47RE88CbKvC73BeFn6Afa,888_anon_club,The Anon Club™,https://www.arweave.net/nNMVqanR9N4kzFQisxzhCB0jW6oVqTVPEZX5t8u23RU?ext=png,888AC #286,888 Unique 2D Pixel Anons which represent membership into The 888 Anon Club™,image,"[{'address': '7JZbDVec4dViXTsMgYudpBppVdVAzZYjUuX985wZCK8B', 'verified': 1, 'share': 0}, {'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'verified': 0, 'share': 100}]",500,2msHjzgnTb2xJehd2bU5HmFpiuaFiojwrBfhXDGsoDQ9,"[{'trait_type': 'background', 'value': 'fuscia'}, {'trait_type': 'tshirt', 'value': 'logo-sea'}, {'trait_type': 'skin', 'value': 'orange'}, {'trait_type': 'mask', 'value': 'lime'}, {'trait_type': 'accessory', 'value': 'bandana'}]","{'category': 'image', 'creators': [{'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/nNMVqanR9N4kzFQisxzhCB0jW6oVqTVPEZX5t8u23RU?ext=png', 'type': 'image/png'}]}",1,prC6wjf6Qu3ZgBxMdpTcknReCberDnRitqkEHhG59yv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 318}, 'howrare': {'rank': 343}}"
7,7mNX8eqXPi8fKavQr5dyVC9GJZCQSayArmQoj5HVonKG,30.0,BXVzNa5n8eMZ9EJQiRc9raNiaXRoXNHrvFdYNiydqype,EGn287PGf9HzscBzefQoXU7vH6q9JANpbjTMJCaHrc9Q,888_anon_club,The Anon Club™,https://www.arweave.net/OZxf4rjGdQFSm9sV5WLZ4p0mxRm9NZWG_8R0KqjoF18?ext=png,888AC #770,888 Unique 2D Pixel Anons which represent membership into The 888 Anon Club™,image,"[{'address': '7JZbDVec4dViXTsMgYudpBppVdVAzZYjUuX985wZCK8B', 'verified': 1, 'share': 0}, {'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'verified': 0, 'share': 100}]",500,AYpfBe5MfiZwUoYU47MMDo69PgW3JTqDSoWKLjZbepoe,"[{'trait_type': 'background', 'value': 'candy-red'}, {'trait_type': 'tshirt', 'value': 'logo2-purple'}, {'trait_type': 'skin', 'value': 'blue'}, {'trait_type': 'mask', 'value': 'purple'}, {'trait_type': 'accessory', 'value': 'bandage'}]","{'category': 'image', 'creators': [{'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/OZxf4rjGdQFSm9sV5WLZ4p0mxRm9NZWG_8R0KqjoF18?ext=png', 'type': 'image/png'}]}",1,prC6wjf6Qu3ZgBxMdpTcknReCberDnRitqkEHhG59yv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 265}, 'howrare': {'rank': 288}}"
8,Fx5aN98qDW2zfe66NmSx9kt4gwcsxbrbY6Dc9qxFa1ro,30.0,Cb4r2UhFeCPkAexW1NT5gEznTcNtRLC9qqu2amqZbyDj,DinvFG6PWfihUroG1ezK4VLU7XuLsAdYqW5qF4yaej2a,888_anon_club,The Anon Club™,https://www.arweave.net/z-yBZjxlnqistHXQ3oHijz0W8Laz-C_6Nrjy0-i5t_I?ext=png,888AC #104,888 Unique 2D Pixel Anons which represent membership into The 888 Anon Club™,image,"[{'address': '7JZbDVec4dViXTsMgYudpBppVdVAzZYjUuX985wZCK8B', 'verified': 1, 'share': 0}, {'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'verified': 0, 'share': 100}]",500,2hxYX1CH7JeXAPpyFxL56hqFM2HYBa97vtuyv7g71Wig,"[{'trait_type': 'background', 'value': 'fuscia'}, {'trait_type': 'tshirt', 'value': 'plain-blue'}, {'trait_type': 'skin', 'value': 'blue'}, {'trait_type': 'mask', 'value': 'orange'}, {'trait_type': 'accessory', 'value': 'blue-eyes'}]","{'category': 'image', 'creators': [{'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/z-yBZjxlnqistHXQ3oHijz0W8Laz-C_6Nrjy0-i5t_I?ext=png', 'type': 'image/png'}]}",1,prC6wjf6Qu3ZgBxMdpTcknReCberDnRitqkEHhG59yv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 440}}
9,ANZxeQVihsDfvGEzXvg8fResL4FzUhER1ofDnM5JmcdG,30.0,6egM4UfuDDqgeYhQR9A5RmqSb9pEuHCP2xd7YyrtVos2,4YgtMja9aX1gVyR3pCHnYHzk5A7xZCMEJr3TrABoUBke,888_anon_club,The Anon Club™,https://www.arweave.net/VJ4g8eyOJLFHdWiZTpopUd_HrVWoanz5oQKV_4RcBi4?ext=png,888AC #164,888 Unique 2D Pixel Anons which represent membership into The 888 Anon Club™,image,"[{'address': '7JZbDVec4dViXTsMgYudpBppVdVAzZYjUuX985wZCK8B', 'verified': 1, 'share': 0}, {'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'verified': 0, 'share': 100}]",500,Dgkh8djxqqEhYvFvSWCYnYEVwEHEKCj8E5VnTKLkEuhS,"[{'trait_type': 'background', 'value': 'cloud-white'}, {'trait_type': 'tshirt', 'value': 'logo1-blue'}, {'trait_type': 'skin', 'value': 'green'}, {'trait_type': 'mask', 'value': 'teal'}, {'trait_type': 'accessory', 'value': 'grin'}]","{'category': 'image', 'creators': [{'address': 'FDfhQ9t7Nq8U4Y2xXynmd9bQW8HMdgbVS5PggeuAaff3', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/VJ4g8eyOJLFHdWiZTpopUd_HrVWoanz5oQKV_4RcBi4?ext=png', 'type': 'image/png'}]}",1,prC6wjf6Qu3ZgBxMdpTcknReCberDnRitqkEHhG59yv,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 536}, 'howrare': {'rank': 720}}"
