,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,animationURL,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,8KKhkhKQMhFz7yjcLyJ5VGAdqi4kZxSHJfweEbBVBpoo,0.73,EzzP4BVgJwajZHbKgwqLNDUTwz6kvH2GyW5tGWpak6rP,7mJjUCFWrfoVD6GyDws3xChAgDQBPiKJiw2kvtqSCU1z,aiternate_holotabs,Aiternate - Holotabs,https://bafybeieopitledepqco4uc2xjwteavd242ia2p5u6jv633sjoh5bbcpvae.ipfs.dweb.link/1607.png?ext=png,Garasi | Planetary #144,Welcome home. Enjoy your stay in the Aiternate spaceship.,https://www.arweave.net/4H-kLnMLZwLnVep7v6YEAv9h7yOmD41GpmU_q8pJFpc?ext=mp4,https://aiternate.com/,video,"[{'address': 'CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'verified': 0, 'share': 94}]",555,FULuEy8V4ATsBa3kE5ScWk5Mz4mPrdAok7W6uA5S68Mf,"[{'trait_type': 'Name', 'value': 'Planetary'}, {'trait_type': 'Sector', 'value': 'Garasi'}, {'trait_type': 'Biome', 'value': 'Desert'}, {'trait_type': 'Identity', 'value': 'Aiternate'}]","{'files': [{'uri': 'https://bafybeieopitledepqco4uc2xjwteavd242ia2p5u6jv633sjoh5bbcpvae.ipfs.dweb.link/1607.png?ext=png', 'type': 'image/png'}, {'uri': 'https://www.arweave.net/4H-kLnMLZwLnVep7v6YEAv9h7yOmD41GpmU_q8pJFpc?ext=mp4', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'share': 94}]}",1,hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3921}}
1,HBG1Rr1U8MdKKGx4fUeFwr45k6e7iZpGY61Avup8G5WX,0.74,D11GypfAg3F8Qbc3qiCVRVWwkjsMBUseBLRBty5z2m1c,FyM2C5b8rmXi9oFV74ghaNcHFFxfwCKtQnR9nD6qPnyi,aiternate_holotabs,Aiternate - Holotabs,https://bafybeih5rdsa3lkpxnsisamdmxbfnti7kzdxvodsoyznft2iz3c6yjx5xe.ipfs.dweb.link/245.png?ext=png,Meraki | Planetary #246,Welcome home. Enjoy your stay in the Aiternate spaceship.,https://www.arweave.net/gNDlOZlewPVm6Vpa1Td35aNM0QnWJ_9GaejuMS_Tvbg?ext=mp4,https://aiternate.com/,video,"[{'address': 'CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'verified': 0, 'share': 94}]",555,AC9Q7WGxPABcnC6i6TQp8vahWk2HXKqPvbYTC5Pp6vtL,"[{'trait_type': 'Name', 'value': 'Planetary'}, {'trait_type': 'Sector', 'value': 'Meraki'}, {'trait_type': 'Biome', 'value': 'Volcano'}, {'trait_type': 'Identity', 'value': 'Aiternate'}]","{'files': [{'uri': 'https://bafybeih5rdsa3lkpxnsisamdmxbfnti7kzdxvodsoyznft2iz3c6yjx5xe.ipfs.dweb.link/245.png?ext=png', 'type': 'image/png'}, {'uri': 'https://www.arweave.net/gNDlOZlewPVm6Vpa1Td35aNM0QnWJ_9GaejuMS_Tvbg?ext=mp4', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'share': 94}]}",1,hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 5832}}
2,5sGMZ6ksbRYUJyXPCE4KZQAUd2Khz4zzfLS4VTjSiyNp,0.74,EoTzQHMLFt8fSamzELugKotPvrjYgiGnbc7RnjKZKrzz,D3Jh4Uw3fRRHeu3cMyStyhwNVdfQ6FEm5UjwHpMU8DcX,aiternate_holotabs,Aiternate - Holotabs,https://bafybeieeola2rrvzckcpuvo57rxnkacfthm23wmi6ww4pdjuamsk337k6e.ipfs.dweb.link/1069.png?ext=png,Acrux | Planetary #338,Welcome home. Enjoy your stay in the Aiternate spaceship.,https://www.arweave.net/VTkeFLshNHigkt6Lf6wg8d2jnV73PXsYbn3AqutVIFY?ext=mp4,https://aiternate.com/,video,"[{'address': 'CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'verified': 0, 'share': 94}]",555,3ybbNE6hFnXvaybtWXhm3jo7pM5ffp9TTCU2Lkw4FR4E,"[{'trait_type': 'Name', 'value': 'Planetary'}, {'trait_type': 'Sector', 'value': 'Acrux'}, {'trait_type': 'Biome', 'value': 'Cyberpunk'}, {'trait_type': 'Identity', 'value': 'Aiternate'}]","{'files': [{'uri': 'https://bafybeieeola2rrvzckcpuvo57rxnkacfthm23wmi6ww4pdjuamsk337k6e.ipfs.dweb.link/1069.png?ext=png', 'type': 'image/png'}, {'uri': 'https://www.arweave.net/VTkeFLshNHigkt6Lf6wg8d2jnV73PXsYbn3AqutVIFY?ext=mp4', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'share': 94}]}",1,hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2927}}
3,E4ty7BntG6EciWYD7CLoJcRtiGKARCb3aHCR31RwzDbq,0.76,4q6Fru7UdphPox5vdyHFxgjkgTGUuDqHVFMiUmXseF6z,HXbhv2HfMWKA6nLusTMZ3HLVTyJkyZNKyczyhxboDHwQ,aiternate_holotabs,Aiternate - Holotabs,https://bafybeih3cx5sxfmb5vbltoxjgkszaf2wogqqnurwdc66ssixo6s5zaquje.ipfs.dweb.link/1713.png?ext=png,Garasi | Planetary #250,Welcome home. Enjoy your stay in the Aiternate spaceship.,https://www.arweave.net/4H-kLnMLZwLnVep7v6YEAv9h7yOmD41GpmU_q8pJFpc?ext=mp4,https://aiternate.com/,video,"[{'address': 'CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'verified': 0, 'share': 94}]",555,BdHu8iExLVw6iJ6ayrxYccJjv6cDVKdCYq7LecyL4ihx,"[{'trait_type': 'Name', 'value': 'Planetary'}, {'trait_type': 'Sector', 'value': 'Garasi'}, {'trait_type': 'Biome', 'value': 'Desert'}, {'trait_type': 'Identity', 'value': 'Aiternate'}]","{'files': [{'uri': 'https://bafybeih3cx5sxfmb5vbltoxjgkszaf2wogqqnurwdc66ssixo6s5zaquje.ipfs.dweb.link/1713.png?ext=png', 'type': 'image/png'}, {'uri': 'https://www.arweave.net/4H-kLnMLZwLnVep7v6YEAv9h7yOmD41GpmU_q8pJFpc?ext=mp4', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'share': 94}]}",1,hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 5601}}
4,9UcfhZLTcM9ZDuJ1PRZRFXGuuRXbaEBSPDWjWphjAGCV,0.77,ENLdsX7LnfzMj9ArtbJ4XM8GTnb9FnYtHHynib9mDWQk,5QdfLz9GKDyU5iSmRB7HYmpuMJaqpuTS9up1fDNCZCha,aiternate_holotabs,Aiternate - Holotabs,https://bafybeicjmf35vm4fu3ygj3wgeuj4ka5nqzaffnlq3slhzfd36hllve6bzq.ipfs.dweb.link/4276.png?ext=png,Dimetra | Planetary #251,Welcome home. Enjoy your stay in the Aiternate spaceship.,https://www.arweave.net/WnQVKRDzVuAs-sskbv0sjrXf7pZrWJhQPKGcA7Xvr44?ext=mp4,https://aiternate.com/,video,"[{'address': 'CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'verified': 0, 'share': 94}]",555,Av3RSC2LuRnozCUUMCeu1gAzPP47ngvXBKtU6aX9Mnon,"[{'trait_type': 'Name', 'value': 'Planetary'}, {'trait_type': 'Sector', 'value': 'Dimetra'}, {'trait_type': 'Biome', 'value': 'Steampunk'}, {'trait_type': 'Identity', 'value': 'Aiternate'}]","{'files': [{'uri': 'https://bafybeicjmf35vm4fu3ygj3wgeuj4ka5nqzaffnlq3slhzfd36hllve6bzq.ipfs.dweb.link/4276.png?ext=png', 'type': 'image/png'}, {'uri': 'https://www.arweave.net/WnQVKRDzVuAs-sskbv0sjrXf7pZrWJhQPKGcA7Xvr44?ext=mp4', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'share': 94}]}",1,hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 5103}}
5,4pwXdoJpj2aWyem5k85wGq3SdnDPHHj5vEtNEcgzTZfJ,0.8,6ZP8kcesm2kTjc4foCSvVfARDdvToUz5kRDp5Kwo89oS,ECmhTTbt13HKJYUoxrGgyZPsf9p9UwzD1TZBtzkUsH3e,aiternate_holotabs,Aiternate - Holotabs,https://bafybeigdf7zk2s25ok2rbrfvdwmw5gvxr55eymtwottlic2efvo25dgpqi.ipfs.dweb.link/1783.png?ext=png,Garasi | Planetary #320,Welcome home. Enjoy your stay in the Aiternate spaceship.,https://www.arweave.net/4H-kLnMLZwLnVep7v6YEAv9h7yOmD41GpmU_q8pJFpc?ext=mp4,https://aiternate.com/,video,"[{'address': 'CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'verified': 0, 'share': 94}]",555,2kwM7QYSBQSdsbHVXAZCQ3NyEbBwHD8BmVKB6fkE4t6d,"[{'trait_type': 'Name', 'value': 'Planetary'}, {'trait_type': 'Sector', 'value': 'Garasi'}, {'trait_type': 'Biome', 'value': 'Desert'}, {'trait_type': 'Identity', 'value': 'Aiternate'}]","{'files': [{'uri': 'https://bafybeigdf7zk2s25ok2rbrfvdwmw5gvxr55eymtwottlic2efvo25dgpqi.ipfs.dweb.link/1783.png?ext=png', 'type': 'image/png'}, {'uri': 'https://www.arweave.net/4H-kLnMLZwLnVep7v6YEAv9h7yOmD41GpmU_q8pJFpc?ext=mp4', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'share': 94}]}",1,hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 5645}}
6,Hq5W7AtLyCdJwvLyEDzP6TufQKxPdL5iRNB2McBgNWgR,0.8,9zrh1zpSXbvZNHksrJdCq5kp6LT6zG5qFrAek2Yte1iF,HVN1BzUT2MuTYjqxZPKqKdS54kWyVCA3zUjYNmjxs6v2,aiternate_holotabs,Aiternate - Holotabs,https://bafybeihadrgxrlcceky3465obvc6hukt4aez4s4cbm2sibc66yww6bdrne.ipfs.dweb.link/915.png?ext=png,Acrux | Planetary #184,Welcome home. Enjoy your stay in the Aiternate spaceship.,https://www.arweave.net/VTkeFLshNHigkt6Lf6wg8d2jnV73PXsYbn3AqutVIFY?ext=mp4,https://aiternate.com/,video,"[{'address': 'CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'verified': 0, 'share': 94}]",555,AU7ubRjdKSUSLYStwE6Qp5PSYTRwZgwr2iJYd6bRG6RZ,"[{'trait_type': 'Name', 'value': 'Planetary'}, {'trait_type': 'Sector', 'value': 'Acrux'}, {'trait_type': 'Biome', 'value': 'Cyberpunk'}, {'trait_type': 'Identity', 'value': 'Aiternate'}]","{'files': [{'uri': 'https://bafybeihadrgxrlcceky3465obvc6hukt4aez4s4cbm2sibc66yww6bdrne.ipfs.dweb.link/915.png?ext=png', 'type': 'image/png'}, {'uri': 'https://www.arweave.net/VTkeFLshNHigkt6Lf6wg8d2jnV73PXsYbn3AqutVIFY?ext=mp4', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'share': 94}]}",1,hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3488}}
7,HXtwbUTgqEeprusm1sjdQCyh9PzXS2HFJTQq4k9Ww11i,0.8,Pc5aseAy7gp94Qrz7NL6yu3ec8UpQa7ajpDxtYrnuFQ,5y3ZyJkU2d2pUnhiKFtc7Eho3syckZNdF9XUTY2Kj9n4,aiternate_holotabs,Aiternate - Holotabs,https://bafybeihzwizimgf7eb73so7lb3ffuhh2gxzzcvnsc5nht6mh55d2jmuzo4.ipfs.dweb.link/2899.png?ext=png,Exaudia | Planetary #338,Welcome home. Enjoy your stay in the Aiternate spaceship.,https://www.arweave.net/_DlliS3gFJZvNkH9I5_kO6vtSSvgGhuvaDRP7I4IIBo?ext=mp4,https://aiternate.com/,video,"[{'address': 'CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'verified': 0, 'share': 94}]",555,7njhvnMXywvFweaPkVqVVJte4sjSeipnyunA544aLXSY,"[{'trait_type': 'Name', 'value': 'Planetary'}, {'trait_type': 'Sector', 'value': 'Exaudia'}, {'trait_type': 'Biome', 'value': 'Castle'}, {'trait_type': 'Identity', 'value': 'Aiternate'}]","{'files': [{'uri': 'https://bafybeihzwizimgf7eb73so7lb3ffuhh2gxzzcvnsc5nht6mh55d2jmuzo4.ipfs.dweb.link/2899.png?ext=png', 'type': 'image/png'}, {'uri': 'https://www.arweave.net/_DlliS3gFJZvNkH9I5_kO6vtSSvgGhuvaDRP7I4IIBo?ext=mp4', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'share': 94}]}",1,hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 5403}}
8,3tPe2C9S5Q5WPiCitaLQNrXB6rFrP2EiUfTfAEtzKZot,0.8,EhmgCJWfUE38zfgNW3Zo5KsJv9jA8BbftJhLm9FkkQDQ,AbwG5FQjgc46bF9AtNQMHtggkD7WL3p1UKa12BMzv6zX,aiternate_holotabs,Aiternate - Holotabs,https://bafybeiddqidkcbtpfgleeigo5xmxowl4kytwhk77hbamcxx2xjpvkykxfm.ipfs.dweb.link/483.png?ext=png,Amisov | Planetary #118,Welcome home. Enjoy your stay in the Aiternate spaceship.,https://www.arweave.net/Uf3PjkeenulXy54AXl3blxxI9ENj1BYKneEaM7Dmcxo?ext=mp4,https://aiternate.com/,video,"[{'address': 'CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'verified': 0, 'share': 94}]",555,BqbXfDRrf58n4DjxFt8ZUBSps6mK5FmfbVUFXaEVt8XD,"[{'trait_type': 'Name', 'value': 'Planetary'}, {'trait_type': 'Sector', 'value': 'Amisov'}, {'trait_type': 'Biome', 'value': 'Space'}, {'trait_type': 'Identity', 'value': 'Aiternate'}]","{'files': [{'uri': 'https://bafybeiddqidkcbtpfgleeigo5xmxowl4kytwhk77hbamcxx2xjpvkykxfm.ipfs.dweb.link/483.png?ext=png', 'type': 'image/png'}, {'uri': 'https://www.arweave.net/Uf3PjkeenulXy54AXl3blxxI9ENj1BYKneEaM7Dmcxo?ext=mp4', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'share': 94}]}",1,hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 4539}}
9,GhDf1dqqkpC1Ppf9WyveJiyEhXzfD2YnHH5QJ27KAXC2,0.8,EjvdBChKh55TtC4QqzDWK4XRL7xniwkFkh43v1E63uCe,GruVC1uvvhq4gC13PKMu6aZewqm4DkHNhBsfefkhTXyS,aiternate_holotabs,Aiternate - Holotabs,https://bafybeietosu2rsr2nozyvq6xrfgokomfpx4g3d4vhhecw3q5slwcz2zhfe.ipfs.dweb.link/3835.png?ext=png,Tetra | Planetary #176,Welcome home. Enjoy your stay in the Aiternate spaceship.,https://www.arweave.net/SkMQHTxl3u--vHKirPFb_GV-DNEiiWuFwPTjM9zknGU?ext=mp4,https://aiternate.com/,video,"[{'address': 'CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'verified': 0, 'share': 94}]",555,Fd3TJqey8fLKTpWR77VaZ71GrAvDZf38dH5LQiTcKNLq,"[{'trait_type': 'Name', 'value': 'Planetary'}, {'trait_type': 'Sector', 'value': 'Tetra'}, {'trait_type': 'Biome', 'value': 'Underwater'}, {'trait_type': 'Identity', 'value': 'Aiternate'}]","{'files': [{'uri': 'https://bafybeietosu2rsr2nozyvq6xrfgokomfpx4g3d4vhhecw3q5slwcz2zhfe.ipfs.dweb.link/3835.png?ext=png', 'type': 'image/png'}, {'uri': 'https://www.arweave.net/SkMQHTxl3u--vHKirPFb_GV-DNEiiWuFwPTjM9zknGU?ext=mp4', 'type': 'video/mp4'}], 'category': 'video', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 6}, {'address': 'hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe', 'share': 94}]}",1,hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3935}}
