,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,4NuPh1jEfjar2cXrg4rWCWn5wNr6CzqEBTHkdEHST9Xm,9.2,J1D4RC12NbHbhLZMMuMPcRJ4vkzTtF4cj417LXkFQQcN,AJNifcZ9G2wveMKqKywAr9uWABydsoG9z5ZdziNSq6h,astrals,ASTRALS,https://arweave.net/3wsZ_3eFoNsUq2lcTkOMYZ8KwgcYFg9xNTQlcKCXTOM?ext=png,Astrals #4905,"One of the 10,000 brave souls who have offered their lives as tribute to maintain order in the Galaxy.",image,"[{'address': 'B9REbEXGse3JD2EtypAt2rDwPniA57AtPMCQ8n4WfYnK', 'verified': 1, 'share': 0}, {'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ', 'verified': 0, 'share': 25}, {'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k', 'verified': 0, 'share': 25}, {'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD', 'verified': 0, 'share': 25}, {'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t', 'verified': 0, 'share': 25}]",800,4Dqmc5iGih6VnVb2ZHj8dX36wV1byngusWsJL2akdCPs,"[{'trait_type': 'Background', 'value': 'Purple Wall'}, {'trait_type': 'Weapon', 'value': 'Scimitar'}, {'trait_type': 'Body', 'value': 'Connosieur'}, {'trait_type': 'Face', 'value': 'Regina Choris Elemento'}, {'trait_type': 'Shimmer', 'value': 'Gloria Ignis'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/3wsZ_3eFoNsUq2lcTkOMYZ8KwgcYFg9xNTQlcKCXTOM?ext=png'}], 'category': 'image', 'creators': [{'share': 25, 'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ'}, {'share': 25, 'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k'}, {'share': 25, 'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD'}, {'share': 25, 'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t'}]}",1,9ZtfJY5YggxyxNKncYFLPPFuS3fy8bx49n7Ly3M3QRJY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5294}, 'howrare': {'rank': 7257}}"
1,F9RT2Ci4tx9Hq8PMUX3VxwKFce3mEADuqSpkPzJ2vAdE,9.29,GjHd1pC1KFkryyqjH6Qms9digaAp86Q3tgujeT99gZG5,EtqqU4CqrEtLZdAdApu9DhyjVxnzLZByEyid9qWqmu23,astrals,ASTRALS,https://arweave.net/_hdpRduHmGn9dlwpkMuVfgf0olehFjDvBMN9LX25C10?ext=png,Astrals #8968,"One of the 10,000 brave souls who have offered their lives as tribute to maintain order in the Galaxy.",image,"[{'address': 'B9REbEXGse3JD2EtypAt2rDwPniA57AtPMCQ8n4WfYnK', 'verified': 1, 'share': 0}, {'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ', 'verified': 0, 'share': 25}, {'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k', 'verified': 0, 'share': 25}, {'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD', 'verified': 0, 'share': 25}, {'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t', 'verified': 0, 'share': 25}]",800,6efGH94CKMo19d9Vubrq3X2ckxdLpYbC7KqV1zsSrVfP,"[{'trait_type': 'Background', 'value': 'Red Blur'}, {'trait_type': 'Weapon', 'value': 'Ray Gun'}, {'trait_type': 'Body', 'value': 'Rubicon Spacesuit'}, {'trait_type': 'Face', 'value': 'Vol Crewmate'}, {'trait_type': 'Shimmer', 'value': 'Crown Aqua'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/_hdpRduHmGn9dlwpkMuVfgf0olehFjDvBMN9LX25C10?ext=png'}], 'category': 'image', 'creators': [{'share': 25, 'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ'}, {'share': 25, 'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k'}, {'share': 25, 'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD'}, {'share': 25, 'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t'}]}",1,9ZtfJY5YggxyxNKncYFLPPFuS3fy8bx49n7Ly3M3QRJY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 9716}, 'howrare': {'rank': 9866}}"
2,GmgeYpZT2HomVAxz4KFSAvKiDKGf571BXeSfz8CwmJHS,9.2969,GoTQiKtM9tF72MaTiUrcDY9BgmmEkbJM4RpTc2E6KBKj,4E9CuWBQh8SHrRtb5FauFUZJwQisn3h5dXG2xw87JStn,astrals,ASTRALS,https://arweave.net/qAIibSqzlUNcGpYJv58BBpE6aG64_spsE09oQ_l0L2k?ext=png,Astrals #7809,"One of the 10,000 brave souls who have offered their lives as tribute to maintain order in the Galaxy.",image,"[{'address': 'B9REbEXGse3JD2EtypAt2rDwPniA57AtPMCQ8n4WfYnK', 'verified': 1, 'share': 0}, {'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ', 'verified': 0, 'share': 25}, {'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k', 'verified': 0, 'share': 25}, {'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD', 'verified': 0, 'share': 25}, {'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t', 'verified': 0, 'share': 25}]",800,EJoiMURvRQA4mERX1PfzTpBQyqobECFpZxD6XBuz7jpJ,"[{'trait_type': 'Background', 'value': 'Orange Blur'}, {'trait_type': 'Weapon', 'value': 'Medievil Mace'}, {'trait_type': 'Body', 'value': 'Cosmonaut'}, {'trait_type': 'Face', 'value': 'Boraqchk Punk'}, {'trait_type': 'Shimmer', 'value': 'Crown Vita'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/qAIibSqzlUNcGpYJv58BBpE6aG64_spsE09oQ_l0L2k?ext=png'}], 'category': 'image', 'creators': [{'share': 25, 'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ'}, {'share': 25, 'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k'}, {'share': 25, 'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD'}, {'share': 25, 'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t'}]}",1,9ZtfJY5YggxyxNKncYFLPPFuS3fy8bx49n7Ly3M3QRJY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8335}, 'howrare': {'rank': 6764}}"
3,DkqYhU8uy67HzGbriox3FdTPj7pdozktX9xCrH4JYFuw,9.39,52pBPKgkM4xsWCCCRnhR8c38Bq1fNFietkXZkJC9qibd,7r1dmFiaCVfRwFBwcw7WhRD4Z2CBfFgk2cX7sUrPZqVN,astrals,ASTRALS,https://arweave.net/BjP1UJWFe44d1Ov9vyRwjYH0O3pDTD-KcjvfGGjv7dc?ext=png,Astrals #1925,"One of the 10,000 brave souls who have offered their lives as tribute to maintain order in the Galaxy.",image,"[{'address': 'B9REbEXGse3JD2EtypAt2rDwPniA57AtPMCQ8n4WfYnK', 'verified': 1, 'share': 0}, {'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ', 'verified': 0, 'share': 25}, {'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k', 'verified': 0, 'share': 25}, {'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD', 'verified': 0, 'share': 25}, {'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t', 'verified': 0, 'share': 25}]",800,5gbv5FHkz63Qc6EgnTTZ7YKaBoeZsAEMyLiiXb949T3Y,"[{'trait_type': 'Background', 'value': 'Light Yellow Mist'}, {'trait_type': 'Weapon', 'value': 'Astral Hammer'}, {'trait_type': 'Body', 'value': 'Biker Jacket'}, {'trait_type': 'Face', 'value': ""Sa'Nasi Grunt""}, {'trait_type': 'Shimmer', 'value': 'Sicut Sapientia Vita'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/BjP1UJWFe44d1Ov9vyRwjYH0O3pDTD-KcjvfGGjv7dc?ext=png'}], 'category': 'image', 'creators': [{'share': 25, 'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ'}, {'share': 25, 'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k'}, {'share': 25, 'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD'}, {'share': 25, 'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t'}]}",1,9ZtfJY5YggxyxNKncYFLPPFuS3fy8bx49n7Ly3M3QRJY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6010}, 'howrare': {'rank': 7658}}"
4,6DWhZHSuJyWDC1JLfgbaDo54ygKxrjujD6hWHPzRRJRR,9.4,FwuJQvPLG77BAvbqDqWNh3P8KreRA4eeUTx4hDdY4VT4,9gAvJ3tKnDB9TxAs3aU8d4J5zjYDxN5bkE8F7krbqv4w,astrals,ASTRALS,https://arweave.net/qU1mIe7EeL5lihstjrcDvbtuguBsE0L4DDR25H1ASLM?ext=png,Astrals #1839,"One of the 10,000 brave souls who have offered their lives as tribute to maintain order in the Galaxy.",image,"[{'address': 'B9REbEXGse3JD2EtypAt2rDwPniA57AtPMCQ8n4WfYnK', 'verified': 1, 'share': 0}, {'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ', 'verified': 0, 'share': 25}, {'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k', 'verified': 0, 'share': 25}, {'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD', 'verified': 0, 'share': 25}, {'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t', 'verified': 0, 'share': 25}]",800,9v3gh8EaeP6fd6LmXyHs6Lhz18mKLzKPYP3gvzePMpQZ,"[{'trait_type': 'Background', 'value': 'Magenta Mist'}, {'trait_type': 'Weapon', 'value': 'Short Sword'}, {'trait_type': 'Body', 'value': 'Silver Spacesuit'}, {'trait_type': 'Face', 'value': 'Tsqāl Torturer'}, {'trait_type': 'Shimmer', 'value': 'Gloria Ignis'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/qU1mIe7EeL5lihstjrcDvbtuguBsE0L4DDR25H1ASLM?ext=png'}], 'category': 'image', 'creators': [{'share': 25, 'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ'}, {'share': 25, 'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k'}, {'share': 25, 'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD'}, {'share': 25, 'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t'}]}",1,9ZtfJY5YggxyxNKncYFLPPFuS3fy8bx49n7Ly3M3QRJY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8172}, 'howrare': {'rank': 8246}}"
5,2MVddf9jnHSPBNDJpcP92P9R54utr4f2mqmAsbRGT3uq,9.5,Dey1tKXr6SxiKyoG4rp55skQgXbTm9WddQZ831epfG63,3cCW3JSBSijHSSRyrtnXDtxnqL7pv5Y7Mdmhghmj7oVr,astrals,ASTRALS,https://arweave.net/wWmOXT1-bzZOo0KCmO5JugoNUEsjuL8uSxMhghVF1IY?ext=png,Astrals #8660,"One of the 10,000 brave souls who have offered their lives as tribute to maintain order in the Galaxy.",image,"[{'address': 'B9REbEXGse3JD2EtypAt2rDwPniA57AtPMCQ8n4WfYnK', 'verified': 1, 'share': 0}, {'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ', 'verified': 0, 'share': 25}, {'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k', 'verified': 0, 'share': 25}, {'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD', 'verified': 0, 'share': 25}, {'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t', 'verified': 0, 'share': 25}]",800,j4ds7hBVbUGjwkc8JDaijfjoWBzomqNZYYAzcrfkuLQ,"[{'trait_type': 'Background', 'value': 'Midnight Mist'}, {'trait_type': 'Weapon', 'value': 'Medievil Mace'}, {'trait_type': 'Body', 'value': 'Rubicon Gladiator'}, {'trait_type': 'Face', 'value': 'Inruina Cobbler'}, {'trait_type': 'Shimmer', 'value': 'Crown Aqua'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/wWmOXT1-bzZOo0KCmO5JugoNUEsjuL8uSxMhghVF1IY?ext=png'}], 'category': 'image', 'creators': [{'share': 25, 'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ'}, {'share': 25, 'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k'}, {'share': 25, 'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD'}, {'share': 25, 'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t'}]}",1,9ZtfJY5YggxyxNKncYFLPPFuS3fy8bx49n7Ly3M3QRJY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5236}, 'howrare': {'rank': 3537}}"
6,AAGqq3hyF6W3dpdWaRi7cazjakf6GTp56FepHMc2bgGT,9.5,EgEDZZCard2XDMM2VjWep5mWpW1BE61ezLAnRdJ8Z78F,AjsXSmdjKUEJKFakw9KUc2hizbJ5AGxazcMxT2ZYr2zT,astrals,ASTRALS,https://arweave.net/uYwkK7maPblO1KaH69f3mnOlb-0_SWifH4Ix9Ho_9b0?ext=png,Astrals #8374,"One of the 10,000 brave souls who have offered their lives as tribute to maintain order in the Galaxy.",image,"[{'address': 'B9REbEXGse3JD2EtypAt2rDwPniA57AtPMCQ8n4WfYnK', 'verified': 1, 'share': 0}, {'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ', 'verified': 0, 'share': 25}, {'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k', 'verified': 0, 'share': 25}, {'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD', 'verified': 0, 'share': 25}, {'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t', 'verified': 0, 'share': 25}]",800,EZkgRir1poc41wb1eskLctCKYdNfVmy8t5quG971kdKJ,"[{'trait_type': 'Background', 'value': 'Green Blur'}, {'trait_type': 'Weapon', 'value': 'Katana'}, {'trait_type': 'Body', 'value': 'Connosieur'}, {'trait_type': 'Face', 'value': 'Vol Engineer'}, {'trait_type': 'Shimmer', 'value': 'Severitatem Neutrum'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/uYwkK7maPblO1KaH69f3mnOlb-0_SWifH4Ix9Ho_9b0?ext=png'}], 'category': 'image', 'creators': [{'share': 25, 'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ'}, {'share': 25, 'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k'}, {'share': 25, 'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD'}, {'share': 25, 'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t'}]}",1,9ZtfJY5YggxyxNKncYFLPPFuS3fy8bx49n7Ly3M3QRJY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7366}, 'howrare': {'rank': 6535}}"
7,AK4GBRQ6woH4QuUBARvn8JjAhuxEyezhNJpVxHrmf4kw,9.5,43TB7UQczYCWbU5Go9qxGnoA4zqmsVXntEMp8qnbcFvg,d1wBTUhdaw6LpWZ6rt5i4owf5aTpY8hVt3RfWuYkLJk,astrals,ASTRALS,https://arweave.net/2o_UuZnRi-UbspgyMa_0Yj5UiovopaGhV6lx-PU_ai8?ext=png,Astrals #2788,"One of the 10,000 brave souls who have offered their lives as tribute to maintain order in the Galaxy.",image,"[{'address': 'B9REbEXGse3JD2EtypAt2rDwPniA57AtPMCQ8n4WfYnK', 'verified': 1, 'share': 0}, {'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ', 'verified': 0, 'share': 25}, {'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k', 'verified': 0, 'share': 25}, {'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD', 'verified': 0, 'share': 25}, {'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t', 'verified': 0, 'share': 25}]",800,UNMimFGtEq5BANZdbpUBhqikQ6mj3cfGmir2pgPNKQp,"[{'trait_type': 'Background', 'value': 'Red Blur'}, {'trait_type': 'Weapon', 'value': 'Katana'}, {'trait_type': 'Body', 'value': 'Mummified'}, {'trait_type': 'Face', 'value': 'Contemplar Navigator'}, {'trait_type': 'Shimmer', 'value': 'Gloria Ignis'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/2o_UuZnRi-UbspgyMa_0Yj5UiovopaGhV6lx-PU_ai8?ext=png'}], 'category': 'image', 'creators': [{'share': 25, 'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ'}, {'share': 25, 'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k'}, {'share': 25, 'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD'}, {'share': 25, 'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t'}]}",1,9ZtfJY5YggxyxNKncYFLPPFuS3fy8bx49n7Ly3M3QRJY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 7425}, 'moonrank': {'rank': 8708}}"
8,CN42YR61n8ezCuo6k2tU5QucBFJLV1hbk5XwkaCy1bGF,9.69,ABTjdSHqsHj9g89WBBdumpxmUp1e41yxq8x3Mw7W3s1g,3mxXdG4YK1M8NZYTFWynNwqB7dWgi2d5hi1Ttmb7H2HV,astrals,ASTRALS,https://arweave.net/PXEtfJz3Iew2_T_rrjh21bvthXbl-NEMmm42QJZOWIw?ext=png,Astrals #4161,"One of the 10,000 brave souls who have offered their lives as tribute to maintain order in the Galaxy.",image,"[{'address': 'B9REbEXGse3JD2EtypAt2rDwPniA57AtPMCQ8n4WfYnK', 'verified': 1, 'share': 0}, {'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ', 'verified': 0, 'share': 25}, {'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k', 'verified': 0, 'share': 25}, {'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD', 'verified': 0, 'share': 25}, {'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t', 'verified': 0, 'share': 25}]",800,APajCL1TXSBD2VuFVfrKwECtvLipCZ2o3a5yvnX1bfNb,"[{'trait_type': 'Background', 'value': 'Red Blur'}, {'trait_type': 'Weapon', 'value': 'Scimitar'}, {'trait_type': 'Body', 'value': 'Spin Doctor'}, {'trait_type': 'Face', 'value': 'Tsqāl Torturer'}, {'trait_type': 'Shimmer', 'value': 'Benignitas Aqua'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/PXEtfJz3Iew2_T_rrjh21bvthXbl-NEMmm42QJZOWIw?ext=png'}], 'category': 'image', 'creators': [{'share': 25, 'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ'}, {'share': 25, 'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k'}, {'share': 25, 'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD'}, {'share': 25, 'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t'}]}",1,9ZtfJY5YggxyxNKncYFLPPFuS3fy8bx49n7Ly3M3QRJY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 9208}, 'moonrank': {'rank': 8722}}"
9,4GUcih9HYptEdJWjwFcsjN3Eyrsn55dqjy4KLf9RpGA4,9.8,4mcQ6qzjRr4xyBU5qBTi3bLegfTZ1JB8ZmEax3U4wBsw,CtXBmnjxAAkUrGhtA17QoVydfPA7iMa3LchBXZixbkHQ,astrals,ASTRALS,https://arweave.net/OCzOucwBnmpcct8woAPQkHAH_zmlbj6MUeacCf818LA?ext=png,Astrals #1461,"One of the 10,000 brave souls who have offered their lives as tribute to maintain order in the Galaxy.",image,"[{'address': 'B9REbEXGse3JD2EtypAt2rDwPniA57AtPMCQ8n4WfYnK', 'verified': 1, 'share': 0}, {'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ', 'verified': 0, 'share': 25}, {'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k', 'verified': 0, 'share': 25}, {'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD', 'verified': 0, 'share': 25}, {'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t', 'verified': 0, 'share': 25}]",800,GvdRPqnVVJ2NTYHvbXUspgqtTrLLwfrdReB8oviYspRi,"[{'trait_type': 'Background', 'value': 'Orange Blur'}, {'trait_type': 'Weapon', 'value': 'Astral Axe'}, {'trait_type': 'Body', 'value': 'Rubicon Spacesuit'}, {'trait_type': 'Face', 'value': 'Regina Choris Breaker'}, {'trait_type': 'Shimmer', 'value': 'Fundamentalis Neutrum'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/OCzOucwBnmpcct8woAPQkHAH_zmlbj6MUeacCf818LA?ext=png'}], 'category': 'image', 'creators': [{'share': 25, 'address': 'AfVySHXxTrf5vvLMRCNdfeWmE9h6QFsxzxJ2fgJj7VrQ'}, {'share': 25, 'address': '3TNqESRP84pJKQRfhLG3vbKAbDLSFLDtzWr8aVX8CL3k'}, {'share': 25, 'address': '8gzR2vT8vCiqwdG5yP9v1nQdL3agJer9vLEcd2Jkf3VD'}, {'share': 25, 'address': 'FX85xZpESurPHXoEiqqa27PdHshHLzjXkstKQogtpD4t'}]}",1,9ZtfJY5YggxyxNKncYFLPPFuS3fy8bx49n7Ly3M3QRJY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4007}, 'howrare': {'rank': 4322}}"
