,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,Mg1SgmxzFDXB3UTJdmK83QGwZxy5xUSnrDsNPBNRdFb,60.0,EkqfHkssqxZWUmMg8wxEsr5hkcM14N7LPWMTe5gBnMfk,59jMcScJaETHYMvHzqHtV3ZPWSsqKrTaLsqhotbrG2VF,aurory,Aurory,https://arweave.net/QcKZEVo2Jv_Yg80TdC3aCqSAbh5eo4DKSSLBpwSjTxM,Aurorian #1446,"The villagers from the whole country have gathered in Neftiville for the party, meet the Aurorians.",https://app.aurory.io/aurorian/2021/1445,image,"[{'address': '9vwYtcJsH1MskNaixcjgNBnvBDkTBhyg25umod1rgMQL', 'verified': 1, 'share': 0}, {'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'verified': 0, 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'verified': 1, 'share': 35}]",500,ENYJ64DMBoS9h9TB9Jf3DZb41erZf8kKj9dRbQX2knqo,"[{'trait_type': 'Background', 'value': 'Base Background'}, {'trait_type': 'Skin', 'value': 'Human'}, {'trait_type': 'Cloth', 'value': 'Base Cloth'}, {'trait_type': 'Necklace', 'value': 'No Trait'}, {'trait_type': 'Mouth', 'value': 'Bane Mask'}, {'trait_type': 'Clothing', 'value': 'No Trait'}, {'trait_type': 'Eyes', 'value': 'Base Eyes'}, {'trait_type': 'Hair', 'value': 'No Trait'}, {'trait_type': 'Hat', 'value': 'No Trait'}, {'trait_type': 'Type', 'value': 'Aurorian'}, {'trait_type': 'generation', 'value': 1}, {'trait_type': ' sequence', 'value': 1446}]","{'category': 'image', 'files': [{'uri': 'https://arweave.net/QcKZEVo2Jv_Yg80TdC3aCqSAbh5eo4DKSSLBpwSjTxM', 'type': 'image/png'}], 'creators': [{'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'share': 35}]}",1,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 9871}},,
1,DHXRMo5NU5dxPEV25a9qpf3cwNq34hdRppfVGnMDsSet,55.5,9F2aNWsTHvsCxmFYePv3GamDvhsd2S5Zw1iLMvhChGQX,DWVkcQAH27YzmvfSAh3EhUHNfJnS4ZoXPpSz8vPwBefi,aurory,Aurory,https://arweave.net/uhTcg2v03NDtCvWhu1Z_griTc1LDkXCcLU23j-t4woE,Aurorian #2664,"The villagers from the whole country have gathered in Neftiville for the party, meet the Aurorians.",https://app.aurory.io/aurorian/2021/2663,image,"[{'address': '9vwYtcJsH1MskNaixcjgNBnvBDkTBhyg25umod1rgMQL', 'verified': 1, 'share': 0}, {'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'verified': 0, 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'verified': 1, 'share': 35}]",500,HVFHNoDdjqeMGijRusdsoxRdtBLFBxuHrt5mM42kP5Wn,"[{'trait_type': 'Background', 'value': 'Base Background'}, {'trait_type': 'Skin', 'value': 'Human'}, {'trait_type': 'Cloth', 'value': 'Puffy Jacket'}, {'trait_type': 'Necklace', 'value': 'No Trait'}, {'trait_type': 'Mouth', 'value': 'Base Mouth'}, {'trait_type': 'Clothing', 'value': 'No Trait'}, {'trait_type': 'Eyes', 'value': 'Base Eyes'}, {'trait_type': 'Hair', 'value': 'No Trait'}, {'trait_type': 'Hat', 'value': 'Twitter Hat'}, {'trait_type': 'Type', 'value': 'Aurorian'}, {'trait_type': 'generation', 'value': 1}, {'trait_type': ' sequence', 'value': 2664}]","{'category': 'image', 'files': [{'uri': 'https://arweave.net/uhTcg2v03NDtCvWhu1Z_griTc1LDkXCcLU23j-t4woE', 'type': 'image/png'}], 'creators': [{'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'share': 35}]}",1,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8168}, 'howrare': {'rank': 7213}}",,
2,6aJUmf5AoZy1PWj7hdACuyELPCv9u6uXkAJj54eYjZQS,56.0,AGr9QUtyq5qXd1Pv3aHu7JCNPfQopPwYquGh4TT3Exm6,37XgmrLtUjmu6NRVW6ehBTMPmURJcHqeLtmPsi42Daeq,aurory,Aurory,https://arweave.net/_SZ4YT8qUjZin7KgrJmETlVeHQq1DeBrPFcl-VJri0s,Aurorian #3246,"The villagers from the whole country have gathered in Neftiville for the party, meet the Aurorians.",https://app.aurory.io/aurorian/2021/3245,image,"[{'address': '9vwYtcJsH1MskNaixcjgNBnvBDkTBhyg25umod1rgMQL', 'verified': 1, 'share': 0}, {'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'verified': 0, 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'verified': 1, 'share': 35}]",500,9RnacpmJ3vNfhVHAM3QtRwBEGc26ASoikxtFkf2XPtPw,"[{'trait_type': 'Background', 'value': 'Base Background'}, {'trait_type': 'Skin', 'value': 'Human'}, {'trait_type': 'Cloth', 'value': 'Classy Outfit'}, {'trait_type': 'Necklace', 'value': 'Aurory Necklace'}, {'trait_type': 'Mouth', 'value': 'Base Mouth'}, {'trait_type': 'Clothing', 'value': 'No Trait'}, {'trait_type': 'Eyes', 'value': 'Green '}, {'trait_type': 'Hair', 'value': 'Zero Two Hair'}, {'trait_type': 'Hat', 'value': 'No Trait'}, {'trait_type': 'Type', 'value': 'Aurorian'}, {'trait_type': 'generation', 'value': 1}, {'trait_type': ' sequence', 'value': 3246}]","{'category': 'image', 'files': [{'uri': 'https://arweave.net/_SZ4YT8qUjZin7KgrJmETlVeHQq1DeBrPFcl-VJri0s', 'type': 'image/png'}], 'creators': [{'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'share': 35}]}",1,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6348}, 'howrare': {'rank': 6300}}",,
3,CoSnHZLZXHci4VzNzunJWzjBbdoco1Yia1QQKoJGm6R,56.2,6bmZvE4AtDvvPqgSb6LNCpmS5aQsA3fpFbWsDuUbuLAf,EbZv1bwq9sGVBAuhdm11uPBirPrXBQVantDA4seH3vCD,aurory,Aurory,https://arweave.net/7c7RtZGXo_ofbuw36XhvSJ_AicBT482ZLgJZi8dW_xQ,Aurorian #2011,"The villagers from the whole country have gathered in Neftiville for the party, meet the Aurorians.",https://app.aurory.io/aurorian/2021/2010,image,"[{'address': '9vwYtcJsH1MskNaixcjgNBnvBDkTBhyg25umod1rgMQL', 'verified': 1, 'share': 0}, {'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'verified': 0, 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'verified': 1, 'share': 35}]",500,DYFHAbycrW3rqxg59g4idavYpgvgVDRVgPE7JBd1zzno,"[{'trait_type': 'Background', 'value': 'Soft Blue'}, {'trait_type': 'Skin', 'value': 'Human'}, {'trait_type': 'Cloth', 'value': 'Base Cloth'}, {'trait_type': 'Necklace', 'value': 'Aurory Necklace'}, {'trait_type': 'Mouth', 'value': 'Lollipop '}, {'trait_type': 'Clothing', 'value': 'No Trait'}, {'trait_type': 'Eyes', 'value': 'Base Eyes'}, {'trait_type': 'Hair', 'value': 'Green Hair'}, {'trait_type': 'Hat', 'value': 'No Trait'}, {'trait_type': 'Type', 'value': 'Aurorian'}, {'trait_type': 'generation', 'value': 1}, {'trait_type': ' sequence', 'value': 2011}]","{'category': 'image', 'files': [{'uri': 'https://arweave.net/7c7RtZGXo_ofbuw36XhvSJ_AicBT482ZLgJZi8dW_xQ', 'type': 'image/png'}], 'creators': [{'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'share': 35}]}",1,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6722}, 'howrare': {'rank': 8249}}",,
4,D2ogJwFpiYdYMwW4Rc9BfuwVT7u5vVKuwFfQ47dU2thp,56.7,Y2Z5TENK2h2GM5mbgF7437azTKuYiYU6tkSMFpCZGRV,9VrHS292pbUYezZf981RHpnnJahV6XXSNqpMfC35QZMu,aurory,Aurory,https://arweave.net/oxCsOWg-jXCGGXVvx8IG42YSHPaX4ArKVLhMq9QdyU4,Aurorian #2102,"The villagers from the whole country have gathered in Neftiville for the party, meet the Aurorians.",https://app.aurory.io/aurorian/2021/2101,image,"[{'address': '9vwYtcJsH1MskNaixcjgNBnvBDkTBhyg25umod1rgMQL', 'verified': 1, 'share': 0}, {'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'verified': 0, 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'verified': 1, 'share': 35}]",500,BcBDYfULud3ARKmE9EHibvPjUV7YdPjyBvEckzUYfFUp,"[{'trait_type': 'Background', 'value': 'Base Background'}, {'trait_type': 'Skin', 'value': 'Human'}, {'trait_type': 'Cloth', 'value': 'Base Cloth'}, {'trait_type': 'Necklace', 'value': 'No Trait'}, {'trait_type': 'Mouth', 'value': 'Barely Angry'}, {'trait_type': 'Clothing', 'value': 'No Trait'}, {'trait_type': 'Eyes', 'value': 'Base Eyes'}, {'trait_type': 'Hair', 'value': 'No Trait'}, {'trait_type': 'Hat', 'value': 'Doughnut Hat'}, {'trait_type': 'Type', 'value': 'Aurorian'}, {'trait_type': 'generation', 'value': 1}, {'trait_type': ' sequence', 'value': 2102}]","{'category': 'image', 'files': [{'uri': 'https://arweave.net/oxCsOWg-jXCGGXVvx8IG42YSHPaX4ArKVLhMq9QdyU4', 'type': 'image/png'}], 'creators': [{'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'share': 35}]}",1,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7598}, 'howrare': {'rank': 5620}}",,
5,7xekWbAPRtE8fkRmFoWNJqNH6C7yC2oNURCBZHAs2Evy,56.99,7giSXQA74XwNUqhkMXsPYt72fwXjPSBiKJmTZMTEig9b,5N5o2EGqSTKjGSewmYtkpcnkXSaTAJiJU6yPFz2u4J8t,aurory,Aurory,https://arweave.net/OP6abc-R5kOtX_JxUca-rJau9aSzrIGXViVuLckNHa0,Aurorian #2095,"The villagers from the whole country have gathered in Neftiville for the party, meet the Aurorians.",https://app.aurory.io/aurorian/2021/2094,image,"[{'address': '9vwYtcJsH1MskNaixcjgNBnvBDkTBhyg25umod1rgMQL', 'verified': 1, 'share': 0}, {'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'verified': 0, 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'verified': 1, 'share': 35}]",500,G1C5xAYrTYmJdJFDn9h1TJkWchQbtoBSFdydz2LkWA4u,"[{'trait_type': 'Background', 'value': 'Base Background'}, {'trait_type': 'Skin', 'value': 'Human'}, {'trait_type': 'Cloth', 'value': 'Base Cloth'}, {'trait_type': 'Necklace', 'value': 'Flower Necklace'}, {'trait_type': 'Mouth', 'value': 'Lollipop '}, {'trait_type': 'Clothing', 'value': 'No Trait'}, {'trait_type': 'Eyes', 'value': 'Red Eyes'}, {'trait_type': 'Hair', 'value': 'No Trait'}, {'trait_type': 'Hat', 'value': 'Twitter Hat'}, {'trait_type': 'Type', 'value': 'Aurorian'}, {'trait_type': 'generation', 'value': 1}, {'trait_type': ' sequence', 'value': 2095}]","{'category': 'image', 'files': [{'uri': 'https://arweave.net/OP6abc-R5kOtX_JxUca-rJau9aSzrIGXViVuLckNHa0', 'type': 'image/png'}], 'creators': [{'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'share': 35}]}",1,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4119}, 'howrare': {'rank': 4967}}",,
6,CEVALaQ3oy1dys5MwfgKGMrErJJnzGx2jNzptTKND9AX,56.99,9RFyTHMbt7dSaGrKnknHcByxorRh4NArP8TGXXLj33vh,4VwWzpxU1mgfcFYR1t62ywa5yf6xS3CAMvbsdNgN4qbw,aurory,Aurory,https://arweave.net/G2XBTTnHN07AHd54HTHd2QG9OGWdDDulag-ipcPoXPM,Aurorian #4286,"The villagers from the whole country have gathered in Neftiville for the party, meet the Aurorians.",https://app.aurory.io/aurorian/2021/4285,image,"[{'address': '9vwYtcJsH1MskNaixcjgNBnvBDkTBhyg25umod1rgMQL', 'verified': 1, 'share': 0}, {'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'verified': 0, 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'verified': 1, 'share': 35}]",500,5DHYoiETSsjvcX7UATHr7Xbb7gXfYcKPZHod2UDCnWYb,"[{'trait_type': 'Background', 'value': 'Soft Blue'}, {'trait_type': 'Skin', 'value': 'Human'}, {'trait_type': 'Cloth', 'value': 'Base Cloth'}, {'trait_type': 'Necklace', 'value': 'No Trait'}, {'trait_type': 'Mouth', 'value': 'Grin'}, {'trait_type': 'Clothing', 'value': 'No Trait'}, {'trait_type': 'Eyes', 'value': 'Red Eyes'}, {'trait_type': 'Hair', 'value': 'No Trait'}, {'trait_type': 'Hat', 'value': 'Crown '}, {'trait_type': 'Type', 'value': 'Aurorian'}, {'trait_type': 'generation', 'value': 1}, {'trait_type': ' sequence', 'value': 4286}]","{'category': 'image', 'files': [{'uri': 'https://arweave.net/G2XBTTnHN07AHd54HTHd2QG9OGWdDDulag-ipcPoXPM', 'type': 'image/png'}], 'creators': [{'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'share': 35}]}",1,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4763}, 'howrare': {'rank': 7045}}",,
7,5BcYz7TRLLsBCvyTfryCMUrvUTx2SvwbBWN9dqPzjngT,57.0,8UgCQ7eD3uJnSKiGG1MTZhMNGUa6s1ddHLdaajQbbL8N,9VrHS292pbUYezZf981RHpnnJahV6XXSNqpMfC35QZMu,aurory,Aurory,https://arweave.net/2cVwXMYwSwgjR-qXznYWVDvh1bhzP4c3FndW2Uq6FKM,Aurorian #8294,"The villagers from the whole country have gathered in Neftiville for the party, meet the Aurorians.",https://app.aurory.io/aurorian/2021/8293,image,"[{'address': '9vwYtcJsH1MskNaixcjgNBnvBDkTBhyg25umod1rgMQL', 'verified': 1, 'share': 0}, {'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'verified': 0, 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'verified': 1, 'share': 35}]",500,CpEK8bZxB8mLYxaJSoMRK4M2rh8qFuhssQZfkqBLoTc5,"[{'trait_type': 'Background', 'value': 'Base Background'}, {'trait_type': 'Skin', 'value': 'Human'}, {'trait_type': 'Cloth', 'value': 'Puffy Jacket'}, {'trait_type': 'Necklace', 'value': 'No Trait'}, {'trait_type': 'Mouth', 'value': 'Zipper Mask'}, {'trait_type': 'Clothing', 'value': 'No Trait'}, {'trait_type': 'Eyes', 'value': 'Base Eyes'}, {'trait_type': 'Hair', 'value': 'No Trait'}, {'trait_type': 'Hat', 'value': 'Twitter Hat'}, {'trait_type': 'Type', 'value': 'Aurorian'}, {'trait_type': 'generation', 'value': 1}, {'trait_type': ' sequence', 'value': 8294}]","{'category': 'image', 'files': [{'uri': 'https://arweave.net/2cVwXMYwSwgjR-qXznYWVDvh1bhzP4c3FndW2Uq6FKM', 'type': 'image/png'}], 'creators': [{'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'share': 35}]}",1,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6103}, 'howrare': {'rank': 5997}}",,
8,5YvvSNF1BY7sv8CoVC6tyvf2uWobJzrCpxyPKpPBtqqF,57.0,7DdjmUsrkCvGfCtG9HiFJa6nVQtunvF37HiUTEGNW5Hf,9VrHS292pbUYezZf981RHpnnJahV6XXSNqpMfC35QZMu,aurory,Aurory,https://arweave.net/iIdd3IT0C3wUD9dNOWOqrfA5sgxNqenmCdqjhVGkGe0,Aurorian #9245,"The villagers from the whole country have gathered in Neftiville for the party, meet the Aurorians.",https://app.aurory.io/aurorian/2021/9244,image,"[{'address': '9vwYtcJsH1MskNaixcjgNBnvBDkTBhyg25umod1rgMQL', 'verified': 1, 'share': 0}, {'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'verified': 0, 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'verified': 1, 'share': 35}]",500,GUs2Jx3XSVGYqJzw5mVKxAxgQXV6SfEj2wKHkPoGqoaJ,"[{'trait_type': 'Background', 'value': 'Base Background'}, {'trait_type': 'Skin', 'value': 'Human'}, {'trait_type': 'Cloth', 'value': 'Puffy Jacket'}, {'trait_type': 'Necklace', 'value': 'No Trait'}, {'trait_type': 'Mouth', 'value': 'Cat Mask'}, {'trait_type': 'Clothing', 'value': 'No Trait'}, {'trait_type': 'Eyes', 'value': 'Base Eyes'}, {'trait_type': 'Hair', 'value': 'No Trait'}, {'trait_type': 'Hat', 'value': 'Beret Hat'}, {'trait_type': 'Type', 'value': 'Aurorian'}, {'trait_type': 'generation', 'value': 1}, {'trait_type': ' sequence', 'value': 9245}]","{'category': 'image', 'files': [{'uri': 'https://arweave.net/iIdd3IT0C3wUD9dNOWOqrfA5sgxNqenmCdqjhVGkGe0', 'type': 'image/png'}], 'creators': [{'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'share': 35}]}",1,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6235}, 'howrare': {'rank': 6353}}",,
9,7R4J4DpKDs6Jg8K6om9JG27eh2reH86SZ1fX2yBpj7h3,57.0,GHHs1jfF2bxucWNt2ZQKSYsn3B6hh2SynWeZBJRHAhLH,9VrHS292pbUYezZf981RHpnnJahV6XXSNqpMfC35QZMu,aurory,Aurory,https://arweave.net/cw0wTK7c0Kx8WaGTJVn4zXtHgcvnzOKLWZEysUcNfok,Aurorian #933,"The villagers from the whole country have gathered in Neftiville for the party, meet the Aurorians.",https://app.aurory.io/aurorian/2021/932,image,"[{'address': '9vwYtcJsH1MskNaixcjgNBnvBDkTBhyg25umod1rgMQL', 'verified': 1, 'share': 0}, {'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'verified': 0, 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'verified': 1, 'share': 35}]",500,2Fg1fMC5Aukoz7nbdmKhW6K4QeeuZDkR1WXPiGNcqiXt,"[{'trait_type': 'Background', 'value': 'Base Background'}, {'trait_type': 'Skin', 'value': 'Human'}, {'trait_type': 'Cloth', 'value': 'Overalls'}, {'trait_type': 'Necklace', 'value': 'Shark Necklace'}, {'trait_type': 'Mouth', 'value': 'Base Mouth'}, {'trait_type': 'Clothing', 'value': 'No Trait'}, {'trait_type': 'Eyes', 'value': 'Red Eyes'}, {'trait_type': 'Hair', 'value': 'Pigtails'}, {'trait_type': 'Hat', 'value': 'No Trait'}, {'trait_type': 'Type', 'value': 'Aurorian'}, {'trait_type': 'generation', 'value': 1}, {'trait_type': ' sequence', 'value': 933}]","{'category': 'image', 'files': [{'uri': 'https://arweave.net/cw0wTK7c0Kx8WaGTJVn4zXtHgcvnzOKLWZEysUcNfok', 'type': 'image/png'}], 'creators': [{'address': '8Kag8CqNdCX55s4A5W4iraS71h6mv6uTHqsJbexdrrZm', 'share': 65}, {'address': 'aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt', 'share': 35}]}",1,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6031}, 'howrare': {'rank': 7607}}",,
