,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,EwbuiYq8xCGT8UhAkQpLbGmMaoUtPTvGta8F1VqKyuxF,7.35,GLixo4qn5iEUoqwTg8k7HAWrh8nZhJRMVEfQYMcCgQZR,759L5NnsVwKKfuTHjFLa3u3nHws5LuuNyuSdqPvvMT9w,best_buds,Best Buds,https://bafybeic4usrj7vdubf2bbzfi56ljulkchsxcy6e47mpddhtpmgznkxlfka.ipfs.dweb.link/3062.png?ext=png,Best Buds #3062,"Utility-based Premium Cannabis Club NFT that will include access to strains, collaborations, merch, and meta verse events.",https://bestbudsnft.io,image,"[{'address': '8vqBa53noFwhPUxzfJetAneWpxZEnQUbrNdBwnQB55dX', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'verified': 0, 'share': 90}]",777,Ae2BZAm72miko3eDSAsNwcnukEErYFmE5qeoMruY5VsT,"[{'trait_type': 'Background', 'value': 'Purple Background'}, {'trait_type': 'Clothes', 'value': 'Baby Blue Tee'}, {'trait_type': 'Chain', 'value': 'NONE'}, {'trait_type': 'Head', 'value': 'Snake Venom'}, {'trait_type': 'Mouth', 'value': 'Blowing Smoke'}, {'trait_type': 'Eyes', 'value': 'Fiery Eyes'}, {'trait_type': 'Hat', 'value': 'Orange Baseball Hat'}]","{'category': 'image', 'files': [{'uri': 'https://bafybeic4usrj7vdubf2bbzfi56ljulkchsxcy6e47mpddhtpmgznkxlfka.ipfs.dweb.link/3062.png?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'share': 90}]}",1,8oRvXGL9nq2yEr7QxJVcXzuj4LVoY7LRbmRfTowvmPV1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4070}, 'howrare': {'rank': 4058}}"
1,5de2my8w8GLN6M9DyZFtDXG8srFWP5Nu7q1r2skNiavc,7.5,5qKmTM6jrEieBF2zSc7gLcSgB2fX73aCeJKV1nPgsUDn,BQdCVW9CEXKzZBRtt3kKYU3Ns4uW9fwttaNd5S4z4XNj,best_buds,Best Buds,https://bafybeihbwle563k5p2yckvwpmd6q2rvk4rf4iqgmkol4r653jsr4lnojm4.ipfs.dweb.link/2546.png?ext=png,Best Buds #2546,"Utility-based Premium Cannabis Club NFT that will include access to strains, collaborations, merch, and meta verse events.",https://bestbudsnft.io,image,"[{'address': '8vqBa53noFwhPUxzfJetAneWpxZEnQUbrNdBwnQB55dX', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'verified': 0, 'share': 90}]",777,5zckgka39iopXhwvkFLrYSxwUb5bKJcA7WqvzecaS4tr,"[{'trait_type': 'Background', 'value': 'Purple Background'}, {'trait_type': 'Clothes', 'value': 'Baby Blue Tee'}, {'trait_type': 'Chain', 'value': 'Hemp Rope'}, {'trait_type': 'Head', 'value': 'Birthday Cake'}, {'trait_type': 'Mouth', 'value': 'Solana Mask 2'}, {'trait_type': 'Eyes', 'value': 'Orange Eyes'}, {'trait_type': 'Hat', 'value': 'Blue Beanie'}]","{'category': 'image', 'files': [{'uri': 'https://bafybeihbwle563k5p2yckvwpmd6q2rvk4rf4iqgmkol4r653jsr4lnojm4.ipfs.dweb.link/2546.png?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'share': 90}]}",1,8oRvXGL9nq2yEr7QxJVcXzuj4LVoY7LRbmRfTowvmPV1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3828}, 'howrare': {'rank': 3166}}"
2,9vZLmDhkp5JpeJzegf268gQdCKdUaSYKsRHWNGrExxWU,7.5,4WWdmpzFD2a9DprDAkRBUTJfvGikbbUQ7VtgV2hemYKD,8S4xrjQ6enVsjWGumPk4uBPWK36Cr1pdTznWQpetcFx7,best_buds,Best Buds,https://bafybeidfpkeaywmat2gsfoyqvh6aaxz2ztghfdb2heqxvxrfmd6kivddqa.ipfs.dweb.link/1175.png?ext=png,Best Buds #1175,"Utility-based Premium Cannabis Club NFT that will include access to strains, collaborations, merch, and meta verse events.",https://bestbudsnft.io,image,"[{'address': '8vqBa53noFwhPUxzfJetAneWpxZEnQUbrNdBwnQB55dX', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'verified': 0, 'share': 90}]",777,BRC4r62pHcHpCe7ZM1aqjkqGPsxhBFNFxcfFGVTLZ7Cd,"[{'trait_type': 'Background', 'value': 'Pastel Sunset Background'}, {'trait_type': 'Clothes', 'value': 'Blue Tee'}, {'trait_type': 'Chain', 'value': 'Peace Chain'}, {'trait_type': 'Head', 'value': 'Birthday Cake'}, {'trait_type': 'Mouth', 'value': 'Smile Open Mouth Green Tongue'}, {'trait_type': 'Eyes', 'value': 'Blasted Red Eyes'}, {'trait_type': 'Hat', 'value': 'Postman Hat'}]","{'category': 'image', 'files': [{'uri': 'https://bafybeidfpkeaywmat2gsfoyqvh6aaxz2ztghfdb2heqxvxrfmd6kivddqa.ipfs.dweb.link/1175.png?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'share': 90}]}",1,8oRvXGL9nq2yEr7QxJVcXzuj4LVoY7LRbmRfTowvmPV1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 3659}, 'moonrank': {'rank': 2982}}"
3,6JfKFc1CFRwS3MS5Su2XDjTdo8ymw9ueL97MktCvvXrL,7.69,CXjHGuRyPMAocVASuEHwVWhadDiVpB3BGEXRszCs4q9U,Af916LWmoDtpMY9CuHH1yrGp6qsLzD4xgY3Va1YJ14Am,best_buds,Best Buds,https://bafybeicxp6hor5lrbn5upjpqwlbjskfm77gztcfhnxyutiqr7qbkctkleq.ipfs.dweb.link/2123.png?ext=png,Best Buds #2123,"Utility-based Premium Cannabis Club NFT that will include access to strains, collaborations, merch, and meta verse events.",https://bestbudsnft.io,image,"[{'address': '8vqBa53noFwhPUxzfJetAneWpxZEnQUbrNdBwnQB55dX', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'verified': 0, 'share': 90}]",777,5Jv6tyjmzvMkbRheVKtJjS2NRtfCa5zjUqHDmi4venHu,"[{'trait_type': 'Background', 'value': 'Blue Background'}, {'trait_type': 'Clothes', 'value': 'Up In The Clouds Tee'}, {'trait_type': 'Chain', 'value': 'Hemp Rope'}, {'trait_type': 'Head', 'value': 'Lime Green Head'}, {'trait_type': 'Mouth', 'value': 'Twax Joint'}, {'trait_type': 'Eyes', 'value': 'Pink Green Eyes'}, {'trait_type': 'Hat', 'value': 'Purple Backwards Hat'}]","{'category': 'image', 'files': [{'uri': 'https://bafybeicxp6hor5lrbn5upjpqwlbjskfm77gztcfhnxyutiqr7qbkctkleq.ipfs.dweb.link/2123.png?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'share': 90}]}",1,8oRvXGL9nq2yEr7QxJVcXzuj4LVoY7LRbmRfTowvmPV1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 4062}, 'moonrank': {'rank': 4112}}"
4,EGbBo8xWBfmkLxQJyauDmUPay8JLxyRLexxJeZLCySu7,7.98,78UQEi61vhyFbVW1XLtvL4FBzie3zTyENfB3RybtW7Cq,E8UGSWBF5w24PAqxfNwUprLUNesMK4cjn4RgKx3c1J7X,best_buds,Best Buds,https://bafybeicxp6hor5lrbn5upjpqwlbjskfm77gztcfhnxyutiqr7qbkctkleq.ipfs.dweb.link/2108.png?ext=png,Best Buds #2108,"Utility-based Premium Cannabis Club NFT that will include access to strains, collaborations, merch, and meta verse events.",https://bestbudsnft.io,image,"[{'address': '8vqBa53noFwhPUxzfJetAneWpxZEnQUbrNdBwnQB55dX', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'verified': 0, 'share': 90}]",777,C48n8d4h2MTX4qv1hP2XQbD43cB2H4xbSDJTzzhvDiJy,"[{'trait_type': 'Background', 'value': 'Green Yellow Background'}, {'trait_type': 'Clothes', 'value': 'Orange Tee'}, {'trait_type': 'Chain', 'value': 'NONE'}, {'trait_type': 'Head', 'value': 'Dark Green Head'}, {'trait_type': 'Mouth', 'value': 'Smile Open Mouth Orange Tongue'}, {'trait_type': 'Eyes', 'value': 'Blasted Red Eyes'}, {'trait_type': 'Hat', 'value': 'Orange Baseball Hat'}]","{'category': 'image', 'files': [{'uri': 'https://bafybeicxp6hor5lrbn5upjpqwlbjskfm77gztcfhnxyutiqr7qbkctkleq.ipfs.dweb.link/2108.png?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'share': 90}]}",1,8oRvXGL9nq2yEr7QxJVcXzuj4LVoY7LRbmRfTowvmPV1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4155}, 'howrare': {'rank': 4150}}"
5,5qtB5ht2HMTEfrbqvrG2coHTzVebnxX7HXUbUK11ttuR,8.0,HKywr5HAEcKc3xizZXKKcUPUezSBeT82SXZFnCQ6hTAa,Dq5TN2sFxQVHtecsuT1hVNDxyHhknrARG6Zinu1bRwws,best_buds,Best Buds,https://bafybeieray2ozelr2hoxm6fgdabswgxjm4cdfpiye2zm2jmh6vn5kkdkly.ipfs.dweb.link/2946.png?ext=png,Best Buds #2946,"Utility-based Premium Cannabis Club NFT that will include access to strains, collaborations, merch, and meta verse events.",https://bestbudsnft.io,image,"[{'address': '8vqBa53noFwhPUxzfJetAneWpxZEnQUbrNdBwnQB55dX', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'verified': 0, 'share': 90}]",777,AMuGodaES6CvSxQKAm5W4h4ejK1PEoFtTNy3kNSZ1KJG,"[{'trait_type': 'Background', 'value': 'Green Background'}, {'trait_type': 'Clothes', 'value': 'Blue Tee'}, {'trait_type': 'Chain', 'value': 'Peace Chain'}, {'trait_type': 'Head', 'value': 'Orange Green Head'}, {'trait_type': 'Mouth', 'value': 'Tongue Out Mouth'}, {'trait_type': 'Eyes', 'value': 'Orange Eyes'}, {'trait_type': 'Hat', 'value': 'Purple Backwards Hat'}]","{'category': 'image', 'files': [{'uri': 'https://bafybeieray2ozelr2hoxm6fgdabswgxjm4cdfpiye2zm2jmh6vn5kkdkly.ipfs.dweb.link/2946.png?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'share': 90}]}",1,8oRvXGL9nq2yEr7QxJVcXzuj4LVoY7LRbmRfTowvmPV1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4128}, 'howrare': {'rank': 4183}}"
6,Az8iiBZTX64gNh71EoFMJ62gtgAzi83pdyaj5pmb4AZD,8.0,2EreQW4psdfoJg8tCg5GJ7pZfKxwjBUMDvYECYUSBDf7,8UAdEf7w41PbDmjdzxz36x9XjKZYUxcbtgQC5K89U3JW,best_buds,Best Buds,https://bafybeic6zecgicbxx7reimgbv2rdukd3iptt7qqouzyfftbjvjrcm2w5iu.ipfs.dweb.link/598.png?ext=png,Best Buds #598,"Utility-based Premium Cannabis Club NFT that will include access to strains, collaborations, merch, and meta verse events.",https://bestbudsnft.io,image,"[{'address': '8vqBa53noFwhPUxzfJetAneWpxZEnQUbrNdBwnQB55dX', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'verified': 0, 'share': 90}]",777,2tCr13azDkUiz1TwFCmZM4y9hVHWL2M1KR6EN1TunyaZ,"[{'trait_type': 'Background', 'value': 'Trippy Vibes Background 3'}, {'trait_type': 'Clothes', 'value': 'Orange Tee'}, {'trait_type': 'Chain', 'value': 'Purple Green Chain Link'}, {'trait_type': 'Head', 'value': 'Birthday Cake'}, {'trait_type': 'Mouth', 'value': 'Smile Open Mouth Blue Tongue'}, {'trait_type': 'Eyes', 'value': 'Brown Eyes'}, {'trait_type': 'Hat', 'value': 'White Bucket Hat'}]","{'category': 'image', 'files': [{'uri': 'https://bafybeic6zecgicbxx7reimgbv2rdukd3iptt7qqouzyfftbjvjrcm2w5iu.ipfs.dweb.link/598.png?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'share': 90}]}",1,8oRvXGL9nq2yEr7QxJVcXzuj4LVoY7LRbmRfTowvmPV1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2979}, 'howrare': {'rank': 3655}}"
7,EeWCWfn7V9Y4Nhx9AUbd8wizyWmMvVwYjStK9XiGAHf6,8.0,F9r6cdpuouRcVtP1qgvWngEwP7FJMCVwBbqTGdJkcnKX,2LyUDUYKRPvmLz9cCn5zfKgCTUpU9ivicaJwM4LkWEgh,best_buds,Best Buds,https://bafybeihbc76vhqtqd4ot5o54obxd72gpt2slcqeu22imy3hfbnxtz72d7m.ipfs.dweb.link/2389.png?ext=png,Best Buds #2389,"Utility-based Premium Cannabis Club NFT that will include access to strains, collaborations, merch, and meta verse events.",https://bestbudsnft.io,image,"[{'address': '8vqBa53noFwhPUxzfJetAneWpxZEnQUbrNdBwnQB55dX', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'verified': 0, 'share': 90}]",777,CYFWpgB9oADd2XWftzVHQ92xn2rj9ig6g2671k9Zfwpm,"[{'trait_type': 'Background', 'value': 'Pink Background'}, {'trait_type': 'Clothes', 'value': 'White Long Sleeve'}, {'trait_type': 'Chain', 'value': 'Silver Chain Link'}, {'trait_type': 'Head', 'value': 'Dark Green Head'}, {'trait_type': 'Mouth', 'value': 'Smile Open Mouth'}, {'trait_type': 'Eyes', 'value': 'Fiery Eyes'}, {'trait_type': 'Hat', 'value': 'Black Beanie'}]","{'category': 'image', 'files': [{'uri': 'https://bafybeihbc76vhqtqd4ot5o54obxd72gpt2slcqeu22imy3hfbnxtz72d7m.ipfs.dweb.link/2389.png?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'share': 90}]}",1,8oRvXGL9nq2yEr7QxJVcXzuj4LVoY7LRbmRfTowvmPV1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3035}, 'howrare': {'rank': 3614}}"
8,8F8buj9LJfbtqivnigApRGHfeMtPC5ezhDSgv3ZyfZdV,8.2,AFrWsWSd1RVLqw9MA4oMaBt535zh2rarc7bhmicgFNH3,2WKefroEMuuCvKpVLNKg4NnWKKr7Azm8p9vUTmSnfUiG,best_buds,Best Buds,https://bafybeic4usrj7vdubf2bbzfi56ljulkchsxcy6e47mpddhtpmgznkxlfka.ipfs.dweb.link/3075.png?ext=png,Best Buds #3075,"Utility-based Premium Cannabis Club NFT that will include access to strains, collaborations, merch, and meta verse events.",https://bestbudsnft.io,image,"[{'address': '8vqBa53noFwhPUxzfJetAneWpxZEnQUbrNdBwnQB55dX', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'verified': 0, 'share': 90}]",777,9nTwH8xzQe2XZajd7Mv56osNLgPSN6b8TcHEQFoxnyH3,"[{'trait_type': 'Background', 'value': 'Orange Background'}, {'trait_type': 'Clothes', 'value': 'Baby Blue Tee'}, {'trait_type': 'Chain', 'value': 'Wig Wag Pendy'}, {'trait_type': 'Head', 'value': 'Purple Head'}, {'trait_type': 'Mouth', 'value': 'Purple Tongue Mouth'}, {'trait_type': 'Eyes', 'value': 'Orange Eyes'}, {'trait_type': 'Hat', 'value': 'Tye Dye Beanie'}]","{'category': 'image', 'files': [{'uri': 'https://bafybeic4usrj7vdubf2bbzfi56ljulkchsxcy6e47mpddhtpmgznkxlfka.ipfs.dweb.link/3075.png?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'share': 90}]}",1,8oRvXGL9nq2yEr7QxJVcXzuj4LVoY7LRbmRfTowvmPV1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3809}, 'howrare': {'rank': 3831}}"
9,9HzhYgEH4t4Z7ZH66ELzDSidJADCEke3Q2qXDej3sb4n,8.2,CbkwWpTBQHPn5Q7RuCWG2PqhYzDRo1Kd2G5Baz2ntCtf,6k1cyQ7hJBdv85XCzDvmUrabswQdRuntsiWVtwffg83W,best_buds,Best Buds,https://bafybeieczixan2qrbgbc565xret2p3dd6ww47xnhbfevxsz3srcwe7rati.ipfs.dweb.link/1677.png?ext=png,Best Buds #1677,"Utility-based Premium Cannabis Club NFT that will include access to strains, collaborations, merch, and meta verse events.",https://bestbudsnft.io,image,"[{'address': '8vqBa53noFwhPUxzfJetAneWpxZEnQUbrNdBwnQB55dX', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'verified': 0, 'share': 90}]",777,ABFBRtSiaqf41hzJuqNMNCfV4VwKnMtezJSXhrkxW5U2,"[{'trait_type': 'Background', 'value': 'Pink Background'}, {'trait_type': 'Clothes', 'value': 'Black Hoodie'}, {'trait_type': 'Chain', 'value': 'Wig Wag Pendy'}, {'trait_type': 'Head', 'value': 'Frosty Head'}, {'trait_type': 'Mouth', 'value': 'Smile Open Mouth Green Tongue'}, {'trait_type': 'Eyes', 'value': 'Blue Eyes'}, {'trait_type': 'Hat', 'value': 'Green Camo Hat'}]","{'category': 'image', 'files': [{'uri': 'https://bafybeieczixan2qrbgbc565xret2p3dd6ww47xnhbfevxsz3srcwe7rati.ipfs.dweb.link/1677.png?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'LyPagYVWxQwj2UCe69rkpXFZX5AepqJKfgEduBYNZc6', 'share': 90}]}",1,8oRvXGL9nq2yEr7QxJVcXzuj4LVoY7LRbmRfTowvmPV1,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3276}, 'howrare': {'rank': 3722}}"
