,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,HocqD3Kh27Am6XJkiKuzezzF1zyv247KRbPKHAMR2JDc,2.85,ABzs3muLzZbmvAGTkBGvUyPFJwZekgw1zQEXjnRcFfmJ,3ML4gPXCF1ZEFBfTpWmSb9uMok2jZDUedXfzedqjxA9Y,bongheads,BongHeads,https://www.arweave.net/1qIRzlw8rL4rZwgkEkpTDBS3rqv4pZAGWkVdT1XEgP0?ext=png,BongHeads #1023,,image,"[{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'verified': 1, 'share': 100}]",700,8edexd3SgmRiapdDGbi6x4FogCeaNg86aT7MTqHNANQR,"[{'trait_type': 'Head', 'value': 'Liquid'}, {'trait_type': 'Background', 'value': 'Light Green'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Body', 'value': 'Brown Turtleneck'}, {'trait_type': 'Nug', 'value': 'Orange'}, {'trait_type': 'Hat', 'value': 'Monkey'}]","{'files': [{'uri': 'https://www.arweave.net/1qIRzlw8rL4rZwgkEkpTDBS3rqv4pZAGWkVdT1XEgP0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'share': 97}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 3}]}",1,6ptohDGxdPQ7jhfUiztwTqbGdkscfy5zNvXWTJ2a1WHz,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1581}, 'howrare': {'rank': 1806}}"
1,B4DvaRq2BhZQhqXUWpbYR3Xf7u4UyzDB1Zc3yUbM8b3B,2.85,5yTNz3q835LTQfDzYJDwhTKbTXxihJPNa3hMrrggsfcy,5WdpfPFD7y91eyGWysJGqLS9Ghd1vRHKM8J2Nb5wyQMM,bongheads,BongHeads,https://www.arweave.net/-AtZCNnHA5v_pgfpuj83ViOAM2koknbZ7FsbUs8faac?ext=png,BongHeads #1984,,image,"[{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'verified': 1, 'share': 100}]",700,5NkRCMWuv5sEnGbW1rTTfLWoV3zigf1di64qSSNEWE3Z,"[{'trait_type': 'Hat', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Grey'}, {'trait_type': 'Body', 'value': 'Yellow Jacket'}, {'trait_type': 'Head', 'value': 'Blue'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Nug', 'value': 'Green Wave'}]","{'files': [{'uri': 'https://www.arweave.net/-AtZCNnHA5v_pgfpuj83ViOAM2koknbZ7FsbUs8faac?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'share': 97}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 3}]}",1,6ptohDGxdPQ7jhfUiztwTqbGdkscfy5zNvXWTJ2a1WHz,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2207}, 'howrare': {'rank': 2265}}"
2,B5oXC8vx78HMPHvVfVJ9dN6BvNv7PRKmv9xtbUzwCnTP,2.9,9Ftpc2sFAtH3PeEKdktKjmxwfyq3hfMGY5bTX7AsSf9A,9JTgko2QQun6Z2mBf6Gdy9ZDPHpvBepr4vhffU94DmnS,bongheads,BongHeads,https://www.arweave.net/8RC6m9eJ2STP9gEHrjMg363lPeDnN5LdXFJMkRUU_QQ?ext=png,BongHeads #1995,,image,"[{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'verified': 1, 'share': 100}]",700,AWGX92hUb7TgKn5HfF4G5M5AtZuj5BKfJCA5V7ummQ7V,"[{'trait_type': 'Background', 'value': 'Light Blue'}, {'trait_type': 'Head', 'value': 'Grey Psychedelic'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Nug', 'value': 'Purple'}, {'trait_type': 'Body', 'value': 'Green Tracksuit'}, {'trait_type': 'Hat', 'value': 'None'}]","{'files': [{'uri': 'https://www.arweave.net/8RC6m9eJ2STP9gEHrjMg363lPeDnN5LdXFJMkRUU_QQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'share': 97}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 3}]}",1,6ptohDGxdPQ7jhfUiztwTqbGdkscfy5zNvXWTJ2a1WHz,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 2201}, 'moonrank': {'rank': 2154}}"
3,9GSLT944mNSRzhCT7TEAFguwLBDDGa8jmZ784VB1RWsZ,2.9,AYXCJKKgojcj9Ezdgi53ZBionuQSKpRM2TPiSMnVGFbg,9JTgko2QQun6Z2mBf6Gdy9ZDPHpvBepr4vhffU94DmnS,bongheads,BongHeads,https://www.arweave.net/ujdaoJUj4QQtXpW7hFIkhrlk9E6bXlpxvrF4ii6dbgo?ext=png,BongHeads #1816,,image,"[{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'verified': 1, 'share': 100}]",700,2UMHuXc2rqFDaj4rPUAWDnKJ37jU3XvtjouSSps1BDwQ,"[{'trait_type': 'Hat', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Space'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Nug', 'value': 'Yellow'}, {'trait_type': 'Head', 'value': 'Brown'}, {'trait_type': 'Body', 'value': 'Red Scifi'}]","{'files': [{'uri': 'https://www.arweave.net/ujdaoJUj4QQtXpW7hFIkhrlk9E6bXlpxvrF4ii6dbgo?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'share': 97}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 3}]}",1,6ptohDGxdPQ7jhfUiztwTqbGdkscfy5zNvXWTJ2a1WHz,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 2062}, 'moonrank': {'rank': 2041}}"
4,6FAxbskGHWcR2EipsYbF6CzsG3wi2CfZmk9wMWn2p7Ph,2.95,Hh3xULbwWwgivpXWxaB8jUTxRHm2smNtDLDyyMfhTmbz,7LbymVuhrhjT9botGAwnkUP2TzivTT7JNZFvisqiQrEc,bongheads,BongHeads,https://www.arweave.net/gmhCuAmBcEV8X81IrUMBCWIvcMV69YMU2BU8fFFFczs?ext=png,BongHeads #1390,,image,"[{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'verified': 1, 'share': 100}]",700,97ocRwCoAqHi5K2adtEadVak1xAPU3GHw6qcdD5hknWP,"[{'trait_type': 'Body', 'value': 'Lab Coat'}, {'trait_type': 'Hat', 'value': 'Snake'}, {'trait_type': 'Head', 'value': 'Grey'}, {'trait_type': 'Nug', 'value': 'Yellow'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Red'}]","{'files': [{'uri': 'https://www.arweave.net/gmhCuAmBcEV8X81IrUMBCWIvcMV69YMU2BU8fFFFczs?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'share': 97}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 3}]}",1,6ptohDGxdPQ7jhfUiztwTqbGdkscfy5zNvXWTJ2a1WHz,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 1768}, 'moonrank': {'rank': 1620}}"
5,ACiLP3GHSX7ZGuVHCfGZFJddw96E5RXuyHYJNqAgDNMn,2.95,37ECRDe46hsQkwfoEqrRGVRcvV1Wiw4EeMvGyeAjazs2,2J7PRo6tkMJs4b5WnatztwMkYSEcQRZD2PMY2VtWZSAU,bongheads,BongHeads,https://www.arweave.net/mmHnnyXOrCS0ot5lszGka5mnLzIJhU1EiCvbKJb7wv8?ext=png,BongHeads #2096,,image,"[{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'verified': 1, 'share': 100}]",700,AhuyqUu8jMAXyjUYXVjqETEoLr6FACctJdZP1xURHCiP,"[{'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Hat', 'value': 'None'}, {'trait_type': 'Body', 'value': 'Red Scifi'}, {'trait_type': 'Nug', 'value': 'Yellow'}, {'trait_type': 'Head', 'value': 'Pink Sky'}, {'trait_type': 'Eyes', 'value': 'None'}]","{'files': [{'uri': 'https://www.arweave.net/mmHnnyXOrCS0ot5lszGka5mnLzIJhU1EiCvbKJb7wv8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'share': 97}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 3}]}",1,6ptohDGxdPQ7jhfUiztwTqbGdkscfy5zNvXWTJ2a1WHz,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2177}, 'howrare': {'rank': 2234}}"
6,9dAFiXoQTUp2pfqoit2zVwwK4iyDd1W8XB1WLwz8BHjE,2.99,EkFD4zbejSbHTQahGKdDzMBjgzPPPrdzyebLd63tWvnt,7QLNbn582hH5z2LhhdD9dS7KqWma4u5QRb9j5UYSpUFt,bongheads,BongHeads,https://www.arweave.net/8w_VZyf5OF8KFGT5Joq0GdfbufYqn_tId6uzxE6gv68?ext=png,BongHeads #1056,,image,"[{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'verified': 1, 'share': 100}]",700,6N4z5iXTowwqUDy3rs4n6nMCLkwxG9kg9keCzLQLNe8A,"[{'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Light Blue'}, {'trait_type': 'Body', 'value': 'Mixed Tracksuit'}, {'trait_type': 'Head', 'value': 'Dark Blue'}, {'trait_type': 'Hat', 'value': 'Hitman Fedora'}, {'trait_type': 'Nug', 'value': 'Psychedelic'}]","{'files': [{'uri': 'https://www.arweave.net/8w_VZyf5OF8KFGT5Joq0GdfbufYqn_tId6uzxE6gv68?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'share': 97}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 3}]}",1,6ptohDGxdPQ7jhfUiztwTqbGdkscfy5zNvXWTJ2a1WHz,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1395}, 'howrare': {'rank': 1800}}"
7,5MExVuM737QGnPDE25kUcKq4dCLJFiRMikjGw7ATVeVn,2.99,7qexC98eGx5Xf77FL2bNEqrBwFDETfpeDfQStryZs7nu,3Tme1LnSTHDKkwtHE7XDuyLakaN8gWCdpBGQ23t8B4hD,bongheads,BongHeads,https://www.arweave.net/SpY8mman3zyiQUPO6HfcN4YKae358vHiBRvuDLufH1Y?ext=png,BongHeads #696,,image,"[{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'verified': 1, 'share': 100}]",700,CQpPyNMHSWP3e3ypEFAebaF7GRGy3qvSBzraT6Y46SA7,"[{'trait_type': 'Hat', 'value': 'Monkey'}, {'trait_type': 'Nug', 'value': 'Yellow'}, {'trait_type': 'Head', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Red Peace'}, {'trait_type': 'Eyes', 'value': 'Reggae Glasses'}, {'trait_type': 'Background', 'value': 'Blue'}]","{'files': [{'uri': 'https://www.arweave.net/SpY8mman3zyiQUPO6HfcN4YKae358vHiBRvuDLufH1Y?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'share': 97}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 3}]}",1,6ptohDGxdPQ7jhfUiztwTqbGdkscfy5zNvXWTJ2a1WHz,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 817}, 'howrare': {'rank': 1248}}"
8,7S1V1MXtnKv5CuY9VUeoCFj5m1tU8VEBrjHrcEf9QWK7,2.99,H9z5dLRq7g6XrovSxYkN92BrhKcr2owyFgQnGwg5dJ9c,9ogfKUPYPiTewurvm4pJ1LfJ5b461WNXvb28LPhT7ue5,bongheads,BongHeads,https://www.arweave.net/EqE20BOR00Z9y7dP5nA3afWrpZWdshDl2liOR6AAzbM?ext=png,BongHeads #2163,,image,"[{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'verified': 1, 'share': 100}]",700,4mw1ZY14JTuc9FJddPJY9WfYa9R51FBFwP9vtzRCU4R5,"[{'trait_type': 'Nug', 'value': 'Green'}, {'trait_type': 'Body', 'value': 'Medical Jacket'}, {'trait_type': 'Hat', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Head', 'value': 'Blue'}, {'trait_type': 'Eyes', 'value': 'None'}]","{'files': [{'uri': 'https://www.arweave.net/EqE20BOR00Z9y7dP5nA3afWrpZWdshDl2liOR6AAzbM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'share': 97}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 3}]}",1,6ptohDGxdPQ7jhfUiztwTqbGdkscfy5zNvXWTJ2a1WHz,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2086}, 'howrare': {'rank': 1624}}"
9,F3wVN9XCT8Hc6p1M2Hfjtjn3V7tvCDjbVYjpUmpkueCg,2.99,CQfXLgZdU34VVh4EoYxnFQeSDBdm2XSVdWfoKmjtjGzA,9ogfKUPYPiTewurvm4pJ1LfJ5b461WNXvb28LPhT7ue5,bongheads,BongHeads,https://www.arweave.net/1Vb4V23Q5W5sRLQUo_ZfdNt-CeajFKtIFm9XgKSV86g?ext=png,BongHeads #2080,,image,"[{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'verified': 1, 'share': 100}]",700,3HU7FThteot3HEVQqYQKh7j31GtrZyzqXbq9MyTbCrdQ,"[{'trait_type': 'Nug', 'value': 'Cyan'}, {'trait_type': 'Hat', 'value': 'None'}, {'trait_type': 'Body', 'value': 'Blue Old'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Head', 'value': 'Blue'}]","{'files': [{'uri': 'https://www.arweave.net/1Vb4V23Q5W5sRLQUo_ZfdNt-CeajFKtIFm9XgKSV86g?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Jw7YmxUbQLdLBu9XjqfYaJYbzToy5vy464JRjCPdusP', 'share': 97}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 3}]}",1,6ptohDGxdPQ7jhfUiztwTqbGdkscfy5zNvXWTJ2a1WHz,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 2108}, 'moonrank': {'rank': 2152}}"
