,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,FURs2BvwRsorzCmkGvSbmCYAWnhAUqbSn3wKKJm5Ncay,28.7,4sTHAYB337LB6smtcqRDGKXocuJPB1UaxDpyFBWS8bKP,EkwJnukj8VEdYmXo9ijqS1GF4u9uuNz4WymDnZcH9EMo,bulldog_billionaires,Bulldog Billionaires,https://www.arweave.net/cP-50hZmn8MIvkG-D3hPQnOBVye-9wL5zgWae2P1wK4?ext=png,Bulldog #1916,"Welcome to an alternate reality, where 2000 ai-generated bulldogs have taken over the blockchain.",https://www.BulldogBillionaires.club/,image,"[{'address': '12eeAkSTxEc4UmJFnhBgiWGE4WN6mLwtexvYTYCBECoF', 'verified': 1, 'share': 0}, {'address': 'BDoG8xwCBqVKaSyNtbWYZ8GZFw156R4M2N6TgzvtD5sL', 'verified': 0, 'share': 70}, {'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'verified': 0, 'share': 30}]",888,2jrcZKUmJNEB9aunxaCqwRnnna8PWGhdSEEWjtS34p7n,"[{'trait_type': 'Background', 'value': 'Navy'}, {'trait_type': 'Fur', 'value': 'Cybork'}, {'trait_type': 'Outfit', 'value': 'Navy Camo'}, {'trait_type': 'Collar', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Grey Eyes'}, {'trait_type': 'Headwear', 'value': 'None'}, {'trait_type': 'Eyewear', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Drooling'}]","{'files': [{'uri': 'https://www.arweave.net/cP-50hZmn8MIvkG-D3hPQnOBVye-9wL5zgWae2P1wK4?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'share': 100}]}",1,Ap8ReD1XtaDL7ZTpBnBUqiEDRxMWXB57QbFTuxQ6i88w,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1506}, 'howrare': {'rank': 1319}}",,
1,EEa2uniySN1mZoSPN128KZHWDin14tEnunRU5GGzGZQB,28.8,8xM7aL7at3nDQCGkXXFLZg5RnovfVbHHPNXyREgWkaXu,69m7ZfHbqNXqDRnceN8NvNHy2Tg469E7HLUTNkNwNnmV,bulldog_billionaires,Bulldog Billionaires,https://www.arweave.net/aypHDw8bOrzRX68fvbvZFwFRt7kyO-KaZFohMknVGX8?ext=png,Bulldog #1001,"Welcome to an alternate reality, where 2000 ai-generated bulldogs have taken over the blockchain.",https://www.BulldogBillionaires.club/,image,"[{'address': '12eeAkSTxEc4UmJFnhBgiWGE4WN6mLwtexvYTYCBECoF', 'verified': 1, 'share': 0}, {'address': 'BDoG8xwCBqVKaSyNtbWYZ8GZFw156R4M2N6TgzvtD5sL', 'verified': 0, 'share': 70}, {'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'verified': 0, 'share': 30}]",888,P8WnJ9wT3xBcXJBmtn3kN33jMqVebsskCjh9Q1zdxQ2,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Fur', 'value': 'Red'}, {'trait_type': 'Outfit', 'value': 'Orange Jacket'}, {'trait_type': 'Collar', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Green Eyes'}, {'trait_type': 'Headwear', 'value': 'None'}, {'trait_type': 'Eyewear', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Closed Mouth'}]","{'files': [{'uri': 'https://www.arweave.net/aypHDw8bOrzRX68fvbvZFwFRt7kyO-KaZFohMknVGX8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'share': 100}]}",1,Ap8ReD1XtaDL7ZTpBnBUqiEDRxMWXB57QbFTuxQ6i88w,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1783}},,
2,5DJBWUovkvECnuFWhuA3MieXcu87c4QACwrQ1TGvLo4S,29.0,7C8zrLxrTZace8MXguEpnda9AxfhS1PPmooA8hx3q2GD,CWw8UdzQ2735QN45PARrsPE4eGYd4xhTSXztxJpGJYAm,bulldog_billionaires,Bulldog Billionaires,https://www.arweave.net/pVgExeXI16IV9Kmb21YmKkUZ3d-tjRkNipmCZATgsgs?ext=png,Bulldog #1851,"Welcome to an alternate reality, where 2000 ai-generated bulldogs have taken over the blockchain.",https://www.BulldogBillionaires.club/,image,"[{'address': '12eeAkSTxEc4UmJFnhBgiWGE4WN6mLwtexvYTYCBECoF', 'verified': 1, 'share': 0}, {'address': 'BDoG8xwCBqVKaSyNtbWYZ8GZFw156R4M2N6TgzvtD5sL', 'verified': 0, 'share': 70}, {'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'verified': 0, 'share': 30}]",888,3tQxhGzoybCurqxahjxVqUwcq8KY2JzUtS1ZrZpefMvJ,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Fur', 'value': 'Blue'}, {'trait_type': 'Outfit', 'value': 'White Polo'}, {'trait_type': 'Collar', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Grey Eyes'}, {'trait_type': 'Headwear', 'value': 'None'}, {'trait_type': 'Eyewear', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Covid Mask'}]","{'files': [{'uri': 'https://www.arweave.net/pVgExeXI16IV9Kmb21YmKkUZ3d-tjRkNipmCZATgsgs?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'share': 100}]}",1,Ap8ReD1XtaDL7ZTpBnBUqiEDRxMWXB57QbFTuxQ6i88w,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1626}, 'howrare': {'rank': 1606}}",,
3,uhHrw5ZTojEggY4AHaS9jqB9TyW4uEHPpwgrNU3Ljom,29.5,C63AAVNEuwu5fn6YjK8UiMQ2jCYXdNfguzYT74PHrKPe,HCcizsJC6scphVCVJnJB4Azzir2pCZx2eehWdK4iy7KB,bulldog_billionaires,Bulldog Billionaires,https://www.arweave.net/J4iWzW8crax7Y0VU70T5FCDJDEAiYPa9kV_aikcZv_M?ext=png,Bulldog #1550,"Welcome to an alternate reality, where 2000 ai-generated bulldogs have taken over the blockchain.",https://www.BulldogBillionaires.club/,image,"[{'address': '12eeAkSTxEc4UmJFnhBgiWGE4WN6mLwtexvYTYCBECoF', 'verified': 1, 'share': 0}, {'address': 'BDoG8xwCBqVKaSyNtbWYZ8GZFw156R4M2N6TgzvtD5sL', 'verified': 0, 'share': 70}, {'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'verified': 0, 'share': 30}]",888,CZrZrZW3RBB6bbSeNfdi3QxS8adxgX2tpioqXpmqC8Ws,"[{'trait_type': 'Background', 'value': 'Wine'}, {'trait_type': 'Fur', 'value': 'Zebra'}, {'trait_type': 'Outfit', 'value': 'Red Polo'}, {'trait_type': 'Collar', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Pink Eyes'}, {'trait_type': 'Headwear', 'value': 'None'}, {'trait_type': 'Eyewear', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Red Vape'}]","{'files': [{'uri': 'https://www.arweave.net/J4iWzW8crax7Y0VU70T5FCDJDEAiYPa9kV_aikcZv_M?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'share': 100}]}",1,Ap8ReD1XtaDL7ZTpBnBUqiEDRxMWXB57QbFTuxQ6i88w,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1359}, 'howrare': {'rank': 1106}}",,
4,DEYydq5sTWtWwAF4v5uPoW8acLYZumDUvrvxq7WK6rGb,29.89,8csjoz76nYGwyTbAkQgkhZ7CpETZ3R2sLJTnsQKnvqFC,Dg1JaCPmkQRQKcjz9ceZ7taZ8VPCous3X25fEcMqrTDZ,bulldog_billionaires,Bulldog Billionaires,https://www.arweave.net/vR-PO2UW_y0J-rK-IK8eAf8vIgugXky-lV6L-hmMHys?ext=png,Bulldog #1020,"Welcome to an alternate reality, where 2000 ai-generated bulldogs have taken over the blockchain.",https://www.BulldogBillionaires.club/,image,"[{'address': '12eeAkSTxEc4UmJFnhBgiWGE4WN6mLwtexvYTYCBECoF', 'verified': 1, 'share': 0}, {'address': 'BDoG8xwCBqVKaSyNtbWYZ8GZFw156R4M2N6TgzvtD5sL', 'verified': 0, 'share': 70}, {'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'verified': 0, 'share': 30}]",888,ApDxKoDTgkzSrLNSQMCtbokg5iyvnxw3NN1QpnQBuRWL,"[{'trait_type': 'Background', 'value': 'Wine'}, {'trait_type': 'Fur', 'value': 'White'}, {'trait_type': 'Outfit', 'value': 'Designer Shirt'}, {'trait_type': 'Collar', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Purple Eyes'}, {'trait_type': 'Headwear', 'value': 'None'}, {'trait_type': 'Eyewear', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Tongue'}]","{'files': [{'uri': 'https://www.arweave.net/vR-PO2UW_y0J-rK-IK8eAf8vIgugXky-lV6L-hmMHys?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'share': 100}]}",1,Ap8ReD1XtaDL7ZTpBnBUqiEDRxMWXB57QbFTuxQ6i88w,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1740}},,
5,GGzBQVfgPp87GvRLNfa1aEcX3cFWvFtnb9hLn3AP1DeV,30.0,FBejNDUMhcgZo6duDy7J7bxMY8V3QrLkCkYLrWQZLypL,43v5Kwpri6H81JUrT7rKC9PwBTBg1mbUPL297V8cghnQ,bulldog_billionaires,Bulldog Billionaires,https://www.arweave.net/Rs4lDny33G-Co5BdPCABH3FRyikQQiuYueqJf3T-MIs?ext=png,Bulldog #1231,"Welcome to an alternate reality, where 2000 ai-generated bulldogs have taken over the blockchain.",https://www.BulldogBillionaires.club/,image,"[{'address': '12eeAkSTxEc4UmJFnhBgiWGE4WN6mLwtexvYTYCBECoF', 'verified': 1, 'share': 0}, {'address': 'BDoG8xwCBqVKaSyNtbWYZ8GZFw156R4M2N6TgzvtD5sL', 'verified': 0, 'share': 70}, {'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'verified': 0, 'share': 30}]",888,7mBMy9V4QG4ALxxEioxayCnrfCPWixBAeR5X3idsKNdc,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Fur', 'value': 'Zombie'}, {'trait_type': 'Outfit', 'value': 'Green Hoodie'}, {'trait_type': 'Collar', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Brown Eyes'}, {'trait_type': 'Headwear', 'value': 'None'}, {'trait_type': 'Eyewear', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Blue Vape'}]","{'files': [{'uri': 'https://www.arweave.net/Rs4lDny33G-Co5BdPCABH3FRyikQQiuYueqJf3T-MIs?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'share': 100}]}",1,Ap8ReD1XtaDL7ZTpBnBUqiEDRxMWXB57QbFTuxQ6i88w,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1635}, 'howrare': {'rank': 1623}}",,
6,4ANc79T6WyCb78TM8tTzhqBVHvvZEjLcFnnyvZRj3h7J,30.0,HwNBXu7fwcpF2AnDR54gNXTTAfNhASE6Hp2rGyqdLpKy,BU7xGmuF6eNKTfffu16ud8FSJaQb86mBzm133NZkp3gZ,bulldog_billionaires,Bulldog Billionaires,https://www.arweave.net/3IZd3Gbq8tYgBMdIrbOx2ETOnYiv0y7O9El3BaI2RCY?ext=png,Bulldog #92,"Welcome to an alternate reality, where 2000 ai-generated bulldogs have taken over the blockchain.",https://www.BulldogBillionaires.club/,image,"[{'address': '12eeAkSTxEc4UmJFnhBgiWGE4WN6mLwtexvYTYCBECoF', 'verified': 1, 'share': 0}, {'address': 'BDoG8xwCBqVKaSyNtbWYZ8GZFw156R4M2N6TgzvtD5sL', 'verified': 0, 'share': 70}, {'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'verified': 0, 'share': 30}]",888,GonvHeqhfPtaMx39TBE9GdB7Cw5dZjVpr1mCvKWW4tMW,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Fur', 'value': 'Static'}, {'trait_type': 'Outfit', 'value': 'Blue Hoodie'}, {'trait_type': 'Collar', 'value': 'Ethereum Pendant'}, {'trait_type': 'Eyes', 'value': 'Pink Eyes'}, {'trait_type': 'Headwear', 'value': 'None'}, {'trait_type': 'Eyewear', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Drooling'}]","{'files': [{'uri': 'https://www.arweave.net/3IZd3Gbq8tYgBMdIrbOx2ETOnYiv0y7O9El3BaI2RCY?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'share': 100}]}",1,Ap8ReD1XtaDL7ZTpBnBUqiEDRxMWXB57QbFTuxQ6i88w,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 865}, 'howrare': {'rank': 1202}}",,
7,23BtsDAJesi3Y1u44fzUdei3FrXfkAaKtGESzUAxEQb6,30.5,EbpCWUY3n1Mn7L35BzF3pQL9V3jnvka9jgeb3KgoWCJt,DXDkzMo5YRVTjjnuYPYZy36qMmXdP9czQ6DT8YBDNCJ3,bulldog_billionaires,Bulldog Billionaires,https://www.arweave.net/2li0cDINEzG3nXI8Am-ZcPW8WTrwVPZcb48ELHm7COY?ext=png,Bulldog #1699,"Welcome to an alternate reality, where 2000 ai-generated bulldogs have taken over the blockchain.",https://www.BulldogBillionaires.club/,image,"[{'address': '12eeAkSTxEc4UmJFnhBgiWGE4WN6mLwtexvYTYCBECoF', 'verified': 1, 'share': 0}, {'address': 'BDoG8xwCBqVKaSyNtbWYZ8GZFw156R4M2N6TgzvtD5sL', 'verified': 0, 'share': 70}, {'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'verified': 0, 'share': 30}]",888,6dxyodsR8Uxq4HY1KozAcTzUGyVg4P2YXcFQUHhDbAqm,"[{'trait_type': 'Background', 'value': 'Navy'}, {'trait_type': 'Fur', 'value': 'Brown'}, {'trait_type': 'Outfit', 'value': 'Purple Robe'}, {'trait_type': 'Collar', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Blue Eyes'}, {'trait_type': 'Headwear', 'value': 'None'}, {'trait_type': 'Eyewear', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Closed Mouth'}]","{'files': [{'uri': 'https://www.arweave.net/2li0cDINEzG3nXI8Am-ZcPW8WTrwVPZcb48ELHm7COY?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'share': 100}]}",1,Ap8ReD1XtaDL7ZTpBnBUqiEDRxMWXB57QbFTuxQ6i88w,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1993}, 'howrare': {'rank': 1989}}",,
8,3cjUtjP76k51X91KQ8KazBXzpv6ytD2Esx83c3RY3ngn,31.0,4PWbd2jGy3Dbrq837MAB9PN7MmME4XbWBd5Qednm8cJ1,9mfsLbja6uofNHCRh7xjU7aXrzA83pjt3uVfyLBx4TTf,bulldog_billionaires,Bulldog Billionaires,https://www.arweave.net/kyDrpSZpkrl-D1Dk2Fokfr_XT_Ed7zoqUYvYZaK8dPI?ext=png,Bulldog #1709,"Welcome to an alternate reality, where 2000 ai-generated bulldogs have taken over the blockchain.",https://www.BulldogBillionaires.club/,image,"[{'address': '12eeAkSTxEc4UmJFnhBgiWGE4WN6mLwtexvYTYCBECoF', 'verified': 1, 'share': 0}, {'address': 'BDoG8xwCBqVKaSyNtbWYZ8GZFw156R4M2N6TgzvtD5sL', 'verified': 0, 'share': 70}, {'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'verified': 0, 'share': 30}]",888,JBoJssWBp1P9obV9UEFzrPWfiTVz398SSvoU138zmdpj,"[{'trait_type': 'Background', 'value': 'Grey'}, {'trait_type': 'Fur', 'value': 'Black'}, {'trait_type': 'Outfit', 'value': 'Purple Robe'}, {'trait_type': 'Collar', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Brown Eyes'}, {'trait_type': 'Headwear', 'value': 'None'}, {'trait_type': 'Eyewear', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Gold Grillz'}]","{'files': [{'uri': 'https://www.arweave.net/kyDrpSZpkrl-D1Dk2Fokfr_XT_Ed7zoqUYvYZaK8dPI?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'share': 100}]}",1,Ap8ReD1XtaDL7ZTpBnBUqiEDRxMWXB57QbFTuxQ6i88w,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1991}, 'howrare': {'rank': 1992}}",,
9,9Eergn5Ly5eBLJt8fxhVVyFYoZKuXnCmpGKnTMnDqFAq,31.8,FU5YQDSZUv8iSkRVtaSYKbQeQvRjHCx2kLoPcFeajTPk,E787HgAPKA7Kd9z1bTVXyB27hEFJV34JoCN6om5YaCv2,bulldog_billionaires,Bulldog Billionaires,https://www.arweave.net/QyYZ5EBKwpZbN2dOKnuzPzNMu1DEk7BWkWO_lUhLVrA?ext=png,Bulldog #518,"Welcome to an alternate reality, where 2000 ai-generated bulldogs have taken over the blockchain.",https://www.BulldogBillionaires.club/,image,"[{'address': '12eeAkSTxEc4UmJFnhBgiWGE4WN6mLwtexvYTYCBECoF', 'verified': 1, 'share': 0}, {'address': 'BDoG8xwCBqVKaSyNtbWYZ8GZFw156R4M2N6TgzvtD5sL', 'verified': 0, 'share': 70}, {'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'verified': 0, 'share': 30}]",888,37yfatQaagQoCcWm4PqgyCQsRBjkhaWtcCf1mmEtPKAc,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Fur', 'value': 'White'}, {'trait_type': 'Outfit', 'value': 'Pink Robe'}, {'trait_type': 'Collar', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Grey Eyes'}, {'trait_type': 'Headwear', 'value': 'Backwards Hat'}, {'trait_type': 'Eyewear', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Cigar'}]","{'files': [{'uri': 'https://www.arweave.net/QyYZ5EBKwpZbN2dOKnuzPzNMu1DEk7BWkWO_lUhLVrA?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '12aeTLv8ngBqBaw9DF43PR5uuYttGj876ZqTQ1oQz7qq', 'share': 100}]}",1,Ap8ReD1XtaDL7ZTpBnBUqiEDRxMWXB57QbFTuxQ6i88w,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 689}, 'howrare': {'rank': 660}}",,
