,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,FEtJQKegkUHek5w2aU4oZ31BLW7exy62Sxkib9p8qM5f,3.8,Hiyk35yVvb811DjKm574YtPt8XbJiiTqcTWCu9k1eCtV,1fuQfXyE9Rm3deRjjVhRnwcWh9PiKd7YQUHCY7XyVFN,bushidosociety,Bushido Society,https://www.arweave.net/ZPwjN1ACuk-6-fOklJBt0YmuRFzwh-dogkBK3DGp4ow?ext=png,Bushido Society #619,"A COLLECTION OF 2222 UNIQUE NFT’S DESIGNED BY THE INCREDIBLY TALENTED JOSEPH DIAZ, AN ARTIST WHOSE SUPERIOR SKILLS HAVE BEEN UTILIZED AND PROVEN TO BE WORTHY OF THE HIGHEST TRUST BY DISNEY, BARCELONA, HBO, NETFLIX, AND WARNER.",,image,"[{'address': '6V2xr7gPGGXkN1SRCjCpNJDoitMG7NA97ekg8oMTanpY', 'verified': 1, 'share': 0}, {'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'verified': 0, 'share': 100}]",900,3XCAe11hi2KJ6HvHrEgXW2pZ2kW4Nmc2aMRapxweQaDJ,"[{'trait_type': 'Background', 'value': 'Background'}, {'trait_type': 'Props Back', 'value': 'Katana Black'}, {'trait_type': 'Base Character', 'value': 'Base Character'}, {'trait_type': 'Horns', 'value': 'Golden Fork Horns'}, {'trait_type': 'Helmets', 'value': 'Sharptop Black Kabuto'}, {'trait_type': 'Armours', 'value': 'Fully Silver Dragon Armour'}, {'trait_type': 'Masks', 'value': 'Mask Gold'}, {'trait_type': 'Central Ornament', 'value': 'Black Spikes Ornament'}]","{'files': [{'uri': 'https://www.arweave.net/ZPwjN1ACuk-6-fOklJBt0YmuRFzwh-dogkBK3DGp4ow?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'share': 100}]}",1,EzgzVC2rumtQtZ2hmKHZTtwNs6NUn64GATvjL5rgUF2X,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
1,5yDAXww3RB3sTihNfNwDCSveNtT5jCjxpbWJm9uRKXH4,3.84,9nGtkwDn6fxYV8tMhSjxy3sdK3sQTsRQPRkAoFhAsYDH,J35pX5YuFnRbaL3yBsC1CW6YD4DTp8LKPRuUbn6gWNqB,bushidosociety,Bushido Society,https://www.arweave.net/rb-cDMY1_oB25OLxHGKJIxZJDMv0nYa6IJvxV5MH-Ps?ext=png,Bushido Society #849,"A COLLECTION OF 2222 UNIQUE NFT’S DESIGNED BY THE INCREDIBLY TALENTED JOSEPH DIAZ, AN ARTIST WHOSE SUPERIOR SKILLS HAVE BEEN UTILIZED AND PROVEN TO BE WORTHY OF THE HIGHEST TRUST BY DISNEY, BARCELONA, HBO, NETFLIX, AND WARNER.",,image,"[{'address': '6V2xr7gPGGXkN1SRCjCpNJDoitMG7NA97ekg8oMTanpY', 'verified': 1, 'share': 0}, {'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'verified': 0, 'share': 100}]",900,9SUkcAwRUZCozuVWPPcXRf713ra1Kaqo9sFnZVCeyRTk,"[{'trait_type': 'Background', 'value': 'Background'}, {'trait_type': 'Props Back', 'value': 'Lance Red'}, {'trait_type': 'Base Character', 'value': 'Base Character'}, {'trait_type': 'Horns', 'value': 'Golden Horns'}, {'trait_type': 'Helmets', 'value': 'Spiked Kabuto'}, {'trait_type': 'Armours', 'value': 'Black Dragonhead Armour'}, {'trait_type': 'Masks', 'value': 'Mask Red Gold'}, {'trait_type': 'Central Ornament', 'value': 'Black Eye Ornament'}]","{'files': [{'uri': 'https://www.arweave.net/rb-cDMY1_oB25OLxHGKJIxZJDMv0nYa6IJvxV5MH-Ps?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'share': 100}]}",1,EzgzVC2rumtQtZ2hmKHZTtwNs6NUn64GATvjL5rgUF2X,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
2,GsggoQ8McYC8MdcZfD5aLiqjjKLEDNQZ3kVpYP6T3Pwx,3.85,EGuxbBLENcxMHhjnuEfaWp8kZGgXQANrc8SgktdvskVG,J35pX5YuFnRbaL3yBsC1CW6YD4DTp8LKPRuUbn6gWNqB,bushidosociety,Bushido Society,https://www.arweave.net/Kc0y7oYdgxlrT1DmftCks-4U3PdWna5qCXhgmn6k2A0?ext=png,Bushido Society #730,"A COLLECTION OF 2222 UNIQUE NFT’S DESIGNED BY THE INCREDIBLY TALENTED JOSEPH DIAZ, AN ARTIST WHOSE SUPERIOR SKILLS HAVE BEEN UTILIZED AND PROVEN TO BE WORTHY OF THE HIGHEST TRUST BY DISNEY, BARCELONA, HBO, NETFLIX, AND WARNER.",,image,"[{'address': '6V2xr7gPGGXkN1SRCjCpNJDoitMG7NA97ekg8oMTanpY', 'verified': 1, 'share': 0}, {'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'verified': 0, 'share': 100}]",900,HzbVYYdYQsmC9uZUX3NChQWwkEMB8ntPSYn61HFpPMtN,"[{'trait_type': 'Background', 'value': 'Background'}, {'trait_type': 'Props Back', 'value': 'Katana Black'}, {'trait_type': 'Base Character', 'value': 'Base Character'}, {'trait_type': 'Horns', 'value': 'Golden Horns'}, {'trait_type': 'Helmets', 'value': 'Black Kabuto'}, {'trait_type': 'Armours', 'value': 'Black Kimono Armour'}, {'trait_type': 'Masks', 'value': 'Mask Meta X Black'}, {'trait_type': 'Central Ornament', 'value': 'Silver Antlers Ornament'}]","{'files': [{'uri': 'https://www.arweave.net/Kc0y7oYdgxlrT1DmftCks-4U3PdWna5qCXhgmn6k2A0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'share': 100}]}",1,EzgzVC2rumtQtZ2hmKHZTtwNs6NUn64GATvjL5rgUF2X,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
3,AGWyKXFsfNzgzmP6v7Qs2MENtKyTs1EuU5CFvUn2H3N5,3.85,DJK2rDWi4AnFKk1ck2Hu3E91jSikYXfESSByMHRTPwgA,3Pdjeo1E3G6PawHqQgFfxrgojHSSJBq8ksovCQuE8wbS,bushidosociety,Bushido Society,https://www.arweave.net/pkLNf2lrakXR1BPs8MBubILNi1d3e3s2EmSVBvvXVN0?ext=png,Bushido Society #1074,"A COLLECTION OF 2222 UNIQUE NFT’S DESIGNED BY THE INCREDIBLY TALENTED JOSEPH DIAZ, AN ARTIST WHOSE SUPERIOR SKILLS HAVE BEEN UTILIZED AND PROVEN TO BE WORTHY OF THE HIGHEST TRUST BY DISNEY, BARCELONA, HBO, NETFLIX, AND WARNER.",,image,"[{'address': '6V2xr7gPGGXkN1SRCjCpNJDoitMG7NA97ekg8oMTanpY', 'verified': 1, 'share': 0}, {'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'verified': 0, 'share': 100}]",900,Bq3fcybxURrQpexam2dK4SPjJF8k7DnppizBaGa6Zq44,"[{'trait_type': 'Background', 'value': 'Background'}, {'trait_type': 'Props Back', 'value': 'Katana Black'}, {'trait_type': 'Base Character', 'value': 'Base Character'}, {'trait_type': 'Horns', 'value': 'Snakeskin Bull Horns'}, {'trait_type': 'Helmets', 'value': 'BrownGold Kabuto'}, {'trait_type': 'Armours', 'value': 'Heavy Brown Armour'}, {'trait_type': 'Masks', 'value': 'Mask Future Red'}, {'trait_type': 'Central Ornament', 'value': 'Metal Wings Ornament'}]","{'files': [{'uri': 'https://www.arweave.net/pkLNf2lrakXR1BPs8MBubILNi1d3e3s2EmSVBvvXVN0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'share': 100}]}",1,EzgzVC2rumtQtZ2hmKHZTtwNs6NUn64GATvjL5rgUF2X,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
4,E7Zqbo4S1HamNcqMdYt3X2qMbp6yNf9Dgaih86aXXh35,3.85,4XE5254W2XG1wBJmtVabXk846BfFRhGi8BF7SHS1A9fy,3Pdjeo1E3G6PawHqQgFfxrgojHSSJBq8ksovCQuE8wbS,bushidosociety,Bushido Society,https://www.arweave.net/BC3z8OXwl2s_R8LKT7r-KBe9C8i64AixsYYJXbzORfA?ext=png,Bushido Society #658,"A COLLECTION OF 2222 UNIQUE NFT’S DESIGNED BY THE INCREDIBLY TALENTED JOSEPH DIAZ, AN ARTIST WHOSE SUPERIOR SKILLS HAVE BEEN UTILIZED AND PROVEN TO BE WORTHY OF THE HIGHEST TRUST BY DISNEY, BARCELONA, HBO, NETFLIX, AND WARNER.",,image,"[{'address': '6V2xr7gPGGXkN1SRCjCpNJDoitMG7NA97ekg8oMTanpY', 'verified': 1, 'share': 0}, {'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'verified': 0, 'share': 100}]",900,GKMvQvn4R68ZaPEtHctEsbRwRX59B37uRt2dr9UXJn19,"[{'trait_type': 'Background', 'value': 'Background'}, {'trait_type': 'Props Back', 'value': 'Bamboo Stick'}, {'trait_type': 'Base Character', 'value': 'Base Character'}, {'trait_type': 'Horns', 'value': 'Wooden Bull Horns'}, {'trait_type': 'Helmets', 'value': 'Sharp Silver Kabuto'}, {'trait_type': 'Armours', 'value': 'Silver Unstoppable Armour'}, {'trait_type': 'Masks', 'value': 'Mask Warrior Red Black'}, {'trait_type': 'Central Ornament', 'value': 'Metal Wings Ornament'}]","{'files': [{'uri': 'https://www.arweave.net/BC3z8OXwl2s_R8LKT7r-KBe9C8i64AixsYYJXbzORfA?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'share': 100}]}",1,EzgzVC2rumtQtZ2hmKHZTtwNs6NUn64GATvjL5rgUF2X,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
5,EGyCznQfDZKjEWtApyS8MLFJZQwNZRSmSqoCMzhsgtNQ,3.85,5sHKYoR19ghVv8eebKLvwRiFHLwigG9H48CzhEoQgLJb,5VW271jvv7uy5LgV9noA42JaF5xR2dDyXLxC2BJjEbwz,bushidosociety,Bushido Society,https://www.arweave.net/Sq-VRgn65s8m3sl26R12Y52qRB02tBfzMKTuQnnBD8M?ext=png,Bushido Society #822,"A COLLECTION OF 2222 UNIQUE NFT’S DESIGNED BY THE INCREDIBLY TALENTED JOSEPH DIAZ, AN ARTIST WHOSE SUPERIOR SKILLS HAVE BEEN UTILIZED AND PROVEN TO BE WORTHY OF THE HIGHEST TRUST BY DISNEY, BARCELONA, HBO, NETFLIX, AND WARNER.",,image,"[{'address': '6V2xr7gPGGXkN1SRCjCpNJDoitMG7NA97ekg8oMTanpY', 'verified': 1, 'share': 0}, {'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'verified': 0, 'share': 100}]",900,8e6BZq2UywN4pqGYkxN3QRQKpEe8Ur4V5UwRu8txXgG9,"[{'trait_type': 'Background', 'value': 'Background'}, {'trait_type': 'Props Back', 'value': 'Bamboo Stick'}, {'trait_type': 'Base Character', 'value': 'Base Character'}, {'trait_type': 'Horns', 'value': 'Wooden Bull Horns'}, {'trait_type': 'Helmets', 'value': 'Round Black Kabuto'}, {'trait_type': 'Armours', 'value': 'Silver Unstoppable Armour'}, {'trait_type': 'Masks', 'value': 'Mask Titanium'}, {'trait_type': 'Central Ornament', 'value': 'Gold Skull Ornament'}]","{'files': [{'uri': 'https://www.arweave.net/Sq-VRgn65s8m3sl26R12Y52qRB02tBfzMKTuQnnBD8M?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'share': 100}]}",1,EzgzVC2rumtQtZ2hmKHZTtwNs6NUn64GATvjL5rgUF2X,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
6,8dph4e9qMvxyKyLRGM3R64Q4bVtqxvw9XBFTRswVFTwP,3.85,29nT5My5BoQApz1hhS56ANTyPiuwJMPxJbd6ZxZdoSF3,FdXBLZZpyz14NUeMgVvmLmuPaPMoxPnsUXoJdWmmyYNk,bushidosociety,Bushido Society,https://www.arweave.net/Gyl3JLRigilonOWXbszH7iKxn1wc55uvKU2Z1E_luAQ?ext=png,Bushido Society #1387,"A COLLECTION OF 2222 UNIQUE NFT’S DESIGNED BY THE INCREDIBLY TALENTED JOSEPH DIAZ, AN ARTIST WHOSE SUPERIOR SKILLS HAVE BEEN UTILIZED AND PROVEN TO BE WORTHY OF THE HIGHEST TRUST BY DISNEY, BARCELONA, HBO, NETFLIX, AND WARNER.",,image,"[{'address': '6V2xr7gPGGXkN1SRCjCpNJDoitMG7NA97ekg8oMTanpY', 'verified': 1, 'share': 0}, {'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'verified': 0, 'share': 100}]",900,J5f6No4FPPgNgEnm3qPXv5ZoZYjng1fPQTPx3sYY31CP,"[{'trait_type': 'Background', 'value': 'Background'}, {'trait_type': 'Props Back', 'value': 'Katana Gold'}, {'trait_type': 'Base Character', 'value': 'Base Character'}, {'trait_type': 'Horns', 'value': 'Golden Horns'}, {'trait_type': 'Helmets', 'value': 'Sharptop Black Kabuto'}, {'trait_type': 'Armours', 'value': 'Silver Unstoppable Armour'}, {'trait_type': 'Masks', 'value': 'Mask Titanium'}, {'trait_type': 'Central Ornament', 'value': 'Black Spikes Ornament'}]","{'files': [{'uri': 'https://www.arweave.net/Gyl3JLRigilonOWXbszH7iKxn1wc55uvKU2Z1E_luAQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'share': 100}]}",1,EzgzVC2rumtQtZ2hmKHZTtwNs6NUn64GATvjL5rgUF2X,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
7,Dyz3ZZTL8j369kfz3DxLGHqGdaTLpbzxvZ5z8KHns4Ex,3.85,BD75EBgkpUFVfrfzYs4jMuuvnKUQxxVY1nGCNBf2VQwh,5VW271jvv7uy5LgV9noA42JaF5xR2dDyXLxC2BJjEbwz,bushidosociety,Bushido Society,https://www.arweave.net/GS8uh3u_Z09zGqhILRGcJxmx7r7m2y9457rG0KZz-_I?ext=png,Bushido Society #1899,"A COLLECTION OF 2222 UNIQUE NFT’S DESIGNED BY THE INCREDIBLY TALENTED JOSEPH DIAZ, AN ARTIST WHOSE SUPERIOR SKILLS HAVE BEEN UTILIZED AND PROVEN TO BE WORTHY OF THE HIGHEST TRUST BY DISNEY, BARCELONA, HBO, NETFLIX, AND WARNER.",,image,"[{'address': '6V2xr7gPGGXkN1SRCjCpNJDoitMG7NA97ekg8oMTanpY', 'verified': 1, 'share': 0}, {'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'verified': 0, 'share': 100}]",900,4VFAhaA7oa2iWiSf5q8XepJfXUvzBifrrR5j52ddskTJ,"[{'trait_type': 'Background', 'value': 'Background'}, {'trait_type': 'Props Back', 'value': 'Chinese Spear Brown'}, {'trait_type': 'Base Character', 'value': 'Base Character'}, {'trait_type': 'Horns', 'value': 'Silver Sunflare Horns'}, {'trait_type': 'Helmets', 'value': 'Sharptop Black Kabuto'}, {'trait_type': 'Armours', 'value': 'Black Kimono Armour'}, {'trait_type': 'Masks', 'value': 'Mask Scar Silver'}, {'trait_type': 'Central Ornament', 'value': 'Black Eye Ornament'}]","{'files': [{'uri': 'https://www.arweave.net/GS8uh3u_Z09zGqhILRGcJxmx7r7m2y9457rG0KZz-_I?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'share': 100}]}",1,EzgzVC2rumtQtZ2hmKHZTtwNs6NUn64GATvjL5rgUF2X,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
8,4wq2qnJaAihv473cDZiGoj9aefGyTqNhpRSR5cpyZoc3,3.85,9wCr9Ny1p7cwetqHAytgqT3nSNxvWVjFjdw9WnojmFfq,4zHdGxrNJEDq7o73nTZW5HqAD9F2nrQ7v31qo6vuMyFn,bushidosociety,Bushido Society,https://www.arweave.net/XZ__j7N8TjxPJCsxc6oXiFeBGmZK-KDpCECpSEYXrmk?ext=png,Bushido Society #824,"A COLLECTION OF 2222 UNIQUE NFT’S DESIGNED BY THE INCREDIBLY TALENTED JOSEPH DIAZ, AN ARTIST WHOSE SUPERIOR SKILLS HAVE BEEN UTILIZED AND PROVEN TO BE WORTHY OF THE HIGHEST TRUST BY DISNEY, BARCELONA, HBO, NETFLIX, AND WARNER.",,image,"[{'address': '6V2xr7gPGGXkN1SRCjCpNJDoitMG7NA97ekg8oMTanpY', 'verified': 1, 'share': 0}, {'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'verified': 0, 'share': 100}]",900,3LRguniLYfbMncxfkLJRwMYWM2BTgbCWmWS1dFQPvL7u,"[{'trait_type': 'Background', 'value': 'Background'}, {'trait_type': 'Props Back', 'value': 'Katana Gold'}, {'trait_type': 'Base Character', 'value': 'Base Character'}, {'trait_type': 'Horns', 'value': 'Pattern Bull Horns'}, {'trait_type': 'Helmets', 'value': 'Spiked Kabuto'}, {'trait_type': 'Armours', 'value': 'Silver Gold Armour'}, {'trait_type': 'Masks', 'value': 'Mask Meta Y Red Gold'}, {'trait_type': 'Central Ornament', 'value': 'Silver Cirkle Ornament'}]","{'files': [{'uri': 'https://www.arweave.net/XZ__j7N8TjxPJCsxc6oXiFeBGmZK-KDpCECpSEYXrmk?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'share': 100}]}",1,EzgzVC2rumtQtZ2hmKHZTtwNs6NUn64GATvjL5rgUF2X,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
9,5W1iocMngTvBuRxGEoC9NWwGnMMpx3kurh8PW8q1HoCx,3.9,8Yw9a7CJHa1meeVq3k7BA6gi7a8KK4gTowiPPxAGNLib,6Jgf3f7C7q9d8k1AmHaWResQLBVWSuqQDg6oSc2WrySx,bushidosociety,Bushido Society,https://www.arweave.net/jtCVsW6g6yIChxBF31CSh1_LrOOsq4MgHkUzOluth3g?ext=png,Bushido Society #2032,"A COLLECTION OF 2222 UNIQUE NFT’S DESIGNED BY THE INCREDIBLY TALENTED JOSEPH DIAZ, AN ARTIST WHOSE SUPERIOR SKILLS HAVE BEEN UTILIZED AND PROVEN TO BE WORTHY OF THE HIGHEST TRUST BY DISNEY, BARCELONA, HBO, NETFLIX, AND WARNER.",,image,"[{'address': '6V2xr7gPGGXkN1SRCjCpNJDoitMG7NA97ekg8oMTanpY', 'verified': 1, 'share': 0}, {'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'verified': 0, 'share': 100}]",900,J6R8FVaGkEozf5SNYFif5oUcJK93Aevbp2Nvwcccim7g,"[{'trait_type': 'Background', 'value': 'Background'}, {'trait_type': 'Props Back', 'value': 'Katana Black'}, {'trait_type': 'Base Character', 'value': 'Base Character'}, {'trait_type': 'Horns', 'value': 'Silver Bharal Horns'}, {'trait_type': 'Helmets', 'value': 'Spiked Kabuto'}, {'trait_type': 'Armours', 'value': 'Chic Black Armour'}, {'trait_type': 'Masks', 'value': 'Mask Gold'}, {'trait_type': 'Central Ornament', 'value': 'Red Spikes Ornament'}]","{'files': [{'uri': 'https://www.arweave.net/jtCVsW6g6yIChxBF31CSh1_LrOOsq4MgHkUzOluth3g?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '62eAs3a2pU5MqmJLEuq5AYqYE9WCtvtGWVG4BDPrFBq8', 'share': 100}]}",1,EzgzVC2rumtQtZ2hmKHZTtwNs6NUn64GATvjL5rgUF2X,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
