,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,4X8mLs4L4gGgcHNbb9QhyaBaZfiVdaEvQQVum9anZC2B,19.95,7mo55onPrsQAGDxjNmwwEs259ZwuC4C26Mrvni2yfNoD,4n25XUMFCi7fjPRCyZrafqfgjqhyo5HK6xLPZTJUjq8h,cets_on_creck,CETS ON CRECK,https://arweave.net/SWHkDmxaBY8aAL4guvJWVWj4VW70RcHluf2Zd1IV9pc?ext=png,Cet #3341,,,image,"[{'address': 'EcUAwbpczgPqqhG1zVuPnojkCSR4faiyNyAE98jp57P1', 'verified': 1, 'share': 0}, {'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'verified': 0, 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'verified': 0, 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'verified': 0, 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'verified': 0, 'share': 20}]",888,2T4xiBDHCzdxTvBH63Vztrbp7GWKmR8m1dUbZ65TK3Z3,"[{'trait_type': 'Background', 'value': 'Grey'}, {'trait_type': 'Skin', 'value': 'the usual'}, {'trait_type': 'Clothing', 'value': 'Red tee'}, {'trait_type': 'Mouth', 'value': 'aaaaaa'}, {'trait_type': 'Eye', 'value': 'Lennony'}, {'trait_type': 'Headgear', 'value': '69 Beanie Green'}]","{'files': [{'uri': '3340.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'share': 20}]}",1,FCUKDLYtjFs257BTNVjTJwrwrR14PHEKHu1Ff7HU6U4e,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5307}, 'howrare': {'rank': 5970}}"
1,AZwDVzP4WcDjgcPsGfWQG3jy4jY28AK2P7YPv3jQwhxJ,19.99,4RNQ5uCeGU35EsrwknmeHGgCTQCjNQBHJwZMR5MsN451,2eujLmFP9qceBFkNGEzimT8UwCAgMC9bTnvcY2voQM2T,cets_on_creck,CETS ON CRECK,https://arweave.net/o9XZ8GQJTmTuvQuAOJqEVPuQYaEelPaM8UuJB5wB67Q?ext=png,Cet #614,,,image,"[{'address': 'EcUAwbpczgPqqhG1zVuPnojkCSR4faiyNyAE98jp57P1', 'verified': 1, 'share': 0}, {'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'verified': 0, 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'verified': 0, 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'verified': 0, 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'verified': 0, 'share': 20}]",888,AZxEwfqJxaE8q4QGr19Cpf72D2t6zaE633tC1W3CMgY1,"[{'trait_type': 'Background', 'value': 'Sky'}, {'trait_type': 'Skin', 'value': 'the usual'}, {'trait_type': 'Clothing', 'value': 'Aloha shirt'}, {'trait_type': 'Mouth', 'value': 'Yumm'}, {'trait_type': 'Eye', 'value': 'Sleepy'}, {'trait_type': 'Headgear', 'value': 'Dreadlocks'}]","{'files': [{'uri': '613.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'share': 20}]}",1,FCUKDLYtjFs257BTNVjTJwrwrR14PHEKHu1Ff7HU6U4e,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 5720}, 'moonrank': {'rank': 5808}}"
2,A9FyLGjWRW8HoJadm16x7EMpVQFLiZbLeo87xwrPeStG,20.0,8h6yQE1WsGk9VruVnckAXtGYvry4yYmu5SymbzUHPAuf,6wJQyfKw3K2DdTEQQQch5uwhcsUgpEaSEPxZK1U6jHgf,cets_on_creck,CETS ON CRECK,https://arweave.net/AZCTIs01zg496xh3ll5p-4PJ9lwC8zgsYiOagivE9tg?ext=png,Cet #3028,,,image,"[{'address': 'EcUAwbpczgPqqhG1zVuPnojkCSR4faiyNyAE98jp57P1', 'verified': 1, 'share': 0}, {'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'verified': 0, 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'verified': 0, 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'verified': 0, 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'verified': 0, 'share': 20}]",888,E651ED62KV7YGacBTTtxx4m7vYWFkUQ9W6mR4R6Bv6dj,"[{'trait_type': 'Background', 'value': 'Charcoal'}, {'trait_type': 'Skin', 'value': 'Irezumi tatt'}, {'trait_type': 'Clothing', 'value': 'Jumpsuit'}, {'trait_type': 'Mouth', 'value': 'Cool AF'}, {'trait_type': 'Eye', 'value': 'Battle eye'}, {'trait_type': 'Headgear', 'value': '69 Beanie Black'}]","{'files': [{'uri': '3027.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'share': 20}]}",1,FCUKDLYtjFs257BTNVjTJwrwrR14PHEKHu1Ff7HU6U4e,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 5953}, 'moonrank': {'rank': 5488}}"
3,E65NJuNQ1kVDuNataXS92jvgTDbwJrXgJE2geWvYdpxa,20.0,GkRsaRs49uQfzR9KsCNpviRQBe1mHFxWvAiEDepyLUo1,HSnSxBd9cWiBBxvT5MDZAzLVnB84fsmFdiuctn2ijyvM,cets_on_creck,CETS ON CRECK,https://arweave.net/WQOgfIUv4D1RsRJuqy0bZed_Qf_6r20zRqFdA1muoOs?ext=png,Cet #3782,,,image,"[{'address': 'EcUAwbpczgPqqhG1zVuPnojkCSR4faiyNyAE98jp57P1', 'verified': 1, 'share': 0}, {'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'verified': 0, 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'verified': 0, 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'verified': 0, 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'verified': 0, 'share': 20}]",888,8FDQuSN5MX43fPr5QQFYAKuFMcyKS9KtXrwBsHBs2gm3,"[{'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Skin', 'value': 'Irezumi tatt'}, {'trait_type': 'Clothing', 'value': 'Naked'}, {'trait_type': 'Mouth', 'value': 'grrr'}, {'trait_type': 'Eye', 'value': ""What's up""}, {'trait_type': 'Headgear', 'value': 'Rap cap'}]","{'files': [{'uri': '3781.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'share': 20}]}",1,FCUKDLYtjFs257BTNVjTJwrwrR14PHEKHu1Ff7HU6U4e,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 6623}, 'moonrank': {'rank': 6049}}"
4,3CFErz6Gs3qVd6Ase9QnEbz9ivoGZyPiMgEghwLmdRNE,20.0,9ofZHDeYcnBxvABdLWZey99z38bYtp8zSSSS3AB6Wktk,5r2GPXi8cXcNrfn5zzcf7r6bEmNxSxSSgusaL8kdAGpP,cets_on_creck,CETS ON CRECK,https://arweave.net/1ZFfAV9I65CsACetM45oiVDT7FNZWJge4D-LKYz7OmA?ext=png,Cet #636,,,image,"[{'address': 'EcUAwbpczgPqqhG1zVuPnojkCSR4faiyNyAE98jp57P1', 'verified': 1, 'share': 0}, {'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'verified': 0, 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'verified': 0, 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'verified': 0, 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'verified': 0, 'share': 20}]",888,SA7e8EKJytyNzHPRQL9t2ACexPLQgCy8Zn8Tvq1EU8w,"[{'trait_type': 'Background', 'value': 'Aqua'}, {'trait_type': 'Skin', 'value': 'Irezumi tatt'}, {'trait_type': 'Clothing', 'value': 'Prison break'}, {'trait_type': 'Mouth', 'value': 'Puffy'}, {'trait_type': 'Eye', 'value': 'IDGAF'}, {'trait_type': 'Headgear', 'value': 'Dreadlocks'}]","{'files': [{'uri': '635.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'share': 20}]}",1,FCUKDLYtjFs257BTNVjTJwrwrR14PHEKHu1Ff7HU6U4e,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5760}, 'howrare': {'rank': 5705}}"
5,57F43jzogt2EE6YitDH4WuCgSgmFVYN1K1bLcws7uBnA,20.0,3j5WcRZgHnmy9hCMgN4J5NmN1Fg71XHn7NtSizyrHt1n,HSnSxBd9cWiBBxvT5MDZAzLVnB84fsmFdiuctn2ijyvM,cets_on_creck,CETS ON CRECK,https://arweave.net/YybkkNLpkhk70Uuh6UwaWW3ofDUI4HoBOerYHqNm5Vg?ext=png,Cet #6274,,,image,"[{'address': 'EcUAwbpczgPqqhG1zVuPnojkCSR4faiyNyAE98jp57P1', 'verified': 1, 'share': 0}, {'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'verified': 0, 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'verified': 0, 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'verified': 0, 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'verified': 0, 'share': 20}]",888,Gvj22P9Jsdz7bR9EkYf5FwEcTbFn6rDBWxW6evpHevN9,"[{'trait_type': 'Background', 'value': 'Grey'}, {'trait_type': 'Skin', 'value': 'IDGAF tatt'}, {'trait_type': 'Clothing', 'value': 'Red tee'}, {'trait_type': 'Mouth', 'value': 'Yumm'}, {'trait_type': 'Eye', 'value': 'IDGAF'}, {'trait_type': 'Headgear', 'value': 'Rap cap'}]","{'files': [{'uri': '6273.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'share': 20}]}",1,FCUKDLYtjFs257BTNVjTJwrwrR14PHEKHu1Ff7HU6U4e,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6680}, 'howrare': {'rank': 6749}}"
6,6qNSsX2AFEyp1MXn9pJdsJXSn6Yhmz8CT3Dx1U9PtbcN,20.0,8pbF5g75iQnM9BU7DQVrq8x5hrxBovyRzJYzYppbpyNH,3mxEtn5qWNZZRDaetWqKRcpKQLc8heXtcrwNaFRicdpq,cets_on_creck,CETS ON CRECK,https://arweave.net/V-UTcBC6tLG2TR8U2y6UHOSVwR7_-8RXl2q3lMULt3g?ext=png,Cet #3814,,,image,"[{'address': 'EcUAwbpczgPqqhG1zVuPnojkCSR4faiyNyAE98jp57P1', 'verified': 1, 'share': 0}, {'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'verified': 0, 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'verified': 0, 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'verified': 0, 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'verified': 0, 'share': 20}]",888,BG8e8CvV7PK7CKokP8AwKVdY5GPfCRWxu4RiJt5n86Vm,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Skin', 'value': 'the usual'}, {'trait_type': 'Clothing', 'value': 'Scratched tee'}, {'trait_type': 'Mouth', 'value': 'Puffy'}, {'trait_type': 'Eye', 'value': ""What's up""}, {'trait_type': 'Headgear', 'value': 'Rap cap'}]","{'files': [{'uri': '3813.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'share': 20}]}",1,FCUKDLYtjFs257BTNVjTJwrwrR14PHEKHu1Ff7HU6U4e,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6199}, 'howrare': {'rank': 6563}}"
7,8gkU5tgJKDgRoTzTXjRxQAnbbjbZsxJhJZ1CUAZEJB1W,20.45,Dusycu8ABMQANksJEeXiLQkEMNCnrVBJBxDjxmzwBoSd,Fd4irgivk79TdK4DaAFKZdqJbg8ymaao6UJ1aAPD3ofw,cets_on_creck,CETS ON CRECK,https://arweave.net/QuetkCaLVOdlCR_lAgY0h8Opha2yckFg4Rh0qJonSMM?ext=png,Cet #445,,,image,"[{'address': 'EcUAwbpczgPqqhG1zVuPnojkCSR4faiyNyAE98jp57P1', 'verified': 1, 'share': 0}, {'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'verified': 0, 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'verified': 0, 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'verified': 0, 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'verified': 0, 'share': 20}]",888,4HnnW11XSaqTqob8Xuuc7vocgNTkXyyABGshQmDu1jYa,"[{'trait_type': 'Background', 'value': 'Sea green'}, {'trait_type': 'Skin', 'value': 'IDGAF tatt'}, {'trait_type': 'Clothing', 'value': 'Matrix 1'}, {'trait_type': 'Mouth', 'value': 'Tongue out'}, {'trait_type': 'Eye', 'value': 'Aviator'}, {'trait_type': 'Headgear', 'value': 'Dreadlocks'}]","{'files': [{'uri': '444.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'share': 20}]}",1,FCUKDLYtjFs257BTNVjTJwrwrR14PHEKHu1Ff7HU6U4e,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4002}, 'howrare': {'rank': 3934}}"
8,FRZrbLpYDLdvVnNmReGXfspvx2t6oUqBmjyHs4AyKpGM,20.5,GuqHxgScnujWK9Z9Dw7m5AA9GUcajFj3tV7zk33uHYVd,GdGz5fskHJswPhgsGPPCfaJzGawFQQtjpvcZeDACGMzP,cets_on_creck,CETS ON CRECK,https://arweave.net/GNdPzViMwF7t13SJ03HdB6rSFbJDmBKcyMxp_3AS0xs?ext=png,Cet #4381,,,image,"[{'address': 'EcUAwbpczgPqqhG1zVuPnojkCSR4faiyNyAE98jp57P1', 'verified': 1, 'share': 0}, {'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'verified': 0, 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'verified': 0, 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'verified': 0, 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'verified': 0, 'share': 20}]",888,E61efDmoBGkxrpo5WmT2WVoh4Uocyb9gjmwFDoSFzLjz,"[{'trait_type': 'Background', 'value': 'Sky'}, {'trait_type': 'Skin', 'value': 'IDGAF tatt'}, {'trait_type': 'Clothing', 'value': 'Side slide'}, {'trait_type': 'Mouth', 'value': 'aaaaaa'}, {'trait_type': 'Eye', 'value': 'IDGAF'}, {'trait_type': 'Headgear', 'value': 'No Headgear'}]","{'files': [{'uri': '4380.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'share': 20}]}",1,FCUKDLYtjFs257BTNVjTJwrwrR14PHEKHu1Ff7HU6U4e,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6716}, 'howrare': {'rank': 6268}}"
9,BrSHJBVEJCu5JQXWbScdojHFtUTks2P4pcM1CCTBnW5h,20.69,mnK8n91EDJS1YdQXxjK5uS4dRqSDb5SMzd6jBBwzrkP,51nFw5VWrYEwF9W8HaeRxp5uc8BcAwg3KcJz4CWRY88i,cets_on_creck,CETS ON CRECK,https://arweave.net/gbkxcATtFHdI60sUoiMeNRWVjqgBXClw9BclGmBWgGM?ext=png,Cet #5950,,,image,"[{'address': 'EcUAwbpczgPqqhG1zVuPnojkCSR4faiyNyAE98jp57P1', 'verified': 1, 'share': 0}, {'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'verified': 0, 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'verified': 0, 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'verified': 0, 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'verified': 0, 'share': 20}]",888,EduJ2t41ESrT97b5sSywvcjzqV5CY8gh5u6zwuZ1KE5B,"[{'trait_type': 'Background', 'value': 'Sea green'}, {'trait_type': 'Skin', 'value': 'Irezumi tatt'}, {'trait_type': 'Clothing', 'value': 'Tank top'}, {'trait_type': 'Mouth', 'value': 'Phew'}, {'trait_type': 'Eye', 'value': 'Smug'}, {'trait_type': 'Headgear', 'value': 'Piercing 1'}]","{'files': [{'uri': '5949.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9Da5CoqR8H4YGWEYK6jtcTU69rr6XEkffadN8UFjJkeA', 'share': 30}, {'address': '73sKMbDcc8Tze8h8wRKu22jS93NUvq6CwbDfwJPoNAX4', 'share': 20}, {'address': 'HMWMLwEcnQBR57yhsyyAhfavzac8vZbx1m4EPtYEdKkM', 'share': 30}, {'address': '4qcJowy8guEuJ1RJx9XDxyneP3H12XTT19nZ7YaVjaFr', 'share': 20}]}",1,FCUKDLYtjFs257BTNVjTJwrwrR14PHEKHu1Ff7HU6U4e,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5448}, 'howrare': {'rank': 5083}}"
