,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,9h2hDr7VVtUd9FHQyTZ13Bp9vRLrc8sJrHFF9dKE4uwS,2.45,6YaLSCXsWePitpASZUec48us3QnRiFWRXYu8UCW12Auf,25edwsEA4Cw7ehh1KjTCAoKDwXVHwohbYGgMtJTYWJTL,creamy_friends,Creamy Friends,https://www.arweave.net/z9LQPOFDZ5tZB1I5geWjFf68WvJhA-0QpiiFsmGf15s?ext=png,Creamy Friends #2688,"A collection of 5,555 Creamy Friends on Solana",https://creamyfriends.com,image,"[{'address': '8y9T2GHrapwg147Wt1864Yz9FJFNuhhhrnhF6pqqVTUC', 'verified': 1, 'share': 0}, {'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'verified': 0, 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'verified': 0, 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'verified': 0, 'share': 10}]",1000,7pWiKt5HESkR9jVzqZQEyoZUso4NiqMKWW5hG55smNtJ,"[{'trait_type': 'Background', 'value': 'Cloudy'}, {'trait_type': 'Flavors', 'value': 'Mint'}, {'trait_type': 'Clothing', 'value': 'Green T-Shirt'}, {'trait_type': 'Mouth', 'value': 'Smirk'}, {'trait_type': 'Eyes', 'value': 'Stressed'}, {'trait_type': 'Rarity', 'value': 'Common'}]","{'edition': 675, 'files': [{'uri': 'https://www.arweave.net/z9LQPOFDZ5tZB1I5geWjFf68WvJhA-0QpiiFsmGf15s?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'share': 10}]}",1,8AMeFaHoNPuenD1aQJMKXoSkdiGZ8cZCSAV9qcF69EE9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
1,2NqhC7yuhPMeScm82NYhNQksqVDGJHrwtnAXG4WyHMrF,2.49,AvKxVY65KEKj86MuuBWvi7xNy8wBeVtNA1Cfiwjgkk3J,FNBDRC9CmwQKt6VHFhEX9DAAKShZstDuD4uahxxkZQGm,creamy_friends,Creamy Friends,https://www.arweave.net/BYXL-SaUJ9BGxmL9cUPEdc6BUggQ9GknyWOTM17YlY4?ext=png,Creamy Friends #4404,"A collection of 5,555 Creamy Friends on Solana",https://creamyfriends.com,image,"[{'address': '8y9T2GHrapwg147Wt1864Yz9FJFNuhhhrnhF6pqqVTUC', 'verified': 1, 'share': 0}, {'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'verified': 0, 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'verified': 0, 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'verified': 0, 'share': 10}]",1000,FsLB7NgoLEPdRNvA55fTBYac9Cmt6ecxMT2Q9wXKG4Ux,"[{'trait_type': 'Background', 'value': 'Solana'}, {'trait_type': 'Flavors', 'value': 'Chocolate Swirl'}, {'trait_type': 'Clothing', 'value': 'Black Puffer Jacket'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Eyes', 'value': 'Ski Goggles'}, {'trait_type': 'Rarity', 'value': 'Common'}]","{'edition': 587, 'files': [{'uri': 'https://www.arweave.net/BYXL-SaUJ9BGxmL9cUPEdc6BUggQ9GknyWOTM17YlY4?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'share': 10}]}",1,8AMeFaHoNPuenD1aQJMKXoSkdiGZ8cZCSAV9qcF69EE9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
2,7HiQFytioCoGSZgH7D4BKHTRzLKmcM55dEbFkXrcY17q,2.49,2QPASLYb9gy7kBc3rHia3x4m32K25zcL9PHrnaRvp1zR,HNoZd4fhwigqcrc2nNKsTrVAPVHWbZTL3KPZW8pErpHf,creamy_friends,Creamy Friends,https://www.arweave.net/qVz-QxXewzP8McsyI3vOP-ZMaXBAiSVkgEf4nbV3DNc?ext=png,Creamy Friends #2430,"A collection of 5,555 Creamy Friends on Solana",https://creamyfriends.com,image,"[{'address': '8y9T2GHrapwg147Wt1864Yz9FJFNuhhhrnhF6pqqVTUC', 'verified': 1, 'share': 0}, {'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'verified': 0, 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'verified': 0, 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'verified': 0, 'share': 10}]",1000,7XqVFDax8sQ5LUQWoCLqBs4aqoyhPkxFyXSaGnkX2YE7,"[{'trait_type': 'Background', 'value': 'Mountain Skylight'}, {'trait_type': 'Flavors', 'value': 'Gold'}, {'trait_type': 'Clothing', 'value': 'Black Jacket'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Eyes', 'value': 'Depressed'}, {'trait_type': 'Rarity', 'value': 'Common'}]","{'edition': 2430, 'files': [{'uri': 'https://www.arweave.net/qVz-QxXewzP8McsyI3vOP-ZMaXBAiSVkgEf4nbV3DNc?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'share': 10}]}",1,8AMeFaHoNPuenD1aQJMKXoSkdiGZ8cZCSAV9qcF69EE9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
3,2HaqaSBi81ykP7R5y5mjcwJQRX3dqRXfF46TcLRcuFoj,2.5,45HCWB1P23q165QUYZqtwbciqCBC1quyXXGcxP8YG7qd,55F2QQCb9acUVnRdqg6yTCKQPfgLrQyJJVsHDcxACHwJ,creamy_friends,Creamy Friends,https://www.arweave.net/j7FTn1tl3n1HJrlFpyXR0P3t7dTXebH038ys0JwAzy0?ext=png,Creamy Friends #2876,"A collection of 5,555 Creamy Friends on Solana",https://creamyfriends.com,image,"[{'address': '8y9T2GHrapwg147Wt1864Yz9FJFNuhhhrnhF6pqqVTUC', 'verified': 1, 'share': 0}, {'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'verified': 0, 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'verified': 0, 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'verified': 0, 'share': 10}]",1000,5NeaDS7vLQw7UbBtPMmtiXAyLxL9HBwLDMU6NGmSkMwT,"[{'trait_type': 'Background', 'value': 'Cone'}, {'trait_type': 'Flavors', 'value': 'Chocolate Swirl'}, {'trait_type': 'Clothing', 'value': 'Open Blue Puffer'}, {'trait_type': 'Eyes', 'value': '3D Glasses'}, {'trait_type': 'Mouth', 'value': 'Depressed'}, {'trait_type': 'Rarity', 'value': 'Common'}]","{'edition': 2876, 'files': [{'uri': 'https://www.arweave.net/j7FTn1tl3n1HJrlFpyXR0P3t7dTXebH038ys0JwAzy0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'share': 10}]}",1,8AMeFaHoNPuenD1aQJMKXoSkdiGZ8cZCSAV9qcF69EE9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
4,Gz6wFQ9xhZ3g4jBQSffpuiahHoCgxvuLVN5VKZaxGhey,2.5,4WL4oNUZ1zUNNt6ZmHLxKXfiCRXXuUXG6qoW9rmynace,3CaNmbviQ2P2kt8N7fDPXp5MCwwrz2bgVSVr3aJemw9u,creamy_friends,Creamy Friends,https://www.arweave.net/dNicOpdpkytfkyNCToHRDn-zxrklZJUtSy3dSVGdRGU?ext=png,Creamy Friends #3710,"A collection of 5,555 Creamy Friends on Solana",https://creamyfriends.com,image,"[{'address': '8y9T2GHrapwg147Wt1864Yz9FJFNuhhhrnhF6pqqVTUC', 'verified': 1, 'share': 0}, {'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'verified': 0, 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'verified': 0, 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'verified': 0, 'share': 10}]",1000,8YJ7ucUStfLLEbCfQfAkUnrLDbLMkVTmyykdFDdg8YM7,"[{'trait_type': 'Background', 'value': 'Night Sky'}, {'trait_type': 'Flavors', 'value': 'Cookies and Cream'}, {'trait_type': 'Clothing', 'value': 'Dark Blue Puffer'}, {'trait_type': 'Eyes', 'value': 'Normal'}, {'trait_type': 'Mouth', 'value': 'Tongue Out'}, {'trait_type': 'Hat', 'value': 'Straw Hat'}, {'trait_type': 'Rarity', 'value': 'Common'}, {'trait_type': 'Accessories', 'value': 'Scarf'}]","{'edition': 3710, 'files': [{'uri': 'https://www.arweave.net/dNicOpdpkytfkyNCToHRDn-zxrklZJUtSy3dSVGdRGU?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'share': 10}]}",1,8AMeFaHoNPuenD1aQJMKXoSkdiGZ8cZCSAV9qcF69EE9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
5,DDWzvunCX4QgNQpBbAekw6SGsodq6QoLVc7mTGmaq1XS,2.5,57DE5btrNXmfw1aERWEVSPo8NvZbzpSQPadhHJgEYncs,49XiLYjgAGKe5MVYamN6iWtQQpv9jGxPVk3UxpsEVHRS,creamy_friends,Creamy Friends,https://www.arweave.net/9vEjeov3A6IZACBrC5jQFwT-G3LDdaEapZX5rE2Iu7k?ext=png,Creamy Friends #955,"A collection of 5,555 Creamy Friends on Solana",https://creamyfriends.com,image,"[{'address': '8y9T2GHrapwg147Wt1864Yz9FJFNuhhhrnhF6pqqVTUC', 'verified': 1, 'share': 0}, {'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'verified': 0, 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'verified': 0, 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'verified': 0, 'share': 10}]",1000,23zpWe7jo1FSfVZr8j6mnYVXCuufBA8sm3kBFCWt8ZPs,"[{'trait_type': 'Background', 'value': 'Desert'}, {'trait_type': 'Flavors', 'value': 'Chocolate Swirl'}, {'trait_type': 'Clothing', 'value': 'Red Varsity Jacket'}, {'trait_type': 'Eyes', 'value': 'Normal'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Rarity', 'value': 'Common'}]","{'edition': 955, 'files': [{'uri': 'https://www.arweave.net/9vEjeov3A6IZACBrC5jQFwT-G3LDdaEapZX5rE2Iu7k?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'share': 10}]}",1,8AMeFaHoNPuenD1aQJMKXoSkdiGZ8cZCSAV9qcF69EE9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
6,EW9eTVUmiDJQyzASTm3x8MtpqoYa6iCBdyy6gaQTsJR,2.5,C8M4LL9k3frAoGgGGdRkMTXAK3UFxeFb5jjbtAXghwFJ,jk4w6PH4C2kKdscMatEdSR8sRcgq5GpXksS8Dz7yKTT,creamy_friends,Creamy Friends,https://www.arweave.net/RXbd_SEvbUEHVws69iGrAmOjIYwynXIlwCK9MdEV0-g?ext=png,Creamy Friends #644,"A collection of 5,555 Creamy Friends on Solana",https://creamyfriends.com,image,"[{'address': '8y9T2GHrapwg147Wt1864Yz9FJFNuhhhrnhF6pqqVTUC', 'verified': 1, 'share': 0}, {'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'verified': 0, 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'verified': 0, 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'verified': 0, 'share': 10}]",1000,2rQUv8y21tv5BETVvGjAK8jL93ebKUSQdtgc8tZyG6Jo,"[{'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Flavors', 'value': 'Mint'}, {'trait_type': 'Clothing', 'value': 'Cream Hub'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Eyes', 'value': 'Blank'}, {'trait_type': 'Hat', 'value': 'Floral Headband'}, {'trait_type': 'Rarity', 'value': 'Common'}]","{'edition': 644, 'files': [{'uri': 'https://www.arweave.net/RXbd_SEvbUEHVws69iGrAmOjIYwynXIlwCK9MdEV0-g?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'share': 10}]}",1,8AMeFaHoNPuenD1aQJMKXoSkdiGZ8cZCSAV9qcF69EE9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
7,BVmoym34dVCFZoqnaCz7M7zohZ5qsSBd9FMrN59paUdc,2.5,GsCdpaNcXka1r5eDTcuMU5xvvwT98sY4amHB37iBbPRZ,9ZXwMcNKCMvBikxxVRJedfvyi9sw657TsZ3jCvUM4Qjq,creamy_friends,Creamy Friends,https://www.arweave.net/K8xiVgVQ87x2ToC7ZO3ukWWv9Wx4WM9dJaGKsl0Qv4k?ext=png,Creamy Friends #2644,"A collection of 5,555 Creamy Friends on Solana",https://creamyfriends.com,image,"[{'address': '8y9T2GHrapwg147Wt1864Yz9FJFNuhhhrnhF6pqqVTUC', 'verified': 1, 'share': 0}, {'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'verified': 0, 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'verified': 0, 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'verified': 0, 'share': 10}]",1000,3FYVBmk8mqWAgokHgf2as6MYdx3dsEGAy7gPUHBojFqL,"[{'trait_type': 'Background', 'value': 'Cyan'}, {'trait_type': 'Flavors', 'value': 'Creamsicle'}, {'trait_type': 'Clothing', 'value': 'Red Bomber Jacket'}, {'trait_type': 'Eyes', 'value': 'Normal'}, {'trait_type': 'Mouth', 'value': 'Vape'}, {'trait_type': 'Hat', 'value': 'Orange'}, {'trait_type': 'Rarity', 'value': 'Common'}]","{'edition': 2644, 'files': [{'uri': 'https://www.arweave.net/K8xiVgVQ87x2ToC7ZO3ukWWv9Wx4WM9dJaGKsl0Qv4k?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'share': 10}]}",1,8AMeFaHoNPuenD1aQJMKXoSkdiGZ8cZCSAV9qcF69EE9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
8,AHs9BShgcbbjBHUChecEPKuFzjVuh725Vf2PZLbjPytL,2.55,Gto9RGncGPPQAR4ihn7jXffGuhESWj8p6ANCu36VVaGZ,CQF5sUsnbndWD1r8bwvAjk8F8jTvopjHhAMVne6QruSe,creamy_friends,Creamy Friends,https://www.arweave.net/Q2nkaAlRcmtu0issYiZnKpHdJhxKHszW0wcpMlT9sKY?ext=png,Creamy Friends #2631,"A collection of 5,555 Creamy Friends on Solana",https://creamyfriends.com,image,"[{'address': '21PsC6oxWC5wyZUpecb86bZTfy2q3NSUaWLiYLDG9QF9', 'verified': 1, 'share': 0}, {'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'verified': 0, 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'verified': 0, 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'verified': 0, 'share': 10}]",1000,77wz4n5L81tvd2wQukCiUAfpbaJwSqCAowk8DLKBFHcf,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Flavors', 'value': 'Cookies and Cream'}, {'trait_type': 'Clothing', 'value': 'Brown Puffer'}, {'trait_type': 'Eyes', 'value': 'Faded'}, {'trait_type': 'Mouth', 'value': 'Zipper'}, {'trait_type': 'Rarity', 'value': 'Common'}]","{'edition': 2631, 'files': [{'uri': 'https://www.arweave.net/Q2nkaAlRcmtu0issYiZnKpHdJhxKHszW0wcpMlT9sKY?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'share': 10}]}",1,8AMeFaHoNPuenD1aQJMKXoSkdiGZ8cZCSAV9qcF69EE9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
9,HCiQpXG1RPVxwC3TC81UcmgUJAJCr1NB63AHEVy5T9ix,2.55,4hkgc7c2WwRFeVeWSwAu9RJKbp3jPVfrnxVzmUwze4Yo,CQF5sUsnbndWD1r8bwvAjk8F8jTvopjHhAMVne6QruSe,creamy_friends,Creamy Friends,https://www.arweave.net/hrflObxxvi5mAVhx3zJuFPx0K3NbDYWQAbtUOUBSoDQ?ext=png,Creamy Friends #2244,"A collection of 5,555 Creamy Friends on Solana",https://creamyfriends.com,image,"[{'address': '21PsC6oxWC5wyZUpecb86bZTfy2q3NSUaWLiYLDG9QF9', 'verified': 1, 'share': 0}, {'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'verified': 0, 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'verified': 0, 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'verified': 0, 'share': 10}]",1000,2rvPY91dbCsg8ncLTYDiLR5Eb1N1JyAqm6b6p3rERoYS,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Flavors', 'value': 'Orange'}, {'trait_type': 'Clothing', 'value': 'Blue Varsity Jacket'}, {'trait_type': 'Eyes', 'value': 'Normal'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Rarity', 'value': 'Common'}]","{'edition': 2244, 'files': [{'uri': 'https://www.arweave.net/hrflObxxvi5mAVhx3zJuFPx0K3NbDYWQAbtUOUBSoDQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HR6Kyh8TWoVQfr2FVNvy4SbawzY6YF4Td75f3x5rkK2U', 'share': 60}, {'address': '6ioGtyKjkWUicP6GgbGXLUiTjeXNL2jy5DpCd1jq5pz4', 'share': 30}, {'address': 'A1ApXCwPCSod3ESu6VqtMAUPFpwP94GZR1EuELfoN1Mz', 'share': 10}]}",1,8AMeFaHoNPuenD1aQJMKXoSkdiGZ8cZCSAV9qcF69EE9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
