,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,rarity,tokenDelegateValid,v2
0,6nN4ds1fcQVRwMfgrQZAYo21F9nkgEGZiCjmBzVvuC1B,2.475,6QESKucUyMDa3UHG89adVQK7KZ3xvJLzMnY9vHC3WiR3,HKmZAfHhAn6mXLiJRD7bCRoM66LU51AwEV5MLCej8TCF,cyborg_iguanas,Cyborg Iguanas,https://www.arweave.net/5OrFZdZYhib6HAHAZIkP1MPIweCUD-SlV5dq2m8ZXa0?ext=png,Cyborg Iguana #2200,Cyborg Iguanas in space ready to conquer the Iguanaverse.,image,"[{'address': '67qUBvKzFxgae1cLfida655MuJor73LPuiQu76NGtaYr', 'verified': 1, 'share': 0}, {'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'verified': 0, 'share': 100}]",750,JDVgcLQE4roPMjpokgrPWr2w749avrmYqSp8BEJsE2mU,"[{'trait_type': 'Experience', 'value': 'Newbie'}, {'trait_type': 'Background', 'value': 'Lab'}, {'trait_type': 'Base', 'value': 'RedSludge'}, {'trait_type': 'Armor', 'value': 'HazardSuit'}, {'trait_type': 'Headgear', 'value': 'HologramVisor'}, {'trait_type': 'Mouth', 'value': 'RedSludge'}, {'trait_type': 'Eyes', 'value': 'NoEyes'}]","{'edition': 2200, 'files': [{'uri': 'https://www.arweave.net/5OrFZdZYhib6HAHAZIkP1MPIweCUD-SlV5dq2m8ZXa0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'share': 100}], 'compiler': 'HashLips Art Engine - NFTChef fork | qualifieddevs.io'}",1,CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY,1,{},{'moonrank': {'rank': 1699}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
1,6Q86AimhyDAv22PLSmmYvXf1SkHamtw9YZ4ATq6VZBGt,2.6,Bizsc3gwYV6Vi2uKHGMbXvkMEFh8WhNWaoF3z1gr8iSi,3MY4WuVmjqkFsY1o1AbamD4QgGU6MfaXPN41kEwkGLhQ,cyborg_iguanas,Cyborg Iguanas,https://www.arweave.net/W8KXbJOvls7f-b0NpOJgVyBbb9PDiDrFIX5VJK0YGqE?ext=png,Cyborg Iguana #1817,Cyborg Iguanas in space ready to conquer the Iguanaverse.,image,"[{'address': '67qUBvKzFxgae1cLfida655MuJor73LPuiQu76NGtaYr', 'verified': 1, 'share': 0}, {'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'verified': 0, 'share': 100}]",750,9WJ3iyZH8xvtwrQ5w5p2bvZvYh9N2rkk2926b6Q6tXLK,"[{'trait_type': 'Experience', 'value': 'Newbie'}, {'trait_type': 'Background', 'value': 'PurplePlanet'}, {'trait_type': 'Base', 'value': 'RedSludge'}, {'trait_type': 'Armor', 'value': 'NoArmor'}, {'trait_type': 'Headgear', 'value': 'HazardHat'}, {'trait_type': 'Mouth', 'value': 'IronJaw'}, {'trait_type': 'Eyes', 'value': 'LargePupils'}]","{'edition': 1817, 'files': [{'uri': 'https://www.arweave.net/W8KXbJOvls7f-b0NpOJgVyBbb9PDiDrFIX5VJK0YGqE?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'share': 100}], 'compiler': 'HashLips Art Engine - NFTChef fork | qualifieddevs.io'}",1,CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY,1,{},{'moonrank': {'rank': 1944}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
2,3tccgjAxGnQyVpMQaGVTSdGphapPQpN5AU3eJFuX3ZKV,2.69,4fDj8TAF21ceu4RD5mGvkzjZToVgLdH83P36a6h9CtnJ,ECwz1Z6Ni4zVu5arVizjfnc95o6VuPNWTagN8NRTtyBQ,cyborg_iguanas,Cyborg Iguanas,https://www.arweave.net/rE0tWViBFaMBwUbhQsrr_SdV0Q_zR2CD0txKQ6d7sXg?ext=png,Cyborg Iguana #1682,Cyborg Iguanas in space ready to conquer the Iguanaverse.,image,"[{'address': '67qUBvKzFxgae1cLfida655MuJor73LPuiQu76NGtaYr', 'verified': 1, 'share': 0}, {'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'verified': 0, 'share': 100}]",750,BmVgY83FU9QC5YWgJnaUWJXQBNMRKoDGPG1a2VBtFnfN,"[{'trait_type': 'Experience', 'value': 'Newbie'}, {'trait_type': 'Background', 'value': 'NightCity'}, {'trait_type': 'Base', 'value': 'DarkYellow'}, {'trait_type': 'Armor', 'value': 'LeatherJacket'}, {'trait_type': 'Headgear', 'value': 'HalfFace'}, {'trait_type': 'Mouth', 'value': 'GasMask'}, {'trait_type': 'Eyes', 'value': 'DefaultEyes'}]","{'edition': 1682, 'files': [{'uri': 'https://www.arweave.net/rE0tWViBFaMBwUbhQsrr_SdV0Q_zR2CD0txKQ6d7sXg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'share': 100}], 'compiler': 'HashLips Art Engine - NFTChef fork | qualifieddevs.io'}",1,CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY,1,{},{'moonrank': {'rank': 841}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
3,5iCtQthJRbiDo4j2yLVQmAaT3R9CBnTz87bK98cyNX9e,2.69,vcgn7XrJyrfwGAQvMuHPCq3DjMg76Kr4Q9RLga7azyo,ECwz1Z6Ni4zVu5arVizjfnc95o6VuPNWTagN8NRTtyBQ,cyborg_iguanas,Cyborg Iguanas,https://www.arweave.net/q_icg_wvD1DFIsWHcInr4ovbHyVt0SpDxtTWAhJDd28?ext=png,Cyborg Iguana #1797,Cyborg Iguanas in space ready to conquer the Iguanaverse.,image,"[{'address': '67qUBvKzFxgae1cLfida655MuJor73LPuiQu76NGtaYr', 'verified': 1, 'share': 0}, {'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'verified': 0, 'share': 100}]",750,GXzGKwiCVqsgaia3fmCfoGvjKiPcVNbdD5jNe7FhdUEE,"[{'trait_type': 'Experience', 'value': 'Newbie'}, {'trait_type': 'Background', 'value': 'Asteroid'}, {'trait_type': 'Base', 'value': 'DarkPink'}, {'trait_type': 'Armor', 'value': 'NoArmor'}, {'trait_type': 'Headgear', 'value': 'HologramVisor'}, {'trait_type': 'Mouth', 'value': 'Cigarette'}, {'trait_type': 'Eyes', 'value': 'NoEyes'}]","{'edition': 1797, 'files': [{'uri': 'https://www.arweave.net/q_icg_wvD1DFIsWHcInr4ovbHyVt0SpDxtTWAhJDd28?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'share': 100}], 'compiler': 'HashLips Art Engine - NFTChef fork | qualifieddevs.io'}",1,CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY,1,{},{'moonrank': {'rank': 2087}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
4,4T3tNrCrbjYqjFDc1ipd8CAZa7iGQKZnKTjsSqNEWnd1,2.7,D3dvabf7nWaxwAW53EDmh1nkpdS7zHfVe3JYZb1RsFoi,Hd8GkoHFjMVGjog6x8BjnN2sDXxJcDxqUtWFGNkfVHMc,cyborg_iguanas,Cyborg Iguanas,https://www.arweave.net/qY3Kra720Ks74Hjw9JXOkEAaRyUMBkF9NSQ7JAWGmfA?ext=png,Cyborg Iguana #1672,Cyborg Iguanas in space ready to conquer the Iguanaverse.,image,"[{'address': '67qUBvKzFxgae1cLfida655MuJor73LPuiQu76NGtaYr', 'verified': 1, 'share': 0}, {'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'verified': 0, 'share': 100}]",750,4vHt5JDv56okANNNEjaHsgta777B2k4vun1wr8zH3Vzp,"[{'trait_type': 'Experience', 'value': 'Newbie'}, {'trait_type': 'Background', 'value': 'ScrapYard'}, {'trait_type': 'Base', 'value': 'Blue'}, {'trait_type': 'Armor', 'value': 'Suit'}, {'trait_type': 'Headgear', 'value': 'NoHeadgear'}, {'trait_type': 'Mouth', 'value': 'OpenMouth'}, {'trait_type': 'Eyes', 'value': '3EyeMutation'}]","{'edition': 1672, 'files': [{'uri': 'https://www.arweave.net/qY3Kra720Ks74Hjw9JXOkEAaRyUMBkF9NSQ7JAWGmfA?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'share': 100}], 'compiler': 'HashLips Art Engine - NFTChef fork | qualifieddevs.io'}",1,CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY,1,{},{'moonrank': {'rank': 1522}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
5,4AuWMFHxqTfTX5ad6y9ZJhqSanFYR5W5xvDFgZmDyrto,2.75,2biFN5bVb7DVeuRwmsy1DkMTSkGX3ZTRzPuQSFsdQTxF,3koNppysqgcD4eYYM42FLznxy9CirxR87uVvadCuX7An,cyborg_iguanas,Cyborg Iguanas,https://www.arweave.net/XuXy4tQMXS7i2HyRAnGNww8zY6Paara4IT42s_PomDw?ext=png,Cyborg Iguana #2139,Cyborg Iguanas in space ready to conquer the Iguanaverse.,image,"[{'address': '67qUBvKzFxgae1cLfida655MuJor73LPuiQu76NGtaYr', 'verified': 1, 'share': 0}, {'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'verified': 0, 'share': 100}]",750,J5JwBSt9qBSuEK4JU13iC1WAkzpG5GhSSaL8uJu2yNiz,"[{'trait_type': 'Experience', 'value': 'Newbie'}, {'trait_type': 'Background', 'value': 'ScrapYard'}, {'trait_type': 'Base', 'value': 'Black'}, {'trait_type': 'Armor', 'value': 'Tubes'}, {'trait_type': 'Headgear', 'value': 'IronEyes'}, {'trait_type': 'Mouth', 'value': 'DefaultMouth'}, {'trait_type': 'Eyes', 'value': 'NoEyes'}]","{'edition': 2139, 'files': [{'uri': 'https://www.arweave.net/XuXy4tQMXS7i2HyRAnGNww8zY6Paara4IT42s_PomDw?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'share': 100}], 'compiler': 'HashLips Art Engine - NFTChef fork | qualifieddevs.io'}",1,CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY,1,{},{'moonrank': {'rank': 1135}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
6,84gsiL7GJu2gmLYXpCAnrEsxVqLSyAuKxpXmDgRgvqru,2.75,HhNCGwjUcPvGB9D4GEC6gHh7jRBgvUcyfagYEMfeSZW3,88HfG7e85UEmHmvbTaYYuUmzZD8o5PCuNdaR2fcwwY3Z,cyborg_iguanas,Cyborg Iguanas,https://www.arweave.net/N4ZHsj9Z0vo6ow1MXRd3J0MS9QjVxN7efjcFq0o4YJg?ext=png,Cyborg Iguana #476,Cyborg Iguanas in space ready to conquer the Iguanaverse.,image,"[{'address': '67qUBvKzFxgae1cLfida655MuJor73LPuiQu76NGtaYr', 'verified': 1, 'share': 0}, {'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'verified': 0, 'share': 100}]",750,BcmFjnHcrromsivNhrPnT8ArKfEa1KSd9dcGWcAjFXKD,"[{'trait_type': 'Experience', 'value': 'Newbie'}, {'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Base', 'value': 'RedSludge'}, {'trait_type': 'Armor', 'value': 'CyberpunkJacket'}, {'trait_type': 'Headgear', 'value': 'SamuraiHelm'}, {'trait_type': 'Mouth', 'value': 'GreenSludge'}, {'trait_type': 'Eyes', 'value': 'Scar'}]","{'edition': 476, 'files': [{'uri': 'https://www.arweave.net/N4ZHsj9Z0vo6ow1MXRd3J0MS9QjVxN7efjcFq0o4YJg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'share': 100}], 'compiler': 'HashLips Art Engine - NFTChef fork | qualifieddevs.io'}",1,CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY,1,{},{'moonrank': {'rank': 412}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
7,9nohUuwaRKwM8htnomNFzY8bh3E8cVZ3twWHoBzVaS69,2.8,DNc9rd6F3P3y9ph1jzwctuhY1H7FugnsuL7j3dV9cdb4,697aRBHo4e17RBZwKZ1GLBQA7hyYuxAjmSWX9QtJSL9B,cyborg_iguanas,Cyborg Iguanas,https://www.arweave.net/IK0Kun_KE0nKVclsbnw4mnpYrsz3qfjBMZfIcS5UOoM?ext=png,Cyborg Iguana #1678,Cyborg Iguanas in space ready to conquer the Iguanaverse.,image,"[{'address': '67qUBvKzFxgae1cLfida655MuJor73LPuiQu76NGtaYr', 'verified': 1, 'share': 0}, {'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'verified': 0, 'share': 100}]",750,7f41EWAS4334pQ2mWWryvVEUF4aaKq1RuGUUmCD2KK73,"[{'trait_type': 'Experience', 'value': 'Newbie'}, {'trait_type': 'Background', 'value': 'NightCity'}, {'trait_type': 'Base', 'value': 'DarkPink'}, {'trait_type': 'Armor', 'value': 'TrenchCoat'}, {'trait_type': 'Headgear', 'value': 'VRGoggles'}, {'trait_type': 'Mouth', 'value': 'DefaultMouth'}, {'trait_type': 'Eyes', 'value': 'NoEyes'}]","{'edition': 1678, 'files': [{'uri': 'https://www.arweave.net/IK0Kun_KE0nKVclsbnw4mnpYrsz3qfjBMZfIcS5UOoM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'share': 100}], 'compiler': 'HashLips Art Engine - NFTChef fork | qualifieddevs.io'}",1,CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY,1,{},{'moonrank': {'rank': 1483}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
8,DJZR4kJqsuyi52KWscMXeYTrXn5ixaEcWESXmcDoaXjU,2.87,5CDrrPgDY6Vb2SK7op3Z2DEmuC5ne8xVtP5rpSCLRsWk,DMDucN6yosYfZKnGkzoV69WFB9nzshxfZrk5j9t2LxQU,cyborg_iguanas,Cyborg Iguanas,https://www.arweave.net/hiPShE-OMDkTwCE66PQ2YLuHiQqDxmX8nQpGvFfwz_k?ext=png,Cyborg Iguana #70,Cyborg Iguanas in space ready to conquer the Iguanaverse.,image,"[{'address': '67qUBvKzFxgae1cLfida655MuJor73LPuiQu76NGtaYr', 'verified': 1, 'share': 0}, {'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'verified': 0, 'share': 100}]",750,FvP11neeUftT9a1Bzym28UP2REVi9psvFpFLxemm5cmw,"[{'trait_type': 'Experience', 'value': 'Newbie'}, {'trait_type': 'Background', 'value': 'Cyan'}, {'trait_type': 'Base', 'value': 'GreenSludge'}, {'trait_type': 'Armor', 'value': 'Tubes'}, {'trait_type': 'Headgear', 'value': 'Antenna'}, {'trait_type': 'Mouth', 'value': 'OpenMouth'}, {'trait_type': 'Eyes', 'value': 'Scar'}]","{'edition': 70, 'files': [{'uri': 'https://www.arweave.net/hiPShE-OMDkTwCE66PQ2YLuHiQqDxmX8nQpGvFfwz_k?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'share': 100}], 'compiler': 'HashLips Art Engine - NFTChef fork | qualifieddevs.io'}",1,CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY,1,{},{'moonrank': {'rank': 1606}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
9,BS2iDGbi3NEgqH6HZsiS36TqyMdZXVFrXKjiiMSAYCL5,3.0,DVJfxH1W1zGy88H1p8wdznXHVA6CZuEVn8SFdAHqnc6V,8WxLkiRzcHL3zqXcNjxqqPFhiTYpY65R2h7eT4TGamUM,cyborg_iguanas,Cyborg Iguanas,https://www.arweave.net/DAQV1G3WGqmTKkNsutTE9gJJXnD_aAiMsRhx3r5nEJs?ext=png,Cyborg Iguana #753,Cyborg Iguanas in space ready to conquer the Iguanaverse.,image,"[{'address': '67qUBvKzFxgae1cLfida655MuJor73LPuiQu76NGtaYr', 'verified': 1, 'share': 0}, {'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'verified': 0, 'share': 100}]",750,5igzrMdJcWv8mYYgBKpgAvXVLYyrqSV8Q6ZwixNuKX8v,"[{'trait_type': 'Experience', 'value': 'Recruit'}, {'trait_type': 'Background', 'value': 'PurplePlanet'}, {'trait_type': 'Base', 'value': 'Green'}, {'trait_type': 'Armor', 'value': 'ScrapArmor'}, {'trait_type': 'Headgear', 'value': 'Wires'}, {'trait_type': 'Mouth', 'value': 'Smooch'}, {'trait_type': 'Eyes', 'value': '3EyeMutation'}]","{'edition': 753, 'files': [{'uri': 'https://www.arweave.net/DAQV1G3WGqmTKkNsutTE9gJJXnD_aAiMsRhx3r5nEJs?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY', 'share': 100}], 'compiler': 'HashLips Art Engine - NFTChef fork | qualifieddevs.io'}",1,CqsMSCovr3TRueWzQp2EzkRSPkwiqqPWZKcSZpYdc5GY,1,{},{'moonrank': {'rank': 1014}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
