,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,8yyYyKGouNRkSSKvRDSDtuUGGisyXkmbW6CTMGiewFjT,0.939,7hx5fBGUN3z5BgbhcBpWgpacadidzj6eSg9bksSheKqU,8ALpDDefdmnHDoBceppSXo33XSgJ9hmEu2xPZ9Hxugvk,cynova_legacy,Cynova Legacy,https://arweave.net/Sp82VZRfCJxDmTdEJ0fpsV85EjXJyjJsRuCBh3evwTE?ext=png,Cynova Legacy #3147,"Welcome to the Cynoverse. The Cynova Legacy is a collection of 5,012 hand drawn NFTs. We are a community-led business that rewards holders with passive income",https://www.cynova.io,image,"[{'address': 'EjoUnC6RbJmvuqxY6m5erirnxNqQqMndJYxJ4BBwbcef', 'verified': 1, 'share': 0}, {'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'verified': 0, 'share': 100}]",750,9ACiSgGmwWuCPG8r7Lr7L1TMpghq7ei8No7upSD4RoQL,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Wing', 'value': 'Orange'}, {'trait_type': 'Helmet', 'value': 'Blue'}, {'trait_type': 'Visor', 'value': 'Blue'}, {'trait_type': 'Jacket', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Body'}, {'trait_type': 'Items', 'value': 'Axe'}]","{'files': [{'uri': 'https://arweave.net/Sp82VZRfCJxDmTdEJ0fpsV85EjXJyjJsRuCBh3evwTE?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'share': 100}]}",1,CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 5007}, 'moonrank': {'rank': 5008}}"
1,9hSHTYHjDtvahfq5VL2hAHXW2pnVuV8KFFfH94DiReGo,0.939,VByAtKKbjBn33bJbLBUVWCALrcmYXTbzpudPLRjwsti,8ALpDDefdmnHDoBceppSXo33XSgJ9hmEu2xPZ9Hxugvk,cynova_legacy,Cynova Legacy,https://arweave.net/P9PPjnRzyXBvFHNMgHzJovcJ-G4deiiocvSE4-mqjrw?ext=png,Cynova Legacy #1207,"Welcome to the Cynoverse. The Cynova Legacy is a collection of 5,012 hand drawn NFTs. We are a community-led business that rewards holders with passive income",https://www.cynova.io,image,"[{'address': 'EjoUnC6RbJmvuqxY6m5erirnxNqQqMndJYxJ4BBwbcef', 'verified': 1, 'share': 0}, {'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'verified': 0, 'share': 100}]",750,dLgWB5e8E5yMBNRvETMAWWEmRusS5CR9xj1kvLvDaCa,"[{'trait_type': 'Background', 'value': 'Grey'}, {'trait_type': 'Wing', 'value': 'Grey'}, {'trait_type': 'Helmet', 'value': 'Blue'}, {'trait_type': 'Visor', 'value': 'Blue'}, {'trait_type': 'Jacket', 'value': 'Red'}, {'trait_type': 'Body', 'value': 'Body'}, {'trait_type': 'Items', 'value': 'Banana'}]","{'files': [{'uri': 'https://arweave.net/P9PPjnRzyXBvFHNMgHzJovcJ-G4deiiocvSE4-mqjrw?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'share': 100}]}",1,CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 3865}, 'moonrank': {'rank': 3985}}"
2,8C99GRetBnhMyM59PBTMdC84nGSuUgFxodiswQi4sbBK,0.94,GWL51Vpz5LH62n3iBUtUQvPse5v82vh3evHeknokVAQj,BrzZ4BsNS4nSSv5LFpsCZ5ghkjouKKMWkAdfxzvpJWkd,cynova_legacy,Cynova Legacy,https://arweave.net/Jtk10ultqfZT0liMfq3QEOilVJETHNC0BPtgyG1PE_o?ext=png,Cynova Legacy #953,"Welcome to the Cynoverse. The Cynova Legacy is a collection of 5,012 hand drawn NFTs. We are a community-led business that rewards holders with passive income",https://www.cynova.io,image,"[{'address': 'EjoUnC6RbJmvuqxY6m5erirnxNqQqMndJYxJ4BBwbcef', 'verified': 1, 'share': 0}, {'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'verified': 0, 'share': 100}]",750,EhUuBEgf2GwBNJqAWgpLc6N4FWmgAVzAxzkjuy7DB4Hy,"[{'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Wing', 'value': 'Orange'}, {'trait_type': 'Helmet', 'value': 'Blue'}, {'trait_type': 'Visor', 'value': 'Grey'}, {'trait_type': 'Jacket', 'value': 'Pink'}, {'trait_type': 'Body', 'value': 'Body'}, {'trait_type': 'Items', 'value': 'Sword'}]","{'files': [{'uri': 'https://arweave.net/Jtk10ultqfZT0liMfq3QEOilVJETHNC0BPtgyG1PE_o?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'share': 100}]}",1,CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4712}, 'howrare': {'rank': 4739}}"
3,3VuuUmJ7KcdLN4q8KjyxwXqW3UmS6vre9HoY1oCjDPJH,0.95,EgLzgfpk4g1Wz92Xc3JKudFYDCYChABC6TYLmdgQg5Bj,A9zEjt8p9NCCTJWPJsqBEikxYzqYxdz6m6A5EM6XbfTx,cynova_legacy,Cynova Legacy,https://arweave.net/u0cnAJLaCxPRA1IYhPwnJcIVb4l2PP4xkkNNTkGQh-I?ext=png,Cynova Legacy #4213,"Welcome to the Cynoverse. The Cynova Legacy is a collection of 5,012 hand drawn NFTs. We are a community-led business that rewards holders with passive income",https://www.cynova.io,image,"[{'address': 'EjoUnC6RbJmvuqxY6m5erirnxNqQqMndJYxJ4BBwbcef', 'verified': 1, 'share': 0}, {'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'verified': 0, 'share': 100}]",750,CvakjdnWKg59YQEggL79TzboyhZA7PAGQVMuJHv4r1m9,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Wing', 'value': 'Orange'}, {'trait_type': 'Helmet', 'value': 'Gold'}, {'trait_type': 'Visor', 'value': 'Blue'}, {'trait_type': 'Jacket', 'value': 'Pink'}, {'trait_type': 'Body', 'value': 'Body'}, {'trait_type': 'Items', 'value': 'Axe'}]","{'files': [{'uri': 'https://arweave.net/u0cnAJLaCxPRA1IYhPwnJcIVb4l2PP4xkkNNTkGQh-I?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'share': 100}]}",1,CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3489}, 'howrare': {'rank': 2626}}"
4,FSw4srLuBW9aQBXphCGSnPckJvAA8MkYDkPYaYvdQoKc,0.95,ELdpQ259KQpRqcC2rNTevzBBamdc83iK6gmbgtNd2zhF,EhNbYGuCYLGQjDxQVBbozbHsPFhDmcA22AgjRSkPRYN6,cynova_legacy,Cynova Legacy,https://arweave.net/4KV4UDnBS0SGvXa37vGTr-U3uemXm6Oaco0X2wwb2oo?ext=png,Cynova Legacy #1186,"Welcome to the Cynoverse. The Cynova Legacy is a collection of 5,012 hand drawn NFTs. We are a community-led business that rewards holders with passive income",https://www.cynova.io,image,"[{'address': 'EjoUnC6RbJmvuqxY6m5erirnxNqQqMndJYxJ4BBwbcef', 'verified': 1, 'share': 0}, {'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'verified': 0, 'share': 100}]",750,2mvDtX4rCYKGHyeCU3gY7aVghhuTVJauQJnbGL1YxfNS,"[{'trait_type': 'Background', 'value': 'Starlight'}, {'trait_type': 'Wing', 'value': 'Orange'}, {'trait_type': 'Helmet', 'value': 'Silver'}, {'trait_type': 'Visor', 'value': 'Grey'}, {'trait_type': 'Jacket', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Body'}, {'trait_type': 'Items', 'value': 'Axe'}]","{'files': [{'uri': 'https://arweave.net/4KV4UDnBS0SGvXa37vGTr-U3uemXm6Oaco0X2wwb2oo?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'share': 100}]}",1,CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4290}, 'howrare': {'rank': 4164}}"
5,Cz16fsHSzcyrPWAhnPQANC7TTJkzpphYGrAtRwq2i4nL,0.95,7TbFzrgUFSP3tpreb4oCNzNFH727uiZb3YudX7vsQtJC,CqcHnqhNxBm1YM9ium6mcqd6FWqsMEPQGSvz8M6rRCcV,cynova_legacy,Cynova Legacy,https://arweave.net/kyhz-z5RKWV_3arfDzq-aFlniah5sKrWfcWOqISTYE0?ext=png,Cynova Legacy #4247,"Welcome to the Cynoverse. The Cynova Legacy is a collection of 5,012 hand drawn NFTs. We are a community-led business that rewards holders with passive income",https://www.cynova.io,image,"[{'address': 'EjoUnC6RbJmvuqxY6m5erirnxNqQqMndJYxJ4BBwbcef', 'verified': 1, 'share': 0}, {'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'verified': 0, 'share': 100}]",750,2LccqBwP2WnHSTBz6qV3yKzv5Up3qHg2x2DAyTY5KMBo,"[{'trait_type': 'Background', 'value': 'Pastal'}, {'trait_type': 'Wing', 'value': 'Green'}, {'trait_type': 'Helmet', 'value': 'Green'}, {'trait_type': 'Visor', 'value': 'Pink'}, {'trait_type': 'Jacket', 'value': 'Teal'}, {'trait_type': 'Body', 'value': 'Body'}, {'trait_type': 'Items', 'value': 'Sausage'}]","{'files': [{'uri': 'https://arweave.net/kyhz-z5RKWV_3arfDzq-aFlniah5sKrWfcWOqISTYE0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'share': 100}]}",1,CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3570}, 'howrare': {'rank': 3470}}"
6,HiK17stFpiW9pHquUKGmS1QPTSDZB5DeLnBjtzJ1kNDh,1.25,5QXA7bvFgAAKnSExuFoabkLxoBMjtK73EqGT7uDes6TH,cERwioiGwR3bCQ2Bb458MtfPNzfJ4Dh5bb25MYM2KQm,cynova_legacy,Cynova Legacy,https://arweave.net/9NARZa1q2qelTGBWxPQD1hm2frHqt99WkPat0P2O8Vw?ext=png,Cynova Legacy #622,"Welcome to the Cynoverse. The Cynova Legacy is a collection of 5,012 hand drawn NFTs. We are a community-led business that rewards holders with passive income",https://www.cynova.io,image,"[{'address': 'EjoUnC6RbJmvuqxY6m5erirnxNqQqMndJYxJ4BBwbcef', 'verified': 1, 'share': 0}, {'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'verified': 0, 'share': 100}]",750,7m4XFdcbTvdSuLzy9PTrnbhSJ7zVy3C5et3Cqs8vSjp2,"[{'trait_type': 'Background', 'value': 'Sunrise'}, {'trait_type': 'Wing', 'value': 'Orange'}, {'trait_type': 'Helmet', 'value': 'Green'}, {'trait_type': 'Visor', 'value': 'Midnight'}, {'trait_type': 'Jacket', 'value': 'Teal'}, {'trait_type': 'Body', 'value': 'Body'}, {'trait_type': 'Items', 'value': 'Roses'}]","{'files': [{'uri': 'https://arweave.net/9NARZa1q2qelTGBWxPQD1hm2frHqt99WkPat0P2O8Vw?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'share': 100}]}",1,CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2996}, 'howrare': {'rank': 3147}}"
7,GXdhyopodH8sYTuRCY82LYqNTmj8hvKyW138mw6HEFYu,0.95,7Zub3UUpemPQmdxey89XWt9eCUWb4hnZTwC6AKpqLMRi,CqcHnqhNxBm1YM9ium6mcqd6FWqsMEPQGSvz8M6rRCcV,cynova_legacy,Cynova Legacy,https://arweave.net/2AUpuC8Ux_H_hQKFwkGiHCpsLHyju1EgOzeQ2Sj1lqI?ext=png,Cynova Legacy #3363,"Welcome to the Cynoverse. The Cynova Legacy is a collection of 5,012 hand drawn NFTs. We are a community-led business that rewards holders with passive income",https://www.cynova.io,image,"[{'address': 'EjoUnC6RbJmvuqxY6m5erirnxNqQqMndJYxJ4BBwbcef', 'verified': 1, 'share': 0}, {'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'verified': 0, 'share': 100}]",750,DcTUzDQQpR5s15P6oiRMe6ZhWD3d2NbhM3ymfqPDfwgs,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Wing', 'value': 'Halo'}, {'trait_type': 'Helmet', 'value': 'Grey'}, {'trait_type': 'Visor', 'value': 'Blue'}, {'trait_type': 'Jacket', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Body'}, {'trait_type': 'Items', 'value': 'Sword'}]","{'files': [{'uri': 'https://arweave.net/2AUpuC8Ux_H_hQKFwkGiHCpsLHyju1EgOzeQ2Sj1lqI?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'share': 100}]}",1,CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3135}, 'howrare': {'rank': 2894}}"
8,GzUqxZbxL3JLjoYzj2GDhjzrg5AJT1nbq5MGdZXRUtBf,0.97,n9TfBc9iVC5hAsakm9j85FK1qBBJrYwv2U6541Z3ZgW,8adkDzNDwnu1pof9Kge8q9LpGxDp94CnH1TTe1qaVr18,cynova_legacy,Cynova Legacy,https://arweave.net/v9vlOILOJW8FQOE_z7rTHdD0PAm2Y8aBC5c3Ynp3Ia8?ext=png,Cynova Legacy #4549,"Welcome to the Cynoverse. The Cynova Legacy is a collection of 5,012 hand drawn NFTs. We are a community-led business that rewards holders with passive income",https://www.cynova.io,image,"[{'address': 'EjoUnC6RbJmvuqxY6m5erirnxNqQqMndJYxJ4BBwbcef', 'verified': 1, 'share': 0}, {'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'verified': 0, 'share': 100}]",750,AUGmSnpC95HAjBrzBwpPHXckPhw4SKXKmRHcghw7hcNQ,"[{'trait_type': 'Background', 'value': 'Sunrise'}, {'trait_type': 'Wing', 'value': 'Blue'}, {'trait_type': 'Helmet', 'value': 'Blue'}, {'trait_type': 'Visor', 'value': 'Midnight'}, {'trait_type': 'Jacket', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Body'}, {'trait_type': 'Items', 'value': 'Front Sword'}]","{'files': [{'uri': 'https://arweave.net/v9vlOILOJW8FQOE_z7rTHdD0PAm2Y8aBC5c3Ynp3Ia8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'share': 100}]}",1,CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3671}}
9,8pF4bvDVZHgeg5MEMGaNexoykX1FJ5qRSfJFbkUQ3U9H,0.99,82q8mTpYBVUBkyvSxSeXhBQBEMPXnG61Ux2RujS6UURQ,F7SRtWpcEz1HBPVoBeyRXMPhRe3WRqHnSiwW56f4CnzH,cynova_legacy,Cynova Legacy,https://arweave.net/TTWuqFaTqDY_ULjY9gYcOUBDLpApNf153BATEnAZye8?ext=png,Cynova Legacy #1297,"Welcome to the Cynoverse. The Cynova Legacy is a collection of 5,012 hand drawn NFTs. We are a community-led business that rewards holders with passive income",https://www.cynova.io,image,"[{'address': 'EjoUnC6RbJmvuqxY6m5erirnxNqQqMndJYxJ4BBwbcef', 'verified': 1, 'share': 0}, {'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'verified': 0, 'share': 100}]",750,HoCnuNX1Yi4ByV4ZcgC9oAcApr1Sd5n8cDt3Yszy59dz,"[{'trait_type': 'Background', 'value': 'Pastal'}, {'trait_type': 'Wing', 'value': 'Green'}, {'trait_type': 'Helmet', 'value': 'Green'}, {'trait_type': 'Visor', 'value': 'Grey'}, {'trait_type': 'Jacket', 'value': 'Pink'}, {'trait_type': 'Body', 'value': 'Body'}, {'trait_type': 'Items', 'value': 'Axe'}]","{'files': [{'uri': 'https://arweave.net/TTWuqFaTqDY_ULjY9gYcOUBDLpApNf153BATEnAZye8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9', 'share': 100}]}",1,CynjzEsSbUf16MsYn34rRheTzgLw7wQoaYGi8Myyutw9,1,{},False,,"{'moonrank': {'rank': 4720}, 'howrare': {'rank': 4737}}"
