,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,GzjveiFBCxiCRBdMibvvPMGj8PGM5gnbqJLnor8cA7h1,1.78,66t2HJHaYJT7XBLiqD3TuivGpYXaufJPqJgijiPRqQad,EVoePf1zixATyutLErWMkWgtMJPAT8cv2LC23CAE2WjJ,danger_valley_ducks,Danger Valley Ducks,https://www.arweave.net/G1XnhPtxg6Ppjq65aefdnfal_oQl5ogX83O72_s--aA?ext=png,Duck #2194,"7,777 uniquely generated Ducks in the Danger Valley Duckverse.","[{'address': '8ZjzRkrUPitXCBSp65uK5FsT2476sLZ9NSqtd8kCQJoh', 'verified': 1, 'share': 0}, {'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'verified': 0, 'share': 60}, {'address': '292tdFqbtpHrKd1R5cT38DN9geAyTKfy7hhHZF6Wqcek', 'verified': 0, 'share': 20}, {'address': 'FDsoMXUkpLSz6fRLTCWBv4dwCe46rYJif9VZUNMfYH3x', 'verified': 0, 'share': 20}]",800,Hsk7FcArtuYcJE7NVEyamLZuoh5FxWcpaVivdypHD5tZ,"[{'trait_type': 'Background', 'value': 'Solana'}, {'trait_type': 'Body', 'value': 'White'}, {'trait_type': 'Beak', 'value': 'Yellow'}, {'trait_type': 'Clothing', 'value': 'Coverall'}, {'trait_type': 'Eyes', 'value': 'Classic'}, {'trait_type': 'Headwear', 'value': 'Red Horns'}]","{'creators': [{'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/G1XnhPtxg6Ppjq65aefdnfal_oQl5ogX83O72_s--aA?ext=png', 'type': 'image/png'}]}",1,BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6288}, 'howrare': {'rank': 6087}}",,
1,TyxcsEoAabBpqqwx75DgzT73Y6QvBn1fC17U5tXgR7a,1.79,BqPD6MBAx7kxudi6VkYcryu6VDzS1Z2WUmYDpVHawL87,Bu79Dg7rBusC3o28WGG3XefcXggqXXLyfXNumXCs3uqk,danger_valley_ducks,Danger Valley Ducks,https://www.arweave.net/Pi9B6l_zDT7If7d1ns4a12ygM8No7JWw2SJJqBB7lpM?ext=png,Duck #4404,"7,777 uniquely generated Ducks in the Danger Valley Duckverse.","[{'address': '8ZjzRkrUPitXCBSp65uK5FsT2476sLZ9NSqtd8kCQJoh', 'verified': 1, 'share': 0}, {'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'verified': 0, 'share': 60}, {'address': '292tdFqbtpHrKd1R5cT38DN9geAyTKfy7hhHZF6Wqcek', 'verified': 0, 'share': 20}, {'address': 'FDsoMXUkpLSz6fRLTCWBv4dwCe46rYJif9VZUNMfYH3x', 'verified': 0, 'share': 20}]",800,465mHvL1468kdF9ZrG5eCfxGMsaBtfXrvLNauVtYsvLZ,"[{'trait_type': 'Background', 'value': 'Quackgram Lines'}, {'trait_type': 'Body', 'value': 'Goth'}, {'trait_type': 'Beak', 'value': 'Yellow'}, {'trait_type': 'Eyes', 'value': 'Classic'}, {'trait_type': 'Headwear', 'value': 'Winter Hat'}]","{'creators': [{'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/Pi9B6l_zDT7If7d1ns4a12ygM8No7JWw2SJJqBB7lpM?ext=png', 'type': 'image/png'}]}",1,BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 7449}, 'moonrank': {'rank': 7500}}",,
2,4c4z48DV6tmsrRDnFnWYBevzxtRAZJYqWt63qnVK55K5,1.8,5TXBiGEAy3Jn9vKaYZbYVQfH1c8GvBkjamMpurnKfmD3,2nq3BGgNAwKPanvFwXcwT3fRpv9t7ha567wQCJrfnPVK,danger_valley_ducks,Danger Valley Ducks,https://www.arweave.net/zR8FdwkoBO7NlkrslYm35Mq6hhpntCygOv5E18wKmp4?ext=png,Duck #7166,"7,777 uniquely generated Ducks in the Danger Valley Duckverse.","[{'address': '8ZjzRkrUPitXCBSp65uK5FsT2476sLZ9NSqtd8kCQJoh', 'verified': 1, 'share': 0}, {'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'verified': 0, 'share': 60}, {'address': '292tdFqbtpHrKd1R5cT38DN9geAyTKfy7hhHZF6Wqcek', 'verified': 0, 'share': 20}, {'address': 'FDsoMXUkpLSz6fRLTCWBv4dwCe46rYJif9VZUNMfYH3x', 'verified': 0, 'share': 20}]",800,zLjKDLGSL2m8NVXXu5TGfQEm6SAYMFy7pJvbfAKzTq3,"[{'trait_type': 'Background', 'value': 'Red Dots'}, {'trait_type': 'Body', 'value': 'White'}, {'trait_type': 'Beak', 'value': 'Devil'}, {'trait_type': 'Eyes', 'value': 'Otherside Green'}, {'trait_type': 'Eyewear', 'value': 'Bruce Lee Glasses'}, {'trait_type': 'Headwear', 'value': 'Ballas Bandana'}]","{'creators': [{'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/zR8FdwkoBO7NlkrslYm35Mq6hhpntCygOv5E18wKmp4?ext=png', 'type': 'image/png'}]}",1,BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2916}, 'howrare': {'rank': 5657}}",,
3,GnRSJZgMic2uNcGNqfkuAVqNrLDLdpTgW6v22pU3SbTL,1.8,EaxXX3pqTNkR4JY9WNhL6ewTKFmNqoBw9TNHdCaHi7aS,pVdeBMYtSntJ7gx8R9LoJ1A4JqyZdoS7otzsHXmMcHx,danger_valley_ducks,Danger Valley Ducks,https://www.arweave.net/oCGorBw9wNcLPMijIRA2wznG2hweir9fLdE8NuqbHm4?ext=png,Duck #2237,"7,777 uniquely generated Ducks in the Danger Valley Duckverse.","[{'address': '8ZjzRkrUPitXCBSp65uK5FsT2476sLZ9NSqtd8kCQJoh', 'verified': 1, 'share': 0}, {'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'verified': 0, 'share': 60}, {'address': '292tdFqbtpHrKd1R5cT38DN9geAyTKfy7hhHZF6Wqcek', 'verified': 0, 'share': 20}, {'address': 'FDsoMXUkpLSz6fRLTCWBv4dwCe46rYJif9VZUNMfYH3x', 'verified': 0, 'share': 20}]",800,FtyjFnQKFwUCU1tC7GxqZzKT2ruYx4hsgPMktZVjMHSJ,"[{'trait_type': 'Background', 'value': 'Dark Red'}, {'trait_type': 'Body', 'value': 'White'}, {'trait_type': 'Beak', 'value': 'Yellow'}, {'trait_type': 'Eyes', 'value': 'Classic'}, {'trait_type': 'Headwear', 'value': 'Killer Style'}]","{'creators': [{'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/oCGorBw9wNcLPMijIRA2wznG2hweir9fLdE8NuqbHm4?ext=png', 'type': 'image/png'}]}",1,BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 7771}, 'moonrank': {'rank': 7753}}",,
4,A1Dcf9fDdnVRViAHoYnDKrytsPJdQdGRLUzUaHyFGPYf,1.8,88pNEzkLmQHzhyco8eBsyEKS2jQdA9gCdLK4sUMGmmon,pVdeBMYtSntJ7gx8R9LoJ1A4JqyZdoS7otzsHXmMcHx,danger_valley_ducks,Danger Valley Ducks,https://www.arweave.net/q2GnYqp_9jdU4HlGF16y64ETha_CJYGzlibmp3aYgvE?ext=png,Duck #452,"7,777 uniquely generated Ducks in the Danger Valley Duckverse.","[{'address': '8ZjzRkrUPitXCBSp65uK5FsT2476sLZ9NSqtd8kCQJoh', 'verified': 1, 'share': 0}, {'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'verified': 0, 'share': 60}, {'address': '292tdFqbtpHrKd1R5cT38DN9geAyTKfy7hhHZF6Wqcek', 'verified': 0, 'share': 20}, {'address': 'FDsoMXUkpLSz6fRLTCWBv4dwCe46rYJif9VZUNMfYH3x', 'verified': 0, 'share': 20}]",800,A2sNaMnCH4ggnF9cDBEUqbSnjaLsz9amNJntrHRPxA4U,"[{'trait_type': 'Background', 'value': 'Waves Purple'}, {'trait_type': 'Body', 'value': 'Metaduck'}, {'trait_type': 'Beak', 'value': 'Yellow'}, {'trait_type': 'Clothing', 'value': 'Rancher Shirt'}, {'trait_type': 'Eyes', 'value': 'Classic'}, {'trait_type': 'Headwear', 'value': 'Teen Blonde'}]","{'creators': [{'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/q2GnYqp_9jdU4HlGF16y64ETha_CJYGzlibmp3aYgvE?ext=png', 'type': 'image/png'}]}",1,BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5833}, 'howrare': {'rank': 5308}}",,
5,DYihrT7JYWWHWBYDvZuxpcQt6F4CMafT1V7gUv4ByZQj,1.8,9WyFqtCeQi7AXgyNbAUPvi7brLSP925B6gymN5Cz5xsT,6W4rScvceazL6w5BC5zYXD1tuDeuW7umYm7TH7mtB7Tm,danger_valley_ducks,Danger Valley Ducks,https://www.arweave.net/x5JzAIxqvWP7U0bF2VVnX_phQBp5CutPmkJaId1dwbI?ext=png,Duck #3784,"7,777 uniquely generated Ducks in the Danger Valley Duckverse.","[{'address': '8ZjzRkrUPitXCBSp65uK5FsT2476sLZ9NSqtd8kCQJoh', 'verified': 1, 'share': 0}, {'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'verified': 0, 'share': 60}, {'address': '292tdFqbtpHrKd1R5cT38DN9geAyTKfy7hhHZF6Wqcek', 'verified': 0, 'share': 20}, {'address': 'FDsoMXUkpLSz6fRLTCWBv4dwCe46rYJif9VZUNMfYH3x', 'verified': 0, 'share': 20}]",800,78C9tidnxVhoGJ81nrvyHD8KSweHyKgsTD5wePVUaGhy,"[{'trait_type': 'Background', 'value': 'Rays Dark'}, {'trait_type': 'Body', 'value': 'White'}, {'trait_type': 'Beak', 'value': 'Yellow'}, {'trait_type': 'Eyes', 'value': 'Classic'}, {'trait_type': 'Headwear', 'value': 'Arrow'}]","{'creators': [{'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/x5JzAIxqvWP7U0bF2VVnX_phQBp5CutPmkJaId1dwbI?ext=png', 'type': 'image/png'}]}",1,BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 7248}, 'moonrank': {'rank': 7375}}",,
6,HE6y3r3MkxFM8mjr8rCNexHFMXEkKrtYFTTku6q1R8JZ,1.85,DktimXJkZE3xCgwwXDwZYBvLhTABBEEQhwk7UyvQi4uW,6H5bsabKNfK8pEJUod3DvA2Ngxm5SaggUzQ7uXdJpLCb,danger_valley_ducks,Danger Valley Ducks,https://www.arweave.net/vN9USGLMKIb5nwf4nPL0kh6DCpELppZ_hR4ocQwbR48?ext=png,Duck #3182,"7,777 uniquely generated Ducks in the Danger Valley Duckverse.","[{'address': '8ZjzRkrUPitXCBSp65uK5FsT2476sLZ9NSqtd8kCQJoh', 'verified': 1, 'share': 0}, {'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'verified': 0, 'share': 60}, {'address': '292tdFqbtpHrKd1R5cT38DN9geAyTKfy7hhHZF6Wqcek', 'verified': 0, 'share': 20}, {'address': 'FDsoMXUkpLSz6fRLTCWBv4dwCe46rYJif9VZUNMfYH3x', 'verified': 0, 'share': 20}]",800,8SXh5asgki3KFVbmjA7PQmQi8yN64c2W3w1evWAvDqKk,"[{'trait_type': 'Background', 'value': 'Framed Strains'}, {'trait_type': 'Body', 'value': 'Devil'}, {'trait_type': 'Beak', 'value': 'Goth'}, {'trait_type': 'Clothing', 'value': 'Safari Lover'}, {'trait_type': 'Eyes', 'value': 'Classic'}, {'trait_type': 'Headwear', 'value': 'Louie Hat'}]","{'creators': [{'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/vN9USGLMKIb5nwf4nPL0kh6DCpELppZ_hR4ocQwbR48?ext=png', 'type': 'image/png'}]}",1,BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5150}, 'howrare': {'rank': 5872}}",,
7,DZ5iLs9UhkMpWAetFwxHhngkXTVYAjCfK3iVtTGUTxYy,1.89,eiutKjEoCCf1bU34tQnApP5tYUDBwqmgobpDAmVMnD5,14CJ3ZJ1nCavCKhh37Nc3Bi3ztG9Gw23Qhv7iiGyFzt7,danger_valley_ducks,Danger Valley Ducks,https://www.arweave.net/-89pkVlAY1eXt-yOWxdhYCDGcAJREENGphCQIgci76E?ext=png,Duck #4369,"7,777 uniquely generated Ducks in the Danger Valley Duckverse.","[{'address': '8ZjzRkrUPitXCBSp65uK5FsT2476sLZ9NSqtd8kCQJoh', 'verified': 1, 'share': 0}, {'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'verified': 0, 'share': 60}, {'address': '292tdFqbtpHrKd1R5cT38DN9geAyTKfy7hhHZF6Wqcek', 'verified': 0, 'share': 20}, {'address': 'FDsoMXUkpLSz6fRLTCWBv4dwCe46rYJif9VZUNMfYH3x', 'verified': 0, 'share': 20}]",800,7VvK64fBmcutX7ZieDM52YZ9oTjAv5kae7Umec87kUok,"[{'trait_type': 'Background', 'value': 'Dark Drips'}, {'trait_type': 'Body', 'value': 'Bath'}, {'trait_type': 'Beak', 'value': 'Goth'}, {'trait_type': 'Eyes', 'value': 'Classic'}, {'trait_type': 'Eyewear', 'value': 'Band Hero Purple'}, {'trait_type': 'Headwear', 'value': 'Viking Helmet'}]","{'creators': [{'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/-89pkVlAY1eXt-yOWxdhYCDGcAJREENGphCQIgci76E?ext=png', 'type': 'image/png'}]}",1,BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 4964}, 'moonrank': {'rank': 4306}}",,
8,B4jFbS3nJS3AtpTvBK3JEY2kFCoxzju21pbh2kZqHi5w,1.95,HsUfgjkh6tZmefa32rBVJNqMYHuKP7DtQC5nuQupJV4n,CSqjo2WToK53BmdZNyY7zuwQABKuEWDEwYJK5tNNQSo3,danger_valley_ducks,Danger Valley Ducks,https://www.arweave.net/I7Cc_NUTtvBVUARourdmvTUAJ5NiR_Naigvd3aC81Kw?ext=png,Duck #3159,"7,777 uniquely generated Ducks in the Danger Valley Duckverse.","[{'address': '8ZjzRkrUPitXCBSp65uK5FsT2476sLZ9NSqtd8kCQJoh', 'verified': 1, 'share': 0}, {'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'verified': 0, 'share': 60}, {'address': '292tdFqbtpHrKd1R5cT38DN9geAyTKfy7hhHZF6Wqcek', 'verified': 0, 'share': 20}, {'address': 'FDsoMXUkpLSz6fRLTCWBv4dwCe46rYJif9VZUNMfYH3x', 'verified': 0, 'share': 20}]",800,EzE6rAJAWmAtZwcAQrytFhCxHPH72dE2d1FSYj6Siny,"[{'trait_type': 'Background', 'value': 'Dark Drips'}, {'trait_type': 'Body', 'value': 'Metaduck'}, {'trait_type': 'Beak', 'value': 'Yellow'}, {'trait_type': 'Eyes', 'value': 'Robo Magenta'}, {'trait_type': 'Headwear', 'value': 'Winter Hat'}]","{'creators': [{'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/I7Cc_NUTtvBVUARourdmvTUAJ5NiR_Naigvd3aC81Kw?ext=png', 'type': 'image/png'}]}",1,BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 4875}, 'moonrank': {'rank': 4593}}",,
9,86BrML5QH2BuprzSDyrDZtush9xu2WagpAfjY8rTS9zv,1.95,5NHFHZa58c31bXgouAoWraeYxV4omKYHrrtknn8HLipN,3ReZmsRkJUzSUvVqCyKAYuXLhvxYNAcP7RUfoFCfMYtm,danger_valley_ducks,Danger Valley Ducks,https://www.arweave.net/qtQrgxHQy9zkGB0B_N1udMpF0B3NhlxlwTCqGBEEVv0?ext=png,Duck #4139,"7,777 uniquely generated Ducks in the Danger Valley Duckverse.","[{'address': '8ZjzRkrUPitXCBSp65uK5FsT2476sLZ9NSqtd8kCQJoh', 'verified': 1, 'share': 0}, {'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'verified': 0, 'share': 60}, {'address': '292tdFqbtpHrKd1R5cT38DN9geAyTKfy7hhHZF6Wqcek', 'verified': 0, 'share': 20}, {'address': 'FDsoMXUkpLSz6fRLTCWBv4dwCe46rYJif9VZUNMfYH3x', 'verified': 0, 'share': 20}]",800,6g5oWaBruTZ8yBXAGaL6NRPwR7W75VVRrUbwrn3pV1Sn,"[{'trait_type': 'Background', 'value': 'Blue Lines'}, {'trait_type': 'Body', 'value': 'Bath'}, {'trait_type': 'Beak', 'value': 'Metaduck'}, {'trait_type': 'Clothing', 'value': 'Tank BAYC'}, {'trait_type': 'Eyes', 'value': 'Classic'}, {'trait_type': 'Headwear', 'value': 'MDGA Cap'}]","{'creators': [{'address': 'BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh', 'share': 100}], 'files': [{'uri': 'https://www.arweave.net/qtQrgxHQy9zkGB0B_N1udMpF0B3NhlxlwTCqGBEEVv0?ext=png', 'type': 'image/png'}]}",1,BJomJVCbjz22kd84scx7X3eqMTBmuqZ4nhiFR7Cvm6dh,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5012}, 'howrare': {'rank': 6175}}",,
