,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,BK4JJg8AQoBmwFgKX45eZ6YUnqZ9HUUEPiZoFY18SL1m,79.0,FXtkhzsJ1A1NFPMeZzZbgWoDqV9PGnJG45GtqFEznJs6,92hDsknJ6W7EtYkoyhf8FRRc1zzVcm3gjVcBaDAzjh5G,degenerate_ape_kindergarten,Degenerate Ape Kindergarten,https://arweave.net/QR127uHbirHSh_Fa-BVdJyBM6rE2GYWeKnylG73YzpQ?ext=png,Degen Egg #2211,I took part in the bathroom gang bang and all I got was this egg. What the fuck is inside this thing?,https://degenape.academy,image,"[{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'verified': 0, 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 0, 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'verified': 1, 'share': 0}]",420,8Db8DfHUC7Bx4qftkkQ5wiFzBZ9M6byS8kMtN8qkd1fB,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Egg Color', 'value': 'Brown V1'}, {'trait_type': 'Mouth', 'value': 'Mouth V1'}, {'trait_type': 'Nose', 'value': 'Nose V3'}, {'trait_type': 'Eyes', 'value': 'Eyes V4'}, {'trait_type': 'Skin Type', 'value': 'Regular'}, {'trait_type': 'sequence', 'value': 2211}, {'trait_type': 'generation', 'value': 1}]","{'collection': 'Degeniverse Eggs', 'symbol': 'DEGG', 'royalty': 420, 'category': 'image', 'files': [{'uri': 'https://arweave.net/QR127uHbirHSh_Fa-BVdJyBM6rE2GYWeKnylG73YzpQ?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'share': 0}]}",1,daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
1,8h9zKKTwDRjkDSoA4ngga7vF6bJKcq1w6YbfCHK67CoC,79.0,GvuHNmjzLGkm5gVg7WJp44HBxatfSbKdZC2qP8xyLHTD,C8mgrCncLMtpfh4QzkJsPfrWd384yQeSYpdujw4LF53T,degenerate_ape_kindergarten,Degenerate Ape Kindergarten,https://arweave.net/cAQmjI2SMg1tNJOWE6sPOvoQ5KmFqHO9TjxKUpFYibI?ext=png,Degen Egg #1100,I took part in the bathroom gang bang and all I got was this egg. What the fuck is inside this thing?,https://degenape.academy,image,"[{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'verified': 0, 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 0, 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'verified': 1, 'share': 0}]",420,85rGoXvdmpTM7brAShuafBKGnyoTjVvrDVpXRRPUpPS2,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Egg Color', 'value': 'Blue V2'}, {'trait_type': 'Mouth', 'value': 'Mouth V5'}, {'trait_type': 'Nose', 'value': 'Nose V4'}, {'trait_type': 'Eyes', 'value': 'Eyes V1'}, {'trait_type': 'Skin Type', 'value': 'Regular'}, {'trait_type': 'sequence', 'value': 1100}, {'trait_type': 'generation', 'value': 1}]","{'collection': 'Degeniverse Eggs', 'symbol': 'DEGG', 'royalty': 420, 'category': 'image', 'files': [{'uri': 'https://arweave.net/cAQmjI2SMg1tNJOWE6sPOvoQ5KmFqHO9TjxKUpFYibI?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'share': 0}]}",1,daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g,0,{},False,,{},HS2eL9WJbh7pA4i4veK3YDwhGLRjY3uKryvG1NbHRprj,"{'auctionHouse': {'auctionHouseKey': 'DEGEN3pHdRWgdPsp4PyKT8jmi2arvnpqJpkYiibHfQzA', 'requiresSignOff': False}}"
2,CiVvontBQvysfYx3dgGUEiynGtafAfkeMPMueo4MdU51,81.69,aDJGMViLzgXdTW5GrqsKhn3TxvgUr1M4pEvahEv1u2k,Ej3Qz7NBHfvcjGp7kRMp8F3EPJdYdpBGHPSJkSGVapzi,degenerate_ape_kindergarten,Degenerate Ape Kindergarten,https://arweave.net/5maej67ChiQ1EFR7UYy6P3d3hxkqvLVHznB15eUUhW8?ext=png,Degen Egg #2382,I took part in the bathroom gang bang and all I got was this egg. What the fuck is inside this thing?,https://degenape.academy,image,"[{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'verified': 0, 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 0, 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'verified': 1, 'share': 0}]",420,DeUGd3FhPvwbZfbMSiYqUK8D6gv9x9PXkBQtXaT2XZP7,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Egg Color', 'value': 'Brown V2'}, {'trait_type': 'Mouth', 'value': 'Mouth V1'}, {'trait_type': 'Nose', 'value': 'Nose V4'}, {'trait_type': 'Eyes', 'value': 'Eyes V3'}, {'trait_type': 'Skin Type', 'value': 'Regular'}, {'trait_type': 'sequence', 'value': 2382}, {'trait_type': 'generation', 'value': 1}]","{'collection': 'Degeniverse Eggs', 'symbol': 'DEGG', 'royalty': 420, 'category': 'image', 'files': [{'uri': 'https://arweave.net/5maej67ChiQ1EFR7UYy6P3d3hxkqvLVHznB15eUUhW8?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'share': 0}]}",1,daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
3,GCvq3QDy2kV18sqL5zZwFsMUzb2wFQNzTmRmttJZ2vXM,82.0,DeeqitBRgWdRe1B8zbcExzwJu5TBMWjBgRSFcoXenowC,81NSH69qpzXPZhJTbx6d9uWEy4UiRcST1uZg8M82aEhK,degenerate_ape_kindergarten,Degenerate Ape Kindergarten,https://arweave.net/v9HNPLYJUlofGMkdBifSl612leb1e_QMcBMQp6LJ-t4?ext=png,Degen Egg #219,I took part in the bathroom gang bang and all I got was this egg. What the fuck is inside this thing?,https://degenape.academy,image,"[{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'verified': 0, 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 0, 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'verified': 1, 'share': 0}]",420,7nfCdxYHQE9SfaUuo5XZwStUbFENLvBroY3kwJyPBYqm,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Egg Color', 'value': 'Green V2'}, {'trait_type': 'Mouth', 'value': 'Mouth V1'}, {'trait_type': 'Nose', 'value': 'Nose V1'}, {'trait_type': 'Eyes', 'value': 'Eyes V2'}, {'trait_type': 'Skin Type', 'value': 'Regular'}, {'trait_type': 'sequence', 'value': 219}, {'trait_type': 'generation', 'value': 1}]","{'collection': 'Degeniverse Eggs', 'symbol': 'DEGG', 'royalty': 420, 'category': 'image', 'files': [{'uri': 'https://arweave.net/v9HNPLYJUlofGMkdBifSl612leb1e_QMcBMQp6LJ-t4?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'share': 0}]}",1,daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
4,4DDpjjpd4LKq3XHvGD9YWAMhE95fMQmbjkAMUXJyp3F2,84.0,B5GaYjGPjp8X1HerDTEFgftCbimfQEGHZvV1euF6PYsn,7TiqvXAAwFE1xzbLoLpaag2v1Y4YMyRboaYAw4K7Yhpu,degenerate_ape_kindergarten,Degenerate Ape Kindergarten,https://arweave.net/-r_LNZycCcyTUD4PNe6oql5lvlAOSD5JeCZA_OfvAUs?ext=png,Degen Egg #551,I took part in the bathroom gang bang and all I got was this egg. What the fuck is inside this thing?,https://degenape.academy,image,"[{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'verified': 0, 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 0, 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'verified': 1, 'share': 0}]",420,2bgfDUePhjH7XwcR6h7dVRZ23rUGn143ZvRtKmCCQsNB,"[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Egg Color', 'value': 'Red V3'}, {'trait_type': 'Mouth', 'value': 'Mouth V3'}, {'trait_type': 'Nose', 'value': 'Nose V2'}, {'trait_type': 'Eyes', 'value': 'Eyes V3'}, {'trait_type': 'Skin Type', 'value': 'Regular'}, {'trait_type': 'sequence', 'value': 551}, {'trait_type': 'generation', 'value': 1}]","{'collection': 'Degeniverse Eggs', 'symbol': 'DEGG', 'royalty': 420, 'category': 'image', 'files': [{'uri': 'https://arweave.net/-r_LNZycCcyTUD4PNe6oql5lvlAOSD5JeCZA_OfvAUs?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'share': 0}]}",1,daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
5,F67PYihRRRHtMKRUpWqVTBqqCiVpvXwmcY1GfF9iL3d8,85.0,7xTQkQQF4P6ZmoBTdSpMrvJcwYUwUKZUYbYSDE3x7DMT,5aMp16WZCoNuLgzXpAGryErM75cBoysg2UV6HMFaLpiQ,degenerate_ape_kindergarten,Degenerate Ape Kindergarten,https://arweave.net/diLqxlQzhHtF_-mIse6zZn6r6lrazGku1t6nWacchWE?ext=png,Degen Egg #400,I took part in the bathroom gang bang and all I got was this egg. What the fuck is inside this thing?,https://degenape.academy,image,"[{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'verified': 0, 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 0, 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'verified': 1, 'share': 0}]",420,A2Vrr11t6XYC4kLa5yN9un6PEsvVTdXNS7TYtuYbc2YB,"[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Egg Color', 'value': 'Red V1'}, {'trait_type': 'Mouth', 'value': 'Mouth V6'}, {'trait_type': 'Nose', 'value': 'Nose V2'}, {'trait_type': 'Eyes', 'value': 'Eyes V3'}, {'trait_type': 'Skin Type', 'value': 'Regular'}, {'trait_type': 'sequence', 'value': 400}, {'trait_type': 'generation', 'value': 1}]","{'collection': 'Degeniverse Eggs', 'symbol': 'DEGG', 'royalty': 420, 'category': 'image', 'files': [{'uri': 'https://arweave.net/diLqxlQzhHtF_-mIse6zZn6r6lrazGku1t6nWacchWE?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'share': 0}]}",1,daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
6,G1uzRYpkUSGdfDs4bjrHir6BHZ83nzNT6X82kEZ1ghx8,85.0,5qJQnhvU1qaypXhbudLAsQC6vF47Ewsi6okuB2tYubuz,BNoKfJ3VV9YFtMNyTpBkwbBbRehPozt18Ei9pGruGeoR,degenerate_ape_kindergarten,Degenerate Ape Kindergarten,https://arweave.net/ax8nQ4Gz4Xs3_zjzX5xWKjgjBEa3PuT4JH09F-j2SPc?ext=png,Degen Egg #569,I took part in the bathroom gang bang and all I got was this egg. What the fuck is inside this thing?,https://degenape.academy,image,"[{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'verified': 0, 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 0, 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'verified': 1, 'share': 0}]",420,7bXk16D43Sr4ovjUxxxAWeqoucHWmr5GzX8iVfQPennm,"[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Egg Color', 'value': 'Red V3'}, {'trait_type': 'Mouth', 'value': 'Mouth V4'}, {'trait_type': 'Nose', 'value': 'Nose V5'}, {'trait_type': 'Eyes', 'value': 'Eyes V4'}, {'trait_type': 'Skin Type', 'value': 'Regular'}, {'trait_type': 'sequence', 'value': 569}, {'trait_type': 'generation', 'value': 1}]","{'collection': 'Degeniverse Eggs', 'symbol': 'DEGG', 'royalty': 420, 'category': 'image', 'files': [{'uri': 'https://arweave.net/ax8nQ4Gz4Xs3_zjzX5xWKjgjBEa3PuT4JH09F-j2SPc?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'share': 0}]}",1,daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
7,9N6wkudGkPUoEsASfvjWUxCzYRzzWMuaQEmkymocnYnz,86.0,7Mr9av4XJaUy2ZcYXEYZK4vCk8etU3bvpvrM32vESs7T,8XPehFjtxY1hbXdD1S5tyACQ4HfWw6nNSU5GTapkHUaV,degenerate_ape_kindergarten,Degenerate Ape Kindergarten,https://arweave.net/8n_YZLtoB-6oqbrGbwZpKX1JTdzWQGUmwfvqLIGO1wA?ext=png,Degen Egg #1259,I took part in the bathroom gang bang and all I got was this egg. What the fuck is inside this thing?,https://degenape.academy,image,"[{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'verified': 0, 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 0, 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'verified': 1, 'share': 0}]",420,3yAppHUyTLtYuoQUX7ecdG1jqyuchkSxCeKoLRMagnqd,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Egg Color', 'value': 'Blue V3'}, {'trait_type': 'Mouth', 'value': 'Mouth V5'}, {'trait_type': 'Nose', 'value': 'Nose V3'}, {'trait_type': 'Eyes', 'value': 'Eyes V3'}, {'trait_type': 'Skin Type', 'value': 'Regular'}, {'trait_type': 'sequence', 'value': 1259}, {'trait_type': 'generation', 'value': 1}]","{'collection': 'Degeniverse Eggs', 'symbol': 'DEGG', 'royalty': 420, 'category': 'image', 'files': [{'uri': 'https://arweave.net/8n_YZLtoB-6oqbrGbwZpKX1JTdzWQGUmwfvqLIGO1wA?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'share': 0}]}",1,daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
8,347d1kannQFWEfLZeqWLfedM9PLJFYeNtpesctsHcx8J,88.0,EK9kkhnvMbpRz2mffe6wxe3zs3H2T8rEw4PG9nU99Ruh,L7WUW7E1keYtmVXtT8iaTt3n8fTJyc6WqVR3rpufoaW,degenerate_ape_kindergarten,Degenerate Ape Kindergarten,https://arweave.net/V1i2tbwy7_Wns91NYtbFm7AZ447wo3B2Pb3TJozdGK8?ext=png,Degen Egg #2339,I took part in the bathroom gang bang and all I got was this egg. What the fuck is inside this thing?,https://degenape.academy,image,"[{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'verified': 0, 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 0, 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'verified': 1, 'share': 0}]",420,A6ojvgp4M1AjnWH5J99F1PS7L2e9ESyjC7DfPNEKsaZD,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Egg Color', 'value': 'Brown V2'}, {'trait_type': 'Mouth', 'value': 'Mouth V4'}, {'trait_type': 'Nose', 'value': 'Nose V1'}, {'trait_type': 'Eyes', 'value': 'Eyes V4'}, {'trait_type': 'Skin Type', 'value': 'Regular'}, {'trait_type': 'sequence', 'value': 2339}, {'trait_type': 'generation', 'value': 1}]","{'collection': 'Degeniverse Eggs', 'symbol': 'DEGG', 'royalty': 420, 'category': 'image', 'files': [{'uri': 'https://arweave.net/V1i2tbwy7_Wns91NYtbFm7AZ447wo3B2Pb3TJozdGK8?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'share': 0}]}",1,daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g,0,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
9,HTmDXPQTizWJWa984B7TKJuGNM2VytSWvjfuzFdZsY8T,89.69,AUKB7crrc3UxCe1MFQZr4WMXHyY3JAYAAQDVJUN82Mtv,ChejcUMQBJKpG7NftaNhyZ6VBfzCiUZ6nN1FHuUqGNJi,degenerate_ape_kindergarten,Degenerate Ape Kindergarten,https://arweave.net/FtIOPd0Z_hQzaC_GFzTmM7E3ZRhH8N0CyxZxc9EAEmk?ext=png,Degen Egg #2139,I took part in the bathroom gang bang and all I got was this egg. What the fuck is inside this thing?,https://degenape.academy,image,"[{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'verified': 0, 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'verified': 0, 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'verified': 0, 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'verified': 1, 'share': 0}]",420,5nKPJULdeKwbxgErjYfyBd6tMiYcHFRb2JRAFXskt5F5,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Egg Color', 'value': 'Blue V3'}, {'trait_type': 'Mouth', 'value': 'Mouth V6'}, {'trait_type': 'Nose', 'value': 'Nose V5'}, {'trait_type': 'Eyes', 'value': 'Eyes V1'}, {'trait_type': 'Skin Type', 'value': 'Regular'}, {'trait_type': 'sequence', 'value': 2139}, {'trait_type': 'generation', 'value': 1}]","{'collection': 'Degeniverse Eggs', 'symbol': 'DEGG', 'royalty': 420, 'category': 'image', 'files': [{'uri': 'https://arweave.net/FtIOPd0Z_hQzaC_GFzTmM7E3ZRhH8N0CyxZxc9EAEmk?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'AMomyD8PjPLDgxfjh12SGyFXVS6UrNKjdXrwC444dnbe', 'share': 100}, {'address': '9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L', 'share': 0}, {'address': 'DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX', 'share': 0}, {'address': 'daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g', 'share': 0}]}",1,daaLrDfvcT4joui5axwR2gCkGAroruJFzyVsacU926g,0,{},False,,{},HS2eL9WJbh7pA4i4veK3YDwhGLRjY3uKryvG1NbHRprj,"{'auctionHouse': {'auctionHouseKey': 'DEGEN3pHdRWgdPsp4PyKT8jmi2arvnpqJpkYiibHfQzA', 'requiresSignOff': False}}"
