,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,HP1igg2SLpDwz4A2wuAP3RUpY2ETNx95NBb4xXFY8nub,7.73,DdSczaygVZ3CdtMaw9mPu8aiEi12JAW1gtTQAg3C6mQY,5agdtUJfkaK8AGDVDrBJd6Tuo4cKbKM2rVwM3yArpZYc,degenerate_trash_pandas,Degenerate Trash Pandas,https://www.arweave.net/Xg15vwuVEucYyYYpfmc5qMoARi0hCLudPSxfECm0c8c?ext=png,Degen Trash Panda #4236,"Inhabiting their own underworld society, the Degenerate Trash Pandas are governed by no individuals and live by no rules. What they have is their trash, and their trash is their treasure. They’ll do whatever they can to get their dirty little paws on it.",image,"[{'address': 'CLErvyrMpi66RAxNV2wveSi25NxHb8G383MSVuGDgZzp', 'verified': 1, 'share': 0}, {'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'verified': 0, 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'verified': 0, 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'verified': 0, 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'verified': 0, 'share': 26}]",420,4sbiVTwEznMPep9hnPjBop1h2FGdyUfcJHLPAo9tjYt4,"[{'trait_type': 'BACKGROUND', 'value': 'Green'}, {'trait_type': 'FUR', 'value': 'Green - Smirk'}, {'trait_type': 'HEAD', 'value': 'Plunger'}, {'trait_type': 'GLASSES', 'value': 'Designer Glasses'}, {'trait_type': 'MOUTH', 'value': 'No Traits'}, {'trait_type': 'BODY', 'value': 'Leather Jacket'}, {'trait_type': '❤️', 'value': 5}]","{'files': [{'uri': 'https://www.arweave.net/Xg15vwuVEucYyYYpfmc5qMoARi0hCLudPSxfECm0c8c?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'share': 26}]}",1,trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
1,4p3FjbxJXHPaa42PPo3iYTxmjVESLq666JkyXJYd2mok,7.88,ACLMwELow6CdJ71X73ZZbhHexJYvqC9AEok73u2L9F2C,4iP5rgFYA1o5MAW8GNzTbKdhD17skDJD6Tk2BddZ9pvi,degenerate_trash_pandas,Degenerate Trash Pandas,https://www.arweave.net/jXaH6xE231CIt7VZbyrtlPoqYP8Dqcu1PGtGPUg1C0M?ext=png,Degen Trash Panda #9509,"Inhabiting their own underworld society, the Degenerate Trash Pandas are governed by no individuals and live by no rules. What they have is their trash, and their trash is their treasure. They’ll do whatever they can to get their dirty little paws on it.",image,"[{'address': 'CLErvyrMpi66RAxNV2wveSi25NxHb8G383MSVuGDgZzp', 'verified': 1, 'share': 0}, {'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'verified': 0, 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'verified': 0, 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'verified': 0, 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'verified': 0, 'share': 26}]",420,7YX1bGGVKqRCuhSSXTAzLjpY7VUbowrrPh7MEFfMLK23,"[{'trait_type': 'BODY', 'value': 'Fishing Vest'}, {'trait_type': 'FUR', 'value': 'Black - Grin'}, {'trait_type': 'GLASSES', 'value': 'No Traits'}, {'trait_type': 'HEAD', 'value': 'Lampshade'}, {'trait_type': 'BACKGROUND', 'value': 'Black'}, {'trait_type': 'MOUTH', 'value': 'No Traits'}, {'trait_type': '❤️', 'value': 5}]","{'files': [{'uri': 'https://www.arweave.net/jXaH6xE231CIt7VZbyrtlPoqYP8Dqcu1PGtGPUg1C0M?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'share': 26}]}",1,trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
2,DLh4hNDcxqEkgDnB3RpHUYthqBN6QRNZRW3byVUT62tq,7.95,4wdqGXjhPV8nXHEkSipEQPhHHfZbh7KnLnSmT5ujAbqg,3mXuAWSt7LzfUZ1zPp3CFJtT4tsMQTUbmG9kWcVV9PfW,degenerate_trash_pandas,Degenerate Trash Pandas,https://www.arweave.net/y4fZH9lwiLn6grChueza0yjFr_ZN1InmrleCnnsnNXc?ext=png,Degen Trash Panda #17503,"Inhabiting their own underworld society, the Degenerate Trash Pandas are governed by no individuals and live by no rules. What they have is their trash, and their trash is their treasure. They’ll do whatever they can to get their dirty little paws on it.",image,"[{'address': 'HHGsTSzwPpYMYDGgUqssgAsMZMsYbshgrhMge8Ypgsjx', 'verified': 1, 'share': 0}, {'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'verified': 0, 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'verified': 0, 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'verified': 0, 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'verified': 0, 'share': 26}]",420,sM1duodRSZXytZSsCovHXxEwfvYQpLzUztnUFRyr6cU,"[{'trait_type': 'BACKGROUND', 'value': 'Purple'}, {'trait_type': 'MOUTH', 'value': 'Rat Tail - Smirk'}, {'trait_type': 'BODY', 'value': 'Denim Vest'}, {'trait_type': 'GLASSES', 'value': 'No Traits'}, {'trait_type': 'HEAD', 'value': 'No Traits'}, {'trait_type': 'FUR', 'value': 'Purple - Smirk'}]","{'files': [{'uri': 'https://www.arweave.net/y4fZH9lwiLn6grChueza0yjFr_ZN1InmrleCnnsnNXc?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'share': 26}]}",1,trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
3,8UHb373uab9QbpHg3oxT4nskFkFvn5dyChAeivJxCYha,7.99,5FGDrsXiLxP8D3YvwY1ZVmsYjZvtMbB5RtqKR31kvoN9,B9YMH8g2QXnC3UVHRfjma7usuDTWCk53HKV7L9CL3GE4,degenerate_trash_pandas,Degenerate Trash Pandas,https://www.arweave.net/IUrDYlSZGVsgMRpYmVkGfP5YGmfHTym3p91CAA7EvLE?ext=png,Degen Trash Panda #11434,"Inhabiting their own underworld society, the Degenerate Trash Pandas are governed by no individuals and live by no rules. What they have is their trash, and their trash is their treasure. They’ll do whatever they can to get their dirty little paws on it.",image,"[{'address': 'CLErvyrMpi66RAxNV2wveSi25NxHb8G383MSVuGDgZzp', 'verified': 1, 'share': 0}, {'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'verified': 0, 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'verified': 0, 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'verified': 0, 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'verified': 0, 'share': 26}]",420,BC48dN8dSu2iN6sMyAks6JvAnF21R97zdQmx9TERvKu8,"[{'trait_type': 'BODY', 'value': 'No Traits'}, {'trait_type': 'BACKGROUND', 'value': 'Blue'}, {'trait_type': 'FUR', 'value': 'Blue - Grin'}, {'trait_type': 'HEAD', 'value': 'Paint Can'}, {'trait_type': 'GLASSES', 'value': 'No Traits'}, {'trait_type': 'MOUTH', 'value': 'Smashed Bottle - Grin'}, {'trait_type': '❤️', 'value': 3}]","{'files': [{'uri': 'https://www.arweave.net/IUrDYlSZGVsgMRpYmVkGfP5YGmfHTym3p91CAA7EvLE?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'share': 26}]}",1,trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
4,5Qb3NYWvfh4oJnPmsNLgUJESHBH9MQjTcBoYPnDi9R5q,7.99,CEwQvHQBaBungz6t3PaZ9R8NCcsYo6AKa1xLMx2ozmke,4iP5rgFYA1o5MAW8GNzTbKdhD17skDJD6Tk2BddZ9pvi,degenerate_trash_pandas,Degenerate Trash Pandas,https://www.arweave.net/AbxyVFHj4aKMvRUmEgpGGKwNcfYFXn3s-VegcZlPwfc?ext=png,Degen Trash Panda #3504,"Inhabiting their own underworld society, the Degenerate Trash Pandas are governed by no individuals and live by no rules. What they have is their trash, and their trash is their treasure. They’ll do whatever they can to get their dirty little paws on it.",image,"[{'address': 'CLErvyrMpi66RAxNV2wveSi25NxHb8G383MSVuGDgZzp', 'verified': 1, 'share': 0}, {'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'verified': 0, 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'verified': 0, 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'verified': 0, 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'verified': 0, 'share': 26}]",420,5PuYhM11cZka8X8RDkgQrE38XL89vRTMv8VGfET8qQRs,"[{'trait_type': 'BODY', 'value': 'T-Shirt'}, {'trait_type': 'MOUTH', 'value': 'Bone - Grin'}, {'trait_type': 'GLASSES', 'value': 'No Traits'}, {'trait_type': 'HEAD', 'value': 'Pandos'}, {'trait_type': 'BACKGROUND', 'value': 'Red'}, {'trait_type': 'FUR', 'value': 'Red - Grin'}, {'trait_type': '❤️', 'value': 2}]","{'files': [{'uri': 'https://www.arweave.net/AbxyVFHj4aKMvRUmEgpGGKwNcfYFXn3s-VegcZlPwfc?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'share': 26}]}",1,trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
5,7mnqzPEKgnBNZNTKXZ2y75Vnvu96ZKrX3fSLiHbgRu6D,8.0,3rNSieXi43WgX3AzZGpmD8nSxrw5cRvR6EtJ7Ng8WRVf,DXzUeUcv9YVgqjy2yRBRH8kDGM5Q3fHyrDy7e9dTo14x,degenerate_trash_pandas,Degenerate Trash Pandas,https://www.arweave.net/LqPfHi6sTIPoBh672ZCfOKpbXsSSFa4jlBzzepK3R5M?ext=png,Degen Trash Panda #10047,"Inhabiting their own underworld society, the Degenerate Trash Pandas are governed by no individuals and live by no rules. What they have is their trash, and their trash is their treasure. They’ll do whatever they can to get their dirty little paws on it.",image,"[{'address': 'CLErvyrMpi66RAxNV2wveSi25NxHb8G383MSVuGDgZzp', 'verified': 1, 'share': 0}, {'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'verified': 0, 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'verified': 0, 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'verified': 0, 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'verified': 0, 'share': 26}]",420,5YvKpYcSQg4uNZuA8EdFPacQpRDLmwzLEMeJEyqtwh3i,"[{'trait_type': 'HEAD', 'value': 'Pandos'}, {'trait_type': 'GLASSES', 'value': 'Designer Glasses'}, {'trait_type': 'MOUTH', 'value': 'Rat Tail - Smirk'}, {'trait_type': 'BACKGROUND', 'value': 'Purple'}, {'trait_type': 'BODY', 'value': 'Denim Vest'}, {'trait_type': 'FUR', 'value': 'Scarred Purple - Smirk'}, {'trait_type': '❤️', 'value': 3}]","{'files': [{'uri': 'https://www.arweave.net/LqPfHi6sTIPoBh672ZCfOKpbXsSSFa4jlBzzepK3R5M?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'share': 26}]}",1,trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
6,HoC9TCUJ7GAH34PB7d86SUieg51rq6Bfv5T5zjD1C6i3,8.0,Cz1RNup7pU6GTnwWZ2oEwk3xhYKQixg65fg5XA1oZAVd,FarKPnnJEjGbEQQZFHdd2o6P3brzpeZ7RQv452PUaYzK,degenerate_trash_pandas,Degenerate Trash Pandas,https://www.arweave.net/cYbMuv4EbPmRUR7i9wBTyxgi3x40NLaspBpbcMJI-IM?ext=png,Degen Trash Panda #14275,"Inhabiting their own underworld society, the Degenerate Trash Pandas are governed by no individuals and live by no rules. What they have is their trash, and their trash is their treasure. They’ll do whatever they can to get their dirty little paws on it.",image,"[{'address': 'HHGsTSzwPpYMYDGgUqssgAsMZMsYbshgrhMge8Ypgsjx', 'verified': 1, 'share': 0}, {'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'verified': 0, 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'verified': 0, 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'verified': 0, 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'verified': 0, 'share': 26}]",420,GFbDdEErjBL7PTupbz6ZJSkjx11612oHWLEehuTc9BDU,"[{'trait_type': 'BODY', 'value': 'Open Shirt'}, {'trait_type': 'HEAD', 'value': 'Plunger'}, {'trait_type': 'GLASSES', 'value': 'Designer Glasses'}, {'trait_type': 'FUR', 'value': 'Red - Smirk'}, {'trait_type': 'BACKGROUND', 'value': 'Red'}, {'trait_type': 'MOUTH', 'value': 'Rat Tail - Smirk'}]","{'files': [{'uri': 'https://www.arweave.net/cYbMuv4EbPmRUR7i9wBTyxgi3x40NLaspBpbcMJI-IM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'share': 26}]}",1,trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
7,8RVbBui6GsFevdiC3E3aZAoV3E9d7HdqKTYyGuPorg3u,8.0,86pzPxPa4UHXKGHZ4CjW5mfhh9yVxnrSCNajWvgraGYL,9agQKHEX1V6JPcntgjM9SK4k5oEMMTecAJg2EAv3L4BU,degenerate_trash_pandas,Degenerate Trash Pandas,https://www.arweave.net/o998r7c37d6Vfo-VhYEacfFIIahgnDtcLDmNsHYCmVc?ext=png,Degen Trash Panda #19265,"Inhabiting their own underworld society, the Degenerate Trash Pandas are governed by no individuals and live by no rules. What they have is their trash, and their trash is their treasure. They’ll do whatever they can to get their dirty little paws on it.",image,"[{'address': 'HHGsTSzwPpYMYDGgUqssgAsMZMsYbshgrhMge8Ypgsjx', 'verified': 1, 'share': 0}, {'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'verified': 0, 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'verified': 0, 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'verified': 0, 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'verified': 0, 'share': 26}]",420,8ifv9Ca6qh4f7f2zSmsk8sAFxBvfUFGUWTRK354EetPg,"[{'trait_type': 'FUR', 'value': 'Red - Smirk'}, {'trait_type': 'BODY', 'value': 'Fishing Vest'}, {'trait_type': 'GLASSES', 'value': 'No Traits'}, {'trait_type': 'BACKGROUND', 'value': 'Red'}, {'trait_type': 'MOUTH', 'value': 'Burnt Spoon - Smirk'}, {'trait_type': 'HEAD', 'value': 'Pirate Hat'}]","{'files': [{'uri': 'https://www.arweave.net/o998r7c37d6Vfo-VhYEacfFIIahgnDtcLDmNsHYCmVc?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'share': 26}]}",1,trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
8,BhqmeyMAXjCByPpfAVPr9439yreMtCjEyNZ7Nc17VrfX,8.0,368CM2WRDaEsNS4bLEAZBt7prdhFycVrmV8XBXCBBCrV,9agQKHEX1V6JPcntgjM9SK4k5oEMMTecAJg2EAv3L4BU,degenerate_trash_pandas,Degenerate Trash Pandas,https://www.arweave.net/hP69ggxvuQnXMIiew9gmmGHsJD-IsbfKu70qw67uhz8?ext=png,Degen Trash Panda #15863,"Inhabiting their own underworld society, the Degenerate Trash Pandas are governed by no individuals and live by no rules. What they have is their trash, and their trash is their treasure. They’ll do whatever they can to get their dirty little paws on it.",image,"[{'address': 'HHGsTSzwPpYMYDGgUqssgAsMZMsYbshgrhMge8Ypgsjx', 'verified': 1, 'share': 0}, {'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'verified': 0, 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'verified': 0, 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'verified': 0, 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'verified': 0, 'share': 26}]",420,iVcfWpTL6yTYYezxX5WdDutVQ4yRuqd99bkiQCeduPn,"[{'trait_type': 'BODY', 'value': 'Mummy'}, {'trait_type': 'GLASSES', 'value': 'No Traits'}, {'trait_type': 'FUR', 'value': 'Scarred Black - Grin'}, {'trait_type': 'HEAD', 'value': 'Cardboard Box'}, {'trait_type': 'MOUTH', 'value': 'Lollipop - Grin'}, {'trait_type': 'BACKGROUND', 'value': 'Purple'}]","{'files': [{'uri': 'https://www.arweave.net/hP69ggxvuQnXMIiew9gmmGHsJD-IsbfKu70qw67uhz8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'share': 26}]}",1,trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
9,AMtdR3t1GHAKGfforUGgvKuw87Jz1rsv13didWFtW1NP,8.0,9r1fGLXxYHFnBW38qv4oWNFjJ9F2DsQX9851XwePTXme,9agQKHEX1V6JPcntgjM9SK4k5oEMMTecAJg2EAv3L4BU,degenerate_trash_pandas,Degenerate Trash Pandas,https://www.arweave.net/yt_Bpo4cF_mY5wHYOBLfUJDzSGPtE7yG1M5RG7gj_Cc?ext=png,Degen Trash Panda #16221,"Inhabiting their own underworld society, the Degenerate Trash Pandas are governed by no individuals and live by no rules. What they have is their trash, and their trash is their treasure. They’ll do whatever they can to get their dirty little paws on it.",image,"[{'address': 'HHGsTSzwPpYMYDGgUqssgAsMZMsYbshgrhMge8Ypgsjx', 'verified': 1, 'share': 0}, {'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'verified': 0, 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'verified': 0, 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'verified': 0, 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'verified': 0, 'share': 26}]",420,A7M3mtSwEwPKKRFNPg4e3CuCTpKdqAQNBxQ5UQDBM4G1,"[{'trait_type': 'MOUTH', 'value': 'Smashed Bottle - Grin'}, {'trait_type': 'HEAD', 'value': 'Beret'}, {'trait_type': 'GLASSES', 'value': 'No Traits'}, {'trait_type': 'BODY', 'value': 'Football Jersey - Blue/White'}, {'trait_type': 'BACKGROUND', 'value': 'Red'}, {'trait_type': 'FUR', 'value': 'Red - Grin'}]","{'files': [{'uri': 'https://www.arweave.net/yt_Bpo4cF_mY5wHYOBLfUJDzSGPtE7yG1M5RG7gj_Cc?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH', 'share': 59}, {'address': '3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr', 'share': 10}, {'address': '8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk', 'share': 5}, {'address': 'ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1', 'share': 26}]}",1,trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
