,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,HP8i7TXcaLLUKhS9dcQJpLJr7XGrYDhWExDDRkHyPikh,0.57,BRSy1nNRGKUy9Cxaf7Bq163WTtD6haCtvm8xh8Z3TddH,2G7hRwpiG6Wcce61JpukGvXj4JyzScfGnje8FLXF4udt,degens,DeGens,https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/2214.png,DeGen #1689,The Same as DeGods...just not as good..... For now.,,image,"[{'address': 'A66yPMwPyrmMfe5xsHxzW5JwXhDaTXRGBeaPg2R7h24L', 'verified': 1, 'share': 0}, {'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'verified': 0, 'share': 100}]",950,997HQbSca5dBAcxif71RY1TVJG19utqoW5hxaaCohhzr,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Body', 'value': 'Curly wurly'}, {'trait_type': 'Tops', 'value': 'Pilot'}, {'trait_type': 'Mouth', 'value': 'Tryhard'}, {'trait_type': 'Head', 'value': 'Scruffy Hair'}, {'trait_type': 'Eyes', 'value': 'Snek'}]","{'files': [{'uri': 'https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/2214.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'share': 100}]}",1,9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
1,CngQrWP27Eg7D1tb5kyQxPaxVjpPsxWck5HcG7hZJ3YQ,0.57,HkURhDTZCT7syjEQhEYRPkodM9rTsGryWKH6X6But5sa,5Us6M97PNgqQqkePksCtVozHr9dKYYpJ1BC2C4UEEp3T,degens,DeGens,https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/73.png,DeGen #1024,The Same as DeGods...just not as good..... For now.,,image,"[{'address': 'A66yPMwPyrmMfe5xsHxzW5JwXhDaTXRGBeaPg2R7h24L', 'verified': 1, 'share': 0}, {'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'verified': 0, 'share': 100}]",950,vSozpFuKRoSDgjSPdy4yaQDHCoWX5M4bbcyooSsnbSy,"[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Body', 'value': 'Pinky Winky'}, {'trait_type': 'Tops', 'value': 'Yellow Hawaiian'}, {'trait_type': 'Mouth', 'value': 'Tryhard'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Green Glow'}]","{'files': [{'uri': 'https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/73.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'share': 100}]}",1,9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
2,ANb5AenR5xZyS2khnvVE4y7GzHuHvjziHSGG7b6fF6vz,0.58,9viDE35NKWPR69wZJsRjLsnsLNibLocpizGGQKmirBPx,813GqzPZpagDcw2oauv1TzAkhAvtnVxLVRZE57HbfBz5,degens,DeGens,https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/349.png,DeGen #2690,The Same as DeGods...just not as good..... For now.,,image,"[{'address': 'A66yPMwPyrmMfe5xsHxzW5JwXhDaTXRGBeaPg2R7h24L', 'verified': 1, 'share': 0}, {'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'verified': 0, 'share': 100}]",950,Fqs86nXMLChrjcjYoCrdgS8CpREmqmgn7o5pVKpXvmV1,"[{'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Body', 'value': 'Marble'}, {'trait_type': 'Tops', 'value': 'Green Tracksuit'}, {'trait_type': 'Mouth', 'value': 'Lick'}, {'trait_type': 'Head', 'value': 'Crazy Scientist'}, {'trait_type': 'Eyes', 'value': 'Marker Glasses'}]","{'files': [{'uri': 'https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/349.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'share': 100}]}",1,9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
3,2gfZj2yiC7977FuJK9jUrjQU83f71STSAqe8NxxPW2vu,0.58,2NQ4pT534fm2YBUHxmHxASspsahRHLzJEKzyASPjrSYT,3gQw6ZdjcLkUsx7Ho1GHQffohcx3GwRjTouLVtSccQxF,degens,DeGens,https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/2692.png,DeGen #2562,The Same as DeGods...just not as good..... For now.,,image,"[{'address': 'A66yPMwPyrmMfe5xsHxzW5JwXhDaTXRGBeaPg2R7h24L', 'verified': 1, 'share': 0}, {'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'verified': 0, 'share': 100}]",950,GgGM4vFqqJ5ij333QP1JamgVTEqpaNuY4327yH1qaJHS,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Body', 'value': 'Cheetah'}, {'trait_type': 'Tops', 'value': 'Green Hawaiian'}, {'trait_type': 'Mouth', 'value': 'Kissy kiss'}, {'trait_type': 'Head', 'value': 'Scruffy Hair'}, {'trait_type': 'Eyes', 'value': 'Hypno Glasses'}]","{'files': [{'uri': 'https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/2692.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'share': 100}]}",1,9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
4,BK1WzAh54Zgaha1QjQoS8PRLhbLnAwY1C7aNdERvkUYt,0.6,6Zk2CGxV255HUFPDVS13YxWFcxJGQJMPFC1Cd3Hhpk5o,GZPYt3GVeZVhgyKdqjrCkWY1AHwKwZTLEa7EePxRGzdV,degens,DeGens,https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/1115.png,DeGen #2198,The Same as DeGods...just not as good..... For now.,,image,"[{'address': 'A66yPMwPyrmMfe5xsHxzW5JwXhDaTXRGBeaPg2R7h24L', 'verified': 1, 'share': 0}, {'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'verified': 0, 'share': 100}]",950,CJZKhwwzREW8C3yUdj8AkxHd1kuRnEZrbxkDv9G3E9f8,"[{'trait_type': 'Background', 'value': 'Matrix'}, {'trait_type': 'Body', 'value': 'Navi'}, {'trait_type': 'Tops', 'value': 'Denim and Shirt'}, {'trait_type': 'Mouth', 'value': 'Lick'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Blue Glow'}]","{'files': [{'uri': 'https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/1115.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'share': 100}]}",1,9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
5,9YrFRrorxTRi35gW7WJvL6Ge1cGHxZB2kQj2MpKSec7M,0.6,9Gq9fNr6nocMAmGAoMSzx9icwuBDqHALBsqJrUgx3JmF,93AGRvU9jLpCXC9sLZbbzUWE5CAxqyrmDC5uErSVbBfP,degens,DeGens,https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/2217.png,DeGen #2949,The Same as DeGods...just not as good..... For now.,,image,"[{'address': 'A66yPMwPyrmMfe5xsHxzW5JwXhDaTXRGBeaPg2R7h24L', 'verified': 1, 'share': 0}, {'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'verified': 0, 'share': 100}]",950,9VKG6y3kgzbnKewHFcnK9GqM6dcfM7Ru4AEFfpibNtHu,"[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Body', 'value': 'Joker'}, {'trait_type': 'Tops', 'value': 'Baby Blue Tracksuit'}, {'trait_type': 'Mouth', 'value': 'Tryhard'}, {'trait_type': 'Head', 'value': 'Ushanka'}, {'trait_type': 'Eyes', 'value': 'Marker Glasses'}]","{'files': [{'uri': 'https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/2217.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'share': 100}]}",1,9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
6,D7B8XVJekhR4yi9KgurLLVN6qp1VGmcSn3T8EN6mpdyf,0.6,4zJ8CACKZaYGHc2SEjVANVgqD7ZVdLyMxPjFTeRPS3B3,81HgkYAkpghJqUQWBTCetwUAH1bPSs3L5KXvQDeJ7ypj,degens,DeGens,https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/334.png,DeGen #318,The Same as DeGods...just not as good..... For now.,,image,"[{'address': 'A66yPMwPyrmMfe5xsHxzW5JwXhDaTXRGBeaPg2R7h24L', 'verified': 1, 'share': 0}, {'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'verified': 0, 'share': 100}]",950,HEc8DazzWgiBTY9en8XyoRQT4rHFVAwpBZfLupnfV2Ux,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Transcendent'}, {'trait_type': 'Tops', 'value': 'Caesar'}, {'trait_type': 'Mouth', 'value': 'Doofus'}, {'trait_type': 'Head', 'value': 'Eboy Hair'}, {'trait_type': 'Eyes', 'value': 'Green Glow'}]","{'files': [{'uri': 'https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/334.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'share': 100}]}",1,9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
7,PM3WbFs8E5d6UXW34JsoQdDYwT3GLsytEkUB1DTHnKL,0.6,9Rt4Nrxrhyz4nZU74QQZq98fvcomjyCRtVDr9wZADpHy,HHxTVABEwiu4iCoN2U4MaH4FKMYvDdr2oe858x4PoKci,degens,DeGens,https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/1634.png,DeGen #519,The Same as DeGods...just not as good..... For now.,,image,"[{'address': 'A66yPMwPyrmMfe5xsHxzW5JwXhDaTXRGBeaPg2R7h24L', 'verified': 1, 'share': 0}, {'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'verified': 0, 'share': 100}]",950,2nCg12TJpxgS4JLFeipHzPMiSHwDBwWu3QKHxU59YUkq,"[{'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Body', 'value': 'Transcendent'}, {'trait_type': 'Tops', 'value': 'Tunic'}, {'trait_type': 'Mouth', 'value': 'Fruit Roll Up'}, {'trait_type': 'Head', 'value': 'Eboy Hair'}, {'trait_type': 'Eyes', 'value': 'Definitely Not a DeGen'}]","{'files': [{'uri': 'https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/1634.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'share': 100}]}",1,9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
8,2t91gbpQhiqXfzDTcBCW88jFdHpqABwWWre1DzX7QMk3,0.61,BFFzTL6iTAjFBTmpxJf4o9TdjdXSoeASYQnzLgZnFzuf,9Y3fieZnNLVDeqMHkqBCQvJwFQC3jtaGjqmELyytEYV8,degens,DeGens,https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/816.png,DeGen #1434,The Same as DeGods...just not as good..... For now.,,image,"[{'address': 'A66yPMwPyrmMfe5xsHxzW5JwXhDaTXRGBeaPg2R7h24L', 'verified': 1, 'share': 0}, {'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'verified': 0, 'share': 100}]",950,HFU5J4uQ6Gg9DUDve49sKTjMhoBFpbNj9XJMR8Jibe1x,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Gold'}, {'trait_type': 'Tops', 'value': 'Green Hawaiian'}, {'trait_type': 'Mouth', 'value': 'Kissy kiss'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Rugrats Frames'}]","{'files': [{'uri': 'https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/816.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'share': 100}]}",1,9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
9,CBnV4qeZRrj98qqDVXv938H3sUbZfFxrJ75JzmdCSsHd,0.62,9vXRm3rJbMhW8U5PPTkuxeZEXmNnFMtnxZMsRTVxhUqS,Ary7qz1YoLPS7BwSZuRKGCoVt2SA7XT8U1oxLUyb9SBT,degens,DeGens,https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/533.png,DeGen #732,The Same as DeGods...just not as good..... For now.,,image,"[{'address': 'A66yPMwPyrmMfe5xsHxzW5JwXhDaTXRGBeaPg2R7h24L', 'verified': 1, 'share': 0}, {'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'verified': 0, 'share': 100}]",950,HUkMhzxTsaNAMcL9QVoAUZ1FUieczLJEpZnzfCGLi4yi,"[{'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Body', 'value': 'Klown'}, {'trait_type': 'Tops', 'value': 'Basic Tee'}, {'trait_type': 'Mouth', 'value': 'Lumberjack'}, {'trait_type': 'Head', 'value': 'Mullet'}, {'trait_type': 'Eyes', 'value': 'Badly Drawn On Glasses'}]","{'files': [{'uri': 'https://testlaunchmynft.mypinata.cloud/ipfs/QmVzn7tV7DkJnFGqBTpuc2PQYBdLAdzCWatNCXfG3TWnWd/533.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T', 'share': 100}]}",1,9reB98gcTTyRNYpMuuTgHMv29RPEpqaJksBRH1Nu2i5T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
