,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,FbLgKsmZv29XR48sSCm6HsV4A83LFwgBy7ZFejTYJbv2,179.95,C3GKUnKXhx2Za556ZLwEk1mmkihhNzoqXofFd8gJVAE8,5xjULdC4pgzNNdoyxrZnaMPUzEKLcKCJjDmVYfaJiYcF,degods,DeGods,https://metadata.degods.com/g/8055.png,DeGod #8056,"10,000 of the most degenerate gods in the universe.",https://degods.com/,image,"[{'address': '9MynErYQ5Qi6obp4YwwdoDmXkZ1hYVtPUqYmJJ3rZ9Kn', 'verified': 1, 'share': 0}, {'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'verified': 1, 'share': 100}]",999,Ef5chfbBnFEzmoGhbCkszJVdxCLw4Es8Vn2PNukao6gZ,"[{'trait_type': 'background', 'value': 'Deep Ocean Blue'}, {'trait_type': 'skin', 'value': 'Turquoise'}, {'trait_type': 'specialty', 'value': 'None'}, {'trait_type': 'clothes', 'value': 'Bloody Beater'}, {'trait_type': 'neck', 'value': 'None'}, {'trait_type': 'head', 'value': 'Prince Hair'}, {'trait_type': 'eyes', 'value': 'Neon Shades'}, {'trait_type': 'mouth', 'value': 'None'}, {'trait_type': 'version', 'value': 'DeGod'}]","{'files': [{'uri': 'https://metadata.degods.com/g/8055.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'share': 100}]}",1,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,1,"{'verified': 1, 'key': '6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr', 'data': {'name': 'DeGods', 'image': 'https://arweave.net/rSfYYA2vmF9RuJY98ipN7O50VI_yB1lsD1bjBv-vEjo', 'description': 'A collection of degenerates, punks, and misfits. Gods of the metaverse & masters of our own universe. DeGods can be converted to DeadGods with DUST.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7772}, 'howrare': {'rank': 7735}}"
1,CfoEp7sRVcv351tWZkCKdSZx8Jek8bzwCAB9rd8sJuCn,179.99,6YnWuzj9MG8aEzXxKBPY2gcxWjUGoX4S3MmJhaTj25tA,AqwcN2rVLNx6Qx4tp4rxgtFPsXMrE7QWRbD72BbeApjb,degods,DeGods,https://metadata.degods.com/g/1577.png,DeGod #1578,"A collection of 10,000 of the most degenerate gods in the universe.",https://degods.com,image,"[{'address': '8RMqBV79p8sb51nMaKMWR94XKjUvD2kuUSAkpEJTmxyx', 'verified': 1, 'share': 0}, {'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'verified': 1, 'share': 100}]",999,9fSEycsJ2yhADSMSTQXAQodC8eNGUtVYqq6bPjk8GceF,"[{'trait_type': 'background', 'value': 'Olive Green'}, {'trait_type': 'skin', 'value': 'Marble'}, {'trait_type': 'specialty', 'value': 'None'}, {'trait_type': 'clothes', 'value': 'Gym Tee'}, {'trait_type': 'neck', 'value': 'None'}, {'trait_type': 'head', 'value': 'DeGod Pro Trucker'}, {'trait_type': 'eyes', 'value': 'None'}, {'trait_type': 'mouth', 'value': 'None'}, {'trait_type': 'version', 'value': 'DeGod'}]","{'files': [{'uri': 'https://metadata.degods.com/g/1577.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'share': 100}]}",1,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,1,"{'verified': 1, 'key': '6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr', 'data': {'name': 'DeGods', 'image': 'https://arweave.net/rSfYYA2vmF9RuJY98ipN7O50VI_yB1lsD1bjBv-vEjo', 'description': 'A collection of degenerates, punks, and misfits. Gods of the metaverse & masters of our own universe. DeGods can be converted to DeadGods with DUST.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 9593}, 'howrare': {'rank': 9969}}"
2,2HtdU3nwyYER7GLMSmrSeYVxnXU1g33yjrE9pe7vtCdU,180.0,4zcPeaeaPpTr2RKk9WyyE3skivCGKkxRb4bSqr5Z3XEU,5xjULdC4pgzNNdoyxrZnaMPUzEKLcKCJjDmVYfaJiYcF,degods,DeGods,https://metadata.degods.com/g/4834.png,DeGod #4835,"10,000 of the most degenerate gods in the universe.",https://degods.com/,image,"[{'address': '9MynErYQ5Qi6obp4YwwdoDmXkZ1hYVtPUqYmJJ3rZ9Kn', 'verified': 1, 'share': 0}, {'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'verified': 1, 'share': 100}]",999,9i6uCwUg3LbZqpVP5WKXPhAjpNoFrHwqYXUHrMMW4L6a,"[{'trait_type': 'background', 'value': 'Brown'}, {'trait_type': 'skin', 'value': 'Solar Spiral'}, {'trait_type': 'specialty', 'value': 'None'}, {'trait_type': 'clothes', 'value': 'Googod Tee'}, {'trait_type': 'neck', 'value': 'Christmas Lights Chain'}, {'trait_type': 'head', 'value': 'Headband'}, {'trait_type': 'eyes', 'value': 'Neon Shades'}, {'trait_type': 'mouth', 'value': 'None'}, {'trait_type': 'version', 'value': 'DeGod'}]","{'files': [{'uri': 'https://metadata.degods.com/g/4834.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'share': 100}]}",1,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,1,"{'verified': 1, 'key': '6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr', 'data': {'name': 'DeGods', 'image': 'https://arweave.net/rSfYYA2vmF9RuJY98ipN7O50VI_yB1lsD1bjBv-vEjo', 'description': 'A collection of degenerates, punks, and misfits. Gods of the metaverse & masters of our own universe. DeGods can be converted to DeadGods with DUST.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5519}, 'howrare': {'rank': 7240}}"
3,G1c6SXVi73BxQfaeQFj6vT44xLsrAn1c64E4oix5F2UL,189.0,2rZd8FeAe6MQF7KnymbHybxZXq3Hw7gvGSGio7H9C4iz,F3YqZ5Q515ohQofRKcRAzoqydQ4Aiw9JM6XQ75JrRHS2,degods,DeGods,https://metadata.degods.com/g/9266.png,DeGod #9267,"10,000 of the most degenerate gods in the universe.",https://degods.com/,image,"[{'address': '9MynErYQ5Qi6obp4YwwdoDmXkZ1hYVtPUqYmJJ3rZ9Kn', 'verified': 1, 'share': 0}, {'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'verified': 1, 'share': 100}]",999,GnubARupkWRmVfeZ4d74LpNLHUK9SDgQ1cSRvwCqhTti,"[{'trait_type': 'background', 'value': 'Purple'}, {'trait_type': 'skin', 'value': 'Marble'}, {'trait_type': 'specialty', 'value': 'None'}, {'trait_type': 'clothes', 'value': 'Tourist Tee'}, {'trait_type': 'neck', 'value': 'None'}, {'trait_type': 'head', 'value': 'Leaf Laurel'}, {'trait_type': 'eyes', 'value': 'Playboy Bunny Glasses'}, {'trait_type': 'mouth', 'value': 'Party Blower'}, {'trait_type': 'version', 'value': 'DeGod'}]","{'files': [{'uri': 'https://metadata.degods.com/g/9266.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'share': 100}]}",1,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,1,"{'verified': 1, 'key': '6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr', 'data': {'name': 'DeGods', 'image': 'https://arweave.net/rSfYYA2vmF9RuJY98ipN7O50VI_yB1lsD1bjBv-vEjo', 'description': 'A collection of degenerates, punks, and misfits. Gods of the metaverse & masters of our own universe. DeGods can be converted to DeadGods with DUST.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5925}, 'howrare': {'rank': 6985}}"
4,5XjPBNwU3Pjyn8RaB8DrQKio71fcfEyFPAxhwfk9Ybwp,190.0,FHndAJeGsNbdqbMqUokkAYVMdSF7jeqZu4x2ZqZzxCTN,A4wZ51JijJaf1deL5sXmEWe5hgU4TUWdupiFPuGkLxJy,degods,DeGods,https://metadata.degods.com/g/8243.png,DeGod #8244,"10,000 of the most degenerate gods in the universe.",https://degods.com/,image,"[{'address': '9MynErYQ5Qi6obp4YwwdoDmXkZ1hYVtPUqYmJJ3rZ9Kn', 'verified': 1, 'share': 0}, {'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'verified': 1, 'share': 100}]",999,8iShwyPS4Kd2xRneP57FQcgu1mKMtG6DjZo6CgWcFmxm,"[{'trait_type': 'background', 'value': 'Deep Ocean Blue'}, {'trait_type': 'skin', 'value': 'X-Ray'}, {'trait_type': 'specialty', 'value': 'None'}, {'trait_type': 'clothes', 'value': 'DeDoctor Coat'}, {'trait_type': 'neck', 'value': 'None'}, {'trait_type': 'head', 'value': 'Leaf Laurel'}, {'trait_type': 'eyes', 'value': 'DeMonacle'}, {'trait_type': 'mouth', 'value': 'None'}, {'trait_type': 'version', 'value': 'DeGod'}]","{'files': [{'uri': 'https://metadata.degods.com/g/8243.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'share': 100}]}",1,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,1,"{'verified': 1, 'key': '6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr', 'data': {'name': 'DeGods', 'image': 'https://arweave.net/rSfYYA2vmF9RuJY98ipN7O50VI_yB1lsD1bjBv-vEjo', 'description': 'A collection of degenerates, punks, and misfits. Gods of the metaverse & masters of our own universe. DeGods can be converted to DeadGods with DUST.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 5818}, 'moonrank': {'rank': 6592}}"
5,HqZpQmsKHz5Y4TFih6pMSmVmx9dqPZRxBG97sspt3emB,190.0,83p1EaGeDGyptQhqenidMx6tTVHkkP4tCekqhcQK64rv,ANUkikZTPfEoBrqtveRAeNkvVqZv335H5Nvspm6u9Ghh,degods,DeGods,https://metadata.degods.com/g/2447.png,DeGod #2448,"A collection of 10,000 of the most degenerate gods in the universe.",https://degods.com,image,"[{'address': '8RMqBV79p8sb51nMaKMWR94XKjUvD2kuUSAkpEJTmxyx', 'verified': 1, 'share': 0}, {'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'verified': 1, 'share': 100}]",999,AvXz8x5ZGDx2Nm2y69jqGExrYjWQsGvyJM9coHn3Ei63,"[{'trait_type': 'background', 'value': 'Brown'}, {'trait_type': 'skin', 'value': 'Marble'}, {'trait_type': 'specialty', 'value': 'None'}, {'trait_type': 'clothes', 'value': 'Bleached Tee'}, {'trait_type': 'neck', 'value': 'Friendship Necklace'}, {'trait_type': 'head', 'value': 'Ushanka'}, {'trait_type': 'eyes', 'value': 'None'}, {'trait_type': 'mouth', 'value': 'None'}, {'trait_type': 'version', 'value': 'DeGod'}]","{'files': [{'uri': 'https://metadata.degods.com/g/2447.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'share': 100}]}",1,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,1,"{'verified': 1, 'key': '6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr', 'data': {'name': 'DeGods', 'image': 'https://arweave.net/rSfYYA2vmF9RuJY98ipN7O50VI_yB1lsD1bjBv-vEjo', 'description': 'A collection of degenerates, punks, and misfits. Gods of the metaverse & masters of our own universe. DeGods can be converted to DeadGods with DUST.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 8099}, 'moonrank': {'rank': 8021}}"
6,GkErP2ZU5RFJmGtDgSpU6fydjmbQsduGDa9uku3gXh5Q,190.0,6A8EzRyc9DRYofUxsfUuEfsg7Vq3vrP9LJ98KWezn3XU,ANUkikZTPfEoBrqtveRAeNkvVqZv335H5Nvspm6u9Ghh,degods,DeGods,https://metadata.degods.com/g/2493.png,DeGod #2494,"A collection of 10,000 of the most degenerate gods in the universe.",https://degods.com,image,"[{'address': '8RMqBV79p8sb51nMaKMWR94XKjUvD2kuUSAkpEJTmxyx', 'verified': 1, 'share': 0}, {'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'verified': 1, 'share': 100}]",999,7GwY1bDUf8sh4B7bzQSKi3YpQiS5y3wnA5xtyLsZLk4t,"[{'trait_type': 'background', 'value': 'Brown'}, {'trait_type': 'skin', 'value': 'Turquoise'}, {'trait_type': 'specialty', 'value': 'Quarterback'}, {'trait_type': 'clothes', 'value': 'Druglord Suit'}, {'trait_type': 'neck', 'value': 'None'}, {'trait_type': 'head', 'value': 'Headband'}, {'trait_type': 'eyes', 'value': 'Playboy Bunny Glasses'}, {'trait_type': 'mouth', 'value': 'None'}, {'trait_type': 'version', 'value': 'DeGod'}]","{'files': [{'uri': 'https://metadata.degods.com/g/2493.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'share': 100}]}",1,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,1,"{'verified': 1, 'key': '6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr', 'data': {'name': 'DeGods', 'image': 'https://arweave.net/rSfYYA2vmF9RuJY98ipN7O50VI_yB1lsD1bjBv-vEjo', 'description': 'A collection of degenerates, punks, and misfits. Gods of the metaverse & masters of our own universe. DeGods can be converted to DeadGods with DUST.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5394}, 'howrare': {'rank': 6033}}"
7,4zZZAq13KpRVL3JKVr16KJKBkCUmuqH6LwWf3nAKYvZ8,190.0,4pohgv25ajQis7NsEptjKuTsKGnt8v3zNBDceM1bTGp1,jEcVYeQ7pcq5VKupiT6wY5giuwFkAuETgrbNMJ8H6qK,degods,DeGods,https://metadata.degods.com/g/5136.png,DeGod #5137,"10,000 of the most degenerate gods in the universe.",https://degods.com/,image,"[{'address': '9MynErYQ5Qi6obp4YwwdoDmXkZ1hYVtPUqYmJJ3rZ9Kn', 'verified': 1, 'share': 0}, {'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'verified': 1, 'share': 100}]",999,Cym3pm9YdzZWswBQKiYeLZwss2BQUBxjHWtarnr4kBfU,"[{'trait_type': 'background', 'value': 'Red'}, {'trait_type': 'skin', 'value': 'Blue Sky'}, {'trait_type': 'specialty', 'value': 'None'}, {'trait_type': 'clothes', 'value': 'Googod Tee'}, {'trait_type': 'neck', 'value': 'Christmas Lights Chain'}, {'trait_type': 'head', 'value': 'Bed Head'}, {'trait_type': 'eyes', 'value': 'None'}, {'trait_type': 'mouth', 'value': 'Vape God'}, {'trait_type': 'version', 'value': 'DeGod'}]","{'files': [{'uri': 'https://metadata.degods.com/g/5136.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'share': 100}]}",1,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,1,"{'verified': 1, 'key': '6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr', 'data': {'name': 'DeGods', 'image': 'https://arweave.net/rSfYYA2vmF9RuJY98ipN7O50VI_yB1lsD1bjBv-vEjo', 'description': 'A collection of degenerates, punks, and misfits. Gods of the metaverse & masters of our own universe. DeGods can be converted to DeadGods with DUST.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 7131}, 'moonrank': {'rank': 4998}}"
8,3kRt5Vx7V6Rhr1ipUfCmN4GfM1ZFzpYRJdrSGhGj7xwf,193.33,5Ms7NumvDCsokc7d4wTRz7DhtFSFgbyz3m3Z9Ki4561m,94AUJ1YTfUjmWYJTcxLUuLGyYv6B6iEShxjbTXXCGRN5,degods,DeGods,https://metadata.degods.com/g/7819.png,DeGod #7820,"10,000 of the most degenerate gods in the universe.",https://degods.com/,image,"[{'address': '9MynErYQ5Qi6obp4YwwdoDmXkZ1hYVtPUqYmJJ3rZ9Kn', 'verified': 1, 'share': 0}, {'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'verified': 1, 'share': 100}]",999,HSkT9GMSi3Az5m4EH44m5kVmTbCfrhg3z8CUFvoYpCBr,"[{'trait_type': 'background', 'value': 'Brown'}, {'trait_type': 'skin', 'value': 'Leopard'}, {'trait_type': 'specialty', 'value': 'Earring'}, {'trait_type': 'clothes', 'value': 'None'}, {'trait_type': 'neck', 'value': 'None'}, {'trait_type': 'head', 'value': 'Skull Mask'}, {'trait_type': 'eyes', 'value': 'Swirly Glasses'}, {'trait_type': 'mouth', 'value': 'Santa Beard'}, {'trait_type': 'version', 'value': 'DeGod'}]","{'files': [{'uri': 'https://metadata.degods.com/g/7819.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'share': 100}]}",1,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,1,"{'verified': 1, 'key': '6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr', 'data': {'name': 'DeGods', 'image': 'https://arweave.net/rSfYYA2vmF9RuJY98ipN7O50VI_yB1lsD1bjBv-vEjo', 'description': 'A collection of degenerates, punks, and misfits. Gods of the metaverse & masters of our own universe. DeGods can be converted to DeadGods with DUST.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2118}, 'howrare': {'rank': 4398}}"
9,BDKyuCXAkXMUNtd5fUwYQJg3cYipXa6kKr4mD3myHnGq,193.33,Hg2fccyepHpReeqTuxWLx9p21mGHjXjojJiZRqntD3F6,9t5Tp3AM2JEEcLBRAg7CoRu57u8i6AmogjES1YQ9e1eh,degods,DeGods,https://metadata.degods.com/g/9621.png,DeGod #9622,"10,000 of the most degenerate gods in the universe.",https://degods.com/,image,"[{'address': '9MynErYQ5Qi6obp4YwwdoDmXkZ1hYVtPUqYmJJ3rZ9Kn', 'verified': 1, 'share': 0}, {'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'verified': 1, 'share': 100}]",999,J7A2qRd3gF7QbAmy2f8d71pSESYZ9ccQpEcz32qAT4X6,"[{'trait_type': 'background', 'value': 'Deep Ocean Blue'}, {'trait_type': 'skin', 'value': 'Zebra'}, {'trait_type': 'specialty', 'value': 'Archer'}, {'trait_type': 'clothes', 'value': 'Steve Jobs Turtleneck'}, {'trait_type': 'neck', 'value': 'None'}, {'trait_type': 'head', 'value': 'God Dome'}, {'trait_type': 'eyes', 'value': 'None'}, {'trait_type': 'mouth', 'value': 'Cigarette'}, {'trait_type': 'version', 'value': 'DeGod'}]","{'files': [{'uri': 'https://metadata.degods.com/g/9621.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn', 'share': 100}]}",1,AxFuniPo7RaDgPH6Gizf4GZmLQFc4M5ipckeeZfkrPNn,1,"{'verified': 1, 'key': '6XxjKYFbcndh2gDcsUrmZgVEsoDxXMnfsaGY6fpTJzNr', 'data': {'name': 'DeGods', 'image': 'https://arweave.net/rSfYYA2vmF9RuJY98ipN7O50VI_yB1lsD1bjBv-vEjo', 'description': 'A collection of degenerates, punks, and misfits. Gods of the metaverse & masters of our own universe. DeGods can be converted to DeadGods with DUST.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 7218}, 'moonrank': {'rank': 5308}}"
