,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,animationURL,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,2qEXD6R4haVD4QFAHenGGekcmFr7Fq7q8dSUHXtkeiKD,12.2468,2mZd4Cj3sD8WfG6pNzKBDPkx4CCyA4rftyykERpjQ7eJ,2eVrWMM8Gt5y7ZEJpvckjqBNQGm8jwPWQPG9cdvcdGPY,desolates_metaverse,Desolates Metaverse,https://www.arweave.net/jZQvTW8lXgj44aj5NXq6ziC5LklvnmiOBg6-MoKZNQE?ext=png,DESOLATEs #0910,6666 generative header NFTs representing each of the to-be-conquered planets in Alpha Centauri,,,image,"[{'address': 'D79jnG7CqnsqRovCe7QfJPcqd3PtdGEDj12tWWptnqrt', 'verified': 1, 'share': 0}, {'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'verified': 0, 'share': 100}]",500,AYsR1MPDJep7ppU3AojVbvpRitNWKr65wreJN8wGNvB,"[{'trait_type': 'sun_size', 'value': 's'}, {'trait_type': 'sun_pos', 'value': 'center'}, {'trait_type': 'terrain', 'value': 'desert'}, {'trait_type': 'palette', 'value': 'ianvanks'}, {'trait_type': 'coords', 'value': '<x:-204.5886015695295, y:-319.9118287487353, z:-419.6306536151591>'}, {'trait_type': 'random_seed', 'value': 79}, {'trait_type': 'rings', 'value': 0}, {'trait_type': 'star_intensity', 'value': 'high'}, {'trait_type': 'moons', 'value': 1}, {'trait_type': 'weather', 'value': 'none'}, {'trait_type': 'wormholes', 'value': '680,1206,28'}, {'trait_type': 'gravity', 'value': 'normal'}]","{'files': [{'uri': 'https://www.arweave.net/jZQvTW8lXgj44aj5NXq6ziC5LklvnmiOBg6-MoKZNQE?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'share': 100}]}",1,5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 4408}}
1,Co7tjY5pxqdQ32eNqqpErgvCWcvYFmztebLYa1N7ASbh,7.0,6wy1AMjcX2A5cWxZCqGVG8S4KCw4uuPAiNuhwsvSQo1v,CQwzy6argnjkMkbvxmS3EVc7efchbGGs5p5SKvMzwcgL,desolates_metaverse,Desolates Metaverse,https://www.arweave.net/BIjWn3bI07vX1rwgBDtXAAqgzLjnpSK-zDH4eUTnVLE?ext=png,DESOLATEs #0566,6666 generative header NFTs representing each of the to-be-conquered planets in Alpha Centauri,,,image,"[{'address': 'D79jnG7CqnsqRovCe7QfJPcqd3PtdGEDj12tWWptnqrt', 'verified': 1, 'share': 0}, {'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'verified': 0, 'share': 100}]",500,EqhvtjGQKUALByTs9bP5Dotzv5ZmC3fx2dnHsyfZLhc1,"[{'trait_type': 'sun_size', 'value': 's'}, {'trait_type': 'sun_pos', 'value': 'left'}, {'trait_type': 'terrain', 'value': 'sharp'}, {'trait_type': 'palette', 'value': 'readydesolateone'}, {'trait_type': 'coords', 'value': '<x:-183.43548614136523, y:601.8393792856189, z:670.3046413636735>'}, {'trait_type': 'random_seed', 'value': 6}, {'trait_type': 'rings', 'value': 0}, {'trait_type': 'star_intensity', 'value': 'low'}, {'trait_type': 'moons', 'value': 0}, {'trait_type': 'weather', 'value': 'none'}, {'trait_type': 'wormholes', 'value': '379,852'}, {'trait_type': 'gravity', 'value': 'normal'}]","{'files': [{'uri': 'https://www.arweave.net/BIjWn3bI07vX1rwgBDtXAAqgzLjnpSK-zDH4eUTnVLE?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'share': 100}]}",1,5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 4290}}
2,CgonLrQPohG2Jws8zBRtE8Q8ir5ztpKD21QQDPckHwcc,7.0,4Jw4mcJpGwNU8pzhpDE9ALwzoPjrK3jVCr7bvKeJxY5C,5Uzj3RRVA4h9uUh1SMd1FTQZpyn6j6C7zuSERFsbn9a7,desolates_metaverse,Desolates Metaverse,https://www.arweave.net/f81rGF1aAPs7tps4x94pc609gcEWQbcA1pC3vbXxgzs?ext=png,DESOLATEs #2252,6666 generative header NFTs representing each of the to-be-conquered planets in Alpha Centauri,,,image,"[{'address': 'CyidfYoTwEY6A8NRdB98toS1TxtDEA6ut6Q4PtmndweT', 'verified': 1, 'share': 0}, {'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'verified': 0, 'share': 100}]",500,CxcPacCzgR8CjyaooySrQdhPMLG12SJCnATCpHQivqcf,"[{'trait_type': 'sun_size', 'value': 's'}, {'trait_type': 'sun_pos', 'value': 'left'}, {'trait_type': 'terrain', 'value': 'cliffs'}, {'trait_type': 'palette', 'value': 'icyknify'}, {'trait_type': 'coords', 'value': '<x:-693.1635950017051, y:-133.3537435842112, z:323.2278534834859>'}, {'trait_type': 'random_seed', 'value': 2}, {'trait_type': 'rings', 'value': 1}, {'trait_type': 'star_intensity', 'value': 'high'}, {'trait_type': 'moons', 'value': 2}, {'trait_type': 'weather', 'value': 'none'}, {'trait_type': 'wormholes', 'value': '4771,3319'}, {'trait_type': 'gravity', 'value': 'normal'}]","{'files': [{'uri': 'https://www.arweave.net/f81rGF1aAPs7tps4x94pc609gcEWQbcA1pC3vbXxgzs?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'share': 100}]}",1,5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 5928}}
3,BDpSEWvvNAoj8K3YipqZgZSbbUbrmiY3XkCENeSn9bWA,7.0,ALkUaQjeWGcYfGZsH9oxdhAk3GvDbw4D1Nwpx2UJKtjo,CQwzy6argnjkMkbvxmS3EVc7efchbGGs5p5SKvMzwcgL,desolates_metaverse,Desolates Metaverse,https://bafybeicsv4kpk7vwurd5ai4auumxhovb5zx7g6sszop45ccvlue24jcsr4.ipfs.dweb.link/143.png,DESOLATEs #6012,6666 generative header NFTs representing each of the to-be-conquered planets in Alpha Centauri,,,image,"[{'address': '2aKKtN1TgnNcELFJoxWwK8LS8uLWyLMUQb9K228DVbpt', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 5}, {'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'verified': 0, 'share': 95}]",690,CVjjRwPn13Bh4NMR3VdjDQoiiXyPuHnN5nW5uqba7LoX,"[{'trait_type': 'sun_size', 'value': 'm'}, {'trait_type': 'sun_pos', 'value': 'center'}, {'trait_type': 'terrain', 'value': 'cliffs'}, {'trait_type': 'palette', 'value': 'panterabursts'}, {'trait_type': 'coords', 'value': '<x:360.5558496660692, y:-554.2149493879984, z:-673.4963069780911>'}, {'trait_type': 'random_seed', 'value': 29}, {'trait_type': 'rings', 'value': 0}, {'trait_type': 'star_intensity', 'value': 'high'}, {'trait_type': 'moons', 'value': 0}, {'trait_type': 'weather', 'value': 'none'}, {'trait_type': 'wormholes', 'value': '161'}, {'trait_type': 'gravity', 'value': 'normal'}]","{'files': [{'uri': 'https://bafybeicsv4kpk7vwurd5ai4auumxhovb5zx7g6sszop45ccvlue24jcsr4.ipfs.dweb.link/143.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'share': 90}]}",1,JAqK8ogY9CxDrsr4vzCuL5joxWLksFhAzH9imCHRNhBQ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 4849}}
4,h8HuMYUuCqdUpqLcvtJjsNauoF322xTULfQ8r5RLrjc,7.0,AxPqxVvQ9gnqQ7W7QTLxcG7K3qVTN4UdswCeThooemUf,CQwzy6argnjkMkbvxmS3EVc7efchbGGs5p5SKvMzwcgL,desolates_metaverse,Desolates Metaverse,https://www.arweave.net/ECADNUc2i8yFRvkQ7YYh5a4O0-yXeBS_0h6PmruegkY?ext=png,DESOLATEs #3310,6666 generative header NFTs representing each of the to-be-conquered planets in Alpha Centauri,,,image,"[{'address': '7tDL7NSVDvZszaFUqEUCeYAkgUxLgqiUQxdP74nUEhYw', 'verified': 1, 'share': 0}, {'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'verified': 0, 'share': 100}]",500,DEvL2iqCRtuaFcTYCu3CXP5K5jvYUraUDeMf4e1pGd9R,"[{'trait_type': 'sun_size', 'value': 'm'}, {'trait_type': 'sun_pos', 'value': 'left'}, {'trait_type': 'terrain', 'value': 'rocky'}, {'trait_type': 'palette', 'value': 'xurk'}, {'trait_type': 'coords', 'value': '<x:570.9575653121931, y:660.582610564886, z:-940.245365495238>'}, {'trait_type': 'random_seed', 'value': 91}, {'trait_type': 'rings', 'value': 0}, {'trait_type': 'star_intensity', 'value': 'high'}, {'trait_type': 'moons', 'value': 1}, {'trait_type': 'weather', 'value': 'none'}, {'trait_type': 'wormholes', 'value': '1054,417'}, {'trait_type': 'gravity', 'value': 'normal'}]","{'files': [{'uri': 'https://www.arweave.net/ECADNUc2i8yFRvkQ7YYh5a4O0-yXeBS_0h6PmruegkY?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'share': 100}]}",1,5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 5150}}
5,HaNhJTF547wXt8VWtAxPMFUWiop3qSrwYJwcQQVtp1Jg,7.0,6twS1K3PX2DXaDbQuAmM7rmzBgen2Xu7LLHVMi6h8UkA,CQwzy6argnjkMkbvxmS3EVc7efchbGGs5p5SKvMzwcgL,desolates_metaverse,Desolates Metaverse,https://www.arweave.net/LM58BRmW0IBL6HjLp9ToDjpbF9A-L2FZGE--XxBTKaI?ext=png,DESOLATEs #3139,6666 generative header NFTs representing each of the to-be-conquered planets in Alpha Centauri,,,image,"[{'address': '7tDL7NSVDvZszaFUqEUCeYAkgUxLgqiUQxdP74nUEhYw', 'verified': 1, 'share': 0}, {'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'verified': 0, 'share': 100}]",500,CibvQ3cspVZv4qdN9tLi1XBNtwAkCDURP8mvtmq9h24B,"[{'trait_type': 'sun_size', 'value': 'l'}, {'trait_type': 'sun_pos', 'value': 'center'}, {'trait_type': 'terrain', 'value': 'rocky'}, {'trait_type': 'palette', 'value': 'venus'}, {'trait_type': 'coords', 'value': '<x:-384.9791612738129, y:953.3244686733422, z:443.182718030208>'}, {'trait_type': 'random_seed', 'value': 48}, {'trait_type': 'rings', 'value': 1}, {'trait_type': 'star_intensity', 'value': 'high'}, {'trait_type': 'moons', 'value': 1}, {'trait_type': 'weather', 'value': 'none'}, {'trait_type': 'wormholes', 'value': '1452'}, {'trait_type': 'gravity', 'value': 'normal'}]","{'files': [{'uri': 'https://www.arweave.net/LM58BRmW0IBL6HjLp9ToDjpbF9A-L2FZGE--XxBTKaI?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'share': 100}]}",1,5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 4838}}
6,3GdsL4dC4L2nWg8HM9UHugNZdt1bkmuGLp24ENPh9xh2,7.0,3SaowTkBNpsMAMTuZuD7b2oXvThpmhz1dQDWGweXe8kz,CQwzy6argnjkMkbvxmS3EVc7efchbGGs5p5SKvMzwcgL,desolates_metaverse,Desolates Metaverse,https://www.arweave.net/-zrKr1EuM3Fsc4K47RuQET-sqsgCfAxdQ141-2cKGP0?ext=png,DESOLATEs #4072,6666 generative header NFTs representing each of the to-be-conquered planets in Alpha Centauri,,,image,"[{'address': '3VG1iTnKCJqf3iSEaUXCHLvpeoomJXKZBiWY4Jd7SNeh', 'verified': 1, 'share': 0}, {'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'verified': 0, 'share': 100}]",690,8wP87bnBQwAtJXFjAWmKiUpWhazkUmycBWgP7yJj7qK2,"[{'trait_type': 'sun_size', 'value': 'l'}, {'trait_type': 'sun_pos', 'value': 'center'}, {'trait_type': 'terrain', 'value': 'hilly'}, {'trait_type': 'palette', 'value': 'tith'}, {'trait_type': 'coords', 'value': '<x:25.344693002138456, y:994.490998219864, z:654.8675742507269>'}, {'trait_type': 'random_seed', 'value': 65}, {'trait_type': 'rings', 'value': 1}, {'trait_type': 'star_intensity', 'value': 'high'}, {'trait_type': 'moons', 'value': 2}, {'trait_type': 'weather', 'value': 'none'}, {'trait_type': 'wormholes', 'value': '1771'}, {'trait_type': 'gravity', 'value': 'normal'}]","{'files': [{'uri': 'https://www.arweave.net/-zrKr1EuM3Fsc4K47RuQET-sqsgCfAxdQ141-2cKGP0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'share': 100}]}",1,5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 4592}}
7,6xH7dT2TvuAo26WJpAGFH6wZK1CjVoxsCXkqnjQiUzR4,7.0,27UeLpdqpF5ojvSXnUgDdyp5UDWAbwkYVhHJyPnu1eGH,92fSCwVm8mVBYc2WKsRXvSwBgHxJ2WPq2ro32DgXZodZ,desolates_metaverse,Desolates Metaverse,https://www.arweave.net/301Tl6bKgSdE_EjQnBN3jFdv-5xr4KoF2CAx8pIYt3o?ext=png,DESOLATEs #5587,6666 generative header NFTs representing each of the to-be-conquered planets in Alpha Centauri,,,image,"[{'address': 'DFaLT9rSzdJ2SGpc3nC1E5p3hnoj4gpUDqT6V5ZX1gcf', 'verified': 1, 'share': 0}, {'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'verified': 0, 'share': 100}]",690,95tShmBGgZfK8HzDLYv2tWETUrecRHFzVJZxHUNzeDxX,"[{'trait_type': 'sun_size', 'value': 'm'}, {'trait_type': 'sun_pos', 'value': 'left'}, {'trait_type': 'terrain', 'value': 'rocky'}, {'trait_type': 'palette', 'value': 'blackwidow'}, {'trait_type': 'coords', 'value': '<x:110.7843031465236, y:410.3464209620572, z:-576.7235639290761>'}, {'trait_type': 'random_seed', 'value': 34}, {'trait_type': 'rings', 'value': 0}, {'trait_type': 'star_intensity', 'value': 'low'}, {'trait_type': 'moons', 'value': 2}, {'trait_type': 'weather', 'value': 'none'}, {'trait_type': 'wormholes', 'value': '1039'}, {'trait_type': 'gravity', 'value': 'normal'}]","{'files': [{'uri': 'https://www.arweave.net/301Tl6bKgSdE_EjQnBN3jFdv-5xr4KoF2CAx8pIYt3o?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'share': 100}]}",1,5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2964}}
8,Ash1nvgd6t7ozKFuACHpQHKukUSmznveNHBaD35HR9WR,7.03,FFxx4BJ83vzMjWSaDi7AGxtXhAH2eoB7S2MjYW2aUPqP,Amqn7K1U5ub15rAqkW4M6mpJkmvhSW4AYNVMhTQDdnmn,desolates_metaverse,Desolates Metaverse,https://www.arweave.net/0Xl1aY5QcL3R_XU84x8esL3Ina6Q56E1VHee5vWzpQ4?ext=png,DESOLATEs #1213,6666 generative header NFTs representing each of the to-be-conquered planets in Alpha Centauri,,,image,"[{'address': 'D79jnG7CqnsqRovCe7QfJPcqd3PtdGEDj12tWWptnqrt', 'verified': 1, 'share': 0}, {'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'verified': 0, 'share': 100}]",500,FkLDue6JVVSJJfUy7sAWstjr8Zb1SAThjVzugxQW9FRf,"[{'trait_type': 'sun_size', 'value': 's'}, {'trait_type': 'sun_pos', 'value': 'center'}, {'trait_type': 'terrain', 'value': 'cliffs'}, {'trait_type': 'palette', 'value': 'nighburn'}, {'trait_type': 'coords', 'value': '<x:-316.2587465931912, y:-879.5094194721389, z:-985.8004215873333>'}, {'trait_type': 'random_seed', 'value': 26}, {'trait_type': 'rings', 'value': 0}, {'trait_type': 'star_intensity', 'value': 'high'}, {'trait_type': 'moons', 'value': 1}, {'trait_type': 'weather', 'value': 'none'}, {'trait_type': 'wormholes', 'value': '3235,1396'}, {'trait_type': 'gravity', 'value': 'normal'}]","{'files': [{'uri': 'https://www.arweave.net/0Xl1aY5QcL3R_XU84x8esL3Ina6Q56E1VHee5vWzpQ4?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'share': 100}]}",1,5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 6187}}
9,FRctaCpTYRAqaQk8gzCSoqY5MfXPeKEwYAkL1BU1YXpF,7.05,9Qi3Pv94w742bCUFhNtbDzEa2zQgRZgjdtCX8R8QCjRv,76FGanFupBPtzJDMm2PypvdPS9Cf7z1N3fKAWovW5LdF,desolates_metaverse,Desolates Metaverse,https://www.arweave.net/SjF8BICgASV1ew5uW1-btyiUK5asXEI2xIyAY0GV9Oc?ext=png,DESOLATEs #0749,6666 generative header NFTs representing each of the to-be-conquered planets in Alpha Centauri,,,image,"[{'address': 'D79jnG7CqnsqRovCe7QfJPcqd3PtdGEDj12tWWptnqrt', 'verified': 1, 'share': 0}, {'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'verified': 0, 'share': 100}]",500,GVmLbuGeXew111wQivXo1WpgHvSQLhMm9qXVmnH4PDWi,"[{'trait_type': 'sun_size', 'value': 's'}, {'trait_type': 'sun_pos', 'value': 'right'}, {'trait_type': 'terrain', 'value': 'desert'}, {'trait_type': 'palette', 'value': 'godmademedoit'}, {'trait_type': 'coords', 'value': '<x:233.19528561470906, y:387.18096264784526, z:631.963011526032>'}, {'trait_type': 'random_seed', 'value': 98}, {'trait_type': 'rings', 'value': 1}, {'trait_type': 'star_intensity', 'value': 'high'}, {'trait_type': 'moons', 'value': 0}, {'trait_type': 'weather', 'value': 'none'}, {'trait_type': 'wormholes', 'value': '746,1149,3338'}, {'trait_type': 'gravity', 'value': 'normal'}]","{'files': [{'uri': 'https://www.arweave.net/SjF8BICgASV1ew5uW1-btyiUK5asXEI2xIyAY0GV9Oc?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU', 'share': 100}]}",1,5aBAsMczPrsduMuKBTwbae7SWy5JiMLxVCfzAdYeUFU,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3787}}
