,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,7CrDbxMzhw2NKdyTfUzyoNeMShMmZZ6VzG38YJcgtKuT,2.68,Hb4DtUnvks2mqWhZhDrd7DeANa35FReH6Pffz5z3WKSL,527VXR94Zufir2Nw8qgEfeBEgRpZwQyJQi7jcSHYHiSZ,drippies,Drippies™️,https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/4299.png,Drippies #4300,A collection of vibey creatures on Solana,https://twitter.com/drippieverse,image,"[{'address': '6ALSbyHmEoAipobMGG1yNQsgFEoYxyiBZVAy5spMPuPB', 'verified': 1, 'share': 0}, {'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'verified': 0, 'share': 100}]",700,2LgZCxAc1FkSVsR6K5Zzu2ALidZEjZrDYS4YWYsv8XBT,"[{'trait_type': 'Background', 'value': 'Black'}, {'trait_type': 'Eyes', 'value': 'Retro Half Frame (Mint)'}, {'trait_type': 'Outfit', 'value': 'Puffer Vest (Blue)'}, {'trait_type': 'Headwear', 'value': 'Boonie (Blue)'}, {'trait_type': 'Skin', 'value': 'White'}]","{'files': [{'uri': 'https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/4299.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'share': 100}]}",1,DriP9MZoccDUgJfq28F6XPM5hAti9wCFJ1Gd923iJPrK,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4700}, 'howrare': {'rank': 2647}}",,
1,7Guwc1Sy6wW23JVtEWGA8EKYX98FGB7ZJvoY9ivqdWtK,2.69,kz7r8FG7pFHe1WFPBeR61gzTJFcQKvSunvxBLowKFq7,Gk6BWvL1n78ydJs1bZrpEmCijJsYLw8rURs7kydqrGjR,drippies,Drippies™️,https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/2679.png,Drippies #2680,A collection of vibey creatures on Solana,https://twitter.com/drippieverse,image,"[{'address': '6ALSbyHmEoAipobMGG1yNQsgFEoYxyiBZVAy5spMPuPB', 'verified': 1, 'share': 0}, {'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'verified': 0, 'share': 100}]",700,AaL116KWcLVGWPeVZ6KVGmWuVqvDEg8igyWWgAPc24Pk,"[{'trait_type': 'Background', 'value': 'Mint'}, {'trait_type': 'Ears', 'value': 'Cross (Gold)'}, {'trait_type': 'Eyes', 'value': 'Happy'}, {'trait_type': 'Outfit', 'value': 'Puffer Jacket (Purple)'}, {'trait_type': 'Skin', 'value': 'Black'}, {'trait_type': 'Horns', 'value': 'Small - Black'}]","{'files': [{'uri': 'https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/2679.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'share': 100}]}",1,DriP9MZoccDUgJfq28F6XPM5hAti9wCFJ1Gd923iJPrK,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5184}, 'howrare': {'rank': 5344}}",,
2,EKuLZUVkvia1UysSuR5mzwNqyiiqfKXdfkTyUTEWTUXe,2.69,A5uRLt2zGsfmrppMYJZ8q2ysTSu5btchUzf5kJcGdBPB,Gk6BWvL1n78ydJs1bZrpEmCijJsYLw8rURs7kydqrGjR,drippies,Drippies™️,https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/4129.png,Drippies #4130,A collection of vibey creatures on Solana,https://twitter.com/drippieverse,image,"[{'address': '6ALSbyHmEoAipobMGG1yNQsgFEoYxyiBZVAy5spMPuPB', 'verified': 1, 'share': 0}, {'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'verified': 0, 'share': 100}]",700,9sDG47YbPXDrEoeddvaX6J8waU4vBr1cztTppUNqENzF,"[{'trait_type': 'Background', 'value': 'Black'}, {'trait_type': 'Outfit', 'value': 'Puffer Jacket with Fur (Cream)'}, {'trait_type': 'Headwear', 'value': 'Dad Hat (Yellow)'}, {'trait_type': 'Skin', 'value': 'White'}]","{'files': [{'uri': 'https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/4129.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'share': 100}]}",1,DriP9MZoccDUgJfq28F6XPM5hAti9wCFJ1Gd923iJPrK,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5259}, 'howrare': {'rank': 2300}}",,
3,126BvHUfJc3w5PppFybbcxr8N8mPjvmTJuHWPx6yLDJT,2.69,APEmM6w66z9hmb1KXSymyrbrodDpNjRq38RN4N6WEm6k,5uUcuZHunfnTrpJ8Nd7VREoDSSEW34mJdu2zvBXysHco,drippies,Drippies™️,https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/5451.png,Drippies #5452,A collection of vibey creatures on Solana,https://twitter.com/drippieverse,image,"[{'address': '6ALSbyHmEoAipobMGG1yNQsgFEoYxyiBZVAy5spMPuPB', 'verified': 1, 'share': 0}, {'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'verified': 0, 'share': 100}]",700,53TybD62NHbhYM9Fh9QM22ZDnGYZibouTDjVRE16dBVY,"[{'trait_type': 'Background', 'value': 'White'}, {'trait_type': 'Ears', 'value': 'Lock (Silver)'}, {'trait_type': 'Eyes', 'value': 'X'}, {'trait_type': 'Outfit', 'value': 'Hoodie (Purple)'}, {'trait_type': 'Headwear', 'value': 'Snapback Backwards (White)'}, {'trait_type': 'Skin', 'value': 'Black'}]","{'files': [{'uri': 'https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/5451.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'share': 100}]}",1,DriP9MZoccDUgJfq28F6XPM5hAti9wCFJ1Gd923iJPrK,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4438}, 'howrare': {'rank': 4732}}",,
4,Bg4zKh5PDRW5dsLi8WfGCuDGMuJ7oSqpuCCZCh6bAH3V,2.7,EZUNmH8J28psCHKZBw7Kg8NRFXFRJ1Rjim4R7FsJnwzQ,CUiYwq1ZHZJ2oHbZtJypT3R6bcmi8oSLmfWE3XGzuhzm,drippies,Drippies™️,https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/5393.png,Drippies #5394,A collection of vibey creatures on Solana,https://twitter.com/drippieverse,image,"[{'address': '6ALSbyHmEoAipobMGG1yNQsgFEoYxyiBZVAy5spMPuPB', 'verified': 1, 'share': 0}, {'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'verified': 0, 'share': 100}]",700,5WYSo6RnG1HKyNPgwFsWFAsRDdWhBmodPsu3qPckc29x,"[{'trait_type': 'Background', 'value': 'Black'}, {'trait_type': 'Ears', 'value': 'Big Hoops (Single | Gold)'}, {'trait_type': 'Outfit', 'value': 'Hoodie (Mint Drip Metal Print)'}, {'trait_type': 'Headwear', 'value': 'Five Panel Cap (Yellow)'}, {'trait_type': 'Skin', 'value': 'Blue'}]","{'files': [{'uri': 'https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/5393.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'share': 100}]}",1,DriP9MZoccDUgJfq28F6XPM5hAti9wCFJ1Gd923iJPrK,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4375}, 'howrare': {'rank': 4705}}",,
5,Cpx9Uet2WmT4d3NYXD1PCdtuWcYBLQspR2V6L8UDpvMg,2.7,EPe5vedeQCVxTP1oLdLE6tNwBd22qf1PhZrKQzzyLUh8,2z3nNNfJDfHS9UTu5eHmqVEbVgzp3W8fdVACvaru8JvJ,drippies,Drippies™️,https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/592.png,Drippies #593,A collection of vibey creatures on Solana,https://twitter.com/drippieverse,image,"[{'address': '6ALSbyHmEoAipobMGG1yNQsgFEoYxyiBZVAy5spMPuPB', 'verified': 1, 'share': 0}, {'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'verified': 0, 'share': 100}]",700,6KcaykmbvGPjVJ6KA64i443VY4QnWMUejg2mcEeejN91,"[{'trait_type': 'Background', 'value': 'Black'}, {'trait_type': 'Eyes', 'value': 'Happy'}, {'trait_type': 'Outfit', 'value': 'Hoodie (Grey Drip Lightning Print)'}, {'trait_type': 'Headwear', 'value': 'Visor Cap (Black)'}, {'trait_type': 'Skin', 'value': 'White'}]","{'files': [{'uri': 'https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/592.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'share': 100}]}",1,DriP9MZoccDUgJfq28F6XPM5hAti9wCFJ1Gd923iJPrK,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5304}, 'howrare': {'rank': 2726}}",,
6,hVdn3R8TqAPvqecRXPnh1ABi1GdWqY4GcZXRxPeLGsa,2.7,GkBa5aHkv4oVheSdPgedC2Eqtgrrs9W3z4zy5xmNgXW8,5RzNdxrQzCkVpJX5KbwQkmMi4pcMzoADs9JGzeGqGnEz,drippies,Drippies™️,https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/1272.png,Drippies #1273,A collection of vibey creatures on Solana,https://twitter.com/drippieverse,image,"[{'address': '6ALSbyHmEoAipobMGG1yNQsgFEoYxyiBZVAy5spMPuPB', 'verified': 1, 'share': 0}, {'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'verified': 0, 'share': 100}]",700,3tT19ZQA3JjraGYLArLiEgwjiTekuM8gaMHgpGhgtke3,"[{'trait_type': 'Background', 'value': 'White'}, {'trait_type': 'Ears', 'value': 'Feather (Silver)'}, {'trait_type': 'Eyes', 'value': 'Retro Half Frame (Yellow)'}, {'trait_type': 'Outfit', 'value': 'Puffer Jacket (Luchador Print)'}, {'trait_type': 'Headwear', 'value': 'Boonie (Blue)'}, {'trait_type': 'Skin', 'value': 'White'}]","{'files': [{'uri': 'https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/1272.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'share': 100}]}",1,DriP9MZoccDUgJfq28F6XPM5hAti9wCFJ1Gd923iJPrK,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2971}, 'howrare': {'rank': 2042}}",,
7,EgFW9KLowg3Q63NzmEcdsnjZypZK8P9E2BAh3ZQ5j7UV,2.72,7T9SwLV6JhkWXPx96TyyxUebmVNTLvGdCbY47M4L8VVc,oVKmtL6fNTpBG1rfTkW5h5Jppgay1w9JuGw3sLhgSKG,drippies,Drippies™️,https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/543.png,Drippies #544,A collection of vibey creatures on Solana,https://twitter.com/drippieverse,image,"[{'address': '6ALSbyHmEoAipobMGG1yNQsgFEoYxyiBZVAy5spMPuPB', 'verified': 1, 'share': 0}, {'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'verified': 0, 'share': 100}]",700,EJXmcG5dBMC3gJNvV5dwnd5Zu47Xn7TbxqLtBkETVcqi,"[{'trait_type': 'Background', 'value': 'White'}, {'trait_type': 'Ears', 'value': 'Feather (Gold)'}, {'trait_type': 'Outfit', 'value': 'Puffer Jacket with Fur (Yellow)'}, {'trait_type': 'Skin', 'value': 'Black'}, {'trait_type': 'Horns', 'value': 'Small - Black'}]","{'files': [{'uri': 'https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/543.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'share': 100}]}",1,DriP9MZoccDUgJfq28F6XPM5hAti9wCFJ1Gd923iJPrK,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5226}, 'howrare': {'rank': 4516}}",,
8,3M9yEgTuezVaegGvJ7werPzM3NM1T44YC2LyLLMhyJ58,2.75,CE4hpotimcDV2yTmx12XZCsMD72uU1aVHnstY6Ui8JmF,7incnDSqYiKDBVddBp8RgXXo9Gue3qHA53wYndf5LpZL,drippies,Drippies™️,https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/1088.png,Drippies #1089,A collection of vibey creatures on Solana,https://twitter.com/drippieverse,image,"[{'address': '6ALSbyHmEoAipobMGG1yNQsgFEoYxyiBZVAy5spMPuPB', 'verified': 1, 'share': 0}, {'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'verified': 0, 'share': 100}]",700,9ZXDcPvD5z9z82ryR8soaAfrghQscB4nk93d49uKJ3gP,"[{'trait_type': 'Background', 'value': 'Cream'}, {'trait_type': 'Outfit', 'value': 'T-Shirt (White | Hype Print)'}, {'trait_type': 'Headwear', 'value': 'Five Panel Cap (Black)'}, {'trait_type': 'Skin', 'value': 'Black'}]","{'files': [{'uri': 'https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/1088.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'share': 100}]}",1,DriP9MZoccDUgJfq28F6XPM5hAti9wCFJ1Gd923iJPrK,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5449}, 'howrare': {'rank': 5233}}",,
9,E3xJ3PV8Mc4Z32H9W2GSaBJ9CAJcftjZtb3oNKe6Z9hv,2.8,bnajz4DxzimAEiBCJvzjZEsM6t9VW5MdCtrcDAC1825,8p34oHCHM7E6DvW9CvwyUeKuLfDu33NNCBp4VJTHAK3p,drippies,Drippies™️,https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/2103.png,Drippies #2104,A collection of vibey creatures on Solana,https://twitter.com/drippieverse,image,"[{'address': '6ALSbyHmEoAipobMGG1yNQsgFEoYxyiBZVAy5spMPuPB', 'verified': 1, 'share': 0}, {'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'verified': 0, 'share': 100}]",700,EjwGP9YcqqZnaGeBGgofjkqBfUdZRFhPJXzJcVPDXGmf,"[{'trait_type': 'Background', 'value': 'White'}, {'trait_type': 'Ears', 'value': 'Big Hoops (Single | Silver)'}, {'trait_type': 'Outfit', 'value': 'Lumberjack Shirt (White)'}, {'trait_type': 'Headwear', 'value': 'Oversized Beanie (Black)'}, {'trait_type': 'Skin', 'value': 'Yellow'}]","{'files': [{'uri': 'https://arweave.net/WeX4k81n1xfmCQjaqr16a_iK_R43b8F5mBYiob5YiUQ/2103.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '3776BAGJpxds5BUhiYHrFvitwTZ5N8DPwFLfBEZFTnjd', 'share': 100}]}",1,DriP9MZoccDUgJfq28F6XPM5hAti9wCFJ1Gd923iJPrK,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4115}, 'howrare': {'rank': 3979}}",,
