,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,GP89AawyV1HH9KezqkYzXafs36NCSDarAVnyKeV9pYi1,6.3,FHsbpaFsaoWxMb9Kkk7Rpet1htVZuaqPWzRbnN71X8EP,AdG9Gdjm6cLFTfhefR9reZRH3bx4PM1XSmu7JGchjnPp,enviro,enviro,https://www.arweave.net/tQJuf7W2-Iq03LykCGaJNHTwuZLo1jMDsNvdTK58xcw?ext=png,enviroPass | Tier 01  #0229,"Existing as an NFT, enviro is a customizable art gallery, that can display a wide range of digital media (including other NFTs), still images and streaming video in a variety of settings, ranging from intimate to professional. Built on the cutting edge Unreal Engine 5, enviro features an explorable high-resolution photorealistic 3-dimensional gallery space with adjustable lighting and customizable furniture along with a suite of photography tools.",enviro.art,image,"[{'address': 'CNcoLGiY5QiCYqCXo1uAogZuNCjBXKSRTg738PZxWM5p', 'verified': 1, 'share': 0}, {'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'verified': 0, 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'verified': 0, 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'verified': 0, 'share': 10}]",1000,8YtTqJgmYBhdnJow23DCvzqByir7wPQWXXwoykKdFjzL,"[{'trait_type': 'enviroPass', 'value': 'Tier 01'}]","{'category': 'image', 'creators': [{'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'share': 10}], 'files': [{'type': 'image/png', 'uri': 'https://www.arweave.net/tQJuf7W2-Iq03LykCGaJNHTwuZLo1jMDsNvdTK58xcw?ext=png'}]}",1,9hNfBUaKbXdaT246y8REaUzqgK1bNibV4gLMJGgBRi4g,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
1,8HgbcMg9aF2qJGRzm3zEeW6V6HC6ewcMcEmBr3bqqqUj,6.3,AdXac2YrbsXephAZ7smfGeHYfgpouLhzo9FcuJBAifPd,AdG9Gdjm6cLFTfhefR9reZRH3bx4PM1XSmu7JGchjnPp,enviro,enviro,https://www.arweave.net/_upHUrUMg07KOl6U-pwI6RwrKYSM2EwWjH5w3woKLcs?ext=png,enviroPass | Tier 01  #0180,"Existing as an NFT, enviro is a customizable art gallery, that can display a wide range of digital media (including other NFTs), still images and streaming video in a variety of settings, ranging from intimate to professional. Built on the cutting edge Unreal Engine 5, enviro features an explorable high-resolution photorealistic 3-dimensional gallery space with adjustable lighting and customizable furniture along with a suite of photography tools.",enviro.art,image,"[{'address': 'CNcoLGiY5QiCYqCXo1uAogZuNCjBXKSRTg738PZxWM5p', 'verified': 1, 'share': 0}, {'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'verified': 0, 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'verified': 0, 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'verified': 0, 'share': 10}]",1000,Ec2gkJwMgw5zsNLkQ8bL8r57Rp7ze6PRtm9WgnbTSQE8,"[{'trait_type': 'enviroPass', 'value': 'Tier 01'}]","{'category': 'image', 'creators': [{'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'share': 10}], 'files': [{'type': 'image/png', 'uri': 'https://www.arweave.net/_upHUrUMg07KOl6U-pwI6RwrKYSM2EwWjH5w3woKLcs?ext=png'}]}",1,9hNfBUaKbXdaT246y8REaUzqgK1bNibV4gLMJGgBRi4g,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
2,6hDLfarzXBNKHCzeyfRAHuFJEARQjHwV2H9qLocXwNcv,6.3,EFJ4Cf6nwimYyguXdbT1rzyhXjrV4nBYHhQC4MHuGmna,AdG9Gdjm6cLFTfhefR9reZRH3bx4PM1XSmu7JGchjnPp,enviro,enviro,https://www.arweave.net/jlHK_Jp4PdoAZ_w5f4SHx9jWaIjJpu7dVxudaad2JPo?ext=png,enviroPass | Tier 01  #0054,"Existing as an NFT, enviro is a customizable art gallery, that can display a wide range of digital media (including other NFTs), still images and streaming video in a variety of settings, ranging from intimate to professional. Built on the cutting edge Unreal Engine 5, enviro features an explorable high-resolution photorealistic 3-dimensional gallery space with adjustable lighting and customizable furniture along with a suite of photography tools.",enviro.art,image,"[{'address': 'CNcoLGiY5QiCYqCXo1uAogZuNCjBXKSRTg738PZxWM5p', 'verified': 1, 'share': 0}, {'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'verified': 0, 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'verified': 0, 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'verified': 0, 'share': 10}]",1000,6XqdC1aDJpHgZsuAfGeYCjitu7oC6ijtMzVug9VJEK18,"[{'trait_type': 'enviroPass', 'value': 'Tier 01'}]","{'category': 'image', 'creators': [{'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'share': 10}], 'files': [{'type': 'image/png', 'uri': 'https://www.arweave.net/jlHK_Jp4PdoAZ_w5f4SHx9jWaIjJpu7dVxudaad2JPo?ext=png'}]}",1,9hNfBUaKbXdaT246y8REaUzqgK1bNibV4gLMJGgBRi4g,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
3,9KLQy7pWX6t2CgwUA7qdfaQK9thLL7u3EF45uoMFSGfG,6.7,Dfzyz712jkyJDY8FXx7Gr3XK2asv5yS3SZbenuPc4m2B,HA54znsxgAYex1hWgzSoxaAe6Gjv8JmeGeJ7DW3vFvw8,enviro,enviro,https://www.arweave.net/7g8iE4xLuZU-UMDFXayFt7NzTNwLmzZ4IePhuKHtnD4?ext=png,enviroPass | Tier 01  #5615,"Existing as an NFT, enviro is a customizable art gallery, that can display a wide range of digital media (including other NFTs), still images and streaming video in a variety of settings, ranging from intimate to professional. Built on the cutting edge Unreal Engine 5, enviro features an explorable high-resolution photorealistic 3-dimensional gallery space with adjustable lighting and customizable furniture along with a suite of photography tools.",enviro.art,image,"[{'address': 'CNcoLGiY5QiCYqCXo1uAogZuNCjBXKSRTg738PZxWM5p', 'verified': 1, 'share': 0}, {'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'verified': 0, 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'verified': 0, 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'verified': 0, 'share': 10}]",1000,9VySU8D6iqSXsmt4cXThV8KxpyGMDEwUikXSPyMuwoGa,"[{'trait_type': 'enviroPass', 'value': 'Tier 01'}]","{'category': 'image', 'creators': [{'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'share': 10}], 'files': [{'type': 'image/png', 'uri': 'https://www.arweave.net/7g8iE4xLuZU-UMDFXayFt7NzTNwLmzZ4IePhuKHtnD4?ext=png'}]}",1,9hNfBUaKbXdaT246y8REaUzqgK1bNibV4gLMJGgBRi4g,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
4,GBNnua4NWsWgokt83ZQAgXLgYCDDCQrmgPgAkYY1FTBr,6.7,6qPKhTPXHF4hYAeZhpn9vNYT8XWpdNLsGqGFEdFE2z2E,DY43LbxU8JR9M4GPN3gN7DMfuyChhS54yCJ6dUa22Qir,enviro,enviro,https://www.arweave.net/j7avCiz_hESgR3BkDbVok8yJumlNaa7RXpTadyaZxQE?ext=png,enviroPass | Tier 01  #3894,"Existing as an NFT, enviro is a customizable art gallery, that can display a wide range of digital media (including other NFTs), still images and streaming video in a variety of settings, ranging from intimate to professional. Built on the cutting edge Unreal Engine 5, enviro features an explorable high-resolution photorealistic 3-dimensional gallery space with adjustable lighting and customizable furniture along with a suite of photography tools.",enviro.art,image,"[{'address': 'CNcoLGiY5QiCYqCXo1uAogZuNCjBXKSRTg738PZxWM5p', 'verified': 1, 'share': 0}, {'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'verified': 0, 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'verified': 0, 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'verified': 0, 'share': 10}]",1000,HVb1rh1kkbA6kW7CXna6B27m9hwA4R8cGuvehQWTXAtp,"[{'trait_type': 'enviroPass', 'value': 'Tier 01'}]","{'category': 'image', 'creators': [{'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'share': 10}], 'files': [{'type': 'image/png', 'uri': 'https://www.arweave.net/j7avCiz_hESgR3BkDbVok8yJumlNaa7RXpTadyaZxQE?ext=png'}]}",1,9hNfBUaKbXdaT246y8REaUzqgK1bNibV4gLMJGgBRi4g,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
5,FsHzaan2mEAKpCk5ULnpirutayg8AkaaQqxic3W82dL3,6.8,3Uo81aGZnCGCoZ7uAH2pbWEC3A7vvVTU4wdhNRaFsceX,7QgMU8w8mNjmbWBWsfD9zQbUq6FLNTRkbadPBvH8UtR8,enviro,enviro,https://www.arweave.net/KlLLYjU8xvIT36IM0xT8zlmWY8lwoU_DgGAMU84V-T0?ext=png,enviroPass | Tier 01  #6402,"Existing as an NFT, enviro is a customizable art gallery, that can display a wide range of digital media (including other NFTs), still images and streaming video in a variety of settings, ranging from intimate to professional. Built on the cutting edge Unreal Engine 5, enviro features an explorable high-resolution photorealistic 3-dimensional gallery space with adjustable lighting and customizable furniture along with a suite of photography tools.",enviro.art,image,"[{'address': 'CNcoLGiY5QiCYqCXo1uAogZuNCjBXKSRTg738PZxWM5p', 'verified': 1, 'share': 0}, {'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'verified': 0, 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'verified': 0, 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'verified': 0, 'share': 10}]",1000,HtJxQ4wKBoNHMP3HnYeh6k1G4GBv5kagntgChvycw1H2,"[{'trait_type': 'enviroPass', 'value': 'Tier 01'}]","{'category': 'image', 'creators': [{'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'share': 10}], 'files': [{'type': 'image/png', 'uri': 'https://www.arweave.net/KlLLYjU8xvIT36IM0xT8zlmWY8lwoU_DgGAMU84V-T0?ext=png'}]}",1,9hNfBUaKbXdaT246y8REaUzqgK1bNibV4gLMJGgBRi4g,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
6,6GXZVzyJDUy8YtF9Zrk6N9SRPRYBVX27JoSJbTJtc2Vx,6.85,8frvx7j1KYEffvshQgBHd9ZGaub4Bjau6iM57Adr3Rvy,2cjEzb6Lt5LwS9hPaG1ErMgKjNqfrHFJS6R6xg6FeCFg,enviro,enviro,https://www.arweave.net/O9vHe-BN4laxWmFz8lzh6x-BVjy3mAkLXcPZpjBiRq4?ext=png,enviroPass | Tier 01  #5139,"Existing as an NFT, enviro is a customizable art gallery, that can display a wide range of digital media (including other NFTs), still images and streaming video in a variety of settings, ranging from intimate to professional. Built on the cutting edge Unreal Engine 5, enviro features an explorable high-resolution photorealistic 3-dimensional gallery space with adjustable lighting and customizable furniture along with a suite of photography tools.",enviro.art,image,"[{'address': 'CNcoLGiY5QiCYqCXo1uAogZuNCjBXKSRTg738PZxWM5p', 'verified': 1, 'share': 0}, {'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'verified': 0, 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'verified': 0, 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'verified': 0, 'share': 10}]",1000,6CrJyuDEKK3MAsr7fUPVE47gWE5peooH8f8z6EhNYcR5,"[{'trait_type': 'enviroPass', 'value': 'Tier 01'}]","{'category': 'image', 'creators': [{'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'share': 10}], 'files': [{'type': 'image/png', 'uri': 'https://www.arweave.net/O9vHe-BN4laxWmFz8lzh6x-BVjy3mAkLXcPZpjBiRq4?ext=png'}]}",1,9hNfBUaKbXdaT246y8REaUzqgK1bNibV4gLMJGgBRi4g,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
7,8bD4oQAR65GCpSsDmTzZz4bk5D7mU864EnWECK8R4JAm,6.86,AUw2PGrAHxxfE5Yoaht2AURJ81GQjPZtp9Ufv4KWKTQz,5PwaTp4K18Y7Y4UJo41JS1qN6QBHiNhfwozM1N4aJoM2,enviro,enviro,https://www.arweave.net/l0e5pwexsaB7ZOZaVfbVcTdg9WtDubYTXplSmpDXmtQ?ext=png,enviroPass | Tier 01  #2551,"Existing as an NFT, enviro is a customizable art gallery, that can display a wide range of digital media (including other NFTs), still images and streaming video in a variety of settings, ranging from intimate to professional. Built on the cutting edge Unreal Engine 5, enviro features an explorable high-resolution photorealistic 3-dimensional gallery space with adjustable lighting and customizable furniture along with a suite of photography tools.",enviro.art,image,"[{'address': 'CNcoLGiY5QiCYqCXo1uAogZuNCjBXKSRTg738PZxWM5p', 'verified': 1, 'share': 0}, {'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'verified': 0, 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'verified': 0, 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'verified': 0, 'share': 10}]",1000,2Nv7Wj8svHFTEGGF8iYWuDLazE9i3ecviKkKwAPsir16,"[{'trait_type': 'enviroPass', 'value': 'Tier 01'}]","{'category': 'image', 'creators': [{'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'share': 10}], 'files': [{'type': 'image/png', 'uri': 'https://www.arweave.net/l0e5pwexsaB7ZOZaVfbVcTdg9WtDubYTXplSmpDXmtQ?ext=png'}]}",1,9hNfBUaKbXdaT246y8REaUzqgK1bNibV4gLMJGgBRi4g,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
8,5jvULrPTn3ho2S72mR4HPMhtk9jh2ztwdo31fJwo97aN,6.87,EB1CPApssZe5rD56YoWgJ7mcQVr3Bg54nAofr1mkYZ4g,GcfEZZXooCD2et17qbg29ujwTxNCAUtzXu7DDhJR3cA1,enviro,enviro,https://www.arweave.net/6mxK10O-13Vo2uHRvfiqG6xwbtgZtz0Em84kjbp0CgU?ext=png,enviroPass | Tier 01  #5012,"Existing as an NFT, enviro is a customizable art gallery, that can display a wide range of digital media (including other NFTs), still images and streaming video in a variety of settings, ranging from intimate to professional. Built on the cutting edge Unreal Engine 5, enviro features an explorable high-resolution photorealistic 3-dimensional gallery space with adjustable lighting and customizable furniture along with a suite of photography tools.",enviro.art,image,"[{'address': 'CNcoLGiY5QiCYqCXo1uAogZuNCjBXKSRTg738PZxWM5p', 'verified': 1, 'share': 0}, {'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'verified': 0, 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'verified': 0, 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'verified': 0, 'share': 10}]",1000,4Si7CHUsMxansuwACmYbS87SVu9TBhwLpfVZ256Ri3Ba,"[{'trait_type': 'enviroPass', 'value': 'Tier 01'}]","{'category': 'image', 'creators': [{'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'share': 10}], 'files': [{'type': 'image/png', 'uri': 'https://www.arweave.net/6mxK10O-13Vo2uHRvfiqG6xwbtgZtz0Em84kjbp0CgU?ext=png'}]}",1,9hNfBUaKbXdaT246y8REaUzqgK1bNibV4gLMJGgBRi4g,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
9,CYa7a98So4E4CnyPyvV9gtQUqddLezJiqfcdDH8HeYs7,6.88,DrrPXtRASa8N7AKHo729FGR4p2uHF4n8wLLFWohEGQhr,2D9VtA846RYWAT4hUUCU5Cafy1T8gKFibEJZnkjDDmZ6,enviro,enviro,https://www.arweave.net/r9SbrbZY0CL4O0Yxg39dVrBqExqh8Yuh3u41GEVsNBg?ext=png,enviroPass | Tier 01  #4530,"Existing as an NFT, enviro is a customizable art gallery, that can display a wide range of digital media (including other NFTs), still images and streaming video in a variety of settings, ranging from intimate to professional. Built on the cutting edge Unreal Engine 5, enviro features an explorable high-resolution photorealistic 3-dimensional gallery space with adjustable lighting and customizable furniture along with a suite of photography tools.",enviro.art,image,"[{'address': 'CNcoLGiY5QiCYqCXo1uAogZuNCjBXKSRTg738PZxWM5p', 'verified': 1, 'share': 0}, {'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'verified': 0, 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'verified': 0, 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'verified': 0, 'share': 10}]",1000,2Bottiz3ASJnxvbPgLHFJZ3p5k29ZYps8jBqHTHQr86V,"[{'trait_type': 'enviroPass', 'value': 'Tier 01'}]","{'category': 'image', 'creators': [{'address': 'AJzXbZPHYfbPp16Hc2yLtQEQUd68mWZQXwVpQNXYGQGm', 'share': 80}, {'address': 'BiuP2kHPFWuNWYtXXxNg6E41aDTht7qBQQNdGwka464', 'share': 10}, {'address': 'H62o2qdHTycdycFdhgRyEpuqxSNpopFRX2Aw3BK5KUM5', 'share': 10}], 'files': [{'type': 'image/png', 'uri': 'https://www.arweave.net/r9SbrbZY0CL4O0Yxg39dVrBqExqh8Yuh3u41GEVsNBg?ext=png'}]}",1,9hNfBUaKbXdaT246y8REaUzqgK1bNibV4gLMJGgBRi4g,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
