,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,A4TJVFVEiPHaW7SXaE2G63RDPBHyaytchGiSePsbhPyA,3.09,6wKu7fKNHe1NZc8W1eCrpPdUXgsktRqe3oBTt8yceQ4M,8DVfLQVeCa84XV2uWyVTHnZsKuPQ3tZwtxMzX1K67Rhh,fellowapes,Fellow Apes,https://arweave.net/Ly8iQuilcV1z-0-3e6njZLB6WfpKajp4HODrpJm7buo?ext=png,Fellow Apes #3630,Fellow Apes from FelloWVerse,fellowapes.com,image,"[{'address': 'ArJ4YMRPkwuJ5JvNY7Wc1mgwQFsUxGrEKZoqyVhgDeZy', 'verified': 1, 'share': 0}, {'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'verified': 0, 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'verified': 0, 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'verified': 0, 'share': 35}]",900,7nXdD839YqMVEez2Ymq946hjs9qTTzktXj6LLZUN4KcK,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Fur', 'value': 'Zebra'}, {'trait_type': 'Base', 'value': 'Fellow Ape'}, {'trait_type': 'Cloth', 'value': 'Turtleneck Sweater'}, {'trait_type': 'Mouth', 'value': 'Teeth Smile'}, {'trait_type': 'Eyes', 'value': 'Thinking'}, {'trait_type': 'Hat', 'value': 'Trucker Hat'}]","{'files': [{'uri': '3630.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'share': 35}]}",1,FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3608}, 'howrare': {'rank': 3685}}",,
1,3uPDti3D8dhvaiAj9MDynD75NvCzxggRcKo6EJeakGfX,3.1,Fxiy5avZDUkUKUKUxUvbfjHjoh3h9VasUZndmmciNU4Q,3ML4gPXCF1ZEFBfTpWmSb9uMok2jZDUedXfzedqjxA9Y,fellowapes,Fellow Apes,https://arweave.net/_CHHNy3JfORUR8phWwbidlWg90Hpot_BucomI75O8zA?ext=png,Fellow Apes #1766,Fellow Apes from FelloWVerse,fellowapes.com,image,"[{'address': 'ArJ4YMRPkwuJ5JvNY7Wc1mgwQFsUxGrEKZoqyVhgDeZy', 'verified': 1, 'share': 0}, {'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'verified': 0, 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'verified': 0, 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'verified': 0, 'share': 35}]",900,8nht8YKUv93ttnFuC7ivRVnm4vj9J2drwYhyjtjqAwhV,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Fur', 'value': 'Zebra'}, {'trait_type': 'Base', 'value': 'Fellow Ape'}, {'trait_type': 'Cloth', 'value': 'Military Uniform'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Eyes', 'value': 'Bored'}, {'trait_type': 'Hat', 'value': 'Magician Hat'}]","{'files': [{'uri': '1766.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'share': 35}]}",1,FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2689}, 'howrare': {'rank': 2269}}",,
2,81epGQaZCxebfGPk6g6HxbLmjp7NQibEAjZJS84Y6JZm,3.1,HCoJbZ9BmNYtAuvbmTwfCS6X7EF8ben2pRz7kGJWETSU,BRVcpGFxjBg3GvS94QknAKqB1yx9uULGgvyqung86hk5,fellowapes,Fellow Apes,https://arweave.net/x9rQq2OtjDgCH-st9byi8-D4RY3zoG2hzkOPByLXgcI?ext=png,Fellow Apes #4041,Fellow Apes from FelloWVerse,fellowapes.com,image,"[{'address': 'ArJ4YMRPkwuJ5JvNY7Wc1mgwQFsUxGrEKZoqyVhgDeZy', 'verified': 1, 'share': 0}, {'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'verified': 0, 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'verified': 0, 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'verified': 0, 'share': 35}]",900,AtntK5qp2N2Mv9u5Fu7HdCxX3kjYPijqG8FA7SfYtAq5,"[{'trait_type': 'Background', 'value': 'Desert'}, {'trait_type': 'Fur', 'value': 'Normal'}, {'trait_type': 'Base', 'value': 'Fellow Ape'}, {'trait_type': 'Cloth', 'value': 'Banana Shirt'}, {'trait_type': 'Mouth', 'value': 'Sad'}, {'trait_type': 'Eyes', 'value': 'Closed'}, {'trait_type': 'Hat', 'value': 'Party Hat'}]","{'files': [{'uri': '4041.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'share': 35}]}",1,FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp,1,"{'verified': 1, 'key': 'D8JouoYLoKruSbLY3Ft4kYMYjDSSoYFiDUideeLwccvg', 'data': {}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2372}, 'howrare': {'rank': 2597}}",,
3,51F1ePeXuQihhvQ3stCuw6PjBskSpVTf21qDCp5mFYTK,3.1,BCepz5e8s4Hhqdufcds83BN6NrpywZpnsDhgmRLkn917,FH9j2o4pj6o7f44t3qjjow4BAa3Gis3iU3SgHNLWHe4s,fellowapes,Fellow Apes,https://arweave.net/8wja7zB6S6BvcXBhhgtcZM4eFUVHUjWgeeCD1h26Bpk?ext=png,Fellow Apes #2936,Fellow Apes from FelloWVerse,fellowapes.com,image,"[{'address': 'ArJ4YMRPkwuJ5JvNY7Wc1mgwQFsUxGrEKZoqyVhgDeZy', 'verified': 1, 'share': 0}, {'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'verified': 0, 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'verified': 0, 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'verified': 0, 'share': 35}]",900,32vDrThJa5Ag979ADCjcevRdKMAejdkt1r27ST4gpfyC,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Fur', 'value': 'Zebra'}, {'trait_type': 'Base', 'value': 'Fellow Ape'}, {'trait_type': 'Cloth', 'value': 'Basketball Uniform'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Eyes', 'value': 'Angry'}, {'trait_type': 'Hat', 'value': 'Snake'}]","{'files': [{'uri': '2936.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'share': 35}]}",1,FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2315}, 'howrare': {'rank': 2336}}",,
4,G4UDGVGV9ayBnjh5vcDK1BNeAE7SVswHKSAMNw8Dd4ig,3.2,63uBSGfDhEjpTvDeqUfoS8CWtzd1vSgoNcmZwsXyswNL,4kVnB3odJ5e4ggT6UkiPV5MVn8u9cp4UFbkzAHo6aBhZ,fellowapes,Fellow Apes,https://arweave.net/UzxDkNxNTt9X5pFi52ox4XE36-XitI5MW5GwBqt_kgo?ext=png,Fellow Apes #2218,Fellow Apes from FelloWVerse,fellowapes.com,image,"[{'address': 'ArJ4YMRPkwuJ5JvNY7Wc1mgwQFsUxGrEKZoqyVhgDeZy', 'verified': 1, 'share': 0}, {'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'verified': 0, 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'verified': 0, 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'verified': 0, 'share': 35}]",900,4TskUjC9fQh6qXLmx3PZUhaJEyDwgJW6d7TF7FV1gLEW,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Fur', 'value': 'Zombie'}, {'trait_type': 'Base', 'value': 'Fellow Ape'}, {'trait_type': 'Cloth', 'value': 'Zipper Sweat'}, {'trait_type': 'Mouth', 'value': 'Big Smile'}, {'trait_type': 'Eyes', 'value': 'Closed'}, {'trait_type': 'Hat', 'value': 'Afro'}]","{'files': [{'uri': '2218.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'share': 35}]}",1,FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2364}, 'howrare': {'rank': 2126}}",,
5,7cUK2Fqc5K2dLDVgxxV8RTkYZKgU48bH13SU5hPfspMt,3.2,7jYqXmCNPPHBi2sXxHS6MDnnZQqR2PgK4tABD2Jv7k2b,D5yBjfgcm4QRuP8UsZvMJoYwpXzQKZERDdAxgCXqgS6o,fellowapes,Fellow Apes,https://arweave.net/klRUd_cUlFIfzf8_53kRTj6EH8JKdk99a1nC49XkxTs?ext=png,Fellow Apes #4119,Fellow Apes from FelloWVerse,fellowapes.com,image,"[{'address': 'ArJ4YMRPkwuJ5JvNY7Wc1mgwQFsUxGrEKZoqyVhgDeZy', 'verified': 1, 'share': 0}, {'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'verified': 0, 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'verified': 0, 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'verified': 0, 'share': 35}]",900,86MEkMkhqBsjx2pWHJhtrh1BVW2rpVRN3T6jF1o2dZK6,"[{'trait_type': 'Background', 'value': 'Jungle'}, {'trait_type': 'Fur', 'value': 'Gold'}, {'trait_type': 'Base', 'value': 'Fellow Ape'}, {'trait_type': 'Cloth', 'value': 'Banana Shirt'}, {'trait_type': 'Mouth', 'value': 'Sad'}, {'trait_type': 'Eyes', 'value': 'Bored'}, {'trait_type': 'Hat', 'value': 'Trucker Hat'}]","{'files': [{'uri': '4119.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'share': 35}]}",1,FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2518}, 'howrare': {'rank': 2974}}",,
6,6S9GRCSjZute34jUwKePh9jw4i2qfJasXbUNwnPAn3FY,3.2,HnVaenijL71mgVDWq7icbDZTxaEHH1wSKzUp5psAnMy1,4kVnB3odJ5e4ggT6UkiPV5MVn8u9cp4UFbkzAHo6aBhZ,fellowapes,Fellow Apes,https://arweave.net/GrLP2QRqh62UXruxJie5U3uYRH_5uJYMLzRzaBLXgIY?ext=png,Fellow Apes #2037,Fellow Apes from FelloWVerse,fellowapes.com,image,"[{'address': 'ArJ4YMRPkwuJ5JvNY7Wc1mgwQFsUxGrEKZoqyVhgDeZy', 'verified': 1, 'share': 0}, {'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'verified': 0, 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'verified': 0, 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'verified': 0, 'share': 35}]",900,3hWBJ7HR2nxFs6vCVWmD7quyhnWWnQPZ1MFm5o3khE1a,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Fur', 'value': 'Zebra'}, {'trait_type': 'Base', 'value': 'Fellow Ape'}, {'trait_type': 'Cloth', 'value': 'Banana Shirt'}, {'trait_type': 'Mouth', 'value': 'Teeth Smile'}, {'trait_type': 'Eyes', 'value': 'Sad'}, {'trait_type': 'Hat', 'value': 'Magician Hat'}]","{'files': [{'uri': '2037.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'share': 35}]}",1,FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2037}, 'howrare': {'rank': 1972}}",,
7,5nnpdhVdJm47yUPZoXMLnYi3rNf83biLUbbBTHAfP5Ds,3.2,HvAboVavy4AWoTW6EpdTpmjAhU1BXiUQjXzVXNcisUS7,3NkF4pRyNViiGj7pc6JFQb8s6Yj9bkY8S7P4cTRgd5rE,fellowapes,Fellow Apes,https://arweave.net/_Nb3sgyOg-HTaNc3UD_w5CFWaKO8SNssMbRvZRSrLQU?ext=png,Fellow Apes #2388,Fellow Apes from FelloWVerse,fellowapes.com,image,"[{'address': 'ArJ4YMRPkwuJ5JvNY7Wc1mgwQFsUxGrEKZoqyVhgDeZy', 'verified': 1, 'share': 0}, {'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'verified': 0, 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'verified': 0, 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'verified': 0, 'share': 35}]",900,4szCcZgTqUBA8WgVgNPb9cZKoCRXx4Yv6FXK2GsTXVod,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Fur', 'value': 'Normal'}, {'trait_type': 'Base', 'value': 'Fellow Ape'}, {'trait_type': 'Cloth', 'value': 'Blue Tshirt'}, {'trait_type': 'Mouth', 'value': 'Sad'}, {'trait_type': 'Eyes', 'value': 'Sad'}, {'trait_type': 'Hat', 'value': 'Party Hat'}]","{'files': [{'uri': '2388.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'share': 35}]}",1,FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp,1,"{'verified': 1, 'key': 'D8JouoYLoKruSbLY3Ft4kYMYjDSSoYFiDUideeLwccvg', 'data': {}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3686}, 'howrare': {'rank': 3474}}",,
8,AGQSeRR6CwvULnQL51cnJujKnA71rKMY4opy5bqbXsLi,3.27,6HQPnHtnvrWudpG8B76kkWnDmY8TrfcXzFErjkYevuA,EmhzuZo3Yt991cYW5gcNUygmUQM2XfKM2orJpqN8Mop8,fellowapes,Fellow Apes,https://arweave.net/UbZBmyQKsKt1jvAh6P45Pq75ajsQSPlJYGaDWKHTRAk?ext=png,Fellow Apes #3121,Fellow Apes from FelloWVerse,fellowapes.com,image,"[{'address': 'ArJ4YMRPkwuJ5JvNY7Wc1mgwQFsUxGrEKZoqyVhgDeZy', 'verified': 1, 'share': 0}, {'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'verified': 0, 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'verified': 0, 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'verified': 0, 'share': 35}]",900,55TtmDEvRD8Ef2KQZt3LNJQEsVMerFW31N9pR3BW6DVW,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Fur', 'value': 'Pink'}, {'trait_type': 'Base', 'value': 'Fellow Ape'}, {'trait_type': 'Cloth', 'value': 'Military Uniform'}, {'trait_type': 'Mouth', 'value': 'Sad'}, {'trait_type': 'Eyes', 'value': 'Bored'}, {'trait_type': 'Hat', 'value': 'Headband'}]","{'files': [{'uri': '3121.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'share': 35}]}",1,FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3536}, 'howrare': {'rank': 3529}}",,
9,6HL5UVwuDyMVpNnK1R1mxtWr8pEjZtMSc8LnAJVW2C1i,3.27,4AAoKEH7ZoALfG27spkE3dLcR79ycmtsZjSDz3BJXqwL,EmhzuZo3Yt991cYW5gcNUygmUQM2XfKM2orJpqN8Mop8,fellowapes,Fellow Apes,https://arweave.net/CXvlbNE5-T70CS50xBWho9r-xuSLCzErlVWUz5w5uJs?ext=png,Fellow Apes #3966,Fellow Apes from FelloWVerse,fellowapes.com,image,"[{'address': 'ArJ4YMRPkwuJ5JvNY7Wc1mgwQFsUxGrEKZoqyVhgDeZy', 'verified': 1, 'share': 0}, {'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'verified': 0, 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'verified': 0, 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'verified': 0, 'share': 35}]",900,7SRdWctPzbBJ7W88Wrf6Yc3V1otCckh9oPmMLm7ZLm9v,"[{'trait_type': 'Background', 'value': 'Desert'}, {'trait_type': 'Fur', 'value': 'Normal'}, {'trait_type': 'Base', 'value': 'Fellow Ape'}, {'trait_type': 'Cloth', 'value': 'Basketball Uniform'}, {'trait_type': 'Mouth', 'value': 'Teeth Smile'}, {'trait_type': 'Eyes', 'value': 'Nerd Glasses'}, {'trait_type': 'Hat', 'value': 'Beanie'}]","{'files': [{'uri': '3966.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp', 'share': 30}, {'address': '4rnZjsSZencaeWdfoZ9uNcJKdtVXE4Z9Wz6AMbpSosyy', 'share': 35}, {'address': '7JfEuy1d9kmYichWHWpyxesHyhYDFizSX1HsCSTVZp9o', 'share': 35}]}",1,FAPEZ22gi2Gu6RaoqaxvvLAQS4ougEMvWcjaYKzNc3mp,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4063}, 'howrare': {'rank': 4143}}",,
