,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,rarity,tokenDelegateValid,v2
0,UyygwFhCH2DswtPuySSwyXB8XQntEsrxT292bV6nFnb,12.75,9fDLburbTRV7tbSkqo7hGuF3MfAqMyrZhkXYU5nrJ7ki,G6jFcLMti9MG7L5qTNb5vKqHDB16ca4UicVa7qK1fBqb,female_hodl_whales,Female HODL Whales,https://arweave.net/HBPQlXQkK-7OSDk4epmB56-ER4eYgEJy3nbguPPUbMI?ext=png,Solana Female HODL Whales #349,"The Solana Female HODL Whales are a collection of 1,500 #DiamondHand NFT collectors who are the last surviving species from the port of Diamond City.",image,"[{'address': 'Fybs39h31TvadbU9QaWhqw7zgGcywrDUWZyihWgnodNs', 'verified': 1, 'share': 0}, {'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'verified': 0, 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'verified': 0, 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'verified': 0, 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'verified': 0, 'share': 10}]",1000,6RTbK9CMt7YRYZQXmr7DurqqKETps6MjAxDJS5yKmDyX,"[{'trait_type': 'Eyes', 'value': 'Cute'}, {'trait_type': 'Body', 'value': 'Female'}, {'trait_type': 'Mouth', 'value': 'Surprised'}, {'trait_type': 'Background', 'value': 'Off White'}, {'trait_type': 'Outfit', 'value': 'Cut Out Shirt'}, {'trait_type': 'Fishbowl', 'value': 'Lavender'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Type', 'value': 'Peach'}, {'trait_type': 'Hat', 'value': 'Blonde'}]","{'files': [{'uri': '348.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'share': 10}]}",1,SeEggZk4i2b2qF6NQ1Ntszcsj2jsaZidGQ5zPEVpwXs,1,{},{'howrare': {'rank': 1344}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
1,FVsUDkBZwyrhKF3E51PwMAVwKMZ8rWvAtpdWNrew1rMF,13.1,2BAR4dWKCxcq3RbbEQvqKYn6YTqn1b7S8L5uVn6aTwZt,86QfznzAs3g7qDcM5foTxRq9vKGJjFwDDG2JkxtEKLsn,female_hodl_whales,Female HODL Whales,https://www.arweave.net/KE65A8xIfcGx_LuJTYn7VxitVy2gj5CMO5tTVX5fprw?ext=png,Solana Female HODL Whales #49,"The Solana Female HODL Whales are a collection of 1,500 #DiamondHand NFT collectors who are the last surviving species from the port of Diamond City.",image,"[{'address': 'Fybs39h31TvadbU9QaWhqw7zgGcywrDUWZyihWgnodNs', 'verified': 1, 'share': 0}, {'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'verified': 0, 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'verified': 0, 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'verified': 0, 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'verified': 0, 'share': 10}]",1000,8KsXdgCoHYCe7Dgh5qfWwkBAx5qnQCAckoBdyuN65e4o,"[{'trait_type': 'Body', 'value': 'Female'}, {'trait_type': 'Type', 'value': 'Mint'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'White Shades'}, {'trait_type': 'Hat', 'value': 'Green Baseball Cap'}, {'trait_type': 'Outfit', 'value': 'Nurse'}, {'trait_type': 'Fishbowl', 'value': 'Balloon'}, {'trait_type': 'Background', 'value': 'Lagoon'}, {'trait_type': 'Mouth', 'value': 'None'}]","{'files': [{'uri': 'https://www.arweave.net/KE65A8xIfcGx_LuJTYn7VxitVy2gj5CMO5tTVX5fprw?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'share': 10}]}",1,SeEggZk4i2b2qF6NQ1Ntszcsj2jsaZidGQ5zPEVpwXs,1,{},{'howrare': {'rank': 663}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
2,EQedDtkBKuc6itKtoEb5wMhYxyqmkN4V9HExsiGwGuPc,13.45,CyDLEPzEzHzTTqrLYH9S4HREd4NHnG42uSowoVBxe6aB,HsVgebknagVEgmc5DSdSwwFF3oKn169vjkrS3a3h77sb,female_hodl_whales,Female HODL Whales,https://arweave.net/JFs7Pee_Xf684b6W_0WjygYUiUMhZZe001zqwAENzio?ext=png,Solana Female HODL Whales #125,"The Solana Female HODL Whales are a collection of 1,500 #DiamondHand NFT collectors who are the last surviving species from the port of Diamond City.",image,"[{'address': 'Fybs39h31TvadbU9QaWhqw7zgGcywrDUWZyihWgnodNs', 'verified': 1, 'share': 0}, {'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'verified': 0, 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'verified': 0, 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'verified': 0, 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'verified': 0, 'share': 10}]",1000,DHa5NBF6V8zHrhVainMbdya96KVoH7PKFLsMMozuwuDp,"[{'trait_type': 'Mouth', 'value': 'Duck Lips'}, {'trait_type': 'Hat', 'value': 'Punk'}, {'trait_type': 'Eyes', 'value': 'Eyeshadow'}, {'trait_type': 'Type', 'value': 'Purple'}, {'trait_type': 'Body', 'value': 'Female'}, {'trait_type': 'Background', 'value': 'Off White'}, {'trait_type': 'Fishbowl', 'value': 'Lavender'}, {'trait_type': 'Outfit', 'value': 'Sweater'}, {'trait_type': 'Accessories', 'value': 'None'}]","{'files': [{'uri': '124.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'share': 10}]}",1,SeEggZk4i2b2qF6NQ1Ntszcsj2jsaZidGQ5zPEVpwXs,1,{},{'howrare': {'rank': 1383}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
3,3SRLSV2YNHJRXvfGsH9kAFtJ6Wc3KH4WkUj2zgTYRkZv,14.0,9grQXFbyy2h2KcbPRUrsKAzXMmDh6uNa4iQWpRRxPGUq,AUK1CPP9CEpgxjjobPbZhixtFPdxN6tP258docxJ28KL,female_hodl_whales,Female HODL Whales,https://arweave.net/-KY1ITUDXPzquOn1rt-gmocYVYDO6ZSOUD372SjItWU?ext=png,Solana Female HODL Whales #385,"The Solana Female HODL Whales are a collection of 1,500 #DiamondHand NFT collectors who are the last surviving species from the port of Diamond City.",image,"[{'address': 'Fybs39h31TvadbU9QaWhqw7zgGcywrDUWZyihWgnodNs', 'verified': 1, 'share': 0}, {'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'verified': 0, 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'verified': 0, 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'verified': 0, 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'verified': 0, 'share': 10}]",1000,9JoZWDBWyMwe7nauXihYnhSR1n1r5FZL2zWrxo5xUvJ1,"[{'trait_type': 'Mouth', 'value': 'Fang'}, {'trait_type': 'Type', 'value': 'Peach'}, {'trait_type': 'Hat', 'value': 'Blue Afro'}, {'trait_type': 'Eyes', 'value': 'Eyeshadow'}, {'trait_type': 'Fishbowl', 'value': 'Cyber'}, {'trait_type': 'Body', 'value': 'Female'}, {'trait_type': 'Outfit', 'value': 'Pink'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Teal'}]","{'files': [{'uri': '384.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'share': 10}]}",1,SeEggZk4i2b2qF6NQ1Ntszcsj2jsaZidGQ5zPEVpwXs,1,{},{'howrare': {'rank': 1192}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
4,FLdZDAsJifjiUfkpjM3pvMNTAQbKTQQFWzhQJcrbT77A,14.0,2Tx5G6ZNsYratnN7683mkgVaiBcpwXfQiojZ6QzcdyLF,FX7jihboiK4gtrXvEAA5AqvKJRCKnfmc3ChVBbvsfUys,female_hodl_whales,Female HODL Whales,https://arweave.net/eR9-rl-Pc2auMghyf4PgcKykUKXlcI9qsITvYZyQD2A?ext=png,Solana Female HODL Whales #1109,"The Solana Female HODL Whales are a collection of 1,500 #DiamondHand NFT collectors who are the last surviving species from the port of Diamond City.",image,"[{'address': 'Fybs39h31TvadbU9QaWhqw7zgGcywrDUWZyihWgnodNs', 'verified': 1, 'share': 0}, {'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'verified': 0, 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'verified': 0, 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'verified': 0, 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'verified': 0, 'share': 10}]",1000,7eFTsi1ReuAHfksPtFYQczJNBwipvLdtD4eM2CMFxGty,"[{'trait_type': 'Eyes', 'value': 'Pity'}, {'trait_type': 'Hat', 'value': 'Green Baseball Cap'}, {'trait_type': 'Type', 'value': 'Navy'}, {'trait_type': 'Mouth', 'value': 'Surprised'}, {'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Outfit', 'value': 'Soccer Jersey'}, {'trait_type': 'Fishbowl', 'value': 'Pink'}, {'trait_type': 'Body', 'value': 'Female'}]","{'files': [{'uri': '1108.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'share': 10}]}",1,SeEggZk4i2b2qF6NQ1Ntszcsj2jsaZidGQ5zPEVpwXs,1,{},{'howrare': {'rank': 1399}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
5,WyoDiubA6vwWKHTMxaDm1MsG5LwuruwxxXooBCthN7J,14.5,9oUPsBckmoUkrjJC6HTdh96nrcRrtevSgxJzHTZveyh2,387Wkp27fQaGAiyJUqQNNLafBFbFtmK6aoBh6tEYSz58,female_hodl_whales,Female HODL Whales,https://arweave.net/tRVc72ABsmtM2-aW6lHt92aGlMbWW1l1nOwriPJ-QgE?ext=png,Solana Female HODL Whales #876,"The Solana Female HODL Whales are a collection of 1,500 #DiamondHand NFT collectors who are the last surviving species from the port of Diamond City.",image,"[{'address': 'Fybs39h31TvadbU9QaWhqw7zgGcywrDUWZyihWgnodNs', 'verified': 1, 'share': 0}, {'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'verified': 0, 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'verified': 0, 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'verified': 0, 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'verified': 0, 'share': 10}]",1000,6kjgYW3YNADJ1ojfwTf6nYkFggE1LNvUNUyaGQRx9AWK,"[{'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Type', 'value': 'Orange'}, {'trait_type': 'Body', 'value': 'Female'}, {'trait_type': 'Eyes', 'value': 'Closed'}, {'trait_type': 'Hat', 'value': 'Braided'}, {'trait_type': 'Outfit', 'value': 'Yellow Set'}, {'trait_type': 'Background', 'value': 'Tiffany'}, {'trait_type': 'Fishbowl', 'value': 'Peach'}, {'trait_type': 'Mouth', 'value': 'Tongue Out'}]","{'files': [{'uri': '875.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'share': 10}]}",1,SeEggZk4i2b2qF6NQ1Ntszcsj2jsaZidGQ5zPEVpwXs,1,{},{'howrare': {'rank': 943}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
6,CPGk4r6LubHKFSS6Hn5F9qVMjzhZSJ6KSJ7jvQdoDe2k,14.5,Di8VL31W4CYSwmWPG7tgNHikW3Yoq8KDr7stmG9pycHK,H2Mc1QiKjhCyETC6gf7Sc4CZjQ8gq3nRLrqfxB2TTb3w,female_hodl_whales,Female HODL Whales,https://arweave.net/WHTPH8HfNG2WTsl1YRZIfaKT1MbhlWX5CuJeL2VjXQg?ext=png,Solana Female HODL Whales #283,"The Solana Female HODL Whales are a collection of 1,500 #DiamondHand NFT collectors who are the last surviving species from the port of Diamond City.",image,"[{'address': 'Fybs39h31TvadbU9QaWhqw7zgGcywrDUWZyihWgnodNs', 'verified': 1, 'share': 0}, {'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'verified': 0, 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'verified': 0, 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'verified': 0, 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'verified': 0, 'share': 10}]",1000,7X1BjrpcxjaxbPvdD3cMmnqKuZYGhsLXuSvBAy8vTxJF,"[{'trait_type': 'Body', 'value': 'Female'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Type', 'value': 'Wood'}, {'trait_type': 'Mouth', 'value': 'Surprised'}, {'trait_type': 'Background', 'value': 'Sand'}, {'trait_type': 'Hat', 'value': 'Blue Afro'}, {'trait_type': 'Eyes', 'value': 'Green Eyes'}, {'trait_type': 'Outfit', 'value': 'Coat'}, {'trait_type': 'Fishbowl', 'value': 'Mosaic'}]","{'files': [{'uri': '282.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'share': 10}]}",1,SeEggZk4i2b2qF6NQ1Ntszcsj2jsaZidGQ5zPEVpwXs,1,{},{'howrare': {'rank': 295}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
7,AwAqTdF2UrNfaWu6QywYrYuYdb4DtqRgnChvd93hFeTS,15.0,6KbEWEmnqxpTXKFP3jnFeJcx6sLSV4WWqQwnJGDCmAUX,9kS3AhAvsqPmJyVNX43phg57PtCAGrSpcs5cqxg8Ekze,female_hodl_whales,Female HODL Whales,https://arweave.net/ceBWw3sE1Tc1dmVwgNXzOCr9BCftaUc4J2KJxAsTBfk?ext=png,Solana Female HODL Whales #1286,"The Solana Female HODL Whales are a collection of 1,500 #DiamondHand NFT collectors who are the last surviving species from the port of Diamond City.",image,"[{'address': 'Fybs39h31TvadbU9QaWhqw7zgGcywrDUWZyihWgnodNs', 'verified': 1, 'share': 0}, {'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'verified': 0, 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'verified': 0, 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'verified': 0, 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'verified': 0, 'share': 10}]",1000,7Rk7vyLmEenXvbfT2Rin3pM1zMMXa3yrCurEhtKJC2kh,"[{'trait_type': 'Fishbowl', 'value': 'Flower'}, {'trait_type': 'Outfit', 'value': 'Brown Hoodie'}, {'trait_type': 'Type', 'value': 'Orange'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Scared'}, {'trait_type': 'Hat', 'value': 'Pom Pom'}, {'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Body', 'value': 'Female'}, {'trait_type': 'Eyes', 'value': 'Pity'}]","{'files': [{'uri': '1285.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'share': 10}]}",1,SeEggZk4i2b2qF6NQ1Ntszcsj2jsaZidGQ5zPEVpwXs,1,{},{'howrare': {'rank': 1487}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
8,BzMGS6eGaeSmoKkpgjB1PAGtPZZTTvMVdkPJT62n31rv,15.0,BsEWPAvUodsVLpYUNBLRAfhMSsw66rGzGzRSVdNRVQNG,5Ew2Lppe1nQjPLNJgrh7avrteT3zKRPBZwiCFwvLgsQn,female_hodl_whales,Female HODL Whales,https://www.arweave.net/_Etp8p-YjkfnKnvez1LXV0zIA-BjzGDqH4fYTocyYMk?ext=png,Solana Female HODL Whales #1117,"The Solana Female HODL Whales are a collection of 1,500 #DiamondHand NFT collectors who are the last surviving species from the port of Diamond City.",image,"[{'address': 'Fybs39h31TvadbU9QaWhqw7zgGcywrDUWZyihWgnodNs', 'verified': 1, 'share': 0}, {'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'verified': 0, 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'verified': 0, 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'verified': 0, 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'verified': 0, 'share': 10}]",1000,8syf31vCdCcaktvinGQUDhpKWKNM7THhy1ZTZbUDprS8,"[{'trait_type': 'Type', 'value': 'Cyborg'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Lollipop'}, {'trait_type': 'Body', 'value': 'Female'}, {'trait_type': 'Hat', 'value': 'Blue Baseball Cap'}, {'trait_type': 'Outfit', 'value': 'Brown Hoodie'}, {'trait_type': 'Fishbowl', 'value': 'Yellow'}, {'trait_type': 'Background', 'value': 'Turquoise'}, {'trait_type': 'Eyes', 'value': 'Green Eyes'}]","{'files': [{'uri': 'https://www.arweave.net/_Etp8p-YjkfnKnvez1LXV0zIA-BjzGDqH4fYTocyYMk?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'share': 10}]}",1,SeEggZk4i2b2qF6NQ1Ntszcsj2jsaZidGQ5zPEVpwXs,1,{},{'howrare': {'rank': 541}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
9,2FTHEYersHDyqiHwzPzFY2AqoSFLuz4PQC8EvKBojpSQ,15.9,6egnxT2hbHdLM9YjgCj4XMXQshE9n6CTqd2SymXfp382,4rXKYpKpXEEa1zHK8VjNxJVUSPRhMgY9kwE7wJrcvtjU,female_hodl_whales,Female HODL Whales,https://arweave.net/Cji7sGcsUk0MnBC3EpYWksrOBxViCp4OqUs0tHNocRg?ext=png,Solana Female HODL Whales #672,"The Solana Female HODL Whales are a collection of 1,500 #DiamondHand NFT collectors who are the last surviving species from the port of Diamond City.",image,"[{'address': 'Fybs39h31TvadbU9QaWhqw7zgGcywrDUWZyihWgnodNs', 'verified': 1, 'share': 0}, {'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'verified': 0, 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'verified': 0, 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'verified': 0, 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'verified': 0, 'share': 10}]",1000,BFL6J21WAQiiqJoXCwx1DL2vFcXL2FVDyTMziNAGzqZT,"[{'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Body', 'value': 'Female'}, {'trait_type': 'Type', 'value': 'Original'}, {'trait_type': 'Eyes', 'value': 'Cute'}, {'trait_type': 'Hat', 'value': 'Yellow Baseball Cap'}, {'trait_type': 'Background', 'value': 'Teal'}, {'trait_type': 'Mouth', 'value': 'Surprised'}, {'trait_type': 'Fishbowl', 'value': 'Clean'}, {'trait_type': 'Outfit', 'value': 'Football Jersey'}]","{'files': [{'uri': '671.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Bu8n9a4m6uh8wnXMX5QmtX5pJsFy3Qeio2YqGSsLfFn4', 'share': 50}, {'address': 'Gnv65FfQHthe7PLj3TSfgbmKjB5siCiq4Kk5m3SKXyBw', 'share': 20}, {'address': 'HtF5s1vun53i8pKzXdsp3Y31xeFGTJCWFgBB78PcUAX5', 'share': 20}, {'address': 'DZJB2q4UPLCR2Kt9iU9XUfFiV4Baiej4Z16ZasayD17L', 'share': 10}]}",1,SeEggZk4i2b2qF6NQ1Ntszcsj2jsaZidGQ5zPEVpwXs,1,{},{'howrare': {'rank': 1498}},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
