,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,Hynkh3yXxbvZNtBFuCMwVuZ4ypbvfFw6QSZPSEZ1AhxH,0.8,59LBz2jE4euHbgvmHvh6cqwNbwXvWxm7xQzstwKCDQPW,F2jWtKdBvVjuXpp2hP66rhG9LLJmZnCi3rZHk98fqgkx,flamez,Flavor Flamez,https://www.arweave.net/UDou_GscWYZ8CbyRwDhXC7hN60JLyXPdtlvNGSyczTw?ext=png,Flavor Flamez #1739,"3,333 Flavor Flamez burning up on the Solana Network! Together the Flavor Flamez communicate their plays and vote on how the FlamezDAO treasury is spent!",,image,"[{'address': 'EnHzuQngSDx7GT7xXEAYtxx9PD8tV88DjmCDmbeGBbA5', 'verified': 1, 'share': 0}, {'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'verified': 0, 'share': 100}]",1000,Cs3LpBLjfPgWWYJZ6q4UQYvEpG5Gdo3QQf11bi6BJAGo,"[{'trait_type': 'Background', 'value': 'Gray Isolation'}, {'trait_type': 'Back Accessories', 'value': 'None'}, {'trait_type': 'Flavor', 'value': 'Solana'}, {'trait_type': 'Tee', 'value': 'Mauve Tee'}, {'trait_type': 'Tee Graphic', 'value': 'None'}, {'trait_type': 'Overshirt', 'value': 'Navy Blue'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Scared'}, {'trait_type': 'Mouth', 'value': 'Snarl'}, {'trait_type': 'Mustache', 'value': 'None'}, {'trait_type': 'Shades', 'value': 'None'}, {'trait_type': 'Nose', 'value': 'Nose'}, {'trait_type': 'Head Accessories', 'value': 'Kawaii Frens'}, {'trait_type': 'Flame Flame Pet', 'value': 'None'}]","{'files': [{'uri': 'https://www.arweave.net/UDou_GscWYZ8CbyRwDhXC7hN60JLyXPdtlvNGSyczTw?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'share': 100}]}",1,Bdso2QUnV4vHe8wBESdgZtPKB2vATs3QchDp2PARz2Br,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
1,GEFuTCreCKaWMbvjgXwvFZiPPSsW92VHf9dTM3eJbCpP,0.87,3pCkiPzucFptSnhyqBCtvejeo9bfu7vzfEJw84XfPizx,26Xpy7ai1ANtQEqNWBybUaidXQURXfMBy99N1wAGbirw,flamez,Flavor Flamez,https://www.arweave.net/GiJanKGuWNF0Pbg1ePi8DPTQyYkEpNw2cAlp487_bH0?ext=png,Flavor Flamez #316,"3,333 Flavor Flamez burning up on the Solana Network! Together the Flavor Flamez communicate their plays and vote on how the FlamezDAO treasury is spent!",,image,"[{'address': 'EnHzuQngSDx7GT7xXEAYtxx9PD8tV88DjmCDmbeGBbA5', 'verified': 1, 'share': 0}, {'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'verified': 0, 'share': 100}]",1000,9rEKHFQgJX9pm9k741iMCV6XrzLn6GKAdddGvw7xoUk1,"[{'trait_type': 'Background', 'value': 'Orange Isolation'}, {'trait_type': 'Back Accessories', 'value': 'None'}, {'trait_type': 'Flavor', 'value': 'Horned Lemon'}, {'trait_type': 'Tee', 'value': 'Red Tee'}, {'trait_type': 'Tee Graphic', 'value': 'None'}, {'trait_type': 'Jacket', 'value': 'Moldy Hoodie'}, {'trait_type': 'Accessories', 'value': 'Green Paisley Scarf'}, {'trait_type': 'Eyes', 'value': 'Mischevious'}, {'trait_type': 'Mouth', 'value': 'Snarl'}, {'trait_type': 'Mustache', 'value': 'None'}, {'trait_type': 'Shades', 'value': 'None'}, {'trait_type': 'Nose', 'value': 'Nose'}, {'trait_type': 'Head Accessories', 'value': 'Lucky 7s'}, {'trait_type': 'Flame Flame Pet', 'value': 'None'}]","{'files': [{'uri': 'https://www.arweave.net/GiJanKGuWNF0Pbg1ePi8DPTQyYkEpNw2cAlp487_bH0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'share': 100}]}",1,Bdso2QUnV4vHe8wBESdgZtPKB2vATs3QchDp2PARz2Br,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2539}},,
2,GvBhrxLChPY3EVo7JyXdwUVQaHHaxx7vw9oEvYo7XteX,0.88,6NcqyJmBSASsEUY6mqFzw58Qox7RGocLnPuScf8QLT4t,AJDdu2dWAmLRh3HyHwe3ZLt4L4SKMjoD4j9dXzvnyxps,flamez,Flavor Flamez,https://www.arweave.net/lRF22bYioX-jvMNl9zMP9VJ12BIsZ6KkDm3ZoXMvzqI?ext=png,Flavor Flamez #684,"3,333 Flavor Flamez burning up on the Solana Network! Together the Flavor Flamez communicate their plays and vote on how the FlamezDAO treasury is spent!",,image,"[{'address': 'EnHzuQngSDx7GT7xXEAYtxx9PD8tV88DjmCDmbeGBbA5', 'verified': 1, 'share': 0}, {'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'verified': 0, 'share': 100}]",1000,BPQv5PxbRJrWnfuvdbFF51UuDz3tz1mfR1BBPcxz3rhD,"[{'trait_type': 'Background', 'value': 'Lavender Isolation'}, {'trait_type': 'Back Accessories', 'value': 'None'}, {'trait_type': 'Flavor', 'value': 'Blue'}, {'trait_type': 'Tee', 'value': 'Mauve Tee'}, {'trait_type': 'Tee Graphic', 'value': 'None'}, {'trait_type': 'Jacket', 'value': 'Yellow Hoodie'}, {'trait_type': 'Accessories', 'value': 'Blue Paisley Scarf'}, {'trait_type': 'Eyes', 'value': 'Heart'}, {'trait_type': 'Mouth', 'value': 'Disappointed'}, {'trait_type': 'Mustache', 'value': 'None'}, {'trait_type': 'Shades', 'value': 'Goggles'}, {'trait_type': 'Nose', 'value': 'Nose'}, {'trait_type': 'Head Accessories', 'value': 'Lucky 7s'}, {'trait_type': 'Flame Flame Pet', 'value': 'None'}]","{'files': [{'uri': 'https://www.arweave.net/lRF22bYioX-jvMNl9zMP9VJ12BIsZ6KkDm3ZoXMvzqI?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'share': 100}]}",1,Bdso2QUnV4vHe8wBESdgZtPKB2vATs3QchDp2PARz2Br,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2429}},,
3,CFX2moUCREkDBEMF3AUuY1hGZmnAmFt4DDam7MrxCxCU,0.88,7npj22NZErff7eaWe17DMaR9c7yFnv7HrSnLNkUwDdo,6duzP33PuZUg2p79MaF3ujB7osJny4LtzfNyxMtp8Tvx,flamez,Flavor Flamez,https://www.arweave.net/ddFCHl2wLbkBHrkZxxQHLu52PmqSd7BuYA87Bf0PFU0?ext=png,Flavor Flamez #2383,"3,333 Flavor Flamez burning up on the Solana Network! Together the Flavor Flamez communicate their plays and vote on how the FlamezDAO treasury is spent!",,image,"[{'address': 'EnHzuQngSDx7GT7xXEAYtxx9PD8tV88DjmCDmbeGBbA5', 'verified': 1, 'share': 0}, {'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'verified': 0, 'share': 100}]",1000,5jEsBq4XuYhhodzyovBCdSFtowTRE8RYxbktQfCzy8Sp,"[{'trait_type': 'Background', 'value': 'Smoke Break'}, {'trait_type': 'Back Accessories', 'value': 'None'}, {'trait_type': 'Flavor', 'value': 'Horned Blue'}, {'trait_type': 'Tee', 'value': 'Red Tee'}, {'trait_type': 'Tee Graphic', 'value': 'Hot Hippo'}, {'trait_type': 'Overshirt', 'value': 'Green Squares'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'RBF '}, {'trait_type': 'Mouth', 'value': 'Upset'}, {'trait_type': 'Mustache', 'value': 'None'}, {'trait_type': 'Shades', 'value': 'None'}, {'trait_type': 'Nose', 'value': 'Nose'}, {'trait_type': 'Head Accessories', 'value': 'Lucky 7s'}, {'trait_type': 'Flame Flame Pet', 'value': 'None'}]","{'files': [{'uri': 'https://www.arweave.net/ddFCHl2wLbkBHrkZxxQHLu52PmqSd7BuYA87Bf0PFU0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'share': 100}]}",1,Bdso2QUnV4vHe8wBESdgZtPKB2vATs3QchDp2PARz2Br,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2838}},,
4,a3eH1219vdANDSJg2z7JvmuiPfiTK11mYLvyoJ66rkp,0.88,DGRMyw3VHGry5SAM5CDgMKHGp59gQdMwM2ZRM6HCWmeJ,5Zex19WK8vAynLv5wUCbuZSaRWLurtgY6Hf2xTyTyMTd,flamez,Flavor Flamez,https://www.arweave.net/FclUa-t-oN_YDj6oZePOnE-kkYpPRHZ7tGiXbXJS160?ext=png,Flavor Flamez #112,"3,333 Flavor Flamez burning up on the Solana Network! Together the Flavor Flamez communicate their plays and vote on how the FlamezDAO treasury is spent!",,image,"[{'address': 'EnHzuQngSDx7GT7xXEAYtxx9PD8tV88DjmCDmbeGBbA5', 'verified': 1, 'share': 0}, {'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'verified': 0, 'share': 100}]",1000,9ix2pPAafNVeQE74dm99sG9YjHNPv5Z1SoqeBC1Kp7Ak,"[{'trait_type': 'Background', 'value': 'Sunrise Isolation'}, {'trait_type': 'Back Accessories', 'value': 'None'}, {'trait_type': 'Flavor', 'value': 'Lemon'}, {'trait_type': 'Tee', 'value': 'Proclub'}, {'trait_type': 'Tee Graphic', 'value': 'Droplet'}, {'trait_type': 'Jacket', 'value': 'None'}, {'trait_type': 'Accessories', 'value': 'Plaid Scarf'}, {'trait_type': 'Eyes', 'value': 'Intense'}, {'trait_type': 'Mouth', 'value': 'Snarl'}, {'trait_type': 'Mustache', 'value': 'None'}, {'trait_type': 'Shades', 'value': 'None'}, {'trait_type': 'Nose', 'value': 'Nose'}, {'trait_type': 'Head Accessories', 'value': 'None'}, {'trait_type': 'Flame Flame Pet', 'value': 'None'}]","{'files': [{'uri': 'https://www.arweave.net/FclUa-t-oN_YDj6oZePOnE-kkYpPRHZ7tGiXbXJS160?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'share': 100}]}",1,Bdso2QUnV4vHe8wBESdgZtPKB2vATs3QchDp2PARz2Br,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2966}},,
5,Ecy2XVaqpN3ano67EJis5BNxW22P9YnMjU47HyEqNTeN,0.89,42ZLGSVUoqs77bqHnk8k1hxwTfuhnd1nUHFJVWwfCyh4,2PMvEGkN9dViTSshnYw2MT41c73zULGNkXyHN4QV6CR2,flamez,Flavor Flamez,https://www.arweave.net/U7Blt0Rjt3Yy5a-UB6NjWdQuAlQC1bWvXp30va1mksA?ext=png,Flavor Flamez #27,"3,333 Flavor Flamez burning up on the Solana Network! Together the Flavor Flamez communicate their plays and vote on how the FlamezDAO treasury is spent!",,image,"[{'address': 'EnHzuQngSDx7GT7xXEAYtxx9PD8tV88DjmCDmbeGBbA5', 'verified': 1, 'share': 0}, {'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'verified': 0, 'share': 100}]",1000,CFYz7kQGK4KZVsZf8hrg64cASniVxFWvAgeq82M3PhqJ,"[{'trait_type': 'Background', 'value': 'Smoke Break'}, {'trait_type': 'Back Accessories', 'value': 'None'}, {'trait_type': 'Flavor', 'value': 'Blue'}, {'trait_type': 'Tee', 'value': 'Blue Tee'}, {'trait_type': 'Tee Graphic', 'value': 'None'}, {'trait_type': 'Jacket', 'value': 'None'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Nervous'}, {'trait_type': 'Mouth', 'value': 'Disappointed'}, {'trait_type': 'Mustache', 'value': 'None'}, {'trait_type': 'Shades', 'value': 'None'}, {'trait_type': 'Nose', 'value': 'Nose'}, {'trait_type': 'Head Accessories', 'value': 'Pink Fuzzy Hat'}, {'trait_type': 'Flame Flame Pet', 'value': 'None'}]","{'files': [{'uri': 'https://www.arweave.net/U7Blt0Rjt3Yy5a-UB6NjWdQuAlQC1bWvXp30va1mksA?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'share': 100}]}",1,Bdso2QUnV4vHe8wBESdgZtPKB2vATs3QchDp2PARz2Br,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2924}},,
6,4KjbHuqJUSaFwsGXthV8JZyURuFXA8EJLHqK9oWz6xRw,0.9,8au2BoZYfWxxMsPpbjc8z6QSb1hVKLzmsftAxs9LknfY,Ab3HetDzVbwHg6abW5pvv3W8kDuPkXr6pDQN3yNgmHP1,flamez,Flavor Flamez,https://www.arweave.net/U8A31Z58vh5fUa1X9FsHcyJJjXaDyVi698ZmChtFMyA?ext=png,Flavor Flamez #885,"3,333 Flavor Flamez burning up on the Solana Network! Together the Flavor Flamez communicate their plays and vote on how the FlamezDAO treasury is spent!",,image,"[{'address': 'EnHzuQngSDx7GT7xXEAYtxx9PD8tV88DjmCDmbeGBbA5', 'verified': 1, 'share': 0}, {'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'verified': 0, 'share': 100}]",1000,dNUQ8emsbanqwCiw1ddtbTyL9bWttZFMarqUmX3Zqm2,"[{'trait_type': 'Background', 'value': 'Red Isolation'}, {'trait_type': 'Back Accessories', 'value': 'None'}, {'trait_type': 'Flavor', 'value': 'Chili'}, {'trait_type': 'Tee', 'value': 'Mauve Tee'}, {'trait_type': 'Tee Graphic', 'value': 'The Flame Foundation'}, {'trait_type': 'Jacket', 'value': 'None'}, {'trait_type': 'Accessories', 'value': 'Gold Medal'}, {'trait_type': 'Eyes', 'value': 'Sick'}, {'trait_type': 'Mouth', 'value': 'Snarl'}, {'trait_type': 'Mustache', 'value': 'None'}, {'trait_type': 'Shades', 'value': 'None'}, {'trait_type': 'Nose', 'value': 'Nose'}, {'trait_type': 'Head Accessories', 'value': 'Orange Bandana'}, {'trait_type': 'Flame Flame Pet', 'value': 'None'}]","{'files': [{'uri': 'https://www.arweave.net/U8A31Z58vh5fUa1X9FsHcyJJjXaDyVi698ZmChtFMyA?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'share': 100}]}",1,Bdso2QUnV4vHe8wBESdgZtPKB2vATs3QchDp2PARz2Br,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3149}},,
7,E7hadVcb64Hfp4UavKijMcmhC184nKi7P8iJowsntc96,0.9,EEQHHqrzHRFCCSoHHtqNHRr61wfo3dUN82KpMUYHGZ2T,DeMRwK45sFKmhN7r1WbpF2PxW7wPJGqUtf9K5ZGLjvQn,flamez,Flavor Flamez,https://www.arweave.net/ITmQp8SG1CldRL6qeq2En_NdRvhWuDVQ95DNpE2F6v0?ext=png,Flavor Flamez #308,"3,333 Flavor Flamez burning up on the Solana Network! Together the Flavor Flamez communicate their plays and vote on how the FlamezDAO treasury is spent!",,image,"[{'address': 'EnHzuQngSDx7GT7xXEAYtxx9PD8tV88DjmCDmbeGBbA5', 'verified': 1, 'share': 0}, {'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'verified': 0, 'share': 100}]",1000,GaSpzoLYbbJKJB7onXyW6XfDZ39ECHkDTefrMESDKKHT,"[{'trait_type': 'Background', 'value': 'Red Isolation'}, {'trait_type': 'Back Accessories', 'value': 'None'}, {'trait_type': 'Flavor', 'value': 'Horned Lemon'}, {'trait_type': 'Tee', 'value': 'White Tee '}, {'trait_type': 'Tee Graphic', 'value': 'Flame Owl'}, {'trait_type': 'Jacket', 'value': 'None'}, {'trait_type': 'Accessories', 'value': 'Tummy Backpack'}, {'trait_type': 'Eyes', 'value': 'Sour'}, {'trait_type': 'Mouth', 'value': 'Smiley'}, {'trait_type': 'Mustache', 'value': 'None'}, {'trait_type': 'Shades', 'value': 'Valentine’s'}, {'trait_type': 'Nose', 'value': 'Nose'}, {'trait_type': 'Head Accessories', 'value': 'Orange Bandana'}, {'trait_type': 'Flame Flame Pet', 'value': 'None'}]","{'files': [{'uri': 'https://www.arweave.net/ITmQp8SG1CldRL6qeq2En_NdRvhWuDVQ95DNpE2F6v0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'share': 100}]}",1,Bdso2QUnV4vHe8wBESdgZtPKB2vATs3QchDp2PARz2Br,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2086}},,
8,4GGvy4wBMpVh9rLLGZxLwa5fKoaiLLNKUkJnAxNwKoc2,0.9,A9Csz883KuWy8rAmTae6wKttKw5QCR7QBM8n1rpg6GBT,B3DXBGGQq9yJgYZadoxgP7qKPRJqvTjgujkK1PTePzbi,flamez,Flavor Flamez,https://www.arweave.net/3zIm9Lwy3FX18pdH5clrIsP1C8VZU5MVfJOPzQCvZMg?ext=png,Flavor Flamez #2488,"3,333 Flavor Flamez burning up on the Solana Network! Together the Flavor Flamez communicate their plays and vote on how the FlamezDAO treasury is spent!",,image,"[{'address': 'EnHzuQngSDx7GT7xXEAYtxx9PD8tV88DjmCDmbeGBbA5', 'verified': 1, 'share': 0}, {'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'verified': 0, 'share': 100}]",1000,ASn53CMLL2kYiMX3unAHae5VQWCSrjmguGidN9iscXH7,"[{'trait_type': 'Background', 'value': 'Smoke Break'}, {'trait_type': 'Back Accessories', 'value': 'None'}, {'trait_type': 'Flavor', 'value': 'Blue'}, {'trait_type': 'Tee', 'value': 'Proclub'}, {'trait_type': 'Tee Graphic', 'value': 'None'}, {'trait_type': 'Overshirt', 'value': 'Fieriz Flamez'}, {'trait_type': 'Accessories', 'value': 'Gold Chain'}, {'trait_type': 'Eyes', 'value': 'RBF '}, {'trait_type': 'Mouth', 'value': 'Speechless'}, {'trait_type': 'Mustache', 'value': 'None'}, {'trait_type': 'Shades', 'value': 'None'}, {'trait_type': 'Nose', 'value': 'Nose'}, {'trait_type': 'Head Accessories', 'value': 'None'}, {'trait_type': 'Flame Flame Pet', 'value': 'None'}]","{'files': [{'uri': 'https://www.arweave.net/3zIm9Lwy3FX18pdH5clrIsP1C8VZU5MVfJOPzQCvZMg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'share': 100}]}",1,Bdso2QUnV4vHe8wBESdgZtPKB2vATs3QchDp2PARz2Br,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 1318}},,
9,619AQTg5NNiVJA8r5y1QqCx3GK9HSuoCzRgBW1cTYcqo,0.9,FQDkaBuqWR8z96Yf54eLEr5kJzodpgohftz8sNnoSL2y,B3DXBGGQq9yJgYZadoxgP7qKPRJqvTjgujkK1PTePzbi,flamez,Flavor Flamez,https://www.arweave.net/WVce2LZZuz2RRBF82vBDvzHn7OYXTWAwf9R1YOBHC_Q?ext=png,Flavor Flamez #1684,"3,333 Flavor Flamez burning up on the Solana Network! Together the Flavor Flamez communicate their plays and vote on how the FlamezDAO treasury is spent!",,image,"[{'address': 'EnHzuQngSDx7GT7xXEAYtxx9PD8tV88DjmCDmbeGBbA5', 'verified': 1, 'share': 0}, {'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'verified': 0, 'share': 100}]",1000,EqSeWcQj1xm8cMYDsKHGkMzgDNM4eF66Hj1958RYj4m7,"[{'trait_type': 'Background', 'value': 'Purple Isolation'}, {'trait_type': 'Back Accessories', 'value': 'None'}, {'trait_type': 'Flavor', 'value': 'Horned Blue'}, {'trait_type': 'Tee', 'value': 'Black Tee'}, {'trait_type': 'Tee Graphic', 'value': 'None'}, {'trait_type': 'Overshirt', 'value': 'Olive Button Up'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'RBF '}, {'trait_type': 'Mouth', 'value': 'Disappointed'}, {'trait_type': 'Mustache', 'value': 'None'}, {'trait_type': 'Shades', 'value': 'Green Shades'}, {'trait_type': 'Nose', 'value': 'Nose'}, {'trait_type': 'Head Accessories', 'value': 'Off Work'}, {'trait_type': 'Flame Flame Pet', 'value': 'None'}]","{'files': [{'uri': 'https://www.arweave.net/WVce2LZZuz2RRBF82vBDvzHn7OYXTWAwf9R1YOBHC_Q?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Dhr1CoQscnxdvj6qn2FLvLE5FonF3AxKbLdjhM6mzicR', 'share': 100}]}",1,Bdso2QUnV4vHe8wBESdgZtPKB2vATs3QchDp2PARz2Br,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 1330}},,
