,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,5LpUzb9VFnJzTQRf9wYcsmCqeQFupJYTmuihXYtEogna,2.18,346LzFbfzkSZvfiHWPbypADdoioQjxbU2sLwDUMnWv9Z,7woqoyhrysYZCRsHKSWmYEVtHxP3qWBjvpmUfNS71Ste,funguyz,FunGuyz,https://bafybeig6wedk62jcxybsj2f75pzlhgjxcv2s2ysft5sz4xqninwxfsu3xa.ipfs.dweb.link?ext=png,FunGuyz #833,"3,000 happy-go-lucky mushroom NFTs born on the Solana blockchain. Join the ""Fun Fam"" and stand out with the coolest mushrooms in the metaverse.",https://funguyz.io/,image,"[{'address': 'EpdbBxH9t4A2dQHhghwHHRqX96weezQTggHrNgiTwSFL', 'verified': 1, 'share': 0}, {'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'verified': 0, 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'verified': 0, 'share': 50}]",500,6B8WeevxiBgxjDv6BvQoYceLidUCCQH1yx2nvQ3JUMbb,"[{'trait_type': '1. Background', 'value': 'Groovy Red'}, {'trait_type': '2. Mushroom Stalk', 'value': 'Light Stalk'}, {'trait_type': '3. Mushroom Cap', 'value': 'Blue'}, {'trait_type': '4. Outfit', 'value': 'The Traveler'}, {'trait_type': '5. Mouth', 'value': 'Dark Brown'}, {'trait_type': '6. Facial Hair', 'value': 'Mega Beard (Brown)'}, {'trait_type': '7. Eyes', 'value': ""Can't Tell Me Nothing""}]","{'category': 'image', 'creators': [{'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'share': 50}], 'files': [{'uri': '833.png', 'type': 'image/png'}]}",1,DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2262}}
1,GEg9pYpU4xxZToJ9nuTaUJc3fHxD3t2Q8ikqDPK2B98S,2.19,7E8pjetVDU7r8jzABcGoU5jyL8Lk8gNA1BHfLVMqrkm2,FiWjYpfSQEm98VayoLxVK7JfQTFo34qxsrDJtaoVc1aq,funguyz,FunGuyz,https://bafybeiaxez4hu6szs5o763flcizff6vsyku7bgg6hx4o6pmixi7gm5facm.ipfs.dweb.link?ext=png,FunGuyz #1279,"3,000 happy-go-lucky mushroom NFTs born on the Solana blockchain. Join the ""Fun Fam"" and stand out with the coolest mushrooms in the metaverse.",https://funguyz.io/,image,"[{'address': 'EpdbBxH9t4A2dQHhghwHHRqX96weezQTggHrNgiTwSFL', 'verified': 1, 'share': 0}, {'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'verified': 0, 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'verified': 0, 'share': 50}]",500,9Qf9exdNqj1npw92MSJVLTymebG9xpnSMdZFtJSHnjHK,"[{'trait_type': '1. Background', 'value': 'Orange Haze'}, {'trait_type': '2. Mushroom Stalk', 'value': 'Cloud Body'}, {'trait_type': '3. Mushroom Cap', 'value': 'Chanterelle (Light)'}, {'trait_type': '4. Outfit', 'value': 'Leather Booksack & Necklace'}, {'trait_type': '5. Mouth', 'value': 'Smirk'}, {'trait_type': '6. Facial Hair', 'value': 'Burly (Red)'}, {'trait_type': '7. Eyes', 'value': 'Keep It Classic'}]","{'category': 'image', 'creators': [{'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'share': 50}], 'files': [{'uri': '1279.png', 'type': 'image/png'}]}",1,DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1665}}
2,DLsQA7APofe8qJigzdcdLTWeoVgAE2Aj7SjcybKyBsPa,2.2,QybNhUCv4BrQq3amH7jrMFCvY41tRMxEBWNwHFtddbA,9GvSrGCwUWyWm1qoD3V21jtXBUncmrdiG9CC5ShhESsu,funguyz,FunGuyz,https://bafybeif5wrczgnls2xf7vdzcxiyqs3ncyj7lmj2svgj4dsw4zunj27ussm.ipfs.dweb.link?ext=png,FunGuyz #838,"3,000 happy-go-lucky mushroom NFTs born on the Solana blockchain. Join the ""Fun Fam"" and stand out with the coolest mushrooms in the metaverse.",https://funguyz.io/,image,"[{'address': 'EpdbBxH9t4A2dQHhghwHHRqX96weezQTggHrNgiTwSFL', 'verified': 1, 'share': 0}, {'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'verified': 0, 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'verified': 0, 'share': 50}]",500,4esT8r6YDBnhUisKNv8awyBJ4s7qUjAW59z59qajjbRS,"[{'trait_type': '1. Background', 'value': 'Blueberry Grape'}, {'trait_type': '2. Mushroom Stalk', 'value': 'Dark Brown Stalk'}, {'trait_type': '3. Mushroom Cap', 'value': 'Groovy Blue'}, {'trait_type': '4. Outfit', 'value': 'Hoodie'}, {'trait_type': '5. Mouth', 'value': 'Smile'}, {'trait_type': '6. Facial Hair', 'value': 'Burly (Brown)'}, {'trait_type': '7. Eyes', 'value': 'Geeky'}]","{'category': 'image', 'creators': [{'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'share': 50}], 'files': [{'uri': '838.png', 'type': 'image/png'}]}",1,DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2077}}
3,APEgApWFJsxmGSK6YbSp7W9fc2eonbhjWHTsvsimJsTq,2.2,DQU7AksW1YNDk2u2sHut9PXWPCeKjaNS4RcLQg32EFzy,Fk9VsrLEZA6gEwFXe7yiphsJeMyQu6khvr7Pt8Q4tzMf,funguyz,FunGuyz,https://bafybeighuwqpw4yxje7wfgdvhfr3pnn7nikxx3qgie4brmy4zelnq554na.ipfs.dweb.link?ext=png,FunGuyz #1787,"3,000 happy-go-lucky mushroom NFTs born on the Solana blockchain. Join the ""Fun Fam"" and stand out with the coolest mushrooms in the metaverse.",https://funguyz.io/,image,"[{'address': 'EpdbBxH9t4A2dQHhghwHHRqX96weezQTggHrNgiTwSFL', 'verified': 1, 'share': 0}, {'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'verified': 0, 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'verified': 0, 'share': 50}]",500,HV1X1zsmst7gHhvxzzFRNZNvh3BQdjEr6dDepLGqXrGp,"[{'trait_type': '1. Background', 'value': 'Orange Haze'}, {'trait_type': '2. Mushroom Stalk', 'value': 'Light Stalk'}, {'trait_type': '3. Mushroom Cap', 'value': 'Chanterelle (Dark)'}, {'trait_type': '4. Outfit', 'value': 'Peace & Love'}, {'trait_type': '5. Mouth', 'value': 'Light Brown'}, {'trait_type': '6. Facial Hair', 'value': 'Big Purple'}, {'trait_type': '7. Eyes', 'value': 'Grape Ice'}]","{'category': 'image', 'creators': [{'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'share': 50}], 'files': [{'uri': '1787.png', 'type': 'image/png'}]}",1,DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2644}}
4,HQcS2VPv1VSBJahh8jggy7MwoLM6TkJjicaaF2PLCbtV,2.2,B84atqB713jXXcCRZbALJa1pVz6u9RqwhHqd3eWMuWLc,EGKCZs1FNyT9Q6rzmfsPjWed1LkE7SzMrRkZkz3RekCL,funguyz,FunGuyz,https://bafybeihykkh4izzsiyv5v2wxui56ayvnl3vt5fdbuvfhb3racd5tmotgl4.ipfs.dweb.link?ext=png,FunGuyz #619,"3,000 happy-go-lucky mushroom NFTs born on the Solana blockchain. Join the ""Fun Fam"" and stand out with the coolest mushrooms in the metaverse.",https://funguyz.io/,image,"[{'address': 'EpdbBxH9t4A2dQHhghwHHRqX96weezQTggHrNgiTwSFL', 'verified': 1, 'share': 0}, {'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'verified': 0, 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'verified': 0, 'share': 50}]",500,DoTwZePA9ck6FdTHbfrnzCxz7aEHUGuYeMLyuUBRJ1UP,"[{'trait_type': '1. Background', 'value': 'Rainbow'}, {'trait_type': '2. Mushroom Stalk', 'value': 'Dark Brown Stalk'}, {'trait_type': '3. Mushroom Cap', 'value': 'Groovy Teal'}, {'trait_type': '4. Outfit', 'value': 'Forager'}, {'trait_type': '5. Mouth', 'value': 'Smirk'}, {'trait_type': '6. Facial Hair', 'value': 'Groovy Stache (Dark)'}, {'trait_type': '7. Eyes', 'value': '3-D'}]","{'category': 'image', 'creators': [{'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'share': 50}], 'files': [{'uri': '619.png', 'type': 'image/png'}]}",1,DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2135}}
5,7yLLCbv5jBHnMm18ppX5Kwq9PodJcGKrx7ntgLFrH2ph,2.2,6idUGweQQ3ZRVPUMixkvoN9MFEh5R9oofWFYhLdsZhE9,EGKCZs1FNyT9Q6rzmfsPjWed1LkE7SzMrRkZkz3RekCL,funguyz,FunGuyz,https://bafybeib6pk2nbdkslofsxxeb73tde44xxqhqywdcbpszkenbyk42becxhq.ipfs.dweb.link?ext=png,FunGuyz #604,"3,000 happy-go-lucky mushroom NFTs born on the Solana blockchain. Join the ""Fun Fam"" and stand out with the coolest mushrooms in the metaverse.",https://funguyz.io/,image,"[{'address': 'EpdbBxH9t4A2dQHhghwHHRqX96weezQTggHrNgiTwSFL', 'verified': 1, 'share': 0}, {'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'verified': 0, 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'verified': 0, 'share': 50}]",500,3tqfP8y2tfUnAzKezJk2B7uehAZS9DccrxrCBcu4vtkn,"[{'trait_type': '1. Background', 'value': 'Muted Mustard'}, {'trait_type': '2. Mushroom Stalk', 'value': 'Light Brown Stalk'}, {'trait_type': '3. Mushroom Cap', 'value': 'Chanterelle (Light)'}, {'trait_type': '4. Outfit', 'value': 'White T-Shirt'}, {'trait_type': '5. Mouth', 'value': 'Dark Brown'}, {'trait_type': '6. Facial Hair', 'value': 'Mega Beard (Brown)'}, {'trait_type': '7. Eyes', 'value': 'Geeky'}]","{'category': 'image', 'creators': [{'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'share': 50}], 'files': [{'uri': '604.png', 'type': 'image/png'}]}",1,DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2400}}
6,R5echYaDLikExE5aobRT1bWWDRrFaAc8nTtxozfkjZQ,2.2,FbcqXsw71SMdSLVGvvH2a1oN9MM1GJYbvzFeg4ikodDV,EGKCZs1FNyT9Q6rzmfsPjWed1LkE7SzMrRkZkz3RekCL,funguyz,FunGuyz,https://bafybeihr2gpp5ru5h5rosqcmdiaiv7o2jexa3iagpv7i7y26x5nc5c5mme.ipfs.dweb.link?ext=png,FunGuyz #2601,"3,000 happy-go-lucky mushroom NFTs born on the Solana blockchain. Join the ""Fun Fam"" and stand out with the coolest mushrooms in the metaverse.",https://funguyz.io/,image,"[{'address': 'EpdbBxH9t4A2dQHhghwHHRqX96weezQTggHrNgiTwSFL', 'verified': 1, 'share': 0}, {'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'verified': 0, 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'verified': 0, 'share': 50}]",500,GHEcJhuy2bVDb3edC9xV5HVHsY8x5cV3xsw4CudLaKvW,"[{'trait_type': '1. Background', 'value': 'Blueberry Grape'}, {'trait_type': '2. Mushroom Stalk', 'value': 'Dark Stalk'}, {'trait_type': '3. Mushroom Cap', 'value': 'Blue'}, {'trait_type': '4. Outfit', 'value': 'Peace & Love'}, {'trait_type': '5. Mouth', 'value': 'Dark Brown'}, {'trait_type': '6. Facial Hair', 'value': 'Zeus'}, {'trait_type': '7. Eyes', 'value': 'Grape Ice'}]","{'category': 'image', 'creators': [{'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'share': 50}], 'files': [{'uri': '2601.png', 'type': 'image/png'}]}",1,DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2738}}
7,6nvD7sYmoYPwtAGfw7dLVgn1x22P9ssTvhqe5bbAzjQp,2.2,9nviYgWV8WwkdhNrmdxLYnMQGgeScXGjJrz9ALHV3tMQ,EGKCZs1FNyT9Q6rzmfsPjWed1LkE7SzMrRkZkz3RekCL,funguyz,FunGuyz,https://bafybeifpg4bw4ick7lwjlqqp3tqrt7kqwbeecbi73wtw2vtjjhrr22vt5a.ipfs.dweb.link?ext=png,FunGuyz #1988,"3,000 happy-go-lucky mushroom NFTs born on the Solana blockchain. Join the ""Fun Fam"" and stand out with the coolest mushrooms in the metaverse.",https://funguyz.io/,image,"[{'address': 'EpdbBxH9t4A2dQHhghwHHRqX96weezQTggHrNgiTwSFL', 'verified': 1, 'share': 0}, {'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'verified': 0, 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'verified': 0, 'share': 50}]",500,5hwrVSxLdPwEriF9AJxEkwozB3HjDoQsoHsaWr4Nmsp7,"[{'trait_type': '1. Background', 'value': 'Galaxy'}, {'trait_type': '2. Mushroom Stalk', 'value': 'Light Stalk'}, {'trait_type': '3. Mushroom Cap', 'value': 'Chanterelle (Dark)'}, {'trait_type': '4. Outfit', 'value': 'Purple T-Shirt'}, {'trait_type': '5. Mouth', 'value': 'Smirk'}, {'trait_type': '6. Facial Hair', 'value': 'Zeus'}, {'trait_type': '7. Eyes', 'value': 'Blue Shades'}]","{'category': 'image', 'creators': [{'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'share': 50}], 'files': [{'uri': '1988.png', 'type': 'image/png'}]}",1,DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2905}}
8,BPcemv6HP1SR8nqp2zLsxWVAt8EqyueY7DcDW1B5bmyn,2.3,EHYzJmQfWtwjRfXt8cSXxwPGFe98WsszVXXqoYxrGYGk,7EkxqfdAz5XXkmJr4ukFhJARsh8zo7n9dzy9nKVojm6z,funguyz,FunGuyz,https://bafybeibvgfdst5k4kqodhvxicoxqueb7vbk4hngx4tzz72estvkpynyjca.ipfs.dweb.link?ext=png,FunGuyz #145,"3,000 happy-go-lucky mushroom NFTs born on the Solana blockchain. Join the ""Fun Fam"" and stand out with the coolest mushrooms in the metaverse.",https://funguyz.io/,image,"[{'address': 'EpdbBxH9t4A2dQHhghwHHRqX96weezQTggHrNgiTwSFL', 'verified': 1, 'share': 0}, {'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'verified': 0, 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'verified': 0, 'share': 50}]",500,4UviEZye3zUv9fBNn4csa4rqTo9gPZuvDvMxmwSZ2677,"[{'trait_type': '1. Background', 'value': 'Dusk'}, {'trait_type': '2. Mushroom Stalk', 'value': 'Dark Stalk'}, {'trait_type': '3. Mushroom Cap', 'value': 'Cone Cap (Blue)'}, {'trait_type': '4. Outfit', 'value': 'Hoodie (Blue Green Fade)'}, {'trait_type': '5. Mouth', 'value': 'Big Smile'}, {'trait_type': '6. Facial Hair', 'value': 'Comb Stache (Red)'}, {'trait_type': '7. Eyes', 'value': 'Ski Goggles'}]","{'category': 'image', 'creators': [{'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'share': 50}], 'files': [{'uri': '145.png', 'type': 'image/png'}]}",1,DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1058}}
9,3utw8bVBFKPyoBTNv5ZJNPUFedASooo4bZAgPdnxLNVN,2.3,2kw79AFBxHdHcw7uVKpx8v1ekJ5s7xseteETcXeDBBA3,B2RzRUyAf6neBvjy1UZ84uwhY7LsBoEGHP3bX3JvLG9X,funguyz,FunGuyz,https://bafybeietujaijjkuthjowpuvsr4qmyyteckymwrb53npzu6s224tcqy4f4.ipfs.dweb.link?ext=png,FunGuyz #1740,"3,000 happy-go-lucky mushroom NFTs born on the Solana blockchain. Join the ""Fun Fam"" and stand out with the coolest mushrooms in the metaverse.",https://funguyz.io/,image,"[{'address': 'EpdbBxH9t4A2dQHhghwHHRqX96weezQTggHrNgiTwSFL', 'verified': 1, 'share': 0}, {'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'verified': 0, 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'verified': 0, 'share': 50}]",500,EqxcEyfmks1AdZQWrsG4T8dmZLXvximbGttWGsjRmfXJ,"[{'trait_type': '1. Background', 'value': 'Orange Rays'}, {'trait_type': '2. Mushroom Stalk', 'value': 'Dark Brown Stalk'}, {'trait_type': '3. Mushroom Cap', 'value': 'Purple'}, {'trait_type': '4. Outfit', 'value': 'Sgt Pepper'}, {'trait_type': '5. Mouth', 'value': 'Whaaaa'}, {'trait_type': '6. Facial Hair', 'value': 'Burly (Red)'}, {'trait_type': '7. Eyes', 'value': 'Blue Shades'}]","{'category': 'image', 'creators': [{'address': 'DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo', 'share': 50}, {'address': 'BbWmaCjNDyVUi7Rr9Cm3m87FRYK6SnM9xeqoF9aHtA5j', 'share': 50}], 'files': [{'uri': '1740.png', 'type': 'image/png'}]}",1,DhPLkDDMcYgBhbAf4GQNNc9d7LVffZz2j5ofbgSzNveo,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2149}}
