,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,7zsaZ4s59uUttJhzFbjvcAMCn3674c2gfH3hXqNeQ4WQ,2.967,332MjPfoW1fa5emVJoRGHwJr86C56ZMHXAoJcUZzPSXM,Lefsq3Ei8VdCCDLULHUAgx4g1rMgt5Rm9a1fkT1mmwg,honey_genesis_bee,Honey Genesis Bee,https://arweave.net/pDcEGCOW5RaOPnnX6ZeDSq1qqh5ecoXkvb-ndbquMmw,Honey Genesis Bee #8817,"Honey Genesis bees, created to empower the next generation of DeFi users through NFTs.",https://honey.finance,image,"[{'address': '6vRx1iVZo3xfrBHdpvuwArL2jucVj9j9nLpd2VUTTGMG', 'verified': 1, 'share': 0}, {'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'verified': 0, 'share': 100}]",500,BgpgZ7HcycQr4QWi5LfLcfut4VB134Bk5z8cGgXbh3S1,"[{'trait_type': 'BACKGROUNDS', 'value': 'Tokyo'}, {'trait_type': 'SHADOW', 'value': 'Black Nova'}, {'trait_type': 'DARTS', 'value': 'Mecha'}, {'trait_type': 'BODY', 'value': 'Pink Green'}, {'trait_type': 'TAGS', 'value': 'Hive'}, {'trait_type': 'LEGS', 'value': 'Fusion'}, {'trait_type': 'WINGS', 'value': 'Synthetic'}, {'trait_type': 'HEAD', 'value': 'Drone'}, {'trait_type': 'EYES', 'value': 'Fusion'}, {'trait_type': 'HOOKS', 'value': 'Fusion'}, {'trait_type': 'ANTENNAS', 'value': 'Synthetic'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/pDcEGCOW5RaOPnnX6ZeDSq1qqh5ecoXkvb-ndbquMmw'}], 'category': 'image', 'creators': [{'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'share': 100}]}",1,B2a66dokeqxGJoUqmtaRNn6JeQJZjatNL5ykZduLjFXY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 4637}}
1,H8CvxDXxGg3ciB6jZ1giATwBpoGP7kGAS2fhQjaniFHy,2.99,9ZS8C4ppUNZv3qeRCgr2c6pAFmc7RxdKDkWZKYrWrCZo,6sHWUTW6by86n9xgFyAQXS5fLETkJNNv1z4wUxKUJHvg,honey_genesis_bee,Honey Genesis Bee,https://arweave.net/jQBNa_kfZJLNsD5KhNtvQsF5GgJeyMdLt86HqTWVgUo,Honey Genesis Bee #1504,"Honey Genesis bees, created to empower the next generation of DeFi users through NFTs.",https://honey.finance,image,"[{'address': '6vRx1iVZo3xfrBHdpvuwArL2jucVj9j9nLpd2VUTTGMG', 'verified': 1, 'share': 0}, {'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'verified': 0, 'share': 100}]",500,3KqVASAR2tf14bt5rLu2ggvshC3pLhEypmvNy72qUWFL,"[{'trait_type': 'BACKGROUNDS', 'value': 'Hex'}, {'trait_type': 'SHADOW', 'value': 'Black Nova'}, {'trait_type': 'DARTS', 'value': 'Fusion'}, {'trait_type': 'BODY', 'value': 'Blue Green'}, {'trait_type': 'TAGS', 'value': 'Neon'}, {'trait_type': 'LEGS', 'value': 'Mecha'}, {'trait_type': 'WINGS', 'value': 'Fusion'}, {'trait_type': 'HEAD', 'value': 'Drone'}, {'trait_type': 'EYES', 'value': 'Hybrid'}, {'trait_type': 'HOOKS', 'value': 'Mecha'}, {'trait_type': 'ANTENNAS', 'value': 'Fusion'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/jQBNa_kfZJLNsD5KhNtvQsF5GgJeyMdLt86HqTWVgUo'}], 'category': 'image', 'creators': [{'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'share': 100}]}",1,B2a66dokeqxGJoUqmtaRNn6JeQJZjatNL5ykZduLjFXY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 7100}}
2,HdKKsYF8TPGx5PmPbyTjhvwnVddHh48bPAnJLAACbRyJ,2.99,3JoiYcTBDDbwHREnZSRTyuV95yETcpC3UhhKDLezZrwM,6sHWUTW6by86n9xgFyAQXS5fLETkJNNv1z4wUxKUJHvg,honey_genesis_bee,Honey Genesis Bee,https://arweave.net/I868WGkKNeWRc3Wfcd5W_2rkQ-WcMQWi0uNGpvUCB_c,Honey Genesis Bee #1797,"Honey Genesis bees, created to empower the next generation of DeFi users through NFTs.",https://honey.finance,image,"[{'address': '6vRx1iVZo3xfrBHdpvuwArL2jucVj9j9nLpd2VUTTGMG', 'verified': 1, 'share': 0}, {'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'verified': 0, 'share': 100}]",500,81AQYgscsyqHHBYuX9GtVi6zPNJQp8hdiQWRXEAsXGiv,"[{'trait_type': 'BACKGROUNDS', 'value': 'Hex'}, {'trait_type': 'SHADOW', 'value': 'Black Nova'}, {'trait_type': 'DARTS', 'value': 'Mecha'}, {'trait_type': 'BODY', 'value': 'Blue Green'}, {'trait_type': 'TAGS', 'value': 'Hive'}, {'trait_type': 'LEGS', 'value': 'Synthetic'}, {'trait_type': 'WINGS', 'value': 'Mecha'}, {'trait_type': 'HEAD', 'value': 'Prototype'}, {'trait_type': 'EYES', 'value': 'Hybrid'}, {'trait_type': 'HOOKS', 'value': 'Fusion'}, {'trait_type': 'ANTENNAS', 'value': 'Synthetic'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/I868WGkKNeWRc3Wfcd5W_2rkQ-WcMQWi0uNGpvUCB_c'}], 'category': 'image', 'creators': [{'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'share': 100}]}",1,B2a66dokeqxGJoUqmtaRNn6JeQJZjatNL5ykZduLjFXY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 8027}}
3,HtouqgGGACQzRANCRo3fR9ThbCk28phz2fkE29VTq32s,2.99,EBHrc8Ld7ZWy8LNMhrzykunCyzZiUA1uvvne2QDbqx4p,BUEJ7QmsSktmcGgrdJKsHZzRuR2LXD4CmoCCKyKvcQXN,honey_genesis_bee,Honey Genesis Bee,https://arweave.net/nP9B4rCDFhGXYRBGPvNZpreeg-aEuqVZ1csKUQEh6FI,Honey Genesis Bee #3796,"Honey Genesis bees, created to empower the next generation of DeFi users through NFTs.",https://honey.finance,image,"[{'address': '6vRx1iVZo3xfrBHdpvuwArL2jucVj9j9nLpd2VUTTGMG', 'verified': 1, 'share': 0}, {'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'verified': 0, 'share': 100}]",500,CqKYJp4ffEmXByNLFpbeavaXswKqhh6Ehted4xCCKyL6,"[{'trait_type': 'BACKGROUNDS', 'value': 'Hex'}, {'trait_type': 'SHADOW', 'value': 'Black Nova'}, {'trait_type': 'DARTS', 'value': 'Fusion'}, {'trait_type': 'BODY', 'value': 'Green Green'}, {'trait_type': 'TAGS', 'value': 'Honey letters'}, {'trait_type': 'LEGS', 'value': 'Mecha'}, {'trait_type': 'WINGS', 'value': 'Synthetic'}, {'trait_type': 'HEAD', 'value': 'Drone'}, {'trait_type': 'EYES', 'value': 'Mecha'}, {'trait_type': 'HOOKS', 'value': 'Mecha'}, {'trait_type': 'ANTENNAS', 'value': 'Synthetic'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/nP9B4rCDFhGXYRBGPvNZpreeg-aEuqVZ1csKUQEh6FI'}], 'category': 'image', 'creators': [{'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'share': 100}]}",1,B2a66dokeqxGJoUqmtaRNn6JeQJZjatNL5ykZduLjFXY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3828}}
4,H4VZCPuvP1pVLZDzP3YDgW1Be9sfQmBFpLPH9EqZHi51,3.0,HipyuSaksDw9mDEy8RjRJYECdLqVSmqbt9QnEmwYiwt4,AmPfyRKsNjevE2eeoNk7PrDxpQmfGvHW6Tps3GhKRcc3,honey_genesis_bee,Honey Genesis Bee,https://arweave.net/lp1dsAv3V8ysOA3R0yzI_YSwcV3gFvBakIbg49VVWuQ,Honey Genesis Bee #5690,"Honey Genesis bees, created to empower the next generation of DeFi users through NFTs.",https://honey.finance,image,"[{'address': '6vRx1iVZo3xfrBHdpvuwArL2jucVj9j9nLpd2VUTTGMG', 'verified': 1, 'share': 0}, {'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'verified': 0, 'share': 100}]",500,A6uytyGXv2NBE4qMKNVyHJsNPtSRhy7VgDoobjNmH7J6,"[{'trait_type': 'BACKGROUNDS', 'value': 'Hex'}, {'trait_type': 'SHADOW', 'value': 'Black Nova'}, {'trait_type': 'DARTS', 'value': 'Sythentic'}, {'trait_type': 'BODY', 'value': 'Yellow Pink'}, {'trait_type': 'TAGS', 'value': 'Honey letters'}, {'trait_type': 'LEGS', 'value': 'Fusion'}, {'trait_type': 'WINGS', 'value': 'Synthetic'}, {'trait_type': 'HEAD', 'value': 'Drone'}, {'trait_type': 'EYES', 'value': 'Synthentic'}, {'trait_type': 'HOOKS', 'value': 'None'}, {'trait_type': 'ANTENNAS', 'value': 'Fusion'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/lp1dsAv3V8ysOA3R0yzI_YSwcV3gFvBakIbg49VVWuQ'}], 'category': 'image', 'creators': [{'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'share': 100}]}",1,B2a66dokeqxGJoUqmtaRNn6JeQJZjatNL5ykZduLjFXY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2206}}
5,k1zaqfGrSxgBBkPdiXpuEzpCkfw9MoMxLYS2N3uPmJ4,3.0,96MNj29K9fN1JKVxDafsfoPqp9Lsp9Cf5koVVknoyNRK,GQBRKyCTztkUpCoP5HNHnPejeAENSAmoEHC8BYJZ7KMp,honey_genesis_bee,Honey Genesis Bee,https://arweave.net/srgqZGxlTa5w_hSdQdWHRiWuzriekxECTFzsAW_TJGY,Honey Genesis Bee #4432,"Honey Genesis bees, created to empower the next generation of DeFi users through NFTs.",https://honey.finance,image,"[{'address': '6vRx1iVZo3xfrBHdpvuwArL2jucVj9j9nLpd2VUTTGMG', 'verified': 1, 'share': 0}, {'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'verified': 0, 'share': 100}]",500,6xCkRLFqLtwCn253TpQrF2MpVMwS4ew7NoEkgPZP1Lt8,"[{'trait_type': 'BACKGROUNDS', 'value': 'Solana'}, {'trait_type': 'SHADOW', 'value': 'Black Nova'}, {'trait_type': 'DARTS', 'value': 'Fusion'}, {'trait_type': 'BODY', 'value': 'Green Yellow'}, {'trait_type': 'TAGS', 'value': 'Honey kanji'}, {'trait_type': 'LEGS', 'value': 'Synthetic'}, {'trait_type': 'WINGS', 'value': 'Synthetic'}, {'trait_type': 'HEAD', 'value': 'Drone'}, {'trait_type': 'EYES', 'value': 'Fusion'}, {'trait_type': 'HOOKS', 'value': 'Fusion'}, {'trait_type': 'ANTENNAS', 'value': 'Synthetic'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/srgqZGxlTa5w_hSdQdWHRiWuzriekxECTFzsAW_TJGY'}], 'category': 'image', 'creators': [{'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'share': 100}]}",1,B2a66dokeqxGJoUqmtaRNn6JeQJZjatNL5ykZduLjFXY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 5669}}
6,85pDuM8v7LhDqVjqCp8YK83XuhvSSveJB3vmdUo93qMz,3.0,53gxz27SxrVikH5Bvu3XjrgmLcgaknrQTNoXTUsjPQBP,9d72KHDkA6RaJ3kQk2GwbJB2jtxvnMVqvhiVhjLowQGF,honey_genesis_bee,Honey Genesis Bee,https://arweave.net/9sU3nKn2A4lRSCR5EwfVLNB6nCdJJiDaoGHcBRMGxCw,Honey Genesis Bee #6161,"Honey Genesis bees, created to empower the next generation of DeFi users through NFTs.",https://honey.finance,image,"[{'address': '6vRx1iVZo3xfrBHdpvuwArL2jucVj9j9nLpd2VUTTGMG', 'verified': 1, 'share': 0}, {'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'verified': 0, 'share': 100}]",500,G2oSKAc5FQkcEBrLy5ojf7h5AHqPJXh6QCDg3k95SMbm,"[{'trait_type': 'BACKGROUNDS', 'value': 'Tokyo'}, {'trait_type': 'SHADOW', 'value': 'Black Nova'}, {'trait_type': 'DARTS', 'value': 'Fusion'}, {'trait_type': 'BODY', 'value': 'Yellow Pink'}, {'trait_type': 'TAGS', 'value': 'Neon'}, {'trait_type': 'LEGS', 'value': 'Fusion'}, {'trait_type': 'WINGS', 'value': 'Mecha'}, {'trait_type': 'HEAD', 'value': 'Prototype'}, {'trait_type': 'EYES', 'value': 'Fusion'}, {'trait_type': 'HOOKS', 'value': 'Synthetic'}, {'trait_type': 'ANTENNAS', 'value': 'Mecha'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/9sU3nKn2A4lRSCR5EwfVLNB6nCdJJiDaoGHcBRMGxCw'}], 'category': 'image', 'creators': [{'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'share': 100}]}",1,B2a66dokeqxGJoUqmtaRNn6JeQJZjatNL5ykZduLjFXY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2962}}
7,CxBGuPGNUYoTugeiJz4D5yJvAeY7JSzEK1qsG5hKBocj,3.0,9quvyAVJfRAQxcJ8SAULic2hFDKZtpoAPhyL1aUUSyEE,EPQsguL3MwhfTwAM4cnEaCfUWPTvpsHF83Fs8nd6Yd1W,honey_genesis_bee,Honey Genesis Bee,https://arweave.net/SzwXjufSKe5VIOtQC_67stFlWwJgIutdxu63IzN9prs,Honey Genesis Bee #9063,"Honey Genesis bees, created to empower the next generation of DeFi users through NFTs.",https://honey.finance,image,"[{'address': '6vRx1iVZo3xfrBHdpvuwArL2jucVj9j9nLpd2VUTTGMG', 'verified': 1, 'share': 0}, {'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'verified': 0, 'share': 100}]",500,3xNzyJZ5imvbgrjWndQdqbtCK2XfEL2uzL3vwo9gVu3E,"[{'trait_type': 'BACKGROUNDS', 'value': 'Solana'}, {'trait_type': 'SHADOW', 'value': 'Black Nova'}, {'trait_type': 'DARTS', 'value': 'Mecha'}, {'trait_type': 'BODY', 'value': 'Pink Green'}, {'trait_type': 'TAGS', 'value': 'Queen bee'}, {'trait_type': 'LEGS', 'value': 'Fusion'}, {'trait_type': 'WINGS', 'value': 'Mecha'}, {'trait_type': 'HEAD', 'value': 'Drone'}, {'trait_type': 'EYES', 'value': 'Fusion'}, {'trait_type': 'HOOKS', 'value': 'Mecha'}, {'trait_type': 'ANTENNAS', 'value': 'Mecha'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/SzwXjufSKe5VIOtQC_67stFlWwJgIutdxu63IzN9prs'}], 'category': 'image', 'creators': [{'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'share': 100}]}",1,B2a66dokeqxGJoUqmtaRNn6JeQJZjatNL5ykZduLjFXY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 6592}}
8,5USvqjDF3PxQY8kSFG6e2Dh9KHwJoQhpf4CRVNhYP37b,3.0,7kzKqpuWjh6N8G3XKQMWwRgkLsYyGG95MXd11X91PpVF,GA1imvRXfhvWnPeSYyTxzB6WsKjiPwwpDJHwmcyThmez,honey_genesis_bee,Honey Genesis Bee,https://arweave.net/9Xh6tp9z3NYt3vrVWDEuACAYmR2FUVfY2BTImvMfsb8,Honey Genesis Bee #2266,"Honey Genesis bees, created to empower the next generation of DeFi users through NFTs.",https://honey.finance,image,"[{'address': '6vRx1iVZo3xfrBHdpvuwArL2jucVj9j9nLpd2VUTTGMG', 'verified': 1, 'share': 0}, {'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'verified': 0, 'share': 100}]",500,7C5cw9uJyo8ZGuX8bzYLeVws5ZdbMqBCwhDvng2mFr2D,"[{'trait_type': 'BACKGROUNDS', 'value': 'Solana'}, {'trait_type': 'SHADOW', 'value': 'Black Nova'}, {'trait_type': 'DARTS', 'value': 'Fusion'}, {'trait_type': 'BODY', 'value': 'Blue Yellow'}, {'trait_type': 'TAGS', 'value': 'Honey kanji'}, {'trait_type': 'LEGS', 'value': 'Fusion'}, {'trait_type': 'WINGS', 'value': 'Fusion'}, {'trait_type': 'HEAD', 'value': 'Prototype'}, {'trait_type': 'EYES', 'value': 'Fusion'}, {'trait_type': 'HOOKS', 'value': 'Mecha'}, {'trait_type': 'ANTENNAS', 'value': 'Synthetic'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/9Xh6tp9z3NYt3vrVWDEuACAYmR2FUVfY2BTImvMfsb8'}], 'category': 'image', 'creators': [{'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'share': 100}]}",1,B2a66dokeqxGJoUqmtaRNn6JeQJZjatNL5ykZduLjFXY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 6431}}
9,8JQtVHJpQcMfG2Hqik1cDX2WZxRco7EqdyQf42h2Xsm3,3.0,44YUffdYPH5qUcyB62UJydkTX26qAmKKj5miZ8tYpdgD,6qtsNXTPyw4jeaD3reaZu86MPUySkhpBS911ddcwtLXm,honey_genesis_bee,Honey Genesis Bee,https://arweave.net/zvWTeFzxunrtWc1y8cEnI6fK0HIljLqGXiekzi9c874,Honey Genesis Bee #2488,"Honey Genesis bees, created to empower the next generation of DeFi users through NFTs.",https://honey.finance,image,"[{'address': '6vRx1iVZo3xfrBHdpvuwArL2jucVj9j9nLpd2VUTTGMG', 'verified': 1, 'share': 0}, {'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'verified': 0, 'share': 100}]",500,9xNmnxcUqpqCHPyTXHxWXU9bazyNn63UjafxuPKJfoSN,"[{'trait_type': 'BACKGROUNDS', 'value': 'Solana'}, {'trait_type': 'SHADOW', 'value': 'Black Nova'}, {'trait_type': 'DARTS', 'value': 'Sythentic'}, {'trait_type': 'BODY', 'value': 'Blue Yellow'}, {'trait_type': 'TAGS', 'value': 'Honey letters'}, {'trait_type': 'LEGS', 'value': 'Synthetic'}, {'trait_type': 'WINGS', 'value': 'Mecha'}, {'trait_type': 'HEAD', 'value': 'Prototype'}, {'trait_type': 'EYES', 'value': 'Synthentic'}, {'trait_type': 'HOOKS', 'value': 'Mecha'}, {'trait_type': 'ANTENNAS', 'value': 'Synthetic'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/zvWTeFzxunrtWc1y8cEnI6fK0HIljLqGXiekzi9c874'}], 'category': 'image', 'creators': [{'address': 'GpocKrHb1V3nCNJXLwxv3zXKpewxKVDQKtyqCRH7N6oN', 'share': 100}]}",1,B2a66dokeqxGJoUqmtaRNn6JeQJZjatNL5ykZduLjFXY,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 9477}}
