,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,7x3qpkbwMAghBKwRGpws3dP4Tp12ZhdjprKZimifd9cG,0.4,98Rd2CALnFAi1Z7DRbpkQarWRyDKygAsm7FdkQz4RMnV,CcAAapbnU5bpLJv7sw2BWHgevBoThxv8CWfz3fYjbq8a,iconicapeclub3d,Iconic Ape Club 3D,https://arweave.net/-XL_rXrHo1CFWz2fTS3sqAMiUG9VrPY81O1J1sqsBCk,Iconic Ape Club 3D #123,2999 Unique Iconic Apes rendered in 4K rocking the Apeverse.,image,"[{'address': '8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE', 'verified': 1, 'share': 0}, {'address': 'AxiN49t2ZkWPQS27vn9nbQY3JtLf6F31g51zJHqN9R1o', 'verified': 0, 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 10}]",500,7N7ZYrbtq5PiYrsvWUx5dUtagwo72voQa9U2qzn2yTx7,"[{'trait_type': 'Background', 'value': 'Orange backdrop'}, {'trait_type': 'Skins', 'value': 'Red fur'}, {'trait_type': 'Cloths', 'value': 'Black hoodiewith WEN diamond chain'}, {'trait_type': 'Mouth', 'value': 'Vaps cigarette'}, {'trait_type': 'Head', 'value': 'Black hair'}, {'trait_type': 'Eyes', 'value': 'Round sunglasses'}]","{'edition': 124, 'files': [{'uri': 'https://arweave.net/-XL_rXrHo1CFWz2fTS3sqAMiUG9VrPY81O1J1sqsBCk', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '7NbNsSPPUwWiSHmzDkhrVWfbS4ubpMRTG2AGD2JUARq8', 'share': 91}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 9}]}",1,8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1379}},,
1,9aLJtoFZJPb1Mq24ChgrN8aGJj8xykEu2LQwjneDVgTB,0.4,ig1k2Vjb891FGcZQPmx47WXhSnt8zh4ZxXGr6L28uQv,CcAAapbnU5bpLJv7sw2BWHgevBoThxv8CWfz3fYjbq8a,iconicapeclub3d,Iconic Ape Club 3D,https://arweave.net/qrDFMsk6gil6KRVhKR3yBTEniFoeWsdBj9tY4sTG8O8,Iconic Ape Club 3D #1979,2999 Unique Iconic Apes rendered in 4K rocking the Apeverse.,image,"[{'address': '8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE', 'verified': 1, 'share': 0}, {'address': 'AxiN49t2ZkWPQS27vn9nbQY3JtLf6F31g51zJHqN9R1o', 'verified': 0, 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 10}]",500,AEQTmoi59b2Smy1ug1gzq8ABo5Am2HyTBAnU6vdo5WUf,"[{'trait_type': 'Background', 'value': 'pale green backdrop'}, {'trait_type': 'Skins', 'value': 'Brown fur'}, {'trait_type': 'Cloths', 'value': 'Red hoodie with gold iconic chain'}, {'trait_type': 'Mouth', 'value': 'Bored mouth'}, {'trait_type': 'Eyes', 'value': 'Stoned eyes'}, {'trait_type': 'Head', 'value': 'Red bieanie'}]","{'edition': 1980, 'files': [{'uri': 'https://arweave.net/qrDFMsk6gil6KRVhKR3yBTEniFoeWsdBj9tY4sTG8O8', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '7NbNsSPPUwWiSHmzDkhrVWfbS4ubpMRTG2AGD2JUARq8', 'share': 91}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 9}]}",1,8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2777}},,
2,CFLYWvGZHsEWeZwb6D7s4XTp3EDBnej4hHAXTtKEDxe7,0.42,7fERwcDPyMV7EcaBXHeik84JWWdPppuyeNp5E9xgG8Sp,9xfZjCJvYi6jG7BrDnZ6qCLbd4mBuLftmhvy1TYmeWBR,iconicapeclub3d,Iconic Ape Club 3D,https://arweave.net/Oz9HulbHiPIwDNW_dPphVzPnUzjZ0gO7ClSllS1AEVU,Iconic Ape Club 3D #1673,2999 Unique Iconic Apes rendered in 4K rocking the Apeverse.,image,"[{'address': '8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE', 'verified': 1, 'share': 0}, {'address': 'AxiN49t2ZkWPQS27vn9nbQY3JtLf6F31g51zJHqN9R1o', 'verified': 0, 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 10}]",500,3ugkJByVyPCM4XwxXa7eSrEsZfCeimbtyVwbguxgPH6K,"[{'trait_type': 'Background', 'value': 'Orange backdrop'}, {'trait_type': 'Skins', 'value': 'Blue fur'}, {'trait_type': 'Cloths', 'value': 'Black hoodiewith WEN diamond chain'}, {'trait_type': 'Ears', 'value': 'Diamond earing'}, {'trait_type': 'Mouth', 'value': 'Covid mask WEN'}, {'trait_type': 'Eyes', 'value': 'Stoned eyes'}, {'trait_type': 'Head', 'value': 'Blue head bandana'}]","{'edition': 1674, 'files': [{'uri': 'https://arweave.net/Oz9HulbHiPIwDNW_dPphVzPnUzjZ0gO7ClSllS1AEVU', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '7NbNsSPPUwWiSHmzDkhrVWfbS4ubpMRTG2AGD2JUARq8', 'share': 91}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 9}]}",1,8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1007}},,
3,E3374kL95ahjbavFGrFZvkUbpGQ9hZ9VYKdtzdszcQzV,0.45,8BRrezSAidtQJdb7dX6rkG63xdNFck4UqQYCwamJ8cYs,54xFPQFHhXkFc8zeLC9XhDDYdYtuavMk7C2Abxug3W4B,iconicapeclub3d,Iconic Ape Club 3D,https://arweave.net/ofvQsYPmmcDmU0Qs1uWfHFu4-3liSPGuk5Xw38VhdEk,Iconic Ape Club 3D #1634,2999 Unique Iconic Apes rendered in 4K rocking the Apeverse.,image,"[{'address': '8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE', 'verified': 1, 'share': 0}, {'address': 'AxiN49t2ZkWPQS27vn9nbQY3JtLf6F31g51zJHqN9R1o', 'verified': 0, 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 10}]",500,GKndGF66eFo93HqWyoJ13AJBHBbaCt7KeYYNfVnBthbm,"[{'trait_type': 'Background', 'value': 'Pale yellow backdrop'}, {'trait_type': 'Skins', 'value': 'Red fur'}, {'trait_type': 'Cloths', 'value': 'Iconic hoodie'}, {'trait_type': 'Mouth', 'value': 'French moustache'}, {'trait_type': 'Eyes', 'value': 'Stoned eyes'}, {'trait_type': 'Head', 'value': 'Black bieanie'}]","{'edition': 1635, 'files': [{'uri': 'https://arweave.net/ofvQsYPmmcDmU0Qs1uWfHFu4-3liSPGuk5Xw38VhdEk', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '7NbNsSPPUwWiSHmzDkhrVWfbS4ubpMRTG2AGD2JUARq8', 'share': 91}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 9}]}",1,8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2687}},,
4,6qhYioSRUjz5vwV65LXvcD1be36C9qQeuwtHSJ7amjWa,1.5,GJbYe69MtSe9FbQJv1pMvv9a283ykaJK4WdAqZM6gekd,5y5rPMEYFQ2jnatBBaqe6hgHZK8yc1rqvmP1pnkDpYuz,iconicapeclub3d,Iconic Ape Club 3D,https://arweave.net/lfSe8vGu0c_kU_mUWdF5OJ-voZp6H_GN1_xCT_yEjBM,Iconic Ape Club 3D #1423,2999 Unique Iconic Apes rendered in 4K rocking the Apeverse.,image,"[{'address': '8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE', 'verified': 1, 'share': 0}, {'address': 'AxiN49t2ZkWPQS27vn9nbQY3JtLf6F31g51zJHqN9R1o', 'verified': 0, 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 10}]",500,AViKxU1pwFUtD57PP8pikR8VXRq6poeRgJyUi4ss2fu4,"[{'trait_type': 'Background', 'value': 'Saturated purple backdrop'}, {'trait_type': 'Skins', 'value': 'Green fur'}, {'trait_type': 'Cloths', 'value': 'black bomber with silver iconic chain'}, {'trait_type': 'Mouth', 'value': 'French moustache'}, {'trait_type': 'Head', 'value': 'Bob hat white'}, {'trait_type': 'Eyes', 'value': 'Aviator sunglasses'}]","{'edition': 1424, 'files': [{'uri': 'https://arweave.net/lfSe8vGu0c_kU_mUWdF5OJ-voZp6H_GN1_xCT_yEjBM', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '7NbNsSPPUwWiSHmzDkhrVWfbS4ubpMRTG2AGD2JUARq8', 'share': 91}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 9}]}",1,8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1473}},,
5,F68dvs7JP3ffz9fvAtxDh6jkET5LvwjwDgeNzB4GVXij,0.48,HhrN9PRmrkfTpanRKycCV3WqbnvbSTYLn9cXWczTw3U7,JDH8Yg4NyTHXimyELeryGz9cR83ZcWBbcDdyjWNCafwS,iconicapeclub3d,Iconic Ape Club 3D,https://arweave.net/hLZ4bwHosYARV9-qXczN9SwUos-ZCxQSIL_0f18HHZc,Iconic Ape Club 3D #2966,2999 Unique Iconic Apes rendered in 4K rocking the Apeverse.,image,"[{'address': '8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE', 'verified': 1, 'share': 0}, {'address': 'AxiN49t2ZkWPQS27vn9nbQY3JtLf6F31g51zJHqN9R1o', 'verified': 0, 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 10}]",500,CA3FLFczhZuBtHZ6SvhpMoq5sShmRjXkmF2nEQpwfnDn,"[{'trait_type': 'Background', 'value': 'pale green backdrop'}, {'trait_type': 'Skins', 'value': 'Red fur'}, {'trait_type': 'Cloths', 'value': 'Jean jacket'}, {'trait_type': 'Mouth', 'value': 'Covid mask WEN'}, {'trait_type': 'Eyes', 'value': 'Bored eyes'}, {'trait_type': 'Head', 'value': 'Blue bieanie'}]","{'edition': 2967, 'files': [{'uri': 'https://arweave.net/hLZ4bwHosYARV9-qXczN9SwUos-ZCxQSIL_0f18HHZc', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '7NbNsSPPUwWiSHmzDkhrVWfbS4ubpMRTG2AGD2JUARq8', 'share': 91}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 9}]}",1,8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2972}},,
6,HNfD1Gd4bFPjQEyHZZQWPd7TwbvaLwd1cgpDDr7XLp2N,0.48,8CUZabzoUZsJyvuhu5kN7GgmeAYTZUUmWKw2QGuSV52j,JDH8Yg4NyTHXimyELeryGz9cR83ZcWBbcDdyjWNCafwS,iconicapeclub3d,Iconic Ape Club 3D,https://arweave.net/mohYWfdHNp1P55oxi6vA8DjrsbzZVrG1V55p_iUfBbI,Iconic Ape Club 3D #2898,2999 Unique Iconic Apes rendered in 4K rocking the Apeverse.,image,"[{'address': '8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE', 'verified': 1, 'share': 0}, {'address': 'AxiN49t2ZkWPQS27vn9nbQY3JtLf6F31g51zJHqN9R1o', 'verified': 0, 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 10}]",500,FeuM7KcegKGPjgVrAwSVG5ge7joPJatFj8oRJDFP8knR,"[{'trait_type': 'Background', 'value': 'Saturated purple backdrop'}, {'trait_type': 'Skins', 'value': 'Grey fur'}, {'trait_type': 'Cloths', 'value': 'Red hoodie with iconic silver chain'}, {'trait_type': 'Mouth', 'value': 'Blunt'}, {'trait_type': 'Eyes', 'value': 'Stoned eyes'}, {'trait_type': 'Head', 'value': 'Red head bandana'}]","{'edition': 2899, 'files': [{'uri': 'https://arweave.net/mohYWfdHNp1P55oxi6vA8DjrsbzZVrG1V55p_iUfBbI', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '7NbNsSPPUwWiSHmzDkhrVWfbS4ubpMRTG2AGD2JUARq8', 'share': 91}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 9}]}",1,8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1983}},,
7,9cFLoyEX3r74gJhcUeRa2ZmVdSFbBMRmjCrHHJpBCKxv,0.5,2jgkumh3gKTZ2UxZrVs2YRZmpTg3vz24eHKQLtTz6Fqs,4SPJs2AB2oz6XUW3gc3uX2wEPskTyGaTqgnHSacZf3gj,iconicapeclub3d,Iconic Ape Club 3D,https://arweave.net/9BQo2qTdvrsLO3r8O-Z4-nOc_LohjNqoT4nyGO0-660,Iconic Ape Club 3D #1950,2999 Unique Iconic Apes rendered in 4K rocking the Apeverse.,image,"[{'address': '8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE', 'verified': 1, 'share': 0}, {'address': 'AxiN49t2ZkWPQS27vn9nbQY3JtLf6F31g51zJHqN9R1o', 'verified': 0, 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 10}]",500,zCsDtS4Du5UyrRrxje71sxWDYf7WKN7DY9yuhydDEkW,"[{'trait_type': 'Background', 'value': 'pale green backdrop'}, {'trait_type': 'Skins', 'value': 'Brown fur'}, {'trait_type': 'Cloths', 'value': 'White hoodie with WEN diamond chain'}, {'trait_type': 'Mouth', 'value': 'Cigarette'}, {'trait_type': 'Eyes', 'value': 'Stoned eyes'}, {'trait_type': 'Head', 'value': 'Black hair'}]","{'edition': 1951, 'files': [{'uri': 'https://arweave.net/9BQo2qTdvrsLO3r8O-Z4-nOc_LohjNqoT4nyGO0-660', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '7NbNsSPPUwWiSHmzDkhrVWfbS4ubpMRTG2AGD2JUARq8', 'share': 91}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 9}]}",1,8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2728}},,
8,7RGWRJCL5hhNc4TC4kwCtNX3cMyekqwbyxamdo3QAyuY,0.5,4aihPcPqVy2AKdXFLwrsfFqmr2prt8V5PEP8G5KjDcrQ,HPcQhpfTWBd9VjXzKiwmKp8bgxqcVXGsX318Sq141JUX,iconicapeclub3d,Iconic Ape Club 3D,https://arweave.net/CUtZsXWp4wG8mHBNoNf0s038XSUhH8REVNme8QiHw0c,Iconic Ape Club 3D #1316,2999 Unique Iconic Apes rendered in 4K rocking the Apeverse.,image,"[{'address': '8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE', 'verified': 1, 'share': 0}, {'address': 'AxiN49t2ZkWPQS27vn9nbQY3JtLf6F31g51zJHqN9R1o', 'verified': 0, 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 10}]",500,HoUS3R4ihpKv784m2hndybJ8bWwwZA1fMcjGrtWwwNbr,"[{'trait_type': 'Background', 'value': 'Black backdrop'}, {'trait_type': 'Skins', 'value': 'Blue fur'}, {'trait_type': 'Cloths', 'value': 'Red hoodie with WEN diamond chain'}, {'trait_type': 'Mouth', 'value': 'French moustache'}, {'trait_type': 'Head', 'value': 'Black hair'}, {'trait_type': 'Eyes', 'value': 'Mask sunglasses'}]","{'edition': 1317, 'files': [{'uri': 'https://arweave.net/CUtZsXWp4wG8mHBNoNf0s038XSUhH8REVNme8QiHw0c', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '7NbNsSPPUwWiSHmzDkhrVWfbS4ubpMRTG2AGD2JUARq8', 'share': 91}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 9}]}",1,8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2286}},,
9,7h86B6s1Lid4FpiiD4xhCPLwJtsxSibshupkEF6DHrgL,0.5,5suR5fSdqty7GVW4hCRcL3HBheyiVFYE8kL32nzKCGz1,E5hxWRcyt2drqquCjPCC984SEpibRpwBBLH5MDcAq2am,iconicapeclub3d,Iconic Ape Club 3D,https://arweave.net/E58z73HezkA8qMqcVYRJsct9O7mX3U9p5cnJrdoJgLw,Iconic Ape Club 3D #2546,2999 Unique Iconic Apes rendered in 4K rocking the Apeverse.,image,"[{'address': '8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE', 'verified': 1, 'share': 0}, {'address': 'AxiN49t2ZkWPQS27vn9nbQY3JtLf6F31g51zJHqN9R1o', 'verified': 0, 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'verified': 0, 'share': 10}]",500,7BJLNzXtobjdekM7yJeKt9eKRatVdCLUBU5fDXR6HnbS,"[{'trait_type': 'Background', 'value': 'Saturated purple backdrop'}, {'trait_type': 'Skins', 'value': 'Brown fur'}, {'trait_type': 'Cloths', 'value': 'Red hoodie with gold iconic chain'}, {'trait_type': 'Mouth', 'value': 'Open mouth'}, {'trait_type': 'Eyes', 'value': 'Bored eyes'}, {'trait_type': 'Head', 'value': 'Black head bandana'}]","{'edition': 2547, 'files': [{'uri': 'https://arweave.net/E58z73HezkA8qMqcVYRJsct9O7mX3U9p5cnJrdoJgLw', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '7NbNsSPPUwWiSHmzDkhrVWfbS4ubpMRTG2AGD2JUARq8', 'share': 91}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 9}]}",1,8z6cZrKDTKG5q4UZpDKYao8kTRbYWqu4ZbVt5Se1c1oE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2692}},,
