,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,54EgUoybe9u7yhe4GddQwatq8NfB2eg3q2uM6rTAQeRK,1.61,ERUTnQpS4M3BQFD2onJa4GJs4GcMCeLeyC14Dj9MyyiJ,8KDoewNcrjQNimaJTeUtmSWXSwoE3EbG7dWmGsrzMNBe,kamakura,Kamakura,https://bafybeiaglsd2m3myo6svagel6pxvqjsztpsjeevxplfoibds6rp7sebwiu.ipfs.nftstorage.link/1839.png?ext=png,Kamakura #1840,Collection of 3333 Shinobis defending Kamakura Village,https://www.kamakuranft.com,image,"[{'address': 'Bf2jdfoFrqVS2n6eDtzzmb8cbue7B1ibcZF4QCvruqav', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'verified': 0, 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'verified': 0, 'share': 45}]",700,2SoKXZhDeo9TctHZTXNh8R4VjakpQbEjKBkmm9WfqWDA,"[{'trait_type': 'Rank', 'value': 'Academy'}, {'trait_type': 'Background', 'value': 'Window Flower '}, {'trait_type': 'Back Accessories', 'value': 'Single Spike Bat '}, {'trait_type': 'Skin', 'value': 'Triangle Blue '}, {'trait_type': 'Eyes', 'value': 'Serious Purple '}, {'trait_type': 'Hair', 'value': 'Slick Purple '}, {'trait_type': 'Clothes', 'value': 'Cyber White '}, {'trait_type': 'Face Mask', 'value': 'Geisha Blue '}, {'trait_type': 'Head Mask', 'value': 'Monke Blue '}, {'trait_type': 'Ear Accessories', 'value': 'Crescent Yellow '}]","{'files': [{'uri': 'https://bafybeiaglsd2m3myo6svagel6pxvqjsztpsjeevxplfoibds6rp7sebwiu.ipfs.nftstorage.link/1839.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'share': 45}]}",1,AgCbrBLmqB5V9F3xAkBva6STGHcJF2jRFsTwCKNJDZt4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1399}}
1,4WTU4FRg8B4V1ifCAdYy3Y2UQcXwTRDujzKSG2K9bccj,1.62,GP4w6QxgGVSt8st8ScYbTUxnzwT7LFQgSH3MvWoMJWJF,VzESJJqC52KRKHQH84c9UsN3db7iothbVpg5HRqjFz1,kamakura,Kamakura,https://bafybeiahdj3gh52nvr2jrgotbuuokoqpa2e3uwsaylbjcphjtg2juumn6m.ipfs.nftstorage.link/3200.png?ext=png,Kamakura #3201,Collection of 3333 Shinobis defending Kamakura Village,https://www.kamakuranft.com,image,"[{'address': 'Bf2jdfoFrqVS2n6eDtzzmb8cbue7B1ibcZF4QCvruqav', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'verified': 0, 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'verified': 0, 'share': 45}]",700,HdXB3bUdcPnAN26ohxzrFrjHZtRbGMN9mHr4Qs1gDjjV,"[{'trait_type': 'Rank', 'value': 'Academy'}, {'trait_type': 'Background', 'value': 'Window Flower '}, {'trait_type': 'Back Accessories', 'value': 'Claymore '}, {'trait_type': 'Skin', 'value': 'Brown Eye Blue '}, {'trait_type': 'Eyes', 'value': 'Serious Blue '}, {'trait_type': 'Hair', 'value': 'Slick Teal '}, {'trait_type': 'Clothes', 'value': 'Hipari  '}, {'trait_type': 'Face Mask', 'value': 'Ronin Green '}, {'trait_type': 'Head Mask', 'value': 'Hannya Green '}, {'trait_type': 'Ear Accessories', 'value': 'Sun Red '}]","{'files': [{'uri': 'https://bafybeiahdj3gh52nvr2jrgotbuuokoqpa2e3uwsaylbjcphjtg2juumn6m.ipfs.nftstorage.link/3200.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'share': 45}]}",1,AgCbrBLmqB5V9F3xAkBva6STGHcJF2jRFsTwCKNJDZt4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1909}}
2,F1pPSWth68KstycZLwSJ6WTEgHhSFsUyKSNi9G6N2d44,1.63,5P9TjFkrkpoPAUd9CBqjeTwr9jtSbm74neApY3TFqK3K,HU5MgKkHNdwJSU87ioshmvuZV1gXDyYfm7g9seypYKxV,kamakura,Kamakura,https://bafybeiah2tbdcv6smxarftoimj42r7h2v7l6zviqwny4hqm7wghscvhmyi.ipfs.nftstorage.link/2340.png?ext=png,Kamakura #2341,Collection of 3333 Shinobis defending Kamakura Village,https://www.kamakuranft.com,image,"[{'address': 'Bf2jdfoFrqVS2n6eDtzzmb8cbue7B1ibcZF4QCvruqav', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'verified': 0, 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'verified': 0, 'share': 45}]",700,FMrUbkdjCfu5aUNvZkrgWBjpqqEKGBjAmU3gCXFnUEoH,"[{'trait_type': 'Rank', 'value': 'Academy'}, {'trait_type': 'Background', 'value': 'Pagoda Rising Sun '}, {'trait_type': 'Back Accessories', 'value': 'Kodachi '}, {'trait_type': 'Skin', 'value': 'Default Eye White '}, {'trait_type': 'Eyes', 'value': 'Inverted Red '}, {'trait_type': 'Hair', 'value': 'Slick Purple '}, {'trait_type': 'Clothes', 'value': 'Samurai Green '}, {'trait_type': 'Face Mask', 'value': 'Fox Half Blue '}, {'trait_type': 'Head Mask', 'value': 'Monke Green '}, {'trait_type': 'Ear Accessories', 'value': 'Sun Blue '}]","{'files': [{'uri': 'https://bafybeiah2tbdcv6smxarftoimj42r7h2v7l6zviqwny4hqm7wghscvhmyi.ipfs.nftstorage.link/2340.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'share': 45}]}",1,AgCbrBLmqB5V9F3xAkBva6STGHcJF2jRFsTwCKNJDZt4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1988}}
3,9k16HnrQdqyYt8dxAg3mgRPoWAHuPMK4QRCbp3gfxkEj,1.63,CHCWfFQfizZUYyAUzdu6hNH3XFRHMjGfKQzYnGifXFDC,6WpS871caFur1HvZXxc6UYinoTeELmkJEVGMgn58rAuc,kamakura,Kamakura,https://bafybeidcrgetl2jf5krd6rowautqn5eat52lr23p6wclt5c5qs43uv6u4y.ipfs.nftstorage.link/602.png?ext=png,Kamakura #603,Collection of 3333 Shinobis defending Kamakura Village,https://www.kamakuranft.com,image,"[{'address': 'Bf2jdfoFrqVS2n6eDtzzmb8cbue7B1ibcZF4QCvruqav', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'verified': 0, 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'verified': 0, 'share': 45}]",700,2gTKMZPmrFWRPLSeLonpBwUMEt2p7VHL8Kn6fB5ck3jo,"[{'trait_type': 'Rank', 'value': 'Academy'}, {'trait_type': 'Background', 'value': 'Mountain Red '}, {'trait_type': 'Back Accessories', 'value': 'Single Spear '}, {'trait_type': 'Skin', 'value': 'Zombie '}, {'trait_type': 'Eyes', 'value': 'Flat Blue '}, {'trait_type': 'Hair', 'value': 'Middle Part Green '}, {'trait_type': 'Clothes', 'value': 'Wafuku '}, {'trait_type': 'Face Mask', 'value': 'Fox Half Green '}, {'trait_type': 'Head Mask', 'value': 'Hyottoko Red '}, {'trait_type': 'Ear Accessories', 'value': 'Double Red '}]","{'files': [{'uri': 'https://bafybeidcrgetl2jf5krd6rowautqn5eat52lr23p6wclt5c5qs43uv6u4y.ipfs.nftstorage.link/602.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'share': 45}]}",1,AgCbrBLmqB5V9F3xAkBva6STGHcJF2jRFsTwCKNJDZt4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2572}}
4,7k99rANYuF5TKGmMyZuDtzbfW5cXPqm2BGxiLQ8MsKtb,1.66,GeyVTnUEfZRPaiNqphzrMvVk9SStMzkGhn7GcgFjsFjv,qKgTustyXVBTo4qEihGJQjDFqFCXaidXcETRtzYZ3LU,kamakura,Kamakura,https://bafybeihiifbygmodfl27zim3anawo2lzmr45o7ujq6qxsgplqh5od3i4e4.ipfs.nftstorage.link/3220.png?ext=png,Kamakura #3221,Collection of 3333 Shinobis defending Kamakura Village,https://www.kamakuranft.com,image,"[{'address': 'Bf2jdfoFrqVS2n6eDtzzmb8cbue7B1ibcZF4QCvruqav', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'verified': 0, 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'verified': 0, 'share': 45}]",700,7Je748VBATQp82dSW1T6YNyddfop9oF7yyHjywimQFMq,"[{'trait_type': 'Rank', 'value': 'Academy'}, {'trait_type': 'Background', 'value': 'Green Spike '}, {'trait_type': 'Back Accessories', 'value': 'Kodachi '}, {'trait_type': 'Skin', 'value': 'Eye Red '}, {'trait_type': 'Eyes', 'value': 'Plain Blue '}, {'trait_type': 'Hair', 'value': 'Slick Blonde '}, {'trait_type': 'Clothes', 'value': 'Yukata '}, {'trait_type': 'Face Mask', 'value': 'Mustache Blue '}, {'trait_type': 'Head Mask', 'value': 'Tengu Hairy Teal '}, {'trait_type': 'Ear Accessories', 'value': 'Fur Green '}]","{'files': [{'uri': 'https://bafybeihiifbygmodfl27zim3anawo2lzmr45o7ujq6qxsgplqh5od3i4e4.ipfs.nftstorage.link/3220.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'share': 45}]}",1,AgCbrBLmqB5V9F3xAkBva6STGHcJF2jRFsTwCKNJDZt4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3077}}
5,GZ7UTsvoCzaUCAZ3PCmKDTxCb6p8aLCt59AmoHwPL4RR,1.7,B1HKm3HtZX3KPRwjHHSyFkC1GdihMW47y2nqUExgkN6m,82VFdWf5EpkACMq2RSNDEqjxBn8iyWZJAxhFC32RhNxg,kamakura,Kamakura,https://bafybeieqerwnvi6keq47l2puzcn66ow2ws52yclqwzozlo64eujzshiaje.ipfs.nftstorage.link/1016.png?ext=png,Kamakura #1017,Collection of 3333 Shinobis defending Kamakura Village,https://www.kamakuranft.com,image,"[{'address': 'Bf2jdfoFrqVS2n6eDtzzmb8cbue7B1ibcZF4QCvruqav', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'verified': 0, 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'verified': 0, 'share': 45}]",700,8X9W8UcSM8W3cstTAuUn15gBwgAvRiCUQw1oPYsnbDva,"[{'trait_type': 'Rank', 'value': 'Academy'}, {'trait_type': 'Background', 'value': 'Shrine Mountain '}, {'trait_type': 'Back Accessories', 'value': 'Short Hook '}, {'trait_type': 'Skin', 'value': 'Dark Red Spike '}, {'trait_type': 'Eyes', 'value': 'Plain Rust '}, {'trait_type': 'Hair', 'value': 'Sideswept Cyan '}, {'trait_type': 'Clothes', 'value': 'Samurai Blue '}, {'trait_type': 'Face Mask', 'value': 'Fox Half Blue '}, {'trait_type': 'Head Mask', 'value': 'Monke Green '}, {'trait_type': 'Ear Accessories', 'value': 'Bar Black '}]","{'files': [{'uri': 'https://bafybeieqerwnvi6keq47l2puzcn66ow2ws52yclqwzozlo64eujzshiaje.ipfs.nftstorage.link/1016.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'share': 45}]}",1,AgCbrBLmqB5V9F3xAkBva6STGHcJF2jRFsTwCKNJDZt4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2594}}
6,Ad3hKJKoCqcB9h65FQCNxYhSwSwk7P95vuj8Z8befWd3,1.74,3owc8TyLhPW21pcePHexVmqDWfFPxVhGP8pYNp9YL29r,7YuMp7pA6ageaaoeRE5Ez86efJVv6TpHrRFSAbq65eAP,kamakura,Kamakura,https://bafybeifenprj3hfdzil6zfnzxl5skm6435u7knkrn77dqsyn5ncwybj544.ipfs.nftstorage.link/1974.png?ext=png,Kamakura #1975,Collection of 3333 Shinobis defending Kamakura Village,https://www.kamakuranft.com,image,"[{'address': 'Bf2jdfoFrqVS2n6eDtzzmb8cbue7B1ibcZF4QCvruqav', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'verified': 0, 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'verified': 0, 'share': 45}]",700,FHkeKmSEMcAj9hiHEM56DxKTW3L9kcKCGpAkLFC3j45J,"[{'trait_type': 'Rank', 'value': 'Academy'}, {'trait_type': 'Background', 'value': 'Mountain Yellow '}, {'trait_type': 'Back Accessories', 'value': 'Sword '}, {'trait_type': 'Skin', 'value': 'Blue Lines '}, {'trait_type': 'Eyes', 'value': 'Shocked Green '}, {'trait_type': 'Hair', 'value': 'Middle Part Blonde '}, {'trait_type': 'Clothes', 'value': 'Taka '}, {'trait_type': 'Face Mask', 'value': 'Vent Magenta '}, {'trait_type': 'Head Mask', 'value': 'Hannya Green '}, {'trait_type': 'Ear Accessories', 'value': 'Hoop Teal '}]","{'files': [{'uri': 'https://bafybeifenprj3hfdzil6zfnzxl5skm6435u7knkrn77dqsyn5ncwybj544.ipfs.nftstorage.link/1974.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'share': 45}]}",1,AgCbrBLmqB5V9F3xAkBva6STGHcJF2jRFsTwCKNJDZt4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3236}}
7,7b8Ry4SFMmJDLwjCTt3rQBqhmTcm48wpq3JordzNnwU9,1.75,534HeWrxh6XC2Z7QfDVwUavsAwjUi2iLghcGABggxxd2,9EgxSxG8VCei1Q3dkgvhEEvyecS1p1UD99c4c4nsLQmT,kamakura,Kamakura,https://bafybeiccrbavnpkxuo356ps2qocmgkpzhtvlicijcdimypsbgruqryhmvq.ipfs.nftstorage.link/1544.png?ext=png,Kamakura #1545,Collection of 3333 Shinobis defending Kamakura Village,https://www.kamakuranft.com,image,"[{'address': 'Bf2jdfoFrqVS2n6eDtzzmb8cbue7B1ibcZF4QCvruqav', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'verified': 0, 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'verified': 0, 'share': 45}]",700,Hdbs4qmDbXkNXFTKjQBgtXR7kxjmnMZ6RU3hzhzPN4ed,"[{'trait_type': 'Rank', 'value': 'Academy'}, {'trait_type': 'Background', 'value': 'Mountain Blue Inverted '}, {'trait_type': 'Back Accessories', 'value': 'Short Hook '}, {'trait_type': 'Skin', 'value': 'Blue Lines '}, {'trait_type': 'Eyes', 'value': 'Plain Rust '}, {'trait_type': 'Hair', 'value': 'Spikes Black '}, {'trait_type': 'Clothes', 'value': 'Karuta '}, {'trait_type': 'Face Mask', 'value': 'Oni Red '}, {'trait_type': 'Head Mask', 'value': 'Dragon Mask Yellow '}, {'trait_type': 'Ear Accessories', 'value': 'Mid Yellow '}]","{'files': [{'uri': 'https://bafybeiccrbavnpkxuo356ps2qocmgkpzhtvlicijcdimypsbgruqryhmvq.ipfs.nftstorage.link/1544.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'share': 45}]}",1,AgCbrBLmqB5V9F3xAkBva6STGHcJF2jRFsTwCKNJDZt4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2690}}
8,AJNbnuqPMhgLUXWo2SUm2J9tp89ZxQVXEC2kzrNMGhd,1.75,JVzVh6ZUJE2K5vwnb32UyX9nSe6xf2RzzAzR4ZShxQt,9EgxSxG8VCei1Q3dkgvhEEvyecS1p1UD99c4c4nsLQmT,kamakura,Kamakura,https://bafybeig7moaudlwd37bi62as374gvv5tyqr4qqmlzu2iltp7mv7ouqipzu.ipfs.nftstorage.link/1191.png?ext=png,Kamakura #1192,Collection of 3333 Shinobis defending Kamakura Village,https://www.kamakuranft.com,image,"[{'address': 'Bf2jdfoFrqVS2n6eDtzzmb8cbue7B1ibcZF4QCvruqav', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'verified': 0, 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'verified': 0, 'share': 45}]",700,FZ1qbQ3Sik5d7uYqcy4xCWVi1kdKSF23fJYovTeR4ZJC,"[{'trait_type': 'Rank', 'value': 'Academy'}, {'trait_type': 'Background', 'value': 'Sky Blue Spike '}, {'trait_type': 'Back Accessories', 'value': 'Short Hook '}, {'trait_type': 'Skin', 'value': 'Blue Lines '}, {'trait_type': 'Eyes', 'value': 'Bloody Blue '}, {'trait_type': 'Hair', 'value': 'Spikes Blue '}, {'trait_type': 'Clothes', 'value': 'Cyber Green '}, {'trait_type': 'Face Mask', 'value': 'Tengu Red '}, {'trait_type': 'Head Mask', 'value': 'Confident Red '}, {'trait_type': 'Ear Accessories', 'value': 'Katana Yellow '}]","{'files': [{'uri': 'https://bafybeig7moaudlwd37bi62as374gvv5tyqr4qqmlzu2iltp7mv7ouqipzu.ipfs.nftstorage.link/1191.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'share': 45}]}",1,AgCbrBLmqB5V9F3xAkBva6STGHcJF2jRFsTwCKNJDZt4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2224}}
9,Che65MpT4orM8omnzHZSGFf6UsDUsmojkJKsJsVUfX1r,1.779,BuSYaxVanFGzSsnZxxdyK61QPbvnUgKBsstjcakAGUT9,DwP8db8u8k1iKggU43kWNoqMS26PVDrAd5FyrJKJVVWt,kamakura,Kamakura,https://bafybeiaxpl7e2cjsn5awf4mpcjjyiwndup2yh2z3h2iexhrmxdqaup3rni.ipfs.nftstorage.link/2175.png?ext=png,Kamakura #2176,Collection of 3333 Shinobis defending Kamakura Village,https://www.kamakuranft.com,image,"[{'address': 'Bf2jdfoFrqVS2n6eDtzzmb8cbue7B1ibcZF4QCvruqav', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'verified': 0, 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'verified': 0, 'share': 45}]",700,z2HK4aU7Mh4abUVmhi98h4G6M1bJxmA33AyFQPmD1wD,"[{'trait_type': 'Rank', 'value': 'Academy'}, {'trait_type': 'Background', 'value': 'Mountain Yellow '}, {'trait_type': 'Back Accessories', 'value': 'Kodachi '}, {'trait_type': 'Skin', 'value': 'Mummy Green '}, {'trait_type': 'Eyes', 'value': 'Serious Teal '}, {'trait_type': 'Hair', 'value': 'Curly Brown '}, {'trait_type': 'Clothes', 'value': 'Samurai Green '}, {'trait_type': 'Face Mask', 'value': 'Vent Magenta '}, {'trait_type': 'Head Mask', 'value': 'Onimask '}, {'trait_type': 'Ear Accessories', 'value': 'Crescent Teal '}]","{'files': [{'uri': 'https://bafybeiaxpl7e2cjsn5awf4mpcjjyiwndup2yh2z3h2iexhrmxdqaup3rni.ipfs.nftstorage.link/2175.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'AUA412EdZMh16ToV4raFc6HzFM2nSDKbZz4ozteEavPe', 'share': 45}, {'address': '7PuvfsQ6CyMZ4JzqXkJ72q6rmxcW3w3ooxX5VyspGyJo', 'share': 45}]}",1,AgCbrBLmqB5V9F3xAkBva6STGHcJF2jRFsTwCKNJDZt4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3292}}
