,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,97fQUx2Rtjdx882nDHdjE8NUxdnNP3QzQhCYG3KoYKgg,7.69,GewEnQWpkjSJjr1xGxFhgzmiDhbxZweUsSALgKY79fY6,489J17RkTJrtzvhRDKYmA2niJqhDe2EEQt1gXHudKy2V,lifinity_flares,Lifinity Flares,https://www.arweave.net/R8JznSUUC_YiYralCi_MYAUdzKrJU02fyG7Tl0ssT54?ext=webp,LIFINITY Flares #9293,"Lifinity Flares is a set of 10,000 animated NFTs that directly combine NFTs with DeFi. They are designed to bootstrap liquidity on Lifinity and perpetually create value for the holders. All sale proceeds are deposited into Lifinity's liquidity pools. Royalties and trading fees are either used to buy back Lifinity Flares or are reinvested into the pools. The team takes zero profit. All value accrues to NFT holders.",https://lifinity.io,image,"[{'address': 'EWyWxSkxWHWGzxfCd9kG7zGrKTUDbZGiV6VbFJF8YfqN', 'verified': 1, 'share': 0}, {'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'verified': 0, 'share': 100}]",500,Hak9ixQijCs93SDqwMNGEYFfhBumb4vMVn822BzF9Sbo,"[{'trait_type': 'Type', 'value': 'Standard'}, {'trait_type': 'Color', 'value': 'Green'}, {'trait_type': 'Fire type', 'value': 'Flame'}, {'trait_type': 'Background', 'value': 'Hearts'}, {'trait_type': 'Eyes', 'value': 'Laughing'}, {'trait_type': 'Mouth', 'value': 'Grin 1'}, {'trait_type': 'Favorite Burnable', 'value': 'Ethanol'}]","{'files': [{'uri': 'https://www.arweave.net/R8JznSUUC_YiYralCi_MYAUdzKrJU02fyG7Tl0ssT54?ext=webp', 'type': 'image/webp'}], 'category': 'image', 'creators': [{'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'share': 100}]}",1,H5q7Z2FJ5KaWmtGquGqoYJYrM73BEpoabzas5y12s38T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 9601}, 'howrare': {'rank': 9770}}"
1,H11W3h89Z4vd4crjH57KE5Z7N3nEe8aszYp3LVAVSpS5,7.75,49setj9SUCJPbritQwTuBtyaiWbo4vZ8UVFUmAkxDfbB,DUG2dRzdfMZ8PkBiiMLzc2fKrsHFi6BGbJoxHHoJ8qbe,lifinity_flares,Lifinity Flares,https://www.arweave.net/v0XDGiepbYRTBnpYB2aAmv-oFf4cvoV6bn1QqaXv-1M?ext=webp,LIFINITY Flares #4189,"Lifinity Flares is a set of 10,000 animated NFTs that directly combine NFTs with DeFi. They are designed to bootstrap liquidity on Lifinity and perpetually create value for the holders. All sale proceeds are deposited into Lifinity's liquidity pools. Royalties and trading fees are either used to buy back Lifinity Flares or are reinvested into the pools. The team takes zero profit. All value accrues to NFT holders.",https://lifinity.io,image,"[{'address': 'EWyWxSkxWHWGzxfCd9kG7zGrKTUDbZGiV6VbFJF8YfqN', 'verified': 1, 'share': 0}, {'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'verified': 0, 'share': 100}]",500,F6v2a5deUHXzNxX2b3b3HWuSFvurCdQjJhp1tPkHQEu3,"[{'trait_type': 'Type', 'value': 'Standard'}, {'trait_type': 'Color', 'value': 'Green'}, {'trait_type': 'Fire type', 'value': 'Haze'}, {'trait_type': 'Background', 'value': 'Neon frame'}, {'trait_type': 'Eyes', 'value': 'Heart'}, {'trait_type': 'Headwear', 'value': 'Hoodie'}, {'trait_type': 'Favorite Burnable', 'value': 'Paper'}]","{'files': [{'uri': 'https://www.arweave.net/v0XDGiepbYRTBnpYB2aAmv-oFf4cvoV6bn1QqaXv-1M?ext=webp', 'type': 'image/webp'}], 'category': 'image', 'creators': [{'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'share': 100}]}",1,H5q7Z2FJ5KaWmtGquGqoYJYrM73BEpoabzas5y12s38T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5850}, 'howrare': {'rank': 5663}}"
2,3BQ91A5wuJk6wCqUEF7CpY953HWbhe7H9skGXij7mhQZ,7.77,55WJQJNkjdyZxYVfT7K284jeNcA1m9pPHyf7ig9jikM9,BJw2EJuiZY4QTWpMjuS9ySPGzRHbwrrje56yxAm2UcT7,lifinity_flares,Lifinity Flares,https://www.arweave.net/K_PUrAvMMEjpkVP0_pxDiYS0PnZCuVLFcqnLi4176nM?ext=webp,LIFINITY Flares #9624,"Lifinity Flares is a set of 10,000 animated NFTs that directly combine NFTs with DeFi. They are designed to bootstrap liquidity on Lifinity and perpetually create value for the holders. All sale proceeds are deposited into Lifinity's liquidity pools. Royalties and trading fees are either used to buy back Lifinity Flares or are reinvested into the pools. The team takes zero profit. All value accrues to NFT holders.",https://lifinity.io,image,"[{'address': 'EWyWxSkxWHWGzxfCd9kG7zGrKTUDbZGiV6VbFJF8YfqN', 'verified': 1, 'share': 0}, {'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'verified': 0, 'share': 100}]",500,99UuAzFhegfK62wdWnbkydNJrPr6La7iBawGCshru46s,"[{'trait_type': 'Type', 'value': 'Standard'}, {'trait_type': 'Color', 'value': 'Red'}, {'trait_type': 'Fire type', 'value': 'Zap'}, {'trait_type': 'Background', 'value': 'Thunderstorm'}, {'trait_type': 'Eyes', 'value': 'Confident'}, {'trait_type': 'Mouth', 'value': 'Grin 1'}, {'trait_type': 'Favorite Burnable', 'value': 'Ethanol'}]","{'files': [{'uri': 'https://www.arweave.net/K_PUrAvMMEjpkVP0_pxDiYS0PnZCuVLFcqnLi4176nM?ext=webp', 'type': 'image/webp'}], 'category': 'image', 'creators': [{'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'share': 100}]}",1,H5q7Z2FJ5KaWmtGquGqoYJYrM73BEpoabzas5y12s38T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 9172}, 'howrare': {'rank': 9153}}"
3,5dEQUGQYcPE6PRPMrRwfWszY6RazXPyBuj6TNZVXTuP3,7.78,52v7DBY9hvPmHcmegiL2jzxne5iGQmYmQAXtUoonjpUz,6g8ya3dmsraBVR2LzmSj6bExVYiMbfGRVhVc5X5kMJZF,lifinity_flares,Lifinity Flares,https://www.arweave.net/nb_lNirkvcNXf9VjlIP_pQjjD4q48jWY3Vf_Cgo-OIo?ext=webp,LIFINITY Flares #7168,"Lifinity Flares is a set of 10,000 animated NFTs that directly combine NFTs with DeFi. They are designed to bootstrap liquidity on Lifinity and perpetually create value for the holders. All sale proceeds are deposited into Lifinity's liquidity pools. Royalties and trading fees are either used to buy back Lifinity Flares or are reinvested into the pools. The team takes zero profit. All value accrues to NFT holders.",https://lifinity.io,image,"[{'address': 'EWyWxSkxWHWGzxfCd9kG7zGrKTUDbZGiV6VbFJF8YfqN', 'verified': 1, 'share': 0}, {'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'verified': 0, 'share': 100}]",500,HfnFtLGei9vP3ius8mK3dxxVnQm2wyLRQvaToLcdQjQj,"[{'trait_type': 'Type', 'value': 'Standard'}, {'trait_type': 'Color', 'value': 'Green'}, {'trait_type': 'Fire type', 'value': 'Neon'}, {'trait_type': 'Background', 'value': 'Light shower'}, {'trait_type': 'Eyes', 'value': 'Smirk'}, {'trait_type': 'Mouth', 'value': 'Small'}, {'trait_type': 'Headwear', 'value': 'Cap'}, {'trait_type': 'Favorite Burnable', 'value': 'Incense'}]","{'files': [{'uri': 'https://www.arweave.net/nb_lNirkvcNXf9VjlIP_pQjjD4q48jWY3Vf_Cgo-OIo?ext=webp', 'type': 'image/webp'}], 'category': 'image', 'creators': [{'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'share': 100}]}",1,H5q7Z2FJ5KaWmtGquGqoYJYrM73BEpoabzas5y12s38T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7704}, 'howrare': {'rank': 8128}}"
4,6DBeGTUdH2sc7bxK7AZe8jMPqmSAqcbcqEd551mQX175,7.79,85xMZNvEK2p7PVfNt8D2CGNfpKT1L4LX73VQYFbbp215,6g8ya3dmsraBVR2LzmSj6bExVYiMbfGRVhVc5X5kMJZF,lifinity_flares,Lifinity Flares,https://www.arweave.net/yquCZQ0eb_PJlGHt1Q-3f91-unVcPfG8Jj1pgJBWOaE?ext=webp,LIFINITY Flares #7173,"Lifinity Flares is a set of 10,000 animated NFTs that directly combine NFTs with DeFi. They are designed to bootstrap liquidity on Lifinity and perpetually create value for the holders. All sale proceeds are deposited into Lifinity's liquidity pools. Royalties and trading fees are either used to buy back Lifinity Flares or are reinvested into the pools. The team takes zero profit. All value accrues to NFT holders.",https://lifinity.io,image,"[{'address': 'EWyWxSkxWHWGzxfCd9kG7zGrKTUDbZGiV6VbFJF8YfqN', 'verified': 1, 'share': 0}, {'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'verified': 0, 'share': 100}]",500,5nixgav9p2x9chxtPJCFzDgDSXcujKGjNvAAqM3hqsgq,"[{'trait_type': 'Type', 'value': 'Standard'}, {'trait_type': 'Color', 'value': 'Aqua'}, {'trait_type': 'Fire type', 'value': 'Flare'}, {'trait_type': 'Background', 'value': 'Musical'}, {'trait_type': 'Eyes', 'value': 'Angry'}, {'trait_type': 'Mouth', 'value': 'uwu'}, {'trait_type': 'Accessory', 'value': 'Necklace Audius'}, {'trait_type': 'Favorite Burnable', 'value': 'Wood'}]","{'files': [{'uri': 'https://www.arweave.net/yquCZQ0eb_PJlGHt1Q-3f91-unVcPfG8Jj1pgJBWOaE?ext=webp', 'type': 'image/webp'}], 'category': 'image', 'creators': [{'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'share': 100}]}",1,H5q7Z2FJ5KaWmtGquGqoYJYrM73BEpoabzas5y12s38T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5825}, 'howrare': {'rank': 6440}}"
5,9NJZP36iBBMcG3EvJigMLZcLAr1rcD2GTAtUDdq6sqUj,7.9,BHJCjbSgn2A26LkCM8JZEartb1BYDMkzDiaRmNoCF5oE,5YBtZ6yVg5ejB2R6PV8fS5f7oFbw3Fw9tr9NWJ1pK67d,lifinity_flares,Lifinity Flares,https://www.arweave.net/vPBiM93YO95Q4OvAOh-3LEwm_gRtU8UcWywdPokGVv4?ext=webp,LIFINITY Flares #6840,"Lifinity Flares is a set of 10,000 animated NFTs that directly combine NFTs with DeFi. They are designed to bootstrap liquidity on Lifinity and perpetually create value for the holders. All sale proceeds are deposited into Lifinity's liquidity pools. Royalties and trading fees are either used to buy back Lifinity Flares or are reinvested into the pools. The team takes zero profit. All value accrues to NFT holders.",https://lifinity.io,image,"[{'address': 'EWyWxSkxWHWGzxfCd9kG7zGrKTUDbZGiV6VbFJF8YfqN', 'verified': 1, 'share': 0}, {'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'verified': 0, 'share': 100}]",500,7U3W4yQGJFeAraokvjbaJxm3BQSu944LdN2pnEnp15GA,"[{'trait_type': 'Type', 'value': 'Standard'}, {'trait_type': 'Color', 'value': 'Green'}, {'trait_type': 'Fire type', 'value': 'Smoke'}, {'trait_type': 'Eyes', 'value': 'Smirk'}, {'trait_type': 'Mouth', 'value': 'Smile 1'}, {'trait_type': 'Accessory', 'value': 'Necklace SOL'}, {'trait_type': 'Favorite Burnable', 'value': 'Paper'}]","{'files': [{'uri': 'https://www.arweave.net/vPBiM93YO95Q4OvAOh-3LEwm_gRtU8UcWywdPokGVv4?ext=webp', 'type': 'image/webp'}], 'category': 'image', 'creators': [{'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'share': 100}]}",1,H5q7Z2FJ5KaWmtGquGqoYJYrM73BEpoabzas5y12s38T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8309}, 'howrare': {'rank': 7887}}"
6,DQvLyE2r2qbTXpjis9cg2SvPpgnfNhqXbyejknNoLDR9,7.92,D9pV8Qdf6WErooQNJVDPaukmdvP88jqwoZCxiWeBs2Qy,5YBtZ6yVg5ejB2R6PV8fS5f7oFbw3Fw9tr9NWJ1pK67d,lifinity_flares,Lifinity Flares,https://www.arweave.net/S_4jSN1uF2J-1d2XjhLgSSBMai4xl2Mr4KbcgL2RZWg?ext=webp,LIFINITY Flares #6955,"Lifinity Flares is a set of 10,000 animated NFTs that directly combine NFTs with DeFi. They are designed to bootstrap liquidity on Lifinity and perpetually create value for the holders. All sale proceeds are deposited into Lifinity's liquidity pools. Royalties and trading fees are either used to buy back Lifinity Flares or are reinvested into the pools. The team takes zero profit. All value accrues to NFT holders.",https://lifinity.io,image,"[{'address': 'EWyWxSkxWHWGzxfCd9kG7zGrKTUDbZGiV6VbFJF8YfqN', 'verified': 1, 'share': 0}, {'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'verified': 0, 'share': 100}]",500,DhTmjZZaEKVF9aNddXtZeMaq9c9mi8YdXFAw5MWv3srT,"[{'trait_type': 'Type', 'value': 'Standard'}, {'trait_type': 'Color', 'value': 'Aqua'}, {'trait_type': 'Fire type', 'value': 'Flare'}, {'trait_type': 'Eyes', 'value': 'Wink'}, {'trait_type': 'Favorite Burnable', 'value': 'Oil'}]","{'files': [{'uri': 'https://www.arweave.net/S_4jSN1uF2J-1d2XjhLgSSBMai4xl2Mr4KbcgL2RZWg?ext=webp', 'type': 'image/webp'}], 'category': 'image', 'creators': [{'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'share': 100}]}",1,H5q7Z2FJ5KaWmtGquGqoYJYrM73BEpoabzas5y12s38T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 9804}, 'howrare': {'rank': 124}}"
7,9fkMsKK3Fkqw4USVLGzYJZykYiHK2PxWPeTmfr2chj3z,7.95,qFXLUSm2eZ8uEeY9RKdrbkAQyN7LFnrHkFQaaS6tw6e,5YBtZ6yVg5ejB2R6PV8fS5f7oFbw3Fw9tr9NWJ1pK67d,lifinity_flares,Lifinity Flares,https://www.arweave.net/QMMDrX9MfrJk7k6z1LoKmRZ9bJ6EPPyfadULtiQk5KM?ext=webp,LIFINITY Flares #6699,"Lifinity Flares is a set of 10,000 animated NFTs that directly combine NFTs with DeFi. They are designed to bootstrap liquidity on Lifinity and perpetually create value for the holders. All sale proceeds are deposited into Lifinity's liquidity pools. Royalties and trading fees are either used to buy back Lifinity Flares or are reinvested into the pools. The team takes zero profit. All value accrues to NFT holders.",https://lifinity.io,image,"[{'address': 'EWyWxSkxWHWGzxfCd9kG7zGrKTUDbZGiV6VbFJF8YfqN', 'verified': 1, 'share': 0}, {'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'verified': 0, 'share': 100}]",500,AvbCWbM2STuKLhct8v4JpevdPc7MAedr6iMguYnk9Auc,"[{'trait_type': 'Type', 'value': 'Standard'}, {'trait_type': 'Color', 'value': 'Purple'}, {'trait_type': 'Fire type', 'value': 'Firestorm'}, {'trait_type': 'Eyes', 'value': 'Wink'}, {'trait_type': 'Mouth', 'value': 'Mask'}, {'trait_type': 'Accessory', 'value': 'Devil wings'}, {'trait_type': 'Favorite Burnable', 'value': 'Incense'}]","{'files': [{'uri': 'https://www.arweave.net/QMMDrX9MfrJk7k6z1LoKmRZ9bJ6EPPyfadULtiQk5KM?ext=webp', 'type': 'image/webp'}], 'category': 'image', 'creators': [{'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'share': 100}]}",1,H5q7Z2FJ5KaWmtGquGqoYJYrM73BEpoabzas5y12s38T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6961}, 'howrare': {'rank': 4787}}"
8,JBshFghxUsA667f6C5LAyQoL2VhdM4CrKqUTaih2MeB3,7.97,H1YCdSU8B51o2jUr6nq4BNzaPgzz6eYCP72kkecefUdv,5YBtZ6yVg5ejB2R6PV8fS5f7oFbw3Fw9tr9NWJ1pK67d,lifinity_flares,Lifinity Flares,https://www.arweave.net/q2sKJc7y41Kh16AvHMIw-wRuvtHCwMZaoylLxQ2Yl_k?ext=webp,LIFINITY Flares #9926,"Lifinity Flares is a set of 10,000 animated NFTs that directly combine NFTs with DeFi. They are designed to bootstrap liquidity on Lifinity and perpetually create value for the holders. All sale proceeds are deposited into Lifinity's liquidity pools. Royalties and trading fees are either used to buy back Lifinity Flares or are reinvested into the pools. The team takes zero profit. All value accrues to NFT holders.",https://lifinity.io,image,"[{'address': 'EWyWxSkxWHWGzxfCd9kG7zGrKTUDbZGiV6VbFJF8YfqN', 'verified': 1, 'share': 0}, {'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'verified': 0, 'share': 100}]",500,q3NTuBve55VPptky3yVy74mVjwfrouNuzrFkjS9mhPV,"[{'trait_type': 'Type', 'value': 'Standard'}, {'trait_type': 'Color', 'value': 'Red'}, {'trait_type': 'Fire type', 'value': 'Flare'}, {'trait_type': 'Background', 'value': 'Wormhole'}, {'trait_type': 'Eyes', 'value': 'Bitcoin'}, {'trait_type': 'Mouth', 'value': 'Laugh'}, {'trait_type': 'Accessory', 'value': 'Necklace LFG'}, {'trait_type': 'Favorite Burnable', 'value': 'Gasoline'}]","{'files': [{'uri': 'https://www.arweave.net/q2sKJc7y41Kh16AvHMIw-wRuvtHCwMZaoylLxQ2Yl_k?ext=webp', 'type': 'image/webp'}], 'category': 'image', 'creators': [{'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'share': 100}]}",1,H5q7Z2FJ5KaWmtGquGqoYJYrM73BEpoabzas5y12s38T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5154}, 'howrare': {'rank': 5390}}"
9,DLMScf8qD4DcAehAv6eoZxHsYHrqKxwSP3aqYQmHYn3S,7.98,5vZrBwXrtwTzoodxbtJmEjc9217y5u51wcF7Koab7pqm,3AtnQmCSeBND8ET4cjaNhtmftDLLJbgMqmvvCkCvbWcL,lifinity_flares,Lifinity Flares,https://www.arweave.net/G3pEtIEuR4J-olmKX3K4WF2ngbYBJajV69B3EfYj6DQ?ext=webp,LIFINITY Flares #9678,"Lifinity Flares is a set of 10,000 animated NFTs that directly combine NFTs with DeFi. They are designed to bootstrap liquidity on Lifinity and perpetually create value for the holders. All sale proceeds are deposited into Lifinity's liquidity pools. Royalties and trading fees are either used to buy back Lifinity Flares or are reinvested into the pools. The team takes zero profit. All value accrues to NFT holders.",https://lifinity.io,image,"[{'address': 'EWyWxSkxWHWGzxfCd9kG7zGrKTUDbZGiV6VbFJF8YfqN', 'verified': 1, 'share': 0}, {'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'verified': 0, 'share': 100}]",500,7kVsp6nSiyJoBaHKAGkDvvqn3vYdKbJvgTG8VpB5LYSw,"[{'trait_type': 'Type', 'value': 'Standard'}, {'trait_type': 'Color', 'value': 'Navy'}, {'trait_type': 'Fire type', 'value': 'Haze'}, {'trait_type': 'Eyes', 'value': 'Smile'}, {'trait_type': 'Mouth', 'value': 'Fire breath'}, {'trait_type': 'Headwear', 'value': 'Horns'}, {'trait_type': 'Favorite Burnable', 'value': 'Paper'}]","{'files': [{'uri': 'https://www.arweave.net/G3pEtIEuR4J-olmKX3K4WF2ngbYBJajV69B3EfYj6DQ?ext=webp', 'type': 'image/webp'}], 'category': 'image', 'creators': [{'address': 'GmS7MqCNzo9kTQKYvJD7pDKoBNHwc7qyRAwvJUUxfRjr', 'share': 100}]}",1,H5q7Z2FJ5KaWmtGquGqoYJYrM73BEpoabzas5y12s38T,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 3378}, 'moonrank': {'rank': 6794}}"
