,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,F1DEk5ZWrJnD4MQh88RZxgG7f6r5BnZHuQ2ZcX257aRe,3.3,GhM9ERvxw8aCypUTAx6hvurNZUYdYiArvgh4NpumHnxx,HcU7fNM8iJF8YX5JZoiMGHixqHnePAqBEtK8S3EmeaVr,magnum_ai,Magnum AI,https://www.arweave.net/8GVMoObc-SM4Ow8oZ-GvUIsHkz68ikfvxEFpzN5e_KU?ext=png,Magnum #1804,"A technologically advanced NFT collection of 3888 retro cyborgs programmed to do one thing, kick some Solana Blockchain ass.",https://www.magnumai.io,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]",600,BM8z8FwyGDgt9DLFBFiRebwm5ouzTRmA2adLywo3YK9q,"[{'trait_type': 'Background', 'value': 'Outerspace'}, {'trait_type': 'Body', 'value': 'Cyborg'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Magnum Fighter'}, {'trait_type': 'Face Gear', 'value': 'Red Tongue'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'The Knight'}]","{'files': [{'uri': 'https://www.arweave.net/8GVMoObc-SM4Ow8oZ-GvUIsHkz68ikfvxEFpzN5e_KU?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2576}}
1,3PgTQ8Pan8XC5pk6dUNJh9DoXXRJ42b8kk7SqwS2MBJX,3.4,GVB4hqxPfXpLzVdjbBjqygc4ejw6fuNiwixwThfnAjGR,ABm4mkEyQhDATzjFrM2gY7E41HW3AgShrNEGtKNCKtcV,magnum_ai,Magnum AI,https://www.arweave.net/r4zip0QM92TIJJ6PKgiXxsy0Z5XSl_pjnIp8hzixA0w?ext=png,Magnum #1366,"A technologically advanced NFT collection of 3888 retro cyborgs programmed to do one thing, kick some Solana Blockchain ass.",https://www.magnumai.io,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]",600,9kYXYvYd3V7smP1yDFNqBMYDesKsBMA2mnfWknxvXLYU,"[{'trait_type': 'Background', 'value': 'Blue Fade'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Yellow Lumberjack'}, {'trait_type': 'Face Gear', 'value': 'Normal Cyborg'}, {'trait_type': 'Glasses', 'value': 'Glowing Red'}, {'trait_type': 'Headgear', 'value': 'Army Helmet Bullets'}]","{'files': [{'uri': 'https://www.arweave.net/r4zip0QM92TIJJ6PKgiXxsy0Z5XSl_pjnIp8hzixA0w?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2069}}
2,UyqLsj8cAvZYzXC6nJ1nFoenGLCQUMVLdBW7uJdDZ47,3.4,Cqg14X9Ro5jD65YK55L38jsFDh1d8b1q7tEAMBZF4JaV,HNyznfBZGJCc3HqzU8uFjxZKYW7wRHrB9jzN63mTF9e9,magnum_ai,Magnum AI,https://www.arweave.net/PQvSgI4qWvh1ZfxXXsQjoCsKyI_uEswLpE2vc7BqKm4?ext=png,Magnum #3273,"A technologically advanced NFT collection of 3888 retro cyborgs programmed to do one thing, kick some Solana Blockchain ass.",https://www.magnumai.io,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]",600,7exBjxK7QU3Fi2U8VUVZ5MTXXTpu7PvdgGFpHsmczKjw,"[{'trait_type': 'Background', 'value': 'Outerspace'}, {'trait_type': 'Body', 'value': 'Mummy Returns'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Magnum Supreme'}, {'trait_type': 'Face Gear', 'value': 'No Face Gear'}, {'trait_type': 'Glasses', 'value': 'SNES'}, {'trait_type': 'Headgear', 'value': 'Bushido'}]","{'files': [{'uri': 'https://www.arweave.net/PQvSgI4qWvh1ZfxXXsQjoCsKyI_uEswLpE2vc7BqKm4?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2006}}
3,8cYnDv2uBsfUeTZHRubQBYxXdxtKvtABAB3FvrCW5jJj,3.4,8eNeMBZ9fZTN442znVANjZkvYAJSpC6wJvUDcz4umog8,91JSg7s2Qtj8NBtzNfxN5fpioW1XemzF76gqjvwN1sgB,magnum_ai,Magnum AI,https://www.arweave.net/261xP_6yXCChSDYSTQ8GqpjIKLHDbnu2cNnXxzpsK4o?ext=png,Magnum #805,"A technologically advanced NFT collection of 3888 retro cyborgs programmed to do one thing, kick some Solana Blockchain ass.",https://www.magnumai.io,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]",600,GXgruwRZrhXfaE7xPVTfhb76NUhPXr684aWfjkimMu5S,"[{'trait_type': 'Background', 'value': 'Retro Red'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Magnum BallZ'}, {'trait_type': 'Face Gear', 'value': 'Red Beard'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'No Headgear'}]","{'files': [{'uri': 'https://www.arweave.net/261xP_6yXCChSDYSTQ8GqpjIKLHDbnu2cNnXxzpsK4o?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3671}}
4,3BuvABpwACRQRQ5DXvPJuLzUsLmF9uw1KY4BEspivUz8,3.699,3WZ8TxSA1kKKDYexG6L7xGfWtsd2T5JSahxWDNJPYb5r,8oDLgv91a5dfE4wTscUTDRourqgPLM9pc6b3JdUWtKzA,magnum_ai,Magnum AI,https://www.arweave.net/C4yEO1LgXBMN99j8o5JCmxdwgnbTx_7CTswP-dD6S1Y?ext=png,Magnum #946,"A technologically advanced NFT collection of 3888 retro cyborgs programmed to do one thing, kick some Solana Blockchain ass.",https://www.magnumai.io,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]",600,6F35dqFhze8mKkNRtKL2fmpZEXR6M9fEzFA3uQmuTHu,"[{'trait_type': 'Background', 'value': 'Bronze Fade'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'The Sailor'}, {'trait_type': 'Face Gear', 'value': 'Red Tongue'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Army Helmet Card'}]","{'files': [{'uri': 'https://www.arweave.net/C4yEO1LgXBMN99j8o5JCmxdwgnbTx_7CTswP-dD6S1Y?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3437}}
5,7ToEvanZPF1RLoHTykR8Jg9WjEHAQfSjmeAoYfezJh6o,3.75,29JFznjg7mDfMKxr8Ud4kgfNN7dF64zZYWW5SZrtrRRp,2Qz9cDjDujf5jxvnAcnNks567iD1cEndStmjaK8e8wCe,magnum_ai,Magnum AI,https://www.arweave.net/5qMbMbwV26CJGJ-zA8gdQfKnkbLoV_9EqmRDet5udLk?ext=png,Magnum #2489,"A technologically advanced NFT collection of 3888 retro cyborgs programmed to do one thing, kick some Solana Blockchain ass.",https://www.magnumai.io,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]",600,R7f9s1bAG4DGr1H6X73wNwx6TewZfgGjLSMun2vovFG,"[{'trait_type': 'Background', 'value': 'Bronze Fade'}, {'trait_type': 'Body', 'value': 'Mummy Returns'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Red Lumberjack'}, {'trait_type': 'Face Gear', 'value': 'No Face Gear'}, {'trait_type': 'Glasses', 'value': 'Googly Eyes'}, {'trait_type': 'Headgear', 'value': 'ComCap'}]","{'files': [{'uri': 'https://www.arweave.net/5qMbMbwV26CJGJ-zA8gdQfKnkbLoV_9EqmRDet5udLk?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2216}}
6,ExAi1BPFHVqQgHbhtLjvsKSnJR1zmPEyGWeMKx19uJdm,3.75,86zZhiHM9tZBJYm48FhrCHotxWp7QBj3VJCaDXx1TPz4,2DBfjHqx9ZoUZUragvb12J2mwigsYFxhHqAGgw2rTFvj,magnum_ai,Magnum AI,https://www.arweave.net/31HmTraP1lM_ffLH4gAdvb2Ot6CPRZ9nFpWZVQoPVn0?ext=png,Magnum #377,"A technologically advanced NFT collection of 3888 retro cyborgs programmed to do one thing, kick some Solana Blockchain ass.",https://www.magnumai.io,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]",600,4tb6thsQ7YjmiN6THdKuS1FRvpu8fE4mkTWjG6pGL6f5,"[{'trait_type': 'Background', 'value': 'Blue Fade'}, {'trait_type': 'Body', 'value': 'Aztec Warrior'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Pharaoh Top'}, {'trait_type': 'Face Gear', 'value': 'No Face Gear'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Blonde Afro'}]","{'files': [{'uri': 'https://www.arweave.net/31HmTraP1lM_ffLH4gAdvb2Ot6CPRZ9nFpWZVQoPVn0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3289}}
7,3PmQyeNSMpi4XvDP5G83hN3MbbA97j4ruRWrKsvZ7r2u,3.75,A5caGqegjbfgePGLjnkzhZHLHb7TP44F6GN1cMx8iQXA,9WtXVVZjnZdHQryXhXkQR34UWjpYQk7vznduPdKyKMja,magnum_ai,Magnum AI,https://www.arweave.net/Bt_wv4WkkIm61IRjEdE0Bmke_XK6O3QIFRiDHiFmtSw?ext=png,Magnum #235,"A technologically advanced NFT collection of 3888 retro cyborgs programmed to do one thing, kick some Solana Blockchain ass.",https://www.magnumai.io,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]",600,CTfzLrtKH9CA4sxbMQkUGrK4xuEBT2KWyFivVP62cvhE,"[{'trait_type': 'Background', 'value': 'Retro Emerald'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Magnum Formal'}, {'trait_type': 'Face Gear', 'value': 'Nice Teeth'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Bushido'}]","{'files': [{'uri': 'https://www.arweave.net/Bt_wv4WkkIm61IRjEdE0Bmke_XK6O3QIFRiDHiFmtSw?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3631}}
8,HNQDrPgTr9Jos3hsCwXhuqQncxLLBgeKnEpBwH4NU2Br,3.75,5ZAUv4tKctjFNBtQmjKXTdgKUvWkvuttCq6qbT9P6fSz,G7JTFfEGqQCE5oKBgFQjwt51Yxz7xVavSW6QbeCwGdje,magnum_ai,Magnum AI,https://www.arweave.net/yoy2KeNLFTSUKVmL-8puACC4Z53m6nYwR5leW7zJNa0?ext=png,Magnum #3148,"A technologically advanced NFT collection of 3888 retro cyborgs programmed to do one thing, kick some Solana Blockchain ass.",https://www.magnumai.io,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]",600,YvfCyUhMpcQefff2hRBmKT7SAFUjArGDK4VpDsSEheb,"[{'trait_type': 'Background', 'value': 'Arcade Bricks'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Magnum Formal'}, {'trait_type': 'Face Gear', 'value': 'No Face Gear'}, {'trait_type': 'Glasses', 'value': 'Googly Eyes'}, {'trait_type': 'Headgear', 'value': 'Viking Helmet'}]","{'files': [{'uri': 'https://www.arweave.net/yoy2KeNLFTSUKVmL-8puACC4Z53m6nYwR5leW7zJNa0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3433}}
9,2mMKXvDgBdZPTceZCKcGrzfhTBeTDeYitoq4tcjEsvLm,3.77,2HBHE2fvFnT7xHdHE93WXHqka4fjPgkKrpCXevFXHVdD,ETYQPLEirNsx4No5Hsugu3tnqh78zdFT5y6qxtua78v6,magnum_ai,Magnum AI,https://www.arweave.net/vlTy-0TjRwKVEVItMzMWbfz36lSuyIYDo6dsd4NnZwU?ext=png,Magnum #2793,"A technologically advanced NFT collection of 3888 retro cyborgs programmed to do one thing, kick some Solana Blockchain ass.",https://www.magnumai.io,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]",600,DhbLk5PMA1EKwk3XjHQhNTxKemeUNUTyDjtqtchvPptb,"[{'trait_type': 'Background', 'value': 'Arcade Bricks'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Yellow Lumberjack'}, {'trait_type': 'Face Gear', 'value': 'Red Tongue'}, {'trait_type': 'Glasses', 'value': 'Steampunk'}, {'trait_type': 'Headgear', 'value': 'Half Mini Man'}]","{'files': [{'uri': 'https://www.arweave.net/vlTy-0TjRwKVEVItMzMWbfz36lSuyIYDo6dsd4NnZwU?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",1,FSHP7g2kz3Mhy4oQ3w8JYksPR487hMgkcrjYAdjzwtaE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2518}}
