,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,4uy6DevTE9g43gVSTbVRjdKfdZGqdkztjW5a8ngbPPVn,4.9,9wuVwmovYyStsLuYjybmTUdscBVwVbV21AyTgiTUFu7Z,7JeAD5dwUVJa9UdJ331RvQnbWz71KaSH5q5bZxwZcB3k,mary_janes,Mary Janes,https://www.arweave.net/m5qTte7TJWmTkUIAs6lZKzSi0lG4dUP2dSVtTvkzA8c?ext=png,Mary Jane #4247,"Mary Janes are the new female counterpart of Best Buds who will activate a lot of new utility in the future; collectors are going to want keep both BB’s and MJ’s in their wallets! Besides ushering in a whole new fantastic looking IP and market base, Mary Janes will bolster the community by providing staking utility and advanced breeding capabilities so that collectors can passively grow their collection! MJ’s mark a crucial and amazing upgrade for our Best Buds community, happy minting!",https://bestbudsnft.io/,image,"[{'address': 'A1pjQhCeLzWB9fQwogMJMbNx2niWbF8w9DucLUmxD3C5', 'verified': 1, 'share': 0}, {'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'verified': 0, 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'verified': 0, 'share': 11}]",777,48PADumQisqZ4SF3E1gowFt8g14n3cx11X8FjwWCHfMt,"[{'trait_type': 'Background', 'value': 'Solana Colors Background'}, {'trait_type': 'Clothing', 'value': 'Black Hoodie'}, {'trait_type': 'Head', 'value': 'Lime Green Head'}, {'trait_type': 'Hair', 'value': 'Green Dreads'}, {'trait_type': 'Mouth', 'value': 'Orange Lips Smile'}, {'trait_type': 'Eyes', 'value': 'White Blazebans'}, {'trait_type': 'Hands', 'value': 'No Hand Showing'}]","{'category': 'image', 'files': [{'uri': 'image.png', 'type': 'image/png'}], 'creators': [{'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 11}]}",1,7rEXcvfMH46DSZ2rQJKfg61JW4Z7mVYZUj3j48vZ2wju,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3531}}
1,CYxf1mxq6YJxq46H3Dupc4UZqweSWce2negLSJajAkM7,4.92,EDm9pGhuPoSyYmgVAyHm2BzYMagGY7cbVqQifUVRq4Lb,8vH4FH64RjDV3VeAY3EUA45ssgBKFmVAU65gWMMWAUmY,mary_janes,Mary Janes,https://www.arweave.net/TWEXE6k0Y0wBUGTeKJnz9YxgwG4VM636awdHirKFsaU?ext=png,Mary Jane #1871,"Mary Janes are the new female counterpart of Best Buds who will activate a lot of new utility in the future; collectors are going to want keep both BB’s and MJ’s in their wallets! Besides ushering in a whole new fantastic looking IP and market base, Mary Janes will bolster the community by providing staking utility and advanced breeding capabilities so that collectors can passively grow their collection! MJ’s mark a crucial and amazing upgrade for our Best Buds community, happy minting!",https://bestbudsnft.io/,image,"[{'address': 'Gh5S5bZkqmbEHxLvv2PW3rtfHa95WGUwLdvYG2VVPFGN', 'verified': 1, 'share': 0}, {'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'verified': 0, 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'verified': 0, 'share': 11}]",777,ELXt6MZwXZeFcP7So4TWWkmXPuzgqgENnwbMHViYEUgm,"[{'trait_type': 'Background', 'value': 'Red Background'}, {'trait_type': 'Clothing', 'value': 'Pink Tee'}, {'trait_type': 'Head', 'value': 'Lime Green Head'}, {'trait_type': 'Hair', 'value': 'Mint Dreads'}, {'trait_type': 'Mouth', 'value': 'Green Tongue'}, {'trait_type': 'Eyes', 'value': 'Pink Budsace Shades'}, {'trait_type': 'Hands', 'value': 'No Hand Showing'}]","{'category': 'image', 'files': [{'uri': 'image.png', 'type': 'image/png'}], 'creators': [{'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 11}]}",1,EHc11YQQSX2ePyeyYUUhaZvAsBqCwBCp5poNZA4TLkDE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3334}}
2,Hu5C3K6z6sLEodd2bJWEfH2rhCqf5LXRQQuMabb11Ft6,4.95,8XjUwSFTNnJGkyFHqoG6W9X7HbdJ3oWmsEpuSWZMVc6Q,8vG7tzjSFp7GGrDmm1FKuiMxDeNyRY978vfhaP6KDeg3,mary_janes,Mary Janes,https://bafybeifvxqpnz5qsqco7fsmfk3g4n7vaettywc5novmjt2fydbrin5yshi.ipfs.nftstorage.link/218.png?ext=png,Mary Jane #2451,"Mary Janes are the new female counterpart of Best Buds who will activate a lot of new utility in the future; collectors are going to want keep both BB’s and MJ’s in their wallets! Besides ushering in a whole new fantastic looking IP and market base, Mary Janes will bolster the community by providing staking utility and advanced breeding capabilities so that collectors can passively grow their collection! MJ’s mark a crucial and amazing upgrade for our Best Buds community, happy minting!",https://bestbudsnft.io/,image,"[{'address': '3rLdEiN83agggYbDcMwn2vnveRu89U1Gks9rqfCna4ZG', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'verified': 0, 'share': 90}]",777,ByRaR4TGvfJkkjEDmrZvDka3jjwgscUEK6tJeaWYyZM,"[{'trait_type': 'Background', 'value': 'Trippy Sunset'}, {'trait_type': 'Clothing', 'value': 'Black Hoodie'}, {'trait_type': 'Head', 'value': 'Dark Green Head'}, {'trait_type': 'Hair', 'value': 'Black Bandana Bun'}, {'trait_type': 'Mouth', 'value': 'Smile Mouth'}, {'trait_type': 'Eyes', 'value': 'Blue Eyes'}, {'trait_type': 'Hands', 'value': 'Peace Out'}]","{'category': 'image', 'files': [{'uri': 'https://bafybeifvxqpnz5qsqco7fsmfk3g4n7vaettywc5novmjt2fydbrin5yshi.ipfs.nftstorage.link/218.png?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'share': 90}]}",1,Ev7zZq7k3V7NUFDS3bpd7FNsnHhtpq56XACc8tBQHaok,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4098}}
3,34wnjQUUH1hgznxsH22SDWXhf6aiWTnkmE7q4DHwZ4ht,4.95,7b3guP7VFz22e8ZhXDcrcSdvw1Nr4suNPFpTExPPXqaN,8vH4FH64RjDV3VeAY3EUA45ssgBKFmVAU65gWMMWAUmY,mary_janes,Mary Janes,https://www.arweave.net/fjgxgQOdcagSACkrAuFYl3iFILAglQO5zBh_Mx7svXc?ext=png,Mary Jane #2250,"Mary Janes are the new female counterpart of Best Buds who will activate a lot of new utility in the future; collectors are going to want keep both BB’s and MJ’s in their wallets! Besides ushering in a whole new fantastic looking IP and market base, Mary Janes will bolster the community by providing staking utility and advanced breeding capabilities so that collectors can passively grow their collection! MJ’s mark a crucial and amazing upgrade for our Best Buds community, happy minting!",https://bestbudsnft.io/,image,"[{'address': 'Gh5S5bZkqmbEHxLvv2PW3rtfHa95WGUwLdvYG2VVPFGN', 'verified': 1, 'share': 0}, {'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'verified': 0, 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'verified': 0, 'share': 11}]",777,6sGK32dNpgtddusRRVfTJMgfe67FWgJLwL5NMEZEog2g,"[{'trait_type': 'Background', 'value': 'Purple Background'}, {'trait_type': 'Clothing', 'value': 'Yellow Tee'}, {'trait_type': 'Head', 'value': 'Lime Green Head'}, {'trait_type': 'Hair', 'value': 'Orange Tint Messy Bun'}, {'trait_type': 'Mouth', 'value': 'Orange Lips Smile'}, {'trait_type': 'Eyes', 'value': 'Purple Gradient Tint Glasses'}, {'trait_type': 'Hands', 'value': 'No Hand Showing'}]","{'category': 'image', 'files': [{'uri': 'image.png', 'type': 'image/png'}], 'creators': [{'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 11}]}",1,EHc11YQQSX2ePyeyYUUhaZvAsBqCwBCp5poNZA4TLkDE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3653}}
4,fJRoXBY6CPhVwSDiymMpGAuVnT6CLYUxWz2ngC6Tikd,4.99,4fV9rUcoas71Vcpf43YrwNfaT2RVUtyc3pz2eBvtaomj,7x5eJK8ZM53Y6YLkWvFR6D1v5ygkWPYFuv8343EcrkE6,mary_janes,Mary Janes,https://www.arweave.net/G6oV2y5XU4_-xEw7Rnu0l2Rod-1JM3OYynPFKgYZgMI?ext=png,Mary Jane #2579,"Mary Janes are the new female counterpart of Best Buds who will activate a lot of new utility in the future; collectors are going to want keep both BB’s and MJ’s in their wallets! Besides ushering in a whole new fantastic looking IP and market base, Mary Janes will bolster the community by providing staking utility and advanced breeding capabilities so that collectors can passively grow their collection! MJ’s mark a crucial and amazing upgrade for our Best Buds community, happy minting!",https://bestbudsnft.io/,image,"[{'address': 'Gh5S5bZkqmbEHxLvv2PW3rtfHa95WGUwLdvYG2VVPFGN', 'verified': 1, 'share': 0}, {'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'verified': 0, 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'verified': 0, 'share': 11}]",777,Gn8nZaRKpcX2DWPijyGEzraGiqpGsWg6GSCQ7VYCHeEb,"[{'trait_type': 'Background', 'value': 'Orange Sunset Background'}, {'trait_type': 'Clothing', 'value': 'White Tee'}, {'trait_type': 'Head', 'value': 'Orange Green Head'}, {'trait_type': 'Hair', 'value': 'Orange Beanie Braids'}, {'trait_type': 'Mouth', 'value': 'Blue Tongue'}, {'trait_type': 'Eyes', 'value': 'Purple Eyes'}, {'trait_type': 'Hands', 'value': 'No Hand Showing'}]","{'category': 'image', 'files': [{'uri': 'image.png', 'type': 'image/png'}], 'creators': [{'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 11}]}",1,EHc11YQQSX2ePyeyYUUhaZvAsBqCwBCp5poNZA4TLkDE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2736}}
5,FXhgp3DE6PoSkct75dWrEswHyP4avurnxCuw3fbiYZqS,4.998,69ng4kz2cHLrpSW9T9fqpEFbPcpNNMczevtpXib623QS,B5P3rucCXPPW67SSPSE2jBxdLq3gwZD4U1eaRSMD621L,mary_janes,Mary Janes,https://www.arweave.net/tVRAVyHmSd1lbkVVSDosItx2gnl7azmdnjR1kvqsv2U?ext=png,Mary Jane #1710,"Mary Janes are the new female counterpart of Best Buds who will activate a lot of new utility in the future; collectors are going to want keep both BB’s and MJ’s in their wallets! Besides ushering in a whole new fantastic looking IP and market base, Mary Janes will bolster the community by providing staking utility and advanced breeding capabilities so that collectors can passively grow their collection! MJ’s mark a crucial and amazing upgrade for our Best Buds community, happy minting!",https://bestbudsnft.io/,image,"[{'address': 'Gh5S5bZkqmbEHxLvv2PW3rtfHa95WGUwLdvYG2VVPFGN', 'verified': 1, 'share': 0}, {'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'verified': 0, 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'verified': 0, 'share': 11}]",777,wNmQ2ou3UHxFLLJEjX41YjvBNNaXDfUKTNjM58zmLwf,"[{'trait_type': 'Background', 'value': 'Purple Background'}, {'trait_type': 'Clothing', 'value': 'Black Tee'}, {'trait_type': 'Head', 'value': 'Blue Green Head'}, {'trait_type': 'Hair', 'value': 'Green Purple Long Hair'}, {'trait_type': 'Mouth', 'value': 'Purple Tongue'}, {'trait_type': 'Eyes', 'value': 'Black Cat Eye Glasses'}, {'trait_type': 'Hands', 'value': 'No Hand Showing'}]","{'category': 'image', 'files': [{'uri': 'image.png', 'type': 'image/png'}], 'creators': [{'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 11}]}",1,EHc11YQQSX2ePyeyYUUhaZvAsBqCwBCp5poNZA4TLkDE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4088}}
6,GdzSUVrHpcp6qtTfJ5j1jVD3RgcV5wb1mFTkC5DR1CPV,5.0,BQvNdCpomKDobVG4VXjXxqFvMg4bzMr9rCDJZ888NP2N,9mV2Mf4ZWdeTVRr4o9LJYBERB1wHgy2dH8vdvfbSsgox,mary_janes,Mary Janes,https://www.arweave.net/bMPfeLDC4lUQ1iRfLyIex2zmtSeTkK17DCPz1NALtqo?ext=png,Mary Jane #3506,"Mary Janes are the new female counterpart of Best Buds who will activate a lot of new utility in the future; collectors are going to want keep both BB’s and MJ’s in their wallets! Besides ushering in a whole new fantastic looking IP and market base, Mary Janes will bolster the community by providing staking utility and advanced breeding capabilities so that collectors can passively grow their collection! MJ’s mark a crucial and amazing upgrade for our Best Buds community, happy minting!",https://bestbudsnft.io/,image,"[{'address': 'Gh5S5bZkqmbEHxLvv2PW3rtfHa95WGUwLdvYG2VVPFGN', 'verified': 1, 'share': 0}, {'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'verified': 0, 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'verified': 0, 'share': 11}]",777,Aav743PFGzFQh21yAzXbBKPVumeo8bYKz4vQmKC3Wb3p,"[{'trait_type': 'Background', 'value': 'Pink Background'}, {'trait_type': 'Clothing', 'value': 'Baby Blue Tee'}, {'trait_type': 'Head', 'value': 'Lime Green Head'}, {'trait_type': 'Hair', 'value': 'Orange Hippie Chick'}, {'trait_type': 'Mouth', 'value': 'Lil Blueberry Joint'}, {'trait_type': 'Eyes', 'value': 'Brown Eyes'}, {'trait_type': 'Hands', 'value': 'Gelato Hand'}]","{'category': 'image', 'files': [{'uri': 'image.png', 'type': 'image/png'}], 'creators': [{'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 11}]}",1,EHc11YQQSX2ePyeyYUUhaZvAsBqCwBCp5poNZA4TLkDE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3315}}
7,Gv83rqqD2oA9vnkMhDM2QT13w33xS5BC8h4nXndwjrQT,5.0,Hbs4uYhQP4J7evdCNf4qopCyXyeUg18LJghQB1dHYK3U,9xkogdEjctPLTA67H2K4TmEhLspX2Jnr3aSa6KCpxjtb,mary_janes,Mary Janes,https://www.arweave.net/NeVAb_BGpYHI5xf8O_JUQ6cFgfXCxamiT53hWNV-bjM?ext=png,Mary Jane #982,"Mary Janes are the new female counterpart of Best Buds who will activate a lot of new utility in the future; collectors are going to want keep both BB’s and MJ’s in their wallets! Besides ushering in a whole new fantastic looking IP and market base, Mary Janes will bolster the community by providing staking utility and advanced breeding capabilities so that collectors can passively grow their collection! MJ’s mark a crucial and amazing upgrade for our Best Buds community, happy minting!",https://bestbudsnft.io/,image,"[{'address': 'Gh5S5bZkqmbEHxLvv2PW3rtfHa95WGUwLdvYG2VVPFGN', 'verified': 1, 'share': 0}, {'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'verified': 0, 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'verified': 0, 'share': 11}]",777,8gfynMPyiVGk6GuHKQSkfFMHXBA3FjE6RVyx53Yg6Jyh,"[{'trait_type': 'Background', 'value': 'Blue Background'}, {'trait_type': 'Clothing', 'value': 'Blue Tee Tatted'}, {'trait_type': 'Head', 'value': 'Purple Head'}, {'trait_type': 'Hair', 'value': 'Hippie Chick'}, {'trait_type': 'Mouth', 'value': 'Purple Tongue'}, {'trait_type': 'Eyes', 'value': 'Green Eyes'}, {'trait_type': 'Hands', 'value': 'No Hand Showing'}]","{'category': 'image', 'files': [{'uri': 'image.png', 'type': 'image/png'}], 'creators': [{'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 11}]}",1,EHc11YQQSX2ePyeyYUUhaZvAsBqCwBCp5poNZA4TLkDE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4219}}
8,5qWH1n7UJfagdymKTJuid82CrQZnmnNMqXZb79XrLmhH,5.0,BcdtpKsQpHe9qDPvkRsd7HXnoe5s1rV8KFdEdcGGs3Wr,GjDKswRWLPQ6XsgSo9Yj6CpUuJYoJt49sFynn98rtcQ1,mary_janes,Mary Janes,https://www.arweave.net/gR7535QWQroFNykVVH6kb_0SA-mgaR8mMLjQAd5mbhQ?ext=png,Mary Jane #2758,"Mary Janes are the new female counterpart of Best Buds who will activate a lot of new utility in the future; collectors are going to want keep both BB’s and MJ’s in their wallets! Besides ushering in a whole new fantastic looking IP and market base, Mary Janes will bolster the community by providing staking utility and advanced breeding capabilities so that collectors can passively grow their collection! MJ’s mark a crucial and amazing upgrade for our Best Buds community, happy minting!",https://bestbudsnft.io/,image,"[{'address': 'Gh5S5bZkqmbEHxLvv2PW3rtfHa95WGUwLdvYG2VVPFGN', 'verified': 1, 'share': 0}, {'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'verified': 0, 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'verified': 0, 'share': 11}]",777,DiMEueDbKvXnjein3PyLM73cgGztq5KnoAMjQHwMQGDd,"[{'trait_type': 'Background', 'value': 'Orange Sunset Background'}, {'trait_type': 'Clothing', 'value': 'Heart Locket White Shirt'}, {'trait_type': 'Head', 'value': 'Lime Green Head'}, {'trait_type': 'Hair', 'value': 'Long Hair'}, {'trait_type': 'Mouth', 'value': 'Smile Mouth'}, {'trait_type': 'Eyes', 'value': 'Black Budsace Shades'}, {'trait_type': 'Hands', 'value': 'Home Grown'}]","{'category': 'image', 'files': [{'uri': 'image.png', 'type': 'image/png'}], 'creators': [{'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'share': 89}, {'address': 'Detd5A3Bisxn1rwgwuzCWWQv7nCAZvYk7VwqTTbdBrBy', 'share': 11}]}",1,EHc11YQQSX2ePyeyYUUhaZvAsBqCwBCp5poNZA4TLkDE,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2555}}
9,CxrAPstmQuc1461dPPjTfhwbQJ5LHddQZo3dr5Z2pV4u,5.0,EnTz2EaEysCi3JLAyciF1HCfGjxBtndMDZDGxHhL9kqW,DrQnAkiApQf3PfHJMqevikFPBHHxNYDC32Ays4LddXcf,mary_janes,Mary Janes,https://bafybeieju2h3vfcbp2jopymj3rv5zqgfi43yczrjnhurqa3xktqehksoxe.ipfs.nftstorage.link/274.png?ext=png,Mary Jane #2594,"Mary Janes are the new female counterpart of Best Buds who will activate a lot of new utility in the future; collectors are going to want keep both BB’s and MJ’s in their wallets! Besides ushering in a whole new fantastic looking IP and market base, Mary Janes will bolster the community by providing staking utility and advanced breeding capabilities so that collectors can passively grow their collection! MJ’s mark a crucial and amazing upgrade for our Best Buds community, happy minting!",https://bestbudsnft.io/,image,"[{'address': '3rLdEiN83agggYbDcMwn2vnveRu89U1Gks9rqfCna4ZG', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'verified': 0, 'share': 90}]",777,BEC9JZdtPhnvdkAYPvuAbUrPusXcsy75CuYPst27nL1u,"[{'trait_type': 'Background', 'value': 'Trippy Vibes Background'}, {'trait_type': 'Clothing', 'value': 'Purple Crystal Pendy'}, {'trait_type': 'Head', 'value': 'Lime Green Head'}, {'trait_type': 'Hair', 'value': 'Lucky Lady Hippie Chick'}, {'trait_type': 'Mouth', 'value': 'Purple Lips Smile'}, {'trait_type': 'Eyes', 'value': 'Green Eyes'}, {'trait_type': 'Hands', 'value': 'No Hand Showing'}]","{'category': 'image', 'files': [{'uri': 'https://bafybeieju2h3vfcbp2jopymj3rv5zqgfi43yczrjnhurqa3xktqehksoxe.ipfs.nftstorage.link/274.png?ext=png', 'type': 'image/png'}], 'creators': [{'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}, {'address': 'FoZvyt68bs28DGJaLHckcnLkFzUBNZTGgD5QobHRCQdd', 'share': 90}]}",1,Ev7zZq7k3V7NUFDS3bpd7FNsnHhtpq56XACc8tBQHaok,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2194}}
