,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,animationURL,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,9TQ7oyZq2ihPU4ZoCDMmZ3h9EGhDSPMH8bRqmxzwq2zD,0.89,FwmYC7aXb3Asis2KLZKA7N2Q5QvP8KsvCQMZu1kVBZBA,GV8YrWKRXQ3hWLmqo4Hpjcbsi1SS86ifnxeRtwwVcR6p,matuki,Matuki Labs,https://arweave.net/BkG-bl_O4aR1Lfef5bxCE0teeo80f1k636RMwTXQ8rI?ext=jpg,Matuki LaunchPass,An NFT with deflationary tokenomics that allows holders to earn passively while having first access to high quality NFT collections hand picked by experts.,https://arweave.net/hYKAJVEwFwn91lJ9vzOgeprSIXJ8OxB_tk7ACIELCPA?ext=mp4,https://www.matukilabs.io,video,"[{'address': 'FMiqk84PkzdXKPJVsCbXaZP3kFLsnUAiTQNVafnjEEYM', 'verified': 1, 'share': 0}, {'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'verified': 0, 'share': 100}]",900,64GxHgCcMf5mLgj2vMks5PeHkXTVzZk14xNCyNj8R53U,"[{'trait_type': 'Tier', 'value': 'Tier I - Black'}]","{'category': 'video', 'files': [{'uri': '815.jpg', 'type': 'image/jpeg'}, {'uri': '815.mp4', 'type': 'video/mp4'}], 'creators': [{'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'share': 100}]}",1,3Qjpt6XsgXgTtbT4dNf99faGbwDpTepNsAwrejfa9iCD,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
1,82fSUAFkeMWr7NUcSc8JZfAr4r56K8TTsWi3sRUfFDCv,0.89,BnpPogejPT7ktJRkDNvuS6hUMvuNTwKiyBYsjLbHouc1,GV8YrWKRXQ3hWLmqo4Hpjcbsi1SS86ifnxeRtwwVcR6p,matuki,Matuki Labs,https://arweave.net/IoyFOjKDhcZIGWncGit3Xvy4sicJ4I4mHI9yRDefsBQ?ext=jpg,Matuki LaunchPass,An NFT with deflationary tokenomics that allows holders to earn passively while having first access to high quality NFT collections hand picked by experts.,https://arweave.net/dW_zDvva33hVjL3aUVVqnyjIdY38PFhWGJ53cprw2WQ?ext=mp4,https://www.matukilabs.io,video,"[{'address': 'FMiqk84PkzdXKPJVsCbXaZP3kFLsnUAiTQNVafnjEEYM', 'verified': 1, 'share': 0}, {'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'verified': 0, 'share': 100}]",900,CxsuQ36PHCYE7g47PURE7KCPdjqZDXWoXQCZuNxkZEoc,"[{'trait_type': 'Tier', 'value': 'Tier I - Black'}]","{'category': 'video', 'files': [{'uri': '1565.jpg', 'type': 'image/jpeg'}, {'uri': '1565.mp4', 'type': 'video/mp4'}], 'creators': [{'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'share': 100}]}",1,3Qjpt6XsgXgTtbT4dNf99faGbwDpTepNsAwrejfa9iCD,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
2,H66bm7yv78GUNbeFY6RzjX7XZZ2DPrvCrdmU4oCagwGo,0.89,G6Pyg83HgXCfXY2CKfBMuAr2ZfnNB24rAkMr6ddaV2n6,BKzgDVKXx23LibENkLgdvX18arFvsG1pKJUAqgm92Fdw,matuki,Matuki Labs,https://arweave.net/dqgtymR-bciEjIJ_m4gd-cnGAEX81rbylaw63hWoqno?ext=jpg,Matuki LaunchPass,An NFT with deflationary tokenomics that allows holders to earn passively while having first access to high quality NFT collections hand picked by experts.,https://arweave.net/7uM6uBWNHqQ0WUOJAOCTZvvAz2yKmaYMb5cE6oYkzTI?ext=mp4,https://www.matukilabs.io,video,"[{'address': 'FMiqk84PkzdXKPJVsCbXaZP3kFLsnUAiTQNVafnjEEYM', 'verified': 1, 'share': 0}, {'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'verified': 0, 'share': 100}]",900,37AGdnzfpNkYpfnk5iPUYdzWoopy4quC6FXtpaHsDpKG,"[{'trait_type': 'Tier', 'value': 'Tier I - Black'}]","{'category': 'video', 'files': [{'uri': '1623.jpg', 'type': 'image/jpeg'}, {'uri': '1623.mp4', 'type': 'video/mp4'}], 'creators': [{'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'share': 100}]}",1,3Qjpt6XsgXgTtbT4dNf99faGbwDpTepNsAwrejfa9iCD,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
3,HjWJevSM1vqFGZbabpUCz17Sz12mspcohRDaFBgyvZdc,0.9,AXmPPxc2MxBmNh7asP16HUAgNZ6TAjHi41YRirYSPhUq,VkzSvbQ393bzY5bgWCgnsv1NU7jGKA13zaBhxsucYwa,matuki,Matuki Labs,https://arweave.net/yY1FlsjoCPkv4XnthaUmorKp97Z9DVFKBL_Bpqr3__4?ext=jpg,Matuki LaunchPass,An NFT with deflationary tokenomics that allows holders to earn passively while having first access to high quality NFT collections hand picked by experts.,https://arweave.net/dGhn24niLKRG6bt2foRWS6lEZHS6xJWT6cI07nR75l4?ext=mp4,https://www.matukilabs.io,video,"[{'address': 'FMiqk84PkzdXKPJVsCbXaZP3kFLsnUAiTQNVafnjEEYM', 'verified': 1, 'share': 0}, {'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'verified': 0, 'share': 100}]",900,AdpsGUuvn5fwNUAWHcbAx1ZSuAzucAYupZMznCznrYLK,"[{'trait_type': 'Tier', 'value': 'Tier I - Black'}]","{'category': 'video', 'files': [{'uri': '1617.jpg', 'type': 'image/jpeg'}, {'uri': '1617.mp4', 'type': 'video/mp4'}], 'creators': [{'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'share': 100}]}",1,3Qjpt6XsgXgTtbT4dNf99faGbwDpTepNsAwrejfa9iCD,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
4,C8V6rWM5YtYp3vVPonGVDi9yuN4YUpBKGgFnhp7jaRpK,0.9,GVHRigApGJr7S2qATofK6onzXPm7vqaF7Sgn1PNrXrgZ,B8zudDxKhhR6zrUt5SrhmEWfvv3pz57dTURM6dvJBZLx,matuki,Matuki Labs,https://arweave.net/wlD61thcCrq5rv-xtJvaNwvmHWBBWXB5pXv9B6GlpmE?ext=jpg,Matuki LaunchPass,An NFT with deflationary tokenomics that allows holders to earn passively while having first access to high quality NFT collections hand picked by experts.,https://arweave.net/VsVkOlYc5Dfa3KdiCJU4GYBXsWIf9vzZ5SP96SkUDXY?ext=mp4,https://www.matukilabs.io,video,"[{'address': 'FMiqk84PkzdXKPJVsCbXaZP3kFLsnUAiTQNVafnjEEYM', 'verified': 1, 'share': 0}, {'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'verified': 0, 'share': 100}]",900,ryoNfQree7vzPXRmVjagvfN2Zbh9tXGKc53X6rxr1na,"[{'trait_type': 'Tier', 'value': 'Tier I - Black'}]","{'category': 'video', 'files': [{'uri': '1804.jpg', 'type': 'image/jpeg'}, {'uri': '1804.mp4', 'type': 'video/mp4'}], 'creators': [{'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'share': 100}]}",1,3Qjpt6XsgXgTtbT4dNf99faGbwDpTepNsAwrejfa9iCD,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
5,58PxKSuUyAaKj1MaNqUpQ2C6WTxroTqUzieY8FVdzou7,0.9,2XVkiqFmQsLZU6Uo29ioaHjRh56suFB5tRvCdZ168SgT,B8zudDxKhhR6zrUt5SrhmEWfvv3pz57dTURM6dvJBZLx,matuki,Matuki Labs,https://arweave.net/uEkDE3Ry_lkYmlJpFdAKOlw0yLXgtzJQng7GfcAMGYo?ext=jpg,Matuki LaunchPass,An NFT with deflationary tokenomics that allows holders to earn passively while having first access to high quality NFT collections hand picked by experts.,https://arweave.net/qEckKjG02kKP7dghp026DMfdzBreJIne3m_51ANDR2A?ext=mp4,https://www.matukilabs.io,video,"[{'address': 'FMiqk84PkzdXKPJVsCbXaZP3kFLsnUAiTQNVafnjEEYM', 'verified': 1, 'share': 0}, {'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'verified': 0, 'share': 100}]",900,Du41mKp5uKWhweNtX1CSZJUKWRgzihdMvCWPFQD7qbLw,"[{'trait_type': 'Tier', 'value': 'Tier I - Black'}]","{'category': 'video', 'files': [{'uri': '2160.jpg', 'type': 'image/jpeg'}, {'uri': '2160.mp4', 'type': 'video/mp4'}], 'creators': [{'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'share': 100}]}",1,3Qjpt6XsgXgTtbT4dNf99faGbwDpTepNsAwrejfa9iCD,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
6,DXndsNfUkp9T3NForc8n7sPaRyQKXsNUWrRhc9CYaWhf,0.91,9BnndSxPxDtVgci25uJheeJVqmr52tkrcFHhy56LwaMh,3EaXujAymK7M64MTnZbQC3zDMVcwE4vK4vXKeTcFv3fR,matuki,Matuki Labs,https://arweave.net/cOXkMXVbwneZYHPNPtbHYbqpjBDpFTXrtPxM9XjAon8?ext=jpg,Matuki LaunchPass,An NFT with deflationary tokenomics that allows holders to earn passively while having first access to high quality NFT collections hand picked by experts.,https://arweave.net/cfdJqySdQuw40kcAOU9fu6aqwBYIz1OWWuiI2yVCeMo?ext=mp4,https://www.matukilabs.io,video,"[{'address': 'FMiqk84PkzdXKPJVsCbXaZP3kFLsnUAiTQNVafnjEEYM', 'verified': 1, 'share': 0}, {'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'verified': 0, 'share': 100}]",900,AwN2iuM8mAyoKVY2m7fZtat4n4pDG5tZwVXxq46zvbqJ,"[{'trait_type': 'Tier', 'value': 'Tier I - Black'}]","{'category': 'video', 'files': [{'uri': '1434.jpg', 'type': 'image/jpeg'}, {'uri': '1434.mp4', 'type': 'video/mp4'}], 'creators': [{'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'share': 100}]}",1,3Qjpt6XsgXgTtbT4dNf99faGbwDpTepNsAwrejfa9iCD,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
7,4z38LB2xpHWppCFc4oX32q2yRcxxzDQAWFvwUsMrDZyC,0.91,7k3yGPotg11CrBs1PAqv3xbyeitfT4gbjCrb2sbHsKHc,3Fm3Md9ouZUzm555mtMoaBHNfQR59h1PHzjvx6byCjGa,matuki,Matuki Labs,https://arweave.net/LBKY0YkMJmEVxT4baQ7opJxMJ3Pu2sF4dnAgPAdBEfg?ext=jpg,Matuki LaunchPass,An NFT with deflationary tokenomics that allows holders to earn passively while having first access to high quality NFT collections hand picked by experts.,https://arweave.net/C6v2Do1y4HlLHqjmW97usZFlI6St7bT0n8bx7b8061w?ext=mp4,https://www.matukilabs.io,video,"[{'address': 'FMiqk84PkzdXKPJVsCbXaZP3kFLsnUAiTQNVafnjEEYM', 'verified': 1, 'share': 0}, {'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'verified': 0, 'share': 100}]",900,3xE3T8v9gQnCu8677aAnFTnGM1zgEsouy7WAJ1wLcXpM,"[{'trait_type': 'Tier', 'value': 'Tier I - Black'}]","{'category': 'video', 'files': [{'uri': '2100.jpg', 'type': 'image/jpeg'}, {'uri': '2100.mp4', 'type': 'video/mp4'}], 'creators': [{'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'share': 100}]}",1,3Qjpt6XsgXgTtbT4dNf99faGbwDpTepNsAwrejfa9iCD,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
8,9jmCSSRZWMB2LbxHBuQ74cRrURrjTPNPQWALmcGGRTBV,0.91,ApLhSGQ6w4SmsC1anFtGeR5aEcsoKAeJsK6A1w7HsGUw,HqX8frVyvAqGMTcZfuH9RUiouwJSF952zYbLQH72GMoG,matuki,Matuki Labs,https://arweave.net/PKYdyhy6e7Mus7W0RTPlfnizuML22ZWoI8GCSkD7NSU?ext=jpg,Matuki LaunchPass,An NFT with deflationary tokenomics that allows holders to earn passively while having first access to high quality NFT collections hand picked by experts.,https://arweave.net/B7azre8aaFxt83aGk6ud_K7y-Uw1M-rGLeUaeeGjzPs?ext=mp4,https://www.matukilabs.io,video,"[{'address': 'FMiqk84PkzdXKPJVsCbXaZP3kFLsnUAiTQNVafnjEEYM', 'verified': 1, 'share': 0}, {'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'verified': 0, 'share': 100}]",900,2NJvuTKdfcwsFwev2xEvPuX3iasoWi9siGofqS1gZKZE,"[{'trait_type': 'Tier', 'value': 'Tier I - Black'}]","{'category': 'video', 'files': [{'uri': '326.jpg', 'type': 'image/jpeg'}, {'uri': '326.mp4', 'type': 'video/mp4'}], 'creators': [{'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'share': 100}]}",1,3Qjpt6XsgXgTtbT4dNf99faGbwDpTepNsAwrejfa9iCD,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
9,6ymrd1Fn2i7DbxUM5Y7TGHpgbJ7VamCcUnvCZZkPJ45k,0.92,33iYUu69GWCQ9RSYpNKt5amUEQGvaRQ5jVrQjShVz9XS,BfHhFW6th2uwjTEooq2K7YeXBBTTkX6afBC1J1uoopMv,matuki,Matuki Labs,https://arweave.net/tggth2F4v1OthQw5rXBu-wVLT4dMcxw92YCyapQErJ0?ext=jpg,Matuki LaunchPass,An NFT with deflationary tokenomics that allows holders to earn passively while having first access to high quality NFT collections hand picked by experts.,https://arweave.net/TWfeVRA8qeCbuNWfyzBCESDWha08lpy3wJAz2o5anIM?ext=mp4,https://www.matukilabs.io,video,"[{'address': 'FMiqk84PkzdXKPJVsCbXaZP3kFLsnUAiTQNVafnjEEYM', 'verified': 1, 'share': 0}, {'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'verified': 0, 'share': 100}]",900,5JhgkFEHSpykZBeiXyJiLuhmpXgjWXV2tS2NhKVico7X,"[{'trait_type': 'Tier', 'value': 'Tier I - Black'}]","{'category': 'video', 'files': [{'uri': '931.jpg', 'type': 'image/jpeg'}, {'uri': '931.mp4', 'type': 'video/mp4'}], 'creators': [{'address': '5RUmAVxeEKGt2k5ujgdCcr8vMp7v3YKyWnvWk2XrEcWx', 'share': 100}]}",1,3Qjpt6XsgXgTtbT4dNf99faGbwDpTepNsAwrejfa9iCD,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
