,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,GhF6HV1VQHdFHzoh2bD5wVEpbQK9WoDJEtYNbZ1ht4xb,4.0,AUPpii8pffoCmGArHDEQQvH7CJuYxRCWg8MtYZaCEMtr,JBZ3r2jZf17y78Gpx7cMDCp3CZy6QWn96borBVNRKknD,meerkat_millionaires_country_club,Meerkat Millionaires Country Club,https://www.arweave.net/legEiOyKn9-soJJ3SZc2WfasfYIqB7-2KixLG31G1kc?ext=png,Meerkat #4373,Meerkat Millionaires Country Club! The first NFT to pay 100% of royalties back to the community!,https://meerkatmillionaires.club,image,"[{'address': 'HAKkYiokH32HbgUJFQUr4xLWNFdbQtEUzTMsW7H3fDTk', 'verified': 1, 'share': 0}, {'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'verified': 0, 'share': 100}]",1500,7Ghkn4xtAGMPG6n71zUvo5Ab54WP8zovXU1PksqbS5vb,"[{'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Fur', 'value': 'Dark Brown'}, {'trait_type': 'Earrings', 'value': 'Stud Silver'}, {'trait_type': 'Eyes', 'value': 'Angry Eyes'}, {'trait_type': 'Glasses', 'value': 'Clubmaster'}, {'trait_type': 'Hat', 'value': 'Military Hat'}, {'trait_type': 'Mouth', 'value': 'Vape'}, {'trait_type': 'Clothing', 'value': 'Jacket Navy Tee White'}]","{'files': [{'uri': 'https://www.arweave.net/legEiOyKn9-soJJ3SZc2WfasfYIqB7-2KixLG31G1kc?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'share': 100}]}",1,9MoNQz3MDgj12FRXqitRv7rXbdJVGF4Ho7o2gBEBKFQq,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8500}, 'howrare': {'rank': 7924}}",,
1,5yXKSr5nZrnnoDQuQjqiqWDsQLoxbN6y5U32Zff1AvgQ,4.0,5Nr4uxd6dk8BA1A6Zp3Yq42FgDvEVa166vCG1Sfww1tV,JBZ3r2jZf17y78Gpx7cMDCp3CZy6QWn96borBVNRKknD,meerkat_millionaires_country_club,Meerkat Millionaires Country Club,https://www.arweave.net/6Ppied8TcjTF1RSZs_kpDNwjOAv2BBQIei0J66U7ufQ?ext=png,Meerkat #9706,Meerkat Millionaires Country Club! The first NFT to pay 100% of royalties back to the community!,https://meerkatmillionaires.club,image,"[{'address': 'HAKkYiokH32HbgUJFQUr4xLWNFdbQtEUzTMsW7H3fDTk', 'verified': 1, 'share': 0}, {'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'verified': 0, 'share': 100}]",1500,FMe5oQ3GKKGK2xryXuKUqZbwdJk7TYHuF2cDiC9AKWXf,"[{'trait_type': 'Background', 'value': 'Light Red'}, {'trait_type': 'Fur', 'value': 'Grey'}, {'trait_type': 'Earrings', 'value': 'Cross Silver'}, {'trait_type': 'Eyes', 'value': 'X eyes'}, {'trait_type': 'Glasses', 'value': 'Round Glasses'}, {'trait_type': 'Hat', 'value': 'Blue Visor'}, {'trait_type': 'Mouth', 'value': 'Sideways Smile Mouth'}, {'trait_type': 'Clothing', 'value': 'Plain White Tee'}]","{'files': [{'uri': 'https://www.arweave.net/6Ppied8TcjTF1RSZs_kpDNwjOAv2BBQIei0J66U7ufQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'share': 100}]}",1,9MoNQz3MDgj12FRXqitRv7rXbdJVGF4Ho7o2gBEBKFQq,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8589}, 'howrare': {'rank': 9043}}",,
2,7dtxWvRcB1gViLWxf9ZXA2jFVs5mF9CkBujPKVUyFJVE,4.0,78R1sVmTkMFvFxbZP6L1CFdmqVQ3e31VjawgaHoDCoq6,6V9rmwuW2gMxhP4EEWXY2oavhLMA2Jbxf66XK1qRQejn,meerkat_millionaires_country_club,Meerkat Millionaires Country Club,https://www.arweave.net/3aNV91V8ykOaZ_AZDg7Hq4E100Wd9fH7yq7MRQhQmYk?ext=png,Meerkat #1268,Meerkat Millionaires Country Club! The first NFT to pay 100% of royalties back to the community!,https://meerkatmillionaires.club,image,"[{'address': '8mNmf15xNrMFQLNSNrHxxswy7a1NfaSFwXHkVUPeMWwU', 'verified': 1, 'share': 0}, {'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'verified': 0, 'share': 100}]",1500,8NpnJw7p2KaB7X8Cu5wCY9CTjgvQxJ3KMtoJVGKnFN4A,"[{'trait_type': 'Background', 'value': 'Light Red'}, {'trait_type': 'Fur', 'value': 'Brown'}, {'trait_type': 'Earrings', 'value': 'Stud Silver'}, {'trait_type': 'Eyes', 'value': 'Bored Eyes'}, {'trait_type': 'Glasses', 'value': 'Clout Goggles'}, {'trait_type': 'Hat', 'value': 'Bowl Cut'}, {'trait_type': 'Mouth', 'value': 'Sideways Smile Mouth'}, {'trait_type': 'Clothing', 'value': 'Hoodie Black'}]","{'files': [{'uri': 'https://www.arweave.net/3aNV91V8ykOaZ_AZDg7Hq4E100Wd9fH7yq7MRQhQmYk?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'share': 100}]}",1,9MoNQz3MDgj12FRXqitRv7rXbdJVGF4Ho7o2gBEBKFQq,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 9577}, 'howrare': {'rank': 8571}}",,
3,FxVF4h29cSvaTDkgkMFraW2Nph4mGHfjef3bLiZP2Gqm,4.0,7KcujRTjFzMFbzNXuVUnDEW3XeJffL2rVMqjv5o8CvxY,HCu8QAPo3SQ1FUF8q3CdsfjPqcd1G2cmgRvBXwq4vHQQ,meerkat_millionaires_country_club,Meerkat Millionaires Country Club,https://www.arweave.net/UwNGGgsrUP8BbCL4FmK9P8n5MANd1pWoG_b4nOJl6K0?ext=png,Meerkat #8863,Meerkat Millionaires Country Club! The first NFT to pay 100% of royalties back to the community!,https://meerkatmillionaires.club,image,"[{'address': 'HAKkYiokH32HbgUJFQUr4xLWNFdbQtEUzTMsW7H3fDTk', 'verified': 1, 'share': 0}, {'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'verified': 0, 'share': 100}]",1500,4JXhz5nbjwsZoqY5mDHRp3LRzL2aMcdNhNQZyVaYxKrN,"[{'trait_type': 'Background', 'value': 'Rainbow'}, {'trait_type': 'Fur', 'value': 'Brown'}, {'trait_type': 'Earrings', 'value': 'Stud Silver'}, {'trait_type': 'Eyes', 'value': 'Bored Eyes'}, {'trait_type': 'Glasses', 'value': 'Clout Goggles'}, {'trait_type': 'Hat', 'value': 'Fisherman Cap'}, {'trait_type': 'Mouth', 'value': 'Pizza'}, {'trait_type': 'Clothing', 'value': 'Plain Black Tee'}]","{'files': [{'uri': 'https://www.arweave.net/UwNGGgsrUP8BbCL4FmK9P8n5MANd1pWoG_b4nOJl6K0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'share': 100}]}",1,9MoNQz3MDgj12FRXqitRv7rXbdJVGF4Ho7o2gBEBKFQq,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7449}, 'howrare': {'rank': 7544}}",,
4,2d9sysPhRYheR3bJA2GNXqL3c9moxQqDD64o54pvWGxS,4.0,4vwDQJKxXd3szYw94sWhXSZ8RokinRgWqoR16SHi9NjY,5ddFiGUfYL9msMxtPfiYcgcVAaBhqTaa46tHNy7efzuF,meerkat_millionaires_country_club,Meerkat Millionaires Country Club,https://www.arweave.net/GbPcPGQFCxngAeAXxXqAqg3FMCfgNjqlngVRgvUdKyM?ext=png,Meerkat #3313,Meerkat Millionaires Country Club! The first NFT to pay 100% of royalties back to the community!,https://meerkatmillionaires.club,image,"[{'address': 'HAKkYiokH32HbgUJFQUr4xLWNFdbQtEUzTMsW7H3fDTk', 'verified': 1, 'share': 0}, {'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'verified': 0, 'share': 100}]",1500,Fy2GWxQaKRG6S1eqzYLWEc1SyX8zMxk5xsewYq6qSXWm,"[{'trait_type': 'Background', 'value': 'Light Green'}, {'trait_type': 'Fur', 'value': 'Blue'}, {'trait_type': 'Earrings', 'value': 'Stud Silver'}, {'trait_type': 'Eyes', 'value': 'Hypnotic eyes'}, {'trait_type': 'Glasses', 'value': 'Clout Goggles'}, {'trait_type': 'Hat', 'value': 'Cowboy Hat Brown'}, {'trait_type': 'Mouth', 'value': 'Angry Mouth'}, {'trait_type': 'Clothing', 'value': 'Jacket Red White'}]","{'files': [{'uri': 'https://www.arweave.net/GbPcPGQFCxngAeAXxXqAqg3FMCfgNjqlngVRgvUdKyM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'share': 100}]}",1,9MoNQz3MDgj12FRXqitRv7rXbdJVGF4Ho7o2gBEBKFQq,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4983}, 'howrare': {'rank': 6726}}",,
5,FcBBZjYRsTXmC2tk3SswWyzJ5EA2GSiZuwZbJrnD4TnP,4.0,3Kj3ta8y7jeZhToMY1seeLrGDazg2DCeo5kbZqAxyQnf,5ddFiGUfYL9msMxtPfiYcgcVAaBhqTaa46tHNy7efzuF,meerkat_millionaires_country_club,Meerkat Millionaires Country Club,https://www.arweave.net/1ofhLru0POdF-my9XMbcGgHV7KgZPBlRHMnYDUhJWYg?ext=png,Meerkat #2975,Meerkat Millionaires Country Club! The first NFT to pay 100% of royalties back to the community!,https://meerkatmillionaires.club,image,"[{'address': 'HAKkYiokH32HbgUJFQUr4xLWNFdbQtEUzTMsW7H3fDTk', 'verified': 1, 'share': 0}, {'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'verified': 0, 'share': 100}]",1500,8st6GyJNcjTdGwPtyyDsDeoNTtuPS9msCut4teA7Nmfr,"[{'trait_type': 'Background', 'value': 'Light Blue'}, {'trait_type': 'Fur', 'value': 'Blue'}, {'trait_type': 'Earrings', 'value': 'Solana Silver Stud'}, {'trait_type': 'Eyes', 'value': 'X eyes'}, {'trait_type': 'Glasses', 'value': 'Clout Goggles'}, {'trait_type': 'Hat', 'value': 'Military Hat'}, {'trait_type': 'Mouth', 'value': 'Pizza'}, {'trait_type': 'Clothing', 'value': 'Hoodie Aqua'}]","{'files': [{'uri': 'https://www.arweave.net/1ofhLru0POdF-my9XMbcGgHV7KgZPBlRHMnYDUhJWYg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'share': 100}]}",1,9MoNQz3MDgj12FRXqitRv7rXbdJVGF4Ho7o2gBEBKFQq,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3175}, 'howrare': {'rank': 5469}}",,
6,9XMJNSfBym8jFNvUyAtPePPjB5xWWKeadPtCG56h8n6u,4.0,D8Dd3fdS2Ba6XYC9ihXp1fStsgkQompVQdpwCYu14byU,JBuTiirgc1U7jSx8wsLzx1VRaWWXP7yNV6N16Poe9v7,meerkat_millionaires_country_club,Meerkat Millionaires Country Club,https://www.arweave.net/I-z2iuqSBIcmNmmhDU-PQHzMD6NPptaWuCrxoUbZeXE?ext=png,Meerkat #4315,Meerkat Millionaires Country Club! The first NFT to pay 100% of royalties back to the community!,https://meerkatmillionaires.club,image,"[{'address': 'HAKkYiokH32HbgUJFQUr4xLWNFdbQtEUzTMsW7H3fDTk', 'verified': 1, 'share': 0}, {'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'verified': 0, 'share': 100}]",1500,3U2oSM94CkYoiSjJ8MbA9QCzpQ5MJ6Qq8PK5gdiKcn4i,"[{'trait_type': 'Background', 'value': 'Light Red'}, {'trait_type': 'Fur', 'value': 'Blue'}, {'trait_type': 'Earrings', 'value': 'Stud Silver'}, {'trait_type': 'Eyes', 'value': 'X eyes'}, {'trait_type': 'Glasses', 'value': 'Clout Goggles'}, {'trait_type': 'Hat', 'value': 'Beanie Blue'}, {'trait_type': 'Mouth', 'value': 'Sideways Smile Mouth'}, {'trait_type': 'Clothing', 'value': 'Polo Red'}]","{'files': [{'uri': 'https://www.arweave.net/I-z2iuqSBIcmNmmhDU-PQHzMD6NPptaWuCrxoUbZeXE?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'share': 100}]}",1,9MoNQz3MDgj12FRXqitRv7rXbdJVGF4Ho7o2gBEBKFQq,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8916}, 'howrare': {'rank': 9107}}",,
7,2FG7GJy64JpBiWmUZ4ouCHVG7hqyDucSYPn5gXJ3SuUb,4.0,22WNk9fyhnfVRcCaNDyZuS78DtuNENWKmNVxhNWmLar5,Bw4p76kiN2zR7zYCNjEqwU3AtgUMrD7y6M8ukKjLC4Ny,meerkat_millionaires_country_club,Meerkat Millionaires Country Club,https://www.arweave.net/vY5CVa_ZhZkx3L8bLuwLh-WWNNM4q6un3_-HhUe-S3s?ext=png,Meerkat #1587,Meerkat Millionaires Country Club! The first NFT to pay 100% of royalties back to the community!,https://meerkatmillionaires.club,image,"[{'address': '8mNmf15xNrMFQLNSNrHxxswy7a1NfaSFwXHkVUPeMWwU', 'verified': 1, 'share': 0}, {'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'verified': 0, 'share': 100}]",1500,DpnA29zTkoxe8Fk8sjSeCZMKjjSWY17MMxu3ZzyKVAQb,"[{'trait_type': 'Background', 'value': 'Light Grey'}, {'trait_type': 'Fur', 'value': 'Red'}, {'trait_type': 'Earrings', 'value': 'Cross Silver'}, {'trait_type': 'Eyes', 'value': 'Closed eyes'}, {'trait_type': 'Glasses', 'value': 'Burberry Glasses'}, {'trait_type': 'Hat', 'value': 'Military Hat'}, {'trait_type': 'Mouth', 'value': 'Smile mouth'}, {'trait_type': 'Clothing', 'value': 'Jacket Navy Tee White'}]","{'files': [{'uri': 'https://www.arweave.net/vY5CVa_ZhZkx3L8bLuwLh-WWNNM4q6un3_-HhUe-S3s?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'share': 100}]}",1,9MoNQz3MDgj12FRXqitRv7rXbdJVGF4Ho7o2gBEBKFQq,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 9170}, 'moonrank': {'rank': 9335}}",,
8,BwpmSQyiLZExtD8FKwp3D7t3Yboz8ZyTVFFfbtHbZ3Mf,4.069,CYEbyBHPtFJxKVFzM5CWPExPxDM9qatcdYwVvqGxSzyJ,6AwzFztoLJHJx2qkBkYGabdtacnEQkCycU2vkj2eaGEj,meerkat_millionaires_country_club,Meerkat Millionaires Country Club,https://www.arweave.net/xLONjutvUG1slhEVBp934eNMcKG8ZVkgnjH6D5DUu9M?ext=png,Meerkat #1891,Meerkat Millionaires Country Club! The first NFT to pay 100% of royalties back to the community!,https://meerkatmillionaires.club,image,"[{'address': '8mNmf15xNrMFQLNSNrHxxswy7a1NfaSFwXHkVUPeMWwU', 'verified': 1, 'share': 0}, {'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'verified': 0, 'share': 100}]",1500,DxFHSWyNeGX4zjr8pQhe35iwhUEKfwYyqGWNYdUD2d7X,"[{'trait_type': 'Background', 'value': 'Light Red'}, {'trait_type': 'Fur', 'value': 'Grey'}, {'trait_type': 'Earrings', 'value': 'Cross Gold'}, {'trait_type': 'Eyes', 'value': 'Round Eye'}, {'trait_type': 'Glasses', 'value': 'Masquerade'}, {'trait_type': 'Hat', 'value': 'Blue Visor'}, {'trait_type': 'Mouth', 'value': 'Sideways Smile Mouth'}, {'trait_type': 'Clothing', 'value': 'Plain White Tee'}]","{'files': [{'uri': 'https://www.arweave.net/xLONjutvUG1slhEVBp934eNMcKG8ZVkgnjH6D5DUu9M?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'share': 100}]}",1,9MoNQz3MDgj12FRXqitRv7rXbdJVGF4Ho7o2gBEBKFQq,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7532}, 'howrare': {'rank': 8829}}",,
9,DQALviWz4uTZBconnf5bD6ww7rXDhwvMBAYACGG3LZWP,4.2,A5k1NzTRs7UUM2CKErS4PbvDYW3W2pXYwNbxoDM3ToSf,4HC6Yi7czR9moRcNyvQZmPxijtEPwm6zSwx3SYkG7vE4,meerkat_millionaires_country_club,Meerkat Millionaires Country Club,https://www.arweave.net/MunEOVy5QEqRldjayDvBGkf_G5lrERkNd_uDPprTTX8?ext=png,Meerkat #7227,Meerkat Millionaires Country Club! The first NFT to pay 100% of royalties back to the community!,https://meerkatmillionaires.club,image,"[{'address': 'HAKkYiokH32HbgUJFQUr4xLWNFdbQtEUzTMsW7H3fDTk', 'verified': 1, 'share': 0}, {'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'verified': 0, 'share': 100}]",1500,BsNsU9J2w6r8AWCfzYXNRuhJ8KFXyizSiZsaW81hVKw3,"[{'trait_type': 'Background', 'value': 'Light Red'}, {'trait_type': 'Fur', 'value': 'Grey'}, {'trait_type': 'Earrings', 'value': 'Ruby'}, {'trait_type': 'Eyes', 'value': 'Round Eye'}, {'trait_type': 'Glasses', 'value': 'Masquerade'}, {'trait_type': 'Hat', 'value': 'Fisherman Cap'}, {'trait_type': 'Mouth', 'value': 'Insect Mouth'}, {'trait_type': 'Clothing', 'value': 'Medical Robe'}]","{'files': [{'uri': 'https://www.arweave.net/MunEOVy5QEqRldjayDvBGkf_G5lrERkNd_uDPprTTX8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FLARQdNnEz8qzGD5oS67eZbSmY94dqx5RheRXJmHjsaX', 'share': 100}]}",1,9MoNQz3MDgj12FRXqitRv7rXbdJVGF4Ho7o2gBEBKFQq,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4783}, 'howrare': {'rank': 5579}}",,
