,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,5Km4D9p5cxvGmY8BKFZ4mr7nebCQ4XaTbkaHoThgGib1,85.0,CDpcXQq6QvmLx2agZaaDkuVUqBDrYq9YhshpK6Xwspz2,7WvarbQqHitoARe5BE5eMtG8oEa86nQ7tXfNp3jnqNEV,mindfolk,Mindfolk,https://www.arweave.net/MGPA_3syGj72IRQEt0-hCFvroa9g6--JU6uVDm0IRlk?ext=png,Mindfolk Founders #602,777 Unique explorations of well traveled Mindfolk,https://mindfolk.art,image,"[{'address': '4wTTi885HkQ6awqRGQkHAdXXzE46DyqLNXtfo1uz5ub3', 'verified': 1, 'share': 0}, {'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'verified': 0, 'share': 100}, {'address': '6wkWFzpPEWRa5tnWi9FHLGe8XABnZBVXMENgydpmMGgg', 'verified': 0, 'share': 0}]",500,BBDzsWfYfdrCudq52nPyUbrtf7GRR1gMxQbM7EPx4fdK,"[{'trait_type': 'Background', 'value': 'Carrot Orange'}, {'trait_type': 'Body', 'value': 'Book club'}, {'trait_type': 'Face', 'value': 'Ryan'}, {'trait_type': 'Hat', 'value': 'Cloud fishing'}, {'trait_type': 'Pipe', 'value': 'Poker'}, {'trait_type': 'Skill', 'value': 'Carpenter'}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/MGPA_3syGj72IRQEt0-hCFvroa9g6--JU6uVDm0IRlk?ext=png', 'type': 'image/png'}], 'creators': [{'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'share': 100}]}",1,7hYkx2CNGRB8JE7X7GefX1ak1dqe7GxgYKbpfj9moE9D,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 775}, 'howrare': {'rank': 770}}"
1,Fyjutp9u2sYHP74RiPEDUSSQFsbBmV4gQj88YGxk8PYT,85.0,9ox4UknsaSYTRABUo16J8sRzVFFx8mGqVkRT7eAVqnUQ,7WvarbQqHitoARe5BE5eMtG8oEa86nQ7tXfNp3jnqNEV,mindfolk,Mindfolk,https://www.arweave.net/99y2LH0GGcM32Lc_Bm6CM1aF9T1KoBPwWxHPwEP3Kmg?ext=png,Mindfolk Founders #172,777 Unique explorations of well traveled Mindfolk,https://mindfolk.art,image,"[{'address': '4wTTi885HkQ6awqRGQkHAdXXzE46DyqLNXtfo1uz5ub3', 'verified': 1, 'share': 0}, {'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'verified': 0, 'share': 100}, {'address': '6wkWFzpPEWRa5tnWi9FHLGe8XABnZBVXMENgydpmMGgg', 'verified': 0, 'share': 0}]",500,DmYiW9ewgYLU95r8FLbnRfztVrJKxMTWYwYShtEqgJAn,"[{'trait_type': 'Background', 'value': 'Carrot Orange'}, {'trait_type': 'Body', 'value': 'Book club'}, {'trait_type': 'Face', 'value': 'Ringo'}, {'trait_type': 'Hat', 'value': 'Camp out'}, {'trait_type': 'Pipe', 'value': 'Reading'}, {'trait_type': 'Skill', 'value': 'Carpenter'}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/99y2LH0GGcM32Lc_Bm6CM1aF9T1KoBPwWxHPwEP3Kmg?ext=png', 'type': 'image/png'}], 'creators': [{'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'share': 100}]}",1,7hYkx2CNGRB8JE7X7GefX1ak1dqe7GxgYKbpfj9moE9D,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 582}, 'howrare': {'rank': 617}}"
2,2sbp5CiQDjJREZL5L3Lau1q8kmqPTCiC2hrG4Ju2Mar2,99.0,DauiKop49BhAZAvhtZHA54mKGGXJwFDDq1FRQRcb61Pd,CoUueYf4nGmC5h2Xcuyixnw2Hh8PztYjugGEcwq46rRW,mindfolk,Mindfolk,https://www.arweave.net/_Bx7fuo2mBtF7KvgROw9WiU3dXBJwhvaCZsXgrKu0Ck?ext=png,Mindfolk Founders #420,777 Unique explorations of well traveled Mindfolk,https://mindfolk.art,image,"[{'address': '4wTTi885HkQ6awqRGQkHAdXXzE46DyqLNXtfo1uz5ub3', 'verified': 1, 'share': 0}, {'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'verified': 0, 'share': 100}, {'address': '6wkWFzpPEWRa5tnWi9FHLGe8XABnZBVXMENgydpmMGgg', 'verified': 0, 'share': 0}]",500,kduFCCCs69i8YrHVTvqdrJASzPDg9B76rNtvKSUYH53,"[{'trait_type': 'Background', 'value': 'Olive'}, {'trait_type': 'Body', 'value': 'Mirage'}, {'trait_type': 'Face', 'value': 'Rooi'}, {'trait_type': 'Hat', 'value': 'Productive thoughts'}, {'trait_type': 'Pipe', 'value': 'Poker'}, {'trait_type': 'Skill', 'value': 'Carpenter'}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/_Bx7fuo2mBtF7KvgROw9WiU3dXBJwhvaCZsXgrKu0Ck?ext=png', 'type': 'image/png'}], 'creators': [{'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'share': 100}]}",1,7hYkx2CNGRB8JE7X7GefX1ak1dqe7GxgYKbpfj9moE9D,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 178}, 'howrare': {'rank': 178}}"
3,3MWr6yJbCJP2kaXWGVH5kVteY3waY7kRtB7cxu6YLitV,110.0,6CTxGaksD3iHiQJLFekBc8UiAGctzJZgrW2fcA7LKqXx,6iaXTCtoELGuW41akGbJcntUVWn8nf86ckZQa88Sgn2U,mindfolk,Mindfolk,https://www.arweave.net/2rMZZb5kJCu0YTvfo_Xl5WRsn_AbHVkEgIMSejCUppU?ext=png,Mindfolk Founders #359,777 Unique explorations of well traveled Mindfolk,https://mindfolk.art,image,"[{'address': '4wTTi885HkQ6awqRGQkHAdXXzE46DyqLNXtfo1uz5ub3', 'verified': 1, 'share': 0}, {'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'verified': 0, 'share': 100}, {'address': '6wkWFzpPEWRa5tnWi9FHLGe8XABnZBVXMENgydpmMGgg', 'verified': 0, 'share': 0}]",500,3B6qtFk9qsphc8tgwNrqFLwNGVp98721zxYbQwKfXong,"[{'trait_type': 'Background', 'value': 'Smalt Blue'}, {'trait_type': 'Body', 'value': 'Book club'}, {'trait_type': 'Face', 'value': 'Tank'}, {'trait_type': 'Hat', 'value': 'Alchemist'}, {'trait_type': 'Pipe', 'value': 'Poker'}, {'trait_type': 'Skill', 'value': 'Lumberjack'}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/2rMZZb5kJCu0YTvfo_Xl5WRsn_AbHVkEgIMSejCUppU?ext=png', 'type': 'image/png'}], 'creators': [{'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'share': 100}]}",1,7hYkx2CNGRB8JE7X7GefX1ak1dqe7GxgYKbpfj9moE9D,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 468}, 'howrare': {'rank': 278}}"
4,PrEHrwrLN8EwXHWJeorQ12xUix5pQ3hXcoebveHbVgb,111.11,5v9VppiR9REZsfR7dxcfkYVAziLWzpq3b9CNurVpYmXg,4jbZzHqJAMNbQAWKWktJrHpzRZWKpEDUbCTKdh69Hifk,mindfolk,Mindfolk,https://www.arweave.net/d3yT1lTTU7FxSfTXXjnU6tNF29gmdK0vEIQHmVr9f_Y?ext=png,Mindfolk Founders #386,777 Unique explorations of well traveled Mindfolk,https://mindfolk.art,image,"[{'address': '4wTTi885HkQ6awqRGQkHAdXXzE46DyqLNXtfo1uz5ub3', 'verified': 1, 'share': 0}, {'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'verified': 0, 'share': 100}, {'address': '6wkWFzpPEWRa5tnWi9FHLGe8XABnZBVXMENgydpmMGgg', 'verified': 0, 'share': 0}]",500,5Ly6Ue3SwQWcVidaGDtmHaCAk7pQ72XfeZCfBBxp7Mry,"[{'trait_type': 'Background', 'value': 'Carrot Orange'}, {'trait_type': 'Body', 'value': 'Setting sun'}, {'trait_type': 'Face', 'value': 'Cob'}, {'trait_type': 'Hat', 'value': 'Rock pool'}, {'trait_type': 'Pipe', 'value': 'Calabash'}, {'trait_type': 'Skill', 'value': 'Lumberjack'}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/d3yT1lTTU7FxSfTXXjnU6tNF29gmdK0vEIQHmVr9f_Y?ext=png', 'type': 'image/png'}], 'creators': [{'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'share': 100}]}",1,7hYkx2CNGRB8JE7X7GefX1ak1dqe7GxgYKbpfj9moE9D,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 58}, 'howrare': {'rank': 74}}"
5,7AyPY1wNBNGL3K8sRsyVvVdeZ6SWvdb9a3a7f2mFVA15,118.0,4NxRe56KDnHMok5sxgPHj7GZj7Kg3V6TC3bA9Nc7sdAU,Pf2gasRuYweE2aL8aTisttAuyhoHB1UeRUUmU2yJb5E,mindfolk,Mindfolk,https://www.arweave.net/QBf3tCTMo5TXWe2wsssA2DlU35i7FPuxTZToFUh1aAs?ext=png,Mindfolk Founders #667,777 Unique explorations of well traveled Mindfolk,https://mindfolk.art,image,"[{'address': '4wTTi885HkQ6awqRGQkHAdXXzE46DyqLNXtfo1uz5ub3', 'verified': 1, 'share': 0}, {'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'verified': 0, 'share': 100}, {'address': '6wkWFzpPEWRa5tnWi9FHLGe8XABnZBVXMENgydpmMGgg', 'verified': 0, 'share': 0}]",500,rfnzMNKtchee1YCFzhatotBnCVNPC7K5Ehquzz9JhxE,"[{'trait_type': 'Background', 'value': 'Smalt Blue'}, {'trait_type': 'Body', 'value': 'Harbour coat'}, {'trait_type': 'Face', 'value': 'Ringo'}, {'trait_type': 'Hat', 'value': 'Saint town'}, {'trait_type': 'Pipe', 'value': 'Reading'}, {'trait_type': 'Skill', 'value': 'Carpenter'}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/QBf3tCTMo5TXWe2wsssA2DlU35i7FPuxTZToFUh1aAs?ext=png', 'type': 'image/png'}], 'creators': [{'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'share': 100}]}",1,7hYkx2CNGRB8JE7X7GefX1ak1dqe7GxgYKbpfj9moE9D,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 625}, 'howrare': {'rank': 620}}"
6,BUaRCbJSSv4epmyfQEw4PbZRXBBZQoYkHsyHoycjaKmm,124.0,FUSBKumLXsfMh8bvaHnoaRTtig1kHY1HttgWh4UTBhg,GKHEP7dVH7he7NUmgfNm7uj4kG7HcnJQyRySTPkaxJTi,mindfolk,Mindfolk,https://www.arweave.net/X7yB_VNQ_UxsVy7k62NOrGGeeBJcKR5useK9TU-S3mw?ext=png,Mindfolk Founders #370,777 Unique explorations of well traveled Mindfolk,https://mindfolk.art,image,"[{'address': '4wTTi885HkQ6awqRGQkHAdXXzE46DyqLNXtfo1uz5ub3', 'verified': 1, 'share': 0}, {'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'verified': 0, 'share': 100}, {'address': '6wkWFzpPEWRa5tnWi9FHLGe8XABnZBVXMENgydpmMGgg', 'verified': 0, 'share': 0}]",500,2v4T9qA6vgvX2CKkuoWw5CuCX45rs43YyWbXH5M8JNbc,"[{'trait_type': 'Background', 'value': 'Carrot Orange'}, {'trait_type': 'Body', 'value': 'Salty dungarees'}, {'trait_type': 'Face', 'value': 'Cob'}, {'trait_type': 'Hat', 'value': 'Camp out'}, {'trait_type': 'Pipe', 'value': 'Calabash'}, {'trait_type': 'Skill', 'value': 'Carpenter'}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/X7yB_VNQ_UxsVy7k62NOrGGeeBJcKR5useK9TU-S3mw?ext=png', 'type': 'image/png'}], 'creators': [{'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'share': 100}]}",1,7hYkx2CNGRB8JE7X7GefX1ak1dqe7GxgYKbpfj9moE9D,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 254}, 'howrare': {'rank': 297}}"
7,HBtpE1nc9dEcbuatSEgFc9RpjqEDj4YrunfxMUqhDveQ,140.0,HkT9Gcns2JjMpj8rjqg3PKrQrjXGw7CgoYTpUkWbfMyG,oDkTq9H95J1YUvX3orRac2yxGmysRhDDVX4nxTDxkJL,mindfolk,Mindfolk,https://www.arweave.net/Ad09jMkPbvamQCuTkWq9_jJYFaj1UGY8PA3gdf7foDs?ext=png,Mindfolk Founders #620,777 Unique explorations of well traveled Mindfolk,https://mindfolk.art,image,"[{'address': '4wTTi885HkQ6awqRGQkHAdXXzE46DyqLNXtfo1uz5ub3', 'verified': 1, 'share': 0}, {'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'verified': 0, 'share': 100}, {'address': '6wkWFzpPEWRa5tnWi9FHLGe8XABnZBVXMENgydpmMGgg', 'verified': 0, 'share': 0}]",500,4cBRyoLYSxutQck7wJhtwGbMMbdK6Zi6rQhhej72rFoX,"[{'trait_type': 'Background', 'value': 'Chalky'}, {'trait_type': 'Body', 'value': 'Book club'}, {'trait_type': 'Face', 'value': 'Rooi'}, {'trait_type': 'Hat', 'value': 'Cloud fishing'}, {'trait_type': 'Pipe', 'value': 'Reading'}, {'trait_type': 'Skill', 'value': 'Lumberjack'}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/Ad09jMkPbvamQCuTkWq9_jJYFaj1UGY8PA3gdf7foDs?ext=png', 'type': 'image/png'}], 'creators': [{'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'share': 100}]}",1,7hYkx2CNGRB8JE7X7GefX1ak1dqe7GxgYKbpfj9moE9D,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 475}, 'howrare': {'rank': 466}}"
8,8uyTw2seghvJvBfPWonu2k2zYHnbq3okEpYJzVPcEjKk,145.0,9ARj1uoQp1JDsdAC4LXNbtaqBpJLzkAF53XC2KWdMNDm,3NbRPySiJ4RhMVrtPW5Ped72EmCQhM4gi6zzYwiDyFed,mindfolk,Mindfolk,https://www.arweave.net/3EnwCKBs4FSmgtO_dcHxGWBw7_tZWHGh0NacIIrNLlc?ext=png,Mindfolk Founders #456,777 Unique explorations of well traveled Mindfolk,https://mindfolk.art,image,"[{'address': '4wTTi885HkQ6awqRGQkHAdXXzE46DyqLNXtfo1uz5ub3', 'verified': 1, 'share': 0}, {'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'verified': 0, 'share': 100}, {'address': '6wkWFzpPEWRa5tnWi9FHLGe8XABnZBVXMENgydpmMGgg', 'verified': 0, 'share': 0}]",500,6vuNEazi8WhjZBUB84SJ4DStJBB7Rga63XkD1Ty5wAi8,"[{'trait_type': 'Background', 'value': 'Olive'}, {'trait_type': 'Body', 'value': 'Salty dungarees'}, {'trait_type': 'Face', 'value': 'Pico'}, {'trait_type': 'Hat', 'value': 'Cloud fishing'}, {'trait_type': 'Pipe', 'value': 'Author'}, {'trait_type': 'Skill', 'value': 'Carpenter'}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/3EnwCKBs4FSmgtO_dcHxGWBw7_tZWHGh0NacIIrNLlc?ext=png', 'type': 'image/png'}], 'creators': [{'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'share': 100}]}",1,7hYkx2CNGRB8JE7X7GefX1ak1dqe7GxgYKbpfj9moE9D,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 527}, 'howrare': {'rank': 586}}"
9,6HC7GRH92XDV6JJXKaCobMdRuJ9Bn7BBDUNhgEzeP3xr,162.69,3t4EnZbQeCK5fdsJC7E2BYKi9yGjbf7kTQuWd7C3HTrt,D6XdNh8sn3gDisWGPSfeQfC4KFPjvg9eTbmRoDjLRdvQ,mindfolk,Mindfolk,https://www.arweave.net/7DVskPsBpwLceo_WArBQlmsAgNmFs7Sbwtw69qGaLgU?ext=png,Mindfolk Founders #646,777 Unique explorations of well traveled Mindfolk,https://mindfolk.art,image,"[{'address': '4wTTi885HkQ6awqRGQkHAdXXzE46DyqLNXtfo1uz5ub3', 'verified': 1, 'share': 0}, {'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'verified': 0, 'share': 100}, {'address': '6wkWFzpPEWRa5tnWi9FHLGe8XABnZBVXMENgydpmMGgg', 'verified': 0, 'share': 0}]",500,C3TvxoGbmF4maPPRzm9vrpr9ZeTmK7smFiyvARjYZQzH,"[{'trait_type': 'Background', 'value': 'Cashmere'}, {'trait_type': 'Body', 'value': 'Salty dungarees'}, {'trait_type': 'Face', 'value': 'Ringo'}, {'trait_type': 'Hat', 'value': 'Camp out'}, {'trait_type': 'Pipe', 'value': 'Reading'}, {'trait_type': 'Skill', 'value': 'Lumberjack'}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/7DVskPsBpwLceo_WArBQlmsAgNmFs7Sbwtw69qGaLgU?ext=png', 'type': 'image/png'}], 'creators': [{'address': '8hTYASw98ZCZJwuEF9apPhmQTW7TYaoh9AnJfeV2X5tx', 'share': 100}]}",1,7hYkx2CNGRB8JE7X7GefX1ak1dqe7GxgYKbpfj9moE9D,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 502}, 'howrare': {'rank': 536}}"
