,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,E7ujAs72hf71MUkc4mXb59u5dQYd8dLojBaXz2yZsQQ4,0.35,EZh74tsesdYnzEkRJp7GyL5SNwHQQoZKnzff2UCQpuog,2FENZxXc4JXzAz5bRQRWheP33oYizL2WhzVU8hL7yAGo,monke_crew,Monke Crew,https://arweave.net/24zL8tpruU-SdgI8OWP-6uwFa74NQi__gxjLEF_ntRo,Monke Crew #344,A Crew Of 1212 Monkes roaming the Solana Blockchain,tba,image,"[{'address': '6W1mMNoHpn5Xm3jHWa18NqGNHwFeB75LUK8hfSV8VBuE', 'verified': 1, 'share': 0}, {'address': 'GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV', 'verified': 0, 'share': 100}]",850,7bvEy4uCoLpcByhnedc9oWpuW5qfbDCDYNsrJ1hAD4fK,"[{'trait_type': 'Background', 'value': 'Tan'}, {'trait_type': 'Skin', 'value': 'Brown'}, {'trait_type': 'Body', 'value': 'Body 12 - Suspenders'}, {'trait_type': 'Head Accessories', 'value': 'Hat 12 - Explorer'}, {'trait_type': 'Face', 'value': 'Earbuds'}]","{'files': [{'uri': 'https://arweave.net/24zL8tpruU-SdgI8OWP-6uwFa74NQi__gxjLEF_ntRo', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DDD8p6M5C9xdPMGK7cbadPELwfdfbK4YNvurzY4S8xjm', 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 10}]}",1,GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 442}}
1,AHR7winmRKM6cPeRjvrcX1TMkaxzm2eLsdoNVKWjH41S,0.3599,CMJhwB4mvfBtBJ8B8NS4aEEY8tUvbqbKXCfWUtZzvR7D,CUeeeWad6Pt4GoVX8fDjwBEuAf1qrNZh1uaDG68jjHCE,monke_crew,Monke Crew,https://arweave.net/1anACF9d7padWzafci79jMHiW-kF09Bqe-OxzxKHPnQ,Monke Crew #191,A Crew Of 1212 Monkes roaming the Solana Blockchain,tba,image,"[{'address': '6W1mMNoHpn5Xm3jHWa18NqGNHwFeB75LUK8hfSV8VBuE', 'verified': 1, 'share': 0}, {'address': 'GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV', 'verified': 0, 'share': 100}]",850,J5TcgMR3GQYPojQPUhPcaJ5htMTiAo6XYipaX5VeVmKU,"[{'trait_type': 'Background', 'value': 'Tan'}, {'trait_type': 'Skin', 'value': 'Brown'}, {'trait_type': 'Body', 'value': 'Body 13 - White shirt'}, {'trait_type': 'Head Accessories', 'value': 'Hat 9 - Bret'}, {'trait_type': 'Face', 'value': 'Eyepatch'}]","{'files': [{'uri': 'https://arweave.net/1anACF9d7padWzafci79jMHiW-kF09Bqe-OxzxKHPnQ', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DDD8p6M5C9xdPMGK7cbadPELwfdfbK4YNvurzY4S8xjm', 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 10}]}",1,GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 1212}}
2,n63bYcoZLDSP1tjEAm7bMBpBV8ctYQJoTA1dHQ74jKj,0.36,3sRcsFAiCPgnNKaS3Cf4kreRNpGy1CCYeVGZg2XM7ixs,G9gF9UzuMu5o4YeT6diVkszX44jcTzMPZbEu4TWY1bQr,monke_crew,Monke Crew,https://arweave.net/JE2fnQStmmzQ-z-v2UeSXBP9YOsfQdRWih-EMkVQndE,Monke Crew #1136,A Crew Of 1212 Monkes roaming the Solana Blockchain,tba,image,"[{'address': '6W1mMNoHpn5Xm3jHWa18NqGNHwFeB75LUK8hfSV8VBuE', 'verified': 1, 'share': 0}, {'address': 'GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV', 'verified': 0, 'share': 100}]",850,81EBGTVWKwbgzRBqtSY5UpSkAQxtSzC2mQv9GtwvNhFL,"[{'trait_type': 'Background', 'value': 'Tan'}, {'trait_type': 'Skin', 'value': 'Brown'}, {'trait_type': 'Body', 'value': 'Body 8 - Pink stripes'}, {'trait_type': 'Head Accessories', 'value': 'Hat 10 - Graduated'}, {'trait_type': 'Face', 'value': 'Red eyes'}]","{'files': [{'uri': 'https://arweave.net/JE2fnQStmmzQ-z-v2UeSXBP9YOsfQdRWih-EMkVQndE', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DDD8p6M5C9xdPMGK7cbadPELwfdfbK4YNvurzY4S8xjm', 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 10}]}",1,GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
3,FJE1JPVHqmSQnm3DKc2RxMZRYunsCKYWscqM88GYJz65,0.36,GqzsUbuH72Ag1LwWpup6hQgokwq1gL9w9j4x8kFUzr9h,H3CWz4fALFwKj8bhVeHib12vPM43vHBna2EnaZZiD4Uc,monke_crew,Monke Crew,https://arweave.net/uo3YzNfK2r_xTJ0xzEEM5CvMkjjkoT8kdfl0pj9tG9o,Monke Crew #997,A Crew Of 1212 Monkes roaming the Solana Blockchain,tba,image,"[{'address': '6W1mMNoHpn5Xm3jHWa18NqGNHwFeB75LUK8hfSV8VBuE', 'verified': 1, 'share': 0}, {'address': 'GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV', 'verified': 0, 'share': 100}]",850,H1xxiX2aa4csgNqp57gfM2n75dNQpukpe2Lt1vTE2b8L,"[{'trait_type': 'Background', 'value': 'Grey'}, {'trait_type': 'Skin', 'value': 'Brown'}, {'trait_type': 'Body', 'value': 'Golden pendant'}, {'trait_type': 'Head Accessories', 'value': 'Hat 3 - Pirate'}, {'trait_type': 'Face', 'value': 'Mask'}]","{'files': [{'uri': 'https://arweave.net/uo3YzNfK2r_xTJ0xzEEM5CvMkjjkoT8kdfl0pj9tG9o', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DDD8p6M5C9xdPMGK7cbadPELwfdfbK4YNvurzY4S8xjm', 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 10}]}",1,GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 384}}
4,2ynecz1L6ApiyEyJMDFM2YeZPfte6deDohfSTF2JT5hD,0.36,ud7zVRuj4cpEec1ZfUGHXdXMofJ761EVg7D4sZMFmb3,6jgWZHDi8fizfWNZXi5pZxugeS8caeEWvXnqZwinkYDb,monke_crew,Monke Crew,https://arweave.net/LdPLuluKvD9epkco3MG5LEozsf62hTD6E-3fMz3HXJs,Monke Crew #353,A Crew Of 1212 Monkes roaming the Solana Blockchain,tba,image,"[{'address': '6W1mMNoHpn5Xm3jHWa18NqGNHwFeB75LUK8hfSV8VBuE', 'verified': 1, 'share': 0}, {'address': 'GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV', 'verified': 0, 'share': 100}]",850,C92fZaAxNxQW9dQJRU9YkM72iW1sh2B4v5i7LkmKs1du,"[{'trait_type': 'Background', 'value': 'Grey'}, {'trait_type': 'Skin', 'value': 'Brown'}, {'trait_type': 'Body', 'value': 'Body 12 - Suspenders'}, {'trait_type': 'Head Accessories', 'value': 'Hat 3 - Pirate'}, {'trait_type': 'Face', 'value': 'Mask'}]","{'files': [{'uri': 'https://arweave.net/LdPLuluKvD9epkco3MG5LEozsf62hTD6E-3fMz3HXJs', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DDD8p6M5C9xdPMGK7cbadPELwfdfbK4YNvurzY4S8xjm', 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 10}]}",1,GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 823}}
5,G3NePHQn7UTLBNSv4BYTPXeUGno7N9UZkJeqnC2wvfYo,0.36,9hrWnLCjokPiwChgPryAPJVibT73LdX24fDqwiSLYsNn,2s8vcCpbijeDNfb1mQN6ffuthxhTHB8jrb4MFKEkY4kB,monke_crew,Monke Crew,https://arweave.net/CXa98wHb3ub6cI4Uema0oFx-X5CYPEeo1TeEnWrtHnM,Monke Crew #118,A Crew Of 1212 Monkes roaming the Solana Blockchain,tba,image,"[{'address': '6W1mMNoHpn5Xm3jHWa18NqGNHwFeB75LUK8hfSV8VBuE', 'verified': 1, 'share': 0}, {'address': 'GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV', 'verified': 0, 'share': 100}]",850,GvMJHFmFJGJxKKNro3Ly8vXL6bhN4P3pzFBLLjA7P8kz,"[{'trait_type': 'Background', 'value': 'Tan'}, {'trait_type': 'Skin', 'value': 'Brown'}, {'trait_type': 'Body', 'value': 'Body 12 - Suspenders'}, {'trait_type': 'Head Accessories', 'value': 'Hat 2 - Magician Hat'}, {'trait_type': 'Face', 'value': 'Bubblegum'}]","{'files': [{'uri': 'https://arweave.net/CXa98wHb3ub6cI4Uema0oFx-X5CYPEeo1TeEnWrtHnM', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DDD8p6M5C9xdPMGK7cbadPELwfdfbK4YNvurzY4S8xjm', 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 10}]}",1,GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
6,BrwjieShdfLxirZW7HLX8CizqC1icP3ymY1fpKbUff6n,0.369,7uKoYmteySBe5dX66BKBgL17WgwpkCD33cEW14wPuHmU,4dsLsmYCuH9nQT78LKySyhTmdQiAuyW3LdZHYEtovddT,monke_crew,Monke Crew,https://arweave.net/hrxl0uu6v9ZL1vcdSWGCh_smfGRHo40D1jFTKX2Jp3I,Monke Crew #326,A Crew Of 1212 Monkes roaming the Solana Blockchain,tba,image,"[{'address': '6W1mMNoHpn5Xm3jHWa18NqGNHwFeB75LUK8hfSV8VBuE', 'verified': 1, 'share': 0}, {'address': 'GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV', 'verified': 0, 'share': 100}]",850,CRtd89jdURzXkCp43m9P7xAE74TBxnXLjriGtY8acugA,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Skin', 'value': 'Brown'}, {'trait_type': 'Body', 'value': 'Body 13 - White shirt'}, {'trait_type': 'Head Accessories', 'value': 'Hat 4 - Cap'}, {'trait_type': 'Face', 'value': 'Eyepatch'}]","{'files': [{'uri': 'https://arweave.net/hrxl0uu6v9ZL1vcdSWGCh_smfGRHo40D1jFTKX2Jp3I', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DDD8p6M5C9xdPMGK7cbadPELwfdfbK4YNvurzY4S8xjm', 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 10}]}",1,GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 1082}}
7,F2Hh31ZqJL16FRBexL2MxhQjiB7zuGQERHzGj2FYStWV,0.37,AXXa8o9jJG9dkC7WSfAjh6APQdknvMSWraUpKPD1QPKh,8YvjZnoQSsL29JJXww3VV4jnkFNTWxyii6gJxhZhF5Aq,monke_crew,Monke Crew,https://arweave.net/QHfsTJEA-7_sJ1G9A_JyolGxT5bITMqFA4UZekZy_s0,Monke Crew #561,A Crew Of 1212 Monkes roaming the Solana Blockchain,tba,image,"[{'address': '6W1mMNoHpn5Xm3jHWa18NqGNHwFeB75LUK8hfSV8VBuE', 'verified': 1, 'share': 0}, {'address': 'GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV', 'verified': 0, 'share': 100}]",850,AFzJjCajTkwLeesJuCLax9GVf4CYBAps6NNw3R62Lgws,"[{'trait_type': 'Background', 'value': 'Tan'}, {'trait_type': 'Skin', 'value': 'Brown'}, {'trait_type': 'Body', 'value': 'Body 13 - White shirt'}, {'trait_type': 'Head Accessories', 'value': 'Hat 5 - Red hair'}, {'trait_type': 'Face', 'value': 'Sunglasses'}]","{'files': [{'uri': 'https://arweave.net/QHfsTJEA-7_sJ1G9A_JyolGxT5bITMqFA4UZekZy_s0', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DDD8p6M5C9xdPMGK7cbadPELwfdfbK4YNvurzY4S8xjm', 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 10}]}",1,GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
8,FptSPJgb3wxr3Te9JZKyssuf5bWKEEUEyDEXVFuNWrpq,0.37,JAhmgx96SvWvtoqp2tqbgTDtt8PBpB9WuedtM3mRAQ8v,5PXjPRthxCJgkFgpr656csn1EePG9ar6awL9HzJWTNYy,monke_crew,Monke Crew,https://arweave.net/BQ45viXKl10q_AZ7HYwuwF42roo_lsj5VDqX9YsqCBI,Monke Crew #443,A Crew Of 1212 Monkes roaming the Solana Blockchain,tba,image,"[{'address': '6W1mMNoHpn5Xm3jHWa18NqGNHwFeB75LUK8hfSV8VBuE', 'verified': 1, 'share': 0}, {'address': 'GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV', 'verified': 0, 'share': 100}]",850,3BzEcYsuAdTesf4L7WDEgHmHuidpWJFxUATRkF5Cy7CC,"[{'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Skin', 'value': 'Brown'}, {'trait_type': 'Body', 'value': 'Body 7 - Jail'}, {'trait_type': 'Head Accessories', 'value': 'Hat 9 - Bret'}, {'trait_type': 'Face', 'value': 'Earbuds'}]","{'files': [{'uri': 'https://arweave.net/BQ45viXKl10q_AZ7HYwuwF42roo_lsj5VDqX9YsqCBI', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DDD8p6M5C9xdPMGK7cbadPELwfdfbK4YNvurzY4S8xjm', 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 10}]}",1,GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 1100}}
9,2MEL2w6R6u9DzEsC8jpwQ8xYVwBwPKkxzjAGnaqeCFC2,0.379,39Xgao1x5gYTmvGE6JeQMSniGPVR92anXsMjri1GRgkw,HPWwu3BjmpTPXYL7U155SnUtgS9TyV5gNTXrpknHoCmq,monke_crew,Monke Crew,https://arweave.net/i-VNOf5YUzbD5tFhChoy7RFRDN-5E0p63vX9gljmrnU,Monke Crew #936,A Crew Of 1212 Monkes roaming the Solana Blockchain,tba,image,"[{'address': '6W1mMNoHpn5Xm3jHWa18NqGNHwFeB75LUK8hfSV8VBuE', 'verified': 1, 'share': 0}, {'address': 'GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV', 'verified': 0, 'share': 100}]",850,g62LpkHhhB8kAwsYyTs1BozQ2anjPscYymL21CGPthE,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Skin', 'value': 'Brown'}, {'trait_type': 'Body', 'value': 'Body 10 - Backpack'}, {'trait_type': 'Head Accessories', 'value': 'Hat 5 - Red hair'}, {'trait_type': 'Face', 'value': 'Beard'}]","{'files': [{'uri': 'https://arweave.net/i-VNOf5YUzbD5tFhChoy7RFRDN-5E0p63vX9gljmrnU', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'DDD8p6M5C9xdPMGK7cbadPELwfdfbK4YNvurzY4S8xjm', 'share': 90}, {'address': 'mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM', 'share': 10}]}",1,GBzZKHUgfeNZPp5j8E6hvtZcspfMRSs8TMoJPCNbgQAV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 591}}
