,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,2a3gosiUzdXYs6EV6nhL4NjE1Bua7X3GicQXGgnRLwqu,6.2,7Z4dVgWHT1stM85bopEyj3Zdmvd98NkAxVcqsVhmFSQQ,C7wNp7mLD1tfZRrEXyUL7Mr9vCxmg6xKdTZaUjo3GFD3,pesky_penguins,Pesky Penguins,https://www.arweave.net/QgUfB1v78c9b4jn36WYy3nBR8VWZnKFS5a2bpOxpezk?ext=png,Pesky Penguin #2735,Pesky Penguin #2735 believes in a brighter future for everybody.,https://pesky-penguins.com,image,"[{'address': 'A6XTVFiwGVsG6b6LsvQTGnV5LH3Pfa3qW3TGz8RjToLp', 'verified': 1, 'share': 0}, {'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'verified': 1, 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'verified': 0, 'share': 60}]",500,CZHxkMk3G5PfFLrxmk9J5Vzuz3YW9n2sdEYdUeKUGcHn,"[{'trait_type': 'Background', 'value': 'Greyteal'}, {'trait_type': 'Type', 'value': 'Black'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Sleepy'}, {'trait_type': 'Body', 'value': 'Kimono'}, {'trait_type': 'Beak', 'value': 'Cigarette'}]","{'category': 'image', 'creators': [{'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'share': 60}], 'files': [{'uri': 'https://www.arweave.net/QgUfB1v78c9b4jn36WYy3nBR8VWZnKFS5a2bpOxpezk?ext=png', 'type': 'image/png'}]}",1,pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4326}, 'howrare': {'rank': 7156}}",,
1,5ahnEEH5kUS9njKXPe5x1AhaVM7R8tVwoEX13zRuCVmK,6.21,38TVj9HSnd8eft55mbNo4L4cn31YJJyxT2Lt4PyYtzmi,3eqduCND1BDScm6Vs62e7t8fLt3SFQBjanXyuSHWPxqm,pesky_penguins,Pesky Penguins,https://www.arweave.net/vCVDcn2rKB9-S9-OG_uXHka376_64Jjd9QeFQd96x60?ext=png,Pesky Penguin #3044,Pesky Penguin #3044 likes listening to you sing in the shower. You've got a great voice!,https://pesky-penguins.com,image,"[{'address': 'A6XTVFiwGVsG6b6LsvQTGnV5LH3Pfa3qW3TGz8RjToLp', 'verified': 1, 'share': 0}, {'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'verified': 1, 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'verified': 0, 'share': 60}]",500,B3JSetWrFsLYDZS3NhPbwnXnLP1vUnKaCkLLJ9mGim1Y,"[{'trait_type': 'Background', 'value': 'Cocoa'}, {'trait_type': 'Type', 'value': 'Green'}, {'trait_type': 'Head', 'value': 'Flaming'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Normal'}, {'trait_type': 'Body', 'value': 'None'}, {'trait_type': 'Beak', 'value': 'Mask'}]","{'category': 'image', 'creators': [{'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'share': 60}], 'files': [{'uri': 'https://www.arweave.net/vCVDcn2rKB9-S9-OG_uXHka376_64Jjd9QeFQd96x60?ext=png', 'type': 'image/png'}]}",1,pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 6406}, 'moonrank': {'rank': 5443}}",,
2,GXH8jaSCSZwi1GvarAvpdzcMkC3wJ6N7wcAFyKnPBDst,6.23,Enw3v6LQ1jqHZQjNLbpjsAjKzhEeWx4oFhxMiutL9H5C,7DTsm196Dn9rky1LqEiQawaavSEC8cKJiey8fo64BhB4,pesky_penguins,Pesky Penguins,https://www.arweave.net/SXB6tVlQ_G1YiO8JTf7VK3QA0cPFmoZ5yA3dERrRZuQ?ext=png,Pesky Penguin #2515,Pesky Penguin #2515 really enjoys being your friend.,https://pesky-penguins.com,image,"[{'address': 'A6XTVFiwGVsG6b6LsvQTGnV5LH3Pfa3qW3TGz8RjToLp', 'verified': 1, 'share': 0}, {'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'verified': 1, 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'verified': 0, 'share': 60}]",500,14Ud6jWmwPYpT8JFCbnrJaReabzSJ5WGs8bKfHFNQyVZ,"[{'trait_type': 'Background', 'value': 'Cocoa'}, {'trait_type': 'Type', 'value': 'Black'}, {'trait_type': 'Head', 'value': 'Cap'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Normal'}, {'trait_type': 'Body', 'value': 'Bathrobe'}, {'trait_type': 'Beak', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'share': 60}], 'files': [{'uri': 'https://www.arweave.net/SXB6tVlQ_G1YiO8JTf7VK3QA0cPFmoZ5yA3dERrRZuQ?ext=png', 'type': 'image/png'}]}",1,pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 7453}, 'moonrank': {'rank': 7266}}",,
3,4p5FYHup5ShH6717C6YQzG25S1YEChCkqwqrorpx5fdS,6.23,HJDk75bTbecjHrsbf5Cr4FUshrZ6NgkGGBAKPz2f7SxQ,eMEh1RBTYAYm8J4Py5TXNUBJUMZsGYVnKoRVk2ofstY,pesky_penguins,Pesky Penguins,https://www.arweave.net/3FJlD6frUyznliIhjAc8dq5J6EepDDn4lJKKhAN7H8k?ext=png,Pesky Penguin #2453,Pesky Penguin #2453 loses sleep sometimes thinking about how great you are.,https://pesky-penguins.com,image,"[{'address': 'A6XTVFiwGVsG6b6LsvQTGnV5LH3Pfa3qW3TGz8RjToLp', 'verified': 1, 'share': 0}, {'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'verified': 1, 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'verified': 0, 'share': 60}]",500,EkUbvpbFnxgAxqfSYFUjvergt4k9M7xuxRbVqBzsprDM,"[{'trait_type': 'Background', 'value': 'CoolBlue'}, {'trait_type': 'Type', 'value': 'Green'}, {'trait_type': 'Head', 'value': 'Feather Headband'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Wink'}, {'trait_type': 'Body', 'value': 'None'}, {'trait_type': 'Beak', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'share': 60}], 'files': [{'uri': 'https://www.arweave.net/3FJlD6frUyznliIhjAc8dq5J6EepDDn4lJKKhAN7H8k?ext=png', 'type': 'image/png'}]}",1,pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5628}, 'howrare': {'rank': 4088}}",,
4,2YUD3Za5obZVTHgmmjGMCLnrW2YFUC5eriDxqvUexm6q,6.25,5cqDYUPyDTW4k36AtD1hawM4b5SdSJzhCk5BxKzTLpgy,eMEh1RBTYAYm8J4Py5TXNUBJUMZsGYVnKoRVk2ofstY,pesky_penguins,Pesky Penguins,https://www.arweave.net/i2LTbA7Uy8MsC7NpdxpUuQp9D9fqMgCS8l2XnAUkpYw?ext=png,Pesky Penguin #8157,Pesky Penguin #8157 never feels cold when they're thinking about you.,https://pesky-penguins.com,image,"[{'address': 'A6XTVFiwGVsG6b6LsvQTGnV5LH3Pfa3qW3TGz8RjToLp', 'verified': 1, 'share': 0}, {'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'verified': 1, 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'verified': 0, 'share': 60}]",500,8SVWQ7F7P6BRW1mR8QBcwwATuBLc2xxfkbhPBS3YHj4f,"[{'trait_type': 'Background', 'value': 'Violet'}, {'trait_type': 'Type', 'value': 'Orange'}, {'trait_type': 'Head', 'value': 'Cap'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Normal'}, {'trait_type': 'Body', 'value': 'None'}, {'trait_type': 'Beak', 'value': 'Vape'}]","{'category': 'image', 'creators': [{'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'share': 60}], 'files': [{'uri': 'https://www.arweave.net/i2LTbA7Uy8MsC7NpdxpUuQp9D9fqMgCS8l2XnAUkpYw?ext=png', 'type': 'image/png'}]}",1,pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5932}, 'howrare': {'rank': 7655}}",,
5,BoKwczgJpXtKpR34sp9hRtPQiJMtgbps16G2tBHiPKMN,6.25,E6ZBG7SAQRwb1Eg5ft1BUeSFDKXcBabxNovngb91vUWG,GJEJTtBDwQYfbuARjkZk59u1KVBfdz8MxnF9yEKZsV8k,pesky_penguins,Pesky Penguins,https://www.arweave.net/bcUBdfsuVW0Gt2PwIBM1jRHDqjjzeUx85exVLSuepgs?ext=png,Pesky Penguin #1129,Pesky Penguin #1129 can sometimes be a little hot-headed.,https://pesky-penguins.com,image,"[{'address': 'A6XTVFiwGVsG6b6LsvQTGnV5LH3Pfa3qW3TGz8RjToLp', 'verified': 1, 'share': 0}, {'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'verified': 1, 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'verified': 0, 'share': 60}]",500,6D8RDDGR45paidw4ewskqaE3o7wrjXpnJUPY7zU5cBzC,"[{'trait_type': 'Background', 'value': 'Cocoa'}, {'trait_type': 'Type', 'value': 'Blue'}, {'trait_type': 'Head', 'value': 'Vampire Hair'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Normal'}, {'trait_type': 'Body', 'value': 'None'}, {'trait_type': 'Beak', 'value': 'Vape'}]","{'category': 'image', 'creators': [{'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'share': 60}], 'files': [{'uri': 'https://www.arweave.net/bcUBdfsuVW0Gt2PwIBM1jRHDqjjzeUx85exVLSuepgs?ext=png', 'type': 'image/png'}]}",1,pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6804}, 'howrare': {'rank': 8214}}",,
6,FwHwAXyjnjkiiPgr7jGEFwdPQAA6mQ1w2yrEc2F2o54m,6.3,FTozkQmX4k3J2JX4pvS6By6sWp6tfb7YQCwF7T1Wh8V8,8evMZbVicT9b1nM3nxWHMT4ncEZqdfCoRXjV5JFVpgMt,pesky_penguins,Pesky Penguins,https://www.arweave.net/UItZ7zdjjxMwtaalmWVxz36vnK0ceqq2FeLFCiziSYk?ext=png,Pesky Penguin #2344,"Pesky Penguin #2344 knows that we're all gonna make it, together.",https://pesky-penguins.com,image,"[{'address': 'A6XTVFiwGVsG6b6LsvQTGnV5LH3Pfa3qW3TGz8RjToLp', 'verified': 1, 'share': 0}, {'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'verified': 1, 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'verified': 0, 'share': 60}]",500,6Px895APNxv9PBmkcvcwt9maW336aX1GD3P2yZadscpT,"[{'trait_type': 'Background', 'value': 'Greyteal'}, {'trait_type': 'Type', 'value': 'Green'}, {'trait_type': 'Head', 'value': 'Cowboy Hat'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Normal'}, {'trait_type': 'Body', 'value': 'None'}, {'trait_type': 'Beak', 'value': 'Cigarette'}]","{'category': 'image', 'creators': [{'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'share': 60}], 'files': [{'uri': 'https://www.arweave.net/UItZ7zdjjxMwtaalmWVxz36vnK0ceqq2FeLFCiziSYk?ext=png', 'type': 'image/png'}]}",1,pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7309}, 'howrare': {'rank': 7788}}",,
7,HswhwDT9euKyaFygNBbc113aoRwAqD1MLyiymVajJHvo,6.4,Ahvj93jnrHpY8sWCMdTmaAvvnyUzhtsmtvXQjoMb7sij,29ozbGs39F4kFfdZQLRXZF22dUATEKoB576UteZeU8mj,pesky_penguins,Pesky Penguins,https://www.arweave.net/LXlS5mhd9STmvP-YHtB7ImEAizVx5DGifqHtEzGITeQ?ext=png,Pesky Penguin #8583,Pesky Penguin #8583 can't believe their good luck that they have YOU in their life!,https://pesky-penguins.com,image,"[{'address': 'A6XTVFiwGVsG6b6LsvQTGnV5LH3Pfa3qW3TGz8RjToLp', 'verified': 1, 'share': 0}, {'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'verified': 1, 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'verified': 0, 'share': 60}]",500,Dy6KwpxKZVEBQftBicTrYEYqwqD87w26ij3JwkNUaVYu,"[{'trait_type': 'Background', 'value': 'CoolBlue'}, {'trait_type': 'Type', 'value': 'Green'}, {'trait_type': 'Head', 'value': 'Fedora'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Normal'}, {'trait_type': 'Body', 'value': 'Kimono'}, {'trait_type': 'Beak', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'share': 60}], 'files': [{'uri': 'https://www.arweave.net/LXlS5mhd9STmvP-YHtB7ImEAizVx5DGifqHtEzGITeQ?ext=png', 'type': 'image/png'}]}",1,pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6808}, 'howrare': {'rank': 6706}}",,
8,3eDNXUW6oTesWKe9KXvgMzdbN4ut3p2Me8u6kAiyMAK1,6.4,74RJqRUPoeJevsG5nkEDGhvkAvj1eCG6Ch8SJiqcY2qV,6Sv9SxU5vKKpU5p3AuQHrHoe2JeW2GS95vxx2JjF88bf,pesky_penguins,Pesky Penguins,https://www.arweave.net/RzdLBcQBxG-uKsbVmUtrBJMo36mL17h4AcJDvtXN7NA?ext=png,Pesky Penguin #5236,Pesky Penguin #5236 loves it when you pop into Discord to noot noot with the gang.,https://pesky-penguins.com,image,"[{'address': 'A6XTVFiwGVsG6b6LsvQTGnV5LH3Pfa3qW3TGz8RjToLp', 'verified': 1, 'share': 0}, {'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'verified': 1, 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'verified': 0, 'share': 60}]",500,72HzrjhrwnN7mPmwuDVoh6K8YMQYFzLcJtdoxvnG32RK,"[{'trait_type': 'Background', 'value': 'CoolBlue'}, {'trait_type': 'Type', 'value': 'Orange'}, {'trait_type': 'Head', 'value': 'Fauxhawk'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Wink'}, {'trait_type': 'Body', 'value': 'Collar'}, {'trait_type': 'Beak', 'value': 'Cigarette'}]","{'category': 'image', 'creators': [{'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'share': 60}], 'files': [{'uri': 'https://www.arweave.net/RzdLBcQBxG-uKsbVmUtrBJMo36mL17h4AcJDvtXN7NA?ext=png', 'type': 'image/png'}]}",1,pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 2789}, 'moonrank': {'rank': 1528}}",,
9,B88Kisve3tE8aeQfdRxmE8SS7nnTw7nq4645vTfwtR42,6.4,AoGZEqceYLvmRvNMnr9PE7VyUrWWahzzHU72GxkA14on,xDycW6Zsc61YS8yhZN9xC4sTiVU7rNbbuMbTnH5exqs,pesky_penguins,Pesky Penguins,https://www.arweave.net/9WJq4sfNy-7Y9n9yTlCdMg27crYur0_HGVknNZmx_Vk?ext=png,Pesky Penguin #644,"Pesky Penguin #644 has a couple imaginary friends, but knows you're the real deal.",https://pesky-penguins.com,image,"[{'address': 'A6XTVFiwGVsG6b6LsvQTGnV5LH3Pfa3qW3TGz8RjToLp', 'verified': 1, 'share': 0}, {'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'verified': 1, 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'verified': 0, 'share': 60}]",500,CqpPZT8DM6rhibuE5r8VCxzARnaEdgAQCuPuGhaVzePk,"[{'trait_type': 'Background', 'value': 'Cocoa'}, {'trait_type': 'Type', 'value': 'Green'}, {'trait_type': 'Head', 'value': 'Cap'}, {'trait_type': 'Accessories', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Sleepy'}, {'trait_type': 'Body', 'value': 'None'}, {'trait_type': 'Beak', 'value': 'None'}]","{'category': 'image', 'creators': [{'address': 'pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k', 'share': 40}, {'address': 'ppTeamTpw1cbC8ybJpppbnoL7xXD9froJNFb5uvoPvb', 'share': 60}], 'files': [{'uri': 'https://www.arweave.net/9WJq4sfNy-7Y9n9yTlCdMg27crYur0_HGVknNZmx_Vk?ext=png', 'type': 'image/png'}]}",1,pEsKYABNARLiDFYrjbjHDieD5h6gHrvYf9Vru62NX9k,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7417}, 'howrare': {'rank': 7774}}",,
