,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,BE39jNeA52pZpjPzgajHKpBVjBM2hNxobziJaRe5wBoe,2.87,XhmDkFzDGvgr6Xb7pFbsadk13pnREnrPrsMYV1wbSYC,EsD5J9hdFfYwqiZuPk55AX7DJ2RiptyFTUd7Ua2JZDbd,project_tenjin,Project TENJIN,https://arweave.net/3E-qzkMYJAODWAeP33Ula4nz-72JN2e_iaDX5hAXw7A?ext=png,TENJIN #4404,Project Tenjin by AVTR Studios,https://www.projecttenjin.io/,image,"[{'address': 'E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW', 'verified': 1, 'share': 100}]",800,2FXv48xzQEgSWHB17VAfydwxkvqUvyxZ9USSFxHGEvVT,"[{'trait_type': 'Faction', 'value': 'Tenjin'}, {'trait_type': 'Back', 'value': 'Blank'}, {'trait_type': 'Base', 'value': 'Jin'}, {'trait_type': 'Body Paint', 'value': 'Blank'}, {'trait_type': 'Neck', 'value': 'Blank'}, {'trait_type': 'Body', 'value': 'Sport Jacket'}, {'trait_type': 'Eyes', 'value': 'Girly'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Eyewear', 'value': 'Blank'}, {'trait_type': 'Head', 'value': 'Cap'}, {'trait_type': 'Face', 'value': 'Blank'}, {'trait_type': 'Accessories', 'value': 'Blank'}, {'trait_type': 'Destiny', 'value': 'Explorer'}]","{'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'CqvWBquoZhpZb2vmVr9vKf5TmijEwK5deaDZnDGq2FrX', 'share': 80}, {'address': 'H47TDA53Y3ZDNdGTRK5j9PNA8zL4rY3sHeijbPJMAkSG', 'share': 20}], 'files': [{'uri': 'https://arweave.net/3E-qzkMYJAODWAeP33Ula4nz-72JN2e_iaDX5hAXw7A?ext=png', 'type': 'image/png'}]}",1,E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 7231}}
1,Hz2fS7rU1YtrSpWrrqcp2pPfm4eYXbiSMZ3cqs9L8QF1,2.87,78Gr9Y36y12PtGabTWH3YYt5Q9ZqEwirq6BXEKQ5MBaA,An5X7zm3Eu9tH9bfxEgj4YAoAfc36DBbvgH5xY5GNjzJ,project_tenjin,Project TENJIN,https://arweave.net/NYl-Dcx4MQUIYneX2jOMThkv6_-aDEwr-oadTj0gHBE?ext=png,TENJIN #315,Project Tenjin by AVTR Studios,https://www.projecttenjin.io/,image,"[{'address': 'E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW', 'verified': 1, 'share': 100}]",800,73rtzUjmc3ARv726X2jCi8Eu7HPGXLnpVYGBaZD3DLLg,"[{'trait_type': 'Faction', 'value': 'Tenjin'}, {'trait_type': 'Back', 'value': 'Blank'}, {'trait_type': 'Base', 'value': 'Jin'}, {'trait_type': 'Body Paint', 'value': 'Burn'}, {'trait_type': 'Neck', 'value': 'Blank'}, {'trait_type': 'Body', 'value': 'Cyber'}, {'trait_type': 'Eyewear', 'value': 'Blank'}, {'trait_type': 'Eyes', 'value': 'Normal'}, {'trait_type': 'Mouth', 'value': 'Love'}, {'trait_type': 'Head', 'value': 'h009'}, {'trait_type': 'Face', 'value': 'Blank'}, {'trait_type': 'Accessories', 'value': 'Blank'}, {'trait_type': 'Destiny', 'value': 'Explorer'}]","{'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'CqvWBquoZhpZb2vmVr9vKf5TmijEwK5deaDZnDGq2FrX', 'share': 80}, {'address': 'H47TDA53Y3ZDNdGTRK5j9PNA8zL4rY3sHeijbPJMAkSG', 'share': 20}], 'files': [{'uri': 'https://arweave.net/NYl-Dcx4MQUIYneX2jOMThkv6_-aDEwr-oadTj0gHBE?ext=png', 'type': 'image/png'}]}",1,E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 6330}}
2,BbAUUT4bheu6u6Gbfb545zafCzUzkBkYyxSwpchAM5kg,2.87,7Er9DugZ2qWSJd9UZF7y1LXVd6tPEtvfnWfFy6jPKmUZ,An5X7zm3Eu9tH9bfxEgj4YAoAfc36DBbvgH5xY5GNjzJ,project_tenjin,Project TENJIN,https://arweave.net/E3NNdaf4dGkqhjLzO3bRKzebtqYetKUrt4iwe3lAD8M?ext=png,TENJIN #7280,Project Tenjin by AVTR Studios,https://www.projecttenjin.io/,image,"[{'address': 'E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW', 'verified': 1, 'share': 100}]",800,9a8T9nEfmGAE2qzWLhfMsqBTecQVG8kS9ps2eXXZjtrN,"[{'trait_type': 'Faction', 'value': 'Tenjin'}, {'trait_type': 'Back', 'value': 'Blank'}, {'trait_type': 'Base', 'value': 'Jin'}, {'trait_type': 'Body Paint', 'value': 'Tenjin'}, {'trait_type': 'Neck', 'value': 'Blank'}, {'trait_type': 'Body', 'value': 'Princess of Iron Fan'}, {'trait_type': 'Eyes', 'value': 'Ancient'}, {'trait_type': 'Mouth', 'value': 'Magic Princess'}, {'trait_type': 'Eyewear', 'value': 'Blank'}, {'trait_type': 'Head', 'value': 'Female Samurai'}, {'trait_type': 'Face', 'value': 'Blank'}, {'trait_type': 'Accessories', 'value': 'Blank'}, {'trait_type': 'Destiny', 'value': 'Explorer'}]","{'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'CqvWBquoZhpZb2vmVr9vKf5TmijEwK5deaDZnDGq2FrX', 'share': 80}, {'address': 'H47TDA53Y3ZDNdGTRK5j9PNA8zL4rY3sHeijbPJMAkSG', 'share': 20}], 'files': [{'uri': 'https://arweave.net/E3NNdaf4dGkqhjLzO3bRKzebtqYetKUrt4iwe3lAD8M?ext=png', 'type': 'image/png'}]}",1,E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 6522}}
3,AFGgLvUYiS8iXiFH7zTLkgajKR2P4SceYYuMcjJaQDu6,2.88,68mFCAGskTyJYd8wJaLUpebui5SvWT4QqqfThVEeYNpu,bEpUtSzJr6aoCfq29z9v34FywkkwZHQJJXTqrf9vjTS,project_tenjin,Project TENJIN,https://arweave.net/9avTPWg8n3HSMy7doTDpcFTmnoCa5qgVB3Q-LpQ-O2s?ext=png,TENJIN #6565,Project Tenjin by AVTR Studios,https://www.projecttenjin.io/,image,"[{'address': 'E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW', 'verified': 1, 'share': 100}]",800,9153FWR51ndw7vqBDGRrBf1AygqSSeJ49qgzAPG3QQTe,"[{'trait_type': 'Faction', 'value': 'Tenjin'}, {'trait_type': 'Back', 'value': 'Blank'}, {'trait_type': 'Base', 'value': 'Jin'}, {'trait_type': 'Body Paint', 'value': 'Burn'}, {'trait_type': 'Neck', 'value': 'Blank'}, {'trait_type': 'Body', 'value': 'Punk Jacket'}, {'trait_type': 'Eyes', 'value': 'Normal'}, {'trait_type': 'Mouth', 'value': 'Devil'}, {'trait_type': 'Eyewear', 'value': 'Blank'}, {'trait_type': 'Head', 'value': 'h004'}, {'trait_type': 'Face', 'value': 'Blank'}, {'trait_type': 'Accessories', 'value': 'Blank'}, {'trait_type': 'Destiny', 'value': 'Explorer'}]","{'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'CqvWBquoZhpZb2vmVr9vKf5TmijEwK5deaDZnDGq2FrX', 'share': 80}, {'address': 'H47TDA53Y3ZDNdGTRK5j9PNA8zL4rY3sHeijbPJMAkSG', 'share': 20}], 'files': [{'uri': 'https://arweave.net/9avTPWg8n3HSMy7doTDpcFTmnoCa5qgVB3Q-LpQ-O2s?ext=png', 'type': 'image/png'}]}",1,E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 6811}}
4,FMDZsAzQoyxUyd9N43CrVQWD3J8jAEvNzdxhMuhF6eKx,2.89,4svazGKapctec4SQ5khhq5BaMAJWDrfDdnMKAZVWcjiq,CU4uGLchdTeKu438YjZ9uunwumRVFzz5wr2UGZsNy2Ck,project_tenjin,Project TENJIN,https://arweave.net/RZbzAeW-c9DkXRQoiPlv-E02xqt5RVJh1pypLNcUNKM?ext=png,TENJIN #6087,Project Tenjin by AVTR Studios,https://www.projecttenjin.io/,image,"[{'address': 'E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW', 'verified': 1, 'share': 100}]",800,2wxP3S4vAAWKHMRGwUWiJhsTKZWQLAWUemyhogiWh6py,"[{'trait_type': 'Faction', 'value': 'Tenjin'}, {'trait_type': 'Back', 'value': 'Blank'}, {'trait_type': 'Base', 'value': 'Jin'}, {'trait_type': 'Body Paint', 'value': 'Blank'}, {'trait_type': 'Neck', 'value': 'Blank'}, {'trait_type': 'Body', 'value': 'Leather'}, {'trait_type': 'Eyes', 'value': 'Magic Princess'}, {'trait_type': 'Mouth', 'value': 'Demon'}, {'trait_type': 'Eyewear', 'value': 'Blank'}, {'trait_type': 'Head', 'value': 'Cap'}, {'trait_type': 'Face', 'value': 'Blank'}, {'trait_type': 'Accessories', 'value': 'Blank'}, {'trait_type': 'Destiny', 'value': 'Explorer'}]","{'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'CqvWBquoZhpZb2vmVr9vKf5TmijEwK5deaDZnDGq2FrX', 'share': 80}, {'address': 'H47TDA53Y3ZDNdGTRK5j9PNA8zL4rY3sHeijbPJMAkSG', 'share': 20}], 'files': [{'uri': 'https://arweave.net/RZbzAeW-c9DkXRQoiPlv-E02xqt5RVJh1pypLNcUNKM?ext=png', 'type': 'image/png'}]}",1,E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 6599}}
5,26YEqudnLEq2JVoPj5HsXFyrt4k1WvMWwpbUvQ1D6atB,2.9,AtvZN7nSubsGpAYoyyhDevkVzdVosw3N1ER3REUUJ4PN,BfuPFoQT2rMQZaoeSSqJZEXhSeqJxAhQHLSS9JYfaTgP,project_tenjin,Project TENJIN,https://arweave.net/uCilZKqFPwWHzDHipxnR704UtkVvlralj0Y9GA4bNMY?ext=png,TENJIN #7140,Project Tenjin by AVTR Studios,https://www.projecttenjin.io/,image,"[{'address': 'E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW', 'verified': 1, 'share': 100}]",800,J3CTD2sumtwzGH7td7J56ytZqZpe58nDM3awkfPujmN8,"[{'trait_type': 'Faction', 'value': 'Tenjin'}, {'trait_type': 'Back', 'value': 'Blank'}, {'trait_type': 'Base', 'value': 'Jin'}, {'trait_type': 'Body Paint', 'value': 'Burn'}, {'trait_type': 'Neck', 'value': 'Blank'}, {'trait_type': 'Body', 'value': 'Ancient'}, {'trait_type': 'Eyes', 'value': 'Ancient'}, {'trait_type': 'Mouth', 'value': 'Demon'}, {'trait_type': 'Eyewear', 'value': 'Blank'}, {'trait_type': 'Head', 'value': 'h017'}, {'trait_type': 'Face', 'value': 'Fox Mask'}, {'trait_type': 'Accessories', 'value': 'Blank'}, {'trait_type': 'Destiny', 'value': 'Explorer'}]","{'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'CqvWBquoZhpZb2vmVr9vKf5TmijEwK5deaDZnDGq2FrX', 'share': 80}, {'address': 'H47TDA53Y3ZDNdGTRK5j9PNA8zL4rY3sHeijbPJMAkSG', 'share': 20}], 'files': [{'uri': 'https://arweave.net/uCilZKqFPwWHzDHipxnR704UtkVvlralj0Y9GA4bNMY?ext=png', 'type': 'image/png'}]}",1,E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 4554}}
6,3ttqBHLvYq4JBs8jQgGpiQZcXP1vnaPL1dBdd3nLC6xX,2.94,AKWfb3cGxCAZKiWasGsz3EXktGM5WgUWL9Wvpoh2xAFQ,ANGDxeSVak9t5gDN8Eq6T1pCsxMA2HYWkigV6tU1ULae,project_tenjin,Project TENJIN,https://arweave.net/GpG6aj5vtzHGM4hb_4nmr-n8c_KMHZtesy7MZ2StxPU?ext=png,TENJIN #7309,Project Tenjin by AVTR Studios,https://www.projecttenjin.io/,image,"[{'address': 'E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW', 'verified': 1, 'share': 100}]",800,D8hEvhaLt56rxdcFTh8kzvBX1KqHEznjNAgeCmjDC72v,"[{'trait_type': 'Faction', 'value': 'Tenjin'}, {'trait_type': 'Back', 'value': 'Ghost Fire'}, {'trait_type': 'Base', 'value': 'Jin'}, {'trait_type': 'Body Paint', 'value': 'Tenjin'}, {'trait_type': 'Neck', 'value': 'Blank'}, {'trait_type': 'Body', 'value': 'Shirt'}, {'trait_type': 'Eyes', 'value': 'Normal'}, {'trait_type': 'Mouth', 'value': 'Laugh'}, {'trait_type': 'Eyewear', 'value': 'Blank'}, {'trait_type': 'Head', 'value': 'Demonic'}, {'trait_type': 'Face', 'value': 'Blank'}, {'trait_type': 'Accessories', 'value': 'Blank'}, {'trait_type': 'Destiny', 'value': 'Explorer'}]","{'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'CqvWBquoZhpZb2vmVr9vKf5TmijEwK5deaDZnDGq2FrX', 'share': 80}, {'address': 'H47TDA53Y3ZDNdGTRK5j9PNA8zL4rY3sHeijbPJMAkSG', 'share': 20}], 'files': [{'uri': 'https://arweave.net/GpG6aj5vtzHGM4hb_4nmr-n8c_KMHZtesy7MZ2StxPU?ext=png', 'type': 'image/png'}]}",1,E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 5303}}
7,7WDSiVdYRYWrJPTj6LNnh6sHcoFxpBrRdKPuFb8qoykB,2.95,4mJZsn1dxRQRSdEL5CQHzDEczePmEzNzhUAkbwAbdKY8,Edp8gkY3VFC6xwtnsMj6Z3iqJhCSYVtitiY6JPPGikvN,project_tenjin,Project TENJIN,https://arweave.net/5kkCexwnbyftqSAz0o0Tn1PsnmZz-3yyo_2fxxDVyR0?ext=png,TENJIN #2145,Project Tenjin by AVTR Studios,https://www.projecttenjin.io/,image,"[{'address': 'E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW', 'verified': 1, 'share': 100}]",800,2hwqmaferZbLfitmzGdxCtzXiU2qUp4HchgfHAibmUeR,"[{'trait_type': 'Faction', 'value': 'Tenjin'}, {'trait_type': 'Back', 'value': 'Ghost Fire'}, {'trait_type': 'Base', 'value': 'Jin'}, {'trait_type': 'Body Paint', 'value': 'Blank'}, {'trait_type': 'Neck', 'value': 'Blank'}, {'trait_type': 'Body', 'value': 'Punk Jacket'}, {'trait_type': 'Eyes', 'value': 'Zhurong'}, {'trait_type': 'Mouth', 'value': 'Smile'}, {'trait_type': 'Eyewear', 'value': 'Blank'}, {'trait_type': 'Head', 'value': 'h010'}, {'trait_type': 'Face', 'value': 'Blank'}, {'trait_type': 'Accessories', 'value': 'Skull Demon'}, {'trait_type': 'Destiny', 'value': 'Explorer'}]","{'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'CqvWBquoZhpZb2vmVr9vKf5TmijEwK5deaDZnDGq2FrX', 'share': 80}, {'address': 'H47TDA53Y3ZDNdGTRK5j9PNA8zL4rY3sHeijbPJMAkSG', 'share': 20}], 'files': [{'uri': 'https://arweave.net/5kkCexwnbyftqSAz0o0Tn1PsnmZz-3yyo_2fxxDVyR0?ext=png', 'type': 'image/png'}]}",1,E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 5745}}
8,C1sCLEjd3iFu953wfVoSwCJeAhYAWU9U3VFmJuoDVrWe,2.989,HzUW3cE1ADuQGSYjoMJ29A45dvm9ifDgRC388ShTNaQk,Guh2nVCp4hr1Uqsnn4sxNTDHi9tZWLcWkNmHPAACji9u,project_tenjin,Project TENJIN,https://arweave.net/HE5yHHW7C3L3xtjRysdecu1LnUXgZfDo-5s1_H1mvcw?ext=png,TENJIN #6371,Project Tenjin by AVTR Studios,https://www.projecttenjin.io/,image,"[{'address': 'E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW', 'verified': 1, 'share': 100}]",800,CrgBrjvstxNBftZUBuk4gy1Di7LdeT6ev83yzkGEn4vq,"[{'trait_type': 'Faction', 'value': 'Tenjin'}, {'trait_type': 'Back', 'value': 'Blank'}, {'trait_type': 'Base', 'value': 'Jin'}, {'trait_type': 'Body Paint', 'value': 'In Time'}, {'trait_type': 'Neck', 'value': 'Blank'}, {'trait_type': 'Body', 'value': 'Punk Jacket'}, {'trait_type': 'Eyes', 'value': 'Princess of Iron Fan'}, {'trait_type': 'Mouth', 'value': 'Robotic Mouth'}, {'trait_type': 'Eyewear', 'value': 'Blank'}, {'trait_type': 'Head', 'value': 'Gentleman Hat'}, {'trait_type': 'Face', 'value': 'Blank'}, {'trait_type': 'Accessories', 'value': 'Blank'}, {'trait_type': 'Destiny', 'value': 'Explorer'}]","{'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'CqvWBquoZhpZb2vmVr9vKf5TmijEwK5deaDZnDGq2FrX', 'share': 80}, {'address': 'H47TDA53Y3ZDNdGTRK5j9PNA8zL4rY3sHeijbPJMAkSG', 'share': 20}], 'files': [{'uri': 'https://arweave.net/HE5yHHW7C3L3xtjRysdecu1LnUXgZfDo-5s1_H1mvcw?ext=png', 'type': 'image/png'}]}",1,E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 6419}}
9,5wZAaZM33gP81yrSRhEfzYGto4RvY9kjk6vJgY1Xzvoz,2.99,FbGxYfio7j7kNGxqksGe1nJe4Q4avhGA4inB27E3Mzhs,8GubSN4hdJJYWRzH4HNBYkZTF5ft9EdZHhRLkKJ2xQct,project_tenjin,Project TENJIN,https://arweave.net/mcAscA_uWvignbJqq7ZpB-40GV9pPeDk4jKVDUztCWk?ext=png,TENJIN #4059,Project Tenjin by AVTR Studios,https://www.projecttenjin.io/,image,"[{'address': 'E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW', 'verified': 1, 'share': 100}]",800,Dnd5fhvZQTAAAk3ioMXBukowFLnsDfj92DvC1bXro9Gq,"[{'trait_type': 'Faction', 'value': 'Tenjin'}, {'trait_type': 'Back', 'value': 'Blank'}, {'trait_type': 'Base', 'value': 'Jin'}, {'trait_type': 'Body Paint', 'value': 'Tenjin'}, {'trait_type': 'Neck', 'value': 'Blank'}, {'trait_type': 'Body', 'value': 'Ancient'}, {'trait_type': 'Eyes', 'value': 'Zhurong'}, {'trait_type': 'Mouth', 'value': 'Gag'}, {'trait_type': 'Eyewear', 'value': 'Blank'}, {'trait_type': 'Head', 'value': 'h002'}, {'trait_type': 'Face', 'value': 'Fox Mask'}, {'trait_type': 'Accessories', 'value': 'Soot Spirit'}, {'trait_type': 'Destiny', 'value': 'Explorer'}]","{'category': 'image', 'maxSupply': 1, 'creators': [{'address': 'CqvWBquoZhpZb2vmVr9vKf5TmijEwK5deaDZnDGq2FrX', 'share': 80}, {'address': 'H47TDA53Y3ZDNdGTRK5j9PNA8zL4rY3sHeijbPJMAkSG', 'share': 20}], 'files': [{'uri': 'https://arweave.net/mcAscA_uWvignbJqq7ZpB-40GV9pPeDk4jKVDUztCWk?ext=png', 'type': 'image/png'}]}",1,E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2756}}
