,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,animationURL,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,Ac3hBSwLGYaDyYq5P9WoH7wvAKCH9G8PcMsthuZ8YkxB,0.3899,J9j9LNzucKn3qBFUVvH7UQhwDiSMpbMHxyugTX4U1y1W,EYYBDtvVVcmGnANqMrjkv3cTx1h7pNoGKQEDJViS8EmN,psyker,Psyker,https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/4276.gif,Keycard #4276,"Keycards are the way to enter the Psykerverse. Keycard holder benefits include: closed beta access, DAO membership, and a genesis character loadout.",,https://psyker.game/,image,"[{'address': '8AkWaZh92FwkdPmqbR58FpTkpZjrCrRK648UWu6Kuz8', 'verified': 1, 'share': 0}, {'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'verified': 0, 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'verified': 0, 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'verified': 0, 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'verified': 0, 'share': 10}]",500,Gx9Ww5qXswR5W4S6PxWMRzzNnAqhvZYaM8fidvCD3gtx,"[{'trait_type': 'Weapons', 'value': 'Katana'}, {'trait_type': 'Headgear', 'value': 'Robo Geisha'}, {'trait_type': 'Arms', 'value': 'Mantis Arms Electric'}, {'trait_type': 'Chest', 'value': 'Ninja Hooded Vest Black'}, {'trait_type': 'Legs', 'value': 'Ninja pants grey'}]","{'files': [{'uri': 'https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/4276.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'share': 10}]}",1,Gp25XFbf5EgY7wqfTR815gCPt5K3TVBbVSZkioDAFyCX,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2239}},,
1,4NadeYsNyd6ESxoGfYs6qMvH5mRTzm8kFzYdgHUw3yhY,0.39,3pzC3kjNgtcMb3cxGtQW5cMySkvbWdgifiTCP92ieaLU,CcZPZXy8rChzBb2wUMmYEoQYAtSsiNosakPmMHDTVFqX,psyker,Psyker,https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/5312.gif,Keycard #5312,"Keycards are the way to enter the Psykerverse. Keycard holder benefits include: closed beta access, DAO membership, and a genesis character loadout.",,https://psyker.game/,image,"[{'address': '8AkWaZh92FwkdPmqbR58FpTkpZjrCrRK648UWu6Kuz8', 'verified': 1, 'share': 0}, {'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'verified': 0, 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'verified': 0, 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'verified': 0, 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'verified': 0, 'share': 10}]",500,APifcxF9itEDhcChgCbMQUAkWfjJBSt6faKCPS325koa,"[{'trait_type': 'Weapons', 'value': 'Katana'}, {'trait_type': 'Headgear', 'value': 'Robo Geisha'}, {'trait_type': 'Arms', 'value': 'Mantis Arms Neon'}, {'trait_type': 'Chest', 'value': 'Ninja Hooded Vest Black'}, {'trait_type': 'Legs', 'value': 'Ninja pants grey'}]","{'files': [{'uri': 'https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/5312.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'share': 10}]}",1,Gp25XFbf5EgY7wqfTR815gCPt5K3TVBbVSZkioDAFyCX,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 6429}},,
2,ECswXcYTuzcA1KYQjd69ar5CwKAhUaLLu6p8YyKoB23N,0.39,Gzr78ewCWsrppNrmR5owYPo5SFeK5Tx3dfw5FEJeM81L,CcZPZXy8rChzBb2wUMmYEoQYAtSsiNosakPmMHDTVFqX,psyker,Psyker,https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/1343.gif,Keycard #1343,"Keycards are the way to enter the Psykerverse. Keycard holder benefits include: closed beta access, DAO membership, and a genesis character loadout.",,https://psyker.game/,image,"[{'address': '8AkWaZh92FwkdPmqbR58FpTkpZjrCrRK648UWu6Kuz8', 'verified': 1, 'share': 0}, {'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'verified': 0, 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'verified': 0, 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'verified': 0, 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'verified': 0, 'share': 10}]",500,CiFsM7EX7ikHvj3hkxoee9e9w2EzSApbR1S2QhyWs5qJ,"[{'trait_type': 'Weapons', 'value': 'Katana Neon'}, {'trait_type': 'Headgear', 'value': 'Robo Geisha'}, {'trait_type': 'Arms', 'value': 'Mantis Arms Neon'}, {'trait_type': 'Chest', 'value': 'Ninja Hooded Vest Black'}, {'trait_type': 'Legs', 'value': 'Ninja pants red '}]","{'files': [{'uri': 'https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/1343.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'share': 10}]}",1,Gp25XFbf5EgY7wqfTR815gCPt5K3TVBbVSZkioDAFyCX,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4833}},,
3,Ae6pKzpkKBwtTe2x9QGcTGroLPesnMkxU9KN1Bpj817x,0.4,CcXMzq8UbhGCqsBXPS4wjipm1BR4YVWeEN6zuhrV2Tp7,HEKf5aV1uAwHcDcaSSpAh2VV9GzkzXJ5r2tq2FiYaGxk,psyker,Psyker,https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/1374.gif,Keycard #1374,"Keycards are the way to enter the Psykerverse. Keycard holder benefits include: closed beta access, DAO membership, and a genesis character loadout.",,https://psyker.game/,image,"[{'address': '8AkWaZh92FwkdPmqbR58FpTkpZjrCrRK648UWu6Kuz8', 'verified': 1, 'share': 0}, {'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'verified': 0, 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'verified': 0, 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'verified': 0, 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'verified': 0, 'share': 10}]",500,7PRZYcQhgV5eejPUNVr2BLV1zq8g1Kr4pUokE9g18Sjr,"[{'trait_type': 'Weapons', 'value': 'Katana Neon'}, {'trait_type': 'Headgear', 'value': 'Robo Geisha Neon'}, {'trait_type': 'Arms', 'value': 'Mantis Arms Electric'}, {'trait_type': 'Chest', 'value': 'Ninja Hooded Vest Black'}, {'trait_type': 'Legs', 'value': 'Ninja pants black'}]","{'files': [{'uri': 'https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/1374.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'share': 10}]}",1,Gp25XFbf5EgY7wqfTR815gCPt5K3TVBbVSZkioDAFyCX,1,{},False,,{},HS2eL9WJbh7pA4i4veK3YDwhGLRjY3uKryvG1NbHRprj,"{'auctionHouse': {'auctionHouseKey': 'BAmKB58MgkeYF2VueVBfASL5q8Qf6VKp4nA4cRuVUVft', 'requiresSignOff': False}}"
4,HgNGSe7S48yEpvjEQATtEjthmzzo7r9nD67HrSaNwKQS,0.4,3y9PmUyfnPJEdeF5tyedjsSeJRZLn1VdFAxJ5ZXku6rv,HEKf5aV1uAwHcDcaSSpAh2VV9GzkzXJ5r2tq2FiYaGxk,psyker,Psyker,https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/2714.gif,Keycard #2714,"Keycards are the way to enter the Psykerverse. Keycard holder benefits include: closed beta access, DAO membership, and a genesis character loadout.",,https://psyker.game/,image,"[{'address': '8AkWaZh92FwkdPmqbR58FpTkpZjrCrRK648UWu6Kuz8', 'verified': 1, 'share': 0}, {'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'verified': 0, 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'verified': 0, 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'verified': 0, 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'verified': 0, 'share': 10}]",500,5ic8PBjhGDwmsJaZssE6JgBh5CQAS2SA9QhzpqoJUMFc,"[{'trait_type': 'Weapons', 'value': 'Two handed Axe'}, {'trait_type': 'Headgear', 'value': 'Lizard Demon Face Diamond'}, {'trait_type': 'Arms', 'value': 'Forearm cyber armor rust'}, {'trait_type': 'Chest', 'value': 'Cyber Chest Implant green'}, {'trait_type': 'Legs', 'value': 'Utility shorts red camo'}]","{'files': [{'uri': 'https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/2714.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'share': 10}]}",1,Gp25XFbf5EgY7wqfTR815gCPt5K3TVBbVSZkioDAFyCX,1,{},False,,{},HS2eL9WJbh7pA4i4veK3YDwhGLRjY3uKryvG1NbHRprj,"{'auctionHouse': {'auctionHouseKey': 'BAmKB58MgkeYF2VueVBfASL5q8Qf6VKp4nA4cRuVUVft', 'requiresSignOff': False}}"
5,C93BhUPfL634UoGjzAdeD6sbi8NLvbHqhQ2aNiERT29A,0.43,BcoLdBEBFS1pP7Dwj51bwKiG5uFSnTyomCAsTauVRVm3,D3PHbKB7UEuNyXq1Zdsh4Z2ZMAWLkczWQmw5ENxCjTei,psyker,Psyker,https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/1314.gif,Keycard #1314,"Keycards are the way to enter the Psykerverse. Keycard holder benefits include: closed beta access, DAO membership, and a genesis character loadout.",,https://psyker.game/,image,"[{'address': '8AkWaZh92FwkdPmqbR58FpTkpZjrCrRK648UWu6Kuz8', 'verified': 1, 'share': 0}, {'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'verified': 0, 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'verified': 0, 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'verified': 0, 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'verified': 0, 'share': 10}]",500,2KBViSp5x7mTXpyfPnh9TaGP9XAMPBHhxUZTWkEPKjg9,"[{'trait_type': 'Weapons', 'value': 'Claws'}, {'trait_type': 'Headgear', 'value': 'Sunglasses/gas mask Yellow'}, {'trait_type': 'Arms', 'value': 'Tank Flex Arms camo'}, {'trait_type': 'Chest', 'value': 'Tech Vest Black'}, {'trait_type': 'Legs', 'value': 'Blader Runners Neon'}]","{'files': [{'uri': 'https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/1314.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'share': 10}]}",1,Gp25XFbf5EgY7wqfTR815gCPt5K3TVBbVSZkioDAFyCX,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 6189}},,
6,AX5N93gJG7SNCNFL9kZ87J9UaG3qQBbSTpvM8pFJ6ANW,0.44,KEjHrPJpD2fKikSb68ZU8dnpAis7HLeewBfPJbGTxrQ,Hx5p9BonYUPpDwu2eFtB1yF3nP5NQFwqKoyJZBcNsqkK,psyker,Psyker,https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/1249.gif,Keycard #1249,"Keycards are the way to enter the Psykerverse. Keycard holder benefits include: closed beta access, DAO membership, and a genesis character loadout.",,https://psyker.game/,image,"[{'address': '8AkWaZh92FwkdPmqbR58FpTkpZjrCrRK648UWu6Kuz8', 'verified': 1, 'share': 0}, {'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'verified': 0, 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'verified': 0, 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'verified': 0, 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'verified': 0, 'share': 10}]",500,BJPbDNB8w5GawaQK4DGH9yPK6rxtBbafJXLGDSPi5Xic,"[{'trait_type': 'Weapons', 'value': 'Club'}, {'trait_type': 'Headgear', 'value': 'Optics Implant yellow'}, {'trait_type': 'Arms', 'value': 'Cyber Spike shoulders rust'}, {'trait_type': 'Chest', 'value': 'Gladiator pads rust'}, {'trait_type': 'Legs', 'value': 'Tech Jogger Camo'}]","{'files': [{'uri': 'https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/1249.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'share': 10}]}",1,Gp25XFbf5EgY7wqfTR815gCPt5K3TVBbVSZkioDAFyCX,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 6837}},,
7,C7fMkVeK9hJCwhNVPUfkRgkaSJXap2ZR5WSLgESF4N32,0.44,GzCEU4oQNpQyfBEe5Sh6ACJrspDegEQxpippw2xMjAfZ,FbH1j4jdTU9TvFGNRHJhCQePuXwefPoMFbQBukhxj8F9,psyker,Psyker,https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/5455.gif,Keycard #5455,"Keycards are the way to enter the Psykerverse. Keycard holder benefits include: closed beta access, DAO membership, and a genesis character loadout.",,https://psyker.game/,image,"[{'address': '8AkWaZh92FwkdPmqbR58FpTkpZjrCrRK648UWu6Kuz8', 'verified': 1, 'share': 0}, {'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'verified': 0, 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'verified': 0, 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'verified': 0, 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'verified': 0, 'share': 10}]",500,FFPy5PRrCbgQA9SjHjcNo2gRCXmU6EUTsPx93ANhPL98,"[{'trait_type': 'Weapons', 'value': 'Electric Wire Carbon Club'}, {'trait_type': 'Headgear', 'value': 'Optics Implant yellow'}, {'trait_type': 'Arms', 'value': 'Cyber Spike shoulders rust'}, {'trait_type': 'Chest', 'value': 'Gladiator pads rust'}, {'trait_type': 'Legs', 'value': 'Tech Jogger Brown'}]","{'files': [{'uri': 'https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/5455.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'share': 10}]}",1,Gp25XFbf5EgY7wqfTR815gCPt5K3TVBbVSZkioDAFyCX,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 6090}},,
8,FQV7TecRKGTh4eng62vZVcy5HP3kmDrdCcvXx1vJTt1s,0.45,2D5Ye6W2ggqT3oUaQ1yQzvLhs5KrwbvQfiooPpn8gepq,JctajsmP34fjCZ926j3oYWyATog1bm4LvzWGkEDvFpR,psyker,Psyker,https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/6253.gif,Keycard #6253,"Keycards are the way to enter the Psykerverse. Keycard holder benefits include: closed beta access, DAO membership, and a genesis character loadout.",,https://psyker.game/,image,"[{'address': '8AkWaZh92FwkdPmqbR58FpTkpZjrCrRK648UWu6Kuz8', 'verified': 1, 'share': 0}, {'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'verified': 0, 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'verified': 0, 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'verified': 0, 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'verified': 0, 'share': 10}]",500,BRen9UCg3h3MFcf5mDFtHuyTbu2iYXVFdt4hGiXQ1ZMS,"[{'trait_type': 'Weapons', 'value': 'Claws'}, {'trait_type': 'Headgear', 'value': 'Sunglasses/gas mask  Neon'}, {'trait_type': 'Arms', 'value': 'Tank Flex Arms Gold'}, {'trait_type': 'Chest', 'value': 'Tech Vest Grey'}, {'trait_type': 'Legs', 'value': 'Blade Runners'}]","{'files': [{'uri': 'https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/6253.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'share': 10}]}",1,Gp25XFbf5EgY7wqfTR815gCPt5K3TVBbVSZkioDAFyCX,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3690}},,
9,9kboWb9fKKBGV9jqcLSsQJC1L2gpG7SKeFuNikPqikYv,0.45,84mKkQaLH7fSU6gZuh1scDbis5b6BmYDw4Hn2nHF4S2E,6foHU99V1oHt9AEkjy6DFgovWeA4qHFEzcbfG9MvRgM5,psyker,Psyker,https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/1442.gif,Keycard #1442,"Keycards are the way to enter the Psykerverse. Keycard holder benefits include: closed beta access, DAO membership, and a genesis character loadout.",,https://psyker.game/,image,"[{'address': '8AkWaZh92FwkdPmqbR58FpTkpZjrCrRK648UWu6Kuz8', 'verified': 1, 'share': 0}, {'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'verified': 0, 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'verified': 0, 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'verified': 0, 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'verified': 0, 'share': 10}]",500,8DLLq8o7yzSrA3NvcBmusitKPTjz8ZxKKWsRzD8rK7Z,"[{'trait_type': 'Weapons', 'value': 'Club'}, {'trait_type': 'Headgear', 'value': 'Optics implant red'}, {'trait_type': 'Arms', 'value': 'Cyber Spike shoulders camo'}, {'trait_type': 'Chest', 'value': 'Gladiator pads rust'}, {'trait_type': 'Legs', 'value': 'Tech Jogger Brown'}]","{'files': [{'uri': 'https://storage.googleapis.com/fractal-launchpad-public-assets/psyker-assets/gifs/1442.gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '3aKY2TVrHV7XnjcuYhP2gdUWqF8ra8TA4AL5qWQQz5gr', 'share': 30}, {'address': 'Gvp1RDYLpbBQg35k3x1zpBxWhXNEPuS1jbLALDH8XCaA', 'share': 30}, {'address': '2e8DoDgFZR3By185CDPJAwNE3h1QsaS1NtndM8NQi3Q5', 'share': 30}, {'address': 'HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX', 'share': 10}]}",1,Gp25XFbf5EgY7wqfTR815gCPt5K3TVBbVSZkioDAFyCX,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
