,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,Bop6xTdSnqCWi6GtQBZs6Uq5P8xkQL1XCg457KwpdWjP,4.09,2KypgvJS2Vb7XPnq8Us6Cp2yscBQ3sUzddG7aGTPmgds,5NcojfDpTrL9f4UDmPKV9S2ziAiHSidV5Newj572mJGA,quantum_traders,Quantum Traders,https://arweave.net/nMxS7GGdafWAY9xeqF301w7opsYrTWIdPAxJTEUZPY8,Quantum Trader #1942,An alien droid race unbound by time. Brought to life by Yawww to protect our realm and to stabilize our economy with $YAW.,https://app.yawww.io,"[{'address': 'ComCtSxZpXLPvSWHCwczquvpPGU8mzgditjxau1Kc4Uw', 'verified': 1, 'share': 0}, {'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'verified': 0, 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'verified': 0, 'share': 50}]",800,ELcx8GbFW72FcqDNYPcP99tUFyzNibeQqU2YC6BHPDke,"[{'trait_type': 'Background', 'value': 'Starry night'}, {'trait_type': 'Helpers', 'value': 'Space-time synchros'}, {'trait_type': 'Joints', 'value': 'Black joints'}, {'trait_type': 'Plates', 'value': 'Magenta'}, {'trait_type': 'Clothes', 'value': 'Quantum jacket'}, {'trait_type': 'Neckpiece', 'value': 'Blue holo bowtie'}, {'trait_type': 'Necklace', 'value': 'Ring'}, {'trait_type': 'Head', 'value': 'Gold'}, {'trait_type': 'Table', 'value': 'The Grid'}, {'trait_type': 'Goods', 'value': 'Turtles #2'}, {'trait_type': 'Container', 'value': 'Coin pouch'}]","{'creators': [{'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'share': 50}], 'files': [{'type': 'image/png', 'uri': 'https://arweave.net/nMxS7GGdafWAY9xeqF301w7opsYrTWIdPAxJTEUZPY8'}]}",1,HBERHSe9s4GApnkLkWGpej8SGjs9DuL5pi3cpQwXXop4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7329}, 'howrare': {'rank': 7111}}"
1,FYNQ5xzQDTtdW7M929AWqF9MWEQQJbARnBN98aoVZR49,4.093,8XEJ88B3bh7gy7tv1birRgZbREfZnVEiK87FxJ6Hupv5,2WLMrjMzTPpko1w7v1rDN7Ee7qrHYrijw2LLL2qZ19dP,quantum_traders,Quantum Traders,https://arweave.net/bO6cVcYsArepcfb37sRuHGrw-ufc2FcOObhz9imByqs,Quantum Trader #2063,An alien droid race unbound by time. Brought to life by Yawww to protect our realm and to stabilize our economy with $YAW.,https://app.yawww.io,"[{'address': 'ComCtSxZpXLPvSWHCwczquvpPGU8mzgditjxau1Kc4Uw', 'verified': 1, 'share': 0}, {'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'verified': 0, 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'verified': 0, 'share': 50}]",800,5yLWWxpyNSJ2V5uKf6wp4pebvfTiyXjZ9NoqqWXjymY8,"[{'trait_type': 'Background', 'value': 'Deep purple'}, {'trait_type': 'Helpers', 'value': 'Extra hands'}, {'trait_type': 'Joints', 'value': 'Red joints'}, {'trait_type': 'Plates', 'value': 'Blue'}, {'trait_type': 'Clothes', 'value': 'Retro jacket'}, {'trait_type': 'Wrist', 'value': 'Gold watch'}, {'trait_type': 'Necklace', 'value': 'Triangle'}, {'trait_type': 'Head', 'value': 'Blue'}, {'trait_type': 'Table', 'value': 'Blue table'}, {'trait_type': 'Goods', 'value': 'Meerkat Millionaires Club #1'}, {'trait_type': 'Container', 'value': 'Treasure chest'}]","{'creators': [{'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'share': 50}], 'files': [{'type': 'image/png', 'uri': 'https://arweave.net/bO6cVcYsArepcfb37sRuHGrw-ufc2FcOObhz9imByqs'}]}",1,HBERHSe9s4GApnkLkWGpej8SGjs9DuL5pi3cpQwXXop4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8409}, 'howrare': {'rank': 8749}}"
2,AjvcSsqecYbFvjEz5n7A693sx4qfAhFHscRo6xyVGmoT,4.095,GVj6s74DbUbQ9GMS2mgdeaZexdrkNUFB1P9rNZFN3oh1,BTnHRxrcDy1XjqLKZ5hWTibWs4rNGHKHF6MxEPH9d7ma,quantum_traders,Quantum Traders,https://arweave.net/4E-ypeMmD2WJg8cXxykyEOhJi-1_j7gZ-Zidnp7JU10,Quantum Trader #7680,An alien droid race unbound by time. Brought to life by Yawww to protect our realm and to stabilize our economy with $YAW.,https://app.yawww.io,"[{'address': '7YXM2jx3psc7qTFmN25CDkjumqq8V9jcWAQwCZaK5Cws', 'verified': 1, 'share': 0}, {'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'verified': 0, 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'verified': 0, 'share': 50}]",800,4EietjuMbzhsEewPSsmGebwfnnDwDMMMhHCNQr1aoR36,"[{'trait_type': 'Background', 'value': 'Retro eclipse'}, {'trait_type': 'Joints', 'value': 'Black joints'}, {'trait_type': 'Plates', 'value': 'Red'}, {'trait_type': 'Clothes', 'value': 'Retro vest'}, {'trait_type': 'Neckpiece', 'value': 'Purple bowtie'}, {'trait_type': 'Head', 'value': 'Blue'}, {'trait_type': 'Table', 'value': 'Round black table'}, {'trait_type': 'Goods', 'value': 'Degenerate Ape Academy #2'}, {'trait_type': 'Container', 'value': 'Jewelry box'}, {'trait_type': 'Table decorations', 'value': 'Coins'}]","{'creators': [{'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'share': 50}], 'files': [{'type': 'image/png', 'uri': 'https://arweave.net/4E-ypeMmD2WJg8cXxykyEOhJi-1_j7gZ-Zidnp7JU10'}]}",1,HBERHSe9s4GApnkLkWGpej8SGjs9DuL5pi3cpQwXXop4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6591}, 'howrare': {'rank': 4466}}"
3,CcoJKmQrotMSJmsmFDBVvoSYHWvnTDbiZtamnAyD2LKM,4.1,2bPvgUJLtwXmzcw6mW2WRAPpvuA2g8HNmHbhRebaGUFM,9gT4DMfTuPjg8HAK9cub12mwc4VN7WgzxS4fZVWZnkDN,quantum_traders,Quantum Traders,https://arweave.net/oRgcj3XsDd91D78mvT8gKh_iKgbvtZ0DmNhGIqRApqw,Quantum Trader #6815,An alien droid race unbound by time. Brought to life by Yawww to protect our realm and to stabilize our economy with $YAW.,https://app.yawww.io,"[{'address': '7YXM2jx3psc7qTFmN25CDkjumqq8V9jcWAQwCZaK5Cws', 'verified': 1, 'share': 0}, {'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'verified': 0, 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'verified': 0, 'share': 50}]",800,EhFb8QE3E8L96US7KnqM1P1WzQYqUDUvY3A7FCwyFLPZ,"[{'trait_type': 'Background', 'value': 'Deep purple'}, {'trait_type': 'Joints', 'value': 'Basic'}, {'trait_type': 'Plates', 'value': 'Black plates'}, {'trait_type': 'Clothes', 'value': 'Quantum jacket'}, {'trait_type': 'Wrist', 'value': 'Holo watch'}, {'trait_type': 'Shoulders', 'value': 'Sharp gray shoulderpad'}, {'trait_type': 'Neckpiece', 'value': 'Red scarf'}, {'trait_type': 'Necklace', 'value': 'Keycard necklace'}, {'trait_type': 'Head', 'value': 'Basic'}, {'trait_type': 'Head extra', 'value': 'Red hood'}, {'trait_type': 'Table', 'value': 'Retro'}, {'trait_type': 'Goods', 'value': 'Grim Syndicate #2'}, {'trait_type': 'Container', 'value': 'Coin pouch'}]","{'creators': [{'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'share': 50}], 'files': [{'type': 'image/png', 'uri': 'https://arweave.net/oRgcj3XsDd91D78mvT8gKh_iKgbvtZ0DmNhGIqRApqw'}]}",1,HBERHSe9s4GApnkLkWGpej8SGjs9DuL5pi3cpQwXXop4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2105}, 'howrare': {'rank': 3477}}"
4,GBVvSTMhmMyWS39iZSDjqZQZJtJogTwsycNTzRnKKJm7,4.1,G4v6tH1j2Cka8ZF4BopDzst4CQJMLcFhuXHQkKia83gH,9J7Z1QUJrSxJ5rvurpkudBH4SD9LQr86Tbdimo4HVYEf,quantum_traders,Quantum Traders,https://arweave.net/AgohLfDayEtLRDYK00sV901Yeg2JPaDFxVURVmG-LV0,Quantum Trader #411,An alien droid race unbound by time. Brought to life by Yawww to protect our realm and to stabilize our economy with $YAW.,https://app.yawww.io,"[{'address': 'ComCtSxZpXLPvSWHCwczquvpPGU8mzgditjxau1Kc4Uw', 'verified': 1, 'share': 0}, {'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'verified': 0, 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'verified': 0, 'share': 50}]",800,3DU4jwtMjL5BDRbfKwNHvqwbYkAnoYkKtAf15MUL1imr,"[{'trait_type': 'Background', 'value': 'Deep purple'}, {'trait_type': 'Helpers', 'value': 'Seekers'}, {'trait_type': 'Joints', 'value': 'White'}, {'trait_type': 'Plates', 'value': 'Red'}, {'trait_type': 'Wrist', 'value': 'Slick chrono white'}, {'trait_type': 'Neckpiece', 'value': 'Magenta scarf'}, {'trait_type': 'Necklace', 'value': 'Synthwave sun necklace'}, {'trait_type': 'Head', 'value': 'Basic'}, {'trait_type': 'Head extra', 'value': 'Screen mania'}, {'trait_type': 'Table', 'value': 'Round black table'}, {'trait_type': 'Goods', 'value': 'Jungle Cats #2'}, {'trait_type': 'Container', 'value': 'Treasure chest'}]","{'creators': [{'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'share': 50}], 'files': [{'type': 'image/png', 'uri': 'https://arweave.net/AgohLfDayEtLRDYK00sV901Yeg2JPaDFxVURVmG-LV0'}]}",1,HBERHSe9s4GApnkLkWGpej8SGjs9DuL5pi3cpQwXXop4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5486}, 'howrare': {'rank': 6260}}"
5,3xAu4j4EwNaWMqdubniDybMoMDFPpgEBJunoxt96J744,4.1,CSfKptUd7v35MKbZgrBjtYC2Nm9EM6dQNZFoSbFjLwjw,9J7Z1QUJrSxJ5rvurpkudBH4SD9LQr86Tbdimo4HVYEf,quantum_traders,Quantum Traders,https://arweave.net/LdfU-UrGGPZntXBDr1ji1bENwyrA87xKQKmwTSfu1EU,Quantum Trader #372,An alien droid race unbound by time. Brought to life by Yawww to protect our realm and to stabilize our economy with $YAW.,https://app.yawww.io,"[{'address': 'ComCtSxZpXLPvSWHCwczquvpPGU8mzgditjxau1Kc4Uw', 'verified': 1, 'share': 0}, {'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'verified': 0, 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'verified': 0, 'share': 50}]",800,ETMe78gWKPimaKYa4UdWaM6ffFhYZetUhw6bsQtddS2L,"[{'trait_type': 'Background', 'value': 'Night vibes'}, {'trait_type': 'Helpers', 'value': 'Firefly swarm'}, {'trait_type': 'Joints', 'value': 'Black joints'}, {'trait_type': 'Plates', 'value': 'Red'}, {'trait_type': 'Clothes', 'value': ""Night rider's jacket""}, {'trait_type': 'Wrist', 'value': 'Slick chrono navy'}, {'trait_type': 'Neckpiece', 'value': 'Blue holo bowtie'}, {'trait_type': 'Head', 'value': 'Gold'}, {'trait_type': 'Table', 'value': 'Metal table'}, {'trait_type': 'Goods', 'value': 'Solana Monkey Business #2'}, {'trait_type': 'Container', 'value': 'Treasure chest'}]","{'creators': [{'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'share': 50}], 'files': [{'type': 'image/png', 'uri': 'https://arweave.net/LdfU-UrGGPZntXBDr1ji1bENwyrA87xKQKmwTSfu1EU'}]}",1,HBERHSe9s4GApnkLkWGpej8SGjs9DuL5pi3cpQwXXop4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7985}, 'howrare': {'rank': 8110}}"
6,AcYZRdF72MzzSeJpvT6dZyy6QxnHJcPrqk8ZPmGTKs2w,4.1,FgiCKziFuVShDbAifCNAqL9DUNbNx9D3JNjVHbcgmP6d,C8Qmf5cVuK6MyqEZG3gCj22SzTaxsdXx8fV6TrzYYyVV,quantum_traders,Quantum Traders,https://arweave.net/5m_rmkp6R39xQ8LFhqzdrEPotTguLzG0bnsT4Z-GWl0,Quantum Trader #7359,An alien droid race unbound by time. Brought to life by Yawww to protect our realm and to stabilize our economy with $YAW.,https://app.yawww.io,"[{'address': '7YXM2jx3psc7qTFmN25CDkjumqq8V9jcWAQwCZaK5Cws', 'verified': 1, 'share': 0}, {'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'verified': 0, 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'verified': 0, 'share': 50}]",800,HdjZFQggjHH9o7efmm8GsybwEtYMLNdnxGecArPLa45V,"[{'trait_type': 'Background', 'value': 'Flowing'}, {'trait_type': 'Joints', 'value': 'Red joints'}, {'trait_type': 'Plates', 'value': 'Blue'}, {'trait_type': 'Clothes', 'value': 'Retro vest'}, {'trait_type': 'Necklace', 'value': 'Pendant'}, {'trait_type': 'Head', 'value': 'Gold'}, {'trait_type': 'Table', 'value': 'Metal table'}, {'trait_type': 'Goods', 'value': 'Degenerate Trash Pandas #1'}, {'trait_type': 'Container', 'value': 'Jewelry box'}, {'trait_type': 'Table decorations', 'value': 'Silver bars'}]","{'creators': [{'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'share': 50}], 'files': [{'type': 'image/png', 'uri': 'https://arweave.net/5m_rmkp6R39xQ8LFhqzdrEPotTguLzG0bnsT4Z-GWl0'}]}",1,HBERHSe9s4GApnkLkWGpej8SGjs9DuL5pi3cpQwXXop4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 7246}, 'howrare': {'rank': 6481}}"
7,DpuvffPJnQNcxdiprRtumtKHLpyaua69ouE2E5AFq9cn,4.2,5ZdT3fF2jvb8j2h8nn63mXDhsPGpDGfSXuNFNJC71uPA,zJkmE7Qbhw3XXfgb7bBLvBWiP9GJfnCiyiYgVCH1ySD,quantum_traders,Quantum Traders,https://arweave.net/FpFxpMqlO2IPJbA4_oScBuPPkusIBkHM5vHrukA0Nlo,Quantum Trader #5144,An alien droid race unbound by time. Brought to life by Yawww to protect our realm and to stabilize our economy with $YAW.,https://app.yawww.io,"[{'address': '7YXM2jx3psc7qTFmN25CDkjumqq8V9jcWAQwCZaK5Cws', 'verified': 1, 'share': 0}, {'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'verified': 0, 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'verified': 0, 'share': 50}]",800,6rKYrEzjrUQgcodTc9GQzEbeG1aBsQyXHQtccmndSba9,"[{'trait_type': 'Background', 'value': 'Mountain blues'}, {'trait_type': 'Joints', 'value': 'White'}, {'trait_type': 'Plates', 'value': 'Black plates'}, {'trait_type': 'Clothes', 'value': 'Representative uniform'}, {'trait_type': 'Wrist', 'value': 'Gold watch'}, {'trait_type': 'Shoulders', 'value': 'Sharp gray shoulderpad'}, {'trait_type': 'Necklace', 'value': 'QR code necklace'}, {'trait_type': 'Head', 'value': 'Magenta'}, {'trait_type': 'Head extra', 'value': 'Connected triple'}, {'trait_type': 'Table', 'value': 'Round black table'}, {'trait_type': 'Goods', 'value': 'Grim Syndicate #2'}, {'trait_type': 'Container', 'value': 'Treasure chest'}]","{'creators': [{'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'share': 50}], 'files': [{'type': 'image/png', 'uri': 'https://arweave.net/FpFxpMqlO2IPJbA4_oScBuPPkusIBkHM5vHrukA0Nlo'}]}",1,HBERHSe9s4GApnkLkWGpej8SGjs9DuL5pi3cpQwXXop4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6834}, 'howrare': {'rank': 7778}}"
8,FoJZaccQHe6hhNC8PgCc4zvcKim6v4N3QwhRRUKNYgDS,4.2,BSC9PGjzi9yzqgR3otqvwojrKH4uVHS48Ks3UYTzRwiu,7rd8obkqpSm9wMQMYdqULpovVJYQtfQU2tLZu5BtM43P,quantum_traders,Quantum Traders,https://arweave.net/r17-cHVtmvewPBbCDwBPcPwPTkN5hOkyuK5mivonwqw,Quantum Trader #4717,An alien droid race unbound by time. Brought to life by Yawww to protect our realm and to stabilize our economy with $YAW.,https://app.yawww.io,"[{'address': '7YXM2jx3psc7qTFmN25CDkjumqq8V9jcWAQwCZaK5Cws', 'verified': 1, 'share': 0}, {'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'verified': 0, 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'verified': 0, 'share': 50}]",800,6n6oJe2FbZpXSB1hd2siwTrQcq8zczndua74eCscdfaD,"[{'trait_type': 'Background', 'value': ""Can't stop me""}, {'trait_type': 'Joints', 'value': 'Black joints'}, {'trait_type': 'Plates', 'value': 'White plates'}, {'trait_type': 'Clothes', 'value': ""Grid racer's uniform""}, {'trait_type': 'Wrist', 'value': 'Slick chrono navy'}, {'trait_type': 'Shoulders', 'value': 'Sharp gray shoulderpad'}, {'trait_type': 'Neckpiece', 'value': 'Blue holo bowtie'}, {'trait_type': 'Necklace', 'value': 'Ring'}, {'trait_type': 'Head', 'value': 'Blue'}, {'trait_type': 'Head extra', 'value': 'Ultrawide'}, {'trait_type': 'Table', 'value': 'Metal table'}, {'trait_type': 'Goods', 'value': 'DeGods #1'}, {'trait_type': 'Container', 'value': 'Cage'}, {'trait_type': 'Table decorations', 'value': 'Coins'}]","{'creators': [{'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'share': 50}], 'files': [{'type': 'image/png', 'uri': 'https://arweave.net/r17-cHVtmvewPBbCDwBPcPwPTkN5hOkyuK5mivonwqw'}]}",1,HBERHSe9s4GApnkLkWGpej8SGjs9DuL5pi3cpQwXXop4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3728}, 'howrare': {'rank': 6001}}"
9,EyoHodNhsnzJdbyEUypCjVSbUks3ftWXgEbm1aMe4ez2,4.3,4yhckdazDCP4SLAgftNSUCemcY4HH2tDHveRLicPUKV9,69NBV3DyEWph52B6sFzsBP8AjfCyMP71Ufic9LiE62Wz,quantum_traders,Quantum Traders,https://arweave.net/5J4owt2AMK4aFHMOVQFSZoicIRHhYbYglIEIBBrFs2w,Quantum Trader #8097,An alien droid race unbound by time. Brought to life by Yawww to protect our realm and to stabilize our economy with $YAW.,https://app.yawww.io,"[{'address': 'CBRaUfUSz5nZAVw2XjBeqUgHFWwPfVgFEsHcQRP5ek5G', 'verified': 1, 'share': 0}, {'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'verified': 0, 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'verified': 0, 'share': 50}]",800,4sVLeqqGoJEwrGNPE4rr8j1pGVhk9XZgR6o9q2qyc8GA,"[{'trait_type': 'Background', 'value': 'Retro eclipse'}, {'trait_type': 'Joints', 'value': 'Basic'}, {'trait_type': 'Plates', 'value': 'Basic'}, {'trait_type': 'Clothes', 'value': 'Quantum jacket'}, {'trait_type': 'Wrist', 'value': 'Gold watch'}, {'trait_type': 'Necklace', 'value': 'QR code necklace'}, {'trait_type': 'Head', 'value': 'Gold'}, {'trait_type': 'Table', 'value': 'Round black table'}, {'trait_type': 'Goods', 'value': 'Degenerate Ape Academy #2'}, {'trait_type': 'Container', 'value': 'Coin pouch'}]","{'creators': [{'address': 'FDL3AT32bAAHEC9wujkesnHCvBEQWnmUVuDMJ7T8NJSw', 'share': 50}, {'address': '3AHGRCbzaVyBghmpurDdzGCAbvQmtRwytNxTt4M2BFkr', 'share': 50}], 'files': [{'type': 'image/png', 'uri': 'https://arweave.net/5J4owt2AMK4aFHMOVQFSZoicIRHhYbYglIEIBBrFs2w'}]}",1,HBERHSe9s4GApnkLkWGpej8SGjs9DuL5pi3cpQwXXop4,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 8761}, 'howrare': {'rank': 8078}}"
