,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,615tbAUbCyiNyY6LhajENPjR1mg5hT41T55kVEeWsUMb,6.0,EBUKa8Dzbzf4Ryyw7YcwFKFGDTGLpnbKm1DJahZ6H8HX,2yZWGkDA7N1BjZdzds6yJX7JEmtrCKtAQzwDuaKtALFt,rarikeys,SolRarity - Rarikeys,https://arweave.net/xiu9OkMkrfwayPBNPZoZe-vJiWAqvtBrzaLgPZMZTPM?ext=png,Rarikey #481,"2,600 unique Rarikeys allowing you to be part of SolRarity journey in the Solana ecosystem. Hold these precious keys to unlock access to premium tools and more...","[{'address': '53EmnGdMxnmNcaPUE6wJ2NHz6iUVpge4a7RViTdfb8Dq', 'verified': 1, 'share': 0}, {'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'verified': 0, 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 3}]",500,CE91cydzDFb5TAjExtGG5icXv8qbmZ1a5Y5UhLaSK1oe,"[{'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Button', 'value': 'Copper'}, {'trait_type': 'Pendant', 'value': 'Heart'}, {'trait_type': 'Screen', 'value': 'Floor is Lava'}, {'trait_type': 'Swivel', 'value': 'Wood'}]","{'creators': [{'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 3}], 'files': [{'uri': '381.png', 'type': 'image/png'}]}",1,2YfbFHdrDEzvQFsqYw5RytdVoYwoD5vg3U9scxYF5tSW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
1,5Np6j37ivkghC4cGCxvh1tp68vmxDEmgu8Eg5GtpKdZh,5.69,HCTpDVQMivF35qiBviZqpSUjfaNYnJ153YvUqwwKWyV4,w9ZdT2PrS2ioZqysyLcT4JFaQDyR17Jxf5Dmhd7a8Ym,rarikeys,SolRarity - Rarikeys,https://arweave.net/Pt3kWcz3Yri_k1dC7dSrnPzh3zrAKsVTCQ4NDiTg6sQ?ext=png,Rarikey #2002,"2,600 unique Rarikeys allowing you to be part of SolRarity journey in the Solana ecosystem. Hold these precious keys to unlock access to premium tools and more...","[{'address': '53EmnGdMxnmNcaPUE6wJ2NHz6iUVpge4a7RViTdfb8Dq', 'verified': 1, 'share': 0}, {'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'verified': 0, 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 3}]",500,CHHL89HNRQPqfUHsh1LmZkNwpCL1dXT5uMQcuSNMnU91,"[{'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Button', 'value': 'Black'}, {'trait_type': 'Pendant', 'value': 'Solana'}, {'trait_type': 'Screen', 'value': 'WAGMI'}, {'trait_type': 'Swivel', 'value': 'Marble'}]","{'creators': [{'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 3}], 'files': [{'uri': '1902.png', 'type': 'image/png'}]}",1,2YfbFHdrDEzvQFsqYw5RytdVoYwoD5vg3U9scxYF5tSW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
2,AFfcBJzodLmXbCzxfDC9RKFG2UWHq8qUhQ2tTgtgw146,5.0,6P38nVJZZGEzHU6JL25xPEtWbtnKvYYvNKNL3uZaPhbw,CgxayDXWiwpBsKbG8eQPJZHRmSJU6M9bNK5vCqocaAWq,rarikeys,SolRarity - Rarikeys,https://arweave.net/zi856FVCLEUG4f4W5fh86uHB_meK5qqmHi8UPKteZ2s?ext=png,Rarikey #256,"2,600 unique Rarikeys allowing you to be part of SolRarity journey in the Solana ecosystem. Hold these precious keys to unlock access to premium tools and more...","[{'address': '53EmnGdMxnmNcaPUE6wJ2NHz6iUVpge4a7RViTdfb8Dq', 'verified': 1, 'share': 0}, {'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'verified': 0, 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 3}]",500,25NzYcZRpFjYfreV3Yg1TbdELwHTrobsK3ZpsxMhFh7S,"[{'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Button', 'value': 'Silver'}, {'trait_type': 'Pendant', 'value': 'Solana'}, {'trait_type': 'Screen', 'value': 'WAGMI'}, {'trait_type': 'Swivel', 'value': 'Leather'}]","{'creators': [{'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 3}], 'files': [{'uri': '156.png', 'type': 'image/png'}]}",1,2YfbFHdrDEzvQFsqYw5RytdVoYwoD5vg3U9scxYF5tSW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
3,EtxKZjcqt8jH5kA9X4WNenHA15KnB5PVeJonewuw8L8u,5.19,AeTjd9FeiLZceXUns6SBzYr3GRwfZfQ7gWi6sSQjQtS9,J95JGrVSS8cbqUDenLhgjX7Byqg82ofh8uJ1c3XUfAEj,rarikeys,SolRarity - Rarikeys,https://arweave.net/u5s7ab96IvoPdePbJVCk1zg6W5oYOwXTzqfZcajdz9o?ext=png,Rarikey #1168,"2,600 unique Rarikeys allowing you to be part of SolRarity journey in the Solana ecosystem. Hold these precious keys to unlock access to premium tools and more...","[{'address': '53EmnGdMxnmNcaPUE6wJ2NHz6iUVpge4a7RViTdfb8Dq', 'verified': 1, 'share': 0}, {'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'verified': 0, 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 3}]",500,DHVYVVip6pGw4vj68cfA7h2RGoBbUXzjPpUYMBQ8Ay6S,"[{'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Button', 'value': 'Ice'}, {'trait_type': 'Pendant', 'value': 'None'}, {'trait_type': 'Screen', 'value': 'Floor is Lava'}, {'trait_type': 'Swivel', 'value': 'Gold'}]","{'creators': [{'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 3}], 'files': [{'uri': '1068.png', 'type': 'image/png'}]}",1,2YfbFHdrDEzvQFsqYw5RytdVoYwoD5vg3U9scxYF5tSW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
4,6CRePxW91aPkPCotahBJ3MjcErFHE1sQEspCi7Vfzo3,5.3,BaGfMcq17FtJVfireUuNDR3wX6XxqdBRWVUfUrDTB6tZ,FVTnS188p2jqeG1YtYdRi1HXY6HxUF1vX2GMx8iA1auV,rarikeys,SolRarity - Rarikeys,https://arweave.net/1KVhgQoj1n97hOmsA3ag1VC69Vck1V562-96zE65Uz8?ext=png,Rarikey #1470,"2,600 unique Rarikeys allowing you to be part of SolRarity journey in the Solana ecosystem. Hold these precious keys to unlock access to premium tools and more...","[{'address': '53EmnGdMxnmNcaPUE6wJ2NHz6iUVpge4a7RViTdfb8Dq', 'verified': 1, 'share': 0}, {'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'verified': 0, 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 3}]",500,FfwDdYoTSKeXRQdNVSNwAUd9WnBkXyKxENcXQzVqXVS7,"[{'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Button', 'value': 'Copper'}, {'trait_type': 'Pendant', 'value': 'Heart'}, {'trait_type': 'Screen', 'value': 'Floor is Lava'}, {'trait_type': 'Swivel', 'value': 'Ice'}]","{'creators': [{'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 3}], 'files': [{'uri': '1370.png', 'type': 'image/png'}]}",1,2YfbFHdrDEzvQFsqYw5RytdVoYwoD5vg3U9scxYF5tSW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
5,CGvZREsUb4bKgP94cBYN1XU2u2vPDR5phPNQWaQtofQo,5.33,4UdzBvZVCCVyBeFy7sgGrRnR7NifyGeKrtbNG8BZxN2s,4hJ9UFw339XfLQdSZ8hNeTsNgKFrL4e2tCY3PQ3FnkyN,rarikeys,SolRarity - Rarikeys,https://arweave.net/PgzE6BmLc36BYJg4h2rKko7mKpFtzuGHjgO-6L0bWJs?ext=png,Rarikey #859,"2,600 unique Rarikeys allowing you to be part of SolRarity journey in the Solana ecosystem. Hold these precious keys to unlock access to premium tools and more...","[{'address': '53EmnGdMxnmNcaPUE6wJ2NHz6iUVpge4a7RViTdfb8Dq', 'verified': 1, 'share': 0}, {'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'verified': 0, 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 3}]",500,DChR6sSzhpH2WdxdsCDMHR6FYYz9xwjkbCTHuspTxs9T,"[{'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Sand'}, {'trait_type': 'Button', 'value': 'Black'}, {'trait_type': 'Pendant', 'value': 'Silver Monkey'}, {'trait_type': 'Screen', 'value': 'WAGMI'}, {'trait_type': 'Swivel', 'value': 'Wood'}]","{'creators': [{'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 3}], 'files': [{'uri': '759.png', 'type': 'image/png'}]}",1,2YfbFHdrDEzvQFsqYw5RytdVoYwoD5vg3U9scxYF5tSW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
6,HQkZzbBXHr6dskoXdAZALwaiMNTX4BPtC3wg1tuHcBtN,5.439,8PNA3ey56ogaEiFZ36WuWo5e8kK9U3gjrJkdQKgZMZbB,FvTgBqpzn3PD58ESWNrGzjy88xxmvAZSaNj3LFsKSCAd,rarikeys,SolRarity - Rarikeys,https://arweave.net/QKT4HaTo7VT7aWF004KxiT-sAIbJD66EvRMC7NAQpwE?ext=png,Rarikey #1287,"2,600 unique Rarikeys allowing you to be part of SolRarity journey in the Solana ecosystem. Hold these precious keys to unlock access to premium tools and more...","[{'address': '53EmnGdMxnmNcaPUE6wJ2NHz6iUVpge4a7RViTdfb8Dq', 'verified': 1, 'share': 0}, {'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'verified': 0, 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 3}]",500,HPhwpsBorGWWi1j3aADEz7axqx9SnqpVnKqe3onmBczU,"[{'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Wood'}, {'trait_type': 'Button', 'value': 'Black'}, {'trait_type': 'Pendant', 'value': 'Silver Monkey'}, {'trait_type': 'Screen', 'value': 'Wen SolRarity'}, {'trait_type': 'Swivel', 'value': 'Copper'}]","{'creators': [{'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 3}], 'files': [{'uri': '1187.png', 'type': 'image/png'}]}",1,2YfbFHdrDEzvQFsqYw5RytdVoYwoD5vg3U9scxYF5tSW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
7,2oxr1UuNyFVUE3U1f5XSdn1cfsLRfbSxsN8eBBD6GCJb,5.445,rNMERZWCZu7t3Ped6on4jJ1VvHdMvR4e3fjMq62jrVv,BHNpkpA95bxC7GBnYc2oNeNEZEbwo5aqodDXpb5ZWTUJ,rarikeys,SolRarity - Rarikeys,https://arweave.net/o8-lh5HRdMVdh08sRDQZ4oC4EC2waJne4zgXWtSY3CY?ext=png,Rarikey #1489,"2,600 unique Rarikeys allowing you to be part of SolRarity journey in the Solana ecosystem. Hold these precious keys to unlock access to premium tools and more...","[{'address': '53EmnGdMxnmNcaPUE6wJ2NHz6iUVpge4a7RViTdfb8Dq', 'verified': 1, 'share': 0}, {'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'verified': 0, 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 3}]",500,EgXvmwHC2GbRUQpzoJ2fnBr4Z8UpufyThrqjiWutdW9Z,"[{'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Button', 'value': 'Silver'}, {'trait_type': 'Pendant', 'value': 'Silver Monkey'}, {'trait_type': 'Screen', 'value': 'Floor is Lava'}, {'trait_type': 'Swivel', 'value': 'Fabric'}]","{'creators': [{'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 3}], 'files': [{'uri': '1389.png', 'type': 'image/png'}]}",1,2YfbFHdrDEzvQFsqYw5RytdVoYwoD5vg3U9scxYF5tSW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
8,QD84EnpcApspcQ6gJHESJpYMkcTfL7oeLNsgSahWv5r,5.485,HmG1pDAGGF5h5iPv3MbU2pp5mPRTDc2mH6CYC83XBkdk,8qEQY6Pz3dcip5pu77z1z6JPSCGcquoNad2uc6jEAbE5,rarikeys,SolRarity - Rarikeys,https://arweave.net/Hv6-JxQBqMFWcMm3dkrDfbVofwkroowFdanSpqIT5yM?ext=png,Rarikey #181,"2,600 unique Rarikeys allowing you to be part of SolRarity journey in the Solana ecosystem. Hold these precious keys to unlock access to premium tools and more...","[{'address': '53EmnGdMxnmNcaPUE6wJ2NHz6iUVpge4a7RViTdfb8Dq', 'verified': 1, 'share': 0}, {'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'verified': 0, 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 3}]",500,3p4ZNsD9dSyNqJboHKkGS3E5KoT3j8TiSQvnMABcAoF2,"[{'trait_type': 'Accessory', 'value': 'Solana'}, {'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Button', 'value': 'Marble'}, {'trait_type': 'Pendant', 'value': 'Heart'}, {'trait_type': 'Screen', 'value': 'Wen SolRarity'}, {'trait_type': 'Swivel', 'value': 'Wood'}]","{'creators': [{'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 3}], 'files': [{'uri': '81.png', 'type': 'image/png'}]}",1,2YfbFHdrDEzvQFsqYw5RytdVoYwoD5vg3U9scxYF5tSW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
9,6Yxa65z6ksUSJsv6EfTfzQRf9tJcMPKnnyLw4HCVM1Mm,5.5,5LpGLyxfGywZji6ZkZ6wg6vDDAUqPjjFvedTb5kB2xKo,GXvCE5f4RfyaQHnU5GVY4Cy9vF2UUgsp5K5UUQtypJVM,rarikeys,SolRarity - Rarikeys,https://arweave.net/zcwByww4KpjRltgZui2U2_DIpkMPAgnkjGb8SmkS7Jw?ext=png,Rarikey #2562,"2,600 unique Rarikeys allowing you to be part of SolRarity journey in the Solana ecosystem. Hold these precious keys to unlock access to premium tools and more...","[{'address': '53EmnGdMxnmNcaPUE6wJ2NHz6iUVpge4a7RViTdfb8Dq', 'verified': 1, 'share': 0}, {'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'verified': 0, 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 3}]",500,BfszwKy91x9pvFmWVsR4ABchTYFgaP77jRUotZMAo5Md,"[{'trait_type': 'Accessory', 'value': 'None'}, {'trait_type': 'Background', 'value': 'Tatami'}, {'trait_type': 'Button', 'value': 'Marble'}, {'trait_type': 'Pendant', 'value': 'None'}, {'trait_type': 'Screen', 'value': 'Floor is Lava'}, {'trait_type': 'Swivel', 'value': 'Ruby'}]","{'creators': [{'address': 'Bqdt8ASthyhfawEiqfBFF2vtSdr6QPyWzsX16yFNAqz6', 'share': 97}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 3}], 'files': [{'uri': '2462.png', 'type': 'image/png'}]}",1,2YfbFHdrDEzvQFsqYw5RytdVoYwoD5vg3U9scxYF5tSW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
