,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,7jFqhud6CxivMLNp9Y2kt4AWcgmWcqHGPjCHiUpWWVpM,0.839,DbqeJ8hv2VTmUiyFD1q9HjHyVFYUKL7V6fMNH7wLc1bx,71DNPRHtftFZhQahFQjqJEb5p9vm4rjjz1LLzsCFgU5u,robo_cocks,Robo Cocks,https://www.arweave.net/E3AugKbXtD2mmgCw2CLAA8HGFqmnZZASZAFmJrjCYXk?ext=png,RC_1313,"3,838 mecha-roosters coming together to form the Robo Cock coop, after years of conflict, joining forces to take over the Solana blockchain. United, they bring the fight to the monstrous beings inhabiting the Solana blockchain.",https://www.robocock.io/,image,"[{'address': '2AyjKNJPopTcE8nx1bnCXG8VRsKu8Ec5EuaJqZvE6yhP', 'verified': 1, 'share': 0}, {'address': '21cNoNAMCXXyYaczoYieSLVPtVir2fFb3xamnQNAQZ96', 'verified': 0, 'share': 100}]",700,Hwe7mXDACJyttomGpC34K535sJB2pCYjK3DwJxNsM4tZ,"[{'trait_type': 'Background', 'value': 'Sand'}, {'trait_type': 'Back Attachments', 'value': 'SABER_P1NK'}, {'trait_type': 'Head', 'value': 'HU_CHI3F'}, {'trait_type': 'Suit', 'value': 'ST_S4T'}, {'trait_type': 'Crown', 'value': 'CR_CHI3F'}, {'trait_type': 'Eye', 'value': 'EYE_P3AK'}, {'trait_type': 'Beak', 'value': 'BK_EMPER0R'}, {'trait_type': 'Wattle', 'value': 'WT_ST0RM'}, {'trait_type': 'Drone', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'Invidia'}]","{'files': [{'uri': 'https://www.arweave.net/E3AugKbXtD2mmgCw2CLAA8HGFqmnZZASZAFmJrjCYXk?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HSxy3vBPUzyzJAaG8PXXD8RZGU6Ge1aMnFAAq24yvB6m', 'share': 100}]}",1,7FvS9S7frNaWwZaUoRPzJBBcX13Z6HP5h3AqoVPAn1dk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1825}}
1,EHvyfPfezHPnfE7c6WiHhxrLaaq7f19iGmxSUF8iDc24,0.84,6WvTfrX3Z3iuiTKCU6xjqQ4WeZr7P9QWHLhuZhQRKFfu,D4fNoKtZWZ93JNdz2LokxGFERvKf9nw3A6Z3mS2wNsqf,robo_cocks,Robo Cocks,https://www.arweave.net/Nm8_jXjgdQulOz5zanTk_n6JuMqVAzIKhJIx-dVTyMQ?ext=png,RC_2948,"3,838 mecha-roosters coming together to form the Robo Cock coop, after years of conflict, joining forces to take over the Solana blockchain. United, they bring the fight to the monstrous beings inhabiting the Solana blockchain.",https://www.robocock.io/,image,"[{'address': '2AyjKNJPopTcE8nx1bnCXG8VRsKu8Ec5EuaJqZvE6yhP', 'verified': 1, 'share': 0}, {'address': '21cNoNAMCXXyYaczoYieSLVPtVir2fFb3xamnQNAQZ96', 'verified': 0, 'share': 100}]",700,7a6VgV88iLc3aVc3Q6xTRP22BBxGBgaFfh1hJFkWF58V,"[{'trait_type': 'Background', 'value': 'Sand'}, {'trait_type': 'Back Attachments', 'value': 'None'}, {'trait_type': 'Head', 'value': 'HU_BL4DE'}, {'trait_type': 'Suit', 'value': 'ST_CHI3F'}, {'trait_type': 'Crown', 'value': 'CR_S4T'}, {'trait_type': 'Eye', 'value': 'EYE_CR1T'}, {'trait_type': 'Beak', 'value': 'BK_EMPER0R'}, {'trait_type': 'Wattle', 'value': 'WT_ST0RM'}, {'trait_type': 'Drone', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'Virtus'}]","{'files': [{'uri': 'https://www.arweave.net/Nm8_jXjgdQulOz5zanTk_n6JuMqVAzIKhJIx-dVTyMQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HSxy3vBPUzyzJAaG8PXXD8RZGU6Ge1aMnFAAq24yvB6m', 'share': 100}]}",1,7FvS9S7frNaWwZaUoRPzJBBcX13Z6HP5h3AqoVPAn1dk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1510}}
2,9cMyWAkUpypuJCmpWQEUHMhJVjuraVttmvDbBLM2GCRL,0.85,CePn8UBgd88SQWAugMnGS59i6dSYtHBigkRBwKEA28Fg,5pdJeAwKdM4oePYYw2TJSodnqPVuRLX7NSkB64pSimNd,robo_cocks,Robo Cocks,https://www.arweave.net/BzRAZf5FKxIaX1WELw35XBhHaxYcBYksi41DX4QnZkI?ext=png,RC_3587,"3,838 mecha-roosters coming together to form the Robo Cock coop, after years of conflict, joining forces to take over the Solana blockchain. United, they bring the fight to the monstrous beings inhabiting the Solana blockchain.",https://www.robocock.io/,image,"[{'address': '2AyjKNJPopTcE8nx1bnCXG8VRsKu8Ec5EuaJqZvE6yhP', 'verified': 1, 'share': 0}, {'address': '21cNoNAMCXXyYaczoYieSLVPtVir2fFb3xamnQNAQZ96', 'verified': 0, 'share': 100}]",700,6ASNmaF5S6pcHm4QLnjGovKYG79eA3NvAhruTUkTMuE6,"[{'trait_type': 'Background', 'value': 'Dune'}, {'trait_type': 'Back Attachments', 'value': 'SABER_BLU3'}, {'trait_type': 'Head', 'value': 'HU_R00ST'}, {'trait_type': 'Suit', 'value': 'ST_R00ST'}, {'trait_type': 'Crown', 'value': 'CR_CHI3F'}, {'trait_type': 'Eye', 'value': 'EYE_S4T'}, {'trait_type': 'Beak', 'value': 'BK_S4T'}, {'trait_type': 'Wattle', 'value': 'None'}, {'trait_type': 'Drone', 'value': 'GR4Y_XS'}, {'trait_type': 'Faction', 'value': 'Virtus'}]","{'files': [{'uri': 'https://www.arweave.net/BzRAZf5FKxIaX1WELw35XBhHaxYcBYksi41DX4QnZkI?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HSxy3vBPUzyzJAaG8PXXD8RZGU6Ge1aMnFAAq24yvB6m', 'share': 100}]}",1,7FvS9S7frNaWwZaUoRPzJBBcX13Z6HP5h3AqoVPAn1dk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1554}}
3,CMm4ptBnKgEuYoQ8JfiHbtMYdxqGG3Ad3Nimm6Cr8u6Z,0.85,E8vQyXwkcF4rCWKJUJKv17SjA1S8hc7JrzpkhPRVBpFQ,5pdJeAwKdM4oePYYw2TJSodnqPVuRLX7NSkB64pSimNd,robo_cocks,Robo Cocks,https://www.arweave.net/nFPZCxjQyrCAlHHl6A88dCpSaqKWSdsArBYxH1zkfeQ?ext=png,RC_3439,"3,838 mecha-roosters coming together to form the Robo Cock coop, after years of conflict, joining forces to take over the Solana blockchain. United, they bring the fight to the monstrous beings inhabiting the Solana blockchain.",https://www.robocock.io/,image,"[{'address': '2AyjKNJPopTcE8nx1bnCXG8VRsKu8Ec5EuaJqZvE6yhP', 'verified': 1, 'share': 0}, {'address': '21cNoNAMCXXyYaczoYieSLVPtVir2fFb3xamnQNAQZ96', 'verified': 0, 'share': 100}]",700,FB5oFDr7TX2U7NLuTKKij1y1aUjYz1V6brHY9p3aL8sh,"[{'trait_type': 'Background', 'value': 'Glitch'}, {'trait_type': 'Back Attachments', 'value': 'None'}, {'trait_type': 'Head', 'value': 'HU_BE4M'}, {'trait_type': 'Suit', 'value': 'ST_BE4M'}, {'trait_type': 'Crown', 'value': 'CR_P3AK'}, {'trait_type': 'Eye', 'value': 'EYE_S4T'}, {'trait_type': 'Beak', 'value': 'BK_S4T'}, {'trait_type': 'Wattle', 'value': 'None'}, {'trait_type': 'Drone', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'Virtus'}]","{'files': [{'uri': 'https://www.arweave.net/nFPZCxjQyrCAlHHl6A88dCpSaqKWSdsArBYxH1zkfeQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HSxy3vBPUzyzJAaG8PXXD8RZGU6Ge1aMnFAAq24yvB6m', 'share': 100}]}",1,7FvS9S7frNaWwZaUoRPzJBBcX13Z6HP5h3AqoVPAn1dk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3563}}
4,dq1VF8gwF17Mrwu3Zb2rs9Da64dR7e3DsVv7wVYjXmV,0.85,hJa3XPtqwqwagMyRt77GahEo68Gqy3gcwD2SyWGa9rr,F1fNu522Sq3XBVxPhhcpCS456iDQSf188ThDHmZ5HUbw,robo_cocks,Robo Cocks,https://www.arweave.net/8cYvMeVNZNIGLrObYZiymTn1eMa2FrbNwjCFds4HO_M?ext=png,RC_3365,"3,838 mecha-roosters coming together to form the Robo Cock coop, after years of conflict, joining forces to take over the Solana blockchain. United, they bring the fight to the monstrous beings inhabiting the Solana blockchain.",https://www.robocock.io/,image,"[{'address': '2AyjKNJPopTcE8nx1bnCXG8VRsKu8Ec5EuaJqZvE6yhP', 'verified': 1, 'share': 0}, {'address': '21cNoNAMCXXyYaczoYieSLVPtVir2fFb3xamnQNAQZ96', 'verified': 0, 'share': 100}]",700,GBwDQMKQ9VHoVA5V7kJJt6u3PGAgJTxKYJscwYzaYohe,"[{'trait_type': 'Background', 'value': 'Earth'}, {'trait_type': 'Back Attachments', 'value': 'L_SW0RD'}, {'trait_type': 'Head', 'value': 'HU_CR1T'}, {'trait_type': 'Suit', 'value': 'ST_S4T'}, {'trait_type': 'Crown', 'value': 'CR_S4T'}, {'trait_type': 'Eye', 'value': 'EYE_R00ST'}, {'trait_type': 'Beak', 'value': 'BK_CHI3F'}, {'trait_type': 'Wattle', 'value': 'None'}, {'trait_type': 'Drone', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'Virtus'}]","{'files': [{'uri': 'https://www.arweave.net/8cYvMeVNZNIGLrObYZiymTn1eMa2FrbNwjCFds4HO_M?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HSxy3vBPUzyzJAaG8PXXD8RZGU6Ge1aMnFAAq24yvB6m', 'share': 100}]}",1,7FvS9S7frNaWwZaUoRPzJBBcX13Z6HP5h3AqoVPAn1dk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2746}}
5,B3kbWyEJKpsamLdz6oUWmLa6bsmwiyDk6x7JJW1KpxcW,0.85,E6DifwxhtTKKjCFRpEETYqP6ZXNfek9V3SXXsNSMa1Nj,F1fNu522Sq3XBVxPhhcpCS456iDQSf188ThDHmZ5HUbw,robo_cocks,Robo Cocks,https://www.arweave.net/oKjDWgKjLnXDCdlYVjcKHlrft5lN6Phc4uOF5eACtsk?ext=png,RC_2027,"3,838 mecha-roosters coming together to form the Robo Cock coop, after years of conflict, joining forces to take over the Solana blockchain. United, they bring the fight to the monstrous beings inhabiting the Solana blockchain.",https://www.robocock.io/,image,"[{'address': '2AyjKNJPopTcE8nx1bnCXG8VRsKu8Ec5EuaJqZvE6yhP', 'verified': 1, 'share': 0}, {'address': '21cNoNAMCXXyYaczoYieSLVPtVir2fFb3xamnQNAQZ96', 'verified': 0, 'share': 100}]",700,5HCLTA7jpuD9Yo6yPgTjokzkkM6xPucDwL1t2zXQ3gyk,"[{'trait_type': 'Background', 'value': 'Earth'}, {'trait_type': 'Back Attachments', 'value': 'None'}, {'trait_type': 'Head', 'value': 'HU_BE4M'}, {'trait_type': 'Suit', 'value': 'ST_CHI3F'}, {'trait_type': 'Crown', 'value': 'CR_S4T'}, {'trait_type': 'Eye', 'value': 'EYE_ST0RM'}, {'trait_type': 'Beak', 'value': 'BK_S4T'}, {'trait_type': 'Wattle', 'value': 'None'}, {'trait_type': 'Drone', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'Virtus'}]","{'files': [{'uri': 'https://www.arweave.net/oKjDWgKjLnXDCdlYVjcKHlrft5lN6Phc4uOF5eACtsk?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HSxy3vBPUzyzJAaG8PXXD8RZGU6Ge1aMnFAAq24yvB6m', 'share': 100}]}",1,7FvS9S7frNaWwZaUoRPzJBBcX13Z6HP5h3AqoVPAn1dk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3565}}
6,HoKxBQHP1wBF1dnpwS6kLCot3s8u5RUHnin1dMXRn2pw,0.85,H2vuRWu9vspCjEHbQEzaKZ3AK5736tKdTZ62Vku6aUNB,F1fNu522Sq3XBVxPhhcpCS456iDQSf188ThDHmZ5HUbw,robo_cocks,Robo Cocks,https://www.arweave.net/3MAXGfKXS96AXez2OsCihoXvnkw8LuyzhE6WkL3UB08?ext=png,RC_1045,"3,838 mecha-roosters coming together to form the Robo Cock coop, after years of conflict, joining forces to take over the Solana blockchain. United, they bring the fight to the monstrous beings inhabiting the Solana blockchain.",https://www.robocock.io/,image,"[{'address': '2AyjKNJPopTcE8nx1bnCXG8VRsKu8Ec5EuaJqZvE6yhP', 'verified': 1, 'share': 0}, {'address': '21cNoNAMCXXyYaczoYieSLVPtVir2fFb3xamnQNAQZ96', 'verified': 0, 'share': 100}]",700,HUTw6EdUTMHXX2tFUvtygPtMPQgJvZeKVoZJavzhzmAe,"[{'trait_type': 'Background', 'value': 'Earth'}, {'trait_type': 'Back Attachments', 'value': 'None'}, {'trait_type': 'Head', 'value': 'HU_BE4M'}, {'trait_type': 'Suit', 'value': 'ST_SW1FT'}, {'trait_type': 'Crown', 'value': 'CR_S4T'}, {'trait_type': 'Eye', 'value': 'EYE_P3AK'}, {'trait_type': 'Beak', 'value': 'BK_P3AK'}, {'trait_type': 'Wattle', 'value': 'WT_R00ST'}, {'trait_type': 'Drone', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'Invidia'}]","{'files': [{'uri': 'https://www.arweave.net/3MAXGfKXS96AXez2OsCihoXvnkw8LuyzhE6WkL3UB08?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HSxy3vBPUzyzJAaG8PXXD8RZGU6Ge1aMnFAAq24yvB6m', 'share': 100}]}",1,7FvS9S7frNaWwZaUoRPzJBBcX13Z6HP5h3AqoVPAn1dk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2843}}
7,3bw8XHHsnejPeuPg4CPqPWMqfdn58bbMZ4GznKxL9rL7,0.85,DF9ekewXijSNuJ1xi6LdYsHWMRr2jC7XRp6zcX4skiEz,F1fNu522Sq3XBVxPhhcpCS456iDQSf188ThDHmZ5HUbw,robo_cocks,Robo Cocks,https://www.arweave.net/ZxXXGgOYvYv9qPDofWarX2QCKqnyk8OSUYNsDylf094?ext=png,RC_2908,"3,838 mecha-roosters coming together to form the Robo Cock coop, after years of conflict, joining forces to take over the Solana blockchain. United, they bring the fight to the monstrous beings inhabiting the Solana blockchain.",https://www.robocock.io/,image,"[{'address': '2AyjKNJPopTcE8nx1bnCXG8VRsKu8Ec5EuaJqZvE6yhP', 'verified': 1, 'share': 0}, {'address': '21cNoNAMCXXyYaczoYieSLVPtVir2fFb3xamnQNAQZ96', 'verified': 0, 'share': 100}]",700,3vrvfhFgsvY1EJmZZmDAv9Uu8ZYSfxp8cEo44HhXcnAZ,"[{'trait_type': 'Background', 'value': 'Sand'}, {'trait_type': 'Back Attachments', 'value': 'SABER_R3D'}, {'trait_type': 'Head', 'value': 'HU_R00ST'}, {'trait_type': 'Suit', 'value': 'ST_S4T'}, {'trait_type': 'Crown', 'value': 'CR_P3AK'}, {'trait_type': 'Eye', 'value': 'EYE_CHI3F'}, {'trait_type': 'Beak', 'value': 'BK_S4T'}, {'trait_type': 'Wattle', 'value': 'None'}, {'trait_type': 'Drone', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'Virtus'}]","{'files': [{'uri': 'https://www.arweave.net/ZxXXGgOYvYv9qPDofWarX2QCKqnyk8OSUYNsDylf094?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HSxy3vBPUzyzJAaG8PXXD8RZGU6Ge1aMnFAAq24yvB6m', 'share': 100}]}",1,7FvS9S7frNaWwZaUoRPzJBBcX13Z6HP5h3AqoVPAn1dk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3112}}
8,FCcAHuSCVvKwBHybPhD9bq6KM26nJNyb7LREJ7zSWLtP,0.85,GpXRut3pwbU2Sk6qYeDgPK5MX7Ngc8u33zYaG4yPTHVj,F1fNu522Sq3XBVxPhhcpCS456iDQSf188ThDHmZ5HUbw,robo_cocks,Robo Cocks,https://www.arweave.net/IFc2Y2SdzOFQ4oJuMBbAqTqeeIhr3J36ffYxjCoMxp0?ext=png,RC_2212,"3,838 mecha-roosters coming together to form the Robo Cock coop, after years of conflict, joining forces to take over the Solana blockchain. United, they bring the fight to the monstrous beings inhabiting the Solana blockchain.",https://www.robocock.io/,image,"[{'address': '2AyjKNJPopTcE8nx1bnCXG8VRsKu8Ec5EuaJqZvE6yhP', 'verified': 1, 'share': 0}, {'address': '21cNoNAMCXXyYaczoYieSLVPtVir2fFb3xamnQNAQZ96', 'verified': 0, 'share': 100}]",700,9F3yzvZWybKyBzzNcNcAydKUeboaCVDkB7tRZEEGgL18,"[{'trait_type': 'Background', 'value': 'Rhodophyta'}, {'trait_type': 'Back Attachments', 'value': 'None'}, {'trait_type': 'Head', 'value': 'HU_S4T'}, {'trait_type': 'Suit', 'value': 'ST_S4T'}, {'trait_type': 'Crown', 'value': 'CR_R00ST'}, {'trait_type': 'Eye', 'value': 'EYE_R00ST'}, {'trait_type': 'Beak', 'value': 'BK_R00ST'}, {'trait_type': 'Wattle', 'value': 'None'}, {'trait_type': 'Drone', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'Virtus'}]","{'files': [{'uri': 'https://www.arweave.net/IFc2Y2SdzOFQ4oJuMBbAqTqeeIhr3J36ffYxjCoMxp0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HSxy3vBPUzyzJAaG8PXXD8RZGU6Ge1aMnFAAq24yvB6m', 'share': 100}]}",1,7FvS9S7frNaWwZaUoRPzJBBcX13Z6HP5h3AqoVPAn1dk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3824}}
9,5zVWtgtp1re1t8Cbc48SxstqbnviEhdUVaQkUfdAoRBa,0.85,kVbB8gvTDC94pcuMtMCx3aYXYcLi3AnN3gyhinc5pJx,F1fNu522Sq3XBVxPhhcpCS456iDQSf188ThDHmZ5HUbw,robo_cocks,Robo Cocks,https://www.arweave.net/X7UtxdC2IQRf-f4slflWmPsSqHeERJrOccJsJQMa3NI?ext=png,RC_1244,"3,838 mecha-roosters coming together to form the Robo Cock coop, after years of conflict, joining forces to take over the Solana blockchain. United, they bring the fight to the monstrous beings inhabiting the Solana blockchain.",https://www.robocock.io/,image,"[{'address': '2AyjKNJPopTcE8nx1bnCXG8VRsKu8Ec5EuaJqZvE6yhP', 'verified': 1, 'share': 0}, {'address': '21cNoNAMCXXyYaczoYieSLVPtVir2fFb3xamnQNAQZ96', 'verified': 0, 'share': 100}]",700,CbHWcN4TPnwK4jTgeVwrVYamhpaE8Syjp5K3PDBKhm1i,"[{'trait_type': 'Background', 'value': 'Dune'}, {'trait_type': 'Back Attachments', 'value': 'X_CAL1BUR'}, {'trait_type': 'Head', 'value': 'HU_BE4M'}, {'trait_type': 'Suit', 'value': 'ST_S4T'}, {'trait_type': 'Crown', 'value': 'CR_S4T'}, {'trait_type': 'Eye', 'value': 'EYE_BE4M'}, {'trait_type': 'Beak', 'value': 'BK_R00ST'}, {'trait_type': 'Wattle', 'value': 'WT_ST0RM'}, {'trait_type': 'Drone', 'value': 'None'}, {'trait_type': 'Faction', 'value': 'Invidia'}]","{'files': [{'uri': 'https://www.arweave.net/X7UtxdC2IQRf-f4slflWmPsSqHeERJrOccJsJQMa3NI?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'HSxy3vBPUzyzJAaG8PXXD8RZGU6Ge1aMnFAAq24yvB6m', 'share': 100}]}",1,7FvS9S7frNaWwZaUoRPzJBBcX13Z6HP5h3AqoVPAn1dk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1792}}
