,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,5DhMWXJbaiF7dkk6hHp7siTtBtBtbTyftozRxGDA41aE,10.88,77vaBBA13eDp5qiGbYUjymAtFRWZSzZoQJNvAFKMw5n,4nCYp5cyaydgokYnHL7yTYtjyApsfSkgLFvcYdu1zZBT,sea_shanties,Sea Shanties,https://arweave.net/IA2e6xxzx7IEhL77kHF3gZuSw0VYn_eb78ZCBz-NnVw,Sea Shanties #334,The first Underwater Metaverse on the Solana Blockchain,image,"[{'address': '6CjUgT4zYdjEnXeL2YRxBr8BE1Na5nUZBt1WLxE3T9nB', 'verified': 1, 'share': 0}, {'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR', 'verified': 0, 'share': 100}]",800,4KZitKLdjkiDbKXrAEksrGtc7TA4tFibHL8YKFfgBYCH,"[{'trait_type': 'Trait 3', 'value': 'Green Window'}, {'trait_type': 'Door', 'value': 'Steel'}, {'trait_type': 'Roof', 'value': 'Siren'}, {'trait_type': 'Trait 1', 'value': 'Drainage Pipe'}, {'trait_type': 'Background ', 'value': 'Outskirts'}, {'trait_type': 'Trait 2', 'value': 'None'}, {'trait_type': 'Base', 'value': 'Fancy Bucket'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/IA2e6xxzx7IEhL77kHF3gZuSw0VYn_eb78ZCBz-NnVw'}], 'category': 'image', 'creators': [{'share': 100, 'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR'}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1835}}
1,GdBbHiq4Sut5DFQ2egjorbBq9t6YwhMTrSwsLVT6Hahx,10.99,CftVQ2WBDutyZgKdkQGznKqiAo2iYcJ4gx3Wx4JAf4ni,8KQuEcowbnUE7Aabi2o7CEokgnbLfcGAY2X2URehRUTm,sea_shanties,Sea Shanties,https://arweave.net/UUTD14PFO7Q8ttYEgTeDRzaH1B1hIaV2yMWf9OGO0OY,Sea Shanties #797,The first Underwater Metaverse on the Solana Blockchain,image,"[{'address': '6CjUgT4zYdjEnXeL2YRxBr8BE1Na5nUZBt1WLxE3T9nB', 'verified': 1, 'share': 0}, {'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR', 'verified': 0, 'share': 100}]",800,8Djdbjbu5hVFvDNqtRvL1gdTrpmS4siBzPdoxagRabUw,"[{'trait_type': 'Trait 1', 'value': 'Window'}, {'trait_type': 'Trait 2', 'value': 'None'}, {'trait_type': 'Base', 'value': 'Toxic Waste Site'}, {'trait_type': 'Door', 'value': 'Hatch'}, {'trait_type': 'Background ', 'value': 'Go to Shill City'}, {'trait_type': 'Roof', 'value': 'Vent'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/UUTD14PFO7Q8ttYEgTeDRzaH1B1hIaV2yMWf9OGO0OY'}], 'category': 'image', 'creators': [{'share': 100, 'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR'}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3027}}
2,CPmU8i5YbNzWKQgYmbghM5QEaTFZLBjJqGbWgTMruQoB,11.0,9eNxaM8JNpu3JaEPJD5YcW2PwGM6qfAoc8RskprEyoxR,J1eQouur4vEokmgMtUuWJZGYzUhxDDrtXKuFmdKouriM,sea_shanties,Sea Shanties,https://arweave.net/Ix1JSlY06zfuEcfJG9ALVJWFarEmjqqTMDd2FYh8e-0,Sea Shanties #161,The first Underwater Metaverse on the Solana Blockchain,image,"[{'address': '6CjUgT4zYdjEnXeL2YRxBr8BE1Na5nUZBt1WLxE3T9nB', 'verified': 1, 'share': 0}, {'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR', 'verified': 0, 'share': 100}]",800,5uuv5RdS66JEydJynKjThKsuwmhvjicB3YsxP4siMmot,"[{'trait_type': 'Trait 3', 'value': 'None'}, {'trait_type': 'Trait 1', 'value': 'Drainage Pipe'}, {'trait_type': 'Roof', 'value': 'Steel Chimney'}, {'trait_type': 'Trait 2', 'value': 'Glowing Window'}, {'trait_type': 'Door', 'value': 'Hatch'}, {'trait_type': 'Background ', 'value': 'Go to Shill City'}, {'trait_type': 'Base', 'value': 'Bucket'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/Ix1JSlY06zfuEcfJG9ALVJWFarEmjqqTMDd2FYh8e-0'}], 'category': 'image', 'creators': [{'share': 100, 'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR'}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 672}}
3,3RF3aXeQE2NfpLhkLoGuvUdTcaZ2dPokVrQJhMdvb6vk,11.0,H3qxox2RcZnvNu9NP6nexsSrHZCvf3KyocLPr77b8n2C,DG4jtPL3YQzeZmBRn3Cd3f14ck3GZMnHjEdJrF7t7Pit,sea_shanties,Sea Shanties,https://arweave.net/3blejriz2-zSy_BtohTJBeaLehIx2TPyFXobVN3NPRI,Sea Shanties #373,The first Underwater Metaverse on the Solana Blockchain,image,"[{'address': '6CjUgT4zYdjEnXeL2YRxBr8BE1Na5nUZBt1WLxE3T9nB', 'verified': 1, 'share': 0}, {'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR', 'verified': 0, 'share': 100}]",800,8XJ2H5anps7S7qmhtZfFrQNhRqwKdCXbAn78Rs6vPw78,"[{'trait_type': 'Trait 2', 'value': 'None'}, {'trait_type': 'Background ', 'value': 'Go to Shill City'}, {'trait_type': 'Roof', 'value': 'Telescope'}, {'trait_type': 'Trait 1', 'value': 'Skylight'}, {'trait_type': 'Base', 'value': 'Reinforced Trap House'}, {'trait_type': 'Door', 'value': 'Wood'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/3blejriz2-zSy_BtohTJBeaLehIx2TPyFXobVN3NPRI'}], 'category': 'image', 'creators': [{'share': 100, 'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR'}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2703}}
4,9Fo1wAe5kKM2y1T9rZ8BeKDdxaeYLjFFjfrfLfduQup4,11.0,A6GgVgE2gFDc55AXvHcCL3eNMWgzgZqfrtC4Vy6LnxUp,Dq7KRHkeN8qK6uJDzgndj56oga7YHNY861DbR2vkxjCZ,sea_shanties,Sea Shanties,https://arweave.net/zzHa2L7NBRpzGRJuGqNVoDK4y5TcwKDxT9EE3HBsY78,Sea Shanties #288,The first Underwater Metaverse on the Solana Blockchain,image,"[{'address': '6CjUgT4zYdjEnXeL2YRxBr8BE1Na5nUZBt1WLxE3T9nB', 'verified': 1, 'share': 0}, {'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR', 'verified': 0, 'share': 100}]",800,CXf6ruYQVNBBSha6VB1TmAY66CoHMVi1RZBfsLCHv2jC,"[{'trait_type': 'Base', 'value': 'Fancy Bucket'}, {'trait_type': 'Trait 2', 'value': 'Glowing Window'}, {'trait_type': 'Trait 3', 'value': 'None'}, {'trait_type': 'Background ', 'value': 'Go to Shill City'}, {'trait_type': 'Roof', 'value': 'Steel Chimney'}, {'trait_type': 'Trait 1', 'value': 'Drainage Pipe'}, {'trait_type': 'Door', 'value': 'Watcher'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/zzHa2L7NBRpzGRJuGqNVoDK4y5TcwKDxT9EE3HBsY78'}], 'category': 'image', 'creators': [{'share': 100, 'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR'}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 523}}
5,CJBvZzy9eXgsJAQQxTiHwyCW88J5nVtAxEiyGkka5LZ1,11.5,7z28kuk1r4SZjRcWRDuzjJuASpj2VkYp2Lq9VoksXRWF,2EKayEspNwbBhTLK7Dsinse5CCx33uUnzxVfND3LxNnz,sea_shanties,Sea Shanties,https://arweave.net/B7BZPp9AuwyOsjd0oKslxO5JOi8P9e0BrzmWBdVgZCo,Sea Shanties #2842,The first Underwater Metaverse on the Solana Blockchain,image,"[{'address': '6CjUgT4zYdjEnXeL2YRxBr8BE1Na5nUZBt1WLxE3T9nB', 'verified': 1, 'share': 0}, {'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR', 'verified': 0, 'share': 100}]",800,H8aSCdRCAU6F7biBDreuXCetuqxhBXwGeV2JxZgba5HY,"[{'trait_type': 'Chest Trait 2', 'value': 'Barred Window'}, {'trait_type': 'Chest Trait 1', 'value': 'Black Jack'}, {'trait_type': 'Roof', 'value': 'Telescope'}, {'trait_type': 'Background', 'value': 'Shill City Ghetto'}, {'trait_type': 'Base', 'value': 'Chest'}, {'trait_type': 'Door', 'value': 'Fine'}, {'trait_type': 'Chest Trait 3', 'value': 'Blue Window'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/B7BZPp9AuwyOsjd0oKslxO5JOi8P9e0BrzmWBdVgZCo'}], 'category': 'image', 'creators': [{'share': 100, 'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR'}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 659}}
6,4jfDzrUm1wtJo8RxJLJG4G6QQpscbNkwgzXaYXQjpjt8,11.99,B1pTUxcFdfZBfuakeiUmeJSLRP6aPyt96CAgGMfp9e3o,4xkfjg9bkGM1Q6jjYr9cpeDUrDhi4KUafSNmTKXWRHFx,sea_shanties,Sea Shanties,https://arweave.net/GZlX7eE9XXXpEcIHL-WPTBSdStp94L1PEQan3NM6GKQ,Sea Shanties #2230,The first Underwater Metaverse on the Solana Blockchain,image,"[{'address': '6CjUgT4zYdjEnXeL2YRxBr8BE1Na5nUZBt1WLxE3T9nB', 'verified': 1, 'share': 0}, {'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR', 'verified': 0, 'share': 100}]",800,GBzNLFbVzwqbL27PDNzGg7vRuS6XpygpMMnjcwVcf992,"[{'trait_type': 'Trait 1', 'value': 'None'}, {'trait_type': 'Trait 3', 'value': 'Green Light'}, {'trait_type': 'Background', 'value': 'Shill City Metro'}, {'trait_type': 'Roof', 'value': 'Telescope'}, {'trait_type': 'Trait 2', 'value': 'Chimney'}, {'trait_type': 'Door', 'value': 'Bubble'}, {'trait_type': 'Base', 'value': 'Submarine Watchtower'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/GZlX7eE9XXXpEcIHL-WPTBSdStp94L1PEQan3NM6GKQ'}], 'category': 'image', 'creators': [{'share': 100, 'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR'}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1255}}
7,FbFVp6cRFksvXrfwfv3EA6T29Rg2hNdvM3U7ct5uXdpj,11.999,619xFtSQ2b2c87HpPpD2UNeRQWZQXz89c8jw3Hz59ocK,AGxXTnwvJmM34ikBVLrgFvsU9zU7GFWV4AaodnGV2gnX,sea_shanties,Sea Shanties,https://arweave.net/j0xvtWf7Q8SPDtN7I939SIJBG8YIDrgSiW2MnkLPbko,Sea Shanties #2896,The first Underwater Metaverse on the Solana Blockchain,image,"[{'address': '6CjUgT4zYdjEnXeL2YRxBr8BE1Na5nUZBt1WLxE3T9nB', 'verified': 1, 'share': 0}, {'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR', 'verified': 0, 'share': 100}]",800,G2YqSxYaR1zpjveYmm2ezkVHd7FsaUfbGcDGjom25Ryg,"[{'trait_type': 'Background', 'value': 'Shill City Metro'}, {'trait_type': 'Chest Trait 3', 'value': 'Barred Window'}, {'trait_type': 'Chest Trait 1', 'value': 'Restaurant'}, {'trait_type': 'Door', 'value': 'Steel'}, {'trait_type': 'Roof', 'value': 'Drain Pipe'}, {'trait_type': 'Base', 'value': 'Chest 2'}, {'trait_type': 'Chest Trait 2', 'value': 'Pub Window'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/j0xvtWf7Q8SPDtN7I939SIJBG8YIDrgSiW2MnkLPbko'}], 'category': 'image', 'creators': [{'share': 100, 'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR'}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 607}}
8,H7YASdbviiejRvByKpjrJhrUHMCfSDkiZYmccY4aY5ww,12.0,2kksJADNbWDEpqegrLMNPNkJMA5THPseSVkEiVUJs9HG,HSEfzitJhoWErBGXwT3N5uF5BQRNFKgpckyR8EYGeVC9,sea_shanties,Sea Shanties,https://arweave.net/N9Yhj6svcOSHgO1rhlXc9ZWzK0u6zqQCG6Kh-N7VXhw,Sea Shanties #850,The first Underwater Metaverse on the Solana Blockchain,image,"[{'address': '6CjUgT4zYdjEnXeL2YRxBr8BE1Na5nUZBt1WLxE3T9nB', 'verified': 1, 'share': 0}, {'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR', 'verified': 0, 'share': 100}]",800,B5rswcnpvotTWRxYxheVkS4chmSCjzfjCp2W2nNFWk5J,"[{'trait_type': 'Door', 'value': 'Steel'}, {'trait_type': 'Trait 2', 'value': 'Glowing Light'}, {'trait_type': 'Base', 'value': 'Crushed Toxic Waste Barrel'}, {'trait_type': 'Roof', 'value': 'None'}, {'trait_type': 'Trait 1', 'value': 'Glowing Light'}, {'trait_type': 'Background ', 'value': 'Go to Shill City'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/N9Yhj6svcOSHgO1rhlXc9ZWzK0u6zqQCG6Kh-N7VXhw'}], 'category': 'image', 'creators': [{'share': 100, 'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR'}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2977}}
9,EVL3ByYSVhvvpJYmthukbwa8qZrKrGjjk8HK43vSgJoo,12.0,FanpX5z956XSzf5vEY9mic6NKRMMVnREjiFJMn5BMfxq,3Czdvgnpc7jWB9yWJiSdmz1breL2kmsYeHHU5xLYjrY2,sea_shanties,Sea Shanties,https://arweave.net/PbMjaDiA_vinHwc2rWpm3gDVa1KUjq-ySSI5_zuzE1I,Sea Shanties #406,The first Underwater Metaverse on the Solana Blockchain,image,"[{'address': '6CjUgT4zYdjEnXeL2YRxBr8BE1Na5nUZBt1WLxE3T9nB', 'verified': 1, 'share': 0}, {'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR', 'verified': 0, 'share': 100}]",800,5iYXWnwR7TjLt3adwWr9Lo95YA84p59VWmW9mXdKgk9M,"[{'trait_type': 'Trait 2', 'value': 'Plumbing'}, {'trait_type': 'Base', 'value': 'Trap House'}, {'trait_type': 'Background ', 'value': 'Outskirts'}, {'trait_type': 'Roof', 'value': 'Telescope'}, {'trait_type': 'Door', 'value': 'Wood'}, {'trait_type': 'Trait 1', 'value': 'None'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/PbMjaDiA_vinHwc2rWpm3gDVa1KUjq-ySSI5_zuzE1I'}], 'category': 'image', 'creators': [{'share': 100, 'address': '994Gi3gWBWPHjxAqH4j43dbrSvnEDGP2erLGYHnjkXMR'}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3115}}
