,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,DzGeb8pfJXeemv8Fm6Y6YTykkuQbgup67wt6TXEwWzt5,4.4,27rvsfiT6xcaPHMGQQQ2rcQRBA98pnb13w4qmtwVXSC5,DpURFfTZW18fpxRbDRNaHLosCn2bVJr4GtopdXWtTiBY,sea_shanties_citizens,Sea Shanties Citizens Gen1,https://bafybeifnpezkp33g7kvgiozr25vk5g6tgutpe4kklzqup4zezr44lp6qwu.ipfs.dweb.link?ext=png,SS Citizen #3964,Shill City Citizens is the Genesis pfp collection of the the Sea Shanties Defi Metaverse. A deflationary collection of 6666 Crime lords fighting for control of the synthesized krill trade. Build your gang and send them on missions through our P2E Gamefied Staking platform.,https://www.shill-city.com/,image,"[{'address': 'ALVNfYrz5GBpmmjGP9evDsa57QAf9YJoawPDaY1BNHqN', 'verified': 1, 'share': 0}, {'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'verified': 0, 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'verified': 0, 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'verified': 0, 'share': 70}]",800,En93nyGNc52pey1WNAYmPrBCsvXjpg2x9rNAe5gqE2NV,"[{'trait_type': 'Background', 'value': 'Spotlight Blue'}, {'trait_type': 'Skin', 'value': 'Blue'}, {'trait_type': 'Hair', 'value': 'Light Headfin'}, {'trait_type': 'Clothes', 'value': 'Krabby'}, {'trait_type': 'Mouths', 'value': 'Gold Tooth'}, {'trait_type': 'Eyes', 'value': 'Shady Coins'}, {'trait_type': 'Angler', 'value': ''}, {'trait_type': 'Pets', 'value': 'None'}]","{'files': [{'uri': '3963.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'share': 70}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 3603}, 'moonrank': {'rank': 6546}}"
1,3gJtvdEdfvshjdhr2i84roYgyDqsGaTGDn25ENCFSctF,4.25,CLXXUCAPyYfgb3cMkbfjguuKdWogZEbmoEne3aW39Zkg,2HPJbkWbe4UzfemHp8WvwQXw7C9E34N8eNWaxDSGQGxM,sea_shanties_citizens,Sea Shanties Citizens Gen1,https://bafybeiaxzqtcv363qtlikrav2d3bdxzzzqv6ljwuszrsn536kgltw3pvzi.ipfs.dweb.link?ext=png,SS Citizen #6531,Shill City Citizens is the Genesis pfp collection of the the Sea Shanties Defi Metaverse. A deflationary collection of 6666 Crime lords fighting for control of the synthesized krill trade. Build your gang and send them on missions through our P2E Gamefied Staking platform.,https://www.shill-city.com/,image,"[{'address': '3R6rrhAWDp4eqqQd7BrQNBZeCfreXjfV69SuCMLVemdG', 'verified': 1, 'share': 0}, {'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'verified': 0, 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'verified': 0, 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'verified': 0, 'share': 70}]",800,H91swdiv5etHz9hTKF2jbpHDMS9FKRr9MF9Rf2GjaAmj,"[{'trait_type': 'Background', 'value': 'Seafoam Cloud'}, {'trait_type': 'Skin', 'value': 'Spotty Blue'}, {'trait_type': 'Hair', 'value': 'Green Toned Hawk'}, {'trait_type': 'Clothes', 'value': 'Admiral'}, {'trait_type': 'Mouths', 'value': 'Buck Tooth'}, {'trait_type': 'Eyes', 'value': 'Diced'}, {'trait_type': 'Angler', 'value': 'Bomb'}, {'trait_type': 'Pets', 'value': 'None'}]","{'files': [{'uri': '14.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'share': 70}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3854}, 'howrare': {'rank': 4262}}"
2,8VHeASe3qX1AzrFZJzpzjc34DTNVvESNbqtbmeHHjKK8,4.3,ALQq6UZYinWdqYoMvNeKvsn33UTBXx175ZYG64m4h7aj,9zRGPTm6ti6Eto3WW6jHGqGXUFBmJNh8ogp2FYmPdEoS,sea_shanties_citizens,Sea Shanties Citizens Gen1,https://bafybeidmfsy2l5ftaynddolbeh5qmuqvb7r55xrhmhdookzxgv4qkss5ei.ipfs.dweb.link?ext=png,SS Citizen #6149,Shill City Citizens is the Genesis pfp collection of the the Sea Shanties Defi Metaverse. A deflationary collection of 6666 Crime lords fighting for control of the synthesized krill trade. Build your gang and send them on missions through our P2E Gamefied Staking platform.,https://www.shill-city.com/,image,"[{'address': 'ALVNfYrz5GBpmmjGP9evDsa57QAf9YJoawPDaY1BNHqN', 'verified': 1, 'share': 0}, {'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'verified': 0, 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'verified': 0, 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'verified': 0, 'share': 70}]",800,6DDH3PPaRasnPdyeBzejDGf4HKPBxoWmWvMeM93o3dEN,"[{'trait_type': 'Triad Background', 'value': 'Cyan'}, {'trait_type': 'Triad Fin', 'value': 'Zombie Blade'}, {'trait_type': 'Triad Body', 'value': 'Yellow Skin'}, {'trait_type': 'Triad Clothes', 'value': 'Fall Out Fish'}, {'trait_type': 'Horns', 'value': 'Flask'}, {'trait_type': 'Triad Eyes', 'value': 'Pink Shades'}, {'trait_type': 'Triad Mouth', 'value': 'Hot Breath'}]","{'files': [{'uri': '6148.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'share': 70}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5501}, 'howrare': {'rank': 4864}}"
3,AhgLLJ7GMmA6aVk7KEgisSpVp6DYvR7KCiRat8r8PTPu,4.3,5uKvzv5sCwcMHUDh4xCfuxoq5LiRzWDHLUDeMp4ck77L,7JAU8vVXUtr5tRi5tGJt6WvuvwsSEDWq4dU9bcNngCVK,sea_shanties_citizens,Sea Shanties Citizens Gen1,https://bafybeifpizemi6bs746jf3czgpsxgaracuwtnx2hokljwrsau3kwsk22wq.ipfs.dweb.link?ext=png,SS Citizen #4361,Shill City Citizens is the Genesis pfp collection of the the Sea Shanties Defi Metaverse. A deflationary collection of 6666 Crime lords fighting for control of the synthesized krill trade. Build your gang and send them on missions through our P2E Gamefied Staking platform.,https://www.shill-city.com/,image,"[{'address': 'ALVNfYrz5GBpmmjGP9evDsa57QAf9YJoawPDaY1BNHqN', 'verified': 1, 'share': 0}, {'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'verified': 0, 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'verified': 0, 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'verified': 0, 'share': 70}]",800,3z8tyJdbpKvCtxTfvFrtds2DtJfbRVo4yDuYoWyhdY1o,"[{'trait_type': 'Triad Background', 'value': 'Lavender'}, {'trait_type': 'Triad Fin', 'value': 'Branch Blade'}, {'trait_type': 'Triad Body', 'value': 'Purple Skin'}, {'trait_type': 'Triad Clothes', 'value': 'Naked'}, {'trait_type': 'Horns', 'value': 'Bone Horns'}, {'trait_type': 'Triad Eyes', 'value': 'Zombie'}, {'trait_type': 'Triad Mouth', 'value': 'Robo Chin'}]","{'files': [{'uri': '4360.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'share': 70}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5979}, 'howrare': {'rank': 5694}}"
4,CGhpL7ECXhDG9gAZr5tqVARp62fppocMjAruzgSDLbBV,4.3,AuqCpMz5HL1hvqXVFXyRN4eJmEmNpNeFvVbRTC3yQsZY,6TRLSgxWhPz5Ep2KDCrQPsEiWD8gDdEtcHFKZ6sKa56r,sea_shanties_citizens,Sea Shanties Citizens Gen1,https://bafybeid3u2dk5xixgvcmjouvvhixk6hyxmvpqh4pzy4wlonjw55m7vob2q.ipfs.dweb.link?ext=png,SS Citizen #4398,Shill City Citizens is the Genesis pfp collection of the the Sea Shanties Defi Metaverse. A deflationary collection of 6666 Crime lords fighting for control of the synthesized krill trade. Build your gang and send them on missions through our P2E Gamefied Staking platform.,https://www.shill-city.com/,image,"[{'address': 'ALVNfYrz5GBpmmjGP9evDsa57QAf9YJoawPDaY1BNHqN', 'verified': 1, 'share': 0}, {'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'verified': 0, 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'verified': 0, 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'verified': 0, 'share': 70}]",800,DKuLZDGBhcMdystbpkSSaE8ekAfibYqZJ5X4b9iobVSK,"[{'trait_type': 'Triad Background', 'value': 'Sea'}, {'trait_type': 'Triad Fin', 'value': 'Turtle Blade'}, {'trait_type': 'Triad Body', 'value': 'Crystal Blue Skin'}, {'trait_type': 'Triad Clothes', 'value': 'Reptilian'}, {'trait_type': 'Horns', 'value': 'Coral Horns'}, {'trait_type': 'Triad Eyes', 'value': 'Spectacles'}, {'trait_type': 'Triad Mouth', 'value': 'Razormouth'}]","{'files': [{'uri': '4397.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'share': 70}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 4358}, 'moonrank': {'rank': 4903}}"
5,4TREdGwTA1bTCYZcL9pR3Y2B8XPYsVkXP6WHmSwNFRjZ,4.3,DMchd1gZbWQ8y2e4Lb2YGHeSLQLZ9VJ9r2orxw4mVw2u,9zpM2fgBGDtP1nYkLfcuj64T68zEthjCugcyGwSe7Zav,sea_shanties_citizens,Sea Shanties Citizens Gen1,https://bafybeie3wi2aqvocrecurnxep7za66heriasp26gni7ymxjeppvkllqh2a.ipfs.dweb.link?ext=png,SS Citizen #4749,Shill City Citizens is the Genesis pfp collection of the the Sea Shanties Defi Metaverse. A deflationary collection of 6666 Crime lords fighting for control of the synthesized krill trade. Build your gang and send them on missions through our P2E Gamefied Staking platform.,https://www.shill-city.com/,image,"[{'address': 'ALVNfYrz5GBpmmjGP9evDsa57QAf9YJoawPDaY1BNHqN', 'verified': 1, 'share': 0}, {'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'verified': 0, 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'verified': 0, 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'verified': 0, 'share': 70}]",800,Hn5rNXn7JZKpxMFsTbwBtzqjFJtvoVUsYyW77Sv2DFDy,"[{'trait_type': 'Triad Background', 'value': 'Orange'}, {'trait_type': 'Triad Fin', 'value': 'Lazer Blade'}, {'trait_type': 'Triad Body', 'value': 'Seafoam Skin'}, {'trait_type': 'Triad Clothes', 'value': 'Robes Of Midas'}, {'trait_type': 'Horns', 'value': 'Flask'}, {'trait_type': 'Triad Eyes', 'value': 'Spectacles'}, {'trait_type': 'Triad Mouth', 'value': 'Checkered'}]","{'files': [{'uri': '4748.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'share': 70}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 2607}, 'moonrank': {'rank': 4344}}"
6,7dYtEGNmQQ7uZPsTbraZd9c6thkqc39cBdGPYFnkaQSC,4.3,6o5mzHmNgbkFpN3Ha7Hys6NkqKAPqUmqMw1a2tgMPHuz,Ek8J9shSQogmiDcbzTEbAjFkWY1YM5tFt5emG8JTkKGX,sea_shanties_citizens,Sea Shanties Citizens Gen1,https://bafybeifyi5rkzqlbd3bi5et233zwjbxgkvhedgnks4so3dnqpssrsssrpi.ipfs.dweb.link?ext=png,SS Citizen #3514,Shill City Citizens is the Genesis pfp collection of the the Sea Shanties Defi Metaverse. A deflationary collection of 6666 Crime lords fighting for control of the synthesized krill trade. Build your gang and send them on missions through our P2E Gamefied Staking platform.,https://www.shill-city.com/,image,"[{'address': 'ALVNfYrz5GBpmmjGP9evDsa57QAf9YJoawPDaY1BNHqN', 'verified': 1, 'share': 0}, {'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'verified': 0, 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'verified': 0, 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'verified': 0, 'share': 70}]",800,53tL1mp4uNghDj2CDi7gp1pQTFyFeAJLVhW3PZtdQ1is,"[{'trait_type': 'Background', 'value': 'Pink Spotlight'}, {'trait_type': 'Skin', 'value': 'Light Blue'}, {'trait_type': 'Hair', 'value': 'Flow'}, {'trait_type': 'Clothes', 'value': 'Admiral'}, {'trait_type': 'Mouths', 'value': 'Smile'}, {'trait_type': 'Eyes', 'value': 'Mellowed'}, {'trait_type': 'Angler', 'value': 'Bomb'}, {'trait_type': 'Pets', 'value': 'None'}]","{'files': [{'uri': '3513.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'share': 70}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3497}, 'howrare': {'rank': 3043}}"
7,FcZ69GVqcBaaBhTN88HH2fMi5F9Hap5dTnE5mnf1H2WN,4.36,93NcfFrttrDb6zFjX2UkKMme72eeYgXsTCynudqnLBuU,4CVSZ75pJC8cuuU4JWuB3QhUw5GWvq369oVku7gdXJsG,sea_shanties_citizens,Sea Shanties Citizens Gen1,https://bafybeidw7coufblpzz5c4bolymdmp7ixu4zxulkwky67i27fwc2misaf4u.ipfs.dweb.link?ext=png,SS Citizen #5493,Shill City Citizens is the Genesis pfp collection of the the Sea Shanties Defi Metaverse. A deflationary collection of 6666 Crime lords fighting for control of the synthesized krill trade. Build your gang and send them on missions through our P2E Gamefied Staking platform.,https://www.shill-city.com/,image,"[{'address': 'ALVNfYrz5GBpmmjGP9evDsa57QAf9YJoawPDaY1BNHqN', 'verified': 1, 'share': 0}, {'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'verified': 0, 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'verified': 0, 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'verified': 0, 'share': 70}]",800,AyyxmoSr1agdWeRC7YSp1BTVdY3kiRXkHg3oVatB8NnH,"[{'trait_type': 'Triad Background', 'value': 'Black'}, {'trait_type': 'Triad Fin', 'value': 'Branch Blade'}, {'trait_type': 'Triad Body', 'value': 'Inferno Skin'}, {'trait_type': 'Triad Clothes', 'value': 'Zombie'}, {'trait_type': 'Horns', 'value': 'Jade Horns'}, {'trait_type': 'Triad Eyes', 'value': 'Subsonic Blue'}, {'trait_type': 'Triad Mouth', 'value': 'Whiskers'}]","{'files': [{'uri': '5492.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'share': 70}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5689}, 'howrare': {'rank': 5233}}"
8,64dVt6NQoLuzigmNCp3XN21VjAaTjxVXc36gPAURiLAg,4.37,2Xejds1LdmFQD6NdYYriewUSGCWNSeBZi4GCu8YcR3HE,4CVSZ75pJC8cuuU4JWuB3QhUw5GWvq369oVku7gdXJsG,sea_shanties_citizens,Sea Shanties Citizens Gen1,https://bafybeichxi6nwrhk4avjaoy77piqyzofsuqgsstdri4hmp3f3coximwkqa.ipfs.dweb.link?ext=png,SS Citizen #366,Shill City Citizens is the Genesis pfp collection of the the Sea Shanties Defi Metaverse. A deflationary collection of 6666 Crime lords fighting for control of the synthesized krill trade. Build your gang and send them on missions through our P2E Gamefied Staking platform.,https://www.shill-city.com/,image,"[{'address': 'ALVNfYrz5GBpmmjGP9evDsa57QAf9YJoawPDaY1BNHqN', 'verified': 1, 'share': 0}, {'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'verified': 0, 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'verified': 0, 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'verified': 0, 'share': 70}]",800,DqVNfvsRtZRFXJtYuahF4W98oqZSknivueDF7dXp27M,"[{'trait_type': 'Merfolk Background', 'value': 'Spotlight Blue'}, {'trait_type': 'Merfolk Fin', 'value': 'Backhawk'}, {'trait_type': 'Merfolk Body', 'value': 'Polkadot Skin'}, {'trait_type': 'Merfolk Clothes', 'value': 'Scavenger'}, {'trait_type': 'Merfolk Hat', 'value': 'Snail'}, {'trait_type': 'Merfolk Mouth', 'value': 'Lips N Teeth'}, {'trait_type': 'Merfolk Eyes', 'value': 'Frog'}, {'trait_type': 'Merfolk Pets:Accesory', 'value': 'Fish'}]","{'files': [{'uri': '365.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'share': 70}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1578}, 'howrare': {'rank': 2958}}"
9,CP5mWeytjREFZ3fnryAHdChasgxcDKoWP3X7HkUJUxAH,4.38,cEswZHiGRAdQAMBjgYzvq2BFPa4goneLXKNUYfyDuwC,4CVSZ75pJC8cuuU4JWuB3QhUw5GWvq369oVku7gdXJsG,sea_shanties_citizens,Sea Shanties Citizens Gen1,https://bafybeihv4t53i2hkrpeke2seey4aeoci744umb4zrdpa65h3rbwwkxd7e4.ipfs.dweb.link?ext=png,SS Citizen #5265,Shill City Citizens is the Genesis pfp collection of the the Sea Shanties Defi Metaverse. A deflationary collection of 6666 Crime lords fighting for control of the synthesized krill trade. Build your gang and send them on missions through our P2E Gamefied Staking platform.,https://www.shill-city.com/,image,"[{'address': 'ALVNfYrz5GBpmmjGP9evDsa57QAf9YJoawPDaY1BNHqN', 'verified': 1, 'share': 0}, {'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'verified': 0, 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'verified': 0, 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'verified': 0, 'share': 70}]",800,FawJZvH5y9eXMtvYecSUM1RTm3nosHJ2tavRd3kV1C7p,"[{'trait_type': 'Triad Background', 'value': 'Pink Spotlight'}, {'trait_type': 'Triad Fin', 'value': 'Branch Blade'}, {'trait_type': 'Triad Body', 'value': 'Swamp Skin'}, {'trait_type': 'Triad Clothes', 'value': 'Zombie'}, {'trait_type': 'Horns', 'value': 'Jade Horns'}, {'trait_type': 'Triad Eyes', 'value': 'Eye Patch'}, {'trait_type': 'Triad Mouth', 'value': 'Razormouth'}]","{'files': [{'uri': '5264.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '13a7efGhVw2X3bKFHDkp6V2bdDSFfM52h75FDQn5XaeF', 'share': 5}, {'address': 'ACDcvPRXWaG5gLgezHShHWRyJKdmqFxpRHCnZ7T71uDb', 'share': 25}, {'address': 'Gu7VPxS8GhcweU6vDVjbcBomAgHuRHrBYpJ5VQsQvea8', 'share': 70}]}",1,4MpjH3ZyU4Hgvds848ApPQXWLRpoVQ3W92EPzpgQexe7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5968}, 'howrare': {'rank': 5651}}"
