,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,ATTr1YuGu1DHbd2iP96LAZxFxBtUQyrMi7Uz6wR6sPAJ,4.7,A7QpG19AfsCLqPDo8wDWoUXdrKmFJ3HPEuK4nXgk2P6i,CNX9SyBpwLeWNT2EyTwBRPu4YD9CcXpeKiyXHvQ5Navp,smokeheads,Smoke Heads,https://www.arweave.net/ZrZieSjDsfDYUQ8qvmMdJ4kI5wa8s1FLKa4qncQjAA0?ext=png,Smoke Heads #2349,"We smoke, ponder, and wonder. We meditate and create. Come meet us up high.",image,"[{'address': 'BYqiPS8eiRuSmTsBcKGts986uMDQDYPY5j1V5Skf7Apc', 'verified': 1, 'share': 0}, {'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'verified': 0, 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'verified': 0, 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'verified': 0, 'share': 50}]",999,5peMcnrvpyP53BtFJtBVyCw9Kg1WBQYFKybWwaKzZVjq,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Body', 'value': 'Zombie'}, {'trait_type': 'Beard', 'value': 'Braid'}, {'trait_type': 'Ears', 'value': 'Strawberries'}, {'trait_type': 'Head', 'value': 'Panda'}, {'trait_type': 'Cloud', 'value': 'Cloud'}, {'trait_type': 'Shoulder', 'value': 'Butterfly'}, {'trait_type': 'Mouth', 'value': 'Pipe'}, {'trait_type': 'Eyes', 'value': 'Reptile'}, {'trait_type': 'Enlightenment Level', 'value': 'Level 1'}]","{'files': [{'uri': 'https://www.arweave.net/ZrZieSjDsfDYUQ8qvmMdJ4kI5wa8s1FLKa4qncQjAA0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'share': 50}]}",1,43c61h2UYBrHtsS2AKSM89iMFZx39mcN4fSPdcfqvs4v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
1,AaGNfFY1EZzhPgws5Fk65ZZMVeB9ZhmAdhtcqs844Xo7,4.73,F6MrTzsaB9As4bPfauxeusDp6Y2PYCDnfAb9BtRv9Fpu,CGj6R4VKADuULiWSdF6a86r5u2VMdo6KRoHFCpu2eDpB,smokeheads,Smoke Heads,https://www.arweave.net/0_2oc33du1SNG0RT2B0sxFMfCsYTCmsh4VE0Uo48xJQ?ext=png,Smoke Heads #2718,"We smoke, ponder, and wonder. We meditate and create. Come meet us up high.",image,"[{'address': 'BYqiPS8eiRuSmTsBcKGts986uMDQDYPY5j1V5Skf7Apc', 'verified': 1, 'share': 0}, {'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'verified': 0, 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'verified': 0, 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'verified': 0, 'share': 50}]",999,D2dT3dzwFtjmKeDFnhLQUpHbC3W7ymibYDi23AKbUifS,"[{'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Body', 'value': 'Original'}, {'trait_type': 'Beard', 'value': 'Gandalf'}, {'trait_type': 'Ears', 'value': 'Steam'}, {'trait_type': 'Head', 'value': 'Mushrooms'}, {'trait_type': 'Cloud', 'value': 'Cloud'}, {'trait_type': 'Shoulder', 'value': 'Armymen'}, {'trait_type': 'Mouth', 'value': 'Blunt'}, {'trait_type': 'Eyes', 'value': 'Tripping'}, {'trait_type': 'Enlightenment Level', 'value': 'Level 1'}]","{'files': [{'uri': 'https://www.arweave.net/0_2oc33du1SNG0RT2B0sxFMfCsYTCmsh4VE0Uo48xJQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'share': 50}]}",1,43c61h2UYBrHtsS2AKSM89iMFZx39mcN4fSPdcfqvs4v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
2,F1Yq91Ux1e9nACQMPK3waQqkMHdmNBaKw3HvEcp1ibTZ,4.73,ffyN7J7rVqnLKmE9VkYe161PFYKq8aR8sSP5jU3qYfj,g2rVW3utT3m2ZHYaMawNRBDC7sAS7copcWDFjENf3L2,smokeheads,Smoke Heads,https://www.arweave.net/l7i-nYrxdGEISrx0Zsr8bVaw3EKgZXc94lviEZDFPYU?ext=png,Smoke Heads #3466,"We smoke, ponder, and wonder. We meditate and create. Come meet us up high.",image,"[{'address': 'BYqiPS8eiRuSmTsBcKGts986uMDQDYPY5j1V5Skf7Apc', 'verified': 1, 'share': 0}, {'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'verified': 0, 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'verified': 0, 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'verified': 0, 'share': 50}]",999,DxGLz2WVioF75eBu9Uq8f1K3FJjtdhAuuVW346dbHZ1h,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Original'}, {'trait_type': 'Beard', 'value': 'White'}, {'trait_type': 'Ears', 'value': 'Earing'}, {'trait_type': 'Head', 'value': 'Bunnyears'}, {'trait_type': 'Cloud', 'value': 'Cloud'}, {'trait_type': 'Shoulder', 'value': 'Bonsai'}, {'trait_type': 'Mouth', 'value': 'Vape'}, {'trait_type': 'Eyes', 'value': 'Paranoid'}, {'trait_type': 'Enlightenment Level', 'value': 'Level 1'}]","{'files': [{'uri': 'https://www.arweave.net/l7i-nYrxdGEISrx0Zsr8bVaw3EKgZXc94lviEZDFPYU?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'share': 50}]}",1,43c61h2UYBrHtsS2AKSM89iMFZx39mcN4fSPdcfqvs4v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
3,H6jfzs1iqDWsvrXB61LPgXQqDPJMMSvcCaVXZknQE8Hc,4.73,9qQF7sFttFzmvCrKWScvSx8TuUrDshJ95uD9tnBiWosJ,8Z2eYt5ZJY1HtmF7xYqjiMeWBsNBDY1QVAeC6Trexqr9,smokeheads,Smoke Heads,https://www.arweave.net/z6bolcU45ydXo51QrlzKNv0fFMX6GDL1diUWQhuKrfE?ext=png,Smoke Heads #4130,"We smoke, ponder, and wonder. We meditate and create. Come meet us up high.",image,"[{'address': 'BYqiPS8eiRuSmTsBcKGts986uMDQDYPY5j1V5Skf7Apc', 'verified': 1, 'share': 0}, {'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'verified': 0, 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'verified': 0, 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'verified': 0, 'share': 50}]",999,5JNMsJtZNRzxg1j7SSn1jYKBU9BaGQDoa5BopWHTDFpc,"[{'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Body', 'value': 'Deepred'}, {'trait_type': 'Beard', 'value': 'Blonde'}, {'trait_type': 'Ears', 'value': 'Caterpillar'}, {'trait_type': 'Head', 'value': 'Mushrooms'}, {'trait_type': 'Cloud', 'value': 'Cloud'}, {'trait_type': 'Shoulder', 'value': 'Bonsai'}, {'trait_type': 'Mouth', 'value': 'Joint'}, {'trait_type': 'Eyes', 'value': 'Paranoid'}, {'trait_type': 'Enlightenment Level', 'value': 'Level 1'}]","{'files': [{'uri': 'https://www.arweave.net/z6bolcU45ydXo51QrlzKNv0fFMX6GDL1diUWQhuKrfE?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'share': 50}]}",1,43c61h2UYBrHtsS2AKSM89iMFZx39mcN4fSPdcfqvs4v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
4,F18SeEZAvRoNFWL3vHyoa3JnLHdxPE58m1LuY72jKUdz,4.74,FazPB9MAVocYjHR9YdrjTLtytB2hHTXSDDqUaDCoqC88,5Ma2rmpyDi4GePsuhKPboSwYDSsSY45qdskcs89quFcP,smokeheads,Smoke Heads,https://www.arweave.net/YHME2-erKdr-IFb4gvw2WW7Y02ss-KmZeCaU2yiLxSk?ext=png,Smoke Heads #3703,"We smoke, ponder, and wonder. We meditate and create. Come meet us up high.",image,"[{'address': 'BYqiPS8eiRuSmTsBcKGts986uMDQDYPY5j1V5Skf7Apc', 'verified': 1, 'share': 0}, {'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'verified': 0, 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'verified': 0, 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'verified': 0, 'share': 50}]",999,HSEPAvLQzWdtpM2CoRaFMqya5uhr9GLJWdy4C4dsfsEq,"[{'trait_type': 'Background', 'value': 'Pink'}, {'trait_type': 'Body', 'value': 'Aliengreen'}, {'trait_type': 'Beard', 'value': 'Braid'}, {'trait_type': 'Ears', 'value': 'Corks'}, {'trait_type': 'Head', 'value': 'Eggs'}, {'trait_type': 'Cloud', 'value': 'Cloud'}, {'trait_type': 'Shoulder', 'value': 'Parrot'}, {'trait_type': 'Mouth', 'value': 'Breath'}, {'trait_type': 'Eyes', 'value': '3D'}, {'trait_type': 'Enlightenment Level', 'value': 'Level 1'}]","{'files': [{'uri': 'https://www.arweave.net/YHME2-erKdr-IFb4gvw2WW7Y02ss-KmZeCaU2yiLxSk?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'share': 50}]}",1,43c61h2UYBrHtsS2AKSM89iMFZx39mcN4fSPdcfqvs4v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
5,CyuGLL7pyt5g8b3xAMdo4LMDfyvajD38uBYuqdWjysxw,4.84,67tuWLhJyGqsqbnSK26KSDRhZRu5qUuPrZNRrmzX5o3X,HNCzVxDcTzcydHVgwQ2mu1cDvuzAeuoXnLWVy2L76dp5,smokeheads,Smoke Heads,https://www.arweave.net/2mqNQFEHLt-jAGDwBvAf7cD2XwQWIVu5IJCDdySZRe8?ext=png,Smoke Heads #462,"We smoke, ponder, and wonder. We meditate and create. Come meet us up high.",image,"[{'address': 'BYqiPS8eiRuSmTsBcKGts986uMDQDYPY5j1V5Skf7Apc', 'verified': 1, 'share': 0}, {'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'verified': 0, 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'verified': 0, 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'verified': 0, 'share': 50}]",999,9VjV7VxPNkNCNsbEdVZhbgRsuzfSCzB7j11366Nmtguj,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Body', 'value': 'Original'}, {'trait_type': 'Beard', 'value': 'Brown'}, {'trait_type': 'Ears', 'value': 'Weplant'}, {'trait_type': 'Head', 'value': 'Devil'}, {'trait_type': 'Cloud', 'value': 'Cloud'}, {'trait_type': 'Shoulder', 'value': 'Parrot'}, {'trait_type': 'Mouth', 'value': 'Breath'}, {'trait_type': 'Eyes', 'value': 'Oakley'}, {'trait_type': 'Enlightenment Level', 'value': 'Level 1'}]","{'files': [{'uri': 'https://www.arweave.net/2mqNQFEHLt-jAGDwBvAf7cD2XwQWIVu5IJCDdySZRe8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'share': 50}]}",1,43c61h2UYBrHtsS2AKSM89iMFZx39mcN4fSPdcfqvs4v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
6,Dwf9m3gtvFtSxbmEDMs4RC22yGbfzbQNWfmiqYpDhncU,4.89,2ctYUz2HTVGEkvQVgr1EmkGawfViQ6Lo15vpdL3Njd4A,62MEeLShJd5Tt5ebE5vM74s2n4SHJCc3rxnjWeZcwxdg,smokeheads,Smoke Heads,https://www.arweave.net/Lr76NIny8UJlksiLvIeWvMH3fIr_E2FNdatK0tokV7g?ext=png,Smoke Heads #1488,"We smoke, ponder, and wonder. We meditate and create. Come meet us up high.",image,"[{'address': 'BYqiPS8eiRuSmTsBcKGts986uMDQDYPY5j1V5Skf7Apc', 'verified': 1, 'share': 0}, {'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'verified': 0, 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'verified': 0, 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'verified': 0, 'share': 50}]",999,E85pNK4Rfg26Hr2ebw53u644LLw85ueXULM2gDHkBwxM,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Body', 'value': 'Superhero'}, {'trait_type': 'Beard', 'value': 'Braid'}, {'trait_type': 'Ears', 'value': 'Swabs'}, {'trait_type': 'Head', 'value': 'Sun'}, {'trait_type': 'Cloud', 'value': 'Cloud'}, {'trait_type': 'Shoulder', 'value': 'Parrot'}, {'trait_type': 'Mouth', 'value': 'Cigarette'}, {'trait_type': 'Eyes', 'value': 'Reptile'}, {'trait_type': 'Enlightenment Level', 'value': 'Level 1'}]","{'files': [{'uri': 'https://www.arweave.net/Lr76NIny8UJlksiLvIeWvMH3fIr_E2FNdatK0tokV7g?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'share': 50}]}",1,43c61h2UYBrHtsS2AKSM89iMFZx39mcN4fSPdcfqvs4v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
7,F4VkBgz9S5XYUpEwkc4BU3Y59P5JX8MKCFPbuPoKwz4h,4.9,HhzEQcSL5bbM7iyeE9N8KyXiSR5UVZ9y5XGmoqX4u4wV,56yzpuKK5LQpnZA62TE5Uf7sWQntuDQ2UGShVhEe4rV9,smokeheads,Smoke Heads,https://www.arweave.net/pelvqEjhpRFx_ROHIoXY7ZF_W1qo3soVmgMgBuSi1HQ?ext=png,Smoke Heads #3628,"We smoke, ponder, and wonder. We meditate and create. Come meet us up high.",image,"[{'address': 'BYqiPS8eiRuSmTsBcKGts986uMDQDYPY5j1V5Skf7Apc', 'verified': 1, 'share': 0}, {'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'verified': 0, 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'verified': 0, 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'verified': 0, 'share': 50}]",999,DV6TboFere3f7p1N3HaJrUnvrpCfcTdBv6MDwMwjQwpk,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Deepred'}, {'trait_type': 'Beard', 'value': 'Blonde'}, {'trait_type': 'Ears', 'value': 'Astronaut'}, {'trait_type': 'Head', 'value': 'Eggs'}, {'trait_type': 'Cloud', 'value': 'Cloud'}, {'trait_type': 'Shoulder', 'value': 'Bonsai'}, {'trait_type': 'Mouth', 'value': 'Breath'}, {'trait_type': 'Eyes', 'value': 'Paranoidblue'}, {'trait_type': 'Enlightenment Level', 'value': 'Level 1'}]","{'files': [{'uri': 'https://www.arweave.net/pelvqEjhpRFx_ROHIoXY7ZF_W1qo3soVmgMgBuSi1HQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'share': 50}]}",1,43c61h2UYBrHtsS2AKSM89iMFZx39mcN4fSPdcfqvs4v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
8,6QhXWnr8FepxyiDxQfZoJScwBv7o361ag6h2ZXz35ndB,4.9,2kzEHQVtq9uGjmqfNz73XogqFHqiiNgEJ2v9MPKHg8tD,4vwB5wFWzNrmh3nDVjAGdDegvuZzirNRhuAAvNV2VujC,smokeheads,Smoke Heads,https://www.arweave.net/AgKZmXlinWvyYWVegdo2T0PtZ-0mJcn2peHvz8DdY_Y?ext=png,Smoke Heads #3898,"We smoke, ponder, and wonder. We meditate and create. Come meet us up high.",image,"[{'address': 'BYqiPS8eiRuSmTsBcKGts986uMDQDYPY5j1V5Skf7Apc', 'verified': 1, 'share': 0}, {'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'verified': 0, 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'verified': 0, 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'verified': 0, 'share': 50}]",999,4AgWqHqx3pKpvyTHjDKJ9x8rg3ckH7VXb6oca1VVKQXg,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Body', 'value': 'Deepred'}, {'trait_type': 'Beard', 'value': 'Red'}, {'trait_type': 'Ears', 'value': 'Steam'}, {'trait_type': 'Head', 'value': 'Castle'}, {'trait_type': 'Cloud', 'value': 'Cloud'}, {'trait_type': 'Shoulder', 'value': 'Bonsai'}, {'trait_type': 'Mouth', 'value': 'Hookah'}, {'trait_type': 'Eyes', 'value': 'Crazyhigh'}, {'trait_type': 'Enlightenment Level', 'value': 'Level 1'}]","{'files': [{'uri': 'https://www.arweave.net/AgKZmXlinWvyYWVegdo2T0PtZ-0mJcn2peHvz8DdY_Y?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'share': 50}]}",1,43c61h2UYBrHtsS2AKSM89iMFZx39mcN4fSPdcfqvs4v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
9,5NPUQavz3qLBHBBHf3QTjH9yZzrbCzWnzHRHqyZSdKQ7,4.98,FLuAHoXqUWVLmJpgxcHBby3547R3YJQRyV5kCTmAq4ZX,ByCtMYWEaAw89XTggetHhXNtftBAMjeck3HEUCsXKbcU,smokeheads,Smoke Heads,https://www.arweave.net/iXIyH2GqBfp4mNtJaI4LJYu6yI_TBQudJUf7xDBF36I?ext=png,Smoke Heads #1580,"We smoke, ponder, and wonder. We meditate and create. Come meet us up high.",image,"[{'address': 'BYqiPS8eiRuSmTsBcKGts986uMDQDYPY5j1V5Skf7Apc', 'verified': 1, 'share': 0}, {'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'verified': 0, 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'verified': 0, 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'verified': 0, 'share': 50}]",999,8ct4zwCBd7uuatVUcxmKSDBH5BT7bzrJaWmxMsRsy2jL,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Body', 'value': 'Aliengreen'}, {'trait_type': 'Beard', 'value': 'Blonde'}, {'trait_type': 'Ears', 'value': 'Earing'}, {'trait_type': 'Head', 'value': 'Strawhat'}, {'trait_type': 'Cloud', 'value': 'Cloud'}, {'trait_type': 'Shoulder', 'value': 'Angeldevil'}, {'trait_type': 'Mouth', 'value': 'Cigarette'}, {'trait_type': 'Eyes', 'value': 'Laser'}, {'trait_type': 'Enlightenment Level', 'value': 'Level 1'}]","{'files': [{'uri': 'https://www.arweave.net/iXIyH2GqBfp4mNtJaI4LJYu6yI_TBQudJUf7xDBF36I?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '5r6qsALRKt6ueLanFQ2sst8us6xyHgx38PmhNVnPrsb1', 'share': 25}, {'address': 'D2sdb6Dp9yNuZ8pnBBSdq83LsA1YjzXfhDDE716U6zjb', 'share': 25}, {'address': 'SHCvRU52toTHfqnodedxnSPpxz8MXHEebZqvVVWiM7p', 'share': 50}]}",1,43c61h2UYBrHtsS2AKSM89iMFZx39mcN4fSPdcfqvs4v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
