,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,GGCtmv7CEFVt4H8FVLUfVNhc2dbTyDj4nkws9zbRhTrx,19.0,5LNzUhGz4XLGa5mfttb4HTpnDRQvoYJ8mWSTgvssVZ2L,9eCrHbaDEc4KHKEh8ZVVMtMwbiDPJnHBzN4fSLnMEt63,solana_money_boys,Solana Money Boys,https://www.arweave.net/9FSZlIc-qfBk9NqokD4s-xwBUo35BHO-ZrFUg9rxDUA?ext=png,Solana Money Boy #954,building the metaverse,https://www.solanamoneyboys.com,image,"[{'address': '6VrHf4xmhQUMYQtFEUUo6ftUp8soqa81auAuzDhLTtNL', 'verified': 1, 'share': 0}, {'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'verified': 0, 'share': 100}]",750,J65uquRKKtWFJaFHMoMcSttFqiNvi5ZGvZbyr8MLS9we,"[{'trait_type': 'background', 'value': 'purple'}, {'trait_type': 'face', 'value': 'teal'}, {'trait_type': 'shirt', 'value': 'backpackblue'}, {'trait_type': 'necklace', 'value': 'transparent1'}, {'trait_type': 'eyes', 'value': 'awake'}, {'trait_type': 'head', 'value': 'bald'}, {'trait_type': 'mouth', 'value': 'darkmask1'}]","{'files': [{'uri': 'https://www.arweave.net/9FSZlIc-qfBk9NqokD4s-xwBUo35BHO-ZrFUg9rxDUA?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'share': 100}]}",1,8bRrTTc1vCR3fuEBhU2Vo5ga5KjLSfrmjpC9JojcEugV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4234}, 'howrare': {'rank': 4080}}"
1,A1jeYjxtvjy8gEWPfGH4iuBTk9JVkVHuJJwyTRuw8K57,19.8,5GQ9WFcWUsNmsowFVfo3JqUzXgzEmWfB2NxHkt7qWigM,8thhMYuJzF8ktezVVLqPa4kGFNGVdq4UaLGP6zhXtUfR,solana_money_boys,Solana Money Boys,https://www.arweave.net/McpZXrMZpdbrnt-_F4s74tpLgOGn-5ULe2mnrguh_UU?ext=png,Solana Money Boy #229,building the metaverse,https://www.solanamoneyboys.com,image,"[{'address': '6VrHf4xmhQUMYQtFEUUo6ftUp8soqa81auAuzDhLTtNL', 'verified': 1, 'share': 0}, {'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'verified': 0, 'share': 100}]",750,9mLBo9M4ydBHjwvToc3P2wxaUf8EjXtJHUetACReLRsG,"[{'trait_type': 'background', 'value': 'yellow'}, {'trait_type': 'face', 'value': 'lavender'}, {'trait_type': 'shirt', 'value': 'hoodielavender'}, {'trait_type': 'necklace', 'value': 'transparent1'}, {'trait_type': 'eyes', 'value': 'awake'}, {'trait_type': 'head', 'value': 'hatgreen'}, {'trait_type': 'mouth', 'value': 'darkmask1'}]","{'files': [{'uri': 'https://www.arweave.net/McpZXrMZpdbrnt-_F4s74tpLgOGn-5ULe2mnrguh_UU?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'share': 100}]}",1,8bRrTTc1vCR3fuEBhU2Vo5ga5KjLSfrmjpC9JojcEugV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4203}, 'howrare': {'rank': 3999}}"
2,C1aECNwQGvsgZTtSwzurT2vVnifysSedL9u8YrqQum9D,20.0,BtQeHrYnBLFqryAXnonnKLBwzZaQ217ASr9fxSX3vi8v,37swg2U7mC5YG4pX1E6zChGYkLX9EZ8NimKNEm589NUp,solana_money_boys,Solana Money Boys,https://www.arweave.net/U-63yL31dgStuuxNShA3maUByTYTptoXAt4_hdskOfo?ext=png,Solana Money Boy #12,building the metaverse,https://www.solanamoneyboys.com,image,"[{'address': '6VrHf4xmhQUMYQtFEUUo6ftUp8soqa81auAuzDhLTtNL', 'verified': 1, 'share': 0}, {'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'verified': 0, 'share': 100}]",750,G4AueudtJgc1qakP76zhPW2NDGnMPz7uaDbaFGmzhNj9,"[{'trait_type': 'background', 'value': 'purple'}, {'trait_type': 'face', 'value': 'orange'}, {'trait_type': 'shirt', 'value': 'robegold'}, {'trait_type': 'necklace', 'value': 'transparent1'}, {'trait_type': 'eyes', 'value': 'awake'}, {'trait_type': 'head', 'value': 'bald'}, {'trait_type': 'mouth', 'value': 'smile'}]","{'files': [{'uri': 'https://www.arweave.net/U-63yL31dgStuuxNShA3maUByTYTptoXAt4_hdskOfo?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'share': 100}]}",1,8bRrTTc1vCR3fuEBhU2Vo5ga5KjLSfrmjpC9JojcEugV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3624}, 'howrare': {'rank': 2337}}"
3,3UWnQmBsUjdXz7TvmQE34sUz9miMhgz4ikkwfk66Vjr3,20.9,6tUTqWUbseT6dzVtmEdTEGDvEd1LQPzevFe2kedF9uia,AaPCFNSTPonqfNiZH9FadP3VDFwzvn6GtmhncK3g9oQ8,solana_money_boys,Solana Money Boys,https://www.arweave.net/RwFsEzlAAF1iCvXM5igxV0EWo4kySw8yEfH2jZJB1S4?ext=png,Solana Money Boy #235,building the metaverse,https://www.solanamoneyboys.com,image,"[{'address': '6VrHf4xmhQUMYQtFEUUo6ftUp8soqa81auAuzDhLTtNL', 'verified': 1, 'share': 0}, {'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'verified': 0, 'share': 100}]",750,57Rrx8HEuNpaW79h49QAkxg1AJs9baNbdtZBKRFzCswL,"[{'trait_type': 'background', 'value': 'white'}, {'trait_type': 'face', 'value': 'orange'}, {'trait_type': 'shirt', 'value': 'collargreen'}, {'trait_type': 'necklace', 'value': 'transparent1'}, {'trait_type': 'eyes', 'value': 'awake'}, {'trait_type': 'head', 'value': 'darkdrop2'}, {'trait_type': 'mouth', 'value': 'darkmask3'}]","{'files': [{'uri': 'https://www.arweave.net/RwFsEzlAAF1iCvXM5igxV0EWo4kySw8yEfH2jZJB1S4?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'share': 100}]}",1,8bRrTTc1vCR3fuEBhU2Vo5ga5KjLSfrmjpC9JojcEugV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 2294}, 'moonrank': {'rank': 2739}}"
4,GmHJWRdM7NdtpSqmFXUEmCnGPF5z4Hvo6AuvAHCfgPq1,21.0,J7uiYvA56FpEHqrKEVQZT5Qmt4945K1sqDEVWJEpWXsM,9dB44fenscMTdaovv9hEmu9inxxk9FQD9q9rzW6tt2Wc,solana_money_boys,Solana Money Boys,https://www.arweave.net/8W5jghjHT0dF_Ez8OCqpaX_RmgKGW68M5oSKASOcGMg?ext=png,Solana Money Boy #718,building the metaverse,https://www.solanamoneyboys.com,image,"[{'address': '6VrHf4xmhQUMYQtFEUUo6ftUp8soqa81auAuzDhLTtNL', 'verified': 1, 'share': 0}, {'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'verified': 0, 'share': 100}]",750,3oXpk188to1QG4ZJPbdBTQnMCEQkc56Mp4P1p1YyGcvH,"[{'trait_type': 'background', 'value': 'pink'}, {'trait_type': 'face', 'value': 'orange'}, {'trait_type': 'shirt', 'value': 'hoodielavender'}, {'trait_type': 'necklace', 'value': 'transparent1'}, {'trait_type': 'eyes', 'value': 'awake'}, {'trait_type': 'head', 'value': 'hatgreen'}, {'trait_type': 'mouth', 'value': 'tonguegreen'}]","{'files': [{'uri': 'https://www.arweave.net/8W5jghjHT0dF_Ez8OCqpaX_RmgKGW68M5oSKASOcGMg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'share': 100}]}",1,8bRrTTc1vCR3fuEBhU2Vo5ga5KjLSfrmjpC9JojcEugV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2693}, 'howrare': {'rank': 2109}}"
5,5kB9Nrorz18Hp5hbnsfXPHdQ972h71qUHW1dcjPkiWfv,21.0,9hpS5KgczKwpxsSwG47tMyovRvzCBirNUiCiy2wLoiMc,8nifZHp1hJszFsVjf7CFTHFbAYSF8p8Zh5nS7tEXzQZe,solana_money_boys,Solana Money Boys,https://www.arweave.net/_03_gIniTjiqdLOG7NDlGt3rZKKTJd8DGr6JtphmLqI?ext=png,Solana Money Boy #4230,building the metaverse,https://www.solanamoneyboys.com,image,"[{'address': '8aM3QrhMaShisqZAkjY3TiwbLbePA3VWRbaApJgJACK6', 'verified': 1, 'share': 0}, {'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'verified': 0, 'share': 100}]",750,9uEeAFU5CYJnrCaPtPdvvaERtC4dGgtFVB6F1X9etwrE,"[{'trait_type': 'background', 'value': 'blue'}, {'trait_type': 'face', 'value': 'lavender'}, {'trait_type': 'shirt', 'value': 'robegreenyellow'}, {'trait_type': 'necklace', 'value': 'transparent1'}, {'trait_type': 'eyes', 'value': 'awake'}, {'trait_type': 'head', 'value': 'droppink'}, {'trait_type': 'mouth', 'value': 'smile'}]","{'files': [{'uri': 'https://www.arweave.net/_03_gIniTjiqdLOG7NDlGt3rZKKTJd8DGr6JtphmLqI?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'share': 100}]}",1,2Ks7NhvyEuH8FFvw2SUnS8x2ZUYfzMWqpPvpe6MqRAt5,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2877}}
6,4ygZRbYQgYjE7RPrYVMwsG7ST9tk15CaWrE65vR6rfYo,21.5,EfMiS6zi9w3MMfJztTFEEKBKEAnmU57k53HjVSDeiNnr,9paPtei4uiXB6JWpeLPrCnEBb715ZvP8rvk2kcvcwDvx,solana_money_boys,Solana Money Boys,https://www.arweave.net/bu_deIE7A-ESFrJQZ-lhKmz315p4VjvZOt8WjwqpjYQ?ext=png,Solana Money Boy #2828,building the metaverse,https://www.solanamoneyboys.com,image,"[{'address': '42eNtgbrbYhQwu7gDtZ1TExj3fyLSh868eaBg9eKPfHQ', 'verified': 1, 'share': 0}, {'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'verified': 0, 'share': 100}]",750,53E6tv9mLTAxgvHV9kNsvacJwebaXrx8eCtDGq1XKa67,"[{'trait_type': 'background', 'value': 'orange'}, {'trait_type': 'face', 'value': 'dark'}, {'trait_type': 'shirt', 'value': 'hoodieblue'}, {'trait_type': 'necklace', 'value': 'transparent1'}, {'trait_type': 'eyes', 'value': 'awake'}, {'trait_type': 'head', 'value': 'hatorange'}, {'trait_type': 'mouth', 'value': 'darkmask3'}]","{'files': [{'uri': 'https://www.arweave.net/bu_deIE7A-ESFrJQZ-lhKmz315p4VjvZOt8WjwqpjYQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'share': 100}]}",1,GN4VCxyGgCY7gQmiZTn8FXvjEWdXQ7xLGqSjhi2zYWPQ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2653}, 'howrare': {'rank': 2540}}"
7,2Tg1kZU4kGSGF6shGQn41tPmzThUJmtvWNG157Fe9QHv,22.0,HCuM5HVcwAb9VknFmBeS8eKRt7jjZhtttCp3kLyxachE,9m68VabWUYYebzxDsF1tYUtxUmr6UwNDcUxHAfS3yPZU,solana_money_boys,Solana Money Boys,https://www.arweave.net/r9v_ZSxss_tZCzwWluMypj3am7ioYDahNz1M37p3iJk?ext=png,Solana Money Boy #4436,building the metaverse,https://www.solanamoneyboys.com,image,"[{'address': '8aM3QrhMaShisqZAkjY3TiwbLbePA3VWRbaApJgJACK6', 'verified': 1, 'share': 0}, {'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'verified': 0, 'share': 100}]",750,583EoT1XfUFQaUd1ryBttgvhq2uyKYyXTrJTAS8ShBnT,"[{'trait_type': 'background', 'value': 'lavender'}, {'trait_type': 'face', 'value': 'orange'}, {'trait_type': 'shirt', 'value': 'jacketyellowpurple'}, {'trait_type': 'necklace', 'value': 'transparent1'}, {'trait_type': 'eyes', 'value': 'awake'}, {'trait_type': 'head', 'value': 'bald'}, {'trait_type': 'mouth', 'value': 'moneymouth'}]","{'files': [{'uri': 'https://www.arweave.net/r9v_ZSxss_tZCzwWluMypj3am7ioYDahNz1M37p3iJk?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'share': 100}]}",1,2Ks7NhvyEuH8FFvw2SUnS8x2ZUYfzMWqpPvpe6MqRAt5,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4172}, 'howrare': {'rank': 4043}}"
8,G8gquNoknHjKB4MiqfWU3Zn5B3jxgJnpiakWvYij9RgW,22.0,2x4K42qXyUbRHke123575QWCJaQ8u9sx8FHKPo5rv2vK,CFmBpDyssLrZZYUdPkckbW88jahjuYACrTzct3J2CSjP,solana_money_boys,Solana Money Boys,https://www.arweave.net/yXXg91v2wrYRX-HGw_kZgxj3CHFAIRMsD9l8j9Flkq0?ext=png,Solana Money Boy #2872,building the metaverse,https://www.solanamoneyboys.com,image,"[{'address': '42eNtgbrbYhQwu7gDtZ1TExj3fyLSh868eaBg9eKPfHQ', 'verified': 1, 'share': 0}, {'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'verified': 0, 'share': 100}]",750,CesjZc1sfLqmKXiPkahFwpmKUaB6qqPJF2NpvqwRg39N,"[{'trait_type': 'background', 'value': 'yellow'}, {'trait_type': 'face', 'value': 'teal'}, {'trait_type': 'shirt', 'value': 'backpackrainbow'}, {'trait_type': 'necklace', 'value': 'transparent1'}, {'trait_type': 'eyes', 'value': 'awake'}, {'trait_type': 'head', 'value': 'droppurple'}, {'trait_type': 'mouth', 'value': 'darkmask1'}]","{'files': [{'uri': 'https://www.arweave.net/yXXg91v2wrYRX-HGw_kZgxj3CHFAIRMsD9l8j9Flkq0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'share': 100}]}",1,GN4VCxyGgCY7gQmiZTn8FXvjEWdXQ7xLGqSjhi2zYWPQ,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3453}, 'howrare': {'rank': 2916}}"
9,J9Pacd3nFk8EUXCjfoRF6cAvvL2jTUDetBCDtptAkxSN,22.0,21Mu65V8z4oAvqzgjmRhaygEDPUS6w7bcnqbkap5YGsf,3bFtJ9EQcV7wPkTvKkEzL8MDPjwQhq6AePpye6qtVa7H,solana_money_boys,Solana Money Boys,https://www.arweave.net/ABsKKtYESEex2ZU0Bpz_RxbGol3D9kWsZNzhwgdYfpY?ext=png,Solana Money Boy #2216,building the metaverse,https://www.solanamoneyboys.com,image,"[{'address': '6XGE4uBTcZCUuRo8X5W9sN4gXq93vGZbKGWEZtMQKGxy', 'verified': 1, 'share': 0}, {'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'verified': 0, 'share': 100}]",750,4Z9jmcCux7d8BUVFrazTHPyXwhaZNag7mue36d6bKJN4,"[{'trait_type': 'background', 'value': 'purple'}, {'trait_type': 'face', 'value': 'orange'}, {'trait_type': 'shirt', 'value': 'hoodielavender'}, {'trait_type': 'necklace', 'value': 'transparent1'}, {'trait_type': 'eyes', 'value': 'awake'}, {'trait_type': 'head', 'value': 'bald'}, {'trait_type': 'mouth', 'value': 'smile'}]","{'files': [{'uri': 'https://www.arweave.net/ABsKKtYESEex2ZU0Bpz_RxbGol3D9kWsZNzhwgdYfpY?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BwgpxJAFX9wtZSWxp3JUd65aky6a6N8F5xMqBfA39ohL', 'share': 100}]}",1,CvywfuSVev6da9LngjJkFd2y3utrU2W9zvHw8TAmfo9P,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 4437}, 'moonrank': {'rank': 4436}}"
