,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,imgCDN,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,CRZ983PeTZXUcwBXfUrJ68ywga6DTgkzcZHT3dAGSXpX,235,8wjdCvxpwWYT1j3qxzSFw5SiHLDXMVG5r6krNwtc5fdH,AqwcN2rVLNx6Qx4tp4rxgtFPsXMrE7QWRbD72BbeApjb,solana_monkey_business,Solana Monkey Business,https://arweave.net/77UYqqZ7eT1ut0aIFquq7una6wbNFwFWmUOPd6Mrt6Y,https://cdn.solanamonkey.business/gen2/2619.png,SMB #2619,SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.,https://solanamonkey.business/,image,"[{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': 1, 'share': 100}]",600,FobKjD5dJuZ5xy8k53mus3RVtknYUu4XQuUgy4j2uKje,"[{'trait_type': 'Attributes Count', 'value': 2}, {'trait_type': 'Type', 'value': 'Red'}, {'trait_type': 'Clothes', 'value': 'None'}, {'trait_type': 'Ears', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Purple Glasses'}, {'trait_type': 'Hat', 'value': 'White Fedora 1'}]","{'files': [{'uri': 'https://arweave.net/77UYqqZ7eT1ut0aIFquq7una6wbNFwFWmUOPd6Mrt6Y', 'type': 'image/png'}, {'uri': 'https://cdn.solanamonkey.business/gen2/2619.png', 'type': 'image/png', 'cdn': True}], 'category': 'image', 'creators': [{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': True, 'share': 100}]}",1,9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F,1,"{'verified': 1, 'key': 'SMBH3wF6baUj6JWtzYvqcKuj2XCKWDqQxzspY12xPND', 'data': {'name': 'SMB Gen2', 'image': 'https://arweave.net/lZ5FdIVagNoNvI4QFoHhB6Xyn4oVGLV9xOTW32WBC20', 'description': 'SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2606}, 'howrare': {'rank': 3789}}",,
1,FLUBCHLyGEekFpyq6Fdj5gtpSebkKHdgjKbgohaUZhMH,236,6uMRW3dtivh83qAosUPLSFDiWfkZV8PGnMEybr8EdmVp,GrapevviL94JZRiZwn2LjpWtmDacXU8QhAJvzpUMMFdL,solana_monkey_business,Solana Monkey Business,https://arweave.net/y-O2VWTSuRDr8hW5jf_aFJ2ohk1XlflhFOuDq7LqSFo,https://cdn.solanamonkey.business/gen2/3729.png,SMB #3729,SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.,https://solanamonkey.business/,image,"[{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': 1, 'share': 100}]",600,AWP9fJXSBCr1BTN6SnaN8omyQeegRy8JxLUcQcdWmccP,"[{'trait_type': 'Attributes Count', 'value': 2}, {'trait_type': 'Type', 'value': 'Purple'}, {'trait_type': 'Clothes', 'value': 'Purple Shirt'}, {'trait_type': 'Ears', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Hat', 'value': 'Firefighter Hat'}]","{'files': [{'uri': 'https://arweave.net/y-O2VWTSuRDr8hW5jf_aFJ2ohk1XlflhFOuDq7LqSFo', 'type': 'image/png'}, {'uri': 'https://cdn.solanamonkey.business/gen2/3729.png', 'type': 'image/png', 'cdn': True}], 'category': 'image', 'creators': [{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': True, 'share': 100}]}",1,9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F,1,"{'verified': 1, 'key': 'SMBH3wF6baUj6JWtzYvqcKuj2XCKWDqQxzspY12xPND', 'data': {'name': 'SMB Gen2', 'image': 'https://arweave.net/lZ5FdIVagNoNvI4QFoHhB6Xyn4oVGLV9xOTW32WBC20', 'description': 'SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.'}}",False,,{},HS2eL9WJbh7pA4i4veK3YDwhGLRjY3uKryvG1NbHRprj,"{'auctionHouse': {'auctionHouseKey': 'Do4qYYqgdxgcRWWvXNEuZD2Wkj8YzLMwiNq5NFXnxHgS', 'requiresSignOff': False}}"
2,5tZqGc8q7FNDWcmBYQaw6LLgUc17VvxG5QApUc2SMfa7,238,7gpkUK88jPsS4d1AHQqpTipq11hUrskpQcCStWjHoYtm,9esGMuGucpERznA2sAxKNbvSfrd5QFjVpr5krwurAf7H,solana_monkey_business,Solana Monkey Business,https://arweave.net/qg-P9deBsZjYMZu0J8Ji_wIvrvgrvYaYUletfaYlXgI,https://cdn.solanamonkey.business/gen2/4483.png,SMB #4483,SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.,https://solanamonkey.business/,image,"[{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': 1, 'share': 100}]",600,HKM4vjDKq2j9ECeC5qi4GC6vEY6hwnt5KsCRbUoC8hAF,"[{'trait_type': 'Attributes Count', 'value': 3}, {'trait_type': 'Type', 'value': 'Purple'}, {'trait_type': 'Clothes', 'value': 'Red Shirt'}, {'trait_type': 'Ears', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Vape'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Hat', 'value': 'White Fedora 2'}]","{'files': [{'uri': 'https://arweave.net/qg-P9deBsZjYMZu0J8Ji_wIvrvgrvYaYUletfaYlXgI', 'type': 'image/png'}, {'uri': 'https://cdn.solanamonkey.business/gen2/4483.png', 'type': 'image/png', 'cdn': True}], 'category': 'image', 'creators': [{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': True, 'share': 100}]}",1,9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F,1,"{'verified': 1, 'key': 'SMBH3wF6baUj6JWtzYvqcKuj2XCKWDqQxzspY12xPND', 'data': {'name': 'SMB Gen2', 'image': 'https://arweave.net/lZ5FdIVagNoNvI4QFoHhB6Xyn4oVGLV9xOTW32WBC20', 'description': 'SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 4099}, 'moonrank': {'rank': 2473}}",,
3,9FurYN7C7ToPxdqa5YieVGV3GXjyotTVuJ8xJsPs7CqG,239,4kE5kyBgw6qhJRgz5x5pavxReev9BmYaZywvdH5fXYvG,8XPehFjtxY1hbXdD1S5tyACQ4HfWw6nNSU5GTapkHUaV,solana_monkey_business,Solana Monkey Business,https://arweave.net/sEt8L5klG68wdJDodA85Y6fLiM1qPmqq2Mbb2ER3qI0,https://cdn.solanamonkey.business/gen2/2315.png,SMB #2315,SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.,https://solanamonkey.business/,image,"[{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': 1, 'share': 100}]",600,6cX8Mhvfkj8euqUzTdAko6bBGnjwvELxGi4F6gP9jYqA,"[{'trait_type': 'Attributes Count', 'value': 2}, {'trait_type': 'Type', 'value': 'Brown'}, {'trait_type': 'Clothes', 'value': 'Military Vest'}, {'trait_type': 'Ears', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Hat', 'value': 'Green Cap'}]","{'files': [{'uri': 'https://arweave.net/sEt8L5klG68wdJDodA85Y6fLiM1qPmqq2Mbb2ER3qI0', 'type': 'image/png'}, {'uri': 'https://cdn.solanamonkey.business/gen2/2315.png', 'type': 'image/png', 'cdn': True}], 'category': 'image', 'creators': [{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': True, 'share': 100}]}",1,9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F,1,"{'verified': 1, 'key': 'SMBH3wF6baUj6JWtzYvqcKuj2XCKWDqQxzspY12xPND', 'data': {'name': 'SMB Gen2', 'image': 'https://arweave.net/lZ5FdIVagNoNvI4QFoHhB6Xyn4oVGLV9xOTW32WBC20', 'description': 'SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 3900}, 'moonrank': {'rank': 4230}}",,
4,JzjE1Fri3fGUhCbM7EzJLskQFwdo1FA3dUHNDZ9DweC,240,BMZNHHxGxL1fBcPA5Ki1tRYrmBLNDbXC5huvEy3HpVPv,HJzj3tUEytdM1NLDgA7suNBMdUtLvhZPs3BCY6gREb6k,solana_monkey_business,Solana Monkey Business,https://arweave.net/tNhnSbbpxp8qS7R36xjw2V90RPhhHIvcEz67FJFithc,https://cdn.solanamonkey.business/gen2/812.png,SMB #812,SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.,https://solanamonkey.business/,image,"[{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': 1, 'share': 100}]",600,DEVaumiRCw6USFwjL3kdn47Ubenpsu4iZjeDVrHznwqK,"[{'trait_type': 'Attributes Count', 'value': 2}, {'trait_type': 'Type', 'value': 'Red'}, {'trait_type': 'Clothes', 'value': 'Black Smoking'}, {'trait_type': 'Ears', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Hat', 'value': 'Military Helmet'}]","{'files': [{'uri': 'https://arweave.net/tNhnSbbpxp8qS7R36xjw2V90RPhhHIvcEz67FJFithc', 'type': 'image/png'}, {'uri': 'https://cdn.solanamonkey.business/gen2/812.png', 'type': 'image/png', 'cdn': True}], 'category': 'image', 'creators': [{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': True, 'share': 100}]}",1,9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F,1,"{'verified': 1, 'key': 'SMBH3wF6baUj6JWtzYvqcKuj2XCKWDqQxzspY12xPND', 'data': {'name': 'SMB Gen2', 'image': 'https://arweave.net/lZ5FdIVagNoNvI4QFoHhB6Xyn4oVGLV9xOTW32WBC20', 'description': 'SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3303}, 'howrare': {'rank': 1875}}",,
5,3bbbeFzdVmed7o5S8HTbWYPYMmQ5FUoR52HVz8sR8Q1a,240,6AhKBAvRj6C93cUVgcYoGCLeBgDyaLeY2Kx4K3yEee1R,9VwnBfzENkTU6kvfmCJibyshtbCfNu3vm8346yzT9HU1,solana_monkey_business,Solana Monkey Business,https://arweave.net/sRKvdtJY4Lyk65aXzew7zOGfWuz1Or3sPN1gdGpaGL8,https://cdn.solanamonkey.business/gen2/4704.png,SMB #4704,SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.,https://solanamonkey.business/,image,"[{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': 1, 'share': 100}]",600,BKG4A9GXLboBm9hat4E972duq1XcDJSfZ2dtaSktQCqt,"[{'trait_type': 'Attributes Count', 'value': 2}, {'trait_type': 'Type', 'value': 'Purple'}, {'trait_type': 'Clothes', 'value': 'White Shirt'}, {'trait_type': 'Ears', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Hat', 'value': 'Cop Hat'}]","{'files': [{'uri': 'https://arweave.net/sRKvdtJY4Lyk65aXzew7zOGfWuz1Or3sPN1gdGpaGL8', 'type': 'image/png'}, {'uri': 'https://cdn.solanamonkey.business/gen2/4704.png', 'type': 'image/png', 'cdn': True}], 'category': 'image', 'creators': [{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': True, 'share': 100}]}",1,9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F,1,"{'verified': 1, 'key': 'SMBH3wF6baUj6JWtzYvqcKuj2XCKWDqQxzspY12xPND', 'data': {'name': 'SMB Gen2', 'image': 'https://arweave.net/lZ5FdIVagNoNvI4QFoHhB6Xyn4oVGLV9xOTW32WBC20', 'description': 'SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4153}, 'howrare': {'rank': 3836}}",,
6,BBvZgcnUPnU3YmkrhQaNB33UXAfqqsuQ9tRC3X8DeWHt,241,E2PxGTD6aocHB8hK1QbWbS74wXrSGU9yA2o8ZLo3kPmV,4LA3sjWX82jf2DBUtm59z385hxNbJCvp9dZLTYXCndup,solana_monkey_business,Solana Monkey Business,https://arweave.net/eqHAnHsc_ezD6y38EqXbcNpVx8OE3tJahwbp0N450Bw,https://cdn.solanamonkey.business/gen2/2363.png,SMB #2363,SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.,https://solanamonkey.business/,image,"[{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': 1, 'share': 100}]",600,5GtcBzHeQPijWSPv7uxZ4bANbXtccmnsw7YKFm2N3FBy,"[{'trait_type': 'Attributes Count', 'value': 2}, {'trait_type': 'Type', 'value': 'Red'}, {'trait_type': 'Clothes', 'value': 'Beige Smoking'}, {'trait_type': 'Ears', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Purple Glasses'}, {'trait_type': 'Hat', 'value': 'None'}]","{'files': [{'uri': 'https://arweave.net/eqHAnHsc_ezD6y38EqXbcNpVx8OE3tJahwbp0N450Bw', 'type': 'image/png'}, {'uri': 'https://cdn.solanamonkey.business/gen2/2363.png', 'type': 'image/png', 'cdn': True}], 'category': 'image', 'creators': [{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': True, 'share': 100}]}",1,9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F,1,"{'verified': 1, 'key': 'SMBH3wF6baUj6JWtzYvqcKuj2XCKWDqQxzspY12xPND', 'data': {'name': 'SMB Gen2', 'image': 'https://arweave.net/lZ5FdIVagNoNvI4QFoHhB6Xyn4oVGLV9xOTW32WBC20', 'description': 'SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 4364}, 'moonrank': {'rank': 2962}}",,
7,HsqruUuC6ZRgbVcmPVL9R5cEGyJJ4DP9biQaPSdNv9xJ,250,CJifJMFWVfF7Aw8CgqjMcyiomhvGPcfhH1awCa9yw1FP,DsNudocKRZxcgdiWtx7qgX23dC3tc8YJp6GyYBXgPRzd,solana_monkey_business,Solana Monkey Business,https://arweave.net/4xeuN8JbioTn7stTdPnWJBVvapP2rKBH2nhqrQjSTmk,https://cdn.solanamonkey.business/gen2/1975.png,SMB #1975,SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.,https://solanamonkey.business/,image,"[{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': 1, 'share': 100}]",600,GHWUNT9c1QxYd9rZhwSbLUtggd8x2kfohp4oGd52pNVB,"[{'trait_type': 'Attributes Count', 'value': 3}, {'trait_type': 'Type', 'value': 'Orange'}, {'trait_type': 'Clothes', 'value': 'Brown Jacket'}, {'trait_type': 'Ears', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Vape'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Hat', 'value': 'White Fedora 1'}]","{'files': [{'uri': 'https://arweave.net/4xeuN8JbioTn7stTdPnWJBVvapP2rKBH2nhqrQjSTmk', 'type': 'image/png'}, {'uri': 'https://cdn.solanamonkey.business/gen2/1975.png', 'type': 'image/png', 'cdn': True}], 'category': 'image', 'creators': [{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': True, 'share': 100}]}",1,9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F,1,"{'verified': 1, 'key': 'SMBH3wF6baUj6JWtzYvqcKuj2XCKWDqQxzspY12xPND', 'data': {'name': 'SMB Gen2', 'image': 'https://arweave.net/lZ5FdIVagNoNvI4QFoHhB6Xyn4oVGLV9xOTW32WBC20', 'description': 'SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2097}, 'howrare': {'rank': 3662}}",,
8,ChebfraBH3RX7zrFKSAqAbBnjnXqcuGguziLuencxAf,255,4NifcZTcxv6K7GxfPFSRim7sbgbLQg9fdqZkjD1vC4gE,ArY6p63pcUNS7jMbCRgcNgYuEwxXJ929sumX8n9p3WaW,solana_monkey_business,Solana Monkey Business,https://arweave.net/XDf43XiPyqi8Ib-ne1yNwD6NBEd3nOOk4P_ifeHtfHg,https://cdn.solanamonkey.business/gen2/2951.png,SMB #2951,SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.,https://solanamonkey.business/,image,"[{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': 1, 'share': 100}]",600,DkAtxd6LmR8u89nE3dZFZYENMgLsJfjQnmQ84PfMXew6,"[{'trait_type': 'Attributes Count', 'value': 2}, {'trait_type': 'Type', 'value': 'Orange'}, {'trait_type': 'Clothes', 'value': 'Cop Vest'}, {'trait_type': 'Ears', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Green Glasses'}, {'trait_type': 'Hat', 'value': 'None'}]","{'files': [{'uri': 'https://arweave.net/XDf43XiPyqi8Ib-ne1yNwD6NBEd3nOOk4P_ifeHtfHg', 'type': 'image/png'}, {'uri': 'https://cdn.solanamonkey.business/gen2/2951.png', 'type': 'image/png', 'cdn': True}], 'category': 'image', 'creators': [{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': True, 'share': 100}]}",1,9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F,1,"{'verified': 1, 'key': 'SMBH3wF6baUj6JWtzYvqcKuj2XCKWDqQxzspY12xPND', 'data': {'name': 'SMB Gen2', 'image': 'https://arweave.net/lZ5FdIVagNoNvI4QFoHhB6Xyn4oVGLV9xOTW32WBC20', 'description': 'SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 4360}, 'moonrank': {'rank': 2781}}",,
9,6HVL1aGcY9V9413aq3K5xiizP5rSUxUy81iAS79PsykC,260,Gjnbnco3TzDtSwSXXbZmbCzH7TJAHBFmLS7UBjJq68Ya,AqwcN2rVLNx6Qx4tp4rxgtFPsXMrE7QWRbD72BbeApjb,solana_monkey_business,Solana Monkey Business,https://arweave.net/t55FBX7GgPLHH9mt8XOhQ5QLHfnbJftIG0UWXNx5shA,https://cdn.solanamonkey.business/gen2/206.png,SMB #206,SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.,https://solanamonkey.business/,image,"[{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': 1, 'share': 100}]",600,DcmxBHc8zmJpgufQRP1oauqcwfAxcEABNDpsDfvT8dhG,"[{'trait_type': 'Attributes Count', 'value': 3}, {'trait_type': 'Type', 'value': 'Brown'}, {'trait_type': 'Clothes', 'value': 'Blue Shirt'}, {'trait_type': 'Ears', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Gold Glasses'}, {'trait_type': 'Hat', 'value': 'Black Fedora 2'}]","{'files': [{'uri': 'https://arweave.net/t55FBX7GgPLHH9mt8XOhQ5QLHfnbJftIG0UWXNx5shA', 'type': 'image/png'}, {'uri': 'https://cdn.solanamonkey.business/gen2/206.png', 'type': 'image/png', 'cdn': True}], 'category': 'image', 'creators': [{'address': '9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F', 'verified': True, 'share': 100}]}",1,9uBX3ASjxWvNBAD1xjbVaKA74mWGZys3RGSF7DdeDD3F,1,"{'verified': 1, 'key': 'SMBH3wF6baUj6JWtzYvqcKuj2XCKWDqQxzspY12xPND', 'data': {'name': 'SMB Gen2', 'image': 'https://arweave.net/lZ5FdIVagNoNvI4QFoHhB6Xyn4oVGLV9xOTW32WBC20', 'description': 'SMB is a collection of 5000 randomly generated 24x24 pixels NFTs on the Solana Blockchain. Each SolanaMonkey is unique and comes with different type and attributes varying in rarity.'}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2160}, 'howrare': {'rank': 3599}}",,
