,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,6hoquPQg568o7JjZJ7QY5VV4NpU3fxbCfcPkWtMTidHc,0.84,8EgshKKjG41Ehy2j6i9iRg9duTPWUCPCmfFrJFCEGYxY,4jCb4K3TQQDJ3FzBMK3zg9V8J58M5RTWvTt4Kq2BWZKG,solbouncer,SolBouncers,https://www.arweave.net/vjaUOfIPvOQOGYCe6k9CoO6sY_KTn_1o-PQ9cAnW7Lo?ext=png,SolBouncer #2536,A rough and tumble band of SolBouncers patrol the Parlay Casino keeping everyone safe!,https://www.theparlaynft.com/,"[{'address': '527DRMShrs8cN8wkus7HvgPp2azmu1mxsV3wpnpic4Bw', 'verified': 1, 'share': 0}, {'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'verified': 0, 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'verified': 0, 'share': 20}]",1000,2YyJnV3AjMeL8KBFLmVWcxV6hyem18EUqHn8rQ7LqdNS,"[{'trait_type': 'Background', 'value': 'Suit'}, {'trait_type': 'SolBouncer', 'value': 'Trainee'}, {'trait_type': 'Beard', 'value': 'Red'}, {'trait_type': 'Body', 'value': 'Black'}, {'trait_type': 'Highlights', 'value': 'Aqua'}, {'trait_type': 'Eyes', 'value': 'Open'}, {'trait_type': 'Tattoos', 'value': 'None'}, {'trait_type': 'Head', 'value': 'Green Hat'}, {'trait_type': 'Lasers', 'value': 'None'}, {'trait_type': 'Tusks', 'value': 'Green'}, {'trait_type': 'Smoke', 'value': 'None'}, {'trait_type': 'T Shirts', 'value': 'Green Black Leopard'}, {'trait_type': 'T Shirt Logo', 'value': 'None'}, {'trait_type': 'Weapons', 'value': 'Chrome Knuckles'}, {'trait_type': 'Lucky Card', 'value': '3 - Clubs'}]","{'creators': [{'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'share': 20}], 'files': [{'uri': 'https://www.arweave.net/vjaUOfIPvOQOGYCe6k9CoO6sY_KTn_1o-PQ9cAnW7Lo?ext=png', 'type': 'image/png'}]}",1,8cAYG1NLzsuoXHWNavd7kWABZ4pdsGVGS4ZQf9TM3HfW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3801}}
1,H7ka6b9rPLQfCPNKHdZmAeHRdN8mFjPRxVLtkXNRB1mi,0.8,2HZS1DG2fzsv12YLBYTLM7rJMPDJo34vpH1df4H8dLWt,G7rATcoTZfyqskUmghuYy7jGGhD55dGukMdRUnVkXbQS,solbouncer,SolBouncers,https://www.arweave.net/pNAwrI1Q_Tz08KRfyw5lRSt5X-1mMyOfU-0Yljyf5rU?ext=png,SolBouncer #4403,A rough and tumble band of SolBouncers patrol the Parlay Casino keeping everyone safe!,https://www.theparlaynft.com/,"[{'address': '527DRMShrs8cN8wkus7HvgPp2azmu1mxsV3wpnpic4Bw', 'verified': 1, 'share': 0}, {'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'verified': 0, 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'verified': 0, 'share': 20}]",1000,928kKBeDqyPFuc4opQxKTpM7vusKAimz6ZEQpyf1vhSt,"[{'trait_type': 'Background', 'value': 'Magenta Dice'}, {'trait_type': 'SolBouncer', 'value': 'Trainee'}, {'trait_type': 'Beard', 'value': 'Aqua'}, {'trait_type': 'Body', 'value': 'Green'}, {'trait_type': 'Highlights', 'value': 'Aqua'}, {'trait_type': 'Eyes', 'value': 'Open'}, {'trait_type': 'Tattoos', 'value': 'None'}, {'trait_type': 'Head', 'value': 'Red Happy Hat'}, {'trait_type': 'Lasers', 'value': 'None'}, {'trait_type': 'Tusks', 'value': 'Dirty Gold'}, {'trait_type': 'Smoke', 'value': 'None'}, {'trait_type': 'T Shirts', 'value': 'Red Hawaiian'}, {'trait_type': 'T Shirt Logo', 'value': 'Blue Skulls'}, {'trait_type': 'Weapons', 'value': 'None'}, {'trait_type': 'Lucky Card', 'value': 'Queen - Spades'}]","{'creators': [{'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'share': 20}], 'files': [{'uri': 'https://www.arweave.net/pNAwrI1Q_Tz08KRfyw5lRSt5X-1mMyOfU-0Yljyf5rU?ext=png', 'type': 'image/png'}]}",1,8cAYG1NLzsuoXHWNavd7kWABZ4pdsGVGS4ZQf9TM3HfW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2371}}
2,HVrsWKP7Jgq2rgpwPkbQXefbgjN447rLxShjYKwfkLBv,0.83,8nTtRGR7jgCQgZsxpvrh5MuXX5BHSdreWpMB7LCFKZM9,5Zne62AkmwJYrsqaidMCQvJ3sdV3jtdfs3UkBoje7MDh,solbouncer,SolBouncers,https://www.arweave.net/WFPKC1_MK_T-6-f6p14lcaAO0i17O8SlwFUBcOuLuiY?ext=png,SolBouncer #4577,A rough and tumble band of SolBouncers patrol the Parlay Casino keeping everyone safe!,https://www.theparlaynft.com/,"[{'address': '527DRMShrs8cN8wkus7HvgPp2azmu1mxsV3wpnpic4Bw', 'verified': 1, 'share': 0}, {'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'verified': 0, 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'verified': 0, 'share': 20}]",1000,Dqw3SncCnQVz5yafbyiNMSjxbVepXM4DnahQM3vuqwrc,"[{'trait_type': 'Background', 'value': 'Aqua'}, {'trait_type': 'SolBouncer', 'value': 'Trainee'}, {'trait_type': 'Beard', 'value': 'Green'}, {'trait_type': 'Body', 'value': 'Tan'}, {'trait_type': 'Highlights', 'value': 'Red'}, {'trait_type': 'Eyes', 'value': 'Open'}, {'trait_type': 'Tattoos', 'value': 'None'}, {'trait_type': 'Head', 'value': 'Light Brown Aviator'}, {'trait_type': 'Lasers', 'value': 'None'}, {'trait_type': 'Tusks', 'value': 'White'}, {'trait_type': 'Smoke', 'value': 'None'}, {'trait_type': 'T Shirts', 'value': 'Purple Gray Jag'}, {'trait_type': 'T Shirt Logo', 'value': 'Parlay'}, {'trait_type': 'Weapons', 'value': 'Cyan Billy Club'}, {'trait_type': 'Lucky Card', 'value': '3 - Clubs'}]","{'creators': [{'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'share': 20}], 'files': [{'uri': 'https://www.arweave.net/WFPKC1_MK_T-6-f6p14lcaAO0i17O8SlwFUBcOuLuiY?ext=png', 'type': 'image/png'}]}",1,8cAYG1NLzsuoXHWNavd7kWABZ4pdsGVGS4ZQf9TM3HfW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2373}}
3,8iRB2ZEVrUPTfsDsvaKUC8VYbruzUAH751cnG5LZELWP,0.84,6dL3MRCP47nwws84wYfSzSW94jWt9NSBzFFvGsuYc6P4,4jCb4K3TQQDJ3FzBMK3zg9V8J58M5RTWvTt4Kq2BWZKG,solbouncer,SolBouncers,https://www.arweave.net/czCtGbCSaR0q_vkfzKYUQ3Fk_Gfl9YxjdK3OnVZcsYg?ext=png,SolBouncer #3975,A rough and tumble band of SolBouncers patrol the Parlay Casino keeping everyone safe!,https://www.theparlaynft.com/,"[{'address': '527DRMShrs8cN8wkus7HvgPp2azmu1mxsV3wpnpic4Bw', 'verified': 1, 'share': 0}, {'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'verified': 0, 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'verified': 0, 'share': 20}]",1000,4GHEVLTsh2nYrogYzdv7dFkM5BWBffgvoEcf2nzvkuy8,"[{'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'SolBouncer', 'value': 'Trainee'}, {'trait_type': 'Beard', 'value': 'White'}, {'trait_type': 'Body', 'value': 'Green'}, {'trait_type': 'Highlights', 'value': 'Aqua'}, {'trait_type': 'Eyes', 'value': 'Open'}, {'trait_type': 'Tattoos', 'value': 'Orange Hannya'}, {'trait_type': 'Head', 'value': 'Orange Flame'}, {'trait_type': 'Lasers', 'value': 'None'}, {'trait_type': 'Tusks', 'value': 'Red Flat'}, {'trait_type': 'Smoke', 'value': 'None'}, {'trait_type': 'T Shirts', 'value': 'Green Black Leopard'}, {'trait_type': 'T Shirt Logo', 'value': 'None'}, {'trait_type': 'Weapons', 'value': 'None'}, {'trait_type': 'Lucky Card', 'value': '5 - Diamonds'}]","{'creators': [{'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'share': 20}], 'files': [{'uri': 'https://www.arweave.net/czCtGbCSaR0q_vkfzKYUQ3Fk_Gfl9YxjdK3OnVZcsYg?ext=png', 'type': 'image/png'}]}",1,8cAYG1NLzsuoXHWNavd7kWABZ4pdsGVGS4ZQf9TM3HfW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3967}}
4,E4D8j649J5CTN6X2V7T5BSpT3GqGpBQ86hFG8j4J82WV,0.84,9EmcNCjSPpzDQg8myKmTroAR7qBBfbfFgwnCFDGjNgiQ,4jCb4K3TQQDJ3FzBMK3zg9V8J58M5RTWvTt4Kq2BWZKG,solbouncer,SolBouncers,https://www.arweave.net/1NkVuv_5mww6FONZSIx7gUiKrLGvSyZ7J9GoqcAeePk?ext=png,SolBouncer #3508,A rough and tumble band of SolBouncers patrol the Parlay Casino keeping everyone safe!,https://www.theparlaynft.com/,"[{'address': '527DRMShrs8cN8wkus7HvgPp2azmu1mxsV3wpnpic4Bw', 'verified': 1, 'share': 0}, {'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'verified': 0, 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'verified': 0, 'share': 20}]",1000,6eMv845nW9KCtgwbr7ruZaWf2ayxHQG7a2ST7NCAHBWA,"[{'trait_type': 'Background', 'value': 'Neon Green'}, {'trait_type': 'SolBouncer', 'value': 'Trainee'}, {'trait_type': 'Beard', 'value': 'Gray'}, {'trait_type': 'Body', 'value': 'Black'}, {'trait_type': 'Highlights', 'value': 'Green'}, {'trait_type': 'Eyes', 'value': 'Open'}, {'trait_type': 'Tattoos', 'value': 'None'}, {'trait_type': 'Head', 'value': 'Green Hat'}, {'trait_type': 'Lasers', 'value': 'None'}, {'trait_type': 'Tusks', 'value': 'Green'}, {'trait_type': 'Smoke', 'value': 'None'}, {'trait_type': 'T Shirts', 'value': 'Dingy Yellow'}, {'trait_type': 'T Shirt Logo', 'value': 'None'}, {'trait_type': 'Weapons', 'value': 'None'}, {'trait_type': 'Lucky Card', 'value': 'Queen - Hearts'}]","{'creators': [{'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'share': 20}], 'files': [{'uri': 'https://www.arweave.net/1NkVuv_5mww6FONZSIx7gUiKrLGvSyZ7J9GoqcAeePk?ext=png', 'type': 'image/png'}]}",1,8cAYG1NLzsuoXHWNavd7kWABZ4pdsGVGS4ZQf9TM3HfW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 4407}}
5,7ttyRs3vhXB75d18ysW9MmmR7x8rz9TuqnYgHcJWhnHk,0.9,FpKHnqgcf3Va7BFf8NcznZxPBt6MN9DLB39ZT51EPrBJ,EHZ3rCUCasVpKDKc2fTjWNC9fMTgUdQwPgGFANBh63T3,solbouncer,SolBouncers,https://www.arweave.net/fxikZ9yNAU7fAgpi7uFNwv8wzAGDxPewsCy1pbs83oI?ext=png,SolBouncer #3743,A rough and tumble band of SolBouncers patrol the Parlay Casino keeping everyone safe!,https://www.theparlaynft.com/,"[{'address': '527DRMShrs8cN8wkus7HvgPp2azmu1mxsV3wpnpic4Bw', 'verified': 1, 'share': 0}, {'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'verified': 0, 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'verified': 0, 'share': 20}]",1000,2d6jcDCnfiQFS5eqSKJVxdB2HeP4ztUtaTjhZFmjQgza,"[{'trait_type': 'Background', 'value': 'Magenta Dice'}, {'trait_type': 'SolBouncer', 'value': 'Trainee'}, {'trait_type': 'Beard', 'value': 'Orange'}, {'trait_type': 'Body', 'value': 'Tan'}, {'trait_type': 'Highlights', 'value': 'Green'}, {'trait_type': 'Eyes', 'value': 'Open'}, {'trait_type': 'Tattoos', 'value': 'Gray Hannya'}, {'trait_type': 'Head', 'value': 'Melon Mohawk'}, {'trait_type': 'Lasers', 'value': 'None'}, {'trait_type': 'Tusks', 'value': 'Yellow'}, {'trait_type': 'Smoke', 'value': 'None'}, {'trait_type': 'T Shirts', 'value': 'Yellow Hawaiian'}, {'trait_type': 'T Shirt Logo', 'value': 'Green Skulls'}, {'trait_type': 'Weapons', 'value': 'None'}, {'trait_type': 'Lucky Card', 'value': '8 - Hearts'}]","{'creators': [{'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'share': 20}], 'files': [{'uri': 'https://www.arweave.net/fxikZ9yNAU7fAgpi7uFNwv8wzAGDxPewsCy1pbs83oI?ext=png', 'type': 'image/png'}]}",1,8cAYG1NLzsuoXHWNavd7kWABZ4pdsGVGS4ZQf9TM3HfW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2336}}
6,FLcorGM73AAWkuiEHg13MfsQQWC5gKbsyoG3JWtYPjuK,0.9,7pcxY2VvqN2HonmEe9bCKxYauSgqkdMsrKUgw9HxNvp6,6nAorZLMmgjPJ465KDRF1ETxoQkVrP3RCzw73PDhhDZs,solbouncer,SolBouncers,https://www.arweave.net/JmVjgAlOxgtFtY-J9sqF4ixYRt_c3eEJBbfl0R7vY0I?ext=png,SolBouncer #3331,A rough and tumble band of SolBouncers patrol the Parlay Casino keeping everyone safe!,https://www.theparlaynft.com/,"[{'address': '527DRMShrs8cN8wkus7HvgPp2azmu1mxsV3wpnpic4Bw', 'verified': 1, 'share': 0}, {'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'verified': 0, 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'verified': 0, 'share': 20}]",1000,6HTzdgD2DnuJkG2xhuSLeoyYCVbNbE5kqqQWbxo467CS,"[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'SolBouncer', 'value': 'Trainee'}, {'trait_type': 'Beard', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Blue Raspberry'}, {'trait_type': 'Highlights', 'value': 'Aqua'}, {'trait_type': 'Eyes', 'value': 'Open'}, {'trait_type': 'Tattoos', 'value': 'None'}, {'trait_type': 'Head', 'value': 'Toxic Mohawk'}, {'trait_type': 'Lasers', 'value': 'None'}, {'trait_type': 'Tusks', 'value': 'Light Green'}, {'trait_type': 'Smoke', 'value': 'None'}, {'trait_type': 'T Shirts', 'value': 'Blood Yellow'}, {'trait_type': 'T Shirt Logo', 'value': 'Orange Skulls'}, {'trait_type': 'Weapons', 'value': 'Broken Bottle'}, {'trait_type': 'Lucky Card', 'value': '10 - Hearts'}]","{'creators': [{'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'share': 20}], 'files': [{'uri': 'https://www.arweave.net/JmVjgAlOxgtFtY-J9sqF4ixYRt_c3eEJBbfl0R7vY0I?ext=png', 'type': 'image/png'}]}",1,8cAYG1NLzsuoXHWNavd7kWABZ4pdsGVGS4ZQf9TM3HfW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2514}}
7,F2zL9JoyPVerTPQaJxUrK69eNUTrsmUe8WfvhYGEAZ62,0.9,7xDpqEMP1nBwNGoasyMJCMtNAoaVThXeH3GHaVVyPPsB,CuARcL7G4GvRDquP4SAQd15bJ2DJ4h4QuTWB3LdvMDKw,solbouncer,SolBouncers,https://www.arweave.net/xSewLgTbyLPfwDMJ1YlI51yONXG4fnBA_uN0rwdjmJ4?ext=png,SolBouncer #2764,A rough and tumble band of SolBouncers patrol the Parlay Casino keeping everyone safe!,https://www.theparlaynft.com/,"[{'address': '527DRMShrs8cN8wkus7HvgPp2azmu1mxsV3wpnpic4Bw', 'verified': 1, 'share': 0}, {'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'verified': 0, 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'verified': 0, 'share': 20}]",1000,96kdtnXK3X78QQRrzbsoU6MiRhvVNXV6cpqYT83WwMTV,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'SolBouncer', 'value': 'Trainee'}, {'trait_type': 'Beard', 'value': 'Aqua'}, {'trait_type': 'Body', 'value': 'Black'}, {'trait_type': 'Highlights', 'value': 'Green'}, {'trait_type': 'Eyes', 'value': 'Open'}, {'trait_type': 'Tattoos', 'value': 'None'}, {'trait_type': 'Head', 'value': 'Blonde Flat Top'}, {'trait_type': 'Lasers', 'value': 'None'}, {'trait_type': 'Tusks', 'value': 'Blue'}, {'trait_type': 'Smoke', 'value': 'None'}, {'trait_type': 'T Shirts', 'value': 'Green Black Leopard'}, {'trait_type': 'T Shirt Logo', 'value': 'None'}, {'trait_type': 'Weapons', 'value': 'Gold Knuckles'}, {'trait_type': 'Lucky Card', 'value': '7 - Clubs'}]","{'creators': [{'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'share': 20}], 'files': [{'uri': 'https://www.arweave.net/xSewLgTbyLPfwDMJ1YlI51yONXG4fnBA_uN0rwdjmJ4?ext=png', 'type': 'image/png'}]}",1,8cAYG1NLzsuoXHWNavd7kWABZ4pdsGVGS4ZQf9TM3HfW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3778}}
8,BWAmUaGdQpi4VHEG6YCRFyAVqdrhmkUTGLNwb7gQfAnK,0.99,8KBuSySCw2nx7HX9eiKFEqvRo3fUqTSGB6iX7BCsELz3,7tucEUafTDEnmGn6UXVhkkui6LhckschJUCs7ToqK33L,solbouncer,SolBouncers,https://www.arweave.net/zngTKbVjCW-TPqJ8djucgzgak3pfQVlbd3jC2QnMIvA?ext=png,SolBouncer #4465,A rough and tumble band of SolBouncers patrol the Parlay Casino keeping everyone safe!,https://www.theparlaynft.com/,"[{'address': '527DRMShrs8cN8wkus7HvgPp2azmu1mxsV3wpnpic4Bw', 'verified': 1, 'share': 0}, {'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'verified': 0, 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'verified': 0, 'share': 20}]",1000,AB4UXMu4Sj6ArAd1bTzivmzszp8rJEeXvjiRkYactJxR,"[{'trait_type': 'Background', 'value': 'Green Dice'}, {'trait_type': 'SolBouncer', 'value': 'Trainee'}, {'trait_type': 'Beard', 'value': 'White'}, {'trait_type': 'Body', 'value': 'Black'}, {'trait_type': 'Highlights', 'value': 'Green'}, {'trait_type': 'Eyes', 'value': 'Open'}, {'trait_type': 'Tattoos', 'value': 'None'}, {'trait_type': 'Head', 'value': 'Purple Aviator'}, {'trait_type': 'Lasers', 'value': 'None'}, {'trait_type': 'Tusks', 'value': 'Green'}, {'trait_type': 'Smoke', 'value': 'None'}, {'trait_type': 'T Shirts', 'value': 'Green Plain'}, {'trait_type': 'T Shirt Logo', 'value': 'Green Skulls'}, {'trait_type': 'Weapons', 'value': 'Redwood Billy Club'}, {'trait_type': 'Lucky Card', 'value': '5 - Hearts'}]","{'creators': [{'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'share': 20}], 'files': [{'uri': 'https://www.arweave.net/zngTKbVjCW-TPqJ8djucgzgak3pfQVlbd3jC2QnMIvA?ext=png', 'type': 'image/png'}]}",1,8cAYG1NLzsuoXHWNavd7kWABZ4pdsGVGS4ZQf9TM3HfW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2783}}
9,HBMfNBV9zGwyqrdibGGr37ytqgSq7EYnihAmasv6KpDb,1.0,Dioa2LNqdAEwjVqiMtsK3fjsaMErf2BKuN3SNKoYzVKo,62vKcnViWJ2gsfGjX9SHGPwsqqPCCHQbtP383EsCMu9j,solbouncer,SolBouncers,https://www.arweave.net/yamkHlzXG9i1i0gzI4OfyuSkb2EXKwsy_4dHSDUAIhg?ext=png,SolBouncer #2648,A rough and tumble band of SolBouncers patrol the Parlay Casino keeping everyone safe!,https://www.theparlaynft.com/,"[{'address': '527DRMShrs8cN8wkus7HvgPp2azmu1mxsV3wpnpic4Bw', 'verified': 1, 'share': 0}, {'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'verified': 0, 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'verified': 0, 'share': 20}]",1000,2fqe5FnyjfqKU6WDxoA9oeD4BJoq7QsssfnP324ffi1m,"[{'trait_type': 'Background', 'value': 'Zombie'}, {'trait_type': 'SolBouncer', 'value': 'Trainee'}, {'trait_type': 'Beard', 'value': 'Red'}, {'trait_type': 'Body', 'value': 'Blue Raspberry'}, {'trait_type': 'Highlights', 'value': 'Red'}, {'trait_type': 'Eyes', 'value': 'Blink'}, {'trait_type': 'Tattoos', 'value': 'None'}, {'trait_type': 'Head', 'value': 'Melon Mohawk'}, {'trait_type': 'Lasers', 'value': 'None'}, {'trait_type': 'Tusks', 'value': 'White'}, {'trait_type': 'Smoke', 'value': 'None'}, {'trait_type': 'T Shirts', 'value': 'Purple Black Jag'}, {'trait_type': 'T Shirt Logo', 'value': 'Parlay'}, {'trait_type': 'Weapons', 'value': 'None'}, {'trait_type': 'Lucky Card', 'value': '8 - Diamonds'}]","{'creators': [{'address': 'CcPssghZG9gUCHJeDAw3p1oyDfPmLt4B2wWk3sfkof2Q', 'share': 80}, {'address': 'HEYageWQtfnfYrx1VQKPn2eygkAQqAdDF3pJNbe2SDZt', 'share': 20}], 'files': [{'uri': 'https://www.arweave.net/yamkHlzXG9i1i0gzI4OfyuSkb2EXKwsy_4dHSDUAIhg?ext=png', 'type': 'image/png'}]}",1,8cAYG1NLzsuoXHWNavd7kWABZ4pdsGVGS4ZQf9TM3HfW,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 2286}}
