,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,wuy3WQ34ZGWFvNe6bmWt6iodQ7P7ZPubthjenqZfVkv,42.0,EMvAqjKHHepSxqYVMfUVecvsPHX76t7taZnZtwq94CaW,AqwcN2rVLNx6Qx4tp4rxgtFPsXMrE7QWRbD72BbeApjb,solgods,SOLgods ,https://www.arweave.net/jIAVXHa9LWHCQjpCI7M9lx_K4PXeJim29hR0F9rM820?ext=png,SOLGods 2578,"[{'address': 'ALNcW6QDNf7H4iNiTM3FD16LZ4zMGyEeCYQiE1AbCoXk', 'verified': 1, 'share': 0}, {'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'verified': 0, 'share': 100}]",500,9KQbhn4swUzpygPew67hFWpByNSsNkvtwqqhy95vWwkb,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Code', 'value': 'None'}, {'trait_type': 'Back', 'value': 'None'}, {'trait_type': 'Character', 'value': 'White'}, {'trait_type': 'Torso', 'value': 'Police'}, {'trait_type': 'Eyes', 'value': 'Voodoo Left'}, {'trait_type': 'Face', 'value': 'Pipe'}, {'trait_type': 'Head', 'value': 'None'}]","{'creators': [{'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'share': 92}, {'address': '5yqPJhLcoqDcVLTQjWq5MBGh18R6jv7pVwtacLW32b6J', 'share': 8}], 'files': [{'uri': 'https://www.arweave.net/jIAVXHa9LWHCQjpCI7M9lx_K4PXeJim29hR0F9rM820?ext=png', 'type': 'image/png'}]}",1,41PLzJby9zqiXjXnY5psHt6zf2X5uaDPiZ5wwRAPKAZM,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5915}, 'howrare': {'rank': 6267}}"
1,4vuWMWbARon1oL78yD8iHoUe873b4L7UPHxopjdVAFgj,42.77,GdaYzBQc2dURdJXXJuYTYLjMkRUayet6FzY7PrgBgmt3,FzLfynLj2h3E6JgV47tQCcnm4TBuRzwxiFmoiTrgYxSD,solgods,SOLgods ,https://www.arweave.net/RqsrKFf-2zfl8vva2Zw4kIgGbqj-qx6Brtp9vB5gu28?ext=png,SOLGods 2496,"[{'address': 'ALNcW6QDNf7H4iNiTM3FD16LZ4zMGyEeCYQiE1AbCoXk', 'verified': 1, 'share': 0}, {'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'verified': 0, 'share': 100}]",500,9D9U9dddoDZ4ByMpj7uMcbiPiBPMvgkFD5qGYcq4bLBP,"[{'trait_type': 'Background', 'value': 'Grey'}, {'trait_type': 'Code', 'value': 'None'}, {'trait_type': 'Back', 'value': 'None'}, {'trait_type': 'Character', 'value': 'Grey'}, {'trait_type': 'Torso', 'value': 'Black Top'}, {'trait_type': 'Eyes', 'value': 'Voodoo'}, {'trait_type': 'Face', 'value': 'Cigar'}, {'trait_type': 'Head', 'value': 'Horns White'}]","{'creators': [{'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'share': 92}, {'address': '5yqPJhLcoqDcVLTQjWq5MBGh18R6jv7pVwtacLW32b6J', 'share': 8}], 'files': [{'uri': 'https://www.arweave.net/RqsrKFf-2zfl8vva2Zw4kIgGbqj-qx6Brtp9vB5gu28?ext=png', 'type': 'image/png'}]}",1,41PLzJby9zqiXjXnY5psHt6zf2X5uaDPiZ5wwRAPKAZM,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 5146}, 'moonrank': {'rank': 4069}}"
2,6mDxZNY8h3E6dAqbNKTFoE6bDvvEiXo5goENUi6Zi4ZL,43.0,CFHT6bBQtW3eUxTuiwgGdUf4Gqq597qXdfsynKGwBBwS,H6Tb3ktHN425p7WpPWAakTK1ydV5f9HPGXuui93vMBzK,solgods,SOLgods ,https://www.arweave.net/3cs4UJyCD0X8JYIu-NAz_zO8NAP_ARUkueO9M0xtkoo?ext=png,SOLGods 5802,"[{'address': 'ALNcW6QDNf7H4iNiTM3FD16LZ4zMGyEeCYQiE1AbCoXk', 'verified': 1, 'share': 0}, {'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'verified': 0, 'share': 100}]",500,BjPP86Li81hK3oZQS9cNA5iyihZa9DYLQnzmsFQ19XKt,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Code', 'value': 'None'}, {'trait_type': 'Back', 'value': 'None'}, {'trait_type': 'Character', 'value': 'Black'}, {'trait_type': 'Torso', 'value': 'Suit Coloured'}, {'trait_type': 'Eyes', 'value': 'Glasses Retro'}, {'trait_type': 'Face', 'value': 'Stitch Smile'}, {'trait_type': 'Head', 'value': 'Flatcap'}]","{'creators': [{'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'share': 92}, {'address': '5yqPJhLcoqDcVLTQjWq5MBGh18R6jv7pVwtacLW32b6J', 'share': 8}], 'files': [{'uri': 'https://www.arweave.net/3cs4UJyCD0X8JYIu-NAz_zO8NAP_ARUkueO9M0xtkoo?ext=png', 'type': 'image/png'}]}",1,41PLzJby9zqiXjXnY5psHt6zf2X5uaDPiZ5wwRAPKAZM,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2356}, 'howrare': {'rank': 3715}}"
3,8LgURJdwoQa9yn1RJQ4xhriUBrk66Va2xA7qJjCr1qgx,43.99,9m8MBPH4CRP7EvG6Mk5ibVdrUizJforvSbfJVhwWwvK,GNyoSnNfTSZtBU9TDNmRkfgrMmgyDcwPLtvEekLFszG4,solgods,SOLgods ,https://www.arweave.net/dGwp6wI0fxvPPvKDgHxv9fYc2gcBIRsURqXt36zHy30?ext=png,SOLGods 1439,"[{'address': 'ALNcW6QDNf7H4iNiTM3FD16LZ4zMGyEeCYQiE1AbCoXk', 'verified': 1, 'share': 0}, {'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'verified': 0, 'share': 100}]",500,3LygEyJmH7MN1AQKVhBWWsP8BHZ1S89RwGWY5C81v15t,"[{'trait_type': 'Background', 'value': 'Psy'}, {'trait_type': 'Code', 'value': 'None'}, {'trait_type': 'Back', 'value': 'None'}, {'trait_type': 'Character', 'value': 'Black'}, {'trait_type': 'Torso', 'value': 'Hoodie Blue'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Face', 'value': 'None'}, {'trait_type': 'Head', 'value': 'Hook'}]","{'creators': [{'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'share': 92}, {'address': '5yqPJhLcoqDcVLTQjWq5MBGh18R6jv7pVwtacLW32b6J', 'share': 8}], 'files': [{'uri': 'https://www.arweave.net/dGwp6wI0fxvPPvKDgHxv9fYc2gcBIRsURqXt36zHy30?ext=png', 'type': 'image/png'}]}",1,41PLzJby9zqiXjXnY5psHt6zf2X5uaDPiZ5wwRAPKAZM,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5148}, 'howrare': {'rank': 3377}}"
4,5FGNpUSxHC7iaQCzVNvjRcMrj2NFPg5Ex6VN3CnYHbLk,44.0,DVdske2voGBPmz4MhUC9qa5vb8C4SGCspXSPDXS6Zj7d,13Hv2XzwSV2YWidAXJNb3qmp1Hr7D94YvgVZTKddhMXn,solgods,SOLgods ,https://www.arweave.net/3r0ZUU6LQYuizdr0C2fDnQsklSFn2HrUR6Pz-ET0KOk?ext=png,SOLGods 4793,"[{'address': 'ALNcW6QDNf7H4iNiTM3FD16LZ4zMGyEeCYQiE1AbCoXk', 'verified': 1, 'share': 0}, {'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'verified': 0, 'share': 100}]",500,EZU4pos4ea6e6qSu4FvvuerUpmHnCxmpfzBgu464xDZo,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Code', 'value': 'None'}, {'trait_type': 'Back', 'value': 'None'}, {'trait_type': 'Character', 'value': 'White'}, {'trait_type': 'Torso', 'value': 'Vest White'}, {'trait_type': 'Eyes', 'value': 'Buttons'}, {'trait_type': 'Face', 'value': 'Joint'}, {'trait_type': 'Head', 'value': 'Flatcap'}]","{'creators': [{'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'share': 92}, {'address': '5yqPJhLcoqDcVLTQjWq5MBGh18R6jv7pVwtacLW32b6J', 'share': 8}], 'files': [{'uri': 'https://www.arweave.net/3r0ZUU6LQYuizdr0C2fDnQsklSFn2HrUR6Pz-ET0KOk?ext=png', 'type': 'image/png'}]}",1,41PLzJby9zqiXjXnY5psHt6zf2X5uaDPiZ5wwRAPKAZM,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4253}, 'howrare': {'rank': 5375}}"
5,DhmDFKt9zMCwMWpvW2uJWUXzBMSXmT2Rquu9sZeEkfWd,45.0,EZrTiY2viuNFD5K8Ff8PBLi4ChR3ikRbLp3hbi1XELMa,13A5oEpXw7XiV1TeUL4UxseKWyBaWPYaUsyHmVvTBCbR,solgods,SOLgods ,https://www.arweave.net/Yuqfr0RPegCHvJpO8NBGR5npmnZogz4NHlgStX34_1U?ext=png,SOLGods 421,"[{'address': 'ALNcW6QDNf7H4iNiTM3FD16LZ4zMGyEeCYQiE1AbCoXk', 'verified': 1, 'share': 0}, {'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'verified': 0, 'share': 100}]",500,DJXWJSPb3ogCAsPfN3r6JRBwHKjt3sCebPTGeveUguuw,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Code', 'value': 'None'}, {'trait_type': 'Back', 'value': 'None'}, {'trait_type': 'Character', 'value': 'Black'}, {'trait_type': 'Torso', 'value': 'Bulletproof'}, {'trait_type': 'Eyes', 'value': 'Voodoo Left'}, {'trait_type': 'Face', 'value': 'None'}, {'trait_type': 'Head', 'value': 'Horns Black'}]","{'creators': [{'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'share': 92}, {'address': '5yqPJhLcoqDcVLTQjWq5MBGh18R6jv7pVwtacLW32b6J', 'share': 8}], 'files': [{'uri': 'https://www.arweave.net/Yuqfr0RPegCHvJpO8NBGR5npmnZogz4NHlgStX34_1U?ext=png', 'type': 'image/png'}]}",1,41PLzJby9zqiXjXnY5psHt6zf2X5uaDPiZ5wwRAPKAZM,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5120}, 'howrare': {'rank': 4667}}"
6,54q21FeZ6XU8iVtKjDgZKGRVGKZFGuj9zfhuARDD2zKo,45.0,Ad8bGDB5qjEEe1RbpWqLfjwTq4YWzstNYvo2Cb3L5i2R,2A22FVj2sbiwzwboDfoXeym2gfLDeV8ndMXaXSxfUT1u,solgods,SOLgods ,https://www.arweave.net/8i1OyIkY34_h8CZQg__TVQApDccIwZBIJ4zPZqc-EF0?ext=png,SOLGods 897,"[{'address': 'ALNcW6QDNf7H4iNiTM3FD16LZ4zMGyEeCYQiE1AbCoXk', 'verified': 1, 'share': 0}, {'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'verified': 0, 'share': 100}]",500,96bHBY7Kxjm5Rp2iM8EzPN7HL3gFttEse4xijpeEKur6,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Code', 'value': 'None'}, {'trait_type': 'Back', 'value': 'None'}, {'trait_type': 'Character', 'value': 'Black'}, {'trait_type': 'Torso', 'value': 'Riot'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Face', 'value': 'Cigar'}, {'trait_type': 'Head', 'value': 'Hook'}]","{'creators': [{'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'share': 92}, {'address': '5yqPJhLcoqDcVLTQjWq5MBGh18R6jv7pVwtacLW32b6J', 'share': 8}], 'files': [{'uri': 'https://www.arweave.net/8i1OyIkY34_h8CZQg__TVQApDccIwZBIJ4zPZqc-EF0?ext=png', 'type': 'image/png'}]}",1,41PLzJby9zqiXjXnY5psHt6zf2X5uaDPiZ5wwRAPKAZM,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3957}, 'howrare': {'rank': 3224}}"
7,7qdcSBjL4PYJpSUpSNtPm7jv2zgAhHAikfoxdA61MX8f,45.0,FFT4mx5MLG3eEZnWLbhMmG3NskS1PVtTMF7ZL7qFdyis,7WUVuGiwXSK3xyiBhoTVUspQifRsX7WMJNitxyyPqe2o,solgods,SOLgods ,https://www.arweave.net/VT8L_hvHIozqhPD-LhxYshCBMQC4F1_AGoytxAoUqNQ?ext=png,SOLGods 1240,"[{'address': 'ALNcW6QDNf7H4iNiTM3FD16LZ4zMGyEeCYQiE1AbCoXk', 'verified': 1, 'share': 0}, {'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'verified': 0, 'share': 100}]",500,2axM8skHMnoSoRBHC2W1jot5PSUeBz2Pk2ux91ce6wVT,"[{'trait_type': 'Background', 'value': 'Hell'}, {'trait_type': 'Code', 'value': 'None'}, {'trait_type': 'Back', 'value': 'None'}, {'trait_type': 'Character', 'value': 'White'}, {'trait_type': 'Torso', 'value': 'Army Jumper'}, {'trait_type': 'Eyes', 'value': 'Buttons'}, {'trait_type': 'Face', 'value': 'Bandana White'}, {'trait_type': 'Head', 'value': 'Flatcap'}]","{'creators': [{'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'share': 92}, {'address': '5yqPJhLcoqDcVLTQjWq5MBGh18R6jv7pVwtacLW32b6J', 'share': 8}], 'files': [{'uri': 'https://www.arweave.net/VT8L_hvHIozqhPD-LhxYshCBMQC4F1_AGoytxAoUqNQ?ext=png', 'type': 'image/png'}]}",1,41PLzJby9zqiXjXnY5psHt6zf2X5uaDPiZ5wwRAPKAZM,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1860}, 'howrare': {'rank': 3215}}"
8,68TS7uZsdcd1MFLejwB2nwbgGW1UfyZ6XmxDVjL8SXKp,45.0,2HkLotChnfQ5aJFqudEnigDsHZTz6xBfqfukS7pG6AoA,6Z1ZGRyAPvt9wV83FQjytMbQcsSuthkdmHyKB5NbLSz3,solgods,SOLgods ,https://www.arweave.net/fVIrxuAtzfWL0UKshU-ix5UNrn-yiMv0i_RtlIncBvI?ext=png,SOLGods 1565,"[{'address': 'ALNcW6QDNf7H4iNiTM3FD16LZ4zMGyEeCYQiE1AbCoXk', 'verified': 1, 'share': 0}, {'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'verified': 0, 'share': 100}]",500,7WyK2G7mBmjDT53CzwYcHkM8Rourq52RFbb8fVpvqWyf,"[{'trait_type': 'Background', 'value': 'Grey'}, {'trait_type': 'Code', 'value': 'None'}, {'trait_type': 'Back', 'value': 'None'}, {'trait_type': 'Character', 'value': 'White'}, {'trait_type': 'Torso', 'value': 'Formal Black'}, {'trait_type': 'Eyes', 'value': 'Voodoo Left'}, {'trait_type': 'Face', 'value': 'Bandana Black'}, {'trait_type': 'Head', 'value': 'None'}]","{'creators': [{'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'share': 92}, {'address': '5yqPJhLcoqDcVLTQjWq5MBGh18R6jv7pVwtacLW32b6J', 'share': 8}], 'files': [{'uri': 'https://www.arweave.net/fVIrxuAtzfWL0UKshU-ix5UNrn-yiMv0i_RtlIncBvI?ext=png', 'type': 'image/png'}]}",1,41PLzJby9zqiXjXnY5psHt6zf2X5uaDPiZ5wwRAPKAZM,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 6395}, 'moonrank': {'rank': 5997}}"
9,7UyuUqqmnqP7knqr8MestFpsZJtEtX9SYazJTEe5PUft,45.0,9zQXUFTyrewNdddvbZGav9PemTpEdKqGvvsjZqgu8Yx5,6Je8dU4o3LN5ps5y6UqVeGQhywS7oxdshjYddF4dyFFd,solgods,SOLgods ,https://www.arweave.net/G_qNzTRoJO9ORES4wspg645Dr_0hv-XlX-vjRcX-plM?ext=png,SOLGods 5611,"[{'address': 'ALNcW6QDNf7H4iNiTM3FD16LZ4zMGyEeCYQiE1AbCoXk', 'verified': 1, 'share': 0}, {'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'verified': 0, 'share': 100}]",500,GMMudWSNph2HzzDnRVVfVPGKNg5BphVhpvViJ6X36fCP,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Code', 'value': 'None'}, {'trait_type': 'Back', 'value': 'None'}, {'trait_type': 'Character', 'value': 'Black'}, {'trait_type': 'Torso', 'value': 'Toga'}, {'trait_type': 'Eyes', 'value': 'Voodoo'}, {'trait_type': 'Face', 'value': 'None'}, {'trait_type': 'Head', 'value': 'None'}]","{'creators': [{'address': 'Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h', 'share': 92}, {'address': '5yqPJhLcoqDcVLTQjWq5MBGh18R6jv7pVwtacLW32b6J', 'share': 8}], 'files': [{'uri': 'https://www.arweave.net/G_qNzTRoJO9ORES4wspg645Dr_0hv-XlX-vjRcX-plM?ext=png', 'type': 'image/png'}]}",1,41PLzJby9zqiXjXnY5psHt6zf2X5uaDPiZ5wwRAPKAZM,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 6287}, 'howrare': {'rank': 3983}}"
