,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,ALRwB86JL1qwQQ9kkP5KH5sFGHYTbnegSsy1A98eHCry,1.05,D8AHWCZoHGLyg4akWo9C22bJuUwMkBtSP4otgTzRVm4d,6CTgj1ZwnzhqgMTfcbWDJGyW7cs8nNoqpoimuHUqycmh,solminator,SOLMINATOR,https://arweave.net/2rtwVGbPqa9BlRUsyqd-tz6D8eeQOKsw06_4zpv03_E?ext=png,Solminator 1338,I am a machine! 3333 uniquely generated Solminators!,https://www.solminator.com/,"[{'address': '6t5KtkaZpBTW1YmEYS1aF9xT4puGztGHdUf2o1tovqR3', 'verified': 1, 'share': 0}, {'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'verified': 0, 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 5}]",700,3CZxA6dBEBcP51pwrYUbSDqTRCHG3LYFGSqGpNyTDxHy,"[{'trait_type': 'Accessories', 'value': 'Without'}, {'trait_type': 'Background', 'value': 'Blue Backlight'}, {'trait_type': 'Eyes', 'value': 'Blue Eyes'}, {'trait_type': 'Face', 'value': 'Gray Face'}, {'trait_type': 'Helmet', 'value': 'White Helmet'}, {'trait_type': 'Neck', 'value': 'White Neck'}, {'trait_type': 'Teeth', 'value': 'Bubble Gum'}, {'trait_type': 'Tubes', 'value': 'White Tubes'}]","{'files': [{'uri': '1337.png', 'type': 'image/png'}], 'creators': [{'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 5}]}",1,51MgbfHZJiw2Fpx2K53BLRfFQfpVvaYtG1apr894Wfdk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
1,5nDEeghwnJ55GaeooDcexF4o9ytHt3QqCLMaTFXnRhZD,1.1,CJ4g46iRwabH6o9HbFB5VhXjLi19NNFzNQVzjPBTRTnz,zECJ6iBSSJvUBt4YaC8Luto5Do5NRb2oXSTthseiFQf,solminator,SOLMINATOR,https://arweave.net/6in623xwAZb6pYiJDwPjdJg3rM7EaMcuYciZ7WcmVzI?ext=png,Solminator 3324,I am a machine! 3333 uniquely generated Solminators!,https://www.solminator.com/,"[{'address': '6t5KtkaZpBTW1YmEYS1aF9xT4puGztGHdUf2o1tovqR3', 'verified': 1, 'share': 0}, {'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'verified': 0, 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 5}]",700,2ZVB6FatxV9K8ugLf55wBBwHriq1xUmTth45wPxcRX5Y,"[{'trait_type': 'Accessories', 'value': 'Without'}, {'trait_type': 'Background', 'value': 'Black BG'}, {'trait_type': 'Eyes', 'value': 'Red Eyes'}, {'trait_type': 'Face', 'value': 'Black Face'}, {'trait_type': 'Helmet', 'value': 'Black Helmet'}, {'trait_type': 'Neck', 'value': 'White Neck'}, {'trait_type': 'Teeth', 'value': 'Piercing'}, {'trait_type': 'Tubes', 'value': 'Black Tubes'}]","{'files': [{'uri': '3323.png', 'type': 'image/png'}], 'creators': [{'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 5}]}",1,51MgbfHZJiw2Fpx2K53BLRfFQfpVvaYtG1apr894Wfdk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
2,2L1t8BHyxyRFwfo47LGWDg31PwLpBp5d26dYkx4dKXqT,1.1,74eedJfKG56DiTpRnyZeqYhGTimQsiXWmL9ef2LNkfeh,8qfFGWkMRGmXQRgTR27qAaPzMhQAxy5rokL6GXX5DKnF,solminator,SOLMINATOR,https://arweave.net/wvQ4YYIkoNn3R3o6aAoD9H4BfBYh0zfyifoBKWHl6Mg?ext=png,Solminator 1029,I am a machine! 3333 uniquely generated Solminators!,https://www.solminator.com/,"[{'address': '6t5KtkaZpBTW1YmEYS1aF9xT4puGztGHdUf2o1tovqR3', 'verified': 1, 'share': 0}, {'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'verified': 0, 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 5}]",700,CNLFMaJ5WYzCJ8wtnY4CVxZ34LCM9BQ77tnxw6FcSXT4,"[{'trait_type': 'Accessories', 'value': 'Without'}, {'trait_type': 'Background', 'value': 'Blue Backlight'}, {'trait_type': 'Eyes', 'value': 'Red Eyes'}, {'trait_type': 'Face', 'value': 'Gray Face'}, {'trait_type': 'Helmet', 'value': 'Transparent Helmet'}, {'trait_type': 'Neck', 'value': 'White Neck'}, {'trait_type': 'Teeth', 'value': 'Piercing'}, {'trait_type': 'Tubes', 'value': 'Black Tubes'}]","{'files': [{'uri': '1028.png', 'type': 'image/png'}], 'creators': [{'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 5}]}",1,51MgbfHZJiw2Fpx2K53BLRfFQfpVvaYtG1apr894Wfdk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
3,4QDTrvkQAzNDEuc9BywN51u55YJYaZjZXrfupU1uNfjP,1.25,E56X9E4eEwxP5NxWGeQzC61hjFz6YoetmkboUqySegxG,5mzqGz6G1ezjHLLvtr6QPduD9L1JSS4hwKBkFVpvocCv,solminator,SOLMINATOR,https://arweave.net/P5LjoMgZbE46bZwt-DZOGlTavxq1L72imoRfEmmUvNk?ext=png,Solminator 2242,I am a machine! 3333 uniquely generated Solminators!,https://www.solminator.com/,"[{'address': '6t5KtkaZpBTW1YmEYS1aF9xT4puGztGHdUf2o1tovqR3', 'verified': 1, 'share': 0}, {'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'verified': 0, 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 5}]",700,Fmn2UPMys5Uo6mmpSYK7wffUxMT5Uvqh383HJ3ZqVMNx,"[{'trait_type': 'Accessories', 'value': 'Without'}, {'trait_type': 'Background', 'value': 'Blue Backlight'}, {'trait_type': 'Eyes', 'value': 'Yellow Glasses'}, {'trait_type': 'Face', 'value': 'Black Face'}, {'trait_type': 'Helmet', 'value': 'Black Helmet'}, {'trait_type': 'Neck', 'value': 'Blue Neck'}, {'trait_type': 'Teeth', 'value': 'Bubble Gum'}, {'trait_type': 'Tubes', 'value': 'White Tubes'}]","{'files': [{'uri': '2241.png', 'type': 'image/png'}], 'creators': [{'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 5}]}",1,51MgbfHZJiw2Fpx2K53BLRfFQfpVvaYtG1apr894Wfdk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
4,35pHdvLbxkFGDpyCvpBEoaJNv3KpRc3HBcTX91us9wuB,1.19,3YS6UeZQbtma6eBr4FixBQ8iwRPivdKfapaM4i8fSPqi,6Z6C4edN2DG9KfhkviLJGqiwjzkYAKvqHTe3hg2hpTLD,solminator,SOLMINATOR,https://arweave.net/fPijn8ci3ydTMi03wxsa5aYqSl9xx0sqYarHkuK-_XY?ext=png,Solminator 1748,I am a machine! 3333 uniquely generated Solminators!,https://www.solminator.com/,"[{'address': '6t5KtkaZpBTW1YmEYS1aF9xT4puGztGHdUf2o1tovqR3', 'verified': 1, 'share': 0}, {'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'verified': 0, 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 5}]",700,2nxLSz8EDtU3EW8qBPfjMTH8pDBqJuFfNFJQVgUgos7P,"[{'trait_type': 'Accessories', 'value': 'Angle Ring'}, {'trait_type': 'Background', 'value': 'Red Backlight'}, {'trait_type': 'Eyes', 'value': 'Red Eyes'}, {'trait_type': 'Face', 'value': 'Black Face'}, {'trait_type': 'Helmet', 'value': 'White Helmet'}, {'trait_type': 'Neck', 'value': 'Black Neck'}, {'trait_type': 'Teeth', 'value': 'Cigar'}, {'trait_type': 'Tubes', 'value': 'Black Tubes'}]","{'files': [{'uri': '1747.png', 'type': 'image/png'}], 'creators': [{'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 5}]}",1,51MgbfHZJiw2Fpx2K53BLRfFQfpVvaYtG1apr894Wfdk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
5,3coG6U257dZhxww4pnFUXt4pWb3J4w4VjNwmGWRVyu5U,1.19,F3LiTrgn3vb6id6RzuhgoZvxPuGpcEZ4DkYg3DxBADDf,4uZQGiTyZWM8xVBXR3A6J8Xj116zLJkm5AHrqUc5ztXp,solminator,SOLMINATOR,https://arweave.net/_v1VNzHdhsIAip4rBAohtHugVnBpXAY1bdIlAGuov94?ext=png,Solminator 1232,I am a machine! 3333 uniquely generated Solminators!,https://www.solminator.com/,"[{'address': '6t5KtkaZpBTW1YmEYS1aF9xT4puGztGHdUf2o1tovqR3', 'verified': 1, 'share': 0}, {'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'verified': 0, 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 5}]",700,HT9nKeDDPRNyGfNmqz7SarWZ6n2BomKNqg5ifVxP6y6S,"[{'trait_type': 'Accessories', 'value': 'Without'}, {'trait_type': 'Background', 'value': 'Black BG'}, {'trait_type': 'Eyes', 'value': 'Red Eyes'}, {'trait_type': 'Face', 'value': 'Gray Face'}, {'trait_type': 'Helmet', 'value': 'White Helmet'}, {'trait_type': 'Neck', 'value': 'Black Neck'}, {'trait_type': 'Teeth', 'value': 'Piercing'}, {'trait_type': 'Tubes', 'value': 'White Tubes'}]","{'files': [{'uri': '1231.png', 'type': 'image/png'}], 'creators': [{'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 5}]}",1,51MgbfHZJiw2Fpx2K53BLRfFQfpVvaYtG1apr894Wfdk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
6,DeYKtkcN1fseHGrEU6Nw7GcLeMHpfSNDivthc9hSb8tj,1.199,6FefyA2B9LsahT5dYTFXC8SMDSpwZjLDtC1DC9TX3jhF,7ccNLNsipK2eEcZeuBuZfVLMwTYszg5dQGJqoC7p2T4T,solminator,SOLMINATOR,https://arweave.net/vrXuL4bRIrKBorpaffnXyq7qEb7OLMinPJPx0YfS-a8?ext=png,Solminator 1965,I am a machine! 3333 uniquely generated Solminators!,https://www.solminator.com/,"[{'address': '6t5KtkaZpBTW1YmEYS1aF9xT4puGztGHdUf2o1tovqR3', 'verified': 1, 'share': 0}, {'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'verified': 0, 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 5}]",700,Bk9NQPYZjXBoCE7U9jiJPt69u6NZkA9mF9qcg4z7FKvc,"[{'trait_type': 'Accessories', 'value': 'Without'}, {'trait_type': 'Background', 'value': 'Blue BG'}, {'trait_type': 'Eyes', 'value': 'Sunglasses'}, {'trait_type': 'Face', 'value': 'Gray Face'}, {'trait_type': 'Helmet', 'value': 'Transparent Helmet'}, {'trait_type': 'Neck', 'value': 'Blue Neck'}, {'trait_type': 'Teeth', 'value': 'Teeth'}, {'trait_type': 'Tubes', 'value': 'White Tubes'}]","{'files': [{'uri': '1964.png', 'type': 'image/png'}], 'creators': [{'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 5}]}",1,51MgbfHZJiw2Fpx2K53BLRfFQfpVvaYtG1apr894Wfdk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
7,HWX8b9QAttdGgRigv3eMQ2VT7kDcgUC1kEc4ukeqmHb1,1.2,Bpdzgj4uDhNzUWaGkmEvS1psEzrwSfAspuVUYMMPPRLQ,BqopfgmsWDsxcuSHnP6ynN2PmDswJ8LEcjoavk2BCAjZ,solminator,SOLMINATOR,https://arweave.net/QLYR5dGpsl3caWslDVHJ7KtDmdOpC9jAfw_JycLIrxM?ext=png,Solminator 2505,I am a machine! 3333 uniquely generated Solminators!,https://www.solminator.com/,"[{'address': '6t5KtkaZpBTW1YmEYS1aF9xT4puGztGHdUf2o1tovqR3', 'verified': 1, 'share': 0}, {'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'verified': 0, 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 5}]",700,CJHbzQnYuGWCvAKGtc8PP1S1fG9wbB5oncYK1HCSwYEY,"[{'trait_type': 'Accessories', 'value': 'Devil'}, {'trait_type': 'Background', 'value': 'Blue Backlight'}, {'trait_type': 'Eyes', 'value': 'Pink Glasses'}, {'trait_type': 'Face', 'value': 'Gray Face'}, {'trait_type': 'Helmet', 'value': 'Black Helmet'}, {'trait_type': 'Neck', 'value': 'Blue Neck'}, {'trait_type': 'Teeth', 'value': 'Pacifier'}, {'trait_type': 'Tubes', 'value': 'White Tubes'}]","{'files': [{'uri': '2504.png', 'type': 'image/png'}], 'creators': [{'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 5}]}",1,51MgbfHZJiw2Fpx2K53BLRfFQfpVvaYtG1apr894Wfdk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
8,G34yRKmRLayJU47NikE716NBgxqvgyBdJe8QxwQ5FZuX,1.2,GcWkWTWcuZczAQLdbn41jGTvZFDvrgAQseoXC4V3PFMq,95GumEPp9QFc6cEzibaHfXNczPWBLN4k3LnyvTyp3y9H,solminator,SOLMINATOR,https://arweave.net/nHKwXxeWeZ1AEGGLA0Ps_BbFg7YA9uZtG5aWRlEbkWo?ext=png,Solminator 1443,I am a machine! 3333 uniquely generated Solminators!,https://www.solminator.com/,"[{'address': '6t5KtkaZpBTW1YmEYS1aF9xT4puGztGHdUf2o1tovqR3', 'verified': 1, 'share': 0}, {'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'verified': 0, 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 5}]",700,BXFFbKeXQFroPqjALsofRUjEknvhmtgLVosHDx4G3KVn,"[{'trait_type': 'Accessories', 'value': 'Devil'}, {'trait_type': 'Background', 'value': 'Blue BG'}, {'trait_type': 'Eyes', 'value': 'Pink Glasses'}, {'trait_type': 'Face', 'value': 'White Face'}, {'trait_type': 'Helmet', 'value': 'White Helmet'}, {'trait_type': 'Neck', 'value': 'White Neck'}, {'trait_type': 'Teeth', 'value': 'Teeth'}, {'trait_type': 'Tubes', 'value': 'Blue Tubes'}]","{'files': [{'uri': '1442.png', 'type': 'image/png'}], 'creators': [{'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 5}]}",1,51MgbfHZJiw2Fpx2K53BLRfFQfpVvaYtG1apr894Wfdk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
9,Ab24Bn4VN6N2qmgj5SDxb7773N5crApx64YagDaLPV2L,1.2,6tMC4jc1Az1fErWpk7TTF7AGo7vGhF6odLvpBy6hYfVD,CBrD6iEZhXxMNNGEC649RxBZ1VDhHG7UetP9BDyFGb7N,solminator,SOLMINATOR,https://arweave.net/aZesoQ3KkQJcC6AeC_eRsNi5XhDuTOwEGTEZ47LOqoY?ext=png,Solminator 2622,I am a machine! 3333 uniquely generated Solminators!,https://www.solminator.com/,"[{'address': '6t5KtkaZpBTW1YmEYS1aF9xT4puGztGHdUf2o1tovqR3', 'verified': 1, 'share': 0}, {'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'verified': 0, 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'verified': 0, 'share': 5}]",700,FX9Y4d2XjRpL3QegbERQcg6QSHC4Ei461DVE94GLeGtK,"[{'trait_type': 'Accessories', 'value': 'Angle Ring'}, {'trait_type': 'Background', 'value': 'Black BG'}, {'trait_type': 'Eyes', 'value': 'Blue Eyes'}, {'trait_type': 'Face', 'value': 'Gray Face'}, {'trait_type': 'Helmet', 'value': 'Black Helmet'}, {'trait_type': 'Neck', 'value': 'Blue Neck'}, {'trait_type': 'Teeth', 'value': 'Piercing'}, {'trait_type': 'Tubes', 'value': 'Black Tubes'}]","{'files': [{'uri': '2621.png', 'type': 'image/png'}], 'creators': [{'address': 'BZVD1RXWnhGnrfGSwnDKagpjwuUkCiMf36NqmFTmfxxg', 'share': 95}, {'address': 'CyKGJ6taQGRuNSb7uv5SVN4CkozGwwgRz4S28cmYmEWv', 'share': 5}]}",1,51MgbfHZJiw2Fpx2K53BLRfFQfpVvaYtG1apr894Wfdk,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
