,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,imgCDN,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,9mRowktTjfg9WPyxChg4KvSqhu5ceTmLu4VztB1vjNri,28.49,J1GbTziSb2vRkN6Y9fMAot6VNfiGj9a5q5u3k6wviGKX,7zSMX7ahkeGHDEf7HdNWppEK9YeiPEW3Rkj3tEEfrhY5,solsteads_surreal_estate,Solsteads Surreal Estate,https://www.arweave.net/k3FapZWW5RrkH8qGLqkwbFoql1N-UxXC-xAMaebiryc?ext=png,https://cdn.solsteads.com/addresses/707-epoch-avenue.png,707 Epoch Avenue,A Solstead: Your very own piece of surreal estate.,https://solsteads.com/707-epoch-avenue,image,"[{'address': '7CHTGqC92K2AGwMZ5n92hykdzUAWbVpCvQ4jrLA7dCu3', 'verified': 1, 'share': 0}, {'address': '4sNgxccfuUhVZYEX2ZAG3sVsg82Ri9JYo9ZemLmR4YrK', 'verified': 0, 'share': 100}]",500,J9k2SpH8PRXzrQ7qh3ixeJNnWMmR7e48xcWXkF8vCUQs,"[{'trait_type': 'Biome', 'value': 'City'}, {'trait_type': 'Sky', 'value': 'Day'}, {'trait_type': 'House style', 'value': 'Modern'}, {'trait_type': 'House color', 'value': 'Blue'}, {'trait_type': 'Openings style', 'value': 'Shuttered'}, {'trait_type': 'Openings color', 'value': 'Yellow'}, {'trait_type': 'Roof style', 'value': 'Shingle'}, {'trait_type': 'Roof color', 'value': 'Yellow'}, {'trait_type': 'Street name', 'value': 'Epoch Avenue'}, {'trait_type': 'House number', 'value': 707}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/k3FapZWW5RrkH8qGLqkwbFoql1N-UxXC-xAMaebiryc?ext=png', 'type': 'image/png'}, {'uri': 'https://cdn.solsteads.com/addresses/707-epoch-avenue.png', 'type': 'image/png', 'cdn': True}], 'creators': [{'address': '85fDijuXEzUW4zjGwgC3kVNdkbZ3D6RHZFFJZndFUEBa', 'share': 42}, {'address': 'ASBsEqEw5bWD2rpiq4JgF8pBjBDVFMDFS5eXXyVf3gDF', 'share': 52}, {'address': 'CL4SAG1ZTVPUVHVf9cLk2nghwQs235NrY4TQXvSKndhi', 'share': 6}]}",1,Ase9PHQ7oKeTKZqtRvxRa48QigMKhbusMsr1KiHJXsPt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 1877}, 'moonrank': {'rank': 2350}}",,
1,7ddf8S5rJUcEi7zwTR2r8e9GyKv8cz4Fr65PtqHpgGoi,29.0,G3GUwhmR3uoUumvyqdG9mvbgJdTk8bm61YfFdbF2k65M,KrcpGkd54JpXcmMKSJe76acorRxdtw1XkrNB1qHqodG,solsteads_surreal_estate,Solsteads Surreal Estate,https://www.arweave.net/vinmI5XBWwOpA2hcu0-S6rywAYZ1c_tUu0rJbyG6mtA?ext=png,https://cdn.solsteads.com/addresses/671-poplar-street.png,671 Poplar Street,A Solstead: Your very own piece of surreal estate.,https://solsteads.com/671-poplar-street,image,"[{'address': '7CHTGqC92K2AGwMZ5n92hykdzUAWbVpCvQ4jrLA7dCu3', 'verified': 1, 'share': 0}, {'address': '4sNgxccfuUhVZYEX2ZAG3sVsg82Ri9JYo9ZemLmR4YrK', 'verified': 0, 'share': 100}]",500,5wCKZNSbMTjmU6kyCtzfpeeSGfQK9Wyi9Bnmos5RVVPK,"[{'trait_type': 'Biome', 'value': 'Field'}, {'trait_type': 'Sky', 'value': 'Day'}, {'trait_type': 'House style', 'value': 'Modern'}, {'trait_type': 'House color', 'value': 'Green'}, {'trait_type': 'Openings style', 'value': 'Glass'}, {'trait_type': 'Roof style', 'value': 'Shingle'}, {'trait_type': 'Roof color', 'value': 'Green'}, {'trait_type': 'Material', 'value': 'Brick'}, {'trait_type': 'Street name', 'value': 'Poplar Street'}, {'trait_type': 'House number', 'value': 671}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/vinmI5XBWwOpA2hcu0-S6rywAYZ1c_tUu0rJbyG6mtA?ext=png', 'type': 'image/png'}, {'uri': 'https://cdn.solsteads.com/addresses/671-poplar-street.png', 'type': 'image/png', 'cdn': True}], 'creators': [{'address': '85fDijuXEzUW4zjGwgC3kVNdkbZ3D6RHZFFJZndFUEBa', 'share': 42}, {'address': 'ASBsEqEw5bWD2rpiq4JgF8pBjBDVFMDFS5eXXyVf3gDF', 'share': 52}, {'address': 'CL4SAG1ZTVPUVHVf9cLk2nghwQs235NrY4TQXvSKndhi', 'share': 6}]}",1,Ase9PHQ7oKeTKZqtRvxRa48QigMKhbusMsr1KiHJXsPt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2341}, 'howrare': {'rank': 2294}}",,
2,AiU5obGejVUfXJUQjz6MmgWRwvHv2bewnwHNBS7wdFKf,33.25,EDow41BBENbQ2BeABxRG6MUuxhzQhXBcvfg7n1wrzZLW,95YUKZ7SrDyNjdystAMwAQCBCbhXaJtgDNYDM8WAk4ou,solsteads_surreal_estate,Solsteads Surreal Estate,https://www.arweave.net/wMXIbSxqAFhFkmOT3t6h2CphCSdRDKsKR7vy0_wvWfw?ext=png,https://cdn.solsteads.com/addresses/672-rip-street.png,672 Rip Street,A Solstead: Your very own piece of surreal estate.,https://solsteads.com/672-rip-street,image,"[{'address': '7CHTGqC92K2AGwMZ5n92hykdzUAWbVpCvQ4jrLA7dCu3', 'verified': 1, 'share': 0}, {'address': '4sNgxccfuUhVZYEX2ZAG3sVsg82Ri9JYo9ZemLmR4YrK', 'verified': 0, 'share': 100}]",500,D93oz6ao97ZZxA5Tx6tM41XnzHaFRNMX3mwfh34LM3fo,"[{'trait_type': 'Biome', 'value': 'Desert'}, {'trait_type': 'Sky', 'value': 'Day'}, {'trait_type': 'House style', 'value': 'Cottage'}, {'trait_type': 'House color', 'value': 'Blue'}, {'trait_type': 'Openings style', 'value': 'Shuttered'}, {'trait_type': 'Openings color', 'value': 'Red'}, {'trait_type': 'Roof style', 'value': 'Shingle'}, {'trait_type': 'Roof color', 'value': 'Yellow'}, {'trait_type': 'Street name', 'value': 'Rip Street'}, {'trait_type': 'House number', 'value': 672}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/wMXIbSxqAFhFkmOT3t6h2CphCSdRDKsKR7vy0_wvWfw?ext=png', 'type': 'image/png'}, {'uri': 'https://cdn.solsteads.com/addresses/672-rip-street.png', 'type': 'image/png', 'cdn': True}], 'creators': [{'address': '85fDijuXEzUW4zjGwgC3kVNdkbZ3D6RHZFFJZndFUEBa', 'share': 42}, {'address': 'ASBsEqEw5bWD2rpiq4JgF8pBjBDVFMDFS5eXXyVf3gDF', 'share': 52}, {'address': 'CL4SAG1ZTVPUVHVf9cLk2nghwQs235NrY4TQXvSKndhi', 'share': 6}]}",1,Ase9PHQ7oKeTKZqtRvxRa48QigMKhbusMsr1KiHJXsPt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2353}, 'howrare': {'rank': 2157}}",,
3,2bx8d1GjKMwS4fGDRY1dAYcKxxPs99Bc2pLCGd5HDuCw,33.5,Fzu12bWRpmZwd7pHi9ZDm6gdFBmCpFNKfY2mSwQnXNai,C46d9nMZHMh4TGUZiF1wKCZUQffnEXSVVbrhnunirPAZ,solsteads_surreal_estate,Solsteads Surreal Estate,https://www.arweave.net/QhXcQ8_Z6hjiR253x5P3RVZe8JbiKBJpVuJVxQa-tY8?ext=png,https://cdn.solsteads.com/addresses/320-delray-circle.png,320 Delray Circle,A Solstead: Your very own piece of surreal estate.,https://solsteads.com/320-delray-circle,image,"[{'address': '7CHTGqC92K2AGwMZ5n92hykdzUAWbVpCvQ4jrLA7dCu3', 'verified': 1, 'share': 0}, {'address': '4sNgxccfuUhVZYEX2ZAG3sVsg82Ri9JYo9ZemLmR4YrK', 'verified': 0, 'share': 100}]",500,APEC6QKwmy7GeHURDiRTAzq9JizTd5f92oRCqwm6oxgM,"[{'trait_type': 'Biome', 'value': 'Field'}, {'trait_type': 'Sky', 'value': 'Day'}, {'trait_type': 'House style', 'value': 'Modern'}, {'trait_type': 'House color', 'value': 'Red'}, {'trait_type': 'Openings style', 'value': 'Shuttered'}, {'trait_type': 'Openings color', 'value': 'Red'}, {'trait_type': 'Roof style', 'value': 'Tin'}, {'trait_type': 'Roof color', 'value': 'Yellow'}, {'trait_type': 'Precipitation', 'value': 'Rain'}, {'trait_type': 'Street name', 'value': 'Delray Circle'}, {'trait_type': 'House number', 'value': 320}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/QhXcQ8_Z6hjiR253x5P3RVZe8JbiKBJpVuJVxQa-tY8?ext=png', 'type': 'image/png'}, {'uri': 'https://cdn.solsteads.com/addresses/320-delray-circle.png', 'type': 'image/png', 'cdn': True}], 'creators': [{'address': '85fDijuXEzUW4zjGwgC3kVNdkbZ3D6RHZFFJZndFUEBa', 'share': 42}, {'address': 'ASBsEqEw5bWD2rpiq4JgF8pBjBDVFMDFS5eXXyVf3gDF', 'share': 52}, {'address': 'CL4SAG1ZTVPUVHVf9cLk2nghwQs235NrY4TQXvSKndhi', 'share': 6}]}",1,Ase9PHQ7oKeTKZqtRvxRa48QigMKhbusMsr1KiHJXsPt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2095}, 'howrare': {'rank': 2288}}",,
4,H3wLrKW4v194Goe6iZbR7T4zKQsvwizdVF4XSV74pvgw,34.69,AvoWNVoJFrSV3fF3WwAFGTMVybCbvnm12dbc4K6jEGiB,F3SuTB2Ue53TLYfAeKnddPYEzr9mWhg1C9Pki7EC2rHG,solsteads_surreal_estate,Solsteads Surreal Estate,https://www.arweave.net/ySp4JIcisqPzCna4xC9dALEpXWhLwI7P_YYGPlTGEu8?ext=png,https://cdn.solsteads.com/addresses/336-lynwood-avenue.png,336 Lynwood Avenue,A Solstead: Your very own piece of surreal estate.,https://solsteads.com/336-lynwood-avenue,image,"[{'address': '7CHTGqC92K2AGwMZ5n92hykdzUAWbVpCvQ4jrLA7dCu3', 'verified': 1, 'share': 0}, {'address': '4sNgxccfuUhVZYEX2ZAG3sVsg82Ri9JYo9ZemLmR4YrK', 'verified': 0, 'share': 100}]",500,51EU6RfDtrydZqfEe68QiRGKdks1TZxrDbZieLys923,"[{'trait_type': 'Biome', 'value': 'Field'}, {'trait_type': 'Sky', 'value': 'Day'}, {'trait_type': 'House style', 'value': 'Art Deco'}, {'trait_type': 'House color', 'value': 'Yellow'}, {'trait_type': 'Openings style', 'value': 'Glass'}, {'trait_type': 'Roof style', 'value': 'Tin'}, {'trait_type': 'Roof color', 'value': 'Red'}, {'trait_type': 'Material', 'value': 'Brick'}, {'trait_type': 'Precipitation', 'value': 'Rain'}, {'trait_type': 'Street name', 'value': 'Lynwood Avenue'}, {'trait_type': 'House number', 'value': 336}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/ySp4JIcisqPzCna4xC9dALEpXWhLwI7P_YYGPlTGEu8?ext=png', 'type': 'image/png'}, {'uri': 'https://cdn.solsteads.com/addresses/336-lynwood-avenue.png', 'type': 'image/png', 'cdn': True}], 'creators': [{'address': '85fDijuXEzUW4zjGwgC3kVNdkbZ3D6RHZFFJZndFUEBa', 'share': 42}, {'address': 'ASBsEqEw5bWD2rpiq4JgF8pBjBDVFMDFS5eXXyVf3gDF', 'share': 52}, {'address': 'CL4SAG1ZTVPUVHVf9cLk2nghwQs235NrY4TQXvSKndhi', 'share': 6}]}",1,Ase9PHQ7oKeTKZqtRvxRa48QigMKhbusMsr1KiHJXsPt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1094}, 'howrare': {'rank': 1778}}",,
5,8V6tRjjjW7GPaUFicZhvTaUJc2HMn3HTkUTsFU65B4m3,35.0,7ruFhkhDNwy8oGgmr7BGyf8WHZdujYKWXb2VdUgbAsNf,EJpGCDcU6oFKLt4fEDqr4HsqVaCkfNXTqayzEurkKUCr,solsteads_surreal_estate,Solsteads Surreal Estate,https://www.arweave.net/VGcl3hLI99HS_IyU3L41Oe0RIO7QCoAE_BHaETRUrm8?ext=png,https://cdn.solsteads.com/addresses/324-pico-street.png,324 Pico Street,A Solstead: Your very own piece of surreal estate.,https://solsteads.com/324-pico-street,image,"[{'address': '7CHTGqC92K2AGwMZ5n92hykdzUAWbVpCvQ4jrLA7dCu3', 'verified': 1, 'share': 0}, {'address': '4sNgxccfuUhVZYEX2ZAG3sVsg82Ri9JYo9ZemLmR4YrK', 'verified': 0, 'share': 100}]",500,Bv8n7randBetiz7PduRPqjwrzvokAtbTQVmXDqgFja4H,"[{'trait_type': 'Biome', 'value': 'City'}, {'trait_type': 'Sky', 'value': 'Night'}, {'trait_type': 'House style', 'value': 'Cottage'}, {'trait_type': 'House color', 'value': 'Green'}, {'trait_type': 'Openings style', 'value': 'Rounded'}, {'trait_type': 'Openings color', 'value': 'Green'}, {'trait_type': 'Roof style', 'value': 'Skylight'}, {'trait_type': 'Roof color', 'value': 'Lavender'}, {'trait_type': 'Street name', 'value': 'Pico Street'}, {'trait_type': 'House number', 'value': 324}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/VGcl3hLI99HS_IyU3L41Oe0RIO7QCoAE_BHaETRUrm8?ext=png', 'type': 'image/png'}, {'uri': 'https://cdn.solsteads.com/addresses/324-pico-street.png', 'type': 'image/png', 'cdn': True}], 'creators': [{'address': '85fDijuXEzUW4zjGwgC3kVNdkbZ3D6RHZFFJZndFUEBa', 'share': 42}, {'address': 'ASBsEqEw5bWD2rpiq4JgF8pBjBDVFMDFS5eXXyVf3gDF', 'share': 52}, {'address': 'CL4SAG1ZTVPUVHVf9cLk2nghwQs235NrY4TQXvSKndhi', 'share': 6}]}",1,Ase9PHQ7oKeTKZqtRvxRa48QigMKhbusMsr1KiHJXsPt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 1060}, 'moonrank': {'rank': 658}}",,
6,E82em7tieX5v5Sx5s2KLMGN58R6SCkGhBvQBfiYSXRZP,35.0,A6d38rPm4m7zKg5aM3HQmQDCfcRgp5G2JHm5LqPiki6v,CsMCXmkDRTS8kCwoPWaRGPrcxiLij5hfjK9YuqSqi16V,solsteads_surreal_estate,Solsteads Surreal Estate,https://www.arweave.net/lPdfWdySzyUE167HbYGrEnIpcZ4TulQIjaHewfjvwco?ext=png,https://cdn.solsteads.com/addresses/246-delray-circle.png,246 Delray Circle,A Solstead: Your very own piece of surreal estate.,https://solsteads.com/246-delray-circle,image,"[{'address': '7CHTGqC92K2AGwMZ5n92hykdzUAWbVpCvQ4jrLA7dCu3', 'verified': 1, 'share': 0}, {'address': '4sNgxccfuUhVZYEX2ZAG3sVsg82Ri9JYo9ZemLmR4YrK', 'verified': 0, 'share': 100}]",500,8FWHDQE1vvzadMEH1YvAkmKdSd1WFvZQ89Hc6RAVWCYd,"[{'trait_type': 'Biome', 'value': 'City'}, {'trait_type': 'Sky', 'value': 'Day'}, {'trait_type': 'House style', 'value': 'Cottage'}, {'trait_type': 'House color', 'value': 'Green'}, {'trait_type': 'Openings style', 'value': 'Crystal'}, {'trait_type': 'Roof style', 'value': 'Tin'}, {'trait_type': 'Roof color', 'value': 'Red'}, {'trait_type': 'Material', 'value': 'Brick'}, {'trait_type': 'Precipitation', 'value': 'Rain'}, {'trait_type': 'Street name', 'value': 'Delray Circle'}, {'trait_type': 'House number', 'value': 246}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/lPdfWdySzyUE167HbYGrEnIpcZ4TulQIjaHewfjvwco?ext=png', 'type': 'image/png'}, {'uri': 'https://cdn.solsteads.com/addresses/246-delray-circle.png', 'type': 'image/png', 'cdn': True}], 'creators': [{'address': '85fDijuXEzUW4zjGwgC3kVNdkbZ3D6RHZFFJZndFUEBa', 'share': 42}, {'address': 'ASBsEqEw5bWD2rpiq4JgF8pBjBDVFMDFS5eXXyVf3gDF', 'share': 52}, {'address': 'CL4SAG1ZTVPUVHVf9cLk2nghwQs235NrY4TQXvSKndhi', 'share': 6}]}",1,Ase9PHQ7oKeTKZqtRvxRa48QigMKhbusMsr1KiHJXsPt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1107}, 'howrare': {'rank': 2042}}",,
7,GigZWXxZhziqXjNxa5paaRgVBEiBPUa2gRUgMDk5Usom,36.0,HDBanWB9ZA8wwWnFwRTT3suQMsgxf1P2Ui1AjdtREMZm,3E4iiG4WbMTTtbegMprfLLpFcK4LM5igW2ZpuKbzGP6Z,solsteads_surreal_estate,Solsteads Surreal Estate,https://www.arweave.net/K90ClWeN_9d0JjaQ97rNHekn2RjgyFmiXZ3YfQmTuUg?ext=png,https://cdn.solsteads.com/addresses/299-bit-boulevard.png,299 Bit Boulevard,A Solstead: Your very own piece of surreal estate.,https://solsteads.com/299-bit-boulevard,image,"[{'address': '7CHTGqC92K2AGwMZ5n92hykdzUAWbVpCvQ4jrLA7dCu3', 'verified': 1, 'share': 0}, {'address': '4sNgxccfuUhVZYEX2ZAG3sVsg82Ri9JYo9ZemLmR4YrK', 'verified': 0, 'share': 100}]",500,Esr3mgM5A2oxKUfR5hnzzX7pAWJh1enK8QsDxB17BRSW,"[{'trait_type': 'Biome', 'value': 'Mountain'}, {'trait_type': 'Sky', 'value': 'Night'}, {'trait_type': 'House style', 'value': 'Modern'}, {'trait_type': 'House color', 'value': 'Yellow'}, {'trait_type': 'Openings style', 'value': 'Rounded'}, {'trait_type': 'Openings color', 'value': 'Blue'}, {'trait_type': 'Roof style', 'value': 'Grass'}, {'trait_type': 'Roof color', 'value': 'Mix'}, {'trait_type': 'Street name', 'value': 'Bit Boulevard'}, {'trait_type': 'House number', 'value': 299}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/K90ClWeN_9d0JjaQ97rNHekn2RjgyFmiXZ3YfQmTuUg?ext=png', 'type': 'image/png'}, {'uri': 'https://cdn.solsteads.com/addresses/299-bit-boulevard.png', 'type': 'image/png', 'cdn': True}], 'creators': [{'address': '85fDijuXEzUW4zjGwgC3kVNdkbZ3D6RHZFFJZndFUEBa', 'share': 42}, {'address': 'ASBsEqEw5bWD2rpiq4JgF8pBjBDVFMDFS5eXXyVf3gDF', 'share': 52}, {'address': 'CL4SAG1ZTVPUVHVf9cLk2nghwQs235NrY4TQXvSKndhi', 'share': 6}]}",1,Ase9PHQ7oKeTKZqtRvxRa48QigMKhbusMsr1KiHJXsPt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1260}, 'howrare': {'rank': 2092}}",,
8,2R8w46RX9zzfqYAbSvDzyA44VFvufignMXpgBERBAYHV,36.4,HijsEUurzeNbfMpzUY97Md7ZPd4MLrprBUKjWCvvES7G,9HpdrFhy8JEH1ofFS2RWnJsNCaaXMufydUzw21fotPQK,solsteads_surreal_estate,Solsteads Surreal Estate,https://www.arweave.net/RkOvN35KPfvPMGRlCVsq6-5_g_HiN0ao7EV1bGS6KoI?ext=png,https://cdn.solsteads.com/addresses/42-stewart-avenue.png,42 Stewart Avenue,A Solstead: Your very own piece of surreal estate.,https://solsteads.com/42-stewart-avenue,image,"[{'address': '7CHTGqC92K2AGwMZ5n92hykdzUAWbVpCvQ4jrLA7dCu3', 'verified': 1, 'share': 0}, {'address': '4sNgxccfuUhVZYEX2ZAG3sVsg82Ri9JYo9ZemLmR4YrK', 'verified': 0, 'share': 100}]",500,AXM7DN7iwHnhtRannc6HtcX28Wprqz7z2WLunhxYYR3j,"[{'trait_type': 'Biome', 'value': 'Field'}, {'trait_type': 'Sky', 'value': 'Day'}, {'trait_type': 'House style', 'value': 'Cottage'}, {'trait_type': 'House color', 'value': 'Green'}, {'trait_type': 'Openings style', 'value': 'Crystal'}, {'trait_type': 'Roof style', 'value': 'Grass'}, {'trait_type': 'Roof color', 'value': 'Mix'}, {'trait_type': 'Material', 'value': 'Brick'}, {'trait_type': 'Street name', 'value': 'Stewart Avenue'}, {'trait_type': 'House number', 'value': 42}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/RkOvN35KPfvPMGRlCVsq6-5_g_HiN0ao7EV1bGS6KoI?ext=png', 'type': 'image/png'}, {'uri': 'https://cdn.solsteads.com/addresses/42-stewart-avenue.png', 'type': 'image/png', 'cdn': True}], 'creators': [{'address': '85fDijuXEzUW4zjGwgC3kVNdkbZ3D6RHZFFJZndFUEBa', 'share': 42}, {'address': 'ASBsEqEw5bWD2rpiq4JgF8pBjBDVFMDFS5eXXyVf3gDF', 'share': 52}, {'address': 'CL4SAG1ZTVPUVHVf9cLk2nghwQs235NrY4TQXvSKndhi', 'share': 6}]}",1,Ase9PHQ7oKeTKZqtRvxRa48QigMKhbusMsr1KiHJXsPt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2111}, 'howrare': {'rank': 2144}}",,
9,FbutbGhQkaNDF9HrbSYqk4of4ru8k7sDGtPeBSCQrLgN,36.5,EK1ebu8Q7KYbUdZjE5aiB6qB3sbu1ZucevnDr5TXtXwS,FGA5TdGN8JSDJLT3xhXysMRFmpsHMDbVXxseMmLhKXVP,solsteads_surreal_estate,Solsteads Surreal Estate,https://www.arweave.net/DH9Z2FDzpSvIa1fCHXEQVWBHCaPaxozEWQbZrGL5bQw?ext=png,https://cdn.solsteads.com/addresses/687-ramsey-street.png,687 Ramsey Street,A Solstead: Your very own piece of surreal estate.,https://solsteads.com/687-ramsey-street,image,"[{'address': '7CHTGqC92K2AGwMZ5n92hykdzUAWbVpCvQ4jrLA7dCu3', 'verified': 1, 'share': 0}, {'address': '4sNgxccfuUhVZYEX2ZAG3sVsg82Ri9JYo9ZemLmR4YrK', 'verified': 0, 'share': 100}]",500,EhkyBme2HehF3Rha9n2yiEL4QYg8o9Hw8Wk8YUrvHEgw,"[{'trait_type': 'Biome', 'value': 'Field'}, {'trait_type': 'Sky', 'value': 'Sunset'}, {'trait_type': 'House style', 'value': 'Cottage'}, {'trait_type': 'House color', 'value': 'Yellow'}, {'trait_type': 'Openings style', 'value': 'Shuttered'}, {'trait_type': 'Openings color', 'value': 'Red'}, {'trait_type': 'Roof style', 'value': 'Mushroom'}, {'trait_type': 'Roof color', 'value': 'Mix'}, {'trait_type': 'Material', 'value': 'Brick'}, {'trait_type': 'Street name', 'value': 'Ramsey Street'}, {'trait_type': 'House number', 'value': 687}]","{'category': 'image', 'files': [{'uri': 'https://www.arweave.net/DH9Z2FDzpSvIa1fCHXEQVWBHCaPaxozEWQbZrGL5bQw?ext=png', 'type': 'image/png'}, {'uri': 'https://cdn.solsteads.com/addresses/687-ramsey-street.png', 'type': 'image/png', 'cdn': True}], 'creators': [{'address': '85fDijuXEzUW4zjGwgC3kVNdkbZ3D6RHZFFJZndFUEBa', 'share': 42}, {'address': 'ASBsEqEw5bWD2rpiq4JgF8pBjBDVFMDFS5eXXyVf3gDF', 'share': 52}, {'address': 'CL4SAG1ZTVPUVHVf9cLk2nghwQs235NrY4TQXvSKndhi', 'share': 6}]}",1,Ase9PHQ7oKeTKZqtRvxRa48QigMKhbusMsr1KiHJXsPt,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 244}, 'moonrank': {'rank': 605}}",,
