,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2
0,CgR5VkQ8yYYuv1joosdsVZdkBnfvwfDq8ad3DZe8DZLD,6.49,GsRLw7AzbB6EQtGnm1aYdtoFM7DBtA4SYE2Yx32aWaaS,FEfgSaw7DCDmHcp1eAKU6PPx2hYPUpqMfMTBqkT7g5Yo,space_runners,Space Runners,https://metadata-temp-api.spacerunners.com/images/6989,Space Runners x NBA Champions #6989,"Space Runners is the first NFT Metaverse Fashion brand in collaboration with artists and brands, designing digitally wearable NFTs through Augmented Reality (AR) and plug-in's into the Metaverse as items. 

As the genesis batch, Space Runners teamed up with NBA Champions Kyle Kuzma and Nick Young to launch a 10K Sneaker NFT Collection. Owners of the NFTs become members of an exclusive RUNNERS club, where they can reap members-only benefits such as tickets to NBA basketball games, signed Kyle Kuzma & Nick Young merchandise, exclusive invites to NBA parties & pick up games, auto-whitelist for Space Runners’ next drop, and more.  

Visit www.spacerunners.com for more information.
",https://spacerunners.com,image,"[{'address': 'EAJ6w757boibxSWX9rDy4sbWsqc1tqDc6gnbe8QAGhDd', 'verified': 1, 'share': 0}, {'address': '4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV', 'verified': 1, 'share': 100}]",500,ANK5qGpYn874dGnbGAjvqZokNgTpf6FoaTGoxZiUFKd7,"[{'trait_type': 'Texture A', 'value': 'White Galaxy'}, {'trait_type': 'Texture B', 'value': 'Fabric Mint'}, {'trait_type': 'Toes', 'value': 'Flat'}, {'trait_type': 'Ankles', 'value': 'Criss-Cross'}, {'trait_type': 'Laces', 'value': 'XX'}, {'trait_type': 'Soles', 'value': 'Straight Up'}, {'trait_type': 'Socks', 'value': 'Yellow Gradient'}, {'trait_type': 'Skin', 'value': 'White'}, {'trait_type': 'Background', 'value': 'Bright Red'}]","{'category': 'image', 'files': [{'uri': 'https://metadata-temp-api.spacerunners.com/images/6989', 'type': 'image/jpg'}], 'creators': [{'address': '6br1qqGdBCg4NpA7iJ5xJM4Kui513m7Enuxd3CphrRk8', 'share': 100}]}",1,4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
1,DABkWbaBuZyGarpQdjTExwtDVfzJZwi9nsvFEy8MTrje,6.5,J9eREHRQoYyCTYiLidhdpNGaWNtwJEZz4gtXLY8L41js,CKgh9VbD1G6rVgHNdHyMsJawumQbiL1KdemQL8L8DL6L,space_runners,Space Runners,https://metadata-temp-api.spacerunners.com/images/5398,Space Runners x NBA Champions #5398,"Space Runners is the first NFT Metaverse Fashion brand in collaboration with artists and brands, designing digitally wearable NFTs through Augmented Reality (AR) and plug-in's into the Metaverse as items. 

As the genesis batch, Space Runners teamed up with NBA Champions Kyle Kuzma and Nick Young to launch a 10K Sneaker NFT Collection. Owners of the NFTs become members of an exclusive RUNNERS club, where they can reap members-only benefits such as tickets to NBA basketball games, signed Kyle Kuzma & Nick Young merchandise, exclusive invites to NBA parties & pick up games, auto-whitelist for Space Runners’ next drop, and more.  

Visit www.spacerunners.com for more information.
",https://spacerunners.com,image,"[{'address': 'EAJ6w757boibxSWX9rDy4sbWsqc1tqDc6gnbe8QAGhDd', 'verified': 1, 'share': 0}, {'address': '4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV', 'verified': 1, 'share': 100}]",500,HTTpCbz2rZZGi7kDWKX562UB1HGvHtXPgyuR8RtGKNLo,"[{'trait_type': 'Texture A', 'value': 'Fabric Mint'}, {'trait_type': 'Texture B', 'value': 'White Galaxy'}, {'trait_type': 'Toes', 'value': 'One-Liner'}, {'trait_type': 'Ankles', 'value': 'Criss-Cross'}, {'trait_type': 'Laces', 'value': 'XX'}, {'trait_type': 'Soles', 'value': 'Straight Up'}, {'trait_type': 'Socks', 'value': ""Champion's Color""}, {'trait_type': 'Skin', 'value': 'Brown'}, {'trait_type': 'Background', 'value': 'Space Grey'}]","{'category': 'image', 'files': [{'uri': 'https://metadata-temp-api.spacerunners.com/images/5398', 'type': 'image/jpg'}], 'creators': [{'address': '6br1qqGdBCg4NpA7iJ5xJM4Kui513m7Enuxd3CphrRk8', 'share': 100}]}",1,4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
2,i6MCst9bph3THiNVAS1B3xBPkTmWSkuB2YBRKkgs1tA,7.29,F7i1bMWEqBo4818nw5z9Lx7hLF11WAsoptscFKhyHtFx,BHYt2cUiy5VHjJJJMkxpvtqvGvL8ThUNrdknkn5o9HAC,space_runners,Space Runners,https://metadata-temp-api.spacerunners.com/images/1555,Space Runners x NBA Champions #1555,"Space Runners is the first NFT Metaverse Fashion brand in collaboration with artists and brands, designing digitally wearable NFTs through Augmented Reality (AR) and plug-in's into the Metaverse as items. 

As the genesis batch, Space Runners teamed up with NBA Champions Kyle Kuzma and Nick Young to launch a 10K Sneaker NFT Collection. Owners of the NFTs become members of an exclusive RUNNERS club, where they can reap members-only benefits such as tickets to NBA basketball games, signed Kyle Kuzma & Nick Young merchandise, exclusive invites to NBA parties & pick up games, auto-whitelist for Space Runners’ next drop, and more.  

Visit www.spacerunners.com for more information.
",https://spacerunners.com,image,"[{'address': 'EAJ6w757boibxSWX9rDy4sbWsqc1tqDc6gnbe8QAGhDd', 'verified': 1, 'share': 0}, {'address': '4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV', 'verified': 1, 'share': 100}]",500,6yb1VaHFHQWsZSokiZKeNmKztFzwaARhgeVnNHgQ8j68,"[{'trait_type': 'Texture A', 'value': 'Blue Denim'}, {'trait_type': 'Texture B', 'value': 'Fabric Mint'}, {'trait_type': 'Toes', 'value': 'Semi-Framed'}, {'trait_type': 'Ankles', 'value': 'Criss-Cross'}, {'trait_type': 'Laces', 'value': 'Loosy Laces'}, {'trait_type': 'Soles', 'value': 'Lightning Bolt'}, {'trait_type': 'Socks', 'value': 'Beige'}, {'trait_type': 'Skin', 'value': 'Tanned'}, {'trait_type': 'Background', 'value': 'Lime Yellow'}]","{'category': 'image', 'files': [{'uri': 'https://metadata-temp-api.spacerunners.com/images/1555', 'type': 'image/jpg'}], 'creators': [{'address': '6br1qqGdBCg4NpA7iJ5xJM4Kui513m7Enuxd3CphrRk8', 'share': 100}]}",1,4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
3,JCHiQLxD316nFnokKgCN7SGDTi3viHt9QYRQg2iuGeA,7.34,7UMeN1yVfNffTPC5xgDo9Pr2jvSudhExrtBm6mz2VVHg,4QeQB2oxugNcX5DMHMHAAmbeomPGiV5ifcinVYcx8HwG,space_runners,Space Runners,https://metadata-temp-api.spacerunners.com/images/8080,Space Runners x NBA Champions #8080,"Space Runners is the first NFT Metaverse Fashion brand in collaboration with artists and brands, designing digitally wearable NFTs through Augmented Reality (AR) and plug-in's into the Metaverse as items. 

As the genesis batch, Space Runners teamed up with NBA Champions Kyle Kuzma and Nick Young to launch a 10K Sneaker NFT Collection. Owners of the NFTs become members of an exclusive RUNNERS club, where they can reap members-only benefits such as tickets to NBA basketball games, signed Kyle Kuzma & Nick Young merchandise, exclusive invites to NBA parties & pick up games, auto-whitelist for Space Runners’ next drop, and more.  

Visit www.spacerunners.com for more information.
",https://spacerunners.com,image,"[{'address': 'EAJ6w757boibxSWX9rDy4sbWsqc1tqDc6gnbe8QAGhDd', 'verified': 1, 'share': 0}, {'address': '4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV', 'verified': 1, 'share': 100}]",500,6F2yB9HCqSXurDLcpSLMRckuVqht6RMC3tzFc9wt4pKv,"[{'trait_type': 'Texture A', 'value': 'Fabric Yellow'}, {'trait_type': 'Texture B', 'value': 'Fabric Red'}, {'trait_type': 'Toes', 'value': 'Four Square'}, {'trait_type': 'Ankles', 'value': 'Hook Belt'}, {'trait_type': 'Laces', 'value': 'Straight Shooter'}, {'trait_type': 'Soles', 'value': 'Space Runners'}, {'trait_type': 'Socks', 'value': 'Loosy White'}, {'trait_type': 'Skin', 'value': 'White'}, {'trait_type': 'Background', 'value': 'Blue Grey'}]","{'category': 'image', 'files': [{'uri': 'https://metadata-temp-api.spacerunners.com/images/8080', 'type': 'image/jpg'}], 'creators': [{'address': '6br1qqGdBCg4NpA7iJ5xJM4Kui513m7Enuxd3CphrRk8', 'share': 100}]}",1,4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
4,G4xjdonVuLpQc6Z1qj53xuGc81jyBw1aSKLNVm12ckdU,7.37,AtWFrk6ATJuizvo9DG7An8MQXYJXrEhcyMQEZwavLFTQ,4mhn2kUnhhx4QdDQiqhXdeiLCCkj3ao6PrvgbJzsqtpC,space_runners,Space Runners,https://metadata-temp-api.spacerunners.com/images/7392,Space Runners x NBA Champions #7392,"Space Runners is the first NFT Metaverse Fashion brand in collaboration with artists and brands, designing digitally wearable NFTs through Augmented Reality (AR) and plug-in's into the Metaverse as items. 

As the genesis batch, Space Runners teamed up with NBA Champions Kyle Kuzma and Nick Young to launch a 10K Sneaker NFT Collection. Owners of the NFTs become members of an exclusive RUNNERS club, where they can reap members-only benefits such as tickets to NBA basketball games, signed Kyle Kuzma & Nick Young merchandise, exclusive invites to NBA parties & pick up games, auto-whitelist for Space Runners’ next drop, and more.  

Visit www.spacerunners.com for more information.
",https://spacerunners.com,image,"[{'address': 'EAJ6w757boibxSWX9rDy4sbWsqc1tqDc6gnbe8QAGhDd', 'verified': 1, 'share': 0}, {'address': '4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV', 'verified': 1, 'share': 100}]",500,HTVjSu56SnPJyJuAXed8XRJSGn8cD9ien2oT65Mycqyo,"[{'trait_type': 'Texture A', 'value': 'Fabric Red'}, {'trait_type': 'Texture B', 'value': 'White Galaxy'}, {'trait_type': 'Toes', 'value': 'Tiny Laces'}, {'trait_type': 'Ankles', 'value': 'Basketball'}, {'trait_type': 'Laces', 'value': 'XX'}, {'trait_type': 'Soles', 'value': 'Straight Up'}, {'trait_type': 'Socks', 'value': ""Champion's Color""}, {'trait_type': 'Skin', 'value': 'Brown'}, {'trait_type': 'Background', 'value': 'Mint'}]","{'category': 'image', 'files': [{'uri': 'https://metadata-temp-api.spacerunners.com/images/7392', 'type': 'image/jpg'}], 'creators': [{'address': '6br1qqGdBCg4NpA7iJ5xJM4Kui513m7Enuxd3CphrRk8', 'share': 100}]}",1,4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
5,D7U883CKnuWKkvb3AW9t9VrUVe1RULY7DEtXho3A9kkJ,7.4,FvWwcKdKb1GRePkitN9g7pRjd4gGdETNai8eJdn5sWLt,5quxq8snt8xnLBBvozz1sUC7YqjEmkgctPesJfxwjyAq,space_runners,Space Runners,https://metadata-temp-api.spacerunners.com/images/165,Space Runners x NBA Champions #165,"Space Runners is the first NFT Metaverse Fashion brand in collaboration with artists and brands, designing digitally wearable NFTs through Augmented Reality (AR) and plug-in's into the Metaverse as items. 

As the genesis batch, Space Runners teamed up with NBA Champions Kyle Kuzma and Nick Young to launch a 10K Sneaker NFT Collection. Owners of the NFTs become members of an exclusive RUNNERS club, where they can reap members-only benefits such as tickets to NBA basketball games, signed Kyle Kuzma & Nick Young merchandise, exclusive invites to NBA parties & pick up games, auto-whitelist for Space Runners’ next drop, and more.  

Visit www.spacerunners.com for more information.
",https://spacerunners.com,image,"[{'address': 'EAJ6w757boibxSWX9rDy4sbWsqc1tqDc6gnbe8QAGhDd', 'verified': 1, 'share': 0}, {'address': '4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV', 'verified': 1, 'share': 100}]",500,EJYtqpAG8UAQfRCuvAgAKXGeZszeuSdvXxkPMAS8bn7p,"[{'trait_type': 'Texture A', 'value': 'Black Hole'}, {'trait_type': 'Texture B', 'value': 'Calm Green'}, {'trait_type': 'Toes', 'value': 'Tiny Laces'}, {'trait_type': 'Ankles', 'value': 'Poppers'}, {'trait_type': 'Laces', 'value': 'Triple Velcro'}, {'trait_type': 'Soles', 'value': 'Straight Up'}, {'trait_type': 'Socks', 'value': 'Bullish Bear'}, {'trait_type': 'Skin', 'value': 'Brown'}, {'trait_type': 'Background', 'value': 'Blue Grey'}]","{'category': 'image', 'files': [{'uri': 'https://metadata-temp-api.spacerunners.com/images/165', 'type': 'image/jpg'}], 'creators': [{'address': '6br1qqGdBCg4NpA7iJ5xJM4Kui513m7Enuxd3CphrRk8', 'share': 100}]}",1,5389yVj4haQuF25ao4Kb8eagTZZ4kyfVcafRHK7zbfHu,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
6,42ocroESLETaJCbV8ZmWLqqSNrXGNjiLLyR9F8ysXdnU,7.42,78vQ8Gkgz52PAaGhkKnRScoFx7vtXB5FMXa1ajT5JeLN,8USXiGR5meps1nRT33yf4dstiUaLcrgYWxzxNskWp3Z8,space_runners,Space Runners,https://metadata-temp-api.spacerunners.com/images/7606,Space Runners x NBA Champions #7606,"Space Runners is the first NFT Metaverse Fashion brand in collaboration with artists and brands, designing digitally wearable NFTs through Augmented Reality (AR) and plug-in's into the Metaverse as items. 

As the genesis batch, Space Runners teamed up with NBA Champions Kyle Kuzma and Nick Young to launch a 10K Sneaker NFT Collection. Owners of the NFTs become members of an exclusive RUNNERS club, where they can reap members-only benefits such as tickets to NBA basketball games, signed Kyle Kuzma & Nick Young merchandise, exclusive invites to NBA parties & pick up games, auto-whitelist for Space Runners’ next drop, and more.  

Visit www.spacerunners.com for more information.
",https://spacerunners.com,image,"[{'address': 'EAJ6w757boibxSWX9rDy4sbWsqc1tqDc6gnbe8QAGhDd', 'verified': 1, 'share': 0}, {'address': '4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV', 'verified': 1, 'share': 100}]",500,Bg2pSgt3Leo5Yn8ALb2CuomMKByPyCCJSPKK6yUXMYgb,"[{'trait_type': 'Texture A', 'value': 'White Galaxy'}, {'trait_type': 'Texture B', 'value': 'Black Hole'}, {'trait_type': 'Toes', 'value': 'Semi-Framed'}, {'trait_type': 'Ankles', 'value': 'Poppers'}, {'trait_type': 'Laces', 'value': 'XX'}, {'trait_type': 'Soles', 'value': 'Space Runners'}, {'trait_type': 'Socks', 'value': ""Champion's Color""}, {'trait_type': 'Skin', 'value': 'Tanned'}, {'trait_type': 'Background', 'value': 'Lime Yellow'}]","{'category': 'image', 'files': [{'uri': 'https://metadata-temp-api.spacerunners.com/images/7606', 'type': 'image/jpg'}], 'creators': [{'address': '6br1qqGdBCg4NpA7iJ5xJM4Kui513m7Enuxd3CphrRk8', 'share': 100}]}",1,4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
7,4ckgvFMWWQ66Jn7WmCEFmBS1RJHo9o786LNR1upbgFSi,7.5,CqFov8SpMjVRBGWmMeNKrTJem4Tm4hWYAmCzsDARLvNJ,Dqw9ywsAz6yvvFFXh3qjAzM2M3hGxGUnh2Tyx55pf9ZK,space_runners,Space Runners,https://metadata-temp-api.spacerunners.com/images/2710,Space Runners x NBA Champions #2710,"Space Runners is the first NFT Metaverse Fashion brand in collaboration with artists and brands, designing digitally wearable NFTs through Augmented Reality (AR) and plug-in's into the Metaverse as items. 

As the genesis batch, Space Runners teamed up with NBA Champions Kyle Kuzma and Nick Young to launch a 10K Sneaker NFT Collection. Owners of the NFTs become members of an exclusive RUNNERS club, where they can reap members-only benefits such as tickets to NBA basketball games, signed Kyle Kuzma & Nick Young merchandise, exclusive invites to NBA parties & pick up games, auto-whitelist for Space Runners’ next drop, and more.  

Visit www.spacerunners.com for more information.
",https://spacerunners.com,image,"[{'address': 'EAJ6w757boibxSWX9rDy4sbWsqc1tqDc6gnbe8QAGhDd', 'verified': 1, 'share': 0}, {'address': '4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV', 'verified': 1, 'share': 100}]",500,GSNePRSC5LWBhdGaQxbyyePyM5foUz82Bi3KP83oJyWy,"[{'trait_type': 'Texture A', 'value': 'Fabric Yellow'}, {'trait_type': 'Texture B', 'value': 'Fabric Yellow'}, {'trait_type': 'Toes', 'value': 'Semi-Framed'}, {'trait_type': 'Ankles', 'value': 'To the Moon'}, {'trait_type': 'Laces', 'value': 'XX'}, {'trait_type': 'Soles', 'value': 'Straight Up'}, {'trait_type': 'Socks', 'value': 'Barefooter'}, {'trait_type': 'Skin', 'value': 'Black'}, {'trait_type': 'Background', 'value': 'Bright Red'}]","{'category': 'image', 'files': [{'uri': 'https://metadata-temp-api.spacerunners.com/images/2710', 'type': 'image/jpg'}], 'creators': [{'address': '6br1qqGdBCg4NpA7iJ5xJM4Kui513m7Enuxd3CphrRk8', 'share': 100}]}",1,4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
8,C8RNa1Tb1HChZH9Cp3RzcBjfmjhXCJSdb8qBLy19yZm,7.55,oCmhgaUe3Z5oVuqNYR4naJMr5JLGbCda8NnP1jUw6B6,FDKySkFLU7YKA1L4XMu9NfGQ1DzCsSSQ3P7kDDhVSmLD,space_runners,Space Runners,https://metadata-temp-api.spacerunners.com/images/6923,Space Runners x NBA Champions #6923,"Space Runners is the first NFT Metaverse Fashion brand in collaboration with artists and brands, designing digitally wearable NFTs through Augmented Reality (AR) and plug-in's into the Metaverse as items. 

As the genesis batch, Space Runners teamed up with NBA Champions Kyle Kuzma and Nick Young to launch a 10K Sneaker NFT Collection. Owners of the NFTs become members of an exclusive RUNNERS club, where they can reap members-only benefits such as tickets to NBA basketball games, signed Kyle Kuzma & Nick Young merchandise, exclusive invites to NBA parties & pick up games, auto-whitelist for Space Runners’ next drop, and more.  

Visit www.spacerunners.com for more information.
",https://spacerunners.com,image,"[{'address': 'EAJ6w757boibxSWX9rDy4sbWsqc1tqDc6gnbe8QAGhDd', 'verified': 1, 'share': 0}, {'address': '4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV', 'verified': 1, 'share': 100}]",500,8sWxVfnRPzzFZSagrPGufKpwNQFKpyq1U5cwKr4aBaPc,"[{'trait_type': 'Texture A', 'value': 'White Galaxy'}, {'trait_type': 'Texture B', 'value': 'White Galaxy'}, {'trait_type': 'Toes', 'value': 'Tiny Laces'}, {'trait_type': 'Ankles', 'value': 'Hook Belt'}, {'trait_type': 'Laces', 'value': 'XX'}, {'trait_type': 'Soles', 'value': 'Orange Toes'}, {'trait_type': 'Socks', 'value': 'Loosy White'}, {'trait_type': 'Skin', 'value': 'Brown'}, {'trait_type': 'Background', 'value': 'Space Grey'}]","{'category': 'image', 'files': [{'uri': 'https://metadata-temp-api.spacerunners.com/images/6923', 'type': 'image/jpg'}], 'creators': [{'address': '6br1qqGdBCg4NpA7iJ5xJM4Kui513m7Enuxd3CphrRk8', 'share': 100}]}",1,4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
9,EotkoojvDrsRpjAw4uAJgwqE7MF8UxNHNRpGwAhwE4Uy,7.89,96bpTbG4Vz2WFwqAqa3aU2knW2tJ8zHauZRfJfr6eWep,6pmtUnpsDWVgHgbCRKDnR2TUvLDUpEbF6GTvChsEDLBv,space_runners,Space Runners,https://metadata-temp-api.spacerunners.com/images/121,Space Runners x NBA Champions #121,"Space Runners is the first NFT Metaverse Fashion brand in collaboration with artists and brands, designing digitally wearable NFTs through Augmented Reality (AR) and plug-in's into the Metaverse as items. 

As the genesis batch, Space Runners teamed up with NBA Champions Kyle Kuzma and Nick Young to launch a 10K Sneaker NFT Collection. Owners of the NFTs become members of an exclusive RUNNERS club, where they can reap members-only benefits such as tickets to NBA basketball games, signed Kyle Kuzma & Nick Young merchandise, exclusive invites to NBA parties & pick up games, auto-whitelist for Space Runners’ next drop, and more.  

Visit www.spacerunners.com for more information.
",https://spacerunners.com,image,"[{'address': 'EAJ6w757boibxSWX9rDy4sbWsqc1tqDc6gnbe8QAGhDd', 'verified': 1, 'share': 0}, {'address': '4Ls1u7VofB5R66fVgcekVY2REe2s4eNYA7jQHkw6GhMV', 'verified': 1, 'share': 100}]",500,DH51VfRD3t7qxkHu98CbizHdkTP3eodunbE8bAJCKpy9,"[{'trait_type': 'Texture A', 'value': 'Fabric Red'}, {'trait_type': 'Texture B', 'value': 'Fabric Mint'}, {'trait_type': 'Toes', 'value': 'One-Liner'}, {'trait_type': 'Ankles', 'value': 'Basketball'}, {'trait_type': 'Laces', 'value': 'Loosy Laces'}, {'trait_type': 'Soles', 'value': 'Straight Up'}, {'trait_type': 'Socks', 'value': 'Black Flame'}, {'trait_type': 'Skin', 'value': 'White'}, {'trait_type': 'Background', 'value': 'Sky Blue'}]","{'category': 'image', 'files': [{'uri': 'https://metadata-temp-api.spacerunners.com/images/121', 'type': 'image/jpg'}], 'creators': [{'address': '6br1qqGdBCg4NpA7iJ5xJM4Kui513m7Enuxd3CphrRk8', 'share': 100}]}",1,5389yVj4haQuF25ao4Kb8eagTZZ4kyfVcafRHK7zbfHu,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}"
