,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,C5dxN2rhUdc1ZQK1Cr8epj3p3noPrv69kKetNQWDoa8c,1.98,vmpZLMdQEyrvbaxjvuFDarsWsiUVaLEygR3wKh7sB8K,7XSmttLvUdLyN9WQMZq7VhNJb5mestyjzvvqQ3ZGeCTu,spp,Solana Puppy Pound,https://www.arweave.net/0LXKGrElgsymmj64_G2t_sVewHhg2riqwsZi4fyGjFA?ext=png,Solana Puppy Pound #3145,Solana Puppy Pound #3145,image,"[{'address': '8MTFWsHBBRuWyHGFp29mUpWN5qTxgpCZZAzfju5Ka4WP', 'verified': 1, 'share': 0}, {'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'verified': 0, 'share': 100}]",800,3DB2Jt9md9wL378wcsLotytPkvDjGWC9cYcFn3FEwy5K,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Shiba Body', 'value': 'Orange'}, {'trait_type': 'Shiba Dress', 'value': 'None'}, {'trait_type': 'Shiba Eyes', 'value': 'Sad'}, {'trait_type': 'Shiba Glasses', 'value': 'Circular'}, {'trait_type': 'Shiba Mouth', 'value': 'Pizza'}, {'trait_type': 'Shiba Earring', 'value': 'Gold'}, {'trait_type': 'Shiba HairAndHat', 'value': 'BlackBandage'}]","{'files': [{'uri': 'https://www.arweave.net/0LXKGrElgsymmj64_G2t_sVewHhg2riqwsZi4fyGjFA?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'share': 100}]}",1,BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4263}}
1,2piTGt3AjyRHC5CN4LCNJ6BDK9XTkUVypiP7aNZHQofu,2.0,DaLwTbkeWjW1asSRXRqrHPoi9CmywppnpdzKopRihpAY,AjdW3ExuCHAnWiARwMeSRr47wfBfAwM7dGhVoDBCuKRm,spp,Solana Puppy Pound,https://www.arweave.net/4ZfiEgMxu67e5fvwkGHiBlv4GcbDYlJVh0881_BRkeQ?ext=png,Solana Puppy Pound #2064,Solana Puppy Pound #2064,image,"[{'address': '8MTFWsHBBRuWyHGFp29mUpWN5qTxgpCZZAzfju5Ka4WP', 'verified': 1, 'share': 0}, {'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'verified': 0, 'share': 100}]",800,7dnbW4bv3yMWrg3Ci9KudCEdBQSsaWLFZyH6BdC2sYpB,"[{'trait_type': 'Background', 'value': 'Gray'}, {'trait_type': 'Shiba Body', 'value': 'Zombie'}, {'trait_type': 'Shiba Dress', 'value': 'Burgundy'}, {'trait_type': 'Shiba Eyes', 'value': 'Sad'}, {'trait_type': 'Shiba Glasses', 'value': 'Yellow'}, {'trait_type': 'Shiba Mouth', 'value': 'Cigarette'}, {'trait_type': 'Shiba Earring', 'value': 'RedScarf'}, {'trait_type': 'Shiba HairAndHat', 'value': 'Soldier'}]","{'files': [{'uri': 'https://www.arweave.net/4ZfiEgMxu67e5fvwkGHiBlv4GcbDYlJVh0881_BRkeQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'share': 100}]}",1,BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3162}}
2,8mckctuBcNiWUZLZvjGFuwbuPeykrDeM82u1fEgxNBxq,2.0,5jntA3dQmvQopEndXZBQd1fhnrmL1Hh4bCGVbuGJ2iRm,AjdW3ExuCHAnWiARwMeSRr47wfBfAwM7dGhVoDBCuKRm,spp,Solana Puppy Pound,https://www.arweave.net/qgkT2ZkuArxS5MVO4hTGqno-S-8WnxA6b14NKwkC_8s?ext=png,Solana Puppy Pound #1310,Solana Puppy Pound #1310,image,"[{'address': '8MTFWsHBBRuWyHGFp29mUpWN5qTxgpCZZAzfju5Ka4WP', 'verified': 1, 'share': 0}, {'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'verified': 0, 'share': 100}]",800,kGpyNvUAGynKjY7CPk94WDgyNMCX3eaVN1hN6UTfwpX,"[{'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Shiba Body', 'value': 'LightPink'}, {'trait_type': 'Shiba Dress', 'value': 'Burgundy'}, {'trait_type': 'Shiba Eyes', 'value': 'Innocent'}, {'trait_type': 'Shiba Glasses', 'value': 'Black'}, {'trait_type': 'Shiba Mouth', 'value': 'DownTongue'}, {'trait_type': 'Shiba Earring', 'value': 'Cross'}, {'trait_type': 'Shiba HairAndHat', 'value': 'OrangeBandage'}]","{'files': [{'uri': 'https://www.arweave.net/qgkT2ZkuArxS5MVO4hTGqno-S-8WnxA6b14NKwkC_8s?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'share': 100}]}",1,BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 1103}}
3,FjFthjdJ7ukdLfwkEmhJ55Nsn4rfigMdyFc3pjJnYdtD,2.0,5bP4Un4r2Y24EFd7S3pBusVnVeG1iFrh99893LUqhP7Y,85iyktTTSkgnKbD145zTCVXyVpcwwaminQ8dfESXkxV3,spp,Solana Puppy Pound,https://www.arweave.net/o8raViy74qtx9uOnKBrFbc-mV2eTsgwJCLYcXMxAW4M?ext=png,Solana Puppy Pound #5417,Solana Puppy Pound #5417,image,"[{'address': '8MTFWsHBBRuWyHGFp29mUpWN5qTxgpCZZAzfju5Ka4WP', 'verified': 1, 'share': 0}, {'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'verified': 0, 'share': 100}]",800,6GBpmPhseYv7Auz9Zr1mdM78zv8twcwpyvdza6NqMMHW,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Frenchie Body', 'value': 'Gray'}, {'trait_type': 'Frenchie Dress', 'value': 'Yellow'}, {'trait_type': 'Frenchie Eyes', 'value': 'Tearful'}, {'trait_type': 'Frenchie Glasses', 'value': 'ClassicRed'}, {'trait_type': 'Frenchie Mouth', 'value': 'Up'}, {'trait_type': 'Frenchie Earring', 'value': 'Ring'}, {'trait_type': 'Frenchie HairAndHat', 'value': 'GreenBeret'}]","{'files': [{'uri': 'https://www.arweave.net/o8raViy74qtx9uOnKBrFbc-mV2eTsgwJCLYcXMxAW4M?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'share': 100}]}",1,BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2810}}
4,4Gsi7cDbFLi4tMzin8DrFs8Bj1UosX7UYynyA5bwJ4U6,2.0,CwDU7ezxhgT8LmXprTtPxHf2BNH7v2Bddnd6PtzW1Mc1,4KcDGpteuGL4AXv6r2brgxoexGXo8vRou8jDZyidU5x2,spp,Solana Puppy Pound,https://www.arweave.net/ck0DsMET9kwrbYb96iJi90PNkc6Wj4L76TYmlg4gbVQ?ext=png,Solana Puppy Pound #7591,Solana Puppy Pound #7591,image,"[{'address': '8MTFWsHBBRuWyHGFp29mUpWN5qTxgpCZZAzfju5Ka4WP', 'verified': 1, 'share': 0}, {'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'verified': 0, 'share': 100}]",800,98b2CoJ3kj8Q2w9DSN8z3Pamdf2Jd1qFREDzZrULLd73,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Shiba Body', 'value': 'Rainbow'}, {'trait_type': 'Shiba Dress', 'value': 'GoldPattern'}, {'trait_type': 'Shiba Eyes', 'value': 'Sad'}, {'trait_type': 'Shiba Glasses', 'value': 'Classic'}, {'trait_type': 'Shiba Mouth', 'value': 'UpTongue'}, {'trait_type': 'Shiba Earring', 'value': 'None'}, {'trait_type': 'Shiba HairAndHat', 'value': 'TopRankGold'}]","{'files': [{'uri': 'https://www.arweave.net/ck0DsMET9kwrbYb96iJi90PNkc6Wj4L76TYmlg4gbVQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'share': 100}]}",1,BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3623}}
5,vMmpNVuTC47bpaTMBHtL9cBrHrn3KUShSXS76TU4vZD,2.0,GpSvBtecoWkt39LffUxVdqR94iqfzq4cRs8ks7wS56WG,FKGU5DtaXjawG9BNpmiBCC1d5ComsnJbnHn2yZTj7tFc,spp,Solana Puppy Pound,https://www.arweave.net/t6K4CCBgzZHP6O8KmGewVVFd1sZSZWphRRhZp41YK44?ext=png,Solana Puppy Pound #2590,Solana Puppy Pound #2590,image,"[{'address': '8MTFWsHBBRuWyHGFp29mUpWN5qTxgpCZZAzfju5Ka4WP', 'verified': 1, 'share': 0}, {'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'verified': 0, 'share': 100}]",800,JDXb9QBfCqFrDbWonbq6JBKkQg3SLhjbHmkdY5hbMLFc,"[{'trait_type': 'Background', 'value': 'Gray'}, {'trait_type': 'Shiba Body', 'value': 'Cream'}, {'trait_type': 'Shiba Dress', 'value': 'GoldPattern'}, {'trait_type': 'Shiba Eyes', 'value': 'Innocent'}, {'trait_type': 'Shiba Glasses', 'value': 'Circular'}, {'trait_type': 'Shiba Mouth', 'value': 'UpTongue'}, {'trait_type': 'Shiba Earring', 'value': 'Silver'}, {'trait_type': 'Shiba HairAndHat', 'value': 'Caesar'}]","{'files': [{'uri': 'https://www.arweave.net/t6K4CCBgzZHP6O8KmGewVVFd1sZSZWphRRhZp41YK44?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'share': 100}]}",1,BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2814}}
6,8iPgKEtjk6Z3EStmuahfrEtEusKF6yZnBBCrFxPKqRRW,2.0,HyeJUyMN7Q4Hycgt6tccwbpV6svTKveLrDTvGuDhF6un,FKGU5DtaXjawG9BNpmiBCC1d5ComsnJbnHn2yZTj7tFc,spp,Solana Puppy Pound,https://www.arweave.net/bkh_W0D9Su5b_ARFIx_WT00v0oDyxW3VYZLTHkyoq-Q?ext=png,Solana Puppy Pound #1611,Solana Puppy Pound #1611,image,"[{'address': '8MTFWsHBBRuWyHGFp29mUpWN5qTxgpCZZAzfju5Ka4WP', 'verified': 1, 'share': 0}, {'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'verified': 0, 'share': 100}]",800,93NEGZJvibVGdCdjayEzo5hLrSqEfwnpf4q9PzuqDcdV,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Shiba Body', 'value': 'Solana'}, {'trait_type': 'Shiba Dress', 'value': 'None'}, {'trait_type': 'Shiba Eyes', 'value': 'Innocent'}, {'trait_type': 'Shiba Glasses', 'value': 'Classic'}, {'trait_type': 'Shiba Mouth', 'value': 'Pizza'}, {'trait_type': 'Shiba Earring', 'value': 'Gold'}, {'trait_type': 'Shiba HairAndHat', 'value': 'TopRankPink'}]","{'files': [{'uri': 'https://www.arweave.net/bkh_W0D9Su5b_ARFIx_WT00v0oDyxW3VYZLTHkyoq-Q?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'share': 100}]}",1,BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4279}}
7,HZPe8KRQiBai6tXkPY2HmrKvuueAYhTQNq6E2V1vfzit,2.0,CjnDB2uAnuLqLSdzfU1KX5DNqm7G3ShGnqbtRhYHRysd,FKGU5DtaXjawG9BNpmiBCC1d5ComsnJbnHn2yZTj7tFc,spp,Solana Puppy Pound,https://www.arweave.net/63XLvjJAvdFAM4Oukzw5dxprZht6T66wlW-ydDzyr5s?ext=png,Solana Puppy Pound #1339,Solana Puppy Pound #1339,image,"[{'address': '8MTFWsHBBRuWyHGFp29mUpWN5qTxgpCZZAzfju5Ka4WP', 'verified': 1, 'share': 0}, {'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'verified': 0, 'share': 100}]",800,F4pz2c3VpVBc5rHmoRzYPd5nes8VR3mW5JsJa3VrRCbF,"[{'trait_type': 'Background', 'value': 'Gray'}, {'trait_type': 'Shiba Body', 'value': 'Orange'}, {'trait_type': 'Shiba Dress', 'value': 'Winter'}, {'trait_type': 'Shiba Eyes', 'value': 'Innocent'}, {'trait_type': 'Shiba Glasses', 'value': 'Black'}, {'trait_type': 'Shiba Mouth', 'value': 'OpenMouth'}, {'trait_type': 'Shiba Earring', 'value': 'RedScarf'}, {'trait_type': 'Shiba HairAndHat', 'value': 'Wrap'}]","{'files': [{'uri': 'https://www.arweave.net/63XLvjJAvdFAM4Oukzw5dxprZht6T66wlW-ydDzyr5s?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'share': 100}]}",1,BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 363}}
8,FMNnbfKG3gGJQepBCm3oZ1ArRmMvuNJ7Dr4eqBQ9ksL8,2.0,EYxy2Frw2o1WW5BUxg9tFJF7MShVybVEDDKjayGi2EmK,9pBuCuxQEQkXBx9TyfBAgK1g2HFTMsfPWcG7p4ZWMhQF,spp,Solana Puppy Pound,https://www.arweave.net/GIMeSuzYH8ZsS1pbuXEovnMm1-Lw_vAikCyoSroUWNo?ext=png,Solana Puppy Pound #4555,Solana Puppy Pound #4555,image,"[{'address': '8MTFWsHBBRuWyHGFp29mUpWN5qTxgpCZZAzfju5Ka4WP', 'verified': 1, 'share': 0}, {'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'verified': 0, 'share': 100}]",800,A3NJv1rgc7syaLEFBFgjoDz91gBuN46NeT8UuTLbZFoY,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Shiba Body', 'value': 'Pink'}, {'trait_type': 'Shiba Dress', 'value': 'Burgundy'}, {'trait_type': 'Shiba Eyes', 'value': 'Innocent'}, {'trait_type': 'Shiba Glasses', 'value': 'None'}, {'trait_type': 'Shiba Mouth', 'value': 'Cigarette'}, {'trait_type': 'Shiba Earring', 'value': 'Quadruple'}, {'trait_type': 'Shiba HairAndHat', 'value': 'Hamburger'}]","{'files': [{'uri': 'https://www.arweave.net/GIMeSuzYH8ZsS1pbuXEovnMm1-Lw_vAikCyoSroUWNo?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'share': 100}]}",1,BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 2635}}
9,7fvvMmirjiCjmLbcabaJbUw45mJcerGkiZpnJxEsRc3U,2.1,9AJ4dCiUVyadANNng9mSXoKeQGLosnp4Z9GGeeYdSwTA,J9UQassdQrZ2MHWWXR4X4EVxAHMPr41aZUjg1YhD5KMV,spp,Solana Puppy Pound,https://www.arweave.net/XA_oh8TUlhEHA6-xYaLGhJ-B_XVDuI27To43eQW5gOA?ext=png,Solana Puppy Pound #7504,Solana Puppy Pound #7504,image,"[{'address': '8MTFWsHBBRuWyHGFp29mUpWN5qTxgpCZZAzfju5Ka4WP', 'verified': 1, 'share': 0}, {'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'verified': 0, 'share': 100}]",800,6FAfYLiuyCVN2wWjJsDnpcpkS1x3Wv83uxW8fiEWQJPS,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Shiba Body', 'value': 'White'}, {'trait_type': 'Shiba Dress', 'value': 'Gray'}, {'trait_type': 'Shiba Eyes', 'value': 'Innocent'}, {'trait_type': 'Shiba Glasses', 'value': 'Monocle'}, {'trait_type': 'Shiba Mouth', 'value': 'Cigarette'}, {'trait_type': 'Shiba Earring', 'value': 'Gold'}, {'trait_type': 'Shiba HairAndHat', 'value': 'Plaid'}]","{'files': [{'uri': 'https://www.arweave.net/XA_oh8TUlhEHA6-xYaLGhJ-B_XVDuI27To43eQW5gOA?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm', 'share': 100}]}",1,BfGUDyY1Fwd2AypgnuiuwRcvN1QMgGGCyF9yTZWx1DVm,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{}
