,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,H2Kx4cPECiaJk4wHdowCpZmgWtb51q6ctMy6nZWQ6jgk,66.0,CYwdwWjA9BoEY6GX85ATRDJSGzBzAr1ffnGhtAPsp8je,2eujLmFP9qceBFkNGEzimT8UwCAgMC9bTnvcY2voQM2T,stoned_ape_crew,Stoned Ape Crew,https://www.arweave.net/6ytUA6R3N7HfoYWBXERRXDliRBCtOShgNRPpkxjln_4?ext=png,Stoned Ape #3923,"4200 Stoned Apes Form The Genesis Collection In The Crew With 4 Roles, Allowing Staking For Daily Rewards Of Our Utility Token $PUFF, An NFT Evolution Process With Token Burning Mechanics And More Dope Real World Utility. More Than Just Your Typical PFP Project.",image,"[{'address': '7RCBr3ZQ8yhY4jHpFFo3Kmh7MnaCPi1bFuUgXUB9WURf', 'verified': 1, 'share': 0}, {'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'verified': 0, 'share': 100}]",742,96D59nrh51aYqyCocBCZfAKZ4bScDjfgKgVg1abmcsd5,"[{'trait_type': 'Role', 'value': 'Chimpion'}, {'trait_type': 'Background', 'value': 'Space 3'}, {'trait_type': 'Facetats', 'value': 'Always Stoned'}, {'trait_type': 'Eyes', 'value': 'Awake Black'}, {'trait_type': 'Form', 'value': 'Dark Blonde'}, {'trait_type': 'Mouth', 'value': 'Money Joint'}, {'trait_type': 'Hair', 'value': 'Yellow Beanie Dark Blonde Fur'}, {'trait_type': 'Upper Part', 'value': '420 Da Vinci Tee'}]","{'files': [{'uri': 'https://www.arweave.net/6ytUA6R3N7HfoYWBXERRXDliRBCtOShgNRPpkxjln_4?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'share': 100}]}",1,PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 0}, 'howrare': {'rank': 2580}}"
1,DmGD2gimVW53MFY8YVFErPujJDUg2iS7QpVfsFd1J27w,66.0,HE8ZJiY7xeQrrAYVt9XCD977Gs5taysNjWXR44MoT4ku,8PWmTZJnqqY1JNL3LMF8gJaqMuSp1y6nPCL16KcNFiNo,stoned_ape_crew,Stoned Ape Crew,https://www.arweave.net/fmkwKPudWeFEL6xPESQCwWD58Vrt7JY-0IZFZVT6ipQ?ext=png,Stoned Ape #2717,"4200 Stoned Apes Form The Genesis Collection In The Crew With 4 Roles, Allowing Staking For Daily Rewards Of Our Utility Token $PUFF, An NFT Evolution Process With Token Burning Mechanics And More Dope Real World Utility. More Than Just Your Typical PFP Project.",image,"[{'address': '7RCBr3ZQ8yhY4jHpFFo3Kmh7MnaCPi1bFuUgXUB9WURf', 'verified': 1, 'share': 0}, {'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'verified': 0, 'share': 100}]",742,E6trSeE59aaW9ZabueWiTYCJoxBxJwy8LJwwvtfJDqFM,"[{'trait_type': 'Role', 'value': 'Farmer'}, {'trait_type': 'Background', 'value': 'Glass pastel'}, {'trait_type': 'Eyes', 'value': 'Red'}, {'trait_type': 'Form', 'value': 'Light Blonde'}, {'trait_type': 'Hats', 'value': 'Blue Beret'}, {'trait_type': 'Mouth', 'value': 'Puffin'}, {'trait_type': 'Hair', 'value': 'Long Wavy Light Blonde'}, {'trait_type': 'Hand with Items', 'value': 'Brownie Light Blonde Fur'}, {'trait_type': 'Random Things', 'value': 'Questionmark'}, {'trait_type': 'Upper Part', 'value': 'Blue Legalize Hoodie'}]","{'files': [{'uri': 'https://www.arweave.net/fmkwKPudWeFEL6xPESQCwWD58Vrt7JY-0IZFZVT6ipQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'share': 100}]}",1,PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 0}, 'howrare': {'rank': 2219}}"
2,A3z3UvborKcoxeyekVU3qS5aLe9roSAHQXrs6aFD3DrT,66.9699,BhdNL8QMUAVwXcSsaRNzF44bv3qpd815iEJ22VhifFFX,49aoh1j4uiauJE1z6CbbqTTLLVS4XLMGALa87bHVooQf,stoned_ape_crew,Stoned Ape Crew,https://www.arweave.net/ZSmdxhOzcoDKE81H1I9Bf_9MJpb0SQo1YD1ZZrga3BY?ext=png,Stoned Ape #3752,"4200 Stoned Apes Form The Genesis Collection In The Crew With 4 Roles, Allowing Staking For Daily Rewards Of Our Utility Token $PUFF, An NFT Evolution Process With Token Burning Mechanics And More Dope Real World Utility. More Than Just Your Typical PFP Project.",image,"[{'address': '7RCBr3ZQ8yhY4jHpFFo3Kmh7MnaCPi1bFuUgXUB9WURf', 'verified': 1, 'share': 0}, {'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'verified': 0, 'share': 100}]",742,DzFMsfQpY1vi84ZwETWg6SeWuo4xqJ9owHhT8kW4VSaa,"[{'trait_type': 'Role', 'value': 'Businessman'}, {'trait_type': 'Background', 'value': 'Brown Plain'}, {'trait_type': 'Eyes', 'value': 'Red'}, {'trait_type': 'Form', 'value': 'Dark Blonde'}, {'trait_type': 'Mouth', 'value': 'Gentle Smile'}, {'trait_type': 'Hair', 'value': 'Pink Beanie Dark Blonde Fur'}, {'trait_type': 'Upper Part', 'value': 'Green Poloshirt'}]","{'files': [{'uri': 'https://www.arweave.net/ZSmdxhOzcoDKE81H1I9Bf_9MJpb0SQo1YD1ZZrga3BY?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'share': 100}]}",1,PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4186}, 'howrare': {'rank': 2779}}"
3,8nDQYjwCdu74ExnuL5T7Q2JpSNWaQxVHHk26qBNrFL6e,66.9699,AgMWcnXLyniZwu5PLtEqtQ6iQu8bJNHP8sLmAVPTZifa,49aoh1j4uiauJE1z6CbbqTTLLVS4XLMGALa87bHVooQf,stoned_ape_crew,Stoned Ape Crew,https://www.arweave.net/WwvfRK2GL_Ktt_bkoTHzV7_ceanQ2N9oJ0eT61hS5Qs?ext=png,Stoned Ape #3189,"4200 Stoned Apes Form The Genesis Collection In The Crew With 4 Roles, Allowing Staking For Daily Rewards Of Our Utility Token $PUFF, An NFT Evolution Process With Token Burning Mechanics And More Dope Real World Utility. More Than Just Your Typical PFP Project.",image,"[{'address': '7RCBr3ZQ8yhY4jHpFFo3Kmh7MnaCPi1bFuUgXUB9WURf', 'verified': 1, 'share': 0}, {'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'verified': 0, 'share': 100}]",742,Bw9xxEgXdqBcGJJfTLjR5nUnX2iRXBXNPL7a2gMLMdLZ,"[{'trait_type': 'Role', 'value': 'Farmer'}, {'trait_type': 'Background', 'value': 'Violet'}, {'trait_type': 'Eyes', 'value': 'Angry'}, {'trait_type': 'Eyes Items', 'value': 'Blue Flash Eye'}, {'trait_type': 'Form', 'value': 'Dark Blonde'}, {'trait_type': 'Mouth', 'value': 'Banana Joint'}, {'trait_type': 'Hair', 'value': 'Blue Beanie Dark Blonde Fur'}, {'trait_type': 'Upper Part', 'value': 'Leo Hippie Top'}]","{'files': [{'uri': 'https://www.arweave.net/WwvfRK2GL_Ktt_bkoTHzV7_ceanQ2N9oJ0eT61hS5Qs?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'share': 100}]}",1,PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 0}, 'howrare': {'rank': 1085}}"
4,5KTrxSHS9JVdevB4KE8yCpdpuPXDv54A6emZTBDVYT8s,66.99,jNHKDDiTqExANweWjwV4SS4gNGvdrLzXVXkiSB1Kmmp,3Czdvgnpc7jWB9yWJiSdmz1breL2kmsYeHHU5xLYjrY2,stoned_ape_crew,Stoned Ape Crew,https://www.arweave.net/WLO-D4ED4t1xpIUfX7VVVkJhjHdqxju-nc5DJ3Gu31c?ext=png,Stoned Ape #1393,"4200 Stoned Apes Form The Genesis Collection In The Crew With 4 Roles, Allowing Staking For Daily Rewards Of Our Utility Token $PUFF, An NFT Evolution Process With Token Burning Mechanics And More Dope Real World Utility. More Than Just Your Typical PFP Project.",image,"[{'address': '7RCBr3ZQ8yhY4jHpFFo3Kmh7MnaCPi1bFuUgXUB9WURf', 'verified': 1, 'share': 0}, {'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'verified': 0, 'share': 100}]",742,726rJjLSZTgZjuETkCSJ1LJGudhrtFHzpbJUPm73rmE,"[{'trait_type': 'Role', 'value': 'Chimpion'}, {'trait_type': 'Background', 'value': 'Space 1'}, {'trait_type': 'Ears', 'value': 'Double Piercing'}, {'trait_type': 'Eyes', 'value': 'Awake Black'}, {'trait_type': 'Form', 'value': 'Light Brown'}, {'trait_type': 'Mouth', 'value': 'Rolled Joint'}, {'trait_type': 'Hair', 'value': 'Red Beanie Light Brown Fur'}, {'trait_type': 'Neck', 'value': 'Weed Chain'}, {'trait_type': 'Hand with Items', 'value': 'Pink Donut Light Brown Fur'}, {'trait_type': 'Random Things', 'value': 'Flamingo Bong'}, {'trait_type': 'Upper Part', 'value': 'Brown Hippie Top'}]","{'files': [{'uri': 'https://www.arweave.net/WLO-D4ED4t1xpIUfX7VVVkJhjHdqxju-nc5DJ3Gu31c?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'share': 100}]}",1,PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 0}, 'howrare': {'rank': 2199}}"
5,9U6MPbQedq61WnjZ7atGDmonxcpELQfFnARyn9fUFcyz,67.0,CRHDstHAqxGK7sed2NLkGDzBnGUhb8WXgNLNfPAfGTzU,DAryrVPwuzQydkwo5Duzi8sELk1apGhaM1RzyQUstyLB,stoned_ape_crew,Stoned Ape Crew,https://www.arweave.net/o3STyQiUxFh9krcMrCIGl3_bRiUtLMhEXhfaffOXGb0?ext=png,Stoned Ape #851,"4200 Stoned Apes Form The Genesis Collection In The Crew With 4 Roles, Allowing Staking For Daily Rewards Of Our Utility Token $PUFF, An NFT Evolution Process With Token Burning Mechanics And More Dope Real World Utility. More Than Just Your Typical PFP Project.",image,"[{'address': '7RCBr3ZQ8yhY4jHpFFo3Kmh7MnaCPi1bFuUgXUB9WURf', 'verified': 1, 'share': 0}, {'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'verified': 0, 'share': 100}]",742,7M4ToifrZc7MzQH4MKGbhZb6ok3inFAuiBX2CY5Vz15K,"[{'trait_type': 'Role', 'value': 'Farmer'}, {'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Eyes', 'value': 'Black'}, {'trait_type': 'Form', 'value': 'Rainbow'}, {'trait_type': 'Hats', 'value': 'Red Beret'}, {'trait_type': 'Mouth', 'value': 'Rolled Joint'}, {'trait_type': 'Hair', 'value': 'Smooth Long Rainbow'}, {'trait_type': 'Hand with Items', 'value': 'Grey Controller Rainbow Fur'}, {'trait_type': 'Random Things', 'value': 'Questionmark'}, {'trait_type': 'Upper Part', 'value': 'Red Puff Puff Hoodie'}]","{'files': [{'uri': 'https://www.arweave.net/o3STyQiUxFh9krcMrCIGl3_bRiUtLMhEXhfaffOXGb0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'share': 100}]}",1,PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 3601}, 'howrare': {'rank': 3862}}"
6,F4uJoUXYc9tyYTPXrme7zjLedb8DsWgHkNUZweQ6of44,67.0,Bd9SpTZPVH7G3apfSjfs1N2YyZvhvVeUyq7h4FyxAoGj,DAryrVPwuzQydkwo5Duzi8sELk1apGhaM1RzyQUstyLB,stoned_ape_crew,Stoned Ape Crew,https://www.arweave.net/6bsILzxFHGXrWxhZJ7nNkCAl0PvDh0bR3J2It4UubUg?ext=png,Stoned Ape #3035,"4200 Stoned Apes Form The Genesis Collection In The Crew With 4 Roles, Allowing Staking For Daily Rewards Of Our Utility Token $PUFF, An NFT Evolution Process With Token Burning Mechanics And More Dope Real World Utility. More Than Just Your Typical PFP Project.",image,"[{'address': '7RCBr3ZQ8yhY4jHpFFo3Kmh7MnaCPi1bFuUgXUB9WURf', 'verified': 1, 'share': 0}, {'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'verified': 0, 'share': 100}]",742,EmcZwc2nWEMesGBDo7aoEJHhXABbX4jiL3kCXBCk9mch,"[{'trait_type': 'Role', 'value': 'Artist'}, {'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Eyes', 'value': 'Red'}, {'trait_type': 'Eyes Items', 'value': 'Green Glasses'}, {'trait_type': 'Form', 'value': 'Dark Blonde'}, {'trait_type': 'Mouth', 'value': 'Open'}, {'trait_type': 'Hair', 'value': 'Pink Beanie Dark Blonde Fur'}, {'trait_type': 'Neck', 'value': 'Weed Chain'}, {'trait_type': 'Nose', 'value': 'Nose Piercing'}, {'trait_type': 'Upper Part', 'value': 'Yellow Poloshirt'}]","{'files': [{'uri': 'https://www.arweave.net/6bsILzxFHGXrWxhZJ7nNkCAl0PvDh0bR3J2It4UubUg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'share': 100}]}",1,PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 0}, 'howrare': {'rank': 3236}}"
7,6gmeYdevZnpWYXjSFUCTUZmyDPaxwUuHRk7u5miyVnr9,67.0,CMZ6mjiyMs13MmLPjwFFLf2FSpWVaAjX8Ffpw48hTAVL,9vFMS7yVhmZxTJZ5GPih5F1fi1oaeZJ3R96WmWVbqMY3,stoned_ape_crew,Stoned Ape Crew,https://www.arweave.net/g7S6wod2lBZEqFUe3u-C9zd0Qi8FpGb3h3FzJjEGHt8?ext=png,Stoned Ape #3461,"4200 Stoned Apes Form The Genesis Collection In The Crew With 4 Roles, Allowing Staking For Daily Rewards Of Our Utility Token $PUFF, An NFT Evolution Process With Token Burning Mechanics And More Dope Real World Utility. More Than Just Your Typical PFP Project.",image,"[{'address': '7RCBr3ZQ8yhY4jHpFFo3Kmh7MnaCPi1bFuUgXUB9WURf', 'verified': 1, 'share': 0}, {'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'verified': 0, 'share': 100}]",742,HbMCmFoqPo2rhmK9CWW7j9sHf33omXMJdpF3ezRdkboJ,"[{'trait_type': 'Role', 'value': 'Chimpion'}, {'trait_type': 'Background', 'value': 'Hippie 3'}, {'trait_type': 'Eyes', 'value': 'Awake Green'}, {'trait_type': 'Form', 'value': 'Light Blonde'}, {'trait_type': 'Mouth', 'value': 'Gentle Smile'}, {'trait_type': 'Hair', 'value': 'Smooth Long Light Blonde'}, {'trait_type': 'Hand with Items', 'value': 'Pink Donut Light Blonde Fur'}, {'trait_type': 'Random Things', 'value': 'Questionmark'}, {'trait_type': 'Upper Part', 'value': 'Banana Shirt'}]","{'files': [{'uri': 'https://www.arweave.net/g7S6wod2lBZEqFUe3u-C9zd0Qi8FpGb3h3FzJjEGHt8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'share': 100}]}",1,PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 0}, 'howrare': {'rank': 3365}}"
8,EYkEkj6rJjpS4uR1UFMhRtqkz4FXxmvJSW21HQ5ph6YE,67.0,GqA3bXwtbDCcjgsVfHv93uX6RLU7Qx5566U6uUSqm4d5,EEmUFjnaHWhKKTm9pVoWLywDHWd384SLMzX9SjhsKGWB,stoned_ape_crew,Stoned Ape Crew,https://www.arweave.net/ds2Wkt9RQVK9lsczPdO8yJW7vif0xdUjnasgpGZSjaM?ext=png,Stoned Ape #4185,"4200 Stoned Apes Form The Genesis Collection In The Crew With 4 Roles, Allowing Staking For Daily Rewards Of Our Utility Token $PUFF, An NFT Evolution Process With Token Burning Mechanics And More Dope Real World Utility. More Than Just Your Typical PFP Project.",image,"[{'address': '7RCBr3ZQ8yhY4jHpFFo3Kmh7MnaCPi1bFuUgXUB9WURf', 'verified': 1, 'share': 0}, {'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'verified': 0, 'share': 100}]",742,BDMecsnGdqY5jCyvyDdtiBNCvXfupPwjSdHE7S3unfYi,"[{'trait_type': 'Role', 'value': 'Chimpion'}, {'trait_type': 'Background', 'value': 'Darkblue Gradient'}, {'trait_type': 'Companions', 'value': 'Weedy with Glasses'}, {'trait_type': 'Eyes', 'value': 'Red'}, {'trait_type': 'Form', 'value': 'Dark Blonde'}, {'trait_type': 'Mouth', 'value': 'Open'}, {'trait_type': 'Hair', 'value': 'Blue Beanie Dark Blonde Fur'}, {'trait_type': 'Nose', 'value': 'Nose Piercing'}, {'trait_type': 'Random Things', 'value': 'Questionmark'}, {'trait_type': 'Upper Part', 'value': 'Red Puff Puff Hoodie'}]","{'files': [{'uri': 'https://www.arweave.net/ds2Wkt9RQVK9lsczPdO8yJW7vif0xdUjnasgpGZSjaM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'share': 100}]}",1,PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 0}, 'howrare': {'rank': 3018}}"
9,3PKf6RCrt5cJzZEecfdq2kqDBB3mtucqbzGc2g51FgEx,68.0,GGtJ3PLdnwyHDAXBiaGocUv72sNpjwEaRmw4R8McABrj,EKfbPpUz8HHJK4wMDLG87ZYXjcxMnUr3hRjrA6j2cF3A,stoned_ape_crew,Stoned Ape Crew,https://www.arweave.net/wbK5PToQv3EgBXXT2dVXwL2nKaOP4CQJn7qzEOK5078?ext=png,Stoned Ape #3336,"4200 Stoned Apes Form The Genesis Collection In The Crew With 4 Roles, Allowing Staking For Daily Rewards Of Our Utility Token $PUFF, An NFT Evolution Process With Token Burning Mechanics And More Dope Real World Utility. More Than Just Your Typical PFP Project.",image,"[{'address': '7RCBr3ZQ8yhY4jHpFFo3Kmh7MnaCPi1bFuUgXUB9WURf', 'verified': 1, 'share': 0}, {'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'verified': 0, 'share': 100}]",742,7okBpdpxTahjZP8TPvBinPTAJ1JkvUCssxB3TaMpvfAw,"[{'trait_type': 'Role', 'value': 'Businessman'}, {'trait_type': 'Background', 'value': 'Matrix'}, {'trait_type': 'Ears', 'value': 'Golden Earring'}, {'trait_type': 'Eyes', 'value': 'Awake Black'}, {'trait_type': 'Form', 'value': 'Light Brown'}, {'trait_type': 'Mouth', 'value': 'Laughing'}, {'trait_type': 'Hair', 'value': 'Smooth Long Light Brown'}, {'trait_type': 'Hand with Items', 'value': 'Brownie Light Brown Fur'}, {'trait_type': 'Random Things', 'value': 'Questionmark'}, {'trait_type': 'Upper Part', 'value': 'Pink Canna Jacket'}]","{'files': [{'uri': 'https://www.arweave.net/wbK5PToQv3EgBXXT2dVXwL2nKaOP4CQJn7qzEOK5078?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb', 'share': 100}]}",1,PUFFgnKKhQ23vp8uSPwdzrUhEr7WpLmjM85NB1FQgpb,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 0}, 'howrare': {'rank': 3657}}"
