,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,5zTahJhV2Nx6aCuiMZgs1TJNTzwuWdT6emmp39ycQ4rh,29.0,9kPhGX8HPFWnk731Wxw9FQzVMwB3rjJADMimFNwUZdaC,FcEMxcoN6kntHRTwqDCK6rP8wFPM832vq4ozzVjgC4SW,the_catalina_whale_mixer,The Catalina Whale Mixer,https://www.arweave.net/8AX2Zq2ZKkHn41jrLWZFHNbtDyhYwUDPz62yvEfcvWM?ext=png,Catalina Whale 201,The most exclusive gathering of Whales in the Western Hemisphere since 1997. The genesis project from WAGMI Beach.,image,"[{'address': 'DvZfhaWCjA2uCWgimRm6F59vHkeXyGvEvvVQPhiqosn2', 'verified': 1, 'share': 0}, {'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'verified': 0, 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'verified': 0, 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'verified': 0, 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'verified': 0, 'share': 7}]",500,EwWyDUX4rUoLrMJLeta8Tk7WoAjB9Gv8KHPf6vDhX1Wd,"[{'trait_type': 'Background', 'value': 'Inertia'}, {'trait_type': 'Body', 'value': 'Humpack'}, {'trait_type': 'Clothing', 'value': 'Black Hoodie'}, {'trait_type': 'Mouth', 'value': 'Frowny'}, {'trait_type': 'Hair Hole', 'value': 'None'}, {'trait_type': 'Glasses', 'value': 'VR'}]","{'files': [{'uri': 'https://www.arweave.net/8AX2Zq2ZKkHn41jrLWZFHNbtDyhYwUDPz62yvEfcvWM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'share': 7}]}",1,7ATW36fNiVb2VWMS5FEYQdKQ3bGXwUanr1qPVbTrF6zw,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4573}, 'howrare': {'rank': 4250}}"
1,B7FRWymWRcY42128P7Nnwcrmiv2CrjytTHwEeHYB6FHm,30.0,J5cwtCyd72YEoU3JAYzDRJjzWN3Dszhv24s2EwQJJk3K,tnU1GBjtZh7UL42H4qQhyic6rJQTpYyZWstubzrZnyb,the_catalina_whale_mixer,The Catalina Whale Mixer,https://www.arweave.net/SQyPM0WVeGyOeYcSzjdEa4uP9gwcfHbTDrY7oYuRZFg?ext=png,Catalina Whale 4434,The most exclusive gathering of Whales in the Western Hemisphere since 1997. The genesis project from WAGMI Beach.,image,"[{'address': 'DvZfhaWCjA2uCWgimRm6F59vHkeXyGvEvvVQPhiqosn2', 'verified': 1, 'share': 0}, {'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'verified': 0, 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'verified': 0, 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'verified': 0, 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'verified': 0, 'share': 7}]",500,H7o6gEWk8xNSf5rxQzggd54pKK4ArHiLgvpP8p962fRi,"[{'trait_type': 'Background', 'value': 'Beluga'}, {'trait_type': 'Body', 'value': 'Orca'}, {'trait_type': 'Clothing', 'value': 'Flannel'}, {'trait_type': 'Mouth', 'value': 'Stogie'}, {'trait_type': 'Hair Hole', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Eyes'}]","{'files': [{'uri': 'https://www.arweave.net/SQyPM0WVeGyOeYcSzjdEa4uP9gwcfHbTDrY7oYuRZFg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'share': 7}]}",1,7ATW36fNiVb2VWMS5FEYQdKQ3bGXwUanr1qPVbTrF6zw,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5429}, 'howrare': {'rank': 5255}}"
2,5ZAp4k9UbqhH8kVqpVotuPUwVXewNq8rSUthTuq7LSyx,30.0,H64KE1JTkL5G9ZAvCKDzisr1m6ZPR9SAxHSbJbGFKvcy,27owff61UsnFsDKNUhN31qCPsbj5LXT4uKrMeCvfBp5M,the_catalina_whale_mixer,The Catalina Whale Mixer,https://www.arweave.net/EKk0RfKhALCZDGND5UojGBBgtJMFlGh4pZePMuAKHxM?ext=png,Catalina Whale 2861,The most exclusive gathering of Whales in the Western Hemisphere since 1997. The genesis project from WAGMI Beach.,image,"[{'address': 'DvZfhaWCjA2uCWgimRm6F59vHkeXyGvEvvVQPhiqosn2', 'verified': 1, 'share': 0}, {'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'verified': 0, 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'verified': 0, 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'verified': 0, 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'verified': 0, 'share': 7}]",500,CGZgkrbHXUVePeukHL4sc9cimW66RqiLqdLPGDt8HNoq,"[{'trait_type': 'Background', 'value': 'Hemisphere'}, {'trait_type': 'Body', 'value': 'Ape'}, {'trait_type': 'Clothing', 'value': 'Grey Hoodie'}, {'trait_type': 'Mouth', 'value': 'Vape'}, {'trait_type': 'Hat', 'value': 'Beanie Orange'}, {'trait_type': 'Glasses', 'value': 'VR'}]","{'files': [{'uri': 'https://www.arweave.net/EKk0RfKhALCZDGND5UojGBBgtJMFlGh4pZePMuAKHxM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'share': 7}]}",1,7ATW36fNiVb2VWMS5FEYQdKQ3bGXwUanr1qPVbTrF6zw,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1397}, 'howrare': {'rank': 2631}}"
3,8RtecpJX9UXr5Nf4AEP4n23W8CG84N7XzXr4VCY5At5i,30.75,53oonZ2hVRRpQTCz8eKWFAB6wvCHdUMjhwHQ2kuMA1tm,63jxKzFqM2Y45WcDnmvksBxZqQnf58W9HQZqRqpyBoKE,the_catalina_whale_mixer,The Catalina Whale Mixer,https://www.arweave.net/BzMwJw9pmPXl59qfX5pTuyXFqLj4ZRp3nkhoSnZdGEQ?ext=png,Catalina Whale 3404,The most exclusive gathering of Whales in the Western Hemisphere since 1997. The genesis project from WAGMI Beach.,image,"[{'address': 'DvZfhaWCjA2uCWgimRm6F59vHkeXyGvEvvVQPhiqosn2', 'verified': 1, 'share': 0}, {'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'verified': 0, 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'verified': 0, 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'verified': 0, 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'verified': 0, 'share': 7}]",500,8JPwTXuCwfhu1fjTmXAqkTy2xnr9gEL36T5QC2irGBHF,"[{'trait_type': 'Background', 'value': 'Geo'}, {'trait_type': 'Body', 'value': 'Grey'}, {'trait_type': 'Clothing', 'value': 'Lowrider'}, {'trait_type': 'Mouth', 'value': 'Grin'}, {'trait_type': 'Hair Hole', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Eyes'}]","{'files': [{'uri': 'https://www.arweave.net/BzMwJw9pmPXl59qfX5pTuyXFqLj4ZRp3nkhoSnZdGEQ?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'share': 7}]}",1,7ATW36fNiVb2VWMS5FEYQdKQ3bGXwUanr1qPVbTrF6zw,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5303}, 'howrare': {'rank': 5268}}"
4,DLeD2nN5JxBWyyzq1rFyg833CDqHNcJrmSdvBvr1iqpE,30.75,2CqeZnZFrNqZ8a7Ss2UcJEjAnq9krCyCp9XN83BdrAgp,63jxKzFqM2Y45WcDnmvksBxZqQnf58W9HQZqRqpyBoKE,the_catalina_whale_mixer,The Catalina Whale Mixer,https://www.arweave.net/MR5c8EVP-CUmYXCA00SK_W1vB0El4czi-2772bxuefs?ext=png,Catalina Whale 274,The most exclusive gathering of Whales in the Western Hemisphere since 1997. The genesis project from WAGMI Beach.,image,"[{'address': 'DvZfhaWCjA2uCWgimRm6F59vHkeXyGvEvvVQPhiqosn2', 'verified': 1, 'share': 0}, {'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'verified': 0, 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'verified': 0, 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'verified': 0, 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'verified': 0, 'share': 7}]",500,C9v94LEVbdo67YszDyhYrZS1RsaXBJJYVTsJJ8qDuKF4,"[{'trait_type': 'Background', 'value': 'Fossil'}, {'trait_type': 'Body', 'value': 'Aqua'}, {'trait_type': 'Clothing', 'value': 'Grey Hoodie'}, {'trait_type': 'Mouth', 'value': 'Grin'}, {'trait_type': 'Eyes', 'value': 'Squinting Eyes'}, {'trait_type': 'Hat', 'value': 'None'}]","{'files': [{'uri': 'https://www.arweave.net/MR5c8EVP-CUmYXCA00SK_W1vB0El4czi-2772bxuefs?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'share': 7}]}",1,7ATW36fNiVb2VWMS5FEYQdKQ3bGXwUanr1qPVbTrF6zw,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4840}, 'howrare': {'rank': 5471}}"
5,AA5RBVS1VrJSg6PBVWXrUTDwGrec86owHApoqaUv9uie,30.75,5Czbx8wrmjcYN1SrYS9CFCdK72K1qFhEKMsT9VD2UK6o,63jxKzFqM2Y45WcDnmvksBxZqQnf58W9HQZqRqpyBoKE,the_catalina_whale_mixer,The Catalina Whale Mixer,https://www.arweave.net/sN0y9np2IOvilTHk6zbeSWFmlbSYQC6ypwWGi9hjKRc?ext=png,Catalina Whale 4850,The most exclusive gathering of Whales in the Western Hemisphere since 1997. The genesis project from WAGMI Beach.,image,"[{'address': 'DvZfhaWCjA2uCWgimRm6F59vHkeXyGvEvvVQPhiqosn2', 'verified': 1, 'share': 0}, {'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'verified': 0, 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'verified': 0, 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'verified': 0, 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'verified': 0, 'share': 7}]",500,Forx1f89ryRSJgcZCFgVyPP3CEZj7ZC6Vm5WsDSJaEJb,"[{'trait_type': 'Background', 'value': 'Fossil'}, {'trait_type': 'Body', 'value': 'Orca'}, {'trait_type': 'Clothing', 'value': 'Stadium'}, {'trait_type': 'Mouth', 'value': 'Cigarette'}, {'trait_type': 'Hair Hole', 'value': 'None'}, {'trait_type': 'Glasses', 'value': 'Coco'}]","{'files': [{'uri': 'https://www.arweave.net/sN0y9np2IOvilTHk6zbeSWFmlbSYQC6ypwWGi9hjKRc?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'share': 7}]}",1,7ATW36fNiVb2VWMS5FEYQdKQ3bGXwUanr1qPVbTrF6zw,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 4985}, 'howrare': {'rank': 4277}}"
6,FoRrDpF7NYh2pvWMwcSqQgLZosupWCqUbvtmPQ9RrmiF,31.0,6z4rtPsKgn7bQxDM1xhtzDzJDuVTuvCv2ycsDcopEc5B,8nSeco7mB2mSjkQ29Kpa8DbFaxNk7dTggdovYmBZpzeW,the_catalina_whale_mixer,The Catalina Whale Mixer,https://www.arweave.net/56qaPW9YN88-QIktUSyupPOc-rO0zVRNqpSNYjngZm4?ext=png,Catalina Whale 337,The most exclusive gathering of Whales in the Western Hemisphere since 1997. The genesis project from WAGMI Beach.,image,"[{'address': 'DvZfhaWCjA2uCWgimRm6F59vHkeXyGvEvvVQPhiqosn2', 'verified': 1, 'share': 0}, {'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'verified': 0, 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'verified': 0, 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'verified': 0, 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'verified': 0, 'share': 7}]",500,AHr8RWF6WmuhaeadHqnv8PpG28GVAqjLgQuW9ZUsxXGe,"[{'trait_type': 'Background', 'value': 'Fossil'}, {'trait_type': 'Body', 'value': 'Aqua'}, {'trait_type': 'Clothing', 'value': 'Grey Hoodie'}, {'trait_type': 'Mouth', 'value': 'Grin'}, {'trait_type': 'Hair Hole', 'value': 'None'}, {'trait_type': 'Glasses', 'value': 'Gold Spectacles'}]","{'files': [{'uri': 'https://www.arweave.net/56qaPW9YN88-QIktUSyupPOc-rO0zVRNqpSNYjngZm4?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'share': 7}]}",1,7ATW36fNiVb2VWMS5FEYQdKQ3bGXwUanr1qPVbTrF6zw,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5387}, 'howrare': {'rank': 5401}}"
7,Dd2SsqPvua9fcZ2XPW47sXfLtZUUqh52Xsabtzhdxprs,31.0,3o5xbHThxXNAffRVUpX6Wzsc6Nk1Km5AFc78LZmtv6T6,GXFhN9buvGSJX2QtVpj96q8bMibW5ceu9xmVgv4B8WSE,the_catalina_whale_mixer,The Catalina Whale Mixer,https://www.arweave.net/0WBAjsdkkHL4EamLJ2QjB_ZufbCCybaYeaBDZlylz9A?ext=png,Catalina Whale 1591,The most exclusive gathering of Whales in the Western Hemisphere since 1997. The genesis project from WAGMI Beach.,image,"[{'address': 'DvZfhaWCjA2uCWgimRm6F59vHkeXyGvEvvVQPhiqosn2', 'verified': 1, 'share': 0}, {'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'verified': 0, 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'verified': 0, 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'verified': 0, 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'verified': 0, 'share': 7}]",500,CP9dpaM1jUrCXA5J5oEd473JeMusSw7bHf9sJpj8hXpg,"[{'trait_type': 'Background', 'value': 'Sand'}, {'trait_type': 'Body', 'value': 'Solar Flare'}, {'trait_type': 'Clothing', 'value': 'Desert Storm'}, {'trait_type': 'Mouth', 'value': 'Grin'}, {'trait_type': 'Hair Hole', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Eyes'}]","{'files': [{'uri': 'https://www.arweave.net/0WBAjsdkkHL4EamLJ2QjB_ZufbCCybaYeaBDZlylz9A?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'share': 7}]}",1,7ATW36fNiVb2VWMS5FEYQdKQ3bGXwUanr1qPVbTrF6zw,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 5235}, 'howrare': {'rank': 5450}}"
8,Aes25QHDKDzsNU7bZs2JxN2Eeiig5U8Bds3BXmSR3dyn,32.0,8fLwmqsTpQXjQgcSXVK4SZK3zSQZitt5SXyuPrVL6ajT,2kP4iJ1WJmEGmfW3jtpFRqjnhASCZP7QYG87idELADVX,the_catalina_whale_mixer,The Catalina Whale Mixer,https://www.arweave.net/b1jmgjkxaXgDKTyJ2NbwzPPIO1i5x-ST4A4I04Nhe-A?ext=png,Catalina Whale 2923,The most exclusive gathering of Whales in the Western Hemisphere since 1997. The genesis project from WAGMI Beach.,image,"[{'address': 'DvZfhaWCjA2uCWgimRm6F59vHkeXyGvEvvVQPhiqosn2', 'verified': 1, 'share': 0}, {'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'verified': 0, 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'verified': 0, 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'verified': 0, 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'verified': 0, 'share': 7}]",500,GbrsHaJQp9MTjNcdpW4CpXBp3QyAcmGmBTXsNRataY2P,"[{'trait_type': 'Background', 'value': 'Beluga'}, {'trait_type': 'Body', 'value': 'Oil Slick'}, {'trait_type': 'Clothing', 'value': 'Desert Storm'}, {'trait_type': 'Mouth', 'value': 'No Teeth'}, {'trait_type': 'Hat', 'value': 'Paperboy Hat'}, {'trait_type': 'Glasses', 'value': 'Coco'}]","{'files': [{'uri': 'https://www.arweave.net/b1jmgjkxaXgDKTyJ2NbwzPPIO1i5x-ST4A4I04Nhe-A?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'share': 7}]}",1,7ATW36fNiVb2VWMS5FEYQdKQ3bGXwUanr1qPVbTrF6zw,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2743}, 'howrare': {'rank': 3571}}"
9,D4cpkbyqZxJkefYmvR8L5FHyccYGuCuAfC8fsvc2vwB9,32.0,egM3ez95G2vxvtmdN6MPQ4vuAoCi9nD8Lbp9eByrjXm,GNiBb4teQakqweNfQ7S6JxMHm8jQUK9Du6uWPdRygT9Q,the_catalina_whale_mixer,The Catalina Whale Mixer,https://www.arweave.net/apTM-Fx21pP2xGL57wcE7g2Rkwv3QOzg1WXgIm-pgFk?ext=png,Catalina Whale 5180,The most exclusive gathering of Whales in the Western Hemisphere since 1997. The genesis project from WAGMI Beach.,image,"[{'address': 'DvZfhaWCjA2uCWgimRm6F59vHkeXyGvEvvVQPhiqosn2', 'verified': 1, 'share': 0}, {'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'verified': 0, 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'verified': 0, 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'verified': 0, 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'verified': 0, 'share': 7}]",500,CjmH26SDiWtunYiUkVu1J3YfCn1PSnDtKgoZa1xJkWcb,"[{'trait_type': 'Background', 'value': 'Geo'}, {'trait_type': 'Body', 'value': 'Humpack'}, {'trait_type': 'Clothing', 'value': 'Black Hoodie'}, {'trait_type': 'Mouth', 'value': 'No Teeth'}, {'trait_type': 'Hat', 'value': 'Beanie Orange'}, {'trait_type': 'Glasses', 'value': 'Rimless'}]","{'files': [{'uri': 'https://www.arweave.net/apTM-Fx21pP2xGL57wcE7g2Rkwv3QOzg1WXgIm-pgFk?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '6WQPJrQBHwXGNiAffuYt5v96FzS3c4W6Hfi7dvoNkNX4', 'share': 78}, {'address': '3UqFmAFCeaj2av8JauzemfDivtAMRz6M31dP587zs5z2', 'share': 10}, {'address': 'Cvc7s1TuY4ARJTZ3qZb71SZ7BomLep922bXJdjVwdnvC', 'share': 5}, {'address': '5n9jJMb4nwyNzaoZQiifqnCziuXHFxqSBzrxJcesX1Gr', 'share': 7}]}",1,7ATW36fNiVb2VWMS5FEYQdKQ3bGXwUanr1qPVbTrF6zw,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 5201}, 'moonrank': {'rank': 4529}}"
