,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,816G24vnGzhcAzQrZjhvekVwfd5QLAvKFyQAdsiDEYe,17.0,4Fho2ZVMaeGhy4Uwtb1BdnK715Qh3HrTaM6638wHEVad,AT6ALDqxDoTAR1ZeQGsPymun7qJQy8ScCy6MNp7aUA4v,the_remnants_,The Remnants,https://www.arweave.net/7vB1zkZOfXDXGkicZZ4SI54kbUUvANLBvUyorwc8Nu8?ext=png,The Remnants #3877,4000 Survivors of Longwood Valley,image,"[{'address': '4WoKtYvL2XG4Rbcmux2oWKw9QxXbXCvTRm6LcHMYDmB6', 'verified': 1, 'share': 0}, {'address': 'CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR', 'verified': 0, 'share': 100}]",1000,7i7xzSbY2ni13RVV4aDxyR8ihPNTaCztsn9QhXEZpyLi,"[{'trait_type': 'Bottoms', 'value': 'Black Pants'}, {'trait_type': 'Headgear', 'value': 'Blue Mask'}, {'trait_type': 'Skin', 'value': 'Remnant3'}, {'trait_type': 'Backgrounds', 'value': 'Purple'}, {'trait_type': 'Backpacks', 'value': 'No Backpack'}, {'trait_type': 'Weapon', 'value': 'Bloody Katana'}, {'trait_type': 'Tops', 'value': 'Blue Hawaiian Shirt'}]","{'files': [{'uri': 'https://www.arweave.net/7vB1zkZOfXDXGkicZZ4SI54kbUUvANLBvUyorwc8Nu8?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR', 'share': 100}]}",1,CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 590}}
1,As6FvR8TWt2y4bpDYZDkRPierniY64UD2KQzts8hGC7h,19.0,BcoSWaPEHojHJ96Qp9dsJaFfMTY4uVtXq8whfYDj7kuC,7BBE1ektJEQTJazpwcgkqmGk53ihBzjZmB4gpdDyztT2,the_remnants_,The Remnants,https://www.arweave.net/5EhLEi-T6p_Lh5jbcN7DFtjTWXAASFeYgvDDX5qdV5c?ext=png,The Remnants #1859,4000 Survivors of Longwood Valley,image,"[{'address': '4WoKtYvL2XG4Rbcmux2oWKw9QxXbXCvTRm6LcHMYDmB6', 'verified': 1, 'share': 0}, {'address': 'CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR', 'verified': 0, 'share': 100}]",1000,HtWCtUR4qqtgXqcrXvGJXvhFJFcicyXCHiR3QegNgL98,"[{'trait_type': 'Skin', 'value': 'Remnant3'}, {'trait_type': 'Tops', 'value': 'Raincoat'}, {'trait_type': 'Headgear', 'value': 'Blue Sunglasses'}, {'trait_type': 'Backgrounds', 'value': 'Red'}, {'trait_type': 'Backpacks', 'value': 'No Backpack'}, {'trait_type': 'Weapon', 'value': 'Sub Machine gun'}, {'trait_type': 'Bottoms', 'value': 'Black Pants'}]","{'files': [{'uri': 'https://www.arweave.net/5EhLEi-T6p_Lh5jbcN7DFtjTWXAASFeYgvDDX5qdV5c?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR', 'share': 100}]}",1,CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 931}}
2,BL38Yykbur5SDGhae9QeAHNS2FtjiuxkExtsY6kbGsGu,19.0,GT6S4qCH15er5nLVmGUsqaPmgNXpg1j9FSpQpzdZhuS6,3wPVWKTQPKQET2xeaeFz28E11sGtuZrX91DGg9EP7eYx,the_remnants_,The Remnants,https://www.arweave.net/001rVKZzFnKjMf9qcuDykvoJ36GL7QhNRNwVG4wqoKo?ext=png,The Remnants #2255,4000 Survivors of Longwood Valley,image,"[{'address': '4WoKtYvL2XG4Rbcmux2oWKw9QxXbXCvTRm6LcHMYDmB6', 'verified': 1, 'share': 0}, {'address': 'CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR', 'verified': 0, 'share': 100}]",1000,7da1QKFrer2hJxB5d5LiioQgZ94DqVWF7agCzxMPjpW6,"[{'trait_type': 'Weapon', 'value': 'Blue Flare'}, {'trait_type': 'Skin', 'value': 'Remnant3'}, {'trait_type': 'Backgrounds', 'value': 'Purple'}, {'trait_type': 'Backpacks', 'value': 'No Backpack'}, {'trait_type': 'Tops', 'value': 'Red Shirt'}, {'trait_type': 'Bottoms', 'value': 'White Pants'}, {'trait_type': 'Headgear', 'value': 'Blue Cap'}]","{'files': [{'uri': 'https://www.arweave.net/001rVKZzFnKjMf9qcuDykvoJ36GL7QhNRNwVG4wqoKo?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR', 'share': 100}]}",1,CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3943}}
3,5eGb9PLjokvCstcTRpN9DiSu9GvevFqdLyMu7upKZuZX,19.44,Ex68zxXeuZCMjACsjb7qfEif9TBdyBLWKbnQnpcFJaEm,2ztQkQddhyhWi36dLECPB9Ktw5aATmvzeyurTcGvrtDs,the_remnants_,The Remnants,https://www.arweave.net/zMiRHjMrdalurvwcURxxRTZGRzVAplsfIv87dB_pxjI?ext=png,The Remnants #902,4000 Survivors of Longwood Valley,image,"[{'address': '4WoKtYvL2XG4Rbcmux2oWKw9QxXbXCvTRm6LcHMYDmB6', 'verified': 1, 'share': 0}, {'address': 'CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR', 'verified': 0, 'share': 100}]",1000,9rnTAQZTGgKJfaHgx8h6Knskbz5rW9Q5JKkEarfF1FYS,"[{'trait_type': 'Tops', 'value': 'Blue Sport Jersey'}, {'trait_type': 'Headgear', 'value': 'Red Beanie'}, {'trait_type': 'Backpacks', 'value': 'Brown Backpack'}, {'trait_type': 'Bottoms', 'value': 'White Cargo Shorts'}, {'trait_type': 'Skin', 'value': 'Remnant2'}, {'trait_type': 'Backgrounds', 'value': 'Red'}, {'trait_type': 'Weapon', 'value': 'Blue Flare'}]","{'files': [{'uri': 'https://www.arweave.net/zMiRHjMrdalurvwcURxxRTZGRzVAplsfIv87dB_pxjI?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR', 'share': 100}]}",1,CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 0}}
4,3sYeRmfo9Aoofu5C6D5Z6RuDCZcur3STjFawPn17HNsn,19.99,sgynUDkNg8CPqJiFRESzmQUGsnb5TUudphMCeavHubs,G5d1qZU4pRNGLijndsuvQit7UFDgE2jqgecF4nr47yzi,the_remnants_,The Remnants,https://www.arweave.net/9l_Dj-3m1Sbsr0zM5V4ihueh_KsD1p1n44Sq-23Aleg?ext=png,The Remnants #2263,4000 Survivors of Longwood Valley,image,"[{'address': '2ECovqW2WWjLHCn89ihQcHRHv26tNYAqGbohtPW2Ej8a', 'verified': 1, 'share': 0}, {'address': 'FPce5x7kdKnzpLa7bPRxQq7CoZce2LU21vxsMgCzqVhs', 'verified': 0, 'share': 100}]",500,4yFeQhXQ1ofirL9SvLFwnkr4PKrbjn6TFup87AaT7AVm,"[{'trait_type': 'Backgrounds', 'value': 'Green'}, {'trait_type': 'Skin', 'value': 'Remnant1'}, {'trait_type': 'Bottoms', 'value': 'White Cargo Shorts'}, {'trait_type': 'Tops', 'value': 'Black Hoodie'}, {'trait_type': 'Backpacks', 'value': 'No Backpack'}, {'trait_type': 'Weapon', 'value': 'Knife'}, {'trait_type': 'Headgear', 'value': 'Grey Winter Hat'}]","{'files': [{'uri': 'https://www.arweave.net/9l_Dj-3m1Sbsr0zM5V4ihueh_KsD1p1n44Sq-23Aleg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FPce5x7kdKnzpLa7bPRxQq7CoZce2LU21vxsMgCzqVhs', 'share': 100}]}",1,2Ed3P9nuNjugbKcDi5dZrYHdQqXssqJLJZi5WrZX86J7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3607}}
5,7iSis3qWeCxj86dbipevHFrJ81DJDvmGSFHN29Py71kc,20.0,3wU3cTn6r5jVMYfSjjowVta4z8YA5YuUMhFJE8vNfLrb,EkQuuYqiWw7YBKN8AgcviMHx9bG5zkVFXbqTnFipCnmN,the_remnants_,The Remnants,https://www.arweave.net/V9u6iyiy6b_gnMJ6_e8cPWSF3I_ZKp8VAr4uYnZRjnk?ext=png,The Remnants #1043,4000 Survivors of Longwood Valley,image,"[{'address': '4WoKtYvL2XG4Rbcmux2oWKw9QxXbXCvTRm6LcHMYDmB6', 'verified': 1, 'share': 0}, {'address': 'CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR', 'verified': 0, 'share': 100}]",1000,8t9MJrTpPX95z7YREtoM9J5X1AfMZdHbqCxuC6subnFF,"[{'trait_type': 'Backpacks', 'value': 'Brown Backpack'}, {'trait_type': 'Backgrounds', 'value': 'Red'}, {'trait_type': 'Skin', 'value': 'Remnant3'}, {'trait_type': 'Weapon', 'value': 'Wooden Spear'}, {'trait_type': 'Bottoms', 'value': 'Black Pants'}, {'trait_type': 'Tops', 'value': 'Raincoat'}, {'trait_type': 'Headgear', 'value': 'Red Bandana'}]","{'files': [{'uri': 'https://www.arweave.net/V9u6iyiy6b_gnMJ6_e8cPWSF3I_ZKp8VAr4uYnZRjnk?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR', 'share': 100}]}",1,CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 804}}
6,2SsL7TQvErg4iTWKM87VsE1iZKTf2eWAnA1W9oQna5ra,20.5,3WtYh2J4FYMKkLuYKYnnFoEkAtMMM8t33TiDFgAP9hjE,HhJezkbv3b9GJXov9EdrGqk1QEnNsEXNEvuGJ4hmMUfq,the_remnants_,The Remnants,https://www.arweave.net/3_rqFoLPGAeXTDXwUZMg2J_xdqlhntqsernlTqpxOuo?ext=png,The Remnants #252,4000 Survivors of Longwood Valley,image,"[{'address': '4WoKtYvL2XG4Rbcmux2oWKw9QxXbXCvTRm6LcHMYDmB6', 'verified': 1, 'share': 0}, {'address': 'CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR', 'verified': 0, 'share': 100}]",1000,7BhtPEwhLqQqcftdwBj1pCMExBtMrfLcNhL6iwKyLjnz,"[{'trait_type': 'Weapon', 'value': 'Torch'}, {'trait_type': 'Headgear', 'value': 'Red Balaclava'}, {'trait_type': 'Bottoms', 'value': 'Black Shorts'}, {'trait_type': 'Backgrounds', 'value': 'Red'}, {'trait_type': 'Skin', 'value': 'Remnant1'}, {'trait_type': 'Tops', 'value': 'Red Sport Jersey'}, {'trait_type': 'Backpacks', 'value': 'No Backpack'}]","{'files': [{'uri': 'https://www.arweave.net/3_rqFoLPGAeXTDXwUZMg2J_xdqlhntqsernlTqpxOuo?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR', 'share': 100}]}",1,CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 0}}
7,SxYRSh86PivyWwP9mfvF69RxsWfhoTw2gZyy4Y6wDmF,20.5,FfQiL3qdzZ64kzBrFJxQXQtsh3psvD5ZVzYhVVpF1Cf8,6emGDPMoRsJUT6Cjcf9krGvzzuLXZGS1cvXUYn7TQNBt,the_remnants_,The Remnants,https://www.arweave.net/GHvzq_TX_pIxGSPpp_D6VcVle_Lusw_iPaKieVqQ_TI?ext=png,The Remnants #229,4000 Survivors of Longwood Valley,image,"[{'address': '2ECovqW2WWjLHCn89ihQcHRHv26tNYAqGbohtPW2Ej8a', 'verified': 1, 'share': 0}, {'address': 'FPce5x7kdKnzpLa7bPRxQq7CoZce2LU21vxsMgCzqVhs', 'verified': 0, 'share': 100}]",500,Ckhk7m5TmmTtaLQoTuxpDa7NwhBWMcj4ju4GubXUBsQX,"[{'trait_type': 'Backgrounds', 'value': 'Purple'}, {'trait_type': 'Skin', 'value': 'Remnant1'}, {'trait_type': 'Bottoms', 'value': 'White Pants'}, {'trait_type': 'Tops', 'value': 'Yellow Shirt'}, {'trait_type': 'Backpacks', 'value': 'Black Backpack'}, {'trait_type': 'Weapon', 'value': 'Bloody Nailed Wooden Bat'}, {'trait_type': 'Headgear', 'value': 'Blue Beanie'}]","{'files': [{'uri': 'https://www.arweave.net/GHvzq_TX_pIxGSPpp_D6VcVle_Lusw_iPaKieVqQ_TI?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FPce5x7kdKnzpLa7bPRxQq7CoZce2LU21vxsMgCzqVhs', 'share': 100}]}",1,2Ed3P9nuNjugbKcDi5dZrYHdQqXssqJLJZi5WrZX86J7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 0}}
8,83eEyhd4MrK62VbR21czYB6Yejx82yCRbAsZ6qBb4inJ,21.0,7FrPFP2Tb1RtoQtexBH1pAPuYysFKAZADuvWeEBZLH13,CLXMxvsEwChs6fTVW7hJ3Xn55y24wVKTM5JvPz8wVZbY,the_remnants_,The Remnants,https://www.arweave.net/kXxYYqcUWG6GoP-4sWcgcBVIzcKPJeckhrcNKVCMGq4?ext=png,The Remnants #721,4000 Survivors of Longwood Valley,image,"[{'address': '2ECovqW2WWjLHCn89ihQcHRHv26tNYAqGbohtPW2Ej8a', 'verified': 1, 'share': 0}, {'address': 'FPce5x7kdKnzpLa7bPRxQq7CoZce2LU21vxsMgCzqVhs', 'verified': 0, 'share': 100}]",500,AhRdnzJJT52rGqRtdBwkhfPNvU7EgQgXHDtjR5SFH8NW,"[{'trait_type': 'Backgrounds', 'value': 'Orange'}, {'trait_type': 'Skin', 'value': 'Remnant3'}, {'trait_type': 'Bottoms', 'value': 'Grey Cargo Shorts'}, {'trait_type': 'Tops', 'value': 'Blue Hoodie'}, {'trait_type': 'Backpacks', 'value': 'Brown Backpack'}, {'trait_type': 'Weapon', 'value': 'Bloody Sword'}, {'trait_type': 'Headgear', 'value': 'Teal Bandana'}]","{'files': [{'uri': 'https://www.arweave.net/kXxYYqcUWG6GoP-4sWcgcBVIzcKPJeckhrcNKVCMGq4?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'FPce5x7kdKnzpLa7bPRxQq7CoZce2LU21vxsMgCzqVhs', 'share': 100}]}",1,69dNAY4nHun1pN9QeqxZDb11jeYJAAYPTRtXcbwKmaDg,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 546}}
9,GRJmLz5naQA8jvsLnHuJnEBUWebE8d1cKsK3UFgX226b,23.0,2ouvdJaJ8X5jhQTWty5Rafj3BepsLsUx5awWiDKghZUS,91qAh92S9McKcEkS5wg4DztZGi4YPNdBSGjgS8puYjZ6,the_remnants_,The Remnants,https://www.arweave.net/rzr2ZbxqrjxquqArx5Z8LZnRQzllNyZtSGFyyA4jfUE?ext=png,The Remnants #1962,4000 Survivors of Longwood Valley,image,"[{'address': '4WoKtYvL2XG4Rbcmux2oWKw9QxXbXCvTRm6LcHMYDmB6', 'verified': 1, 'share': 0}, {'address': 'CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR', 'verified': 0, 'share': 100}]",1000,HRW61W3DHD2m6cVQzioXmhUgqNFhLnadWPprZWz1mdNe,"[{'trait_type': 'Backgrounds', 'value': 'Green'}, {'trait_type': 'Backpacks', 'value': 'No Backpack'}, {'trait_type': 'Weapon', 'value': 'Wooden Spear'}, {'trait_type': 'Skin', 'value': 'Remnant2'}, {'trait_type': 'Headgear', 'value': 'Grey Bandana'}, {'trait_type': 'Tops', 'value': 'White Hoodie'}, {'trait_type': 'Bottoms', 'value': 'White Cargo Shorts'}]","{'files': [{'uri': 'https://www.arweave.net/rzr2ZbxqrjxquqArx5Z8LZnRQzllNyZtSGFyyA4jfUE?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR', 'share': 100}]}",1,CBaS8mRViYezLL6RKvnnjWe3psUHjSQZbMcD2ardgNyR,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 3951}}
