,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,89duzAA7ZdKfFjWWZTDpe2ks9NAg29HZ1W5pCVL9VeYw,0.83,AaP9DnySBotUk1eTjRUhncqY6kHMF2ruo4vvaEwaqJYq,H1oGpRHnw7jbntkjoYCHzARjLxzMf6cHdeSWjSiWtQAN,the_stone_heads,The Stone Heads,https://bafybeic7x4ityrgso24djlujcqbgrgqkvmnyqjrm44id6gfxew6g733sfy.ipfs.nftstorage.link/765.png?ext=png,The Stone Heads #765,"The Stone Heads is a collection of 5,555 unique NFTs launched on the Solana blockchain, and representing a connection between classic and contemporary art, bringing iconic characters from the mythology to the Metaverse.",https://thestoneheads.com/,image,"[{'address': 'FoB4Fe6Uyq5CwXsbv61QhMkq44k7SYbrt1yScBfXzTGy', 'verified': 1, 'share': 0}, {'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'verified': 0, 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'verified': 0, 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}]",1000,E13JRH28AvnDRrSG1brAUDLS5oqW4bK8YmQ8xh3aDCiY,"[{'trait_type': 'Background', 'value': 'Dark Cherry'}, {'trait_type': 'Body', 'value': 'Magic'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Mask'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Effect', 'value': 'Epsilon'}]","{'files': [{'uri': 'https://bafybeic7x4ityrgso24djlujcqbgrgqkvmnyqjrm44id6gfxew6g733sfy.ipfs.nftstorage.link/765.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}]}",1,2Z4YfxHEeRCy3PkTMtxLQjWEwjZs9hBsPnvsCEEuogm7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4382}},,
1,44aUZmLHbY4YqGSGitesYevUFavWCHiyc2MptB5kT6oj,0.84,DP78crijPGefy3tCZ96W4sR7kxS3p6N6J3X9cFHDcNL,BcfwHYzr5efhUkBdsWhJL9BH4RREUSeh9VSTNydYAWJi,the_stone_heads,The Stone Heads,https://bafybeidquwu7nu3odgnuuqg2npbq6xzv4cvi5qhldb3gc6wrx6uxqigdae.ipfs.nftstorage.link/563.png?ext=png,The Stone Heads #563,"The Stone Heads is a collection of 5,555 unique NFTs launched on the Solana blockchain, and representing a connection between classic and contemporary art, bringing iconic characters from the mythology to the Metaverse.",https://thestoneheads.com/,image,"[{'address': 'FoB4Fe6Uyq5CwXsbv61QhMkq44k7SYbrt1yScBfXzTGy', 'verified': 1, 'share': 0}, {'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'verified': 0, 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'verified': 0, 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}]",1000,2bPcWeJ6Q6NDxbRAJJQsaaDbzNCRUzbHhYXnKUhmS3JZ,"[{'trait_type': 'Background', 'value': 'Tropical'}, {'trait_type': 'Body', 'value': 'Grey Unstable'}, {'trait_type': 'Eyes', 'value': 'No Signal'}, {'trait_type': 'Mouth', 'value': 'Bubble Gum'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Effect', 'value': 'Alpha'}]","{'files': [{'uri': 'https://bafybeidquwu7nu3odgnuuqg2npbq6xzv4cvi5qhldb3gc6wrx6uxqigdae.ipfs.nftstorage.link/563.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}]}",1,2Z4YfxHEeRCy3PkTMtxLQjWEwjZs9hBsPnvsCEEuogm7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4732}},,
2,BRLWeZ5JauvQuNX9i71xFebp637MyRfk1vfnxc1VJR6L,0.85,Ewo6kgyrmzxC5TKEsM7VvPseahPxYYxY2LdZv7FKLRog,4TKT9gJyybQgmhFCWMmYL6tZaGmRZpog1Xrmfpj2auWd,the_stone_heads,The Stone Heads,https://bafybeidujm42q4gkz2lhon2yqncywqya533tj7ccjm6jmgtgkn4dobnzo4.ipfs.nftstorage.link/807.png?ext=png,The Stone Heads #807,"The Stone Heads is a collection of 5,555 unique NFTs launched on the Solana blockchain, and representing a connection between classic and contemporary art, bringing iconic characters from the mythology to the Metaverse.",https://thestoneheads.com/,image,"[{'address': 'FoB4Fe6Uyq5CwXsbv61QhMkq44k7SYbrt1yScBfXzTGy', 'verified': 1, 'share': 0}, {'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'verified': 0, 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'verified': 0, 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}]",1000,8KmH8UBaSnxdD9ymFiHVK7uitqBEnxewiBhQggc6oi8J,"[{'trait_type': 'Background', 'value': 'Stars'}, {'trait_type': 'Body', 'value': 'Pink'}, {'trait_type': 'Eyes', 'value': 'Red Eyes'}, {'trait_type': 'Mouth', 'value': 'Mask'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Effect', 'value': 'None'}]","{'files': [{'uri': 'https://bafybeidujm42q4gkz2lhon2yqncywqya533tj7ccjm6jmgtgkn4dobnzo4.ipfs.nftstorage.link/807.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}]}",1,2Z4YfxHEeRCy3PkTMtxLQjWEwjZs9hBsPnvsCEEuogm7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4184}},,
3,3qaV54u3Ut2asQGeV4VoLmfEHavCStYnkmXRLPbtSm9x,0.85,B6eXfUuxaFHMdGS2mXgULcv5xLwNmeMYuw7VgGroGK4T,DaPPe9zhZPN9dkXchAKU1JSKUoTTSzWiTvb6bmokmgmb,the_stone_heads,The Stone Heads,https://bafybeictc34p4m7yn5ist6zkjh2ilx6enknplitobl5dyrkhbw2br2745q.ipfs.nftstorage.link/3595.png?ext=png,The Stone Heads #3595,"The Stone Heads is a collection of 5,555 unique NFTs launched on the Solana blockchain, and representing a connection between classic and contemporary art, bringing iconic characters from the mythology to the Metaverse.",https://thestoneheads.com/,image,"[{'address': 'FoB4Fe6Uyq5CwXsbv61QhMkq44k7SYbrt1yScBfXzTGy', 'verified': 1, 'share': 0}, {'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'verified': 0, 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'verified': 0, 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}]",1000,3p3kuhMibPNz1nTYn6ZF9VagyfzvPTWuxPW1w4s7y7nC,"[{'trait_type': 'Background', 'value': 'Tropical'}, {'trait_type': 'Body', 'value': 'Magic'}, {'trait_type': 'Eyes', 'value': 'Sunglasses'}, {'trait_type': 'Mouth', 'value': 'Smoke'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Effect', 'value': 'None'}]","{'files': [{'uri': 'https://bafybeictc34p4m7yn5ist6zkjh2ilx6enknplitobl5dyrkhbw2br2745q.ipfs.nftstorage.link/3595.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}]}",1,2Z4YfxHEeRCy3PkTMtxLQjWEwjZs9hBsPnvsCEEuogm7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 5540}},,
4,G7MG469yCyHYojb51toTkzNy1onsN7DS1mUZi66zAtMj,0.86,HzFRZ8P6eMSBrqHH4ZhZ1ucWFPnASdphUQybCkanaSvK,H6NsPQeQQaJ3PuF6Lyxbo9brWurcCjTqmSw5gYmiSHpm,the_stone_heads,The Stone Heads,https://bafybeigu7ugcqzsy6444irxhkcafqvt5sp7o5bhyraxsr2tlwi7zi47vdi.ipfs.nftstorage.link/3335.png?ext=png,The Stone Heads #3335,"The Stone Heads is a collection of 5,555 unique NFTs launched on the Solana blockchain, and representing a connection between classic and contemporary art, bringing iconic characters from the mythology to the Metaverse.",https://thestoneheads.com/,image,"[{'address': 'FoB4Fe6Uyq5CwXsbv61QhMkq44k7SYbrt1yScBfXzTGy', 'verified': 1, 'share': 0}, {'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'verified': 0, 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'verified': 0, 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}]",1000,BJmw4hyH1Y4RNW1AUqrqZ2vYS2U8ABHHpspKmtNGGnFT,"[{'trait_type': 'Background', 'value': 'Unstable'}, {'trait_type': 'Body', 'value': 'Grey Original'}, {'trait_type': 'Eyes', 'value': 'No Signal'}, {'trait_type': 'Mouth', 'value': 'Smoke'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Effect', 'value': 'None'}]","{'files': [{'uri': 'https://bafybeigu7ugcqzsy6444irxhkcafqvt5sp7o5bhyraxsr2tlwi7zi47vdi.ipfs.nftstorage.link/3335.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}]}",1,2Z4YfxHEeRCy3PkTMtxLQjWEwjZs9hBsPnvsCEEuogm7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
5,6tu1vQn1pZB8mAJj3qw99mW7zmMtyvu3bFzbGV3uqYwK,0.8691,GzWeJrzQdYSEmZGeyohEf7duaNKmDeEb4YUrXAr7LtLb,2pJn7Rx6YVzdUbJnRvsBbJWmaKXHh1q3FZmiB3cEwgg1,the_stone_heads,The Stone Heads,https://bafybeievr7inw32mcbsizwq4p7shkv4qduxn6a5ramotz77unnmivx5f2q.ipfs.nftstorage.link/4975.png?ext=png,The Stone Heads #4975,"The Stone Heads is a collection of 5,555 unique NFTs launched on the Solana blockchain, and representing a connection between classic and contemporary art, bringing iconic characters from the mythology to the Metaverse.",https://thestoneheads.com/,image,"[{'address': 'FoB4Fe6Uyq5CwXsbv61QhMkq44k7SYbrt1yScBfXzTGy', 'verified': 1, 'share': 0}, {'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'verified': 0, 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'verified': 0, 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}]",1000,9Ud9PNwofFAgxEN2C1K7W65HPQPxnZ3YPC6MjahADiC3,"[{'trait_type': 'Background', 'value': 'Stars'}, {'trait_type': 'Body', 'value': 'Pink'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Mask'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Effect', 'value': 'Beta'}]","{'files': [{'uri': 'https://bafybeievr7inw32mcbsizwq4p7shkv4qduxn6a5ramotz77unnmivx5f2q.ipfs.nftstorage.link/4975.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}]}",1,2Z4YfxHEeRCy3PkTMtxLQjWEwjZs9hBsPnvsCEEuogm7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3392}},,
6,7L4KfM3qp6HA7nqfpT6kmYcDfZHjiy1zwAQhgD1m5GFP,0.87,HDBAjohRPvhsT6EjNuCBmaXPTh2k7LaEJFSi1hZ1Eb3N,HRiGxg9FGBAA3ManxJcftf6cVZmYdi8EPnKaNoo8Mugd,the_stone_heads,The Stone Heads,https://bafybeicljvulnl52wso7p3wwdftwgx5aaixtcfasuo5py77fydifxsiuiy.ipfs.nftstorage.link/1682.png?ext=png,The Stone Heads #1682,"The Stone Heads is a collection of 5,555 unique NFTs launched on the Solana blockchain, and representing a connection between classic and contemporary art, bringing iconic characters from the mythology to the Metaverse.",https://thestoneheads.com/,image,"[{'address': 'FoB4Fe6Uyq5CwXsbv61QhMkq44k7SYbrt1yScBfXzTGy', 'verified': 1, 'share': 0}, {'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'verified': 0, 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'verified': 0, 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}]",1000,GhetNt7FQjBhmD32mCXyZ7pGxwEXtZs8DZr2JJd2eDGw,"[{'trait_type': 'Background', 'value': 'Unstable'}, {'trait_type': 'Body', 'value': 'Grey Original'}, {'trait_type': 'Eyes', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Bubble Gum'}, {'trait_type': 'Head', 'value': 'Halo'}, {'trait_type': 'Effect', 'value': 'None'}]","{'files': [{'uri': 'https://bafybeicljvulnl52wso7p3wwdftwgx5aaixtcfasuo5py77fydifxsiuiy.ipfs.nftstorage.link/1682.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}]}",1,2Z4YfxHEeRCy3PkTMtxLQjWEwjZs9hBsPnvsCEEuogm7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3597}},,
7,BB8ZYCbCWbb6fpou4WRvBdwKmz2keKSCsGZLZgzFMm6g,0.88,3ZD2Bpuw7vKirUUzRkwFWGUz3MMTuMrBvNovq77a5MHm,BM8psFr19cgMpt7PsgKMzKAgKPwKufowBQQxm3zjp3id,the_stone_heads,The Stone Heads,https://bafybeibizgrir26j7rtfdzzqztgxhirrvod4htrujt724vihj2ux2jngve.ipfs.nftstorage.link/3697.png?ext=png,The Stone Heads #3697,"The Stone Heads is a collection of 5,555 unique NFTs launched on the Solana blockchain, and representing a connection between classic and contemporary art, bringing iconic characters from the mythology to the Metaverse.",https://thestoneheads.com/,image,"[{'address': 'FoB4Fe6Uyq5CwXsbv61QhMkq44k7SYbrt1yScBfXzTGy', 'verified': 1, 'share': 0}, {'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'verified': 0, 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'verified': 0, 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}]",1000,ATab9W5fBAUNipsiPp7gtbdGNvhqcHFZ9cvEf7TkTB1z,"[{'trait_type': 'Background', 'value': 'Green Moon'}, {'trait_type': 'Body', 'value': 'Grey Unstable'}, {'trait_type': 'Eyes', 'value': 'Golden Eyes'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Effect', 'value': 'Epsilon'}]","{'files': [{'uri': 'https://bafybeibizgrir26j7rtfdzzqztgxhirrvod4htrujt724vihj2ux2jngve.ipfs.nftstorage.link/3697.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}]}",1,2Z4YfxHEeRCy3PkTMtxLQjWEwjZs9hBsPnvsCEEuogm7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 4030}},,
8,7PdZU8WvgJ5AF7XcBqfayrR3c8oZRJDS2LEWp8ngEZo,0.88,5fRJrkiNwhMvUtsxpgqwXgCtf4Cs7pgTZPdUMoKc9k59,HRiGxg9FGBAA3ManxJcftf6cVZmYdi8EPnKaNoo8Mugd,the_stone_heads,The Stone Heads,https://bafybeieijjy7sbebmvidmiwxwbtffxkvl6igr46dkbj2s5xbla7fis6uxm.ipfs.nftstorage.link/1392.png?ext=png,The Stone Heads #1392,"The Stone Heads is a collection of 5,555 unique NFTs launched on the Solana blockchain, and representing a connection between classic and contemporary art, bringing iconic characters from the mythology to the Metaverse.",https://thestoneheads.com/,image,"[{'address': 'FoB4Fe6Uyq5CwXsbv61QhMkq44k7SYbrt1yScBfXzTGy', 'verified': 1, 'share': 0}, {'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'verified': 0, 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'verified': 0, 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}]",1000,HeH1SBaiSHu313SW6RPMk7iWnz7jJrmAkwTUB5T443f6,"[{'trait_type': 'Background', 'value': 'Tropical'}, {'trait_type': 'Body', 'value': 'Grey Magic'}, {'trait_type': 'Eyes', 'value': 'Red Eyes'}, {'trait_type': 'Mouth', 'value': 'Smoke'}, {'trait_type': 'Head', 'value': 'Halo'}, {'trait_type': 'Effect', 'value': 'Epsilon'}]","{'files': [{'uri': 'https://bafybeieijjy7sbebmvidmiwxwbtffxkvl6igr46dkbj2s5xbla7fis6uxm.ipfs.nftstorage.link/1392.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}]}",1,2Z4YfxHEeRCy3PkTMtxLQjWEwjZs9hBsPnvsCEEuogm7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 1902}},,
9,3PKZzPi7mirw14PFzuAt1J9qEJJUNhPvFjtvVDm1X7Rc,0.88888,6f2ABda2xPgp2aNFpKGJy39WpwtsYmDszk9KPvWzWhQE,EJnyXRNs2XVtwb2SN8u3MPhYnCQLMB6fBnYUgAbf6Qze,the_stone_heads,The Stone Heads,https://bafybeigunjh5uuaqiopsfjdcvo5z4m6wecbglb37dt4jae2bradzme4x3m.ipfs.nftstorage.link/3840.png?ext=png,The Stone Heads #3840,"The Stone Heads is a collection of 5,555 unique NFTs launched on the Solana blockchain, and representing a connection between classic and contemporary art, bringing iconic characters from the mythology to the Metaverse.",https://thestoneheads.com/,image,"[{'address': 'FoB4Fe6Uyq5CwXsbv61QhMkq44k7SYbrt1yScBfXzTGy', 'verified': 1, 'share': 0}, {'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'verified': 0, 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'verified': 0, 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}]",1000,FBpTENUCc8dLDHf53a7V4VfhjHGUuLSjj5HXQZMHV9MC,"[{'trait_type': 'Background', 'value': 'Tropical'}, {'trait_type': 'Body', 'value': 'Blue'}, {'trait_type': 'Eyes', 'value': 'Sunglasses'}, {'trait_type': 'Mouth', 'value': 'None'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Effect', 'value': 'None'}]","{'files': [{'uri': 'https://bafybeigunjh5uuaqiopsfjdcvo5z4m6wecbglb37dt4jae2bradzme4x3m.ipfs.nftstorage.link/3840.png?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'CrPHbWF6qKocdp8VGroX2jLYBhUC9yCKDXvEtR8wrzQ9', 'share': 59}, {'address': 'G6LaRuCQ6pWiZTsqDJFhsBgiMrFNHq2735gZC28WMZzW', 'share': 31}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10}]}",1,2Z4YfxHEeRCy3PkTMtxLQjWEwjZs9hBsPnvsCEEuogm7,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'howrare': {'rank': 3563}},,
