,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,6KFS8AnMBTDeDWTqseyH7k4cMTDHe1GMNWMz1EqbS4Ng,2.1,321XE8EHknqTGFKQcMmRgrznRqKDdk3dnCHgttJyrkkD,KeBjHZcS2Bv8DV6LYdWkv8oJP9j3PJucC2kLziFyADX,the_vaultx_dao,The Vault-X DAO,https://www.arweave.net/LI9K5epgZhCO6WwJL3MVv0gEj-2QIAKjHLePT-KoQPc?ext=png,Vault-X #2187,Vault-X is a collection of 3333 randomly generated unique NFTs to keep your funds secure while dealing with anonymous people,https://thevault-x.com,image,"[{'address': '8dvqdhyVy2X9tcXefFeKe1yJpavkqCZaXECtezFGHfFx', 'verified': 1, 'share': 0}, {'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'verified': 0, 'share': 100}]",700,6Ae7R6j4Ac8yRhV7gWxFieKifkQzayZFGb5KiedjLCsB,"[{'trait_type': 'Rarity', 'value': 'Common'}, {'trait_type': 'Background', 'value': 'Feel Fresh'}, {'trait_type': 'Body', 'value': 'Robin'}, {'trait_type': 'Symbol', 'value': 'PIN'}, {'trait_type': 'Hand Color', 'value': 'Mind Stone'}, {'trait_type': 'Mask', 'value': ''}]","{'files': [{'uri': 'https://www.arweave.net/LI9K5epgZhCO6WwJL3MVv0gEj-2QIAKjHLePT-KoQPc?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'share': 100}]}",1,9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
1,CKisKDMneBB4wAM4zkwvvTcWPVCKoGzrBouZrS6fV84s,2.2,7gbmbSKDPtxqteqvD1hH7inSggYu43kJeHrVBJgR8wJU,DvyvLfRRT2w9fCHsi4ZZwqxuk6ueR2oS5Nws9K1R372u,the_vaultx_dao,The Vault-X DAO,https://www.arweave.net/DHruItIE0RdqHAEuDM8MMBVVmftR-8D3aQFH84UPqJA?ext=png,Vault-X #1695,Vault-X is a collection of 3333 randomly generated unique NFTs to keep your funds secure while dealing with anonymous people,https://thevault-x.com,image,"[{'address': '8dvqdhyVy2X9tcXefFeKe1yJpavkqCZaXECtezFGHfFx', 'verified': 1, 'share': 0}, {'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'verified': 0, 'share': 100}]",700,4KsCwHLpBf6vBhtyM4k2KvxDze8kYQZqBn16cC8tPNF3,"[{'trait_type': 'Rarity', 'value': 'Common'}, {'trait_type': 'Background', 'value': 'Matrix'}, {'trait_type': 'Body', 'value': 'The Human Torch'}, {'trait_type': 'Symbol', 'value': 'PIN'}, {'trait_type': 'Hand Color', 'value': 'Soul Stone'}, {'trait_type': 'Eyes', 'value': 'Rooster'}, {'trait_type': 'Mask', 'value': ''}]","{'files': [{'uri': 'https://www.arweave.net/DHruItIE0RdqHAEuDM8MMBVVmftR-8D3aQFH84UPqJA?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'share': 100}]}",1,9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
2,GG1Cv4jPqXkPNurChAFv4oDjs2QSgVyr93PxYSQbnWSU,3.69,HieSkfD31Kiyakz7PTdeRwoWioj4as6JCdLFCi5RJ84P,HFwFy7pgh6wfuzSQchxxkjmHkrPEbAMpigj31mWShokV,the_vaultx_dao,The Vault-X DAO,https://www.arweave.net/1ctGGqu7jJ28Rwxp10pd2XCJDBov098tHE6j8ZTLzA0?ext=png,Vault-X #2116,Vault-X is a collection of 3333 randomly generated unique NFTs to keep your funds secure while dealing with anonymous people,https://thevault-x.com,image,"[{'address': '8dvqdhyVy2X9tcXefFeKe1yJpavkqCZaXECtezFGHfFx', 'verified': 1, 'share': 0}, {'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'verified': 0, 'share': 100}]",700,2hcNMDeam78bLUySY2qvj3kNmdRxxWhDkeUqc8pqN3UY,"[{'trait_type': 'Rarity', 'value': 'Common'}, {'trait_type': 'Background', 'value': 'Barbie'}, {'trait_type': 'Body', 'value': 'Daredevil'}, {'trait_type': 'Symbol', 'value': 'Guard'}, {'trait_type': 'Hand Color', 'value': 'Reality Stone'}, {'trait_type': 'Mask', 'value': ''}]","{'files': [{'uri': 'https://www.arweave.net/1ctGGqu7jJ28Rwxp10pd2XCJDBov098tHE6j8ZTLzA0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'share': 100}]}",1,9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
3,ax7wNtQ2K5jNicE7mj73De9WhSXeCvoZWoofHpXGFxm,2.24,A1wZeosyrdxw3srSFdUgsTnGEsWDuJL8ZNLwhWRBDPX3,Aa8TuUyEmo4kPLtmfaMRsjNrBK18MxSuU8k2ZukeC1XJ,the_vaultx_dao,The Vault-X DAO,https://www.arweave.net/pAXN3A4EJCzUGRd8043TzzKfp_rhc8bIbtoASTBTUnI?ext=png,Vault-X #1869,Vault-X is a collection of 3333 randomly generated unique NFTs to keep your funds secure while dealing with anonymous people,https://thevault-x.com,image,"[{'address': '8dvqdhyVy2X9tcXefFeKe1yJpavkqCZaXECtezFGHfFx', 'verified': 1, 'share': 0}, {'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'verified': 0, 'share': 100}]",700,7MB1bDckeRWiUYYhqC2d46gqTmNZizNiKSovWiauS4jg,"[{'trait_type': 'Rarity', 'value': 'Common'}, {'trait_type': 'Background', 'value': 'Sky Binary Key'}, {'trait_type': 'Body', 'value': 'Phantom'}, {'trait_type': 'Symbol', 'value': 'PIN'}, {'trait_type': 'Hand Color', 'value': 'Time Stone'}, {'trait_type': 'Mask', 'value': ''}]","{'files': [{'uri': 'https://www.arweave.net/pAXN3A4EJCzUGRd8043TzzKfp_rhc8bIbtoASTBTUnI?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'share': 100}]}",1,9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
4,AhENLLBQSXZQVcWfgXdW7GF2HgKqEgCjwTg9Qtqz2Ldi,2.29,D5uBEsRXLXzo42vgBLbeaww8H7YJrwRyn43xAGLoATMT,G7DWVjvKjxaZYuYUL9GP94Ai6BN4nJ2qoqkoqpgPHH3W,the_vaultx_dao,The Vault-X DAO,https://www.arweave.net/0ToTZggBSTapTIXd3Fh6JvE2Vtej-aNiPHQBx00pZbA?ext=png,Vault-X #2950,Vault-X is a collection of 3333 randomly generated unique NFTs to keep your funds secure while dealing with anonymous people,https://thevault-x.com,image,"[{'address': '8dvqdhyVy2X9tcXefFeKe1yJpavkqCZaXECtezFGHfFx', 'verified': 1, 'share': 0}, {'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'verified': 0, 'share': 100}]",700,GGq4dyoe8CAMVLZQNQgWiEFt7weeM4StRpdXNZPuomjG,"[{'trait_type': 'Rarity', 'value': 'Common'}, {'trait_type': 'Background', 'value': 'Blueberry'}, {'trait_type': 'Body', 'value': 'Spider Man'}, {'trait_type': 'Symbol', 'value': 'Thumprint'}, {'trait_type': 'Hand Color', 'value': 'Reality Stone'}, {'trait_type': 'Eyes', 'value': 'Jay'}, {'trait_type': 'Mask', 'value': 'Rhombus Head'}]","{'files': [{'uri': 'https://www.arweave.net/0ToTZggBSTapTIXd3Fh6JvE2Vtej-aNiPHQBx00pZbA?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'share': 100}]}",1,9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
5,5PEkMSW5GuMFYC8RM3LJKvSZVAfTwv9Aco694u7pe93M,2.28,kxy2gncwpiGvAy7NinygHnErAgweBVCcBtPKUs8JtZW,5PYxkpu61gWqvkwatXNxsoGfPsaBdiJWoZAjcuM1xNAb,the_vaultx_dao,The Vault-X DAO,https://www.arweave.net/pmBEYB1Uw9gxlQvmIkKH0OwGUJ1q1TmP9Gpa7R7Fyuc?ext=png,Vault-X #2821,Vault-X is a collection of 3333 randomly generated unique NFTs to keep your funds secure while dealing with anonymous people,https://thevault-x.com,image,"[{'address': '8dvqdhyVy2X9tcXefFeKe1yJpavkqCZaXECtezFGHfFx', 'verified': 1, 'share': 0}, {'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'verified': 0, 'share': 100}]",700,6nasNMtn9b7WA328V4T8LzCdhCvUrwsR5dbFfudeaxSd,"[{'trait_type': 'Rarity', 'value': 'Common'}, {'trait_type': 'Background', 'value': 'Soft Pink Aesthetic'}, {'trait_type': 'Body', 'value': 'Super Man'}, {'trait_type': 'Symbol', 'value': 'Geometric Star'}, {'trait_type': 'Hand Color', 'value': 'Reality Stone'}, {'trait_type': 'Eyes', 'value': 'Rooster'}, {'trait_type': 'Mask', 'value': 'Drop Head'}]","{'files': [{'uri': 'https://www.arweave.net/pmBEYB1Uw9gxlQvmIkKH0OwGUJ1q1TmP9Gpa7R7Fyuc?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'share': 100}]}",1,9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
6,EaoyLQbfBrVRpiLqMQLUS6Q846QiSSMRt7ToE5AGVtzZ,2.3,4spEZXr89bodfyGs1QWhxjXKxwASmLqYxDGUvYKo7Ayw,5ccm8fXenbe1pzfCpyPHqDCJNE9ajkucqMkVhzbB2vkw,the_vaultx_dao,The Vault-X DAO,https://www.arweave.net/05eoJA7LnCK5-A1bYb8p5l6JPvfP_FUFzTYT63tLe-A?ext=png,Vault-X #2173,Vault-X is a collection of 3333 randomly generated unique NFTs to keep your funds secure while dealing with anonymous people,https://thevault-x.com,image,"[{'address': '8dvqdhyVy2X9tcXefFeKe1yJpavkqCZaXECtezFGHfFx', 'verified': 1, 'share': 0}, {'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'verified': 0, 'share': 100}]",700,CudzTUfj3LTxky6LL2yfaoyLbL14xtTUWsCtSGoosvL9,"[{'trait_type': 'Rarity', 'value': 'Common'}, {'trait_type': 'Background', 'value': 'Sea Shore'}, {'trait_type': 'Body', 'value': 'Green Lantern'}, {'trait_type': 'Symbol', 'value': 'Encryptor'}, {'trait_type': 'Hand Color', 'value': 'Soul Stone'}, {'trait_type': 'Mask', 'value': ''}]","{'files': [{'uri': 'https://www.arweave.net/05eoJA7LnCK5-A1bYb8p5l6JPvfP_FUFzTYT63tLe-A?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'share': 100}]}",1,9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
7,EHdSMeqxvYaTXKHMcKjd5Z1H8yig4THtaYZoLGWGzWjR,2.3,4JSqgWcsAVCVHqPWEE8b6NcjhrTyFxifFGvg1e1puHT5,FADxEGgtR3MpzbGPMLH79qKjsW3zvrT8x7vq1MBLKzCB,the_vaultx_dao,The Vault-X DAO,https://www.arweave.net/Seq8oj-VbNh_FFwISgr54TuAmqcYVFv7YiuNzkJWuhI?ext=png,Vault-X #2736,Vault-X is a collection of 3333 randomly generated unique NFTs to keep your funds secure while dealing with anonymous people,https://thevault-x.com,image,"[{'address': '8dvqdhyVy2X9tcXefFeKe1yJpavkqCZaXECtezFGHfFx', 'verified': 1, 'share': 0}, {'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'verified': 0, 'share': 100}]",700,BSfyy3h9ce6rGMLm28ZQTE6A5SrLH79mkE2FA2yd1fcJ,"[{'trait_type': 'Rarity', 'value': 'Common'}, {'trait_type': 'Background', 'value': 'Sunset'}, {'trait_type': 'Body', 'value': 'Iron Man'}, {'trait_type': 'Symbol', 'value': 'Geometric Star'}, {'trait_type': 'Hand Color', 'value': 'Reality Stone'}, {'trait_type': 'Eyes', 'value': 'Rooster'}, {'trait_type': 'Mask', 'value': 'Oval Head'}]","{'files': [{'uri': 'https://www.arweave.net/Seq8oj-VbNh_FFwISgr54TuAmqcYVFv7YiuNzkJWuhI?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'share': 100}]}",1,9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
8,3L6zx6KE3J1AWkGrZdE4MzpoYtZ5AEga6vnLdiQL8Fbc,2.34,22uJmRL724tJRY1JyrRPKSQXMRqucYK7BiTPe3AAseTo,HdpLGGt2oKv9ohX2ptoT5mu26fSmRP4hjLuQV4TBEm8F,the_vaultx_dao,The Vault-X DAO,https://www.arweave.net/9NgeLici6PU2BecM2Qx0GYyO9hSGUTbirZ-yyW5AMEA?ext=png,Vault-X #1828,Vault-X is a collection of 3333 randomly generated unique NFTs to keep your funds secure while dealing with anonymous people,https://thevault-x.com,image,"[{'address': '8dvqdhyVy2X9tcXefFeKe1yJpavkqCZaXECtezFGHfFx', 'verified': 1, 'share': 0}, {'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'verified': 0, 'share': 100}]",700,3WFnoKFfW6kg6Dvw3grHUEoPApbuvKadvwGDEYCap8vQ,"[{'trait_type': 'Rarity', 'value': 'Common'}, {'trait_type': 'Background', 'value': 'Roseberry'}, {'trait_type': 'Body', 'value': 'Wolverine'}, {'trait_type': 'Symbol', 'value': 'PIN'}, {'trait_type': 'Hand Color', 'value': 'Mind Stone'}, {'trait_type': 'Mask', 'value': ''}]","{'files': [{'uri': 'https://www.arweave.net/9NgeLici6PU2BecM2Qx0GYyO9hSGUTbirZ-yyW5AMEA?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'share': 100}]}",1,9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
9,75Yj3S3uSe5thYcEaKSuMahnppBsQzzZdD4gdf79qUtq,2.34,BoMLK9aCJdKZcJqGrpde66vQMxRPsEkgrvriA9Y6ZjXg,7Nh2pgTjAX6S58QcWNA9H1LgfQ4TD3pCgDPtD8UqG6ZV,the_vaultx_dao,The Vault-X DAO,https://www.arweave.net/k2PjrLS47LUrTyB0O8v1vSiAGDJkUcE0AETOD8o_eEU?ext=png,Vault-X #774,Vault-X is a collection of 3333 randomly generated unique NFTs to keep your funds secure while dealing with anonymous people,https://thevault-x.com,image,"[{'address': '8dvqdhyVy2X9tcXefFeKe1yJpavkqCZaXECtezFGHfFx', 'verified': 1, 'share': 0}, {'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'verified': 0, 'share': 100}]",700,9ufGXUcE4kGo6ht5t73F8VefZChhENQwhAqDY4Stk56s,"[{'trait_type': 'Rarity', 'value': 'Common'}, {'trait_type': 'Background', 'value': 'Sky Binary Key'}, {'trait_type': 'Body', 'value': 'Mr.Fantastic'}, {'trait_type': 'Symbol', 'value': 'Rotator'}, {'trait_type': 'Hand Color', 'value': 'Soul Stone'}, {'trait_type': 'Eyes', 'value': 'Kingfisher'}, {'trait_type': 'Mask', 'value': ''}]","{'files': [{'uri': 'https://www.arweave.net/k2PjrLS47LUrTyB0O8v1vSiAGDJkUcE0AETOD8o_eEU?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct', 'share': 100}]}",1,9v8DmWnrTK4LhgYpAvZ3DUBpcmkuHJekx11QxWZ9Pvct,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{},,
