,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity,tokenDelegate,extern
0,HR4ECYCuqArZXoVXf4bvT1vGTbG5Nz9RcWUWj5vEV2ek,4.5,AEgfwx5CuAexjDP5hpEpMsFG5L8tazcxW2JeKBx5Fpo6,6Z7Roy9ZTwnTMydvKWk9RqwKC63k4Mb82FEEWeVFzHcF,undead_apes,Undead Apes,https://arweave.net/jPMUliFU7qXQ3mEaJ28jx54zbvYmscMBp9iwJKyBWVs?ext=png,UndeadApes #1359,UndeadApes are 2500 unique Apes with over 60 hand drawn traits on the Solana blockchain. Ready to take on the Metaverse!,,image,"[{'address': 'F9rKwo1xaGVw5o9vM4LXYf5YW9kp6PJce5hHf81ybWHa', 'verified': 1, 'share': 0}, {'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'verified': 0, 'share': 100}]",1000,8L8HjM6boaU2nShg3c3UQRKdNGZYVgzPAqUEKZxBm7nj,"[{'trait_type': 'background', 'value': 'Burn'}, {'trait_type': 'body', 'value': 'Pink'}, {'trait_type': 'clothes', 'value': 'BlackSweater'}, {'trait_type': 'eyes', 'value': 'Laser'}, {'trait_type': 'hats', 'value': 'Flask'}, {'trait_type': 'teeth', 'value': 'Base'}]","{'files': [{'uri': 'image.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'share': 100}]}",1,6XzSmw1GCGD1iatbZ9zRHV35nMkwjkAhQWDFJTdHGZLi,1,"{'verified': 1, 'key': 'FmiijDskU12NJvV56EXyHa3QdVZDfnNPmFzpQLNxuF2Y', 'data': {}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 507}, 'howrare': {'rank': 474}}",,
1,BCtrbY5WNJcN9smuGkHptDqPqHdmACEzFxXyhtqCaopm,2.6,BSP7omtFiq925CqxgfYvaTM889xepZsd58G1Uhf1tK8a,3rYfbYDP8GTWM3nQvjYZwmRCLb99HWY7PTCza7JnzmJf,undead_apes,Undead Apes,https://arweave.net/ilmqQ7F4gAlFz269NuoPo6qB2dxbyK3kUKgeBh2ysv8?ext=png,UndeadApes #711,UndeadApes are 2500 unique Apes with over 60 hand drawn traits on the Solana blockchain. Ready to take on the Metaverse!,,image,"[{'address': 'F9rKwo1xaGVw5o9vM4LXYf5YW9kp6PJce5hHf81ybWHa', 'verified': 1, 'share': 0}, {'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'verified': 0, 'share': 100}]",1000,8c2NoA2VxyJ4aWJo4GxWFXFqiyx287kiPtyCP4zGcfAq,"[{'trait_type': 'background', 'value': 'Red'}, {'trait_type': 'body', 'value': 'Base'}, {'trait_type': 'clothes', 'value': 'Hoodie'}, {'trait_type': 'eyes', 'value': 'Laser'}, {'trait_type': 'hats', 'value': 'Cup'}, {'trait_type': 'teeth', 'value': 'Smile'}]","{'files': [{'uri': 'image.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'share': 100}]}",1,6XzSmw1GCGD1iatbZ9zRHV35nMkwjkAhQWDFJTdHGZLi,1,"{'verified': 1, 'key': 'FmiijDskU12NJvV56EXyHa3QdVZDfnNPmFzpQLNxuF2Y', 'data': {}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2416}, 'howrare': {'rank': 2428}}",,
2,DvDgpHoKhHxGzKMinzKVMCRi3aGMb3xEgtvsURywUHpQ,2.6,6wMR3x7SvRugoSwiceatAi4NPYqpwUtBL9poTovW9FjZ,77oToHiKhqceeS3B9uT85Ke83Z1sR4F8AugcjJWtnWrJ,undead_apes,Undead Apes,https://arweave.net/eiypJ-Z8VaVg1NwpDDq54Upgm8MRe0W5I0jw9V6_e2s?ext=png,UndeadApes #1552,UndeadApes are 2500 unique Apes with over 60 hand drawn traits on the Solana blockchain. Ready to take on the Metaverse!,,image,"[{'address': 'F9rKwo1xaGVw5o9vM4LXYf5YW9kp6PJce5hHf81ybWHa', 'verified': 1, 'share': 0}, {'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'verified': 0, 'share': 100}]",1000,DE6udA9WLTXAks3cousq1go3GzxgNdD3xmQ3uioetb45,"[{'trait_type': 'background', 'value': 'Blue'}, {'trait_type': 'body', 'value': 'Pink'}, {'trait_type': 'clothes', 'value': 'BlackSweater'}, {'trait_type': 'eyes', 'value': 'Aqua'}, {'trait_type': 'hats', 'value': 'GreenHair'}, {'trait_type': 'teeth', 'value': 'Piano'}]","{'files': [{'uri': 'image.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'share': 100}]}",1,6XzSmw1GCGD1iatbZ9zRHV35nMkwjkAhQWDFJTdHGZLi,1,"{'verified': 1, 'key': 'FmiijDskU12NJvV56EXyHa3QdVZDfnNPmFzpQLNxuF2Y', 'data': {}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1751}, 'howrare': {'rank': 1927}}",,
3,D3RC5WSJ31HLdfgKDJ4w7KvySiTrDue7j6z44RE27EYT,2.6,HPXZLf8wUFELHC5WprjxdyASHVWPJmP3h3edxp23aWUo,77oToHiKhqceeS3B9uT85Ke83Z1sR4F8AugcjJWtnWrJ,undead_apes,Undead Apes,https://arweave.net/OgF2pQT0RsTw1VQzpHSN7hZLUQrufLuuOuWqCacy8i8?ext=png,UndeadApes #1460,UndeadApes are 2500 unique Apes with over 60 hand drawn traits on the Solana blockchain. Ready to take on the Metaverse!,,image,"[{'address': 'F9rKwo1xaGVw5o9vM4LXYf5YW9kp6PJce5hHf81ybWHa', 'verified': 1, 'share': 0}, {'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'verified': 0, 'share': 100}]",1000,3gsNfFUeU3fQomzNiX11m5DzVFWUbK9zKccJZxieDkqy,"[{'trait_type': 'background', 'value': 'Green'}, {'trait_type': 'body', 'value': 'Base'}, {'trait_type': 'clothes', 'value': 'Puffy'}, {'trait_type': 'eyes', 'value': 'Stoned'}, {'trait_type': 'hats', 'value': 'Thorn'}, {'trait_type': 'teeth', 'value': 'Smile'}]","{'files': [{'uri': 'image.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'share': 100}]}",1,6XzSmw1GCGD1iatbZ9zRHV35nMkwjkAhQWDFJTdHGZLi,1,"{'verified': 1, 'key': 'FmiijDskU12NJvV56EXyHa3QdVZDfnNPmFzpQLNxuF2Y', 'data': {}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2089}, 'howrare': {'rank': 1636}}",,
4,5oUJK8WbsqFMTyvyKxxdFyN2uEZM7EDtXgudcNFTDXNW,2.7,7emJVDnmiEYbcDU2atGgtw6pzpsUf7WvvrYYZXzE7KyQ,7f1wMvViLLvhJK7XsacsZC1VatQRWsvv7Ca8AMTYNKim,undead_apes,Undead Apes,https://arweave.net/XOeyyykVKlFYzriwjRqcnlMqwLzUCxSz2EiOgQ1tH5Q?ext=png,UndeadApes #1848,UndeadApes are 2500 unique Apes with over 60 hand drawn traits on the Solana blockchain. Ready to take on the Metaverse!,,image,"[{'address': 'F9rKwo1xaGVw5o9vM4LXYf5YW9kp6PJce5hHf81ybWHa', 'verified': 1, 'share': 0}, {'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'verified': 0, 'share': 100}]",1000,AP5kzHSb6n1z8zfVLfrsmXUuhehFMfcBZRTHvLsnFcDD,"[{'trait_type': 'background', 'value': 'Beige'}, {'trait_type': 'body', 'value': 'Ice'}, {'trait_type': 'clothes', 'value': 'Armor'}, {'trait_type': 'eyes', 'value': 'Looking'}, {'trait_type': 'hats', 'value': 'Cup'}, {'trait_type': 'teeth', 'value': 'Base'}]","{'files': [{'uri': 'image.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'share': 100}]}",1,6XzSmw1GCGD1iatbZ9zRHV35nMkwjkAhQWDFJTdHGZLi,1,"{'verified': 1, 'key': 'FmiijDskU12NJvV56EXyHa3QdVZDfnNPmFzpQLNxuF2Y', 'data': {}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2113}, 'howrare': {'rank': 2134}}",,
5,142u83gRCeVavJMEpHmt3LoFUKbGxQ9xeQrY5Mgxyf4M,2.7,CG98f7B6DvPoC7Vbm2wfiUsS8EQWLVM5baSbW85ryfeX,CEUzwkE29GAryZBCKNg8LwpoQosQ9iDYbk6YFb6WPqz9,undead_apes,Undead Apes,https://arweave.net/8W2oerVexEvhACPclop9J9SVulyOClxCBDj_z3WE86o?ext=png,UndeadApes #1418,UndeadApes are 2500 unique Apes with over 60 hand drawn traits on the Solana blockchain. Ready to take on the Metaverse!,,image,"[{'address': 'F9rKwo1xaGVw5o9vM4LXYf5YW9kp6PJce5hHf81ybWHa', 'verified': 1, 'share': 0}, {'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'verified': 0, 'share': 100}]",1000,1iEyTefCifi74VP9v2P39g9zcr8oTq1tfJemHveb3r5,"[{'trait_type': 'background', 'value': 'Green'}, {'trait_type': 'body', 'value': 'Red'}, {'trait_type': 'clothes', 'value': 'Sweater'}, {'trait_type': 'eyes', 'value': 'RobotEye'}, {'trait_type': 'hats', 'value': 'Laurel'}, {'trait_type': 'teeth', 'value': 'Piano'}]","{'files': [{'uri': 'image.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'share': 100}]}",1,6XzSmw1GCGD1iatbZ9zRHV35nMkwjkAhQWDFJTdHGZLi,1,"{'verified': 1, 'key': 'FmiijDskU12NJvV56EXyHa3QdVZDfnNPmFzpQLNxuF2Y', 'data': {}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1506}, 'howrare': {'rank': 1704}}",,
6,3GhDH65e2xyrMukZjR13WjnyhnsZNBsAJtAdr8trRaP7,2.7,3HqUvcUvNezKyjSGzzhhY2cq2fVNR48NYjTG6foukaks,6Rjn1LsRWso9Guy5pJki5nDCeX5tp6UeSYA4AGt7ByAB,undead_apes,Undead Apes,https://arweave.net/7GazA0Ovu1LwX2K9G8CFaDHXA3NQ3mhtUcgWd-ktCTo?ext=png,UndeadApes #200,UndeadApes are 2500 unique Apes with over 60 hand drawn traits on the Solana blockchain. Ready to take on the Metaverse!,,image,"[{'address': 'F9rKwo1xaGVw5o9vM4LXYf5YW9kp6PJce5hHf81ybWHa', 'verified': 1, 'share': 0}, {'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'verified': 0, 'share': 100}]",1000,6xfaXq15fJxoLKf35uQYau4dSfXHNT4wWLr2k4EkTXpP,"[{'trait_type': 'background', 'value': 'Beige'}, {'trait_type': 'body', 'value': 'Red'}, {'trait_type': 'clothes', 'value': 'Puffy'}, {'trait_type': 'eyes', 'value': 'Looking'}, {'trait_type': 'hats', 'value': 'GreenHair'}, {'trait_type': 'teeth', 'value': 'Ice'}]","{'files': [{'uri': 'image.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'share': 100}]}",1,6XzSmw1GCGD1iatbZ9zRHV35nMkwjkAhQWDFJTdHGZLi,1,"{'verified': 1, 'key': 'FmiijDskU12NJvV56EXyHa3QdVZDfnNPmFzpQLNxuF2Y', 'data': {}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1022}, 'howrare': {'rank': 1291}}",,
7,7WeoicPmxMiW7kGnwL1VJ5CtY5xo4nmnggjkd18nuMLD,2.75,6EAt9QgaC7oE122xMQCaDdRcxYitS2XEe3LtYS1jkGtV,48bxPqukRPL3H6tAVtNkAF6H2XNt6g97mardjm8sQWCA,undead_apes,Undead Apes,https://arweave.net/cx2_xVc9P1zkQ9oZbh8Z70qkujlG5Mjkz5xg939_ZEg?ext=png,UndeadApes #1843,UndeadApes are 2500 unique Apes with over 60 hand drawn traits on the Solana blockchain. Ready to take on the Metaverse!,,image,"[{'address': 'F9rKwo1xaGVw5o9vM4LXYf5YW9kp6PJce5hHf81ybWHa', 'verified': 1, 'share': 0}, {'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'verified': 0, 'share': 100}]",1000,CvzLmRxuEqwzeLgyUf8BDFohiZf7GxyD2r68mWU48vfb,"[{'trait_type': 'background', 'value': 'Green'}, {'trait_type': 'body', 'value': 'Sweet'}, {'trait_type': 'clothes', 'value': 'Hoodie'}, {'trait_type': 'eyes', 'value': 'Stoned'}, {'trait_type': 'hats', 'value': 'Laurel'}, {'trait_type': 'teeth', 'value': 'Metal'}]","{'files': [{'uri': 'image.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'share': 100}]}",1,6XzSmw1GCGD1iatbZ9zRHV35nMkwjkAhQWDFJTdHGZLi,1,"{'verified': 1, 'key': 'FmiijDskU12NJvV56EXyHa3QdVZDfnNPmFzpQLNxuF2Y', 'data': {}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'howrare': {'rank': 2106}, 'moonrank': {'rank': 1962}}",,
8,7V1bmmTq7opTRuYHfc7sT4hf1Tanb8JSAyh2a5jE9MNn,2.75,5TLWtUn2Ja5TE5Jw6y6WBbQivuTV1TtNsgtAVoG4nSQT,8sUjSGFHLnPKJMrbfRxjyZyAd7AZ15djfBUFuqnBRFFc,undead_apes,Undead Apes,https://arweave.net/7dmy_CvkUP4zOxxHLUsTk-u7H3sq9zVse4C36pXLUCw?ext=png,UndeadApes #1624,UndeadApes are 2500 unique Apes with over 60 hand drawn traits on the Solana blockchain. Ready to take on the Metaverse!,,image,"[{'address': 'F9rKwo1xaGVw5o9vM4LXYf5YW9kp6PJce5hHf81ybWHa', 'verified': 1, 'share': 0}, {'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'verified': 0, 'share': 100}]",1000,77pBYdxqpfYyYFaVnN4X5V4fGyzr28uJ8Uk3dEAXKzHG,"[{'trait_type': 'background', 'value': 'Red'}, {'trait_type': 'body', 'value': 'Base'}, {'trait_type': 'clothes', 'value': 'BlackSweater'}, {'trait_type': 'eyes', 'value': 'Candle'}, {'trait_type': 'hats', 'value': 'Cup'}, {'trait_type': 'teeth', 'value': 'Piano'}]","{'files': [{'uri': 'image.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'share': 100}]}",1,6XzSmw1GCGD1iatbZ9zRHV35nMkwjkAhQWDFJTdHGZLi,1,"{'verified': 1, 'key': 'FmiijDskU12NJvV56EXyHa3QdVZDfnNPmFzpQLNxuF2Y', 'data': {}}",False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 2387}, 'howrare': {'rank': 2406}}",,
9,kKJWQNcvELygXqQJbULxiK4SxhFZS2ZVEBzs3F1ZWz4,2.85,J7sLAwYiARFh88cPTKXFjLGUhNJNLZGZ46DAJqPb5doY,GPfgiEYLBoT794KU1PQXxSfgzf8qC7LQ2DHRZxDJXbhA,undead_apes,Undead Apes,https://arweave.net/037j-AWNjQKDnFynI6lU2RSjKVn6juR_vqCK3BlR2s0?ext=png,UndeadApes #1951,UndeadApes are 2500 unique Apes with over 60 hand drawn traits on the Solana blockchain. Ready to take on the Metaverse!,,image,"[{'address': 'F9rKwo1xaGVw5o9vM4LXYf5YW9kp6PJce5hHf81ybWHa', 'verified': 1, 'share': 0}, {'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'verified': 0, 'share': 100}]",1000,7Twz4DdW9vEHEVWPpCPCDgBmJ4cmec7aZEYYY74g61Cf,"[{'trait_type': 'background', 'value': 'Pink'}, {'trait_type': 'body', 'value': 'Pink'}, {'trait_type': 'clothes', 'value': 'BlackSweater'}, {'trait_type': 'eyes', 'value': 'Candle'}, {'trait_type': 'hats', 'value': 'StonedFriend'}, {'trait_type': 'teeth', 'value': 'Base'}]","{'files': [{'uri': 'image.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': '87WNhscgziZe66hfFAxyCbrEUEWhhAxVYMjxW93526R1', 'share': 100}]}",1,6XzSmw1GCGD1iatbZ9zRHV35nMkwjkAhQWDFJTdHGZLi,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}","{'moonrank': {'rank': 1217}, 'howrare': {'rank': 1356}}",,
