,id,price,escrowPubkey,owner,collectionName,collectionTitle,img,title,content,externalURL,propertyCategory,creators,sellerFeeBasisPoints,mintAddress,attributes,properties,supply,updateAuthority,primarySaleHappened,onChainCollection,tokenDelegateValid,v2,rarity
0,9TSHFX8LZJLbS3eREjBVA1NgxzjQ4k6NnUexCuT2SGVY,11.0,2tCFyQKJwF5dgyaZNdDF1S9HzhK5WHzGQn2HpJaaFSDu,GJ2Z9BsQUcuNbUV1SKvh8oLHgaCsWSVUsKASGEhj9UhD,zankoku,Zankoku Cybogrez,https://arweave.net/mMrrtZeHP9GALAFt01d2U7_sQrIHdJ4u4eGjiwa2QxU,Zankoku Cybogrez #767,Cybogrez go BOP BOP,https://zankokuarena.io,image,"[{'address': 'xgLPMgPaFd1mjgP73Ghkogkpokn9AZFQhPAB5nre8m5', 'verified': 1, 'share': 0}, {'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'verified': 0, 'share': 100}]",1250,EG7c1nqwyYMhfDESp77EdHvvyyptS6hwRZSMzyVJMdfP,"[{'trait_type': 'Background', 'value': 'BG 9'}, {'trait_type': 'Face', 'value': 'Ogre'}, {'trait_type': 'Arms', 'value': 'Apollo'}, {'trait_type': 'Accessories', 'value': '3D Glasses'}, {'trait_type': 'Torso', 'value': 'ZOKU003'}, {'trait_type': 'Helmet', 'value': 'Oath'}, {'trait_type': 'Feet', 'value': 'Vox'}, {'trait_type': 'Bracers', 'value': 'Aion'}, {'trait_type': 'Hands', 'value': 'Geo'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/mMrrtZeHP9GALAFt01d2U7_sQrIHdJ4u4eGjiwa2QxU'}], 'category': 'image', 'creators': [{'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'share': 100}]}",1,ZanzPN8P8kP41jq5gTR5yVQMavndvmSxUhSqrSjY36v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 813}}
1,5aXm3Q4fqvV3ghkqr1NQ2x7RcSaNSEEYN3GRWEJRHqBU,11.24,5vcJgvXiyvLPB1sHLVRYJLtcyCXuBXXDpZNckzSQptpw,2kP4iJ1WJmEGmfW3jtpFRqjnhASCZP7QYG87idELADVX,zankoku,Zankoku Cybogrez,https://arweave.net/P2rppDPCideF004Nzqv_tMJpVcH1-PPZdVPJA0xjYvQ,Zankoku Cybogrez #713,Cybogrez go BOP BOP,https://zankokuarena.io,image,"[{'address': 'xgLPMgPaFd1mjgP73Ghkogkpokn9AZFQhPAB5nre8m5', 'verified': 1, 'share': 0}, {'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'verified': 0, 'share': 100}]",1250,AMBdboLZr5yeqheoCuXqQFKk9HhQvGFNvhA258QmmWwm,"[{'trait_type': 'Background', 'value': 'BG 25'}, {'trait_type': 'Face', 'value': 'Ogre'}, {'trait_type': 'Arms', 'value': 'Beta'}, {'trait_type': 'Accessories', 'value': 'Skull'}, {'trait_type': 'Torso', 'value': 'ZOKU018'}, {'trait_type': 'Helmet', 'value': 'Oath'}, {'trait_type': 'Feet', 'value': 'Balder'}, {'trait_type': 'Bracers', 'value': 'Alpha'}, {'trait_type': 'Hands', 'value': 'Drako'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/P2rppDPCideF004Nzqv_tMJpVcH1-PPZdVPJA0xjYvQ'}], 'category': 'image', 'creators': [{'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'share': 100}]}",1,ZanzPN8P8kP41jq5gTR5yVQMavndvmSxUhSqrSjY36v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 396}}
2,HYojHG18oPvZK6qp3YrNGHoQdcC5jS1aoAWBji7PXypj,11.3,HmVLXUvsYkuFvLzKnfhbVhR4fKTDytH7Yx7eeT4HFx4s,J4x4kD4hsAMdtawYrnDYuATqPem3PjVpQrtk641yGUYR,zankoku,Zankoku Cybogrez,https://arweave.net/Uwjts9AO7Du9yojwU__-KSfJqDibv0kys4e4SDvW2rw,Zankoku Cybogrez #1045,Cybogrez go BOP BOP,https://zankokuarena.io,image,"[{'address': 'xgLPMgPaFd1mjgP73Ghkogkpokn9AZFQhPAB5nre8m5', 'verified': 1, 'share': 0}, {'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'verified': 0, 'share': 100}]",1250,6GU2Mg6ePNezhZh7qRZ3FyDCPM3XQYW87kvUoGubxwtp,"[{'trait_type': 'Background', 'value': 'BG 17'}, {'trait_type': 'Face', 'value': 'Ogre'}, {'trait_type': 'Arms', 'value': 'Shogun'}, {'trait_type': 'Accessories', 'value': '3D Glasses'}, {'trait_type': 'Torso', 'value': 'ZOKU023'}, {'trait_type': 'Helmet', 'value': 'Neptune'}, {'trait_type': 'Feet', 'value': 'Kindred'}, {'trait_type': 'Bracers', 'value': 'Atlas'}, {'trait_type': 'Hands', 'value': 'Soft Machine'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/Uwjts9AO7Du9yojwU__-KSfJqDibv0kys4e4SDvW2rw'}], 'category': 'image', 'creators': [{'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'share': 100}]}",1,ZanzPN8P8kP41jq5gTR5yVQMavndvmSxUhSqrSjY36v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 785}}
3,izY6U2GivZsLoy8KzYHaYVgjeupF6rDDtsQvjvu3nER,11.35,Boej7MUmV37XKjHbdhu4k3afb1PDTZgTimeY4JdhPQ74,6NxfPMmeefy3vURtSJmxbG57msmcKvNxS9DFog3MGeJS,zankoku,Zankoku Cybogrez,https://arweave.net/Ucln4KpA2rfqWrGyvG2242EiYtU7rrS-izXnMSQ7voo,Zankoku Cybogrez #90,Cybogrez go BOP BOP,https://zankokuarena.io,image,"[{'address': 'xgLPMgPaFd1mjgP73Ghkogkpokn9AZFQhPAB5nre8m5', 'verified': 1, 'share': 0}, {'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'verified': 0, 'share': 100}]",1250,HTMmsigGH7DYeNH89wZiwuAQFWynu6x56SVSyXNpcKT2,"[{'trait_type': 'Background', 'value': 'BG 9'}, {'trait_type': 'Face', 'value': 'Ogre'}, {'trait_type': 'Arms', 'value': 'Kappa'}, {'trait_type': 'Accessories', 'value': 'Eyebrow Ring Blue'}, {'trait_type': 'Torso', 'value': 'ZOKU006'}, {'trait_type': 'Helmet', 'value': 'Dream'}, {'trait_type': 'Feet', 'value': 'Loki'}, {'trait_type': 'Bracers', 'value': 'Ultima'}, {'trait_type': 'Hands', 'value': 'Survivor'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/Ucln4KpA2rfqWrGyvG2242EiYtU7rrS-izXnMSQ7voo'}], 'category': 'image', 'creators': [{'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'share': 100}]}",1,ZanzPN8P8kP41jq5gTR5yVQMavndvmSxUhSqrSjY36v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 402}}
4,Gianf7P8zcRYy9EmKpabjmAPmmKp1YRaqkzDvFtaxzRy,11.49,71ZejhueNqJNXuX9b6AGbdiW9LeDKz9G7LgcWAESsxRj,6qZByRmgF4dpX8nXPzpAQwd4h9mqZp7Yf1f6V8ntTdWg,zankoku,Zankoku Cybogrez,https://arweave.net/QERN8EhrornhIVP457z2cSet58rx0Yj8yOrgkamAHVU,Zankoku Cybogrez #794,Cybogrez go BOP BOP,https://zankokuarena.io,image,"[{'address': 'xgLPMgPaFd1mjgP73Ghkogkpokn9AZFQhPAB5nre8m5', 'verified': 1, 'share': 0}, {'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'verified': 0, 'share': 100}]",1250,E52HjoeWpEqLkgMXb7acdNWFZ5gqC2k62msogR9Cdqcq,"[{'trait_type': 'Background', 'value': 'BG 13'}, {'trait_type': 'Face', 'value': 'Ogre'}, {'trait_type': 'Arms', 'value': 'Golden'}, {'trait_type': 'Accessories', 'value': 'Nose Ring'}, {'trait_type': 'Torso', 'value': 'ZOKU007'}, {'trait_type': 'Helmet', 'value': 'Tohth'}, {'trait_type': 'Feet', 'value': 'Hero'}, {'trait_type': 'Bracers', 'value': 'Hera'}, {'trait_type': 'Hands', 'value': 'Ogre'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/QERN8EhrornhIVP457z2cSet58rx0Yj8yOrgkamAHVU'}], 'category': 'image', 'creators': [{'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'share': 100}]}",1,ZanzPN8P8kP41jq5gTR5yVQMavndvmSxUhSqrSjY36v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 1045}}
5,BiVbpvXUd8FoyaCPQPq1c7TK9meUUy9ekyMzuHdB6q1r,11.5,Ayb6kyXmntSrkrvxRDhKNMKv5vZergtA25xYmjWaviWz,G7rATcoTZfyqskUmghuYy7jGGhD55dGukMdRUnVkXbQS,zankoku,Zankoku Cybogrez,https://arweave.net/VESSC5D6eJJ1ODqFjRfu-54ZQSdBfLSXb5pebMLIe_g,Zankoku Cybogrez #1103,Cybogrez go BOP BOP,https://zankokuarena.io,image,"[{'address': 'xgLPMgPaFd1mjgP73Ghkogkpokn9AZFQhPAB5nre8m5', 'verified': 1, 'share': 0}, {'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'verified': 0, 'share': 100}]",1250,FqGKXVF8jLVknr6J4kf8anmj1jKQfDUSuH2Q4juAPfMq,"[{'trait_type': 'Background', 'value': 'BG 10'}, {'trait_type': 'Face', 'value': 'Ogre'}, {'trait_type': 'Arms', 'value': 'Merlin'}, {'trait_type': 'Accessories', 'value': 'Glasses'}, {'trait_type': 'Torso', 'value': 'ZOKU006'}, {'trait_type': 'Helmet', 'value': 'Golem'}, {'trait_type': 'Feet', 'value': 'Mega'}, {'trait_type': 'Bracers', 'value': 'Kronos'}, {'trait_type': 'Hands', 'value': 'Drako'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/VESSC5D6eJJ1ODqFjRfu-54ZQSdBfLSXb5pebMLIe_g'}], 'category': 'image', 'creators': [{'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'share': 100}]}",1,ZanzPN8P8kP41jq5gTR5yVQMavndvmSxUhSqrSjY36v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 144}}
6,49a2okgN49j88HeMYEEvKkpk5Fvz2wi3X2R1LtvrAjFm,11.8,8SNVkw3ARdvXZiQ43w6uKQYd9fGJgmK72A7xkxEompFR,4qjVpw6S8Hhx2m9Mzri9tvYMAPyFRECY8KpRupULthi5,zankoku,Zankoku Cybogrez,https://arweave.net/_FkCAsGLDxF-yzfq0_QJ58P2Z0bc9E9J8HXLYAVqgok,Zankoku Cybogrez #125,Cybogrez go BOP BOP,https://zankokuarena.io,image,"[{'address': 'xgLPMgPaFd1mjgP73Ghkogkpokn9AZFQhPAB5nre8m5', 'verified': 1, 'share': 0}, {'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'verified': 0, 'share': 100}]",1250,7P2pcsSxYhRkVVBaBBtyD5KEDNRoEgVmDakaDzd37eQH,"[{'trait_type': 'Background', 'value': 'BG 8'}, {'trait_type': 'Face', 'value': 'Ogre'}, {'trait_type': 'Arms', 'value': 'Alpha'}, {'trait_type': 'Accessories', 'value': 'Tongue'}, {'trait_type': 'Torso', 'value': 'ZOKU018'}, {'trait_type': 'Helmet', 'value': 'Clash'}, {'trait_type': 'Feet', 'value': 'Thor'}, {'trait_type': 'Bracers', 'value': 'Prime'}, {'trait_type': 'Hands', 'value': 'Wrath'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/_FkCAsGLDxF-yzfq0_QJ58P2Z0bc9E9J8HXLYAVqgok'}], 'category': 'image', 'creators': [{'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'share': 100}]}",1,ZanzPN8P8kP41jq5gTR5yVQMavndvmSxUhSqrSjY36v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 383}}
7,AvRQZm48AZifxVov4TdjebVaTri7t4PcaFeQUHqZQHwz,11.98,2n3GYMAHstNKc98Uv3Y46Ei3LRBqfiFhfwXJ4r21hHPz,B36KSx3gkWcMm2RPQEaQEV9LUcwjmQBb7GPpJMBfj5Qi,zankoku,Zankoku Cybogrez,https://arweave.net/hx00Nja1HHMJOfv7xxBbeTPoDZcbZcAOF133K44MpDY,Zankoku Cybogrez #196,Cybogrez go BOP BOP,https://zankokuarena.io,image,"[{'address': 'xgLPMgPaFd1mjgP73Ghkogkpokn9AZFQhPAB5nre8m5', 'verified': 1, 'share': 0}, {'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'verified': 0, 'share': 100}]",1250,6RyQDAybCUH18WVuuMZoMe6Qv7zPFBpWTyuVsigD5uNu,"[{'trait_type': 'Background', 'value': 'BG 2'}, {'trait_type': 'Face', 'value': 'Ogre'}, {'trait_type': 'Arms', 'value': 'Shanks'}, {'trait_type': 'Accessories', 'value': 'Sparkle'}, {'trait_type': 'Torso', 'value': 'ZOKU007'}, {'trait_type': 'Helmet', 'value': 'Chaser'}, {'trait_type': 'Feet', 'value': 'Delta'}, {'trait_type': 'Bracers', 'value': 'Hermes'}, {'trait_type': 'Hands', 'value': 'Lust'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/hx00Nja1HHMJOfv7xxBbeTPoDZcbZcAOF133K44MpDY'}], 'category': 'image', 'creators': [{'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'share': 100}]}",1,ZanzPN8P8kP41jq5gTR5yVQMavndvmSxUhSqrSjY36v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 316}}
8,GNf68VVkSTHHt2T8rDfeVo7UmwSqHV41X7nUaZaAB8Mu,12.0,FrtFjZ7DjoQEW2h58EvUVWRKZwD3E8xmxTFeE7fFmbb2,4AGDESRmoUGpF8ZUeSHLqtgdgWnzJ6WXqjsDW7iJxQJN,zankoku,Zankoku Cybogrez,https://arweave.net/wP4feqoUcQUyTHzyb-gwT9tIYG48CGe3m92uZfAb0HI,Zankoku Cybogrez #834,Cybogrez go BOP BOP,https://zankokuarena.io,image,"[{'address': 'xgLPMgPaFd1mjgP73Ghkogkpokn9AZFQhPAB5nre8m5', 'verified': 1, 'share': 0}, {'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'verified': 0, 'share': 100}]",1250,85ijrjETRM7RmrvL9Vn3gePtwjpp1hSWUPfjMLwahdV2,"[{'trait_type': 'Background', 'value': 'BG 23'}, {'trait_type': 'Face', 'value': 'Ogre'}, {'trait_type': 'Arms', 'value': 'Ratchet'}, {'trait_type': 'Accessories', 'value': 'X'}, {'trait_type': 'Torso', 'value': 'ZOKU012'}, {'trait_type': 'Helmet', 'value': 'Cyan'}, {'trait_type': 'Feet', 'value': 'Mega'}, {'trait_type': 'Bracers', 'value': 'Eros'}, {'trait_type': 'Hands', 'value': 'Kiss'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/wP4feqoUcQUyTHzyb-gwT9tIYG48CGe3m92uZfAb0HI'}], 'category': 'image', 'creators': [{'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'share': 100}]}",1,ZanzPN8P8kP41jq5gTR5yVQMavndvmSxUhSqrSjY36v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 795}}
9,DzHANr1Z5U9iGYo7Fk5FVZw2HQYpe18jXzbSueMpsWMb,12.0,DLJQ57zBv9pPbRv2iuMvKE3szJJZ6HqKsq4vjKdknTh7,4PknW37P8hzoqhHh4xUwji9po27pqkVsAQ7Nyf6HvnQJ,zankoku,Zankoku Cybogrez,https://arweave.net/ibS9aIsC4i5x8XVbRZKWKEt2vzvIxQBXGcw_I7NyaPw,Zankoku Cybogrez #512,Cybogrez go BOP BOP,https://zankokuarena.io,image,"[{'address': 'xgLPMgPaFd1mjgP73Ghkogkpokn9AZFQhPAB5nre8m5', 'verified': 1, 'share': 0}, {'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'verified': 0, 'share': 100}]",1250,3GuzYjq3S35GW2qwTxJE7AyuZmQyKsGQKXhGYr3AL55j,"[{'trait_type': 'Background', 'value': 'BG 20'}, {'trait_type': 'Face', 'value': 'Ogre'}, {'trait_type': 'Arms', 'value': 'Beta'}, {'trait_type': 'Accessories', 'value': 'Eyebrow Ring Blue'}, {'trait_type': 'Torso', 'value': 'ZOKU001'}, {'trait_type': 'Helmet', 'value': 'Tohth'}, {'trait_type': 'Feet', 'value': 'Fox'}, {'trait_type': 'Bracers', 'value': 'Aphrodite'}, {'trait_type': 'Hands', 'value': 'Emperor'}]","{'files': [{'type': 'image/png', 'uri': 'https://arweave.net/ibS9aIsC4i5x8XVbRZKWKEt2vzvIxQBXGcw_I7NyaPw'}], 'category': 'image', 'creators': [{'address': '52Cy9Xus2JgCszQ9vZq24A4r1gWRgpLLhSG1Bfk1YjNZ', 'share': 100}]}",1,ZanzPN8P8kP41jq5gTR5yVQMavndvmSxUhSqrSjY36v,1,{},False,"{'auctionHouseKey': 'E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe', 'sellerReferral': 'autMW8SgBkVYeBgqYiTuJZnkvDZMVU2MHJh9Jh7CSQ2', 'expiry': -1}",{'moonrank': {'rank': 836}}
